abbreviation	fullName	chargedFormula	charge	avgmolweight	monoisotopicweight	keggId	inchiString	pubChemId	cheBlId	hmdb	pdmapName	reconMap	reconMap3	food_db	chemspider	biocyc	biggId	wikipedia	drugbank	seed	metanetx	knapsack	metlin	casRegistry	epa_id	inchiKey	smile	lipidmaps
leupro	Leucyl-Proline	C11H20N2O3	0				"InChI=1S/C11H20N2O3/c1-7(2)6-8(12)10(14)13-5-3-4-9(13)11(15)16/h7-9H,3-6,12H2,1-2H3,(H,15,16)/t8-,9-/m0/s1"																			VTJUNIYRYIAIHF-IUCAKERBSA-N	[H]OC(=O)[C@]1([H])N(C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]	
leuproarg	Leucyl-Prolyl-Arginine	C17H33N6O4	1				"InChI=1S/C17H32N6O4/c1-10(2)9-11(18)15(25)23-8-4-6-13(23)14(24)22-12(16(26)27)5-3-7-21-17(19)20/h10-13H,3-9,18H2,1-2H3,(H,22,24)(H,26,27)(H4,19,20,21)/p+1/t11-,12-,13-/m0/s1"																			QMKFDEUJGYNFMC-AVGNSLFASA-O	[H]OC(=O)[C@]([H])(N([H])C(=O)[C@]1([H])N(C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H]	
leusertrp	Leucyl-Seryl-Tryptophan	C20H28N4O5	0				"InChI=1S/C20H28N4O5/c1-11(2)7-14(21)18(26)24-17(10-25)19(27)23-16(20(28)29)8-12-9-22-15-6-4-3-5-13(12)15/h3-6,9,11,14,16-17,22,25H,7-8,10,21H2,1-2H3,(H,23,27)(H,24,26)(H,28,29)/p-1/t14-,16-,17-/m0/s1"																			HWMQRQIFVGEAPH-XIRDDKMYSA-M	[H]OC([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H]	
leutrna	L-Leucyl-tRNA(Leu)	C6H12NOR	1																									
leutrp	Leucyl-Tryptophan	C17H23N3O3	0				"InChI=1S/C17H23N3O3/c1-10(2)7-13(18)16(21)20-15(17(22)23)8-11-9-19-14-6-4-3-5-12(11)14/h3-6,9-10,13,15,19H,7-8,18H2,1-2H3,(H,20,21)(H,22,23)/t13-,15+/m0/s1"																			BQVUABVGYYSDCJ-DZGCQCFKSA-N	[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H]	
leutrparg	Leucyl-Tryptophanyl-Arginine	C23H36N7O4	1				"InChI=1S/C23H35N7O4/c1-13(2)10-16(24)20(31)30-19(11-14-12-28-17-7-4-3-6-15(14)17)21(32)29-18(22(33)34)8-5-9-27-23(25)26/h3-4,6-7,12-13,16,18-19,28H,5,8-11,24H2,1-2H3,(H,29,32)(H,30,31)(H,33,34)(H4,25,26,27)/p+1/t16-,18-,19+/m0/s1"																			IDGRADDMTTWOQC-YTQUADARSA-O	[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H]	
leutyrtyr	Leucyl-Tyrosyl-Tyrosine	C24H31N3O6	0				"InChI=1S/C24H31N3O6/c1-14(2)11-19(25)22(30)26-20(12-15-3-7-17(28)8-4-15)23(31)27-21(24(32)33)13-16-5-9-18(29)10-6-16/h3-10,14,19-21,28-29H,11-13,25H2,1-2H3,(H,26,30)(H,27,31)(H,32,33)/t19-,20+,21-/m0/s1"																			YIRIDPUGZKHMHT-HBMCJLEFSA-N	[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H]	
leuval	Leucyl-Valine	C11H22N2O3	0				"InChI=1S/C11H22N2O3/c1-6(2)5-8(12)10(14)13-9(7(3)4)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)/t8-,9+/m0/s1"																			MDSUKZSLOATHMH-DTWKUNHWSA-N	[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]	
levan1000	Levan	C6000H10002O5001	0	504.4371	504.169035	C01355	"InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2,1H3,(H,25,26)/p-1"	22833608		HMDB03539				FDB023192	17216231	LEVAN		Levan					6945	9013-95-0		AIHDCSAXVMAMJH-GFBKWZILSA-N		
levanb	Levanbiose	C12H22O11	0			C01725		223440163	6435														65637					
levanpt	Levanpentaose	C30H52O26	0																									
levanttr	Levantriose	C18H32O16	0					101014471																				
levantttr	Levantetraose	C24H42O21	0				"InChI=1S/C11H12N2O4/c12-8(11(16)17)5-10(15)7-3-1-2-4-9(7)13-6-14/h1-4,6,8H,5,12H2,(H,13,14)(H,16,17)"																					
Lfmkynr	L-Formylkynurenine	C11H12N2O4	0	236.224	236.0797069	C02700	"InChI=1S/C11H12N2O4/c12-8(11(16)17)5-10(15)7-3-1-2-4-9(7)13-6-14/h1-4,6,8H,5,12H2,(H,13,14)(H,16,17)"	439788	30249	HMDB0060485		Lfmkynr	Lfmkynr		388843	N-FORMYLKYNURENINE	Lfmkynr			cpd01749	MNXM1288					BYHJHXPTQMMKCA-UHFFFAOYSA-N	[H]N(C([H])=O)C1=C([H])C([H])=C([H])C([H])=C1C(=O)C([H])([H])C([H])(C([O-])=O)[N+]([H])([H])[H]	
lgal	L-Galactose	C6H12O6	0																									
lgnc	Tetracosanoic acid	C24H47O2	-1	368.6367	368.3654308	C08320	"InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2,1H3,(H,25,26)/p-1"	11197	28866	HMDB02003		lgnc	lgnc	FDB021823	10724	TETRACOSANOATE	lgnc	Tetracosanoic acid			MNXM8841	C00001223	6427	557-59-5	DTXSID6021664	QZZGJDVWLFXDLK-UHFFFAOYSA-M	[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O	
lgnccoa	lignocericyl coenzyme A	C45H78N7O17P3S	-4			C16529	InChI=1/C45H82N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-36(54)73-29-28-47-35(53)26-27-48-43(57)40(... <Preview truncated at 128 characters>	53477849		HMDB06526																		
lgnccrn	Tetracosanoylcarnitine	C31H61NO4	0				"InChI=1S/C31H63NO3/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-35-30(28-31(33)34)29-32(2,3)4/h30H,5-29H2,1-4H3/p+1/t30-/m1/s1"					lgnccrn					lgnccrn				MNXM8842					WMMCQGKGLKWABC-SSEXGKCCSA-O	[H]OC(=O)C([H])([H])[C@@]([H])(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	
lgt_S	S-Lactoylglutathione	C13H20N3O8S	-1	379.386	379.1049354	C03451	"InChI=1S/C13H21N3O8S/c1-6(17)13(24)25-5-8(11(21)15-4-10(19)20)16-9(18)3-2-7(14)12(22)23/h6-8,17H,2-5,14H2,1H3,(H,15,21)(H,16,18)(H,19,20)(H,22,23)/p-1/t6-,7+,8+/m1/s1"	440018	15694	HMDB01066		lgt_S	lgt_S	FDB022405	389032	S-LACTOYL-GLUTATHIONE	lgt__S			cpd02182	MNXM1253	C00019550	5979	25138-66-3		VDYDCVUWILIYQF-CSMHCCOUSA-M	[H]O[C@@]([H])(C(=O)SC([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H])C(=O)N([H])C([H])([H])C([O-])=O)C([H])([H])[H]	
Lhcystin	L-Homocystine	C8H16N2O4S2	0			C01817	"InChI=1S/C8H16N2O4S2/c9-5(7(11)12)1-3-15-16-4-2-6(10)8(13)14/h5-6H,1-4,9-10H2,(H,11,12)(H,13,14)/t5-,6?/m0/s1"	69382	17485	HMDB00676			Lhcystin	FDB022176	62590			Homocystine								ZTVZLYBCZNMWCF-ZBHICJROSA-N	[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])SSC([H])([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)O[H]	
lichn	"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"	C1020H1702O851	0			C00478	"InChI=1S/C20H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(23)21-18-19-22/h6-7,9-10,22H,2-5,8,11-19H2,1H3,(H,21,23)/b7-6-,10-9-"	3761	6452									Lichenin					65515	1402-10-4				
limnen	D-Limonene	C10H16	0	136.234	136.1252005	C00521	"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m1/s1"	439250	15383	HMDB03375		limnen	limnen	FDB013861	388386	-R-LIMONENE	limnen	Limonene			MNXM956	C00000803	6911	5989-54-8	DTXSID2029612	XMGQYMWWDOXHJM-SNVBAGLBSA-N	[H]C([H])=C(C([H])([H])[H])[C@]1([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])C1([H])[H]	
lineth	Linoleoyl ethanolamide	C20H37NO2	0	323.5133	323.2824294		"InChI=1S/C20H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(23)21-18-19-22/h6-7,9-10,22H,2-5,8,11-19H2,1H3,(H,21,23)/b7-6-,10-9-"	5283446	64032	HMDB0012252			lineth	FDB028893	4446566	CPD6666-4								68171-52-8	DTXSID10887223	KQXDGUVSAAQARU-HZJYTTRNSA-N	[H]OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	
lipa	KDO(2)-lipid (A)	C110H196N2O39P2	-6														lipa			cpd03587	MNXM946							
lipa_cold	cold adapted KDO(2)-lipid (A)	C114H202N2O39P2	-6																									
lipidA	"2,3,23-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4-bisphosphate"	C68H126N2O23P2	-4														lipidA			cpd02993	MNXM1754							
lipidA_bt	lipidA_BT	C78H146N2O23P2	-4																									
lipidA_HP	lipidA_HP	C82H155N2O19P	-2																									
lipidAds	Lipid A Disaccharide	C68H127N2O20P	-2				"InChI=1S/C8H14O2S2/c9-8(10)4-2-1-3-7-5-6-11-12-7/h7H,1-6H2,(H,9,10)/t7-/m0/s1"			HMDB0013244							lipidAds			cpd03002	MNXM1569							
lipidAds_bt	lipidAds_BT	C78H147N2O20P	-2																									
lipidX	"2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate"	C34H64NO12P	-2														lipidX			cpd02930	MNXM1839							
lipidX_bt	lipidX_BT	C39H74NO12P	-2																									
lipidX_HP	lipidX_HP	C40H76NO12P	-2																									
lipoate	(R)-lipoic acid	C8H14O2S2	0	206.326	206.0435211	C00725	"InChI=1S/C8H14O2S2/c9-8(10)4-2-1-3-7-5-6-11-12-7/h7H,1-6H2,(H,9,10)/t7-/m0/s1"	6112	30314	HMDB01451		lipoate	Lipoate	FDB022631	5886	LIPOIC-ACID	lipoate	Lipoic acid	DB00166	cpd00541	MNXM1484	C00000754	126	1200-22-2	DTXSID20152651	AGBQKNBQESQNJD-ZETCQYMHSA-N	[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H]	
Lkynr	L-Kynurenine	C10H12N2O3	0	208.2139	208.0847923	C00328	"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1"	161166	16946	HMDB00684		Lkynr	Lkynr	FDB022181	141580	L-KYNURENINE	Lkynr	Kynurenine	DB02070	cpd00275	MNXM260		72	343-65-7		YGPSJZOEDVAXAB-QMMMGPOBSA-N	[H]N([H])C1=C([H])C([H])=C([H])C([H])=C1C(=O)C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H]	
lmaatrna	L-Methionylaminoacyl-tRNA	C22H34N2O18P2R4S	-2																									
lmn	(+)-Limonene	C10H16	0																									
lmn2	Laminaribiose	C12H22O11	0														lmn2				MNXM2249							
lmn30	"Laminarin (n=30 repeat units, beta -1,3 glc)"	C180H302O151	0														lmn30				MNXM148323							
lmnd	"Limonene-1,2-diol"	C10H18O2	0																									
lmno	Limonene oxide	C10H16O	0																									
ln2cearg	L-N2-(2-Carboxyethyl)arginine	C9H18N4O4	0																									
lneldc	Linoelaidic Acid (All Trans C18:2)	C18H31O2	-1				"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/p-1/b7-6+,10-9+"	5282457		HMDB06270		lneldc	lneldc				lneldc				MNXM8844					OYHQOLUKZRVURQ-AVQMFFATSA-M	[H]\C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O	
lneldcACP	Linoelaidic Acid ACP (All Trans)	C29H51N2O8PRS	-1				"InChI=1S/C39H66N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h8-9,11-12,26-28,32-34,38,49-50H,4-7,10,13-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/p-4/b9-8-,12-11-/t28-,32-,33-,34+,38-/m1/s1"					lneldcACP					lneldcACP				MNXM19074							
lneldccoa	"(6Z,9Z)-Octadecadienoyl Coenzyme A"	C39H62N7O17P3S	-4				"InChI=1S/C39H66N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h8-9,11-12,26-28,32-34,38,49-50H,4-7,10,13-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/p-4/b9-8-,12-11-/t28-,32-,33-,34+,38-/m1/s1"					lneldccoa	lneldccoa				lneldccoa				MNXM4036					YECLLIMZHNYFCK-RRNJGNTNSA-J	[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O	
lneldccrn	"6Z,9Z-Octadecadienoylcarnitine"	C25H45NO4	0				"InChI=1S/C25H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,23H,5-8,11,14-22H2,1-4H3/b10-9+,13-12+"	53477834		HMDB06461		lneldccrn	lneldccrn				lneldccrn				MNXM8845					MJLXQSQYKZWZCB-OKLKQMLOSA-N	[H]\C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	
lnlc	Linoleic acid	C18H31O2	-1	280.4455	280.2402303	C01595	"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/p-1/b7-6-,10-9-"	5280450	17351	HMDB00673		lnlc	lnlc	FDB012760	4444105		lnlc	Linoleic acid		cpd01122	MNXM293	C00001224	191	60-33-3	DTXSID2025505	OYHQOLUKZRVURQ-HZJYTTRNSA-M	[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O	
lnlcACP	Linoleic Acid ACP (All Cis)	C29H51N2O8PRS	-1			C16160						lnlcACP					lnlcACP				MNXM19075						[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)S[*]	
lnlccoa	Linoleoyl-CoA	C39H62N7O17P3S	-4	1029.964	1029.344874	C02050	"InChI=1S/C39H66N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h8-9,11-12,26-28,32-34,38,49-50H,4-7,10,13-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/p-4/b9-8-,12-11-/t28-,32-,33-,34+,38-/m1/s1"	5462164	15530	HMDB01064	linoleoyl-CoA	lnlccoa	lnlccoa	FDB022403	10637815	CPD-18	lnlccoa			cpd01398	MNXM638		5977	6709-57-5	DTXSID10420558	YECLLIMZHNYFCK-RRNJGNTNSA-J	[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O	
lnlccrn	Linoleyl carnitine	C25H45NO4	0	423.6291	423.3348589		"InChI=1S/C25H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,23H,5-8,11,14-22H2,1-4H3/b10-9-,13-12-/t23-/m1/s1"	6450015	84098	HMDB06469		lnlccrn	lnlccrn	FDB023928	4952667		lnlccrn				MNXM8847			36816-10-1		MJLXQSQYKZWZCB-DQFWFXSYSA-N	[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	
lnlnca	Alpha-Linolenic acid	C18H29O2	-1	278.4296	278.2245802	C06427	"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/p-1/b4-3-,7-6-,10-9-"	5280934	27432	HMDB01388		lnlnca	lnlnca	FDB012462	4444437	LINOLENIC_ACID	lnlnca	Linolenic acid	DB00132	cpd03850	MNXM794	C00007247	6208	463-40-1	DTXSID7025506	DTOSIQBPPRVQHS-PDBXOOCHSA-M	[H]\C(=C(/[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])[H]	
lnlncacoa	Alpha-Linolenoyl-CoA	C39H60N7O17P3S	-4	1027.948	1027.329224	C16162	"InChI=1S/C39H64N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h5-6,8-9,11-12,26-28,32-34,38,49-50H,4,7,10,13-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/p-4/b6-5-,9-8-,12-11-/t28-,32-,33-,34+,38-/m1/s1"	53477815	51985	HMDB06290		lnlncacoa	lnlncacoa	FDB023879			lnlncacoa			cpd14883	MNXM994					OMKFKBGZHNJNEX-PQBHNYBOSA-J	[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O	
lnlncacrn	Alpha-linolenyl carnitine	C25H43NO4	0	421.6132	421.3192089		"InChI=1S/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(26(2,3)4)21-22-24(27)28/h6-7,9-10,12-13,23H,5,8,11,14-22H2,1-4H3/b7-6-,10-9-,13-12-/t23-/m0/s1"	53477821		HMDB06319		lnlncacrn	lnlncacrn	FDB023886			lnlncacrn				MNXM8289					DFVGGGHKDAHYIU-UHMZJXMFSA-N	[H]\C(=C(/[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])[H]	
lnlncg	Gamma-Linolenic acid	C18H29O2	-1	278.4360046	278.2245802	C06426	"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/p-1/b7-6-,10-9?,13-12-"	5280933	28661	HMDB03073		lnlncg	lnlncg	FDB002943	4444436	5Z13E-15S-91115-TRIHYDROXYPROSTA-	lnlncg	gamma-Linolenic acid		cpd03849	MNXM162504	C00001226	386	506-26-3	DTXSID7046170	VZCCETWTMQHEPK-NPLRDPCCSA-M	[H]\C(=C(/[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O	
lnlncgcoa	Gamma-linolenoyl-CoA	C39H60N7O17P3S	-4	1027.948	1027.329224	C03035	"InChI=1S/C39H64N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h8-9,11-12,14-15,26-28,32-34,38,49-50H,4-7,10,13,16-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/p-4/b9-8-,12-11-,15-14-/t28-,32-,33-,34+,38-/m1/s1"	11966132	15508	HMDB06368		lnlncgcoa	lnlncgcoa	FDB023905	10140126	GAMMA-LINOLENOYL-COA	lnlncgcoa			cpd01942	MNXM162293					XZQYPTBYQYZGRU-FHDVEODPSA-J	[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O	
