Organism	eBSH	7aHSDH	7bHSDH	3aHSDH	3bHSDH	12aHSDH	BaiG	BaiTRAP	BaiA	BaiB	BaiCDH	BaiEI	BaiFK	BaiN	BaiO	BaiP	BaiJ	BaiL	BaiR
Klebsiella pneumoniae subsp. pneumoniae KPNIH2 (1087441.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH20 (1128954.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH22 (1168063.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH23 (1168064.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH4 (1087443.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH5 (1087444.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH6 (1087445.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH7 (1094167.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH9 (1094169.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KpQ3 (1226115.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (272620.9)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. pneumoniae ST258-490 (1212766.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 (667127.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC01 (1284811.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC04 (1284823.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC05 (1284790.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC09 (1284810.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC22 (1284820.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC23 (1284788.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC26 (1284816.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC27 (1284813.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC32 (1284822.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC40 (1284787.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC45 (1284819.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC48 (1284801.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC57 (1284817.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae UHKPC81 (1284812.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae VAKPC254 (1284825.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae VAKPC269 (1284826.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae VAKPC270 (1284829.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae VAKPC278 (1284827.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae VAKPC297 (1284831.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella pneumoniae VAKPC309 (1284832.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Klebsiella sp. 1_1_55 (469608.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Kocuria palustris PEL (1236550.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Kocuria rhizophila DC2201 (378753.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lachnospiraceae bacterium 5_1_57FAA (658085.3)	 	2000	 	 	 	3013	188	 	190, 2714	193	187_12, 192_11	186_14, 191_13	189_15	1254_17_18, 1254_17_18	1252	3082	1456	 	195_23
Lachnospiraceae bacterium 5_1_63FAA (658089.3)	2888	 	 	 	 	2629	 	 	 	 	 	 	 	 	 	 	 	 	 
Lachnospiraceae bacterium 8_1_57FAA (665951.3)	 	 	 	 	 	 	 	 	 	 	1019_11, 1020_12	 	 	 	 	 	 	 	1018_23
Lactobacillus acidophilus 30SC (891391.3)	1145, 893	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus acidophilus ATCC 4796 (525306.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus acidophilus La-14 (1314884.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus amylolyticus DSM 11664 (585524.3)	1149	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus amylovorus GRL 1112 (695560.3)	1204, 936	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus amylovorus GRL1118 (695562.4)	1104, 886	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus animalis KCTC 3501 (930942.3)	1757	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus antri DSM 16041 (525309.3)	1480, 573	 	 	 	 	1907	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus brevis KB290 (1001583.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus buchneri ATCC 11577 (525318.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus buchneri CD034 (1071400.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus buchneri NRRL B-30929 (511437.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei 12A (1051650.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei 21/1 (1051651.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei 32G (1051652.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei ATCC 334 (321967.11)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei BD-II (998820.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei BL23 (543734.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei CRF28 (1051654.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei Lc-10 (1051655.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei LC2W (999378.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei Lpc-37 (1051656.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei M36 (1051657.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei str. Zhang (498216.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei T71499 (1051658.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei UCD174 (1051659.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei UW1 (1051660.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei UW4 (1051661.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus casei W56 (1215914.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus coleohominis 101-4-CHN (575594.3)	1702	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus coryniformis subsp. coryniformis CECT 5711 (1185325.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus crispatus 125-2-CHN (575595.3)	37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus crispatus FB049-03 (883094.3)	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus crispatus FB077-07 (883092.3)	912	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus crispatus JV-V01 (491076.4)	317	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus crispatus MV-1A-US (575596.3)	302	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus crispatus MV-3A-US (575597.3)	336, 337	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus crispatus ST1 (748671.3)	883	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus curvatus CRL 705 (1074451.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus 2038 (353496.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 (390333.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 (321956.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632 (1042399.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ND02 (767455.3)	853	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus delbrueckii ZN7a-9 (1217420.3)	756	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus fermentum 28-3-CHN (575599.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus fermentum ATCC 14931 (525325.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus fermentum CECT 5716 (712938.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus fermentum F-6 (767453.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus fermentum IFO 3956 (334390.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus gasseri 202-4 (630527.3)	1750, 437	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus gasseri 224-1 (679196.3)	1312, 1684	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus gasseri ATCC 33323 (324831.13)	53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus gasseri JV-V03 (525326.3)	1556, 610, 833	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus gasseri K7 (1334627.3)	1100, 504, 618	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus gasseri SJ-9E-US (575603.3)	1328	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus gasseri SV-16A-US (575604.3)	1499, 391	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus gastricus PS3 (1144300.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus helveticus DPC 4571 (405566.6)	991, 992	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus helveticus DSM 20075 (585520.4)	943, 944	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus helveticus H10 (767462.3)	1386, 1387	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus helveticus R0052 (880633.7)	941, 942	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus hilgardii ATCC 8290 (525327.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners AB-1 (713605.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners ATCC 55195 (888801.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners DSM 13335 (525328.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners LactinV 09V1-c (879299.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners LactinV 11V1-d (879300.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners LEAF 2052A-d (879302.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners LEAF 2053A-b (879301.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners LEAF 2062A-h1 (879303.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners LEAF 3008A-a (879304.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners SPIN 1401G (879295.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners SPIN 2503V10-D (879296.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners UPII 143-D (928327.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners UPII 60-B (928328.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus jensenii 115-3-CHN (575605.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus jensenii 269-3 (596325.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus jensenii 27-2-CHN (575606.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus jensenii JV-V16 (525329.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus jensenii SJ-7A-US (575607.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus johnsonii ATCC 33200 (525330.3)	1048, 1480, 849	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus johnsonii DPC 6026 (909954.3)	1061, 80, 869	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus johnsonii FI9785 (633699.4)	56, 781, 976	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus johnsonii NCC 533 (257314.6)	1014, 1226, 60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus mucosae LM1 (1130798.3)	254	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus oris F0423 (944562.4)	712	 	 	 	 	927	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus oris PB013-T2-3 (908339.3)	580	 	 	 	 	1394	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp120 (1256223.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp122 (1256218.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp17 (1256220.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp225 (1256225.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp226 (1256226.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp230 (1256219.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp46 (1256222.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp49 (1256213.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp74 (1256199.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. tolerans Lpl14 (1256229.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. tolerans Lpl7 (1256230.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus pentosus KCA1 (1136177.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum 16 (1327988.3)	2836	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum IPLA88 (1328309.5)	261	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum JDM1 (644042.3)	2850	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum subsp. plantarum ATCC 14917 (525338.3)	573	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum subsp. plantarum NC8 (1036177.3)	469	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum subsp. plantarum P-8 (767468.48)	2862, 2864	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum subsp. plantarum ST-III (889932.4)	2939	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum UCMA 3037 (1284223.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum WCFS1 (220668.9)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus plantarum ZJ316 (1284663.3)	150	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus reuteri 100-23 (349123.6)	1496	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus reuteri ATCC 53608 (927703.3)	235	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus reuteri CF48-3A (525341.3)	933, 934	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus reuteri I5007 (1340495.3)	1180	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus reuteri JCM 1112 (557433.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus reuteri lpuph (863368.3)	1768	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus reuteri MM4-1A (548485.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus reuteri SD2112 (491077.3)	747, 748	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus rhamnosus ATCC 21052 (1002365.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus rhamnosus ATCC 8530 (1088720.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus rhamnosus GG (Prj:40637) (568703.30)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus rhamnosus HN001 (486408.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus rhamnosus Lc 705 (568704.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus rhamnosus LMS2-1 (525361.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus rhamnosus LRHMDP2 (1203258.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus rhamnosus LRHMDP3 (1203259.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus rhamnosus R0011 (880592.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus ruminis ATCC 25644 (525362.3)	625	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus ruminis ATCC 27782 (1069534.5)	200	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus ruminis SPM0211 (1040964.3)	1330	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus sakei subsp. sakei 23K (314315.12)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus salivarius ATCC 11741 (525364.3)	126	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus salivarius GJ-24 (1041521.3)	1858	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus salivarius NIAS840 (1029822.3)	1754	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus salivarius UCC118 (362948.14)	1920	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus ultunensis DSM 16047 (525365.3)	206	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus vaginalis ATCC 49540 (525366.3)	934	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae 21881 (998087.5)	867	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae 8831 (913847.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae ATCC 49156 (420889.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae DCC43 (1231377.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae I113 (1229517.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae IPLA 31405 (1181234.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae Lg2 (420890.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae LG9 (1091039.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae Tac2 (1229518.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae TB25 (1091040.5)	463, 899	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus garvieae UNIUD074 (1017266.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus lactis subsp. cremoris CNCM I-1631 (1042402.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus lactis subsp. cremoris MG1363 (416870.9)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus lactis subsp. cremoris NZ9000 (746361.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus lactis subsp. cremoris UC509.9 (1111678.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus lactis subsp. lactis CV56 (929102.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus lactis subsp. lactis Il1403 (272623.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus lactis subsp. lactis IO-1 (1046624.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus lactis subsp. lactis KF147 (684738.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus lactis subsp. lactis YF11 (1149132.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactococcus raffinolactis 4877 (1215915.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Laribacter hongkongensis HLHK9 (557598.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lautropia mirabilis ATCC 51599 (887898.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Leptotrichia buccalis C-1013-b (523794.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Leuconostoc argentinum KCTC 3773 (886872.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Leuconostoc gelidum JB7 (1229756.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Leuconostoc gelidum KCTC 3527 (927691.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Leuconostoc mesenteroides subsp. cremoris ATCC 19254 (586220.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 (203120.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Leuconostoc mesenteroides subsp. mesenteroides J18 (1107880.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
