Organism	GTPCH	PyrD	PyrR	DHBPS	DMRLS	RSA	RK	FMNAT	FHY	RibU	PnuX	ImpX	RibXY	RibN	RfnT	RibZ
Streptococcus oralis SK255 (1005704.3)	 	 	 	 	 	 	1128_17_19	1128_17_19	 	566	 	 	 	 	 	 
Streptococcus oralis SK304 (1161421.3)	 	 	 	 	 	 	1235_17_19	1235_17_19	 	1958	 	 	 	 	 	 
Streptococcus oralis SK610 (1095741.3)	 	 	 	 	 	 	609_17_19	609_17_19	 	1183	 	 	 	 	 	 
Streptococcus oralis Uo5 (927666.3)	 	 	 	 	 	 	795_17_19	795_17_19	 	235	 	 	 	 	 	 
Streptococcus parasanguinis ATCC 15912 (760570.3)	 	 	 	 	 	 	1071_17_19	1071_17_19	 	281	 	 	 	 	 	 
Streptococcus parasanguinis ATCC 903 (888048.3)	 	 	 	 	 	 	103_17_19	103_17_19	 	935	 	 	 	 	 	 
Streptococcus parasanguinis F0405 (905067.3)	 	 	 	 	 	 	1257_17_19	1257_17_19	 	1891	 	 	 	 	 	 
Streptococcus parasanguinis FW213 (1114965.3)	 	 	 	 	 	 	767_17_19	767_17_19	 	1519	 	 	 	 	 	 
Streptococcus parasanguinis SK236 (1035185.3)	 	 	 	 	 	 	618_17_19	618_17_19	 	1382	 	 	 	 	 	 
Streptococcus parauberis KCTC 11537 (936154.3)	 	 	 	 	 	 	917_17_19	917_17_19	 	1677	 	 	 	 	 	 
Streptococcus parauberis KCTC 11980BP (1260132.3)	 	 	 	 	 	 	500_17_19	500_17_19	 	632	 	 	 	 	 	 
Streptococcus parauberis KRS-02083 (1207545.3)	 	 	 	 	 	 	1227_17_19	1227_17_19	 	517	 	 	 	 	 	 
Streptococcus parauberis KRS-02109 (1207544.3)	 	 	 	 	 	 	746_17_19	746_17_19	 	55	 	 	 	 	 	 
Streptococcus parauberis NCFD 2020 (873447.3)	 	 	 	 	 	 	628_17_19	628_17_19	 	1499	 	 	 	 	 	 
Streptococcus peroris ATCC 700780 (888746.3)	 	 	 	 	 	 	1440_17_19	1440_17_19	 	1058	 	 	 	 	 	 
Streptococcus pneumoniae 1974M1-LZD (1089299.3)	675_6	673_2_5	673_2_5	675_6	676_8	674_10	2018_19_17	2018_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 2009 (1239791.3)	670_6	"666_2_5, 667_2_5, 668_2_5"	"666_2_5, 667_2_5, 668_2_5"	670_6	671_8	669_10	1472_19_17	1472_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 2061376 (914129.3)	224_6	226_2_5	226_2_5	224_6	223_8	225_10	1118_17_19	1118_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 2061617 (914130.3)	218_6	221_2_5	221_2_5	218_6	217_8	"219_10, 220_10"	1117_19_17	1117_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 2070005 (914139.3)	230_6	232_2_5	232_2_5	230_6	229_8	231_10	1122_19_17	1122_19_17	 	522	 	 	 	 	 	 
Streptococcus pneumoniae 2070035 (914131.3)	211_6	213_2_5	213_2_5	211_6	210_8	212_10	1243_19_17	1243_19_17	 	491	 	 	 	 	 	 
Streptococcus pneumoniae 2070109 (914132.3)	162_6	164_2_5	164_2_5	162_6	161_8	163_10	1066_19_17	1066_19_17	 	441	 	 	 	 	 	 
Streptococcus pneumoniae 2070425 (914133.3)	167_6	169_2_5	169_2_5	167_6	166_8	168_10	1037_17_19	1037_17_19	 	445	 	 	 	 	 	 
Streptococcus pneumoniae 2070531 (914142.3)	166_6	168_2_5	168_2_5	166_6	165_8	167_10	1029_17_19	1029_17_19	 	445	 	 	 	 	 	 
Streptococcus pneumoniae 2071004 (914135.3)	162_6	164_2_5	164_2_5	162_6	161_8	163_10	1053_17_19	1053_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 2071247 (914143.3)	202_6	204_2_5	204_2_5	202_6	201_8	203_10	1270_17_19	1270_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 2072047 (914136.3)	165_6	168_2_5	168_2_5	165_6	164_8	"166_10, 167_10"	1122_19_17	1122_19_17	 	483	 	 	 	 	 	 
Streptococcus pneumoniae 2080076 (914144.3)	169_6	171_2_5	171_2_5	169_6	168_8	170_10	1043_17_19	1043_17_19	 	448	 	 	 	 	 	 
Streptococcus pneumoniae 2080913 (914145.3)	153_6	155_2_5	155_2_5	153_6	152_8	154_10	1075_17_19	1075_17_19	 	461	 	 	 	 	 	 
Streptococcus pneumoniae 2081074 (914137.3)	221_6	223_2_5	223_2_5	221_6	220_8	222_10	1270_19_17	1270_19_17	 	687	 	 	 	 	 	 
Streptococcus pneumoniae 2081685 (914138.3)	47_6	49_2_5	49_2_5	47_6	46_8	48_10	1004_17_19	1004_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 2082170 (914146.3)	265_6	268_2_5	268_2_5	265_6	264_8	"266_10, 267_10"	1300_17_19	1300_17_19	 	653	 	 	 	 	 	 
Streptococcus pneumoniae 2090008 (914148.3)	159_6	161_2_5	161_2_5	159_6	158_8	160_10	1150_17_19	1150_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 23F (216600.3)	140_6	142_2_5	142_2_5	140_6	 	141_10	869_19_17	869_19_17	 	369	 	 	 	 	 	 
Streptococcus pneumoniae 3063-00 (760876.3)	164_6	166_2_5	166_2_5	164_6	163_8	165_10	1030_19_17	1030_19_17	 	491	 	 	 	 	 	 
Streptococcus pneumoniae 357 (1238422.3)	96_6	"92_2_5, 93_2_5, 94_2_5"	"92_2_5, 93_2_5, 94_2_5"	96_6	97_8	95_10	1567_19_17	1567_19_17	 	1397	 	 	 	 	 	 
Streptococcus pneumoniae 4027-06 (760864.3)	176_6	178_2_5	178_2_5	176_6	175_8	177_10	1068_19_17	1068_19_17	 	449	 	 	 	 	 	 
Streptococcus pneumoniae 4075-00 (760873.3)	166_6	168_2_5	168_2_5	166_6	165_8	167_10	829_19_17	829_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 459-5 (497980.3)	156_6	158_2_5	158_2_5	156_6	155_8	157_10	1019_19_17	1019_19_17	 	431	 	 	 	 	 	 
Streptococcus pneumoniae 5185-06 (760868.3)	171_6	"173_2_5, 174_2_5"	"173_2_5, 174_2_5"	171_6	170_8	172_10	777_19_17	777_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 5652-06 (760871.3)	173_6	175_2_5	175_2_5	173_6	172_8	174_10	892_19_17	892_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 5787-06 (760866.3)	182_6	184_2_5	184_2_5	182_6	181_8	183_10	1079_19_17	1079_19_17	 	464	 	 	 	 	 	 
Streptococcus pneumoniae 670-6B (189423.5)	280_6	282_2_5	282_2_5	280_6	279_8	281_10	1293_19_17	1293_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 6901-05 (760863.3)	174_6	176_2_5	176_2_5	174_6	173_8	175_10	1059_19_17	1059_19_17	 	451	 	 	 	 	 	 
Streptococcus pneumoniae 6963-05 (760865.3)	171_6	173_2_5	173_2_5	171_6	170_8	172_10	1068_19_17	1068_19_17	 	447	 	 	 	 	 	 
Streptococcus pneumoniae 70585 (488221.3)	238_6	240_2_5	240_2_5	238_6	237_8	239_10	1221_19_17	1221_19_17	 	559	 	 	 	 	 	 
Streptococcus pneumoniae 7286-06 (760869.3)	171_6	173_2_5	173_2_5	171_6	170_8	172_10	575_19_17	575_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 7533-05 (760872.3)	176_6	178_2_5	178_2_5	176_6	175_8	177_10	1077_19_17	1077_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 7879-04 (760870.3)	168_6	170_2_5	170_2_5	168_6	167_8	169_10	1064_17_19	1064_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae 8190-05 (760867.3)	191_6	193_2_5	193_2_5	191_6	190_8	192_10	1079_19_17	1079_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae AP200 (574093.3)	240_6	242_2_5	242_2_5	240_6	239_8	241_10	1143_17_19	1143_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae ATCC 700669 (561276.4)	194_6	196_2_5	196_2_5	194_6	193_8	195_10	1098_19_17	1098_19_17	 	480	 	 	 	 	 	 
Streptococcus pneumoniae BS397 (512767.4)	 	 	 	 	 	 	1813_19_17	1813_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae BS455 (595501.4)	1350_6	1348_2_5	1348_2_5	1350_6	1351_8	1349_10	385_19_17	385_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae BS457 (512768.4)	 	 	 	 	 	 	1475_19_17	1475_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae BS458 (512769.4)	 	 	 	 	 	 	1184_19_17	1184_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae CDC0288-04 (453364.9)	1689_6	1691_2_5	1691_2_5	1689_6	1688_8	1690_10	1562_17_19	1562_17_19	 	138	 	 	 	 	 	 
Streptococcus pneumoniae CDC1873-00 (453362.4)	1232_6	1234_2_5	1234_2_5	1232_6	1231_8	1233_10	618_17_19	618_17_19	 	153	 	 	 	 	 	 
Streptococcus pneumoniae CDC3059-06 (453365.4)	1261_6	1263_2_5	1263_2_5	1261_6	1260_8	1262_10	440_19_17	440_19_17	 	24	 	 	 	 	 	 
Streptococcus pneumoniae CGSP14 (516950.5)	210_6	212_2_5	212_2_5	210_6	209_8	211_10	1254_19_17	1254_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae D39 (373153.27)	192_6	194_2_5	194_2_5	192_6	191_8	193_10	1113_19_17	1113_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae EU-NP01 (760877.3)	172_6	174_2_5	174_2_5	172_6	171_8	173_10	1109_17_19	1109_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae EU-NP02 (760878.3)	169_6	171_2_5	171_2_5	169_6	168_8	170_10	1453_19_17	1453_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae EU-NP03 (760879.3)	196_6	198_2_5	198_2_5	196_6	195_8	197_10	1079_19_17	1079_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae EU-NP04 (760880.3)	269_6	271_2_5	271_2_5	269_6	268_8	270_10	1173_19_17	1173_19_17	 	544	 	 	 	 	 	 
Streptococcus pneumoniae EU-NP05 (760881.3)	171_6	"173_2_5, 174_2_5"	"173_2_5, 174_2_5"	171_6	170_8	172_10	1029_19_17	1029_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae England14-9 (1069625.3)	162_6	164_2_5	164_2_5	162_6	161_8	163_10	1152_19_17	1152_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae G54 (512566.5)	175_6	177_2_5	177_2_5	175_6	174_8	176_10	1083_17_19	1083_17_19	 	467	 	 	 	 	 	 
Streptococcus pneumoniae GA02254 (760742.3)	235_6	237_2_5	237_2_5	235_6	234_8	236_10	956_19_17	956_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA02270 (760743.3)	230_6	"232_2_5, 233_2_5"	"232_2_5, 233_2_5"	230_6	229_8	231_10	1147_17_19	1147_17_19	 	552	 	 	 	 	 	 
Streptococcus pneumoniae GA02506 (1069626.3)	155_6	157_2_5	157_2_5	155_6	154_8	156_10	1022_19_17	1022_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA02714 (760744.3)	218_6	220_2_5	220_2_5	218_6	217_8	219_10	1187_17_19	1187_17_19	 	550	 	 	 	 	 	 
Streptococcus pneumoniae GA04175 (760745.3)	181_6	183_2_5	183_2_5	181_6	180_8	182_10	1009_19_17	1009_19_17	 	460	 	 	 	 	 	 
Streptococcus pneumoniae GA04216 (1069624.3)	174_6	176_2_5	176_2_5	174_6	173_8	175_10	1050_19_17	1050_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA04375 (760746.3)	163_6	165_2_5	165_2_5	163_6	162_8	164_10	1041_17_19	1041_17_19	 	486	 	 	 	 	 	 
Streptococcus pneumoniae GA04672 (1069627.3)	186_6	188_2_5	188_2_5	186_6	185_8	187_10	1076_19_17	1076_19_17	 	454	 	 	 	 	 	 
Streptococcus pneumoniae GA05245 (760748.3)	180_6	182_2_5	182_2_5	180_6	179_8	181_10	1045_17_19	1045_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA05248 (760749.3)	156_6	158_2_5	158_2_5	156_6	155_8	157_10	861_19_17	861_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA05578 (1069623.3)	189_6	191_2_5	191_2_5	189_6	188_8	190_10	1052_19_17	1052_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA06083 (760750.3)	177_6	179_2_5	179_2_5	177_6	176_8	178_10	1050_19_17	1050_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA07228 (760754.3)	218_6	220_2_5	220_2_5	218_6	217_8	219_10	1074_19_17	1074_19_17	 	483	 	 	 	 	 	 
Streptococcus pneumoniae GA07643 (760755.3)	 	 	 	 	 	 	1068_19_17	1068_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA07914 (760756.3)	159_6	161_2_5	161_2_5	159_6	158_8	160_10	1007_17_19	1007_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA08780 (760758.3)	165_6	167_2_5	167_2_5	165_6	164_8	166_10	1092_17_19	1092_17_19	 	460	 	 	 	 	 	 
Streptococcus pneumoniae GA08825 (1069628.3)	163_6	165_2_5	165_2_5	163_6	162_8	164_10	1073_19_17	1073_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA11304 (760763.3)	165_6	167_2_5	167_2_5	165_6	164_8	166_10	1516_19_17	1516_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA11426 (760764.3)	179_6	181_2_5	181_2_5	179_6	178_8	180_10	1447_19_17	1447_19_17	 	456	 	 	 	 	 	 
Streptococcus pneumoniae GA13224 (760767.3)	153_6	155_2_5	155_2_5	153_6	152_8	154_10	1137_17_19	1137_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA13338 (760769.3)	 	 	 	 	 	 	1207_19_17	1207_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA13430 (760770.3)	157_6	159_2_5	159_2_5	157_6	156_8	158_10	1032_19_17	1032_19_17	 	435	 	 	 	 	 	 
Streptococcus pneumoniae GA13455 (760771.3)	172_6	174_2_5	174_2_5	172_6	171_8	173_10	1026_19_17	1026_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA13494 (760772.3)	154_6	156_2_5	156_2_5	154_6	153_8	155_10	"1132_17_19, 1133_17_19"	"1132_17_19, 1133_17_19"	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA13856 (760775.3)	151_6	153_2_5	153_2_5	151_6	150_8	152_10	1027_17_19	1027_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA14373 (760776.3)	215_6	217_2_5	217_2_5	215_6	214_8	216_10	1134_17_19	1134_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA14688 (760777.3)	160_6	162_2_5	162_2_5	160_6	159_8	161_10	1089_19_17	1089_19_17	 	467	 	 	 	 	 	 
Streptococcus pneumoniae GA14798 (760778.3)	160_6	162_2_5	162_2_5	160_6	159_8	161_10	980_17_19	980_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA16121 (760779.3)	164_6	166_2_5	166_2_5	164_6	163_8	165_10	1032_17_19	1032_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA16242 (760780.3)	187_6	189_2_5	189_2_5	187_6	186_8	188_10	1076_17_19	1076_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA16531 (760781.3)	191_6	193_2_5	193_2_5	191_6	190_8	192_10	1126_17_19	1126_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA17301 (760785.3)	174_6	176_2_5	176_2_5	174_6	173_8	175_10	1112_17_19	1112_17_19	 	463	 	 	 	 	 	 
Streptococcus pneumoniae GA17328 (760790.3)	226_6	228_2_5	228_2_5	226_6	225_8	227_10	"1173_17_19, 1174_17_19"	"1173_17_19, 1174_17_19"	 	547	 	 	 	 	 	 
Streptococcus pneumoniae GA17371 (760786.3)	167_6	169_2_5	169_2_5	167_6	166_8	168_10	1035_17_19	1035_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA17457 (760787.3)	177_6	179_2_5	179_2_5	177_6	176_8	178_10	1117_19_17	1117_19_17	 	467	 	 	 	 	 	 
Streptococcus pneumoniae GA17484 (760788.3)	 	 	 	 	 	 	1461_19_17	1461_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA17545 (886289.3)	159_6	161_2_5	161_2_5	159_6	158_8	160_10	1087_19_17	1087_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA17570 (760791.3)	177_6	179_2_5	179_2_5	177_6	176_8	178_10	1116_17_19	1116_17_19	 	466	 	 	 	 	 	 
Streptococcus pneumoniae GA17719 (760792.3)	186_6	188_2_5	188_2_5	186_6	185_8	187_10	1520_19_17	1520_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA17971 (760793.3)	211_6	213_2_5	213_2_5	211_6	210_8	212_10	1085_17_19	1085_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA18068 (760794.3)	170_6	172_2_5	172_2_5	170_6	169_8	171_10	1118_19_17	1118_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA18523 (760795.3)	183_6	185_2_5	185_2_5	183_6	182_8	184_10	1893_19_17	1893_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA19077 (760797.3)	344_6	346_2_5	346_2_5	344_6	343_8	345_10	1721_17_19	1721_17_19	 	675	 	 	 	 	 	 
Streptococcus pneumoniae GA19101 (760798.3)	162_6	164_2_5	164_2_5	162_6	161_8	163_10	1027_19_17	1027_19_17	 	430	 	 	 	 	 	 
Streptococcus pneumoniae GA19690 (760800.3)	160_6	162_2_5	162_2_5	160_6	159_8	161_10	1178_19_17	1178_19_17	 	426	 	 	 	 	 	 
Streptococcus pneumoniae GA19923 (760801.3)	173_6	175_2_5	175_2_5	173_6	172_8	174_10	1050_19_17	1050_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA40028 (760803.3)	 	 	 	 	 	 	1118_19_17	1118_19_17	 	390	 	 	 	 	 	 
Streptococcus pneumoniae GA40183 (760804.3)	169_6	171_2_5	171_2_5	169_6	168_8	170_10	1556_19_17	1556_19_17	 	494	 	 	 	 	 	 
Streptococcus pneumoniae GA40410 (760805.3)	181_6	183_2_5	183_2_5	181_6	180_8	182_10	1022_19_17	1022_19_17	 	458	 	 	 	 	 	 
Streptococcus pneumoniae GA40563 (760806.3)	158_6	160_2_5	160_2_5	158_6	157_8	159_10	1055_17_19	1055_17_19	 	454	 	 	 	 	 	 
Streptococcus pneumoniae GA41277 (760808.3)	185_6	187_2_5	187_2_5	185_6	184_8	186_10	1093_17_19	1093_17_19	 	469	 	 	 	 	 	 
Streptococcus pneumoniae GA41301 (760809.3)	234_6	236_2_5	236_2_5	234_6	233_8	235_10	1181_17_19	1181_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA41317 (760810.3)	207_6	209_2_5	209_2_5	207_6	206_8	208_10	1054_19_17	1054_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA41410 (760811.3)	2006_6	2008_2_5	2008_2_5	2006_6	"2004_8, 2005_8"	2007_10	"1131_17_19, 1132_17_19"	"1131_17_19, 1132_17_19"	 	460	 	 	 	 	 	 
Streptococcus pneumoniae GA41538 (760813.3)	245_6	"247_2_5, 248_2_5"	"247_2_5, 248_2_5"	245_6	244_8	246_10	1190_19_17	1190_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA41565 (760814.3)	155_6	157_2_5	157_2_5	155_6	154_8	156_10	1065_19_17	1065_19_17	 	457	 	 	 	 	 	 
Streptococcus pneumoniae GA41688 (760815.3)	 	 	 	 	 	 	1112_17_19	1112_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA43257 (760816.3)	168_6	170_2_5	170_2_5	168_6	167_8	169_10	732_17_19	732_17_19	 	466	 	 	 	 	 	 
Streptococcus pneumoniae GA43264 (760817.3)	175_6	177_2_5	177_2_5	175_6	174_8	176_10	1159_17_19	1159_17_19	 	497	 	 	 	 	 	 
Streptococcus pneumoniae GA43265 (760818.3)	173_6	175_2_5	175_2_5	173_6	172_8	174_10	1093_19_17	1093_19_17	 	475	 	 	 	 	 	 
Streptococcus pneumoniae GA43380 (760819.3)	185_6	187_2_5	187_2_5	185_6	184_8	186_10	1056_17_19	1056_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA44128 (760820.3)	159_6	161_2_5	161_2_5	159_6	158_8	160_10	1141_19_17	1141_19_17	 	477	 	 	 	 	 	 
Streptococcus pneumoniae GA44194 (760821.3)	159_6	161_2_5	161_2_5	159_6	158_8	160_10	1039_17_19	1039_17_19	 	441	 	 	 	 	 	 
Streptococcus pneumoniae GA44288 (760822.3)	170_6	172_2_5	172_2_5	170_6	169_8	171_10	1125_17_19	1125_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA44378 (760823.3)	169_6	171_2_5	171_2_5	169_6	168_8	170_10	1044_19_17	1044_19_17	 	448	 	 	 	 	 	 
Streptococcus pneumoniae GA44386 (760824.3)	182_6	184_2_5	184_2_5	182_6	181_8	183_10	1288_17_19	1288_17_19	 	502	 	 	 	 	 	 
Streptococcus pneumoniae GA44452 (760825.3)	173_6	175_2_5	175_2_5	173_6	172_8	174_10	1138_17_19	1138_17_19	 	504	 	 	 	 	 	 
Streptococcus pneumoniae GA44500 (760826.3)	259_6	261_2_5	261_2_5	259_6	258_8	260_10	1192_19_17	1192_19_17	 	549	 	 	 	 	 	 
Streptococcus pneumoniae GA44511 (760827.3)	167_6	169_2_5	169_2_5	167_6	166_8	168_10	1101_17_19	1101_17_19	 	471	 	 	 	 	 	 
Streptococcus pneumoniae GA47033 (760828.3)	1744_6	1746_2_5	1746_2_5	1744_6	1743_8	1745_10	593_19_17	593_19_17	 	2019	 	 	 	 	 	 
Streptococcus pneumoniae GA47179 (760829.3)	151_6	153_2_5	153_2_5	151_6	150_8	152_10	1003_17_19	1003_17_19	 	423	 	 	 	 	 	 
Streptococcus pneumoniae GA47210 (760830.3)	158_6	160_2_5	160_2_5	158_6	157_8	159_10	1062_19_17	1062_19_17	 	466	 	 	 	 	 	 
Streptococcus pneumoniae GA47281 (760831.3)	199_6	201_2_5	201_2_5	199_6	198_8	200_10	1117_19_17	1117_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA47283 (760832.3)	157_6	159_2_5	159_2_5	157_6	156_8	158_10	1113_17_19	1113_17_19	 	466	 	 	 	 	 	 
Streptococcus pneumoniae GA47360 (760833.3)	168_6	170_2_5	170_2_5	168_6	167_8	169_10	1094_19_17	1094_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA47388 (760837.3)	161_6	163_2_5	163_2_5	161_6	160_8	162_10	1199_17_19	1199_17_19	 	459	 	 	 	 	 	 
Streptococcus pneumoniae GA47439 (760860.3)	159_6	161_2_5	161_2_5	159_6	158_8	160_10	1033_17_19	1033_17_19	 	438	 	 	 	 	 	 
Streptococcus pneumoniae GA47461 (760838.3)	 	 	 	 	 	 	986_19_17	986_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA47502 (760839.3)	220_6	222_2_5	222_2_5	220_6	219_8	221_10	1169_19_17	1169_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA47522 (760840.3)	170_6	172_2_5	172_2_5	170_6	169_8	171_10	835_19_17	835_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA47562 (760841.3)	164_6	166_2_5	166_2_5	164_6	163_8	165_10	1299_17_19	1299_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA47597 (760842.3)	146_6	148_2_5	148_2_5	146_6	145_8	147_10	1016_19_17	1016_19_17	 	415	 	 	 	 	 	 
Streptococcus pneumoniae GA47628 (760843.3)	180_6	182_2_5	182_2_5	180_6	179_8	181_10	1102_19_17	1102_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA47688 (760844.3)	175_6	177_2_5	177_2_5	175_6	174_8	176_10	547_17_19	547_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA47751 (760845.3)	95_6	97_2_5	97_2_5	95_6	94_8	96_10	1159_17_19	1159_17_19	 	408	 	 	 	 	 	 
Streptococcus pneumoniae GA47760 (760846.3)	147_6	149_2_5	149_2_5	147_6	146_8	148_10	989_17_19	989_17_19	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA47794 (760848.3)	145_6	147_2_5	147_2_5	145_6	144_8	146_10	945_17_19	945_17_19	 	417	 	 	 	 	 	 
Streptococcus pneumoniae GA47901 (760861.3)	160_6	162_2_5	162_2_5	160_6	159_8	161_10	1108_17_19	1108_17_19	 	485	 	 	 	 	 	 
Streptococcus pneumoniae GA47976 (760850.3)	160_6	162_2_5	162_2_5	160_6	159_8	161_10	1185_19_17	1185_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA49138 (760851.3)	154_6	156_2_5	156_2_5	154_6	153_8	155_10	1007_19_17	1007_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA49194 (760852.3)	197_6	199_2_5	199_2_5	197_6	196_8	198_10	1076_19_17	1076_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA49447 (760854.3)	209_6	211_2_5	211_2_5	209_6	208_8	210_10	1161_17_19	1161_17_19	 	535	 	 	 	 	 	 
Streptococcus pneumoniae GA49542 (760855.3)	164_6	166_2_5	166_2_5	164_6	163_8	165_10	1081_17_19	1081_17_19	 	448	 	 	 	 	 	 
Streptococcus pneumoniae GA52306 (760856.3)	195_6	197_2_5	197_2_5	195_6	194_8	196_10	1068_19_17	1068_19_17	 	471	 	 	 	 	 	 
Streptococcus pneumoniae GA52612 (760858.3)	155_6	157_2_5	157_2_5	155_6	154_8	156_10	1902_17_19	1902_17_19	 	430	 	 	 	 	 	 
Streptococcus pneumoniae GA54354 (1105115.3)	178_6	180_2_5	180_2_5	178_6	177_8	179_10	1091_19_17	1091_19_17	 	495	 	 	 	 	 	 
Streptococcus pneumoniae GA54644 (760859.3)	170_6	172_2_5	172_2_5	170_6	169_8	171_10	1111_17_19	1111_17_19	 	472	 	 	 	 	 	 
Streptococcus pneumoniae GA56113 (1105116.3)	176_6	178_2_5	178_2_5	176_6	175_8	177_10	1143_17_19	1143_17_19	 	479	 	 	 	 	 	 
Streptococcus pneumoniae GA58581 (1105118.3)	 	 	 	 	 	 	512_19_17	512_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA58771 (1105121.3)	180_6	182_2_5	182_2_5	180_6	179_8	181_10	1667_19_17	1667_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA58981 (1131628.3)	202_6	204_2_5	204_2_5	202_6	201_8	203_10	1233_19_17	1233_19_17	 	 	 	 	 	 	 	 
Streptococcus pneumoniae GA60132 (1131627.3)	173_6	175_2_5	175_2_5	173_6	172_8	174_10	1167_17_19	1167_17_19	 	468	 	 	 	 	 	 
Streptococcus pneumoniae GA60190 (1105120.3)	166_6	168_2_5	168_2_5	166_6	165_8	167_10	1066_19_17	1066_19_17	 	445	 	 	 	 	 	 
