Organism	GltBD	GltBfd	GdhNAD	GdhNADP	AspC	AsnA	AnsB	AnsA	GlsA	GlnN	MurI	AmPPT	GFPT	GlnABC
Enterobacter aerogenes FGI35 (685445.4)	1371_2, 1498_2, 2910_2, 699_2, 700_1	 	 	 	1310, 1836, 2321, 2341, 2695, 3395, 3865, 3872, 4416	173	3652_11	2097_15	2714	14_18	85	1576	189	3523_26, 3524_25, 3525_24
Enterobacter aerogenes KCTC 2190 (1028307.3)	898_1, 899_2	 	 	 	3045	1435	2791_11	4320_16	3722	1460_18	1531	4868	1419	2921_24, 2922_25, 2923_26, 3461_26
Enterobacter cancerogenus ATCC 35316 (500639.8)	3820_1, 3821_2	 	 	996_8	1295, 1449, 2927, 2935, 3745, 617, 784	2523	2207_11	232_15, 991_16	1327	4046_18	4130	141	2539	 
Enterobacter asburiae LF7a (640513.3)	3325_2, 4055_1, 4056_2	 	 	1871_8	1122, 1132, 1603, 2263, 2471, 3958, 663, 664, 666	4567	1337_11	1866_15, 3346_15	2316	4542_18	4445	3185	4584	 
Enterobacter cloacae EcWSU1 (1045856.3)	3193_2, 3917_1, 3918_2	 	 	1716_8	1054, 1465, 1908, 2071, 2335, 3842, 4477, 509, 512, 949, 959	4399	1199_11	1711_15, 3213_15	2113	4373_18	4289	3114	4414	 
Enterobacter cloacae SCF1 (701347.4)	2846_2, 501_2, 502_1	 	2318	2318, 2645_8	1072, 2264, 2428, 2906, 3393, 3402, 3892, 573	4485	3196_11	1294_15, 2656_15, 820_15	1753, 2328	4459_18	4352	1434	4500	 
Enterobacter cloacae subsp. cloacae 08XA1 (1203195.3)	1223_2, 1979_2, 766_2, 767_1	 	 	4058_8	1510, 1521, 2717, 2719, 285, 2954, 4275, 50	2374	319_11	1999_15, 4063_15	176	655_18	1361	1901	2359	 
Enterobacter cloacae subsp. cloacae ATCC 13047 (716541.4)	4751_1, 4752_2	 	 	2639_8	1469, 1479, 2050, 2236, 2901, 988, 990	5267	3211_11	2644_16, 3945_15	2189	5241_18	5154	3819	5282	 
Enterobacter cloacae subsp. cloacae ENHKU01 (1211025.3)	3367_2, 3945_1, 3946_2	 	 	1800_8	1059, 1067, 1557, 1989, 2179, 2317, 2353, 594, 596	12	1294_11	1795_15, 3237_15	2217	4378_18	4285	3117	27	 
Enterobacter cloacae subsp. cloacae GS1 (1177927.3)	2761_2, 2762_1, 4589_2	 	 	1056_8, 1057_8	1283, 1862, 1874, 3534, 4367, 4369, 558, 719	3999	1608_11	1064_15, 2797_15	681	3621_18	3707	3363	3230	 
Enterobacter cloacae subsp. dissolvens SDM (1104326.3)	3350_1, 3351_2, 4402_2	 	 	144_8	1609, 225, 3432, 3434, 3483, 4409, 749, 858	507	606_11	2514_15, 2543_15	1563	2665_18	5	1402	522	 
Enterobacter cloacae subsp. dissolvens SP1 (1235834.3)	1708_2, 1709_1, 3377_2, 4384_2	 	 	846_8	1067, 1174, 1202, 2194, 3145, 4433, 4453, 527	2456	222_11	840_15	1058	4592_18	4069	3058	2475	 
Enterobacter hormaechei YT2 (1259823.3)	3687_2, 3688_1, 496_2, 674_2	 	 	2949_8	1468, 1633, 1899, 1910, 2352, 2354, 3162, 3766	4008	4448_11	2954_15, 654_15	1595	4034_18	4409	754	3993	 
Enterobacter hormaechei YT3 (1260282.3)	1410_2, 3525_2, 3526_1	 	 	2749_8	212, 2202, 222, 2367, 2962, 3604, 664, 666	1266	11_11	1390_15, 2754_15	2329	1292_18	3174	1490	1251	 
Enterobacter hormaechei ATCC 49162 (888063.3)	3159_2, 3910_1, 3911_2	 	 	601_8	1365, 1831, 1833, 2222, 2402, 862	206	1126_11	3179_15, 614_15	2262	181_18	88	3087	222	 
Escherichia albertii TW07627 (502347.3)	548_2, 549_1	 	 	2619_8	1184, 2312, 3292, 3780	4481	2718_11	2628_16, 903_15	2250, 2855	4656_18	4756	1516	4474	 
Escherichia albertii TW11588 (754333.3)	2526_1, 2527_2, 387_2	 	 	1858_8	1671, 195, 2680, 3252	3154	2573_11	1853_16, 3651_15	2460, 3601	4294_18	2359	2735	3170	3356_24
Escherichia coli 1125A (562.373)	1998_1, 1999_2	 	 	 	1087	902	3062_11	4506_15, 5527_16	3250, 5022	2538_18	2663	4069	918	1224_26, 1225_25, 1226_24
Escherichia coli 1212A (562.372)	2720_1, 2721_2	 	 	 	953	3860	1664_11	2436_15, 4859_16	1161, 1476	3738_18	3613	5449	3876	1089_26, 1090_25, 1091_24
Escherichia coli 536A (562.374)	4797_1, 4798_2	 	 	 	2487	1949	5314_11	4253_16, 4512_15	2423, 5500	3528_18	3652	3467	1965	2623_26, 2624_25, 2625_24
Escherichia coli IMT2125 (562.1188)	2553_2, 3077_2, 3446_1, 3447_2	 	 	1842_8	1017, 4666	4005	676_11	1848_16, 3158_15	1600, 503	4117_18	4232	2415	3990	835_24, 836_25, 837_26
Escherichia coli EC4100B (945434.3)	2887_2, 772_1, 773_2	 	 	4968_8	2138, 3582, 383	1279	4591_11	304_15, 4975_16	1054, 972	3913_18	1129	2757	1295	3728_24, 3729_25, 3730_26
Escherichia coli 0.1288 (1005442.3)	2627_2, 3055_2, 3414_1, 3415_2	 	 	1786_8	4698, 883	4086	678_11	1793_16, 3134_15	1570, 490	4206_18	4311	2447	4071	761_24, 762_25, 763_26
Escherichia coli 0.1304 (1005441.3)	3782_2, 4126_1, 4127_2	 	 	 	1175	4771	861_11	2464_16, 3862_15	2173, 684	4884_18	5002	3192	4756	1046_24, 1047_25, 1048_26
Escherichia coli 042 (216592.3)	3640_1, 3641_2	 	 	2002_8	1052	4282	729_11	2010_16, 3298_15	1714, 549	4399_18	4505	2671	4266	927_24, 928_25, 929_26
Escherichia coli 07798 (1005566.3)	2959_2, 3346_2, 3713_1, 3714_2	 	 	 	1185, 1969, 29	4275	743_11	2280_16, 3424_15	2043, 600	4392_18	4502	2822	4260	982_24, 983_25
Escherichia coli 09BKT078844 (1081887.3)	3705_2, 3996_1, 3997_2	 	 	 	1212	4617	885_11	2345_16, 3672_15	2078, 710	4727_18	4841	3068	4602	1068_24, 1069_25, 1070_26
Escherichia coli 1.2264 (869675.4)	2207_2, 2208_1	 	 	3089_8	278, 5051, 5405	3237	534_11	3097_16, 4435_15	2739, 697, 698	3350_18	3460	1415	3222	397_26, 398_25, 399_24
Escherichia coli 1.2741 (869669.4)	1886_2, 3233_1, 3234_2	 	 	2691_8	4618, 5115, 856	3843	4840_11	2685_16, 5307_15	1654, 953	3971_18	4085	2038	3827	4991_24, 4992_25, 4993_26
Escherichia coli 10.0821 (1005469.3)	3656_2, 3980_1, 3981_2	 	 	 	1281	4489	975_11	2422_16, 3737_15	2164, 800	4608_18	63	3055	4474	1152_24, 1153_25, 1154_26
Escherichia coli 10.0833 (1005466.3)	3878_2, 4224_1, 4225_2	 	 	 	1277	4886	943_11	2358_16, 3961_15	2081, 763	5000_18	5114	3148	4871	1148_24, 1149_25, 1150_26
Escherichia coli 10.0869 (1005467.3)	3557_2, 3903_1, 3904_2	 	 	 	964	4529	660_11	2219_16, 3639_15	1942, 482	4645_18	4761	2955	4514	836_24, 837_25, 838_26
Escherichia coli 1180 (670904.3)	2270_2, 2271_1, 3793_2	 	 	503_8	2995, 4802, 5603	3266	1218_11	1072_15, 509_16	2683, 5192	3384_18	3495	4012	3249	5724_26, 5726_24
Escherichia coli 1357 (670905.3)	2155_2, 3500_1, 3501_2	 	 	357_8	1300, 4621, 775	4033	1599_11	3230_15, 351_16	1764, 679	4146_18	4256	2290	4018	1465_26, 1466_25, 1467_24
Escherichia coli 174750 (1125634.3)	3550_2, 3947_1, 3948_2	 	 	2256_8	1442, 463, 464	4540	1167_11	2262_16, 3626_15	2040, 994	4651_18	4762	2897	4525	1282_24, 1283_25, 1284_26
Escherichia coli 174900 (1116003.3)	2872_2, 3289_2, 3664_1, 3665_2	 	 	2129_8	1201, 4896	4201	930_11	2136_16, 3389_15	1864, 773	4317_18	4448	2690	4186	1079_24, 1080_25, 1081_26
Escherichia coli 178900 (1116108.3)	2977_2, 3364_2, 3770_1, 3771_2	 	 	2211_8	1330, 5012	4326	1043_11	2217_16, 3437_15	1950, 886	4434_18	4582	2798	4311	1202_24, 1203_25, 1204_26
Escherichia coli 179100 (1125652.3)	2825_2, 3259_2, 3664_1, 3665_2	 	 	1989_8	1047, 1048, 1130, 4889	4204	666_11	1997_16, 3346_15	1755, 470	4321_18	4470	2548	4189	897_24, 898_25, 899_26
Escherichia coli 179550 (1116109.3)	2894_2, 3301_2, 3760_1, 3761_2	 	 	2214_8	1309, 4894	4284	1015_11	2221_16, 3383_15	1978, 853	4401_18	4510	2735	4269	1179_24, 1180_25, 1181_26
Escherichia coli 180050 (1116103.3)	3202_2, 3612_1, 3613_2	 	 	 	1116	4168	771_11	2036_16, 3329_15	1731, 606	4284_18	4402	2646	4153	947_25, 948_26
Escherichia coli 180200 (1116104.3)	2834_2, 3249_2, 3691_1, 3692_2	 	 	2135_8	1278, 4865	4217	953_11	2142_16, 3335_15	1867, 783	4332_18	4452	2682	4202	1114_24, 1115_25, 1116_26
Escherichia coli 180600 (1116105.3)	2899_2, 3440_2, 3815_1, 3816_2	 	 	2169_8	1285, 5019	4351	989_11	2176_16, 3521_15	1924, 820	4464_18	4570	2745	4336	1156_24, 1157_25, 1158_26
Escherichia coli 1827-70 (670888.3)	3029_2, 3030_1	 	 	 	1546, 2107	2474	1228_11	272_16, 3323_15, 3324_15	1071, 2224	2354_18	2246	3962	2489	1371_24, 1372_25, 1373_26
Escherichia coli 199900.1 (1116130.3)	2789_2, 3301_2, 3672_1, 3673_2	 	 	2252_8	1410, 4947	4279	1090_11	2259_16, 3382_15	2009, 904	4392_18	4502	589	4264	1290_25, 1291_26
Escherichia coli 2.3916 (869688.5)	4750_1, 4751_2	 	 	2186_8	2431	5571	4380_11	2192_16, 3421_15	1480, 1971	5684_18	5789	753	3926	2585_26, 2586_25, 2587_24
Escherichia coli 2.4168 (869690.4)	2226_1, 2227_2	 	 	 	4074	2778	3766_11	1948_15, 729_16	301, 486	2890_18	449	1304	2763	3903_24, 3904_25, 3905_26
Escherichia coli 201600.1 (1116129.3)	3746_2, 4105_1, 4106_2	 	 	 	1542	4675	1119_11	2514_16, 3824_15	2174, 952	4805_18	3260, 4939	3129	4660	1382_24, 1383_25, 1384_26
Escherichia coli 2362-75 (670897.3)	4112_2, 4113_1	 	 	 	1288, 1289, 1290, 4658	3518	823_11	2650_16, 505_15	232, 2364	5031_18	1082, 470	3290	3533	4817_26, 4818_25, 4819_24
Escherichia coli 2534-86 (754079.3)	4337_1, 4338_2	 	 	2613_8	1384, 2186, 288	4936	1097_11	2619_16, 4042_15	2280, 913	5055_18	5167	3324	4916	1260_24, 1262_26
Escherichia coli 2719100 (1116119.3)	3072_2, 3674_2, 4059_1, 4060_2	 	 	2322_8	1351, 229	4603	1018_11	2328_16, 3749_15	2065, 860	4715_18	4868	2938	4588	1154_24, 1155_25, 1156_26
Escherichia coli 2720900 (1116120.3)	2972_2, 3122_2, 3415_2, 3812_1, 3813_2	 	 	2205_8	1270, 66	4259	927_11	2212_16, 3502_15	1953, 754	4547_18	4658	2828	4274	1139_24, 1140_25, 1141_26
Escherichia coli 2722950 (1116121.3)	2842_2, 3734_1, 3735_2	 	 	 	1247	4283	918_11	2085_16, 3345_15	1819, 751	4397_18	4502	2761	4268	1122_24, 1123_25, 1124_26
Escherichia coli 2726800 (1116122.3)	3115_2, 3669_2, 4039_1, 4040_2	 	 	2352_8	1219	4621	877_11	2358_16, 3756_15	2007, 698	4739_18	3093, 4850	2918	4606	1096_24, 1097_25, 1098_26
Escherichia coli 2726950 (1116123.3)	2933_2, 3787_1, 3788_2	 	 	 	1242	4341	948_11	2155_16, 3438_15	1847, 791	4455_18	4561	2801	4326	1095_24, 1096_25, 1097_26
Escherichia coli 2729250 (1116004.3)	2662_2, 3153_2, 3637_1, 3638_2	 	 	2003_8	4630, 999	4138	651_11	2009_16, 3245_15	1768, 485	4252_18	4370	2533	4123	858_24, 859_25, 860_26
Escherichia coli 2730350 (1116005.3)	2445_2, 2861_2, 3279_1, 3280_2	 	 	1744_8	938	3770	637_11	1751_16, 2941_15	1526, 455	3880_18	4007	2311	3755	797_24, 798_25
Escherichia coli 2730450 (1116006.3)	2859_2, 3765_1, 3766_2	 	 	 	1260	4393	971_11	2175_16, 3396_15	1924, 810	4506_18	4613	2726	4378	1137_24, 1138_25
Escherichia coli 2731150 (1116007.3)	3184_2, 3598_2, 4052_1, 4053_2	 	 	 	1437	4651	1085_11	2389_16, 3671_15	2074, 918	4790_18	3161, 4897	3002	4636	1313_24, 1314_25, 1315_26
Escherichia coli 2733950 (1125635.3)	2940_2, 3375_2, 3849_1, 3850_2	 	 	 	1353, 5066	4369	1044_11	2167_16, 3452_15	1968, 862	4490_18	4597	2803	4354	1228_25, 1229_26
Escherichia coli 2735000 (1116008.3)	2614_2, 3062_2, 3575_1, 3576_2	 	 	1905_8	1020, 4733	4096	645_11	1912_16, 3148_15	1667, 472	4207_18	4359	2492	4081	883_24, 884_25, 885_26
Escherichia coli 2741950 (1116009.3)	2962_2, 3404_2, 3827_1, 3828_2	 	 	 	1276	4369	996_11	2237_16, 3490_15	1943, 820	4481_18	4587	2828	4354	1155_24, 1156_25
Escherichia coli 2747800 (1116010.3)	2690_2, 3164_2, 3629_1, 3630_2	 	 	1998_8	1089, 4557	4077	729_11	2004_16, 3256_15	1712, 568	4190_18	4301	2559	4062	933_24, 934_25, 935_26
Escherichia coli 2749250 (1116011.3)	2823_2, 3297_2, 3721_1, 3722_2	 	 	1953_8	1004, 4575	4161	681_11	1959_16, 3389_15	1686, 512	2302_18	4320	2674	4146	882_24, 883_25, 884_26
Escherichia coli 2756500 (1116012.3)	2935_2, 3386_2, 3922_1, 3923_2	 	 	2085_8	2763, 5125	4481	939_11	2092_16, 3472_15	1847, 767	4594_18	4708	2694	4466	1118_24, 1119_25, 1120_26
Escherichia coli 2762100 (1116013.3)	3217_2, 3697_1, 3698_2	 	 	 	991	4278	646_11	1877_16, 3293_15	1653, 480	4420_18	2780, 4528, 5089	2591	4263	865_24, 866_25, 867_26
Escherichia coli 2770900 (1116014.3)	2602_2, 3104_2, 3549_1, 3550_2	 	 	1913_8	4550, 953	4039, 4040	659_11	1919_16, 3196_15	1616, 533	4158_18	4295	2470	4022	831_24, 832_25, 833_26
Escherichia coli 2780750 (1116015.3)	2664_2, 3104_2, 3516_1, 3517_2	 	 	1883_8	1044, 33	4073	784_11	1889_16, 3190_15	2119, 635	4185_18	4294	2513	4058	919_25, 920_26
Escherichia coli 2785200 (1116016.3)	3012_2, 3402_2, 3767_1, 3768_2	 	 	2279_8	1378, 5039	4404	1041_11	2286_16, 3479_15	4149, 860	4517_18	4624	2874	4389	1210_26
Escherichia coli 2788150 (1116017.3)	2632_2, 3059_2, 3521_1, 3522_2	 	 	1908_8	1005, 4784	4085	705_11	1914_16, 3232_15	1671, 534	4201_18	4311	2500	4070	881_24, 882_25, 883_26
Escherichia coli 2845350 (1116124.3)	2857_2, 3746_1, 3747_2	 	 	 	1200, 4886	4269	848_11	2108_16, 3333_15	1892, 635	4384_18	4493	2724	4254	1073_25, 1074_26
Escherichia coli 2845650 (1116125.3)	3001_2, 3003_2, 3493_2, 3852_1, 3853_2	 	 	2268_8	1198, 1914, 5083	4414	873_11	2275_16, 3579_15	2017, 697	4527_18	4683	2812	4399	1073_25
Escherichia coli 2846750 (1116126.3)	2592_2, 3014_2, 3463_1, 3464_2	 	 	1792_8	4825, 917	4073	642_11	1798_16, 3102_15	1464, 494	4195_18	4366	2403	4058	783_25
Escherichia coli 2848050 (1116127.3)	2712_2, 3205_2, 3572_1, 3573_2	 	 	1914_8	1002, 3474, 4784	4090	725_11	1920_16, 3294_15	1680, 525	4209_18	4325	2473	4075	868_24, 869_25, 870_26
Escherichia coli 2850400 (1116018.3)	2742_2, 3154_2, 3636_1, 3637_2	 	 	2027_8	1039, 4870	4252	663_11	2034_16, 3240_15	1688, 494	4015_18	4393	2618	4237	891_24, 892_25, 893_26
Escherichia coli 2850750 (1116019.3)	2894_2, 3382_2, 3846_1, 3847_2	 	 	2239_8	1, 1229, 5043, 5044	4373	917_11	2246_16, 3467_15	1967, 704	4484_18	4596	2707	4358	1091_25, 1092_26
Escherichia coli 2851500 (1116128.3)	2823_2, 3277_2, 3777_1, 3778_2	 	 	2021_8	1163, 4950	4294	863_11	2028_16, 3362_15	1726, 690	4407_18	4562	2641	4279	1035_25, 1036_26
Escherichia coli 2853500 (1116020.3)	3043_2, 3533_2, 3887_1, 3888_2	 	 	2078_8	1294, 5011	4407	881_11	2071_16, 3618_15	1633, 713	927_18	4616	2857	4392	1162_25, 1163_26
Escherichia coli 2854350 (1125636.3)	2948_2, 3404_2, 3768_1, 3769_2	 	 	2221_8	1321	4291	929_11	2227_16, 3488_15	2017, 706	4406_18	2926, 4515	2782	4276	1194_24, 1195_25, 1196_26
Escherichia coli 2860050 (1116021.3)	2717_2, 2865_2, 3195_2, 3636_1, 3637_2	 	 	2014_8	4651, 967	4168	618_11	2020_16, 3285_15	1732, 456	4281_18	4394	2586	4153	829_24, 830_25, 831_26
Escherichia coli 2860650 (1116022.3)	2987_2, 3486_2, 3922_1, 3923_2	 	 	2367_8	1380, 4953	4458	1018_11	2373_16, 3579_15	2125, 847	4570_18	4692	2853	4443	1211_24, 1212_25, 1213_26
Escherichia coli 2861200 (1116023.3)	2916_2, 3438_2, 3896_1, 3897_2	 	 	2157_8	1180, 238, 239	4526	2479_11, 878_11	2163_16, 3514_15	1853, 694	4645_18	4759	2764	4511	1055_24, 1057_26
Escherichia coli 2862600 (1116024.3)	2809_2, 3259_2, 3806_1, 3807_2	 	 	 	1231, 4958	4337	929_11	2057_16, 3335_15	1839, 746	4454_18	4560	2678	4322	1107_25, 1108_26
Escherichia coli 2864350 (1116025.3)	2969_2, 3417_2, 3807_1, 3808_2	 	 	2243_8	1389, 5036	4360	1094_11	2250_16, 3530_15	2019, 941	4480_18	4641	2819	4345	1264_24, 1265_25, 1266_26
Escherichia coli 2865200 (1116026.3)	2746_2, 2895_2, 3161_2, 3557_1, 3558_2	 	 	1971_8	1124, 4852, 5250	4119	733_11	1977_16, 3270_15	1752, 568	4242_18	4353	2566	4104	938_24, 939_25, 940_26
Escherichia coli 2866350 (1116027.3)	2854_2, 3354_2, 3791_1, 3792_2	 	 	2184_8	1252, 4790	4305	913_11	2190_16, 3446_15	1905, 758	4417_18	4533	2747	4290	1117_24, 1118_25, 1119_26
Escherichia coli 2866450 (1116028.3)	2858_2, 3310_2, 3802_1, 3803_2	 	 	2073_8	1175, 5025	4362	848_11	2080_16, 3395_15	1844, 677	4472_18	4585	2669	4347	1016_24, 1017_25, 1018_26
Escherichia coli 2866550 (1116029.3)	2992_2, 3135_2, 3468_2, 3853_1, 3854_2	 	 	2072_8	1205, 5033	4388	841_11	2079_16, 3554_15	1843, 674	4500_18	4615	2789	4373	1040_24, 1041_25, 1042_26
Escherichia coli 2866750 (1116030.3)	2666_2, 3151_2, 3672_1, 3673_2	 	 	1801_8	4837, 943	4225	677_11	1808_16, 3236_15	1539, 505	4346_18	4460	2433	4210	810_24, 811_25, 812_26
Escherichia coli 2867750 (1116031.3)	2857_2, 3351_2, 3746_1, 3747_2	 	 	2023_8	4936, 986	4300	666_11	2030_16, 3437_15	1750, 498	4412_18	4525	2666	4285	849_24, 850_25, 851_26
Escherichia coli 2871950 (1116032.3)	2759_2, 3185_2, 3637_1, 3638_2	 	 	 	4907, 950	4243	641_11	1879_16, 3272_15	1619, 494	4365_18	4469	2558	4228	802_24, 803_25
Escherichia coli 2872000 (1116033.3)	2854_2, 3307_2, 3778_1, 3779_2	 	 	 	1101, 4973	4336	674_11	2039_16, 3393_15	1758, 527	4450_18	4555	2699	4321	915_25
Escherichia coli 2872800 (1116034.3)	2836_2, 3327_2, 3816_1, 3817_2	 	 	1957_8	1198, 4946	4340	904_11	1964_16, 3413_15	1721, 668	4450_18	4565	2647	4325	1067_24, 1068_25, 1069_26
Escherichia coli 2875000 (1116035.3)	2804_2, 3298_2, 3796_1, 3797_2	 	 	1741_8	1180, 4986	4332	859_11	1734_16, 3383_15	1819, 684	4443_18	4557	2616	4317	1049_24, 1050_25
Escherichia coli 2875150 (1116036.3)	3198_2, 4039_1, 4040_2	 	 	2430_8	1429, 5237	4553	1083_11	2436_16, 3648_15	2215, 919	4673_18	4784	3068	4538	1298_26
Escherichia coli 3.2303 (869691.4)	1131_2, 1132_1	 	 	 	1340, 3729	4108	221_11	1784_16, 4887_15	3167, 379	3998_18	2242	2544	4123	52_26, 53_25, 54_24
Escherichia coli 3.2608 (869679.4)	3029_1, 3030_2	 	 	1227_8	4260, 59, 838	3576	5031_11	1234_16, 2625_15	4811, 927	3692_18	3803	1900	3561	5226_24, 5227_25, 5228_26
Escherichia coli 3.3884 (869689.4)	2804_1, 2805_2	 	 	634_8	1034, 1646, 4450	5034	1902_11	2472_15, 640_16	2116, 942	4919_18	4810	3569	5049	1766_26, 1768_24
Escherichia coli 3.4870 (1005450.3)	3745_2, 4090_1, 4091_2	 	 	 	1192	4721	879_11	2468_16, 3827_15	2179, 699	4867_18	4981	3188	4706	1063_24, 1064_25, 1065_26
Escherichia coli 3003 (869692.4)	1329_2, 1330_1	 	 	 	2798, 3562, 86	774	4125_11	1624_15, 3241_16	3447, 4269	661_18	513	2261	789	3000_26, 3001_25, 3002_24
Escherichia coli 3006 (1005565.3)	2954_2, 3372_2, 3699_1, 3700_2	 	 	2034_8	936	4295	701_11	2040_16, 3444_15	1787, 542	4411_18	4517	2698	4280	866_24, 867_25, 868_26
Escherichia coli 3431 (670892.3)	2828_1, 2829_2	 	 	 	267, 633	1137	3038_11	2062_16, 4901_15	3196, 345	1023_18	2242	4259	1152	48_24, 49_25, 50_26
Escherichia coli 4.0522 (869681.4)	3889_2, 3890_1	 	 	3217_8	1330, 2405, 4225	5740	2712_11	3211_16, 4928_15	4319, 713	5620_18	5510	1933	5757	2527_26, 2529_24
Escherichia coli 4.0967 (869687.5)	1334_2, 1335_1	 	 	3396_8	2326, 3828, 5227	776	4674_11	3138_15, 3403_16	4447, 5140	664_18	550	4843, 4844	791	5935_24, 5936_25, 5937_26
Escherichia coli 4_1_47FAA (1127356.4)	2305_1, 2306_2	 	 	 	1215, 1843, 5432, 671	4711	476_11	1555_15, 1556_15, 2656_16	2421, 277	4546_18	4437	3830	4726	1971_25, 1972_24
Escherichia coli 5.0588 (869671.4)	2686_1, 2687_2	 	 	1118_8	3876, 413, 769	3239	4585_11	1124_16, 2413_15	4422, 4423, 872	3350_18	3459	1720	3224	534_26, 535_25, 536_24
Escherichia coli 5.0959 (869684.5)	1264_2, 1265_1	 	 	4553_8	2953, 3280, 4892	724	2689_11, 4194_11	1626_15, 4547_16	2487, 4799	606_18	503	3914	739	2829_24, 2830_25, 2831_26
Escherichia coli 5.2239 (1005452.3)	3799_2, 4142_1, 4143_2	 	 	 	1346	4768	1033_11	2580_16, 3878_15	2302, 855	4882_18	4997	3206	4753	1216_24, 1217_25, 1218_26
Escherichia coli 536 (362663.9)	3343_1, 3344_1, 3345_2	 	 	 	4647, 950	3989	693_11	1739_16, 2993_15	1524, 553	4126_18	4234	2382	3973	830_24, 831_25, 832_26
Escherichia coli 53638 (344610.7)	3020_2, 3021_1	 	 	 	731	2449	1023_11, 1024_11	3311_15, 5425_16	1187, 5204	2327_18	2173	4008	2465	872_26, 873_25, 874_24
Escherichia coli 541-1 (752786.3)	1115_1, 1116_2	 	 	3791_8	1580, 2047, 3005	2688	2462_11	3797_16, 843_15	1552, 3576	1187_18	2700	4346	2673	2213_26, 2214_25, 2215_24
Escherichia coli 541-15 (752785.3)	1377_1, 1378_2	 	 	3553_8	3447, 4140, 764	4796	2988_11	2611_15, 3547_16	1801, 3794	4627_18	4484	1698	4781	4268_26, 4269_25, 4270_24
Escherichia coli 5412 (1005561.3)	3982_1, 3983_2	 	 	 	1145, 5233	4609	775_11	2288_16, 3717_15	2041, 600	4722_18	4838	3040	4594	958_24, 959_25, 960_26
Escherichia coli 55989 (585055.8)	2784_2, 3670_1, 3671_2	 	 	1962_8	1602, 5016, 993	4255	672_11	1969_16, 3290_15	1689, 511	4373_18	4488	2598	4239	868_24, 869_25, 870_26
Escherichia coli 5905 (1005558.3)	4073_2, 4074_2, 4471_1, 4472_2	 	 	 	1430, 244	5101	1112_11	2724_16, 4154_15	2300, 935	5219_18	5295	3453	5086	1301_24, 1302_25, 1303_26
Escherichia coli 6.0172 (1005455.3)	3855_2, 4202_1, 4203_2	 	 	 	1181	4826	865_11	2493_16, 3938_15	2212, 685	4940_18	5056	3171	4811	1052_24, 1053_25, 1054_26
Escherichia coli 75 (752788.3)	1692_2, 1693_1	 	 	4126_8	2753, 2754, 3228	158	3492_11	1971_15, 4132_16	3656, 3918	480_18	584	1372	143	3354_26, 3355_25, 3356_24
Escherichia coli 8.0416 (1005463.3)	3957_1, 3958_2	 	 	 	2722	4502	718_11	2185_16, 3694_15	1918, 537	4631_18	4612	2997	4487	886_24, 887_25, 888_26
Escherichia coli 8.0566 (1005462.3)	3376_1, 3377_2	 	 	 	4543, 958	3952	698_11	1786_16, 3104_15	1544, 519	4075_18	4181	2361	3937	834_24, 835_25, 836_26
Escherichia coli 8.0569 (1005464.3)	3372_1, 3373_2	 	 	 	4486, 878	3932	658_11	1730_16, 3102_15	1488, 478	4047_18	4152	2315	3917	754_24, 755_25, 756_26
Escherichia coli 8.0586 (1005461.3)	4259_1, 4260_2	 	 	 	2981	4884	982_11	2469_16, 3998_15	2193, 800	4998_18	5114	3278	4869	1164_24, 1165_25, 1166_26
Escherichia coli 8.2524 (1005460.3)	3619_2, 3963_1, 3964_2	 	 	 	1064	4613	749_11	2246_16, 3699_15	1984, 570	4727_18	4844	2986	4598	936_25, 937_26
Escherichia coli 83972 (525281.3)	3736_1, 3737_2	 	 	 	1926, 2024, 32, 4405	3244	2279_11	4702_15, 731_16	1010, 2418	3426_18	3313	4120	3228	2142_26, 2143_25
Escherichia coli 88.0221 (1005397.3)	4013_1, 4014_2	 	 	 	1296	4632	985_11	2301_16, 3748_15	2024, 806	4745_18	4859	3016	4617	1167_24, 1168_25, 1169_26
Escherichia coli 88.1042 (1005398.3)	3697_2, 4040_1, 4041_2	 	 	 	1182	4662	864_11	2389_16, 3778_15	2126, 686	4776_18	4892	3064	4647	1052_24, 1053_25, 1054_26
Escherichia coli 88.1467 (1005396.3)	3761_2, 4102_1, 4103_2	 	 	 	1271	4723	952_11	2418_16, 3842_15	2121, 772	4837_18	4952	3134	4708	1140_24, 1141_25, 1142_26
Escherichia coli 89.0511 (1005399.3)	3623_2, 3965_1, 3966_2	 	 	 	1122	4587	805_11	2328_16, 3705_15	1987, 630	4798_18	4716	2984	4572	993_24, 994_25, 995_26
Escherichia coli 9.0111 (869686.4)	4508_1, 4509_2, 574_2	 	 	4994_8	2127, 2776, 4094	4891	5075_11	494_15, 4988_16	3738, 5302	3029_18	3426	1128	4876	3274_26, 3275_25, 3276_24
Escherichia coli 9.1649 (869685.3)	4356_1, 4357_1, 4358_2	 	 	 	1891, 1993, 2468, 3741, 704, 795	4920	1530_11	2785_16, 4059_15	1387, 2561	159_18	266	3449	4905	1716_24, 1717_25, 1718_26
Escherichia coli 90.0039 (1005401.3)	3560_2, 3905_1, 3906_2	 	 	 	1046	4521	728_11	2196_16, 3643_15	1901, 543	4634_18	4749	2935	4506	914_24, 915_25, 916_26
Escherichia coli 90.0091 (1005400.3)	4295_1, 4296_2	 	 	 	1319	4921	986_11	2591_16, 4035_15	2307, 807	5029_18	5146	3308	4906	1172_24, 1173_25, 1174_26
