Organism	ThiO	ThiG	TenI	ThiF	ThiE	ThiH	ThiI	ThiC	ThiD	ThiV	ThiXYZ	YkoCDE	CytX	ThiW	ThiU	ThiT	ThiBPQ	PnuT	HmpT
Escherichia coli str. K-12 substr. W3110 (316407.9)	 	3323	 	3321_11, 3322_4	3320_5	3324	419_15	3319_16	2124_18	 	 	 	 	 	 	 	62_40, 63_39, 64_38	 	 
Escherichia coli W3110 (316407.3)	 	3164	 	3162_11, 3163_4	3161_5	3165	409_15	3160_16	2037_18	 	 	 	 	 	 	 	66_40, 67_39, 68_38	 	 
Escherichia coli KD2 (752784.3)	 	2449	 	2447_11, 2448_4	2446_5	2450	573_21	2445_16	4245_18	 	 	 	 	 	 	 	2597_38, 2598_39, 2599_40	 	 
Escherichia coli KO11 (595495.5)	 	4403	 	4401_11, 4402_4	4400_5	4404	3472_21	4399_16	1681_18	 	 	 	 	 	 	 	3904_38, 3905_39, 3906_40	 	 
Escherichia coli KTE1 (1169315.3)	 	5191	 	5192_4, 5193_11	5194_5	5190	1134_15	5195_16	3123_18	 	 	 	 	 	 	 	728_40, 729_39, 730_38	 	 
Escherichia coli KTE10 (1169330.3)	 	1468	 	1469_4, 1470_11	1471_5	1467	2403_21	1472_16	4297_18	 	 	 	 	 	 	 	2046_40, 2047_39, 2048_38	 	 
Escherichia coli KTE100 (1182699.3)	 	183	 	184_4, 185_11	186_5	182	1194_21	187_16	3137_18	 	 	 	 	 	 	 	734_40, 735_39, 736_38	 	 
Escherichia coli KTE101 (1182700.3)	 	2939	 	2940_4, 2941_11	2942_5	2938	3789_21	2943_16	925_18	 	 	 	 	 	 	 	3451_40, 3452_39, 3453_38	 	 
Escherichia coli KTE102 (1182701.3)	 	928	 	929_4, 930_11	931_5	927	1811_21	932_16	3639_18	 	 	 	 	 	 	 	1513_40, 1514_39, 1515_38	 	 
Escherichia coli KTE103 (1182702.3)	 	220	 	221_4, 222_11	223_5	219	1111_15	224_16	3055_18	 	 	 	 	 	 	 	776_40, 777_39, 778_38	 	 
Escherichia coli KTE104 (1169372.3)	 	4261	 	4262_4, 4263_11	4264_5	4260	429_15	4265_16	2237_18	 	 	 	 	 	 	 	65_40, 66_39, 67_38	 	 
Escherichia coli KTE105 (1169373.3)	 	4245	 	4246_4, 4247_11	4248_5	4244	452_15	4249_16	2253_18	 	 	 	 	 	 	 	105_40, 106_39, 107_38	 	 
Escherichia coli KTE106 (1169374.3)	 	4179	 	4180_4, 4181_11	4182_5	4178	341_15	4183_16	2193_18	 	 	 	 	 	 	 	4710_40, 4711_39, 4712_38	 	 
Escherichia coli KTE107 (1182703.3)	 	4793	 	4794_4, 4795_11	4796_5	4792	936_21	4797_16	2733_18	 	 	 	 	 	 	 	447_40, 448_39, 449_38	 	 
Escherichia coli KTE108 (1182704.3)	 	1298	 	1299_4, 1300_11	1301_5	1297	2196_21	1302_16	4014_18	 	 	 	 	 	 	 	1769_40, 1770_39, 1771_38	 	 
Escherichia coli KTE109 (1169375.3)	 	4161	 	4162_4, 4163_11	4164_5	4160	571_15	4165_16	2240_18	 	 	 	 	 	 	 	172_40, 173_39, 174_38	 	 
Escherichia coli KTE11 (1169331.3)	 	3684	 	3685_4, 3686_11	3687_5	3683	223_21	3688_16	1832_18	 	 	 	 	 	 	 	4118_40, 4119_39, 4120_38	 	 
Escherichia coli KTE111 (1182706.3)	 	228	 	229_4, 230_11	231_5	227	1107_15	232_16	2848_18	 	 	 	 	 	 	 	763_40, 764_39, 765_38	 	 
Escherichia coli KTE112 (1169376.3)	 	4568	 	4569_4, 4570_11	4571_5	4567	493_21	4572_16	2525_18	 	 	 	 	 	 	 	104_40, 105_39, 106_38	 	 
Escherichia coli KTE113 (1169377.3)	 	4521	 	4522_4, 4523_11	4524_5	4520	722_15	4525_16	2522_18	 	 	 	 	 	 	 	345_40, 346_39, 347_38	 	 
Escherichia coli KTE114 (1169321.3)	 	1051	 	1049_11, 1050_4	1048_5	1052	2348_21	1047_16	3921_18	 	 	 	 	 	 	 	2009_40, 2010_39, 2011_38	 	 
Escherichia coli KTE115 (1182707.3)	 	4337	 	4338_4, 4339_11	4340_5	4336	346_15	4341_16	2320_18	 	 	 	 	 	 	 	4838_40, 4839_39, 4840_38	 	 
Escherichia coli KTE116 (1182708.3)	 	306	 	307_4, 308_11	309_5	305	1259_15	310_16	3209_18	 	 	 	 	 	 	 	852_40, 853_39, 854_38	 	 
Escherichia coli KTE117 (1169378.3)	 	4129	 	4130_4, 4131_11	4132_5	4128	458_21	4133_16	2253_18	 	 	 	 	 	 	 	100_40, 101_39, 102_38	 	 
Escherichia coli KTE118 (1182709.3)	 	392	 	393_4, 394_11	395_5	391	1394_15	396_16	3147_18	 	 	 	 	 	 	 	1052_40, 1053_39, 1054_38	 	 
Escherichia coli KTE119 (1182710.3)	 	4724	 	4725_4, 4726_11	4727_5	4723	907_21	4728_16	2746_18	 	 	 	 	 	 	 	440_40, 441_39, 442_38	 	 
Escherichia coli KTE12 (1169332.3)	 	4228	 	4229_4, 4230_11	4231_5	4227	373_21	4232_16	2189_18	 	 	 	 	 	 	 	4706_40, 4707_39, 4708_38	 	 
Escherichia coli KTE120 (1169379.3)	 	4475	 	4476_4, 4477_11	4478_5	4474	502_15	4479_16	2410_18	 	 	 	 	 	 	 	93_40, 94_39, 95_38	 	 
Escherichia coli KTE121 (1182711.3)	 	3975	 	3976_4, 3977_11	3978_5	3974	4911_15	3979_16	1753_18	 	 	 	 	 	 	 	4537_40, 4538_39, 4539_38	 	 
Escherichia coli KTE122 (1169380.3)	 	4492	 	4493_4, 4494_11	4495_5	4491	581_15	4496_16	2553_18	 	 	 	 	 	 	 	131_40, 132_39, 133_38	 	 
Escherichia coli KTE123 (1182712.3)	 	1646	 	1647_4, 1648_11	1649_5	1645	2652_15	1650_16	4447_18	 	 	 	 	 	 	 	2310_40, 2311_39, 2312_38	 	 
Escherichia coli KTE124 (1169381.3)	 	4443	 	4444_4, 4445_11	4446_5	4442	556_15	4447_16	2446_18	 	 	 	 	 	 	 	180_40, 181_39, 182_38	 	 
Escherichia coli KTE125 (1169382.3)	 	4400	 	4401_4, 4402_11	4403_5	4399	496_15	4404_16	2450_18	 	 	 	 	 	 	 	112_40, 113_39, 114_38	 	 
Escherichia coli KTE126 (1182713.3)	 	4783	 	4784_4, 4785_11	4786_5	4782	1589_15	4787_16	3414_18	 	 	 	 	 	 	 	489_40, 490_39, 491_38	 	 
Escherichia coli KTE127 (1182714.3)	 	270	 	271_4, 272_11	273_5	269	1238_15	274_16	3235_18	 	 	 	 	 	 	 	831_40, 832_39, 833_38	 	 
Escherichia coli KTE128 (1169383.3)	 	4337	 	4338_4, 4339_11	4340_5	4336	566_15	4341_16	2331_18	 	 	 	 	 	 	 	110_40, 111_39, 112_38	 	 
Escherichia coli KTE129 (1169384.3)	 	4392	 	4393_4, 4394_11	4395_5	4391	466_15	4396_16	2292_18	 	 	 	 	 	 	 	4972_40, 4973_39, 4974_38	 	 
Escherichia coli KTE13 (1169318.3)	 	4209	 	4210_4, 4211_11	4212_5	4208	334_21	4213_16	2172_18	 	 	 	 	 	 	 	4688_40, 4689_39, 4690_38	 	 
Escherichia coli KTE130 (1182715.3)	 	5072	 	5073_4, 5074_11	5075_5	5071	1016_15	5076_16	2919_18	 	 	 	 	 	 	 	550_40, 551_39, 552_38	 	 
Escherichia coli KTE131 (1169385.3)	 	4216	 	4217_4, 4218_11	4219_5	4215	512_21	4220_16	2220_18	 	 	 	 	 	 	 	107_40, 108_39, 109_38	 	 
Escherichia coli KTE132 (1182716.3)	 	17	 	18_4, 19_11	20_5	16	962_15	21_16	2950_18	 	 	 	 	 	 	 	589_40, 590_39, 591_38	 	 
Escherichia coli KTE133 (1169386.3)	 	4188	 	4189_4, 4190_11	4191_5	4187	516_15	4192_16	2263_18	 	 	 	 	 	 	 	107_40, 108_39, 109_38	 	 
Escherichia coli KTE134 (1182717.3)	 	477	 	475_11, 476_4	474_5	478	3085_15	473_16	4421_18	 	 	 	 	 	 	 	2689_40, 2690_39, 2691_38	 	 
Escherichia coli KTE135 (1182718.3)	 	1421	 	1422_4, 1423_11	1424_5	1420	2261_21	1425_16	3984_18	 	 	 	 	 	 	 	1878_40, 1879_39, 1880_38	 	 
Escherichia coli KTE136 (1182719.3)	 	4523	 	4524_4, 4525_11	4526_5	4522	853_21	4527_16	2523_18	 	 	 	 	 	 	 	528_40, 529_39, 530_38	 	 
Escherichia coli KTE137 (1169387.3)	 	4305	 	4306_4, 4307_11	4308_5	4304	486_15	4309_16	2278_18	 	 	 	 	 	 	 	169_40, 170_39, 171_38	 	 
Escherichia coli KTE138 (1169388.3)	 	4084	 	4085_4, 4086_11	4087_5	4083	402_21	4088_16	2152_18	 	 	 	 	 	 	 	59_40, 60_39, 61_38	 	 
Escherichia coli KTE139 (1169389.3)	 	4149	 	4150_4, 4151_11	4152_5	4148	504_21	4153_16	2224_18	 	 	 	 	 	 	 	152_40, 153_39, 154_38	 	 
Escherichia coli KTE14 (1169333.3)	 	4601	 	4602_4, 4603_11	4604_5	4600	221_15	4605_16	2519_18	 	 	 	 	 	 	 	5152_40, 5153_39, 5154_38	 	 
Escherichia coli KTE140 (1182720.3)	 	17	 	18_4, 19_11	20_5	16	958_15	21_16	2847_18	 	 	 	 	 	 	 	603_40, 604_39, 605_38	 	 
Escherichia coli KTE141 (1182721.3)	 	4703	 	4704_4, 4705_11	4706_5	4702	883_15	4707_16	2731_18	 	 	 	 	 	 	 	487_40, 488_39, 489_38	 	 
Escherichia coli KTE142 (1182722.3)	 	3465	 	3466_4, 3467_11	3468_5	3464	4367_21	3469_16	1447_18	 	 	 	 	 	 	 	3974_40, 3975_39, 3976_38	 	 
Escherichia coli KTE143 (1182723.3)	 	4641	 	4642_4, 4643_11	4644_5	4640	618_21	4645_16	2481_18	 	 	 	 	 	 	 	240_40, 241_39, 242_38	 	 
Escherichia coli KTE144 (1182724.3)	 	3970	 	3971_4, 3972_11	3973_5	3969	198_21	3974_16	1983_18	 	 	 	 	 	 	 	4458_40, 4459_39, 4460_38	 	 
Escherichia coli KTE145 (1169390.3)	 	4286	 	4287_4, 4288_11	4289_5	4285	534_15	4290_16	2262_18	 	 	 	 	 	 	 	162_40, 163_39, 164_38	 	 
Escherichia coli KTE146 (1182725.3)	 	16	 	17_4, 18_11	19_5	15	1011_21	20_16	2798_18	 	 	 	 	 	 	 	608_40, 609_39, 610_38	 	 
Escherichia coli KTE147 (1182726.3)	 	2833	 	2834_4, 2835_11	2836_5	2832	3755_15	2837_16	917_18	 	 	 	 	 	 	 	3390_40, 3391_39, 3392_38	 	 
Escherichia coli KTE148 (1169391.3)	 	4262	 	4263_4, 4264_11	4265_5	4261	447_21	4266_16	2322_18	 	 	 	 	 	 	 	123_40, 124_39, 125_38	 	 
Escherichia coli KTE15 (1169334.3)	 	4207	 	4208_4, 4209_11	4210_5	4206	200_15	4211_16	2062_18	 	 	 	 	 	 	 	4976_40, 4977_39, 4978_38	 	 
Escherichia coli KTE150 (1169392.3)	 	4258	 	4259_4, 4260_11	4261_5	4257	553_15	4262_16	2280_18	 	 	 	 	 	 	 	109_40, 110_39, 111_38	 	 
Escherichia coli KTE153 (1169393.3)	 	4266	 	4267_4, 4268_11	4269_5	4265	573_15	4270_16	2281_18	 	 	 	 	 	 	 	185_40, 186_39, 187_38	 	 
Escherichia coli KTE154 (1182728.3)	 	2089	 	2090_4, 2091_11	2092_5	2088	3087_21	2093_16	120_18	 	 	 	 	 	 	 	2674_40, 2675_39, 2676_38	 	 
Escherichia coli KTE155 (1182729.3)	 	4465	 	4466_4, 4467_11	4468_5	4464	812_15	4469_16	2514_18	 	 	 	 	 	 	 	492_40, 493_39, 494_38	 	 
Escherichia coli KTE156 (1182730.3)	 	283	 	284_4, 285_11	286_5	282	1121_15	287_16	2844_18	 	 	 	 	 	 	 	797_40, 798_39, 799_38	 	 
Escherichia coli KTE157 (1169394.3)	 	4218	 	4219_4, 4220_11	4221_5	4217	415_15	4222_16	2178_18	 	 	 	 	 	 	 	4791_40, 4792_39, 4793_38	 	 
Escherichia coli KTE158 (1182731.3)	 	144	 	145_4, 146_11	147_5	143	1092_15	148_16	2951_18	 	 	 	 	 	 	 	688_40, 689_39, 690_38	 	 
Escherichia coli KTE159 (1182732.3)	 	3953	 	3954_4, 3955_11	3956_5	3952	412_21	3957_16	2104_18	 	 	 	 	 	 	 	4460_40, 4461_39, 4462_38	 	 
Escherichia coli KTE16 (1169335.3)	 	140	 	141_4, 142_11	143_5	139	1142_15	144_16	2969_18	 	 	 	 	 	 	 	703_40, 704_39, 705_38	 	 
Escherichia coli KTE160 (1169395.3)	 	4272	 	3731_11, 4273_4, 4274_11	4275_5	4271	497_15	4276_16	2247_18	 	 	 	 	 	 	 	162_40, 163_39, 164_38	 	 
Escherichia coli KTE161 (1182733.3)	 	1574	 	1575_4, 1576_11	1577_5	1573	2635_15	1578_16	4468_18	 	 	 	 	 	 	 	2156_40, 2157_39, 2158_38	 	 
Escherichia coli KTE162 (1182734.3)	 	4513	 	4514_4, 4515_11	4516_5	4512	693_21	4517_16	2516_18	 	 	 	 	 	 	 	215_40, 216_39, 217_38	 	 
Escherichia coli KTE163 (1169396.3)	 	4411	 	4412_4, 4413_11	4414_5	4410	521_21	4415_16	2457_18	 	 	 	 	 	 	 	97_40, 98_39, 99_38	 	 
Escherichia coli KTE165 (1182735.3)	 	1458	 	1459_4, 1460_11	1461_5	1457	2323_15	1462_16	4074_18	 	 	 	 	 	 	 	1973_40, 1974_39, 1975_38	 	 
Escherichia coli KTE166 (1169397.3)	 	4260	 	11_11, 4261_4, 4262_11	4263_5	4259	530_21	4264_16	2313_18	 	 	 	 	 	 	 	198_40, 199_39, 200_38	 	 
Escherichia coli KTE167 (1169398.3)	 	4112	 	3567_11, 4113_4, 4114_11	4115_5	4111	335_15	4116_16	2082_18	 	 	 	 	 	 	 	10_38, 8_40, 9_39	 	 
Escherichia coli KTE168 (1169399.3)	 	4307	 	4308_4, 4309_11	4310_5	4306	545_15	4311_16	2283_18	 	 	 	 	 	 	 	111_40, 112_39, 113_38	 	 
Escherichia coli KTE169 (1182736.3)	 	4445	 	4446_4, 4447_11	4448_5	4444	504_15	4449_16	2363_18	 	 	 	 	 	 	 	118_40, 119_39, 120_38	 	 
Escherichia coli KTE17 (1169336.3)	 	163	 	164_4, 165_11	166_5	162	1029_15	167_16	2662_18	 	 	 	 	 	 	 	695_40, 696_39, 697_38	 	 
Escherichia coli KTE170 (1182737.3)	 	5095	 	5096_4, 5097_11	5098_5	5094	1069_15	5099_16	3065_18	 	 	 	 	 	 	 	660_40, 661_39, 662_38	 	 
Escherichia coli KTE171 (1182738.3)	 	17	 	18_4, 19_11	20_5	16	893_15	21_16	2826_18	 	 	 	 	 	 	 	500_40, 501_39, 502_38	 	 
Escherichia coli KTE172 (1279005.3)	 	3342	 	3343_4, 3344_11	3345_5	3341	4305_15	3346_16	1323_18	 	 	 	 	 	 	 	3898_40, 3899_39, 3900_38	 	 
Escherichia coli KTE173 (1181724.3)	 	5108	 	5109_4, 5110_11	5111_5	5107	1018_21	5112_16	2696_18	 	 	 	 	 	 	 	636_40, 637_39, 638_38	 	 
Escherichia coli KTE174 (1169400.3)	 	4437	 	4438_4, 4439_11, 4831_11	4440_5	4436	564_15	4441_16	2374_18	 	 	 	 	 	 	 	161_40, 162_39, 163_38	 	 
Escherichia coli KTE175 (1181725.3)	 	16	 	17_4, 18_11	19_5	15	1057_21	20_16	3041_18	 	 	 	 	 	 	 	673_40, 674_39, 675_38	 	 
Escherichia coli KTE176 (1169401.3)	 	4296	 	4297_4, 4298_11	4299_5	4295	503_15	4300_16	2222_18	 	 	 	 	 	 	 	132_40, 133_39, 134_38	 	 
Escherichia coli KTE177 (1169402.3)	 	4299	 	4300_4, 4301_11	4302_5	4298	465_15	4303_16	2262_18	 	 	 	 	 	 	 	100_39, 101_38, 99_40	 	 
Escherichia coli KTE178 (1181726.3)	 	5023	 	5024_4, 5025_11	5026_5	5022	975_21	5027_16	2971_18	 	 	 	 	 	 	 	611_40, 612_39, 613_38	 	 
Escherichia coli KTE179 (1169403.3)	 	4332	 	4333_4, 4334_11	4335_5	4331	452_15	4336_16	2244_18	 	 	 	 	 	 	 	53_40, 54_39, 55_38	 	 
Escherichia coli KTE18 (1169337.3)	 	4682	 	4683_4, 4684_11	4685_5	4681	990_15	4686_16	2671_18	 	 	 	 	 	 	 	517_40, 518_39, 519_38	 	 
Escherichia coli KTE180 (1169404.3)	 	4368	 	4369_4, 4370_11	4371_5	4367	478_15	4372_16	2366_18	 	 	 	 	 	 	 	53_40, 54_39, 55_38	 	 
Escherichia coli KTE181 (1181727.3)	 	4141	 	4142_4, 4143_11	4144_5	4140	5108_15	4145_16	2093_18	 	 	 	 	 	 	 	4698_40, 4699_39, 4700_38	 	 
Escherichia coli KTE182 (1181728.3)	 	4563	 	4564_4, 4565_11	4566_5	4562	408_15	4567_16	2255_18	 	 	 	 	 	 	 	5323_40, 5324_39, 5325_38	 	 
Escherichia coli KTE183 (1181729.3)	 	3309	 	3310_4, 3311_11	3312_5	3308	4268_15	3313_16	1213_18	 	 	 	 	 	 	 	3877_40, 3878_39, 3879_38	 	 
Escherichia coli KTE184 (1181730.3)	 	900	 	901_4, 902_11	903_5	899	1789_21	904_16	3587_18	 	 	 	 	 	 	 	1386_40, 1387_39, 1388_38	 	 
Escherichia coli KTE185 (1181731.3)	 	4690	 	4688_11, 4689_4	4687_5	4691	783_15	4686_16	2575_18	 	 	 	 	 	 	 	431_40, 432_39, 433_38	 	 
Escherichia coli KTE186 (1181732.3)	 	2112	 	2113_4, 2114_11	2115_5	2111	3112_15	2116_16	5017_18	 	 	 	 	 	 	 	2758_40, 2759_39, 2760_38	 	 
Escherichia coli KTE187 (1181733.3)	 	15	 	16_4, 17_11	18_5	14	834_15	19_16	2731_18	 	 	 	 	 	 	 	515_40, 516_39, 517_38	 	 
Escherichia coli KTE188 (1181734.3)	 	4854	 	4855_4, 4856_11	4857_5	4853	783_15	4858_16	2601_18	 	 	 	 	 	 	 	321_40, 322_39, 323_38	 	 
Escherichia coli KTE189 (1181735.3)	 	4601	 	4602_4, 4603_11	4604_5	4600	587_15	4605_16	2514_18	 	 	 	 	 	 	 	239_40, 240_39, 241_38	 	 
Escherichia coli KTE19 (1169338.3)	 	3745	 	3746_4, 3747_11	3748_5	3744	4637_15	3749_16	1787_18	 	 	 	 	 	 	 	4239_40, 4240_39, 4241_38	 	 
Escherichia coli KTE190 (1181736.3)	 	4825	 	4826_4, 4827_11	4828_5	4824	866_15	4829_16	2662_18	 	 	 	 	 	 	 	509_40, 510_39, 511_38	 	 
Escherichia coli KTE191 (1181737.3)	 	4926	 	4927_4, 4928_11	4929_5	4925	917_15	4930_16	2852_18	 	 	 	 	 	 	 	565_40, 566_39, 567_38	 	 
Escherichia coli KTE192 (1181738.3)	 	16	 	17_4, 18_11	19_5	15	986_15	20_16	2659_18	 	 	 	 	 	 	 	585_40, 586_39, 587_38	 	 
Escherichia coli KTE193 (1181739.3)	 	3333	 	3334_4, 3335_11	3336_5	3332	4384_21	3337_16	1245_18	 	 	 	 	 	 	 	3948_40, 3949_39, 3950_38	 	 
Escherichia coli KTE194 (1181740.3)	 	4795	 	4796_4, 4797_11	4798_5	4794	814_15	4799_16	2704_18	 	 	 	 	 	 	 	479_40, 480_39, 481_38	 	 
Escherichia coli KTE195 (1181741.3)	 	4825	 	4826_4, 4827_11	4828_5	4824	567_15	4829_16	2464_18	 	 	 	 	 	 	 	209_40, 210_39, 211_38	 	 
Escherichia coli KTE196 (1181742.3)	 	228	 	229_4, 230_11	231_5	227	1145_21	232_16	2972_18	 	 	 	 	 	 	 	791_40, 792_39, 793_38	 	 
Escherichia coli KTE197 (1181743.3)	 	220	 	221_4, 222_11	223_5	219	1139_15	224_16	2849_18	 	 	 	 	 	 	 	738_40, 739_39, 740_38	 	 
Escherichia coli KTE198 (1181744.3)	 	5136	 	5137_4, 5138_11	5139_5	5135	934_15	5140_16	2992_18	 	 	 	 	 	 	 	541_40, 542_39, 543_38	 	 
Escherichia coli KTE199 (1181745.3)	 	4016	 	4017_4, 4018_11	4019_5	4015	4952_15	4020_16	1792_18	 	 	 	 	 	 	 	4580_40, 4581_39, 4582_38	 	 
Escherichia coli KTE2 (1169324.3)	 	5177	 	5178_4, 5179_11	5180_5	5176	1129_15	5181_16	3111_18	 	 	 	 	 	 	 	724_40, 725_39, 726_38	 	 
Escherichia coli KTE20 (1169339.3)	 	5179	 	5180_4, 5181_11	5182_5	5178	655_21	5183_16	2960_18	 	 	 	 	 	 	 	247_40, 248_39, 249_38	 	 
Escherichia coli KTE200 (1181746.3)	 	4490	 	4491_4, 4492_11	4493_5	4489	794_15	4494_16	2695_18	 	 	 	 	 	 	 	386_40, 387_39, 388_38	 	 
Escherichia coli KTE201 (1181747.3)	 	16	 	17_4, 18_11	19_5	15	1208_15	20_16	3142_18	 	 	 	 	 	 	 	664_40, 665_39, 666_38	 	 
Escherichia coli KTE202 (1181748.3)	 	16	 	17_4, 18_11	19_5	15	1020_15	20_16	2940_18	 	 	 	 	 	 	 	554_40, 555_39, 556_38	 	 
Escherichia coli KTE203 (1181749.3)	 	810	 	811_4, 812_11	813_5	809	1638_21	814_16	3383_18	 	 	 	 	 	 	 	1294_40, 1295_39, 1296_38	 	 
Escherichia coli KTE204 (1181750.3)	 	4379	 	4380_4, 4381_11	4382_5	4378	264_15	4383_16	2033_18	 	 	 	 	 	 	 	4938_40, 4939_39, 4940_38	 	 
Escherichia coli KTE205 (1181751.3)	 	4501	 	4502_4, 4503_11	4504_5	4500	384_15	4505_16	2207_18	 	 	 	 	 	 	 	5130_40, 5131_39, 5132_38	 	 
Escherichia coli KTE206 (1181752.3)	 	4450	 	4451_4, 4452_11	4453_5	4449	772_21	4454_16	2476_18	 	 	 	 	 	 	 	280_40, 281_39, 282_38	 	 
Escherichia coli KTE207 (1181753.3)	 	138	 	139_4, 140_11	141_5	137	1180_15	142_16	2954_18	 	 	 	 	 	 	 	774_40, 775_39, 776_38	 	 
Escherichia coli KTE208 (1181754.3)	 	4688	 	4689_4, 4690_11	4691_5	4687	647_15	4692_16	2589_18	 	 	 	 	 	 	 	249_40, 250_39, 251_38	 	 
Escherichia coli KTE209 (1181755.3)	 	2182	 	2183_4, 2184_11	2185_5	2181	3157_15	2186_16	108_18	 	 	 	 	 	 	 	2755_40, 2756_39, 2757_38	 	 
Escherichia coli KTE21 (1169340.3)	 	5146	 	5147_4, 5148_11	5149_5	5145	682_21	5150_16	2994_18	 	 	 	 	 	 	 	276_40, 277_39, 278_38	 	 
Escherichia coli KTE210 (1181756.3)	 	27	 	28_4, 29_11	30_5	26	910_21	31_16	2656_18	 	 	 	 	 	 	 	504_40, 505_39, 506_38	 	 
Escherichia coli KTE211 (1181757.3)	 	4833	 	4834_4, 4835_11	4836_5	4832	1069_21	4837_16	2741_18	 	 	 	 	 	 	 	581_40, 582_39, 583_38	 	 
Escherichia coli KTE212 (1181758.3)	 	4363	 	4364_4, 4365_11	4366_5	4362	621_21	4367_16	2416_18	 	 	 	 	 	 	 	178_40, 179_39, 180_38	 	 
Escherichia coli KTE213 (1181759.3)	 	3853	 	3854_4, 3855_11	3856_5	3852	4800_15	3857_16	1748_18	 	 	 	 	 	 	 	4440_40, 4441_39, 4442_38	 	 
Escherichia coli KTE214 (1181760.3)	 	411	 	412_4, 413_11	414_5	410	1502_15	415_16	3480_18	 	 	 	 	 	 	 	1081_40, 1082_39, 1083_38	 	 
Escherichia coli KTE215 (1181761.3)	 	4476	 	4477_4, 4478_11	4479_5	4475	584_15	4480_16	2393_18	 	 	 	 	 	 	 	247_40, 248_39, 249_38	 	 
Escherichia coli KTE216 (1181762.3)	 	4889	 	4890_4, 4891_11	4892_5	4888	812_21	4893_16	2807_18	 	 	 	 	 	 	 	493_40, 494_39, 495_38	 	 
Escherichia coli KTE217 (1181763.3)	 	247	 	248_4, 249_11	250_5	246	1305_15	251_16	2987_18	 	 	 	 	 	 	 	773_40, 774_39, 775_38	 	 
Escherichia coli KTE218 (1181764.3)	 	301	 	302_4, 303_11	304_5	300	1358_15	305_16	3050_18	 	 	 	 	 	 	 	939_40, 940_39, 941_38	 	 
Escherichia coli KTE219 (1181765.3)	 	4227	 	4228_4, 4229_11	4230_5	4226	383_15	4231_16	2130_18	 	 	 	 	 	 	 	4856_40, 4857_39, 4858_38	 	 
Escherichia coli KTE22 (1169341.3)	 	4109	 	4110_4, 4111_11	4112_5	4108	199_15	4113_16	1981_18	 	 	 	 	 	 	 	4765_40, 4766_39, 4767_38	 	 
Escherichia coli KTE220 (1181766.3)	 	4118	 	4119_4, 4120_11, 4883_11	4121_5	4117	182_15	4122_16	2057_18	 	 	 	 	 	 	 	4688_40, 4689_39, 4690_38	 	 
Escherichia coli KTE221 (1181767.3)	 	4637	 	4638_4, 4639_11	4640_5	4636	668_21	4641_16	2618_18	 	 	 	 	 	 	 	198_40, 199_39, 200_38	 	 
Escherichia coli KTE222 (1181768.3)	 	1465	 	1466_4, 1467_11, 33_11	1468_5	1464	2378_21	1469_16	4213_18	 	 	 	 	 	 	 	2039_40, 2040_39, 2041_38	 	 
Escherichia coli KTE223 (1181769.3)	 	16	 	17_4, 18_11, 4789_11	19_5	15	1004_15	20_16	2838_18	 	 	 	 	 	 	 	591_40, 592_39, 593_38	 	 
Escherichia coli KTE224 (1181770.3)	 	4412	 	4413_4, 4414_11	4415_5	4411	495_15	4416_16	2320_18	 	 	 	 	 	 	 	112_40, 113_39, 114_38	 	 
Escherichia coli KTE225 (1181771.3)	 	761	 	762_4, 763_11	764_5	760	1725_15	765_16	3707_18	 	 	 	 	 	 	 	1320_40, 1321_39, 1322_38	 	 
Escherichia coli KTE226 (1181772.3)	 	4522	 	4314_11, 4523_4, 4524_11	4525_5	4521	481_15	4526_16	2362_18	 	 	 	 	 	 	 	116_40, 117_39, 118_38	 	 
Escherichia coli KTE227 (1181773.3)	 	562	 	563_4, 564_11	565_5	561	1559_15	566_16	3264_18	 	 	 	 	 	 	 	1205_40, 1206_39, 1207_38	 	 
Escherichia coli KTE228 (1181774.3)	 	3268	 	3269_4, 3270_11	3271_5	3267	4178_15	3272_16	1166_18	 	 	 	 	 	 	 	3817_40, 3818_39, 3819_38	 	 
Escherichia coli KTE229 (1181775.3)	 	3030	 	3031_4, 3032_11	3033_5	3029	4041_15	3034_16	882_18	 	 	 	 	 	 	 	3686_40, 3687_39, 3688_38	 	 
Escherichia coli KTE23 (1169342.3)	 	4607	 	4608_4, 4609_11	4610_5	4606	916_15	4611_16	2605_18	 	 	 	 	 	 	 	521_40, 522_39, 523_38	 	 
Escherichia coli KTE230 (1181776.3)	 	4779	 	4780_4, 4781_11	4782_5	4778	694_15	4783_16	2480_18	 	 	 	 	 	 	 	321_40, 322_39, 323_38	 	 
Escherichia coli KTE231 (1169323.3)	 	4387	 	4138_11, 4388_4, 4389_11	4390_5	4386	251_15	4391_16	2314_18	 	 	 	 	 	 	 	4942_40, 4943_39, 4944_38	 	 
Escherichia coli KTE232 (1169365.3)	 	4225	 	4226_4, 4227_11	4228_5	4224	552_21	4229_16	2283_18	 	 	 	 	 	 	 	101_40, 102_39, 103_38	 	 
Escherichia coli KTE233 (1181777.3)	 	2114	 	2115_4, 2116_11	2117_5	2113	3060_21	2118_16	114_18	 	 	 	 	 	 	 	2648_40, 2649_39, 2650_38	 	 
Escherichia coli KTE234 (1181778.3)	 	229	 	230_4, 231_11	232_5	228	1072_21	233_16	2872_18	 	 	 	 	 	 	 	734_40, 735_39, 736_38	 	 
