Organism	Tor	Dms	Ynf
Escherichia coli KTE167 (1169398.3)	1754_9, 1755_3, 884_2, 885_7, 886_11	798_14, 799_17, 800_18	1456_26, 1457_26, 1458_28, 1459_29
Escherichia coli KTE168 (1169399.3)	1160_2, 1161_7, 1162_11, 1994_9, 1995_3	1073_14, 1074_17, 1075_19	1701_25, 1702_26, 1703_28, 1704_29, 1705_30
Escherichia coli KTE169 (1182736.3)	1116_2, 1117_7, 1118_11, 2044_9, 2045_3	1027_14, 1028_17, 1029_19	1753_25, 1754_26, 1755_28, 1756_29, 1757_30
Escherichia coli KTE17 (1169336.3)	1551_2, 1552_7, 1553_11, 2388_9, 2389_3	1462_13, 1463_16, 1464_18	2102_29, 2103_30
Escherichia coli KTE170 (1182737.3)	1693_2, 1694_7, 1695_11, 2749_9, 2750_3	1601_14, 1602_17, 1603_19	2395_25, 2396_26, 2397_28, 2398_29, 2399_30
Escherichia coli KTE171 (1182738.3)	1470_3, 1471_7, 1472_11, 2554_9, 2555_3	1361_14, 1362_17, 1363_19	2254_25, 2255_25, 2256_26, 2257_28, 2258_29, 2259_30
Escherichia coli KTE172 (1279005.3)	1003_9, 1004_3, 4924_2, 4925_7, 4926_11	4832_14, 4833_17, 4834_19	652_25, 653_26, 654_28, 655_29, 656_30
Escherichia coli KTE173 (1181724.3)	1562_2, 1563_7, 1564_11, 2425_9, 2426_3	1473_14, 1474_17, 1475_19	2132_25, 2133_26, 2134_26, 2135_28, 2136_29, 2137_30
Escherichia coli KTE174 (1169400.3)	1071_2, 1072_7, 1073_11, 2081_9, 2082_3	985_14, 986_17, 987_18	1782_26, 1783_26, 1784_28, 1785_29
Escherichia coli KTE175 (1181725.3)	1603_2, 1604_7, 1605_11, 2768_9, 2769_3	1513_14, 1514_17, 1515_19	2473_25, 2474_26, 2475_26, 2476_28, 2477_29, 2478_30
Escherichia coli KTE176 (1169401.3)	1035_2, 1036_7, 1037_11, 1929_9, 1930_3	948_14, 949_17, 950_19	1640_25, 1642_26, 1643_28, 1644_29, 1645_30
Escherichia coli KTE177 (1169402.3)	1074_2, 1075_7, 1076_11, 2021_9, 2022_3	982_14, 983_17, 984_19	1723_25, 1724_26, 1725_28, 1726_29, 1727_30
Escherichia coli KTE178 (1181726.3)	1562_2, 1563_7, 1564_11, 2650_9, 2651_3	1427_14, 1428_17, 1429_19	2352_25, 2353_26, 2354_26, 2355_28, 2356_29, 2357_30
Escherichia coli KTE179 (1169403.3)	1058_2, 1059_7, 1060_11, 1913_9, 1914_3	970_14, 971_17, 972_19	1622_26, 1623_26, 1624_28, 1625_29, 1626_30
Escherichia coli KTE18 (1169337.3)	1556_2, 1557_7, 1558_11, 2396_9, 2397_3	1467_13, 1468_16, 1469_18	2109_29, 2110_30
Escherichia coli KTE180 (1169404.3)	1103_2, 1104_7, 1105_11, 2047_9, 2048_3	1016_14, 1017_17, 1018_19	1754_26, 1755_26, 1756_28, 1757_29, 1758_30
Escherichia coli KTE181 (1181727.3)	1727_9, 1728_3, 635_2, 636_7, 637_11	543_14, 544_17, 545_19	1428_25, 1429_26, 1430_28, 1431_29, 1432_30
Escherichia coli KTE182 (1181728.3)	1963_9, 1964_9, 1965_3, 946_2, 947_7, 948_11	857_13, 858_17, 859_18	1594_25, 1595_26, 1596_28, 1597_29, 1598_30
Escherichia coli KTE183 (1181729.3)	4840_2, 4841_7, 4842_11, 896_9, 897_3	4753_14, 4754_17, 4755_18	581_25, 582_26, 583_28, 584_29, 585_30
Escherichia coli KTE184 (1181730.3)	2425_3, 2426_7, 2427_11, 3273_9, 3274_3	2320_14, 2321_17, 2322_19	2968_26, 2969_26, 2970_28, 2971_29, 2972_30
Escherichia coli KTE185 (1181731.3)	1339_2, 1340_7, 1341_11, 2323_9, 2324_3	1250_13, 1251_17, 1252_19	2028_27, 2029_25, 2030_26, 2031_26, 2032_28, 2033_29, 2034_30
Escherichia coli KTE186 (1181732.3)	3739_2, 3740_7, 3741_11, 4778_9, 4779_3	3651_14, 3652_17, 3653_19	4361_25, 4362_25, 4363_26, 4364_28, 4431_28, 4432_29
Escherichia coli KTE187 (1181733.3)	1340_2, 1341_7, 1342_11, 2416_9, 2417_3	1253_14, 1254_17, 1255_19	2060_26, 2061_26, 2062_28, 2063_29
Escherichia coli KTE188 (1181734.3)	1293_2, 1294_7, 1295_11, 1705_3, 1706_9	1204_14, 1205_17, 1206_19	1996_29, 1997_28, 1998_26, 1999_26
Escherichia coli KTE189 (1181735.3)	1216_2, 1217_7, 1218_11, 2185_9, 2186_3	1110_13, 1111_16, 1112_18	1890_25, 1891_26, 1892_28, 1893_29, 1894_30
Escherichia coli KTE19 (1169338.3)	1510_9, 1511_3, 296_2, 297_7, 298_11	201_13, 202_17, 203_19	1214_25, 1215_26, 1216_28, 1217_29, 1218_30
Escherichia coli KTE190 (1181736.3)	1480_2, 1481_7, 1482_11, 2395_9, 2396_3	1386_14, 1387_17, 1388_19	2100_25, 2101_26, 2102_28, 2103_29, 2104_30
Escherichia coli KTE191 (1181737.3)	1542_2, 1543_7, 1544_11, 2526_9, 2527_3	1455_13, 1456_16, 1457_18	2234_26, 2235_26, 2236_28, 2237_29, 2238_30
Escherichia coli KTE192 (1181738.3)	1545_2, 1546_7, 1547_11, 2376_9, 2377_3	1457_14, 1458_17, 1459_18	2035_30
Escherichia coli KTE193 (1181739.3)	150_2, 151_7, 152_11, 947_9, 948_3	1661_22, 1662_19, 1663_17, 1664_13, 4826_13, 4827_17, 4828_18	5295_25, 5296_26, 5297_28, 5347_28, 5348_29, 5349_30
Escherichia coli KTE194 (1181740.3)	1435_2, 1436_7, 1437_11, 2398_9, 2399_3	1349_14, 1350_17, 1351_19	2108_25, 2109_26, 2110_28, 2111_29, 2112_30
Escherichia coli KTE195 (1181741.3)	1143_2, 1144_7, 1145_11, 2123_9, 2124_3	1054_13, 1055_16, 1056_18	1829_26, 1830_26, 1831_26, 1832_28, 1833_29, 1834_30
Escherichia coli KTE196 (1181742.3)	1716_2, 1717_7, 1718_11, 2721_9, 2722_3	1611_13, 1612_17, 1613_19	2433_25, 2434_26, 2435_28, 2436_29, 2437_30
Escherichia coli KTE197 (1181743.3)	1708_3, 1709_9, 1710_11, 2574_9, 2575_9, 2576_3	1604_14, 1605_17, 1606_19	2295_26, 2296_26, 2297_28, 2298_29, 2299_30
Escherichia coli KTE198 (1181744.3)	1543_3, 1544_9, 1545_11, 2581_9, 2582_3	1439_13, 1440_17, 1441_19	2287_26, 2288_26, 2289_28, 2290_29, 2291_30
Escherichia coli KTE199 (1181745.3)	1518_9, 1519_3, 947_11, 948_7, 949_2	1044_19, 1045_17, 1046_14	398_25, 399_26, 400_28, 401_29, 402_30
Escherichia coli KTE2 (1169324.3)	1989_2, 1990_7, 1991_11, 2845_9, 2846_3	1897_14, 1898_17, 1899_19	2547_25, 2548_26, 2549_28, 2550_29, 2551_30
Escherichia coli KTE20 (1169339.3)	1328_2, 1329_7, 1330_11, 2628_9, 2629_9, 2630_3	1230_13, 1231_17, 1232_18	2273_25, 2274_26, 2275_28, 2276_29, 2277_29, 2278_30
Escherichia coli KTE200 (1181746.3)	1443_2, 1444_7, 1445_11, 2432_9, 2433_3	1351_14, 1352_17, 1353_19	2137_25, 2138_26, 2139_28, 2140_29, 2141_30
Escherichia coli KTE201 (1181747.3)	1722_2, 1723_7, 1724_11, 2818_9, 2819_3	1634_13, 1635_17, 1636_19	2497_25, 2498_25, 2499_26, 2500_28, 2501_29
Escherichia coli KTE202 (1181748.3)	1632_2, 1633_7, 1634_11, 2676_9, 2677_3	1540_14, 1541_17, 1542_19	2378_25, 2379_26, 2380_28, 2381_29, 2382_30
Escherichia coli KTE203 (1181749.3)	2215_3, 2216_7, 2217_11, 3161_9, 3162_3	2110_14, 2111_17, 2112_19	2863_25, 2864_26, 2865_28, 2866_29, 2867_30
Escherichia coli KTE204 (1181750.3)	1837_9, 1838_3, 896_2, 897_7, 898_11	803_14, 804_17, 805_19	1544_25, 1545_26, 1546_28, 1547_29, 1548_30
Escherichia coli KTE205 (1181751.3)	1929_9, 1930_9, 1931_3, 920_2, 921_7, 922_11	833_13, 834_17, 835_18	1566_25, 1567_26, 1568_28, 1569_29, 1570_30
Escherichia coli KTE206 (1181752.3)	1280_2, 1281_7, 1282_11, 2154_9, 2155_3	1194_14, 1195_17, 1196_19	1859_30
Escherichia coli KTE207 (1181753.3)	1747_2, 1748_7, 1749_11, 2667_9, 2668_3	1661_14, 1662_17, 1663_19	2378_25, 2379_26, 2380_28, 2381_29, 2382_30
Escherichia coli KTE208 (1181754.3)	1320_2, 1321_7, 1322_11, 2317_9, 2318_3	1228_14, 1229_17, 1230_19	2008_25, 2009_26, 2010_28, 2011_29, 2012_30
Escherichia coli KTE209 (1181755.3)	3665_2, 3666_7, 3667_11, 4615_9, 4616_3	3579_14, 3580_17, 3581_19	4256_26, 4257_26, 4258_28, 4259_29
Escherichia coli KTE21 (1169340.3)	1372_2, 1373_7, 1374_11, 2715_9, 2716_9, 2717_3	1273_13, 1274_17, 1275_18	2362_25, 2363_26, 2364_28, 2365_29, 2366_29, 2367_30
Escherichia coli KTE210 (1181756.3)	1582_3, 1583_7, 1584_11, 2392_9, 2393_3	1411_14, 1412_17, 1413_18	2100_25, 2101_26, 2102_28, 2103_29, 2104_30
Escherichia coli KTE211 (1181757.3)	1611_2, 1612_7, 1613_11, 2474_9, 2475_3	1522_14, 1523_17, 1524_19	2177_25, 2178_26, 2179_26, 2180_28, 2181_29, 2182_30
Escherichia coli KTE212 (1181758.3)	1169_2, 1170_7, 1171_11, 2122_9, 2123_3	1067_14, 1068_17, 1069_19	1824_25, 1825_25, 1826_26, 1827_28, 1828_29, 1829_30
Escherichia coli KTE213 (1181759.3)	1439_9, 1440_3, 550_2, 551_7, 552_11	458_14, 459_17, 460_19	1145_25, 1146_26, 1147_28, 1148_29, 1149_30
Escherichia coli KTE214 (1181760.3)	2012_2, 2013_7, 2014_11, 3192_9, 3193_3	1925_14, 1926_17, 1927_19	2852_25, 2853_26, 2854_28, 2855_29
Escherichia coli KTE215 (1181761.3)	1103_2, 1104_7, 1105_11, 2074_9, 2075_3	1017_14, 1018_17, 1019_19	1786_25, 1787_26, 1788_28, 1789_29, 1790_30
Escherichia coli KTE216 (1181762.3)	1409_2, 1410_7, 1411_11, 2428_9, 2429_3	1320_14, 1321_17, 1322_19	2134_25, 2135_26, 2136_26, 2137_28, 2138_29, 2139_30
Escherichia coli KTE217 (1181763.3)	1872_2, 1873_7, 1874_11, 2715_9, 2716_3	1784_13, 1785_16, 1786_18	2427_29, 2428_30
Escherichia coli KTE218 (1181764.3)	1869_2, 1870_7, 1871_11, 2737_9, 2738_3	1781_14, 1782_17, 1783_19	2442_26, 2443_26, 2444_28, 2445_29
Escherichia coli KTE219 (1181765.3)	1843_9, 1844_9, 1845_3, 911_2, 912_7, 913_11	823_13, 824_17, 825_18	1547_25, 1548_26, 1549_28, 1550_29, 1551_30
Escherichia coli KTE22 (1169341.3)	1658_9, 1659_3, 745_2, 746_7, 747_11	658_14, 659_17, 660_19	1365_26, 1366_26, 1367_28, 1368_29, 1369_30
Escherichia coli KTE220 (1181766.3)	1716_9, 1717_3, 692_2, 693_7, 694_11	604_14, 605_17, 606_18	1417_26, 1418_26, 1419_28, 1420_29
Escherichia coli KTE221 (1181767.3)	1280_2, 1281_7, 1282_11, 2347_9, 2348_3	1173_14, 1174_17, 1175_19	2035_25, 2036_26, 2037_28, 2038_29, 2039_30
Escherichia coli KTE222 (1181768.3)	2993_2, 2994_7, 2995_11, 3940_9, 3941_3	2885_14, 2886_17, 2887_19	3646_25, 3647_26, 3648_28, 3649_29, 3650_30
Escherichia coli KTE223 (1181769.3)	1512_2, 1513_7, 1514_11, 2531_9, 2532_3	1425_14, 1426_17, 1427_18	2232_26, 2233_26, 2234_28, 2235_29
Escherichia coli KTE224 (1181770.3)	1097_2, 1098_7, 1099_11, 2011_9, 2012_3	1008_14, 1009_17, 1010_19	1721_25, 1722_26, 1723_28, 1724_29, 1725_30
Escherichia coli KTE225 (1181771.3)	2345_2, 2346_7, 2347_11, 3392_9, 3393_3	2252_14, 2253_17, 2254_19	3038_25, 3039_26, 3040_28, 3041_29, 3042_30
Escherichia coli KTE226 (1181772.3)	2028_9, 2029_3, 991_2, 992_7, 993_11	904_14, 905_17, 906_18	1727_26, 1728_26, 1729_28, 1730_29
Escherichia coli KTE227 (1181773.3)	2090_2, 2091_7, 2092_11, 3001_9, 3002_3	2003_14, 2004_17, 2005_19	2710_25, 2712_26, 2713_28, 2714_29, 2715_30
Escherichia coli KTE228 (1181774.3)	4808_2, 4809_7, 4810_11, 923_9, 924_3	4716_14, 4717_17, 4718_19	626_25, 627_26, 628_28, 629_29, 630_30
Escherichia coli KTE229 (1181775.3)	4627_2, 4628_7, 4629_11, 546_9, 547_3	4538_14, 4539_17, 4540_19	256_26, 257_26, 258_28, 259_29, 260_30
Escherichia coli KTE23 (1169342.3)	1482_2, 1483_7, 1484_11, 2327_9, 2328_3	1394_13, 1395_16, 1396_18	2040_29, 2041_30
Escherichia coli KTE230 (1181776.3)	1202_2, 1203_7, 1204_11, 2145_9, 2146_3	1114_14, 1115_17, 1116_19	1851_26, 1852_26, 1853_28, 1854_29
Escherichia coli KTE231 (1169323.3)	1085_2, 1086_7, 1087_11, 2005_9, 2006_3	994_14, 995_17, 996_19	1705_25, 1706_26, 1707_28, 1708_29, 1709_30
Escherichia coli KTE232 (1169365.3)	1094_2, 1095_7, 1096_11, 1996_9, 1997_3	992_14, 993_17, 994_19	1697_25, 1698_25, 1699_26, 1700_28, 1701_29, 1702_30
Escherichia coli KTE233 (1181777.3)	3613_3, 3614_7, 3615_7, 3616_11, 4550_9, 4551_3	3509_14, 3510_17, 3511_19	4239_25, 4240_26, 4241_28, 4242_29, 4243_30
Escherichia coli KTE234 (1181778.3)	1691_3, 1692_7, 1693_11, 2607_9, 2608_3	1588_13, 1589_13, 1590_17, 1591_19	2311_25, 2312_26, 2314_26, 2315_28, 2316_29, 2317_30
Escherichia coli KTE235 (1181779.3)	1688_9, 1689_3, 677_2, 678_7, 679_11	585_14, 586_17, 587_19	1390_25, 1391_26, 1392_28, 1393_29, 1394_30
Escherichia coli KTE236 (1181780.3)	2088_9, 2089_3, 984_2, 985_7, 986_11	889_14, 890_17, 891_19	1678_25, 1679_26, 1680_28, 1681_29, 1682_30
Escherichia coli KTE237 (1181781.3)	1367_2, 1368_7, 1369_11, 2466_9, 2467_3	1271_14, 1272_17, 1273_19	2069_25, 2070_26, 2071_28, 2072_29, 2073_30
Escherichia coli KTE24 (1169343.3)	1433_9, 1434_3, 2675_11, 2676_7, 2677_2	2830_18, 2831_17, 2832_13	1125_25, 1126_26, 1127_28, 1128_29, 1129_30
Escherichia coli KTE240 (1181782.3)	1393_2, 1394_7, 1395_11, 2125_9, 2126_3	1306_14, 1307_17, 1308_19	1838_26, 1839_28, 1840_29, 1841_30
Escherichia coli KTE25 (1169344.3)	1793_2, 1794_7, 1795_11, 2630_9, 2631_3	1706_13, 1707_16, 1708_18	2344_29, 2345_30
Escherichia coli KTE26 (1169345.3)	1412_2, 1413_7, 1414_11, 2401_9, 2402_3	1320_14, 1321_17, 1322_19	2104_25, 2105_26, 2106_28, 2107_29, 2108_30
Escherichia coli KTE27 (1169346.3)	1052_2, 1053_7, 1054_11, 2717_9, 2718_3	964_14, 965_17, 966_19	2425_26, 2426_26, 2427_28, 2428_29, 2429_30
Escherichia coli KTE28 (1169347.3)	1018_2, 1019_7, 1020_11, 2144_9, 2145_3	930_13, 931_16, 932_18	1854_29, 1855_30
Escherichia coli KTE29 (1169348.3)	1782_9, 1783_3, 893_3, 894_7, 895_11	788_14, 789_17, 790_19	1477_25, 1478_26, 1479_28, 1480_29, 1481_30
Escherichia coli KTE3 (1169316.3)	1728_2, 1729_7, 1730_11, 2642_9, 2643_3	1639_14, 1640_14, 1641_17, 1642_18	2355_26, 2356_26, 2357_28, 2358_29, 2359_30
Escherichia coli KTE31 (1169349.3)	2437_9, 2438_3	1490_14, 1491_17, 1492_19	 
Escherichia coli KTE33 (1169351.3)	930_9, 931_3	1649_19, 1650_17, 1651_14	 
Escherichia coli KTE34 (1169352.3)	2129_9, 2130_3, 2716_11, 2717_9, 2718_3	2822_19, 2823_17, 2824_14	1764_26, 1765_26, 1766_28, 1767_29, 1768_30
Escherichia coli KTE35 (1169320.3)	2139_9, 2140_3, 2728_11, 2729_9, 2730_3	2838_19, 2839_17, 2840_14	1777_26, 1778_26, 1779_28, 1780_29, 1781_30
Escherichia coli KTE36 (1169353.3)	1654_2, 1655_7, 1656_11, 2648_9, 2649_3	1549_14, 1550_16, 1551_18	2343_25, 2344_26, 2345_28, 2346_29, 2347_30
Escherichia coli KTE37 (1169354.3)	2062_9, 2063_3, 2666_11, 2667_7, 2668_2	2811_18, 2812_17, 2813_14	1702_25, 1703_26, 1704_28, 1705_29, 1706_30
Escherichia coli KTE38 (1169355.3)	1981_9, 1982_3, 2580_11, 2581_7, 2582_2	2725_18, 2726_17, 2727_14	1619_25, 1620_26, 1621_28, 1622_29, 1623_30
Escherichia coli KTE39 (1169356.3)	1527_2, 1528_7, 1529_11, 2661_9, 2662_3	1439_14, 1440_17, 1441_19	2364_25, 2365_26, 2366_28, 2367_29
Escherichia coli KTE4 (1169325.3)	1311_2, 1312_7, 1313_11, 2220_9, 2221_3	1222_14, 1223_14, 1224_17, 1225_18	1933_26, 1934_26, 1935_28, 1936_29, 1937_30
Escherichia coli KTE40 (1169357.3)	1940_9, 1941_3, 957_3, 958_9, 959_11	851_13, 852_13, 853_17, 854_18	1641_26, 1642_26, 1643_28, 1644_29, 1645_30, 1646_30
Escherichia coli KTE41 (1169358.3)	1667_3, 1668_9, 1669_11, 2619_9, 2620_3	1561_13, 1562_17, 1563_18	2313_26, 2314_26, 2315_28, 2316_29, 2317_30
Escherichia coli KTE42 (1169359.3)	1793_3, 1794_9, 1795_11, 2699_8, 2702_9, 2703_3	1690_14, 1691_17, 1692_19	2399_26, 2400_26, 2401_28, 2402_29, 2403_30
Escherichia coli KTE43 (1169360.3)	1107_2, 1108_7, 1109_11, 2012_9, 2013_3	1021_14, 1022_17, 1023_19	1721_25, 1722_26, 1723_28, 1724_29, 1725_30
Escherichia coli KTE44 (1169361.3)	1527_3, 1528_9, 1529_11, 2678_9, 2679_3	1418_14, 1419_17, 1420_19	2372_26, 2373_26, 2374_28, 2375_29, 2376_30
Escherichia coli KTE45 (1169362.3)	1629_2, 1630_7, 1631_11, 2473_9, 2474_3	1481_13, 1482_17, 1483_19	2188_30
Escherichia coli KTE46 (1182653.3)	1805_9, 1806_3, 967_2, 968_7, 969_11	818_13, 819_17, 820_19	1522_30
Escherichia coli KTE47 (1182654.3)	1401_2, 1402_7, 1403_11, 2354_9, 2355_3	1316_13, 1317_16, 1318_18	2005_30
Escherichia coli KTE48 (1182655.3)	1968_3, 1969_7, 1970_11, 2861_9, 2862_3	1809_14, 1810_17, 1811_19	2560_25, 2561_26, 2562_28, 2563_29, 2564_30
Escherichia coli KTE49 (1182656.3)	1775_2, 1776_7, 1777_11, 2708_9, 2709_3	1632_14, 1633_17, 1634_19	2410_25, 2411_26, 2412_26, 2413_28, 2414_29, 2415_30
Escherichia coli KTE5 (1169326.3)	1906_9, 1907_3, 778_2, 779_7, 780_11	691_14, 692_17, 693_19	1616_26, 1617_26, 1618_28, 1619_29, 1620_30
Escherichia coli KTE50 (1182657.3)	2695_2, 2696_7, 2697_11, 3730_9, 3731_3	2604_14, 2605_17, 2606_19	3433_25, 3434_26, 3435_28, 3436_29, 3437_30
Escherichia coli KTE51 (1182658.3)	1767_3, 1768_7, 1769_11, 2777_9, 2778_3	1607_14, 1608_17, 1609_19	2475_26, 2476_26, 2477_28, 2478_29, 2479_30
Escherichia coli KTE53 (1182660.3)	1607_2, 1608_7, 1609_11, 2521_9, 2522_3	1520_13, 1521_17, 1522_19	2226_26, 2227_26, 2228_28, 2229_29, 2230_30
Escherichia coli KTE54 (1182661.3)	2316_2, 2317_7, 2318_11, 3116_9, 3117_3	2224_14, 2225_17, 2226_19	2824_25, 2825_26, 2826_28, 2827_29, 2828_30
Escherichia coli KTE55 (1182662.3)	1730_2, 1731_7, 1732_11, 2711_9, 2712_3	1643_14, 1644_17, 1645_19	2415_26, 2416_26, 2417_28, 2418_29, 2419_30
Escherichia coli KTE56 (1182663.3)	3538_3, 3539_7, 3540_11, 4482_9, 4483_3	3429_14, 3430_17, 3431_19	4185_25, 4186_26, 4187_28, 4188_29, 4189_30
Escherichia coli KTE57 (1182664.3)	2364_2, 2365_7, 2366_11, 3369_9, 3370_9, 3371_3	2279_13, 2280_17, 2281_18	3028_25, 3029_26, 3030_28, 3031_29, 3032_30
Escherichia coli KTE58 (1182665.3)	1676_2, 1677_7, 1678_11, 2593_9, 2594_9, 2595_3	1590_14, 1591_17, 1592_19	2303_26, 2304_26, 2305_28, 2306_29, 2307_30
Escherichia coli KTE59 (1182666.3)	1605_2, 1606_7, 1607_11, 2513_9, 2514_3	1519_14, 1520_17, 1521_19	2221_26, 2222_26, 2223_28, 2224_29, 2225_30
Escherichia coli KTE6 (1169327.3)	3332_2, 3333_7, 3334_11, 4263_9, 4264_3	3147_14, 3148_17, 3149_19	3969_25, 3970_26, 3971_26, 3972_28, 3973_29, 3974_30
Escherichia coli KTE60 (1182667.3)	1472_2, 1473_7, 1474_11, 2554_9, 2555_3	1386_14, 1387_17, 1388_19	2211_26, 2212_26, 2213_28, 2214_29
Escherichia coli KTE61 (1182668.3)	1154_2, 1155_9, 1156_11, 2109_9, 2110_3	1049_14, 1050_17, 1051_19	1801_26, 1802_27, 1803_28, 1804_29, 1805_30
Escherichia coli KTE62 (1182669.3)	1630_2, 1631_7, 1632_11, 2666_9, 2667_3	1542_14, 1543_17, 1544_19	2374_26, 2375_26, 2376_28, 2377_29, 2378_30
Escherichia coli KTE63 (1182670.3)	1746_2, 1747_7, 1748_11, 2676_9, 2677_3	1659_14, 1660_17, 1661_19	2382_26, 2383_26, 2384_28, 2385_29
Escherichia coli KTE64 (1182671.3)	1936_9, 1937_3, 914_3, 915_7, 916_11	812_14, 813_17, 814_19	1607_26, 1608_25, 1616_26, 1617_28, 1618_29, 1619_30
Escherichia coli KTE65 (1182672.3)	1859_9, 1860_3, 819_2, 820_7, 821_11	732_14, 733_17, 734_19	1566_26, 1567_26, 1568_28, 1569_29, 1570_30
Escherichia coli KTE66 (1182673.3)	1414_2, 1415_7, 1416_11, 2307_9, 2308_3	1311_13, 1312_17, 1313_18	2004_25, 2005_26, 2006_28, 2007_29, 2008_30
Escherichia coli KTE67 (1182674.3)	1835_2, 1836_7, 1837_11, 2768_9, 2769_3	1748_14, 1749_17, 1750_19	2472_26, 2473_26, 2474_28, 2475_29
Escherichia coli KTE68 (1182675.3)	2146_9, 2147_3, 908_2, 909_7, 910_11	816_14, 817_17, 818_19	1849_25, 1850_26, 1851_28, 1852_29, 1853_30
Escherichia coli KTE69 (1182676.3)	1897_9, 1898_3, 2626_11, 2627_7, 2628_2	2731_18, 2732_17, 2733_14	1546_25, 1547_26, 1548_28, 1549_29, 1550_30
Escherichia coli KTE7 (1169317.3)	1609_2, 1610_7, 1611_11, 2737_9, 2738_3	1522_14, 1523_17, 1524_19	2446_26, 2447_26, 2448_28, 2449_29, 2450_30
Escherichia coli KTE70 (1182677.3)	2099_9, 2100_3, 2721_11, 2722_7, 2723_2	2829_18, 2830_17, 2831_14	1749_25, 1750_26, 1751_28, 1752_29, 1753_30
Escherichia coli KTE71 (1182678.3)	1433_3, 1434_7, 1435_11, 2602_9, 2603_3	1257_14, 1258_17, 1259_19	2273_26, 2274_26, 2275_28, 2276_29, 2277_30
Escherichia coli KTE72 (1182679.3)	1035_2, 1036_7, 1037_11, 2024_9, 2025_3	948_14, 949_17, 950_18	1709_25, 1710_26, 1711_28, 1712_29, 1713_30
Escherichia coli KTE73 (1182680.3)	1124_3, 1125_7, 1126_11, 2071_9, 2072_3	929_14, 930_16, 933_16, 934_19	1764_25, 1765_26, 1766_28, 1767_29, 1768_30, 1769_30
Escherichia coli KTE74 (1182681.3)	1272_2, 1273_7, 1274_11, 2212_9, 2213_3	2479_18, 2480_17, 2481_14	1913_25, 1914_26, 1915_28, 1916_29, 1917_30
Escherichia coli KTE75 (1182682.3)	1416_2, 1417_7, 1418_11, 2366_9, 2367_3	1243_14, 1244_17, 1245_18	2079_25, 2080_26, 2081_28, 2082_29, 2083_30
Escherichia coli KTE76 (1182683.3)	1030_2, 1031_7, 1032_11, 2012_9, 2013_3	935_14, 936_17, 937_19	1711_25, 1712_26, 1713_28, 1714_29, 1715_30
Escherichia coli KTE77 (1182684.3)	1460_3, 1461_9, 1462_11, 2361_9, 2362_3	1356_14, 1357_17, 1358_19	2064_25, 2065_26, 2066_28, 2067_29, 2068_30
Escherichia coli KTE78 (1182685.3)	1458_2, 1459_7, 1460_11, 2372_9, 2373_3	1370_14, 1371_17, 1372_18	2075_25, 2076_26, 2077_28, 2078_29, 2079_30
Escherichia coli KTE79 (1182686.3)	2975_2, 2976_7, 2977_11, 3892_9, 3893_3	2887_14, 2888_17, 2889_18	3595_25, 3596_26, 3597_28, 3598_29, 3599_30
Escherichia coli KTE8 (1169328.3)	1048_2, 1049_7, 1050_11, 2043_9, 2044_3	961_14, 962_17, 963_19	1749_30
Escherichia coli KTE80 (1182687.3)	1008_2, 1009_7, 1010_11, 2029_9, 2030_3	916_14, 917_17, 918_19	1731_25, 1732_26, 1733_28, 1734_29, 1735_30
Escherichia coli KTE81 (1182688.3)	1649_3, 1650_7, 1651_11, 2503_9, 2504_3	1543_14, 1544_17, 1545_19	2207_25, 2208_26, 2209_28, 2210_29, 2211_30
Escherichia coli KTE82 (1169363.3)	1224_2, 1225_7, 1226_11, 2188_9, 2189_3	1133_14, 1134_17, 1135_19	1891_25, 1892_26, 1893_28, 1894_29, 1895_30
Escherichia coli KTE83 (1182689.3)	1084_2, 1085_7, 1086_11, 2166_9, 2167_3	992_14, 993_17, 994_19	1869_25, 1870_26, 1871_28, 1872_29, 1873_30
Escherichia coli KTE84 (1182690.3)	1578_2, 1579_7, 1580_11, 2332_9, 2333_3	1444_13, 1445_16, 1446_18	 
Escherichia coli KTE85 (1169364.3)	1004_2, 1005_7, 1006_11, 1952_9, 1953_9, 1954_3	914_13, 915_17, 916_18	1618_25, 1619_26, 1620_28, 1621_29, 1622_30
Escherichia coli KTE86 (1182691.3)	1188_2, 1189_7, 1190_11, 2189_9, 2190_3	1100_14, 1101_17, 1102_18	1876_25, 1877_26, 1878_28, 1879_29, 1880_30
Escherichia coli KTE87 (1182692.3)	1512_2, 1513_7, 1514_11, 2424_9, 2425_3	1424_14, 1425_17, 1426_19	2128_26, 2129_26, 2130_28, 2131_29
Escherichia coli KTE88 (1169366.3)	1708_9, 1709_3, 841_2, 842_7, 843_11	755_14, 756_17, 757_18	1392_25, 1393_26, 1394_28, 1395_29, 1396_30
Escherichia coli KTE89 (1182693.3)	1808_9, 1809_3, 834_2, 835_7, 836_11	747_14, 748_17, 749_18	1494_25, 1495_26, 1496_28, 1497_29, 1498_30
Escherichia coli KTE9 (1169329.3)	1689_2, 1690_7, 1691_11, 2668_9, 2669_3	1598_14, 1599_17, 1600_18	2363_25, 2364_26, 2365_28, 2366_29, 2367_30
Escherichia coli KTE90 (1169367.3)	1307_3, 1308_7, 1309_11, 2194_9, 2195_3	1202_14, 1203_17, 1204_19	1889_26, 1890_26, 1891_28, 1892_29, 1893_30
