Organism	SerA	SerC	SerB	SerP	SerHS
Escherichia coli DEC3F (868148.3)	 	1343_2	299_4	3915, 3965_11, 4266_12, 4683_12	130_13
Escherichia coli DEC4A (868149.3)	 	883_2	4823_4	3411, 3461_12, 3462_12	4643_13
Escherichia coli DEC4B (868150.3)	 	870_2	5507_4	3617, 3668_11	5328_13
Escherichia coli DEC4E (868153.3)	 	1099_2	5340_4	3682, 3729_11	5161_13
Escherichia coli DEC4F (868154.3)	 	989_2	5144_4	3496, 3545_12, 3546_12	4964_13
Escherichia coli DEC5A (868155.3)	 	980_2	5124_4	3299, 3347_11, 3786_12, 4239_12	4915_13
Escherichia coli DEC5B (868156.3)	 	1233_2	97_4	3554, 3602_11, 4066_12, 4521_12	5266_13
Escherichia coli DEC5C (868157.3)	 	1331_2	5297_4	3479, 3547_11, 3881_12, 4360_12	5120_13
Escherichia coli DEC5D (868158.3)	 	1402_2	255_4	3473, 3521_11, 3869_12, 4322_12	79_13
Escherichia coli DEC5E (868159.3)	 	902_2	5336_4	3357, 3406_11, 3778_12, 4247_12	5077_13
Escherichia coli DEC6A (868160.3)	 	1037_2	5063_4	3301, 3353_12, 3751_12	4902_13
Escherichia coli DEC6B (868161.3)	 	1071_2	51_4	3665, 3716_11, 4049_12	5177_13
Escherichia coli DEC6C (868162.3)	 	1148_2	5253_4	3492, 3543_12, 3855_12	5049_13
Escherichia coli DEC6D (868163.3)	 	1145_2	158_4	3376, 3429_12	4925_13
Escherichia coli DEC6E (868164.3)	 	902_2	4992_4	3198, 3247_12	4922_13
Escherichia coli DEC7A (868165.3)	 	1288_2	355_4	3359, 3408_11, 4230_12	5037_13
Escherichia coli DEC7B (868166.3)	 	1026_2	4632_4	2958, 3009_12, 3302_12	4458_13
Escherichia coli DEC7C (868167.3)	 	973_2	97_4	3207, 3257_11, 4018_12	4822_13
Escherichia coli DEC7D (868168.3)	 	1123_2	162_4	3244, 3291_12, 4208_12	5013_13
Escherichia coli DEC7E (868169.3)	 	867_2	4865_4	3077, 3127_11, 3891_12	4686_13
Escherichia coli DEC8A (868170.3)	3359	1083_2	19_4	3340, 3394_11, 4168_12	4958_13
Escherichia coli DEC8B (868171.3)	3648	955_2	5379_4	3629, 3683_11, 4107_12, 4414_12	5207_13
Escherichia coli DEC8C (868172.3)	4190	1225_2	113_4	4172, 4226_11, 5038_12	5857_13
Escherichia coli DEC8D (868173.3)	3724	1317_2	93_4	3705, 3761_11, 4581_12	5226_13
Escherichia coli DEC8E (868174.3)	3768	1217_2	5471_4	3749, 3806_11, 4623_12	5301_13
Escherichia coli DEC9A (868175.3)	3543	1077_2	5506_4	3524_12, 3525_12, 3578_11, 4848_12	5259_13
Escherichia coli DEC9C (868177.3)	3358	1059_2	5100_4	3339, 3392_12, 4194_12	4916_13
Escherichia coli DEC9D (868178.3)	3536	1233_2	5488_4	3518, 3571_11, 4419_12	5297_13
Escherichia coli DEC9E (868179.3)	3659	1112_2	5558_4	3641, 3696_12, 4890_12	5336_13
Escherichia coli DH1 (536056.3)	 	2889_2	3820_4	884_11, 931	4021_13
Escherichia coli E101 (550685.3)	515	805_2	29_4	1958_11, 2005, 4590_12	212_13
Escherichia coli E1167 (656372.3)	 	3044_2	1652_4	187, 236_11, 3614_12	1497_13
Escherichia coli E128010 (670894.3)	 	4080_2	576_4	3669_11, 3738	1778_13
Escherichia coli E1520 (656374.3)	 	757_2	3648_4	3038_11, 3087	3493_13
Escherichia coli E2348/69 (216593.1)	1283, 5295	1553_2	153_6, 3598_4	1260, 232_11, 4272_12, 5027_12	3776_13
Escherichia coli E24377A (331111.12)	 	1293_2	5181_4	3381_12, 3441_11, 3851_12, 4274_12	4978_13
Escherichia coli E482 (550687.3)	 	713_2	2170_6, 3812_4	1614_12, 1911_11, 1962	3480_13
Escherichia coli EC1734 (1005536.3)	 	1119_2	109_4	3771, 3819_11	5443_13
Escherichia coli EC1735 (1005537.3)	 	1114_2	69_4	3585, 3633_11	5217_13
Escherichia coli EC1736 (1005538.3)	 	996_2	5316_4	3547, 3596_11	5143_13
Escherichia coli EC1737 (1005539.3)	 	999_2	5257_4	3471, 3519_11	3081_13
Escherichia coli EC1738 (1005535.3)	 	1170_2	217_4	3779, 3827_11	43_13
Escherichia coli EC1845 (1005540.3)	 	980_2	5135_4	3436, 3484_11	4967_13
Escherichia coli EC1846 (1005541.3)	 	998_2	5216_4	3543, 3592_11	5044_13
Escherichia coli EC1847 (1005542.3)	 	986_2	5220_4	3552, 3601_11	3162_13
Escherichia coli EC1848 (1005543.3)	 	1237_2	185_4	3794, 3843_11	12_13
Escherichia coli EC1849 (1005544.3)	 	1013_2	5293_4	3516, 3565_11	5120_13
Escherichia coli EC1850 (1005545.3)	 	1168_2	126_4	3717, 3766_11	5277_13
Escherichia coli EC1856 (1005546.3)	 	1034_2	5318_4	3566, 3614_11	5142_13
Escherichia coli EC1862 (1005547.3)	 	980_2	5167_4	3472, 3520_11	4994_13
Escherichia coli EC1863 (1005548.3)	 	813_2	5018_4	3269, 3317_11	4850_13
Escherichia coli EC1864 (1005549.3)	 	1189_2	135_4	3690, 3739_11	5291_13
Escherichia coli EC1865 (1005550.3)	3744	1215_2	5524_4	3726, 3779_11, 4547_12	5353_13
Escherichia coli EC1866 (1005551.3)	 	832_2	5135_4	3401, 3449_11	4962_13
Escherichia coli EC1869 (1005553.3)	 	1162_2	111_4	3695, 3743_11	5300_13
Escherichia coli EC1870 (1005554.3)	 	931_2	5243_4	3465, 3513_11	5072_13
Escherichia coli EC302/04 (1230480.3)	2864	4432_2	4387_6, 862_4	2480_12, 2734, 2783_12, 3205_12	81_13
Escherichia coli EC4013 (1005529.3)	 	1289_2	270_4	3731, 3779_11	100_13
Escherichia coli EC4196 (1005524.3)	 	2698_2	5159_4	3453, 3501_11	4988_13
Escherichia coli EC4203 (1005523.3)	 	975_2	5178_4	3474, 3522_11	5007_13
Escherichia coli EC4402 (1005530.3)	 	1094_2	5183_4	3509, 3558_11	5014_13
Escherichia coli EC4421 (1005527.3)	 	986_2	5108_4	3408, 3456_12	4939_13
Escherichia coli EC4422 (1005528.3)	 	1223_2	196_4	3653, 3701_12	5187_13
Escherichia coli EC4436 (1005532.3)	 	1009_2	5214_4	3482, 3530_11	5047_13
Escherichia coli EC4437 (1005533.3)	 	1220_2	197_4	3697, 3745_11	5273_13
Escherichia coli EC4439 (1005531.3)	 	982_2	5126_4	3430, 3478_11	4960_13
Escherichia coli EC4448 (1005534.3)	 	1146_2	5308_4	3608, 3655_11	5141_13
Escherichia coli ED1a (585397.9)	3272	943_2	5232_4	3253, 3305_11, 3771_12, 4208_12	5035_13
Escherichia coli EPEC C342-62 (766166.3)	 	1226_2	179_4	3579, 3647_11, 4444_12	5172_13
Escherichia coli EPECa12 (670896.3)	 	879_2	5063_4	3154, 3202_11, 4061_12	4851_13
Escherichia coli EPECa14 (670893.4)	3151	946_2	388_4	3133, 3184_11, 3917_12	1990_13
Escherichia coli ETEC H10407 (316401.4)	 	1123_2	5405_4	3384, 3435_11, 4297_12, 4298_12	5176_13
Escherichia coli Envira 10/1 (1115998.3)	 	1396_2	443_4	3689, 3740_11, 4622_12	5330_13
Escherichia coli Envira 8/11 (1115997.3)	 	1506_2	462_4	3738, 3789_11, 4663_12	5391_13
Escherichia coli FDA504 (1005470.3)	 	1248_2	193_4	3726, 3774_11	5277_13
Escherichia coli FDA505 (1005471.3)	 	1061_2	5174_4	3460, 3508_11	5007_13
Escherichia coli FDA506 (1005474.3)	 	1551_2	494_4	4001, 4050_11	280_13
Escherichia coli FDA507 (1005472.3)	 	1103_2	5421_4	3678, 3727_12	5245_13
Escherichia coli FDA517 (1005473.3)	 	1253_2	154_4	3766, 3814_11	5309_13
Escherichia coli FRIK1985 (1005476.3)	 	1201_2	5390_4	3704, 3752_11	5224_13
Escherichia coli FRIK1990 (1005478.3)	 	1030_2	5147_4	3453, 3502_11	4974_13
Escherichia coli FRIK1996 (1005475.3)	 	1275_2	213_4	3632, 3680_11	5177_13
Escherichia coli FRIK1997 (1005480.3)	 	1168_2	111_4	3728, 3777_11	5320_13
Escherichia coli FRIK1999 (1005477.3)	 	1251_2	108_4	3744, 3793_11	5329_13
Escherichia coli FRIK2001 (1005479.3)	 	1581_2	453_4	4087, 4136_11	273_13
Escherichia coli FRIK523 (1005482.3)	 	1260_2	5493_4	3758, 3807_11, 4570_12	5321_13
Escherichia coli FRIK920 (1005483.3)	 	1339_2	256_4	4183, 4232_11	5702_13
Escherichia coli FVEC1302 (656379.3)	 	1756_2	213_4	4165, 4213_11, 4869_12	585_13
Escherichia coli FVEC1412 (656380.3)	 	1586_2	150_4	4080, 4129_11, 4655_12	576_13
Escherichia coli G58-1 (754078.3)	 	1135_2	108_4	3097, 3145_12	4609_13
Escherichia coli H120 (656383.3)	 	1290_2	2708_4	1982_11, 2035, 4014_12	2486_13
Escherichia coli H252 (656388.3)	2490, 3726	278_2	2996_4	2456_11, 2535, 3828_12	3208_13
Escherichia coli H263 (656390.3)	1560, 4122	668_2	3549_4	1524_11, 1604, 4022_12	3320_13
Escherichia coli H299 (656393.3)	3837	1671_2	595_4	3796, 3872_11, 4167_12, 4625_12	437_13
Escherichia coli H30 (869673.3)	 	1527_2	2589_4	4328_11, 4377	2769_13
Escherichia coli H397 (656398.3)	3615, 4289	2122_2	2781_4	3571, 3649_11, 4384_12	3015_13
Escherichia coli H489 (656404.3)	 	670_2	3502_4, 4433_4	2881_11, 2932	3330_13
Escherichia coli H494 (656405.3)	 	2436_2	1428_4	2781, 2834_12, 3919_12	1595_13
Escherichia coli H591 (656408.3)	 	969_2	4930_4	3088, 3137_11, 3980_12	4717_13
Escherichia coli H730 (656413.3)	 	1361_2	334_4	3369_11, 3417	122_13
Escherichia coli H736 (656414.3)	 	1122_2	94_4	3230, 3279_11	4777_13
Escherichia coli HM26 (1308540.3)	 	1207_2	183_4	1701_12, 2135_11, 4014_12, 5084_12	4_13
Escherichia coli HM46 (1308982.3)	 	4078_2	233_4, 4169_6	1027_12, 4441_12, 657, 705_12	2491_13
Escherichia coli HM605 (752789.3)	2508, 3255	427_2	1313_4	2404_12, 2856_12, 2857_12, 3220_11, 3301	1591_13
Escherichia coli HS (331112.6)	 	980_2	4507_4	2875, 2922_11, 3220_12	4344_13
Escherichia coli IAI1 (585034.5)	 	933_2	4477_4	2854, 2900_11, 3616_12	4315_13
Escherichia coli IAI39 (585057.6)	1415	2334_2	5082_4	3343, 3391_11, 4194_12	4826_13
Escherichia coli IHE3034 (714962.3)	3251, 3923	983_2	4980_4	3209, 3284_11, 4022_12	4757_13
Escherichia coli J53 (1144303.3)	 	2918_2	3601_4	943_11, 992	4072_13
Escherichia coli JB1-95 (869682.4)	3265	2282_2	4644_4	2915_12, 3246, 3299_11, 4394_12	2051_13
Escherichia coli Jurua 18/11 (1115999.3)	 	1090_2	2769_6, 4890_4	3046, 3093_11, 3950_12	4715_13
Escherichia coli Jurua 20/10 (1116000.3)	 	943_2	4870_4	2996, 3062_11, 3987_12	4706_13
Escherichia coli BW2952 (595496.3)	 	836_2	4481_4	2779, 2826_11	4283_13
Escherichia coli str. K-12 substr. DH10B (316385.7)	 	988_2	4593_4	2993, 3040_11	4444_13
Escherichia coli str. K-12 substr. MDS42 (1110693.3)	 	758_2	3744_4	2295, 2342_11	3648_13
Escherichia coli str. K-12 substr. MG1655 (511145.12)	 	938_2	4536_4	2896, 2943_11	4340_13
Escherichia coli str. K-12 substr. MG1655star (879462.4)	 	902_2	4443_4	2831, 2878_11	4250_13
Escherichia coli str. K-12 substr. W3110 (316407.9)	 	903_2	4439_4	2832, 2879_11	4246_13
Escherichia coli W3110 (316407.3)	 	873_2	4212_4	2698, 2744_11	4044_13
Escherichia coli KD2 (752784.3)	3572	1649_2	2685_4	1254_12, 3537_12, 3592	2866_13
Escherichia coli KO11 (595495.5)	 	2958_2	3984_4	193_12, 906_11, 986	4170_13
Escherichia coli KTE1 (1169315.3)	 	1735_2	639_4	3821, 3870_11, 4259_12, 4723_12	400_13
Escherichia coli KTE10 (1169330.3)	 	2974_2	1968_4	200_12, 250_11	1790_13
Escherichia coli KTE100 (1182699.3)	 	1724_2	656_4	3900, 3948_11	512_13
Escherichia coli KTE101 (1182700.3)	 	4296_2	3370_4	1656, 1704_12, 2020_12, 2445_12	3173_13
Escherichia coli KTE102 (1182701.3)	 	2326_2	1448_4, 3696_4	436_12, 4364, 4413_11	1274_13
Escherichia coli KTE103 (1182702.3)	3953	1650_2	694_4	3851, 3899_11	463_13
Escherichia coli KTE104 (1169372.3)	2965, 3049, 3684	966_2	4707_4	2922, 3000_11, 3789_12	4525_13
Escherichia coli KTE105 (1169373.3)	 	965_2	20_4	2946, 2993_11, 3794_12	4474_13
Escherichia coli KTE106 (1169374.3)	2888, 2971, 3583	929_2	4625_4	2840, 2923_11, 3213_12, 3689_12	4440_13
Escherichia coli KTE107 (1182703.3)	1558	1428_2	366_4	3575, 3624_12	220_13
Escherichia coli KTE108 (1182704.3)	 	2674_2	1692_4	243_12, 4930, 4978_11	1539_13
Escherichia coli KTE109 (1169375.3)	2911, 3930	1051_2	88_4	2871, 2945_11, 3670_12	4401_13
Escherichia coli KTE11 (1169331.3)	2546, 3108	693_2	2248_6, 4045_4	2436_12, 2488_12, 2779_12, 3201_12	3903_13
Escherichia coli KTE111 (1182706.3)	4802	1584_2	682_4	3541, 3589_11, 4333_12	471_13
Escherichia coli KTE112 (1169376.3)	2020	1013_2	3000_6, 5055_4	3222, 3270_12, 4088_12	4825_13
Escherichia coli KTE113 (1169377.3)	3254	1321_2	258_4	3212, 3289_11, 3592_12, 4047_12	69_13
Escherichia coli KTE114 (1169321.3)	325, 418	2793_2	1934_4, 4345_6	1493_12, 314, 359_12, 720_12	830_13
Escherichia coli KTE115 (1182707.3)	1092	976_2	4744_4	3006_12, 3055_11, 3417_12, 3843_12	4564_13
Escherichia coli KTE116 (1182708.3)	 	1858_2	762_4	3996, 4044_11, 4436_12, 4901_12	532_13
Escherichia coli KTE117 (1169378.3)	 	977_2	21_4	2914, 2961_11, 3262_12, 3263_12, 3689_12	4369_13
Escherichia coli KTE118 (1182709.3)	1952, 3958, 4701	1845_2	965_4	3912, 3994_11, 4791_12	732_13
Escherichia coli KTE119 (1182710.3)	1530, 2043	1404_2	356_4	3465, 3515_12, 4263_12	195_13
Escherichia coli KTE12 (1169332.3)	 	889_2	4627_4	2913, 2960_11, 3687_12	4461_13
Escherichia coli KTE120 (1169379.3)	 	1040_2	12_4	3166, 3214_11, 3549_12	4718_13
Escherichia coli KTE121 (1182711.3)	438	321_2	4447_4	2483_12, 2532_11, 2963_12, 3394_12	4203_13
Escherichia coli KTE122 (1169380.3)	 	1144_2	12_4	3294, 3344_11, 3621_12, 4087_12	4713_13
Escherichia coli KTE123 (1182712.3)	1066, 3314, 386	3204_2	2222_4	1156_12, 340, 420_11	1985_13
Escherichia coli KTE124 (1169381.3)	3130	1007_2	2879_6, 91_4	3091, 3164_11, 3939_12	4714_13
Escherichia coli KTE125 (1169382.3)	 	1017_2	20_4, 2898_6	3109, 3158_11, 3949_12	4630_13
Escherichia coli KTE126 (1182713.3)	1140, 2251	2080_2	407_4	1105_11, 1178, 4158_12	214_13
Escherichia coli KTE127 (1182714.3)	 	1775_2	742_4	3921, 3971_11, 4849_12	496_13
Escherichia coli KTE128 (1169383.3)	 	1090_2	12_4	3012, 3061_11, 3844_12	4559_13
Escherichia coli KTE129 (1169384.3)	3046	964_2	4886_4	3006, 3080_11, 3406_12, 3854_12	4654_13
Escherichia coli KTE13 (1169318.3)	 	883_2	4610_4	2897, 2944_11, 3671_12	4441_13
Escherichia coli KTE130 (1182715.3)	 	1557_2	469_4	3701, 3749_11, 4601_12, 4602_12	287_13
Escherichia coli KTE131 (1169385.3)	2936, 3019	973_2	20_4	2898, 2971_11, 3722_12	4474_13
Escherichia coli KTE132 (1182716.3)	 	1506_2	508_4	3731, 3779_11, 4643_12, 4644_12	322_13
Escherichia coli KTE133 (1169386.3)	2935	1005_2	21_4	2895, 2972_11, 3278_12, 3727_12	4453_13
Escherichia coli KTE134 (1182717.3)	 	3684_2	2601_4	1813_11, 1862, 943_12	252_13
Escherichia coli KTE135 (1182718.3)	 	2716_2	1802_4	188, 239_11, 962_12	1651_13
Escherichia coli KTE136 (1182719.3)	 	1367_2	451_4	3180, 3227_11, 3971_12	213_13
Escherichia coli KTE137 (1169387.3)	2988	976_2	2753_6, 79_4	2949, 3022_11, 3770_12	4573_13
Escherichia coli KTE138 (1169388.3)	 	887_2	4463_4	2826, 2874_11, 3630_12	4308_13
Escherichia coli KTE139 (1169389.3)	2870	1018_2	63_4	2844, 2905_11, 3220_12, 3660_12	4418_13
Escherichia coli KTE14 (1169333.3)	 	850_2	5070_4	3300, 3348_11, 3709_12	4842_13
Escherichia coli KTE140 (1182720.3)	 	1568_2	3400_6, 513_4	3682, 3730_11, 4445_12	249_13
Escherichia coli KTE141 (1182721.3)	1529, 3398	1312_2	3156_6, 400_4	3359_12, 3432_11, 4175_12	248_13
Escherichia coli KTE142 (1182722.3)	 	466_2	3891_4	2159, 2206_11, 2942_12	3708_13
Escherichia coli KTE143 (1182723.3)	1292, 2060, 3232	2496_2	150_4	3213, 3267_12, 4143_12	4955_13
Escherichia coli KTE144 (1182724.3)	855	728_2	4368_4	2699, 2749_12, 3511_12	4205_13
Escherichia coli KTE145 (1169390.3)	3015	1001_2	2718_6, 76_4	2974, 3050_11, 3356_12, 3819_12	4551_13
Escherichia coli KTE146 (1182725.3)	1711	1557_2	3310_6, 515_4	3571, 3622_11, 4610_12	353_13
Escherichia coli KTE147 (1182726.3)	4326	4211_2	1360_6, 3297_4	1560, 1608_12, 1930_12, 2364_12	3063_13
Escherichia coli KTE148 (1169391.3)	2997	921_2	32_4	2959, 3032_11, 3339_12, 3782_12	4569_13
Escherichia coli KTE15 (1169334.3)	2792, 912	699_2	2493_6, 4889_4	2750, 2827_11, 3128_12, 3740_12	4605_13
Escherichia coli KTE150 (1169392.3)	2981, 3066, 4027	1110_2	20_4, 2729_6	2941, 3017_11, 3314_12, 3759_12	4519_13
Escherichia coli KTE153 (1169393.3)	2952	1006_2	2710_6, 97_4	2913, 2986_11, 3743_12	4537_13
Escherichia coli KTE154 (1182728.3)	3662, 3663, 4145	3544_2	2599_4	1159_12, 811, 859_11	2361_13
Escherichia coli KTE155 (1182729.3)	 	910_2	415_4	3213, 3261_11, 3556_12, 4001_12	223_13
Escherichia coli KTE156 (1182730.3)	 	1612_2	719_4	3545, 3594_11, 3894_12, 4341_12	525_13
Escherichia coli KTE157 (1169394.3)	2874	914_2	4704_4	2834, 2908_11, 3697_12	4478_13
Escherichia coli KTE158 (1182731.3)	 	1679_2	600_4	3643, 3690_11, 4465_12	368_13
Escherichia coli KTE159 (1182732.3)	2819, 3378	878_2	2518_6, 4386_4	2707_12, 2758_12, 3047_12, 3468_12	4172_13
Escherichia coli KTE16 (1169335.3)	1786, 3819	1679_2	616_4	3777, 3854_11, 4259_12, 4761_12	398_13
Escherichia coli KTE160 (1169395.3)	2944	972_2	2703_6, 77_4	2904, 2978_11, 3773_12	4537_13
Escherichia coli KTE161 (1182733.3)	 	3168_2	2077_4	210, 259_11, 449_12	1819_13
Escherichia coli KTE162 (1182734.3)	1270, 3193	1161_2	124_4	3144, 3228_11, 3602_12, 4037_12	4783_13
Escherichia coli KTE163 (1169396.3)	 	1030_2	20_4	3129, 3176_11, 3937_12	4648_13
Escherichia coli KTE165 (1182735.3)	212, 2954	2846_2	1883_4	176, 248_11, 543_12, 982_12	1722_13
Escherichia coli KTE166 (1169397.3)	 	1046_2	121_4	2976, 3024_11, 3809_12	4505_13
Escherichia coli KTE167 (1169398.3)	2775, 925	809_2	2533_6, 4602_4	2735, 2809_11, 3609_12	4375_13
Escherichia coli KTE168 (1169399.3)	3015	1084_2	26_4	2973, 3050_11, 3347_12, 3841_12	4573_13
Escherichia coli KTE169 (1182736.3)	1213, 3092	1038_2	32_4	3051, 3127_11, 3530_12, 3977_12	4797_13
Escherichia coli KTE17 (1169336.3)	1581, 3397, 3480, 4406	1473_2	3143_6, 605_4	3353, 3431_11, 3725_12, 4163_12	434_13
Escherichia coli KTE170 (1182737.3)	 	1613_2	573_4	3764, 3813_11, 4624_12	323_13
Escherichia coli KTE171 (1182738.3)	 	1377_2	422_4	3501, 3549_11	255_13
Escherichia coli KTE172 (1279005.3)	 	4844_2	3810_4	2021, 2070_11, 2880_12	3564_13
Escherichia coli KTE173 (1181724.3)	1592, 3477	1484_2	545_4	3429, 3512_11, 4191_12, 4634_12	305_13
Escherichia coli KTE174 (1169400.3)	3071	996_2	2828_6, 77_4	3032, 3105_11, 3951_12	4701_13
Escherichia coli KTE175 (1181725.3)	1633, 3830	1524_2	582_4	3782, 3865_11, 4267_12, 4717_12	338_13
Escherichia coli KTE176 (1169401.3)	2932, 3661	959_2	45_4	2887, 2966_12, 3782_12	4564_13
Escherichia coli KTE177 (1169402.3)	3065	994_2	11_4	2959, 3006_11, 3844_12	4532_13
Escherichia coli KTE178 (1181726.3)	1592, 3694	1482_2	521_4	3648, 3729_11, 4115_12, 4553_12	284_13
Escherichia coli KTE179 (1169403.3)	3076, 3759	981_2	4849_4	3031, 3110_11, 3868_12	4602_13
Escherichia coli KTE18 (1169337.3)	1586, 3408, 3492, 4449	1478_2	3152_6, 428_4	3364, 3443_11, 3740_12, 4179_12	256_13
Escherichia coli KTE180 (1169404.3)	3094, 3794	1027_2	4883_4	3050, 3129_11, 3902_12	4653_13
Escherichia coli KTE181 (1181727.3)	 	555_2	4610_4	2783, 2831_11, 3682_12	4365_13
Escherichia coli KTE182 (1181728.3)	3079, 977	868_2	5237_4	3034, 3113_11, 3573_12, 4019_12	5016_13
Escherichia coli KTE183 (1181729.3)	1941, 51	4764_2	1643_6, 3789_4	1899, 1976_11, 2401_12, 2842_12	3563_13
Escherichia coli KTE184 (1181730.3)	 	2334_2	1309_4	423_12, 4292, 4339_11	1128_13
Escherichia coli KTE185 (1181731.3)	1493, 3395	1261_2	348_4	3352_12, 3430_11, 4278_12	166_13
Escherichia coli KTE186 (1181732.3)	3810, 723	3662_2	2673_4	1655_12, 704, 756_11	2468_13
Escherichia coli KTE187 (1181733.3)	1482, 3394	1264_2	3152_6, 428_4	3355_12, 3428_11, 4169_12	275_13
Escherichia coli KTE188 (1181734.3)	1434, 3316	1215_2	233_4, 3074_6	3277, 3350_11, 3770_12, 4219_12	78_13
Escherichia coli KTE189 (1181735.3)	1363, 3214, 3298, 3945	1140_2	155_4	3164, 3249_11, 4042_12	4864_13
Escherichia coli KTE19 (1169338.3)	2517, 3508, 429	212_2	4156_4	2478, 2552_11, 3268_12	3996_13
Escherichia coli KTE190 (1181736.3)	 	1398_2	426_4	3352, 3399_11, 4214_12	206_13
Escherichia coli KTE191 (1181737.3)	1695, 3553, 3636, 4283	1465_2	480_4	3505, 3588_11, 3931_12, 4380_12	206_13
Escherichia coli KTE192 (1181738.3)	1571, 3335, 4358	1468_2	500_4	3286, 3369_11, 4097_12	257_13
Escherichia coli KTE193 (1181739.3)	212, 680	4838_2	1711_6, 3863_4	1946, 1994_12, 2848_12	3615_13
Escherichia coli KTE194 (1181740.3)	1583, 3432	1360_2	393_4	3390, 3467_11, 3853_12, 4295_12	201_13
Escherichia coli KTE195 (1181741.3)	1298, 3169, 4176	1064_2	125_4	3117_12, 3203_11, 4272_12	5128_13
Escherichia coli KTE196 (1181742.3)	1747	1626_2	712_4	3637, 3684_11, 3981_12, 3982_12, 4406_12	467_13
Escherichia coli KTE197 (1181743.3)	 	1618_2	661_4	3516, 3565_11	462_13
Escherichia coli KTE198 (1181744.3)	 	1453_2	461_4	3775, 3824_11, 4202_12	267_13
Escherichia coli KTE199 (1181745.3)	917	1034_2	4487_4	2526_12, 2575_11, 3003_12, 3434_12	4244_13
Escherichia coli KTE2 (1169324.3)	 	1909_2	635_4	3806, 3854_11, 4245_12, 4708_12	398_13
Escherichia coli KTE20 (1169339.3)	1364, 3695	1241_2	162_4, 3431_6	3673, 3731_12, 4631_12	5517_13
Escherichia coli KTE200 (1181746.3)	 	1363_2	297_4	3445, 3495_11, 4027_12, 4976_12	4715_13
Escherichia coli KTE201 (1181747.3)	1863, 3818	1645_2	3574_6, 575_4	3779, 3852_11, 4700_12	288_13
Escherichia coli KTE202 (1181748.3)	 	1552_2	3390_6, 463_4	3598, 3648_11, 4521_12	246_13
Escherichia coli KTE203 (1181749.3)	 	2124_2	1213_4, 3829_6	349_12, 4050, 4100_11	1045_13
Escherichia coli KTE204 (1181750.3)	 	816_2	4849_4	2718, 2768_11, 3877_12	4604_13
Escherichia coli KTE205 (1181751.3)	3029, 952	844_2	5045_4	2984, 3063_11, 3514_12, 3959_12	4828_13
Escherichia coli KTE206 (1181752.3)	1310, 3178, 3262	1205_2	192_4	3136, 3213_11, 3972_12	4709_13
Escherichia coli KTE207 (1181753.3)	1839, 3636	1672_2	687_4	3594, 3672_11, 4089_12, 4529_12	503_13
Escherichia coli KTE208 (1181754.3)	 	1240_2	160_4	3304, 3353_11, 4221_12	4909_13
Escherichia coli KTE209 (1181755.3)	3695, 820	3590_2	2665_4, 582_6	1693_12, 781, 854_11	2509_13
Escherichia coli KTE21 (1169340.3)	1408, 3672	1284_2	192_4, 3461_6	3650, 3708_12, 4600_12	5489_13
Escherichia coli KTE210 (1181756.3)	3335	1425_2	428_4	3317, 3370_11, 4088_12	275_13
Escherichia coli KTE211 (1181757.3)	1641, 3412	1533_2	490_4	3364, 3447_11, 3845_12, 4283_12	253_13
Escherichia coli KTE212 (1181758.3)	1206, 1687	1081_2	100_4	3090, 3137_11	4604_13
Escherichia coli KTE213 (1181759.3)	 	470_2	2305_6, 4351_4	2589, 2637_11, 3342_12	4086_13
Escherichia coli KTE214 (1181760.3)	2158, 4156	1936_2	3912_6, 992_4	4117, 4190_11, 5042_12	728_13
Escherichia coli KTE215 (1181761.3)	1250, 3120	1028_2	160_4, 2824_6	3078, 3154_11, 3566_12, 4009_12	4729_13
Escherichia coli KTE216 (1181762.3)	1439, 3528	1331_2	403_4	3488, 3563_11, 3967_12, 4407_12	161_13
Escherichia coli KTE217 (1181763.3)	15, 1902, 3771, 3855	1795_2	3516_6, 684_4	3728, 3806_11, 4102_12, 4537_12	515_13
Escherichia coli KTE218 (1181764.3)	1900, 3727	1792_2	3484_6, 852_4	3688, 3761_11, 4600_12	658_13
Escherichia coli KTE219 (1181765.3)	2826, 942	834_2	4770_4	2782, 2860_11, 3705_12	4551_13
Escherichia coli KTE22 (1169341.3)	2783, 3525, 778	669_2	4680_4	2738, 2817_11, 3618_12	4442_13
Escherichia coli KTE220 (1181766.3)	2756, 834	615_2	2510_6, 4603_4	2714, 2790_11, 3631_12	4380_13
Escherichia coli KTE221 (1181767.3)	1325	1187_2	120_4	3294, 3341_11, 4153_12	4881_13
Escherichia coli KTE222 (1181768.3)	3029	2899_2	1961_4	1009_12, 208, 256_11	1712_13
Escherichia coli KTE223 (1181769.3)	1653, 3539	1436_2	3293_6, 505_4	3497, 3573_11, 4432_12	281_13
Escherichia coli KTE224 (1181770.3)	1187, 3051	1019_2	26_4	3009, 3086_11, 3494_12, 3940_12	4763_13
Escherichia coli KTE225 (1181771.3)	 	2264_2	1232_4	303_12, 4401, 4450_11	984_13
Escherichia coli KTE226 (1181772.3)	1144, 3060	915_2	2816_6, 32_4	3018, 3094_11, 3950_12	4786_13
Escherichia coli KTE227 (1181773.3)	2123, 4027, 4825	2014_2	1118_4	3982, 4061_12, 4919_12	898_13
Escherichia coli KTE228 (1181774.3)	2006	4728_2	3732_4	1900, 1947_11, 2809_12	3493_13
