Organism	IlvA	CimA	Leu_C	IlvM	IlvC	IlvD	LeuA	LeuCD	LeuB	IlvE	Ldh	AvtA	LivABC	BrnQM	AzlCD
Clostridium acetobutylicum DSM 1731 (991791.3)	 	3204	 	3199_6, 3205_7	95	3200, 3643	283	3202_16, 3203_15	3201	1518_18, 2266_18	 	 	 	 	 
Clostridium acetobutylicum EA 2018 (863638.3)	 	3209	 	3204_6, 3210_7	96	3205, 3651	285	3207_16, 3208_15	3206	1521_18, 2271_18	 	 	 	 	 
Clostridium asparagiforme DSM 15981 (518636.5)	4679_1, 4680_1, 5028_1, 5642_1	 	 	1464_7, 1465_6, 2033_6, 2640_7	2639	2032, 29, 3009, 3010	354	118_15, 119_16, 2633_16	2031, 4045, 4301	22_18, 263_18	 	 	126_22, 127_23, 128_26, 129_25, 130_24, 4104_24, 4252_25, 4253_26, 4254_23, 5012_24, 5013_25, 5023_26, 5024_23, 5025_22, 556_22, 557_23, 558_26, 559_25, 560_24, 636_22, 637_23, 638_26, 639_25, 943_22, 944_22, 945_24, 946_25, 947_26, 948_23	3951_27	 
Clostridium bartlettii DSM 16795 (445973.7)	805_2	 	 	1548_6, 825_6, 826_7	1547	359	1041	1039_16, 1040_15	1038	 	 	 	 	 	 
Clostridium beijerinckii G117 (1200349.3)	1274_1, 4127_1	4222	 	255_6, 291_6, 292_7, 4218_6, 4223_7	 	1222, 1539, 1571	3857	4220_16, 4221_15	4219	1603_18, 3989_18	 	 	430_24, 431_25, 432_26, 433_23, 434_22, 4350_22, 4351_23, 4352_26, 4353_25, 4354_24, 4355_22, 4811_22, 4812_23, 4813_26, 4814_25	1164_27	 
Clostridium beijerinckii NCIMB 8052 (290402.41)	1611_2	218	 	217_7, 222_6, 2743_6, 2744_7	 	1555, 4252, 4284	2242	220_16	221	1068_18	 	 	1820_22, 1821_23, 1822_26, 1823_25, 1824_24, 2868_24, 2869_25, 2870_26, 2871_23, 2872_22, 5237_22, 5238_23, 5239_26, 5240_25, 5241_24	 	 
Clostridium bolteae 90B8 (997897.5)	4072_1	 	 	1503_6, 1828_6, 785_7	784	1502, 2236, 520, 5610	366	2701_15, 2702_16, 780_16	1501	439_18	 	 	1882_24, 1883_25, 1884_26, 1885_23, 1886_22, 1998_22, 1999_23, 2000_26, 2001_25, 2002_24, 2643_23, 2644_26, 2645_25, 2646_24, 2647_22, 3231_24, 3232_25, 3233_26, 3234_23, 3235_22, 3652_22, 3656_24, 3657_25, 3658_26, 3659_23, 5096_22, 5097_23, 5098_26, 5099_25, 5100_24, 5830_22, 5831_23, 5833_26, 5834_25, 5835_24	1624_27	 
Clostridium bolteae ATCC BAA-613 (411902.9)	2582_1	 	 	2058_6, 4476_7, 5308_6	4477	1184, 2059, 4999, 5412	4211	3186_16, 3187_15, 4480_16	2060	4141_18	 	 	2358_22, 2362_24, 2363_25, 2364_26, 2365_23, 2531_22, 2532_23, 2533_26, 2534_25, 2535_24, 3501_24, 3502_25, 3503_26, 3504_23, 3505_22, 4534_22, 4535_24, 4536_25, 4537_26, 4538_23, 5499_24, 5500_25, 5501_26, 5502_23, 5503_22, 5551_24, 5552_25, 5553_26, 5554_23, 5555_22	5789_27	 
Clostridium botulinum A str. ATCC 19397 (441770.6)	3436_1	 	 	 	 	288	 	 	 	2610_18	 	 	439_22, 440_23, 441_26, 442_25, 443_24	 	 
Clostridium botulinum A str. ATCC 3502 (413999.7)	3480_1	 	 	 	 	291	 	 	 	2739_18	 	 	456_22, 457_23, 458_26, 459_25, 460_24	 	 
Clostridium botulinum A str. Hall (441771.6)	3325_1	 	 	 	 	289	 	 	 	2556_18	 	 	456_22, 457_23, 458_26, 459_25, 460_24	 	 
Clostridium botulinum A2 str. Kyoto (536232.3)	3759_1	 	 	 	 	291	 	 	 	2968_18, 955_18	 	 	469_22, 470_23, 471_26, 472_25, 473_24	866_27	 
Clostridium botulinum A3 str. Loch Maree (498214.7)	3833_1	 	 	 	 	614	 	 	 	3056_18	 	 	775_22, 776_23, 777_26, 778_25, 779_24	1145_27	 
Clostridium botulinum B str. Eklund 17B (508765.6)	1003_1	 	 	291_7, 296_6, 3177_6, 660_7, 661_6	297	295	1255	292_15, 293_16	294	1020_18, 729_18	 	 	 	1010_27, 3079_27, 666_27	 
Clostridium botulinum B1 str. Okra (498213.7)	3621_1	 	 	 	 	473	 	 	 	2843_18	 	 	638_22, 639_23, 640_26, 641_25, 642_24	966_27, 967_27	 
Clostridium botulinum Ba4 str. 657 (515621.3)	3963_1	 	 	 	 	600	 	 	 	1187_18, 3178_18	 	 	773_22, 774_23, 775_26, 776_25, 777_24	1092_27	 
Clostridium botulinum BKT015925 (929506.3)	 	 	 	 	 	 	 	 	 	1397_18, 2251_18	 	 	 	1167_27, 2087_27, 784_27	 
Clostridium botulinum CB11/1-1 (1289590.3)	2435_1, 809_1	 	 	1630_6, 1635_7, 1867_6, 1868_7, 3008_6, 3009_6	1629	1631	2821	1633_16, 1634_15	1632	1008_18, 99_18	 	 	 	1860_27, 2326_27, 999_27	 
Clostridium botulinum CDC66177 (1221327.3)	2372_1, 538_1	 	 	1383_6, 2271_6, 2272_7, 2709_6, 3400_6, 3405_7, 3613_6	3399	3401	3469	3403_16, 3404_15	3402	2669_18, 555_18	 	 	 	2267_27, 2618_27, 545_27	 
Clostridium botulinum D str. 1873 (592027.3)	 	 	 	 	 	 	 	 	 	1365_18	 	 	 	1581_27, 1880_27	 
Clostridium botulinum E1 str. 'BoNT E Beluga' (536233.3)	2683_1	 	 	225_6, 2999_6, 3000_7, 3357_6, 3362_7	3356	3358	2373	3360_16, 3361_15	3359	2668_18, 2929_18	 	 	 	2677_27, 2992_27, 330_27	 
Clostridium botulinum E3 str. Alaska E43 (508767.5)	935_1	 	 	268_7, 273_6, 2935_6, 620_7, 621_6	274	272	1200	270_16	271	689_18, 950_18	 	 	 	2833_27, 628_27, 942_27	 
Clostridium botulinum F str. 230613 (758678.3)	3053_1, 3798_1	 	 	 	 	316	 	 	 	2894_18	 	 	492_22, 493_23, 494_26, 495_25, 496_24	861_27, 862_27	 
Clostridium botulinum F str. Langeland (441772.13)	3562_1	 	 	 	 	295	 	 	 	2721_18	 	 	463_22, 464_23, 465_26, 466_25, 467_24	821_27, 822_27	 
Clostridium botulinum H04402 065 (941968.4)	3593_1	 	 	 	 	282	 	 	 	2825_18	 	 	464_22, 465_23, 466_26, 467_25, 468_24	856_27, 857_27	 
Clostridium butyricum 60E.3 (997898.4)	1652_1, 2300_1	3701	 	1474_6, 1475_7, 3700_7, 3706_6	3689	3705	1016	3702_15, 3703_16	3704	3053_18, 465_18	 	 	1528_24, 1529_25, 1530_26, 1531_23, 1532_22, 357_24, 358_25, 359_26, 360_23, 361_22	2190_27, 81_27	 
Clostridium butyricum DKU-01 (1306409.3)	3809_1, 921_1	2881	 	1113_7, 1114_6, 2876_6, 2882_7	2893	2877	1513	2879_16, 2880_15	2878	2052_18, 2471_18	 	 	1054_22, 1055_23, 1056_26, 1057_25, 1058_24	2342_27, 318_27	 
Clostridium butyricum DSM 10702 (1316931.3)	129_1, 1872_1	247	 	246_7, 252_6, 2588_7, 2589_6	235	251	775	248_15, 249_16	250	1336_18, 992_18	 	 	2227_24, 2228_25, 2229_26, 2230_23, 2231_22	3919_27	 
Clostridium butyricum E4 str. BoNT E BL5262 (632245.3)	1972_1	1412	 	1407_6, 1413_7, 2163_7, 2164_6	1424	1408	2668	1410_16, 1411_15	1409	3355_18, 996_18	 	 	2106_22, 2107_23, 2108_26, 2109_25, 2110_24	1532_27, 3775_27	 
Clostridium celatum DSM 1785 (545697.3)	2737_2, 858_1	723	 	718_6, 724_7	717	719	2043	721_16, 722_15	720	235_18, 2957_18	 	 	 	2691_27, 3319_27	 
Clostridium citroniae WAL-17108 (742733.3)	1377_1, 19_1, 2950_1, 3877_1	 	 	1986_6, 5560_7	5559	1987, 2227, 2734, 4349, 836	4516	4593_16, 4594_15, 626_15, 627_16, 628_15, 629_16	1988	2141_18	 	 	1398_24, 1399_25, 1400_26, 1401_23, 1402_22, 2660_24, 2661_25, 2662_26, 2663_23, 2664_22, 2741_22, 2744_24, 2745_25, 2746_26, 2747_23, 3612_22, 3613_23, 3614_26, 3615_25, 3616_24, 4402_24, 4403_25, 4404_26, 4405_23, 4406_22, 4679_22, 4680_23, 4681_26, 4682_25, 4683_24, 5500_24, 5501_25, 5502_26, 5503_23, 5504_22, 5517_24, 5518_25, 5519_26, 5520_23, 5521_22, 5830_24, 5831_25, 5832_26, 5833_23, 5834_22	1857_27, 886_27	 
Clostridium clariflavum DSM 19732 (720554.3)	 	4321	 	4324_7, 4325_6, 669_6	4323	668	4322	3058_16, 3059_15	4240	1426_18	 	 	 	 	 
Clostridium clostridioforme 2_1_49FAA (742735.4)	124_1, 290_1, 3737_1	 	 	1942_6, 4985_7	4986	1539, 1941, 3191, 3192, 3947	1702	4989_16	1940	1631_18	 	 	1108_22, 1109_23, 1110_26, 1111_25, 1112_24, 214_23, 215_26, 216_25, 217_24, 218_22, 2268_24, 2269_25, 2270_26, 2271_23, 2272_22	2044_27	 
Clostridium clostridioforme 90A1 (999403.4)	1847_1, 2007_1, 603_1	 	 	2793_6, 5893_7	5892	2794, 3205, 3756, 3757, 4800	3037	5889_16	2795	3110_18	 	 	2442_22, 2443_23, 2444_26, 2445_25, 2446_24, 906_24, 907_25, 908_26, 909_23, 910_22	2688_27	 
Clostridium clostridioforme 90A3 (999404.4)	1712_1, 1871_1, 3031_1	 	 	4985_7, 616_6	4986	1023, 3696, 4250, 4251, 617	856	4989_16	618	929_18	 	 	262_22, 2621_22, 2622_23, 2623_26, 2624_25, 2625_24, 263_23, 264_26, 265_25, 266_24	514_27	 
Clostridium clostridioforme 90A4 (999405.4)	2468_1, 3398_1, 4604_1	 	 	2989_6, 4780_7	4779	1039, 2988, 3135, 4672, 4673	1209	4776_16	2987	1136_18	 	 	1480_24, 1481_25, 1482_26, 1483_23, 1484_22, 357_22, 358_23, 359_26, 360_25, 361_24	3092_27	 
Clostridium clostridioforme 90A6 (999406.3)	1262_1, 5429_1, 94_1	 	 	2045_6, 6002_7	6001	1631, 2044, 3565, 3566, 4676	1799	5998_16	2043	1726_18	 	 	2396_24, 2397_25, 2398_26, 2399_23, 2400_22, 504_24, 505_25, 506_26, 507_23, 508_22	2149_27	 
Clostridium clostridioforme 90A8 (999408.3)	2158_1, 3538_1, 4591_1	 	 	109_6, 2948_6, 5174_7	5173	108, 2657, 3036, 3631, 5304, 5305	2827	5170_16	107	2752_18	 	 	1799_24, 1800_25, 1801_26, 1802_23, 1803_22, 3704_24, 3705_25, 3706_26, 3707_23, 3708_22	225_27	 
Clostridium clostridioforme 90B1 (999409.3)	130_1, 290_1, 3771_1	 	 	2348_6, 3095_7	3096	1604, 1605, 2349, 2757, 4778	2590	3099_16	2350	2663_18	 	 	1040_22, 1041_23, 1042_26, 1043_25, 1044_24, 1996_22, 1997_23, 1998_26, 1999_25, 2000_24	2245_27	 
Clostridium clostridioforme CM201 (999410.3)	3766_1, 3921_1, 5475_1	 	 	5811_7, 679_6	5812	1087, 2263, 2264, 4890, 680	921	5815_16	681	994_18	 	 	3296_22, 3297_23, 3298_26, 3299_25, 3300_24, 331_22, 332_23, 333_26, 334_25, 335_24	575_27	 
Clostridium difficile 6503 (691160.5)	1972_1, 3557_1, 3706_2	 	 	1372_6	1371	704, 705	1446	1447_15, 1448_16	1449	 	 	 	 	1144_27, 1145_27, 1264_27, 950_27	 
Clostridium difficile 2007855 (699033.6)	2529_2	 	 	1519_6	1518	2017, 2018	914	915_15, 916_16	917	 	 	 	 	1193_27	 
Clostridium difficile 630 (272563.8)	2636_2	 	 	1641_6	1640	2117	1040	1042_16	1043	 	 	 	 	1324_27, 1325_27, 2827_27	 
Clostridium difficile ATCC 43255 (499175.4)	2143_2	 	 	1165_6	1164	1635	548	550_16	551	 	 	 	 	2339_27, 848_27, 849_27	 
Clostridium difficile BI1 (699034.5)	2519_2	 	 	1516_6	1515	2010	911	912_15, 913_16	914	 	 	 	 	 	 
Clostridium difficile CD196 (645462.3)	2478_2	 	 	1491_6	1490	1973	900	901_15, 902_16	903	 	 	 	 	 	 
Clostridium difficile CIP 107932 (499176.4)	2079_2	 	 	1079_6	1078	1569	477	478_15, 479_16	480	 	 	 	 	2268_27	 
Clostridium difficile M120 (699035.5)	2583_1	 	 	1576_6	1575	2039, 2057	978	979_15, 980_16	981	 	 	 	 	1249_27, 1250_27, 890_27	 
Clostridium difficile M68 (699037.5)	2653_1	 	 	1622_6	1621	2140	1026	1027_15, 1028_16	1029	 	 	 	 	1298_27, 1299_27, 1300_27, 2856_27, 939_27	 
Clostridium difficile NAP07 (525258.3)	1524_1, 2718_1, 789_1	 	 	2214_6	2213	2647	1925	1923_16, 1924_15	1922	 	 	 	 	2005_27, 3118_27, 3119_27	 
Clostridium difficile NAP08 (525259.3)	812_1	 	 	2960_6	2959	227	1939	1940_15, 1941_16	1942	 	 	 	 	1859_27, 2644_27, 2645_27	 
Clostridium difficile QCD-23m63 (499174.4)	1909_1	 	 	966_6	965	1376, 1377	228	229_15, 230_15, 231_16	232	 	 	 	 	140_27, 541_27, 542_27	 
Clostridium difficile QCD-37x79 (479834.4)	2048_2	 	 	960_6	959	1443	357	358_15, 359_16	360	 	 	 	 	2235_27	 
Clostridium difficile QCD-63q42 (479831.4)	1342_1, 1343_1, 1795_2	 	 	806_6	805	1265	164	166_16	167	 	 	 	 	1991_27, 414_27, 415_27	 
Clostridium difficile QCD-66c26 (455631.3)	638_2	 	 	3348_6	3347	134	2759	2760_15, 2761_16	2762	 	 	 	 	824_27	 
Clostridium difficile QCD-76w55 (479832.7)	2091_2	 	 	1109_6	1108	1587	518	519_15, 520_16	521	 	 	 	 	2331_27	 
Clostridium difficile QCD-97b34 (479833.4)	2094_2	 	 	1106_6	1105	1600	522	523_15, 524_16	525	 	 	 	 	2279_27	 
Clostridium difficile R20291 (645463.3)	2565_2	 	 	1494_6	1493	2062	904	905_15, 906_16	907	 	 	 	 	 	 
Clostridium hiranonis DSM 13275 (500633.7)	1829_1	 	 	1660_7, 1663_6	1661	1662	 	 	 	 	 	 	 	790_27, 940_27, 941_27, 942_27	 
Clostridium hylemonae DSM 15053 (553973.6)	1016_1	 	 	2061_6, 2152_7, 292_7, 293_6	2153	2030, 2060	2479	1812_15, 1813_16, 768_16, 769_15	2059	291_18	 	 	 	 	 
Clostridium leptum DSM 753 (428125.8)	 	179	 	180_7, 181_6, 44_7, 45_6	43	1347	1364	174_16, 175_15	2255	2062_18	 	 	 	 	 
Clostridium methylpentosum DSM 5476 (537013.3)	2003_1	 	 	1300_7, 1301_6, 1527_7, 1528_6	1526	262	1557	1298_16, 1299_15	1297	233_18	 	 	 	 	 
Clostridium nexile DSM 1787 (500632.7)	1583_1	 	 	1235_6, 1529_7, 2647_7, 2648_6	1530	1234	2761	2634_16, 2635_15	1233	2646_18	 	 	 	2375_27	 
Clostridium perfringens ATCC 13124 (195103.10)	1323_2	 	 	 	 	 	 	 	 	1715_18	 	 	 	 	 
Clostridium perfringens F262 (883064.3)	1433_1	 	 	 	 	 	 	 	 	1841_18	 	 	 	395_27, 41_27, 625_27	 
Clostridium perfringens SM101 (289380.15)	1159_1	 	 	 	 	 	 	 	 	1474_18	 	 	 	372_27, 41_27, 578_27	 
Clostridium perfringens WAL-14572 (742739.3)	819_2	 	 	 	 	 	 	 	 	1178_18	 	 	 	2960_27	 
Clostridium perfringens str. 13 (195102.6)	1235_1	 	 	 	 	 	 	 	 	1589_18	 	 	 	101_27, 463_27, 693_27	 
Clostridium saccharoperbutylacetonicum N1-4(HMT) (931276.5)	2612_1	252	 	251_7, 257_6, 3225_7, 3226_6, 5466_6	258	2238, 256, 4395	3401	253_15, 254_16	255	1088_18, 4631_18	 	 	3567_24, 3568_25, 3569_26, 3570_23, 3571_22, 4046_24, 4047_25, 4048_26, 4049_23, 4050_22, 5801_22, 5802_23, 5803_26, 5804_25, 5805_24	3864_27	 
Clostridium sartagoforme AAU1 (1202534.3)	1933_1, 3801_1	324	 	319_6, 325_7	318	3087, 320	1751	322_16, 323_15	321	3000_18, 3666_18, 3668_18	 	 	2169_24, 2170_25, 2171_26, 2172_23, 471_22, 472_24, 473_25, 474_26, 475_23	129_27, 2398_27, 839_27	 
Clostridium scindens ATCC 35704 (411468.9)	1312_1	 	 	1088_7, 1386_6, 330_6, 331_7	1089	1387	1811	3240_15, 3241_16	1388	332_18	 	 	 	866_27	 
Clostridium sp. 7_2_43FAA (457396.3)	1141_1	1611	 	1610_7, 1616_6	1617	1615, 2221	2400	1612_15, 1613_16	1614	1944_18, 2081_18	 	 	 	2246_27, 264_27, 575_27	 
Clostridium sp. L2-50 (411489.7)	810_1	 	 	2455_6, 823_7, 834_7, 835_6	822	2456	1047, 2352	2458_16, 2459_15	2457	976_18	 	 	 	 	 
Clostridium sp. M62/1 (411486.3)	1999_1	 	 	2460_7, 923_6	2459	924	3160	2455_16, 2456_15, 2457_15	926	354_18	 	 	100_23, 101_22, 97_24, 98_25, 99_26	3245_27	803_30
Clostridium sp. SS2/1 (411484.7)	643_1	 	 	1379_7, 1380_6, 1570_7, 562_6	1569	563	1010	963_16, 964_15, 965_16, 966_15	564	689_18	 	 	 	 	 
Clostridium sp. SY8519 (1042156.4)	2170_1, 400_1	 	 	1716_6, 1717_7, 2278_6, 2501_7	2500	2277	207	2498_16, 2499_15	2276	1718_18	 	 	574_26, 575_23, 576_24, 577_25, 578_22	 	 
Clostridium sporogenes ATCC 15579 (471871.7)	41_2	 	 	 	 	2619	 	 	 	3539_18	 	 	3070_22, 3071_23, 3072_26, 3073_25, 3074_24	 	 
Clostridium sporogenes PA 3679 (1075091.3)	1017_1, 2819_1	 	 	 	 	2249	 	 	 	1803_18, 2980_18	 	 	685_22, 686_23, 687_26, 688_25, 689_24	1672_27, 1681_27, 1888_27, 2487_27, 718_27	 
Clostridium sporosphaeroides DSM 1294 (1121334.3)	1096_2, 2563_1, 3254_1	 	 	2658_7, 2659_6, 3252_6, 3253_7	2657	1241, 1380, 2553	750	1111_16, 1112_15	749	2775_18	 	 	1242_24, 1243_25, 1244_26, 1245_23, 1246_22, 611_22, 612_23, 613_26, 614_25, 615_24	1453_27, 2287_27	 
Clostridium sticklandii DSM 519 (499177.3)	392_2	 	 	1413_6	1411	1412	411	412_15, 413_16	414	168_18	 	 	2187_24, 2188_25, 2189_26, 2190_23, 2191_22	 	 
Clostridium symbiosum WAL-14163 (742740.3)	1523_1	 	 	1383_6, 1384_6, 3064_6, 4055_7, 920_6, 921_7	4056	3063	212, 5046	4066_16	3062	4901_18	 	 	220_24, 221_25, 222_26, 223_23, 224_22, 4469_24, 4470_25, 4471_26, 4472_23, 4473_22	2980_27, 4023_27	 
Clostridium symbiosum WAL-14673 (742741.3)	1180_1	 	 	1362_7, 1708_6, 1709_6, 2376_7, 2377_6, 836_6	1361	835	378, 3892	1352_16	834	3640_18	 	 	1075_24, 1076_25, 1077_26, 1078_23, 1079_22, 366_22, 367_23, 368_26, 369_25, 370_24	3046_27, 3747_27	 
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 (1121342.4)	2485_1, 3005_2	 	 	1231_6, 1234_6, 1235_7	1230	1232	1630	1631_15, 1632_16	1633	1339_18, 2218_18	 	 	 	 	 
Clostridium tyrobutyricum UC7086 (1212547.3)	1782_2, 2717_1	 	 	1409_7, 1410_6, 1413_6	1414	1412	1982	1983_15, 1984_16	1985	1222_18, 2263_18	 	 	 	 	 
Anaerococcus prevotii ACS-065-V-Col13 (879305.3)	517_1	 	 	 	 	 	 	 	 	 	 	 	 	832_27	 
Anaerococcus prevotii DSM 20548 (525919.6)	1174_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerococcus vaginalis ATCC 51170 (655811.4)	741_2	 	 	 	 	 	 	 	 	 	 	 	1283_22, 1284_23, 1285_26, 1286_25, 1287_24	 	 
Finegoldia magna ACS-171-V-Col3 (768713.4)	 	 	 	 	 	 	 	 	 	212_18	 	 	 	379_27, 504_27, 666_27	 
Finegoldia magna ATCC 29328 (334413.6)	 	 	 	 	 	 	 	 	 	1341_18	 	 	 	 	 
Finegoldia magna ATCC 53516 (525282.5)	 	 	 	 	 	 	 	 	 	1688_18	 	 	 	141_27, 274_27	 
Finegoldia magna BVS033A4 (866773.4)	 	 	 	 	 	 	 	 	 	1040_18	 	 	 	1833_27, 738_27, 938_27	 
Finegoldia magna SY403409CC001050417 (866779.4)	 	 	 	 	 	 	 	 	 	574_18	 	 	 	1418_27, 25_27, 865_27	 
Parvimonas micra ATCC 33270 (411465.10)	 	 	 	 	 	 	 	 	 	 	 	 	 	387_27, 578_27, 756_27	 
Peptoniphilus harei ACS-146-V-Sch2b (908338.3)	1098_1, 1627_1	 	 	 	 	 	 	 	 	1172_18	 	 	 	238_27, 374_27, 417_27	 
Peptoniphilus indolicus ATCC 29427 (997350.3)	138_1, 991_1	 	 	1213_6	1211	1212	 	 	 	1384_18	 	 	 	1382_27, 1383_27, 1955_27	 
Peptoniphilus lacrimalis 315-B (596330.3)	 	 	 	 	 	 	 	 	 	 	 	 	517_22, 518_23, 519_26, 520_25, 521_24	1090_27, 1319_27, 694_27	 
Peptoniphilus lacrimalis DSM 7455 (1122949.3)	 	 	 	 	 	 	 	 	 	 	 	 	844_22, 845_23, 846_26, 847_25, 848_24	1341_27, 155_27, 188_27	 
Peptoniphilus timonensis JC401 (1095770.3)	122_1, 1416_1, 1874_1, 720_1, 722_1	 	 	 	 	 	 	 	 	 	 	 	 	251_27	 
Anaerofustis stercorihominis DSM 17244 (445971.6)	679_2	 	 	973_7, 974_6	 	971	1779	1780_15, 1781_16	1782	408_18	 	 	975_24, 976_25, 977_26, 978_23, 979_22	 	437_30
Eubacterium cellulosolvens 6 (633697.3)	2156_1	 	 	21_7, 242_6, 770_7, 771_6	22	241	29	24_16	240	324_18	 	 	 	1332_27	 
Eubacterium eligens ATCC 27750 (515620.4)	986_2	 	 	1299_7, 705_6	1298	2125, 704	1153	 	703	1795_18	 	 	 	 	 
Eubacterium hallii DSM 3353 (411469.3)	120_1	 	 	1257_7, 1578_6, 1579_7, 2654_6	1258	2653	829	 	2652	1920_18	 	 	2525_22, 2526_23, 2527_26, 2528_25, 2529_24	 	 
Eubacterium limosum KIST612 (903814.3)	2025_2, 2256_1	2530	 	2525_6, 2574_6, 3056_7, 3057_6	2531	2526	3693	2528_16	2527	1666_18, 168_18	 	 	3268_24, 3269_25, 3270_26, 3271_23, 3272_22	 	1789_30
Eubacterium rectale ATCC 33656 (515619.6)	1274_2	 	 	1056_6, 1057_7, 1621_6, 1736_7	1735	1622	2029	1730_16	1623	2070_18	 	 	 	 	 
Eubacterium rectale DSM 17629 (657318.4)	701_1	 	 	1248_6, 1421_7, 2074_6, 2075_7	1420	1249	2635, 2934	1415_16	1250	2593_18	 	 	 	 	 
Eubacterium rectale M104/1 (657317.3)	2253_2	 	 	1256_6, 1257_6, 172_6, 2502_7, 2503_6, 477_7	478	173	1071, 1278	483_16	174	1321_18	 	 	 	 	 
Eubacterium saphenum ATCC 49989 (592031.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Eubacterium siraeum 70/3 (657319.3)	1234_2	 	 	610_7, 611_6, 877_6, 878_7	609	1666	1410	879_15, 881_16	883	1164_18	 	 	1064_24, 1065_25, 1066_26, 1067_23, 1068_22	 	 
Eubacterium siraeum DSM 15702 (428128.7)	904_1	 	 	1011_7, 1012_6, 1806_6, 1807_7	1808	478	1698	1008_16, 1010_15	1006	1492_18	 	 	1227_22, 1228_23, 1229_26, 1230_25, 1231_24	 	 
Eubacterium siraeum V10Sc8a (717961.3)	2213_2	 	 	1089_7, 1090_6, 444_7, 445_6	1088	1842	2126	441_16, 443_15	439	407_18	 	 	2315_22, 2316_23, 2317_26, 2318_25, 2319_24	 	 
Eubacterium ventriosum ATCC 27560 (411463.4)	1849_1	 	 	404_6, 941_7	942	403	167	948_16	402	2404_18	 	 	 	 	 
Pseudoramibacter alactolyticus ATCC 23263 (887929.3)	 	515	 	1583_6, 1584_7, 510_6	2049	511	164	513_16, 514_15	512	1107_18	 	 	 	 	 
Anaerostipes caccae DSM 14662 (411490.6)	420_2	 	 	1246_6, 1416_7, 1812_6, 348_7, 349_6	1417	1245, 2148	3285	3249_16, 3250, 3251_16, 3252_15	1244	153_18	 	 	 	 	1966_30
Anaerostipes hadrus DSM 3319 (649757.3)	402_1	 	 	1502_7, 2428_6, 2429_7, 2481_6	1503	2480	1946	1986_15, 1987_16, 1988_15, 1989_16	2479	450_18	 	 	 	 	 
Anaerostipes sp. 3_2_56FAA (665937.3)	2343_2, 2586_1, 2587_1	 	 	1006_6, 1194_7, 1623_6, 2420_6, 2421_7	1195	1005, 641	759, 760	794_15, 795_15, 796_16, 797_15, 798_16	1004	2694_18	 	 	 	 	 
Blautia producta ATCC 27340 (1121114.4)	3870_1, 4960_1	 	 	403_7, 4442_6, 5178_6, 5179_7	402	3603, 4443, 4709, 5846	387	399_16, 400_15	4444	2502_18	 	 	 	 	 
Bryantella formatexigens DSM 14469 (478749.5)	1227_2	 	 	1842_6, 2356_6, 2357_7, 3250_7	 	1061, 1841	3243	3246_16, 3247_15	1840	4202_18	 	 	1446_26, 3051_22, 3052_23, 3053_26, 3054_25, 3055_24	 	3401_29
Butyrivibrio crossotus DSM 2876 (511680.4)	39_2	 	 	1696_6, 371_7, 769_7, 770_6	370	1697	2060	366_16, 367_15	1698	2055_18, 390_18	 	 	12_24, 13_25, 14_26, 15_23, 16_22	 	 
Butyrivibrio fibrisolvens 16/4 (657324.3)	1843_1	 	 	1501_7, 3056_6, 3247_7, 3248_6	1502	3057	2579, 2581	2010_15, 2011_16, 2012_15, 2013_16	3058	755_18	 	 	230_24, 231_25, 232_26, 233_23, 234_22	 	 
Coprococcus catus GD/7 (717962.3)	969_1	 	 	3292_7, 3298_6, 354_6, 355_7	3293	3297	3038, 3119	1924_15, 1925_16, 1926_15, 1927_16	3296	2391_18	 	 	1150_22, 1151_23, 1152_26, 1153_25, 1154_24	 	 
Coprococcus comes ATCC 27758 (470146.3)	1676_2	 	 	2925_6, 398_7, 529_7, 530_6	397	134, 2924	2152, 331	1438_15, 1439_16, 1440, 1441_16	2923	528_18	 	 	 	 	 
Coprococcus eutactus ATCC 27759 (411474.6)	1100_1	 	 	1037_7, 1038_6, 1085_7, 205_6	1086	204	2364	201_15, 202_16	203	2403_18	 	 	 	 	 
Dorea formicigenerans ATCC 27755 (411461.4)	1335_2	 	 	501_7, 534_6, 745_7, 746_6	500	535	1492	2137_16, 2138_15	536	744_18	 	 	386_22, 387_23, 388_26, 389_25, 390_24	 	2709_30
Dorea longicatena DSM 13814 (411462.6)	582_1	 	 	1427_7, 648_6, 943_7, 944_6	1426	649	1185	255_16, 256_15	650	942_18	 	 	 	 	 
Oribacterium sinus F0268 (585501.3)	438_1	 	 	436_7, 437_6, 440_7, 441_6	439	399	6	401_16, 402_15	1953	1868_18	 	 	257_22, 258_23, 259_26, 260_25, 261_24	1726_27	 
Roseburia hominis A2-183 (585394.18)	1984_1	 	 	1257_6, 1627_7, 897_6, 898_7	1626	1256	2790, 55	1618_16, 1619_15	1255	779_18	 	 	613_22, 614_23, 615_26, 616_25, 617_24	 	 
Roseburia intestinalis L1-82 (536231.5)	3047_1	 	 	1665_6, 297_7, 298_6, 3239_7	3240	1664, 2030	3344, 509	3246_15, 3247_16	1663	2727_18	 	 	575_24, 576_25, 577_26, 578_23, 579_22	 	 
