Organism	ThrA	Asd	Hom	ThrB	ThrC
Escherichia coli 2866350 (1116027.3)	4505, 4581, 5033	2754_2, 3994_2	4505, 5033	5034_6	5035
Escherichia coli 2866450 (1116028.3)	4555, 4633, 5097	2676_2, 4014_2	4555, 5097	5098_6	5099
Escherichia coli 2866550 (1116029.3)	4584, 4661, 5104	2796_2, 4036_2	4584, 5104	5105_6	5106
Escherichia coli 2866750 (1116030.3)	4430, 4505, 4952	2440_2, 3883_2	4430, 4952	4953_6	4954
Escherichia coli 2867750 (1116031.3)	4495, 4570, 5010	2673_2, 3952_2	4495, 5010	5011_6	5012
Escherichia coli 2871950 (1116032.3)	4440, 4520, 4983	3857_2	4440, 4983	4984_6	4985
Escherichia coli 2872000 (1116033.3)	4526, 4600, 5049	3997_2	4526, 5049	5050_6	5051
Escherichia coli 2872800 (1116034.3)	4535, 4615, 5055	2654_2, 4026_2	4535, 5055	5056_6	5057
Escherichia coli 2875000 (1116035.3)	4527, 4602, 5056	2623_2, 3966_2	4527, 5056	5057_6	5058
Escherichia coli 2875150 (1116036.3)	4755, 4850, 5337	3075_2, 4195_2	4755, 5337	5338_6	5339
Escherichia coli 3.2303 (869691.4)	2270, 2892, 4283	912_2	2270, 2892	2891_6	2890
Escherichia coli 3.2608 (869679.4)	3774, 3853, 4332	1907_2, 3229_2	3774, 4332	4333_6	4334
Escherichia coli 3.3884 (869689.4)	4382, 4759, 4840	3008_2, 3576_2	4382, 4840	4381_6	4380
Escherichia coli 3.4870 (1005450.3)	141, 4951, 5035	4289_2	141, 4951	142_6	143
Escherichia coli 3003 (869692.4)	458, 4747, 548	1136_2, 2254_2	4747, 548	4746_6	4745
Escherichia coli 3006 (1005565.3)	27, 4488, 4565	3920_2	27, 4488	28_6	29
Escherichia coli 3431 (670892.3)	2214, 2292, 3714	5131_2	2214, 3714	3713_6	3712
Escherichia coli 4.0522 (869681.4)	1257, 5453, 5538	1940_2, 3520_2	1257, 5538	1256_6	1255
Escherichia coli 4.0967 (869687.5)	3956, 499, 580	1129_2, 4836_2	3956, 580	3957_6	3958
Escherichia coli 4_1_47FAA (1127356.4)	1099, 2787, 2788, 4468	3410_2, 3822_2	2787, 2788, 4468	2789_6	2790
Escherichia coli 5.0588 (869671.4)	3428, 3510, 3945	1727_2, 2885_2	3428, 3945	3946_6	3947
Escherichia coli 5.0959 (869684.5)	1999, 447, 530	1061_2, 3907_2	1999, 530	2000_6	2001
Escherichia coli 5.2239 (1005452.3)	253, 4968, 5051	4340_2	253, 4968	254_6	255
Escherichia coli 536 (362663.9)	1, 4198, 4289	2389_2, 3571_2	1, 4198	2_6	3
Escherichia coli 53638 (344610.7)	1744, 2125, 2201	2801_2	1744, 2201	1743_6	1742
Escherichia coli 541-1 (752786.3)	2728, 2935, 3430	263_2, 4353_2	2728, 2935	2934_6	2933
Escherichia coli 541-15 (752785.3)	4353, 4512, 695	1691_2, 176_2	4512, 695	694_6	693
Escherichia coli 5412 (1005561.3)	4808, 4891, 64	4183_2	4808, 64	65_6	66
Escherichia coli 55989 (585055.8)	1, 4457, 4539	2605_2, 3875_2	1, 4457	2_6	3
Escherichia coli 5905 (1005558.3)	307, 5266, 5351	4669_2	307, 5266	308_6	309
Escherichia coli 6.0172 (1005455.3)	129, 5026, 5109	4401_2	129, 5026	130_6	131
Escherichia coli 75 (752788.3)	428, 556, 598	2665_2	428, 556	427_6	426
Escherichia coli 8.0416 (1005463.3)	4583, 4790, 5202	4067_2	4583, 5202	5203_6	5204
Escherichia coli 8.0566 (1005462.3)	4153, 4230, 4621	3603_2	4153, 4621	4622_6	4623
Escherichia coli 8.0569 (1005464.3)	4125, 4200, 4591	3601_2	4125, 4591	4592_6	4593
Escherichia coli 8.0586 (1005461.3)	241, 5083, 5207	4458_2	241, 5083	242_6	243
Escherichia coli 8.2524 (1005460.3)	4815, 4898, 8	4162_2	4815, 8	9_6	10
Escherichia coli 83972 (525281.3)	1272, 1876, 3349	2873_2, 4127_2	1272, 3349	1271_6	1270
Escherichia coli 88.0221 (1005397.3)	250, 4830, 4912	4211_2	250, 4830	251_6	252
Escherichia coli 88.1042 (1005398.3)	139, 4862, 4946	4237_2	139, 4862	140_6	141
Escherichia coli 88.1467 (1005396.3)	211, 4922, 5006	4302_2	211, 4922	212_6	213
Escherichia coli 89.0511 (1005399.3)	4686, 4898, 5287	4130_2	4686, 5287	5288_6	5289
Escherichia coli 9.0111 (869686.4)	1561, 3396, 4625	1121_2, 2313_2	3396, 4625	4626_6	4627
Escherichia coli 9.1649 (869685.3)	230, 324, 863	4582_2	230, 863	864_6	865
Escherichia coli 90.0039 (1005401.3)	4719, 4802, 5201	4107_2	4719, 5201	5202_6	5203
Escherichia coli 90.0091 (1005400.3)	268, 5116, 5203	4496_2	268, 5116	269_6	270
Escherichia coli 90.2281 (1005402.3)	244, 4905, 4989	4284_2	244, 4905	245_6	246
Escherichia coli 900105 (10e) (869695.4)	1078, 1532, 2063	2199_2, 5672_2	1078, 2063	1079_6	1080
Escherichia coli 93-001 (1005481.3)	234, 4922, 5004	4316_2	234, 4922	235_6	236
Escherichia coli 93.0055 (1005403.3)	4725, 4811, 5198	4099_2	4725, 5198	5199_6	5200
Escherichia coli 93.0056 (1005404.3)	186, 4892, 4977	4264_2	186, 4892	187_6	188
Escherichia coli 93.0624 (869680.4)	1658, 4888, 4968	1829_2, 2685_2	1658, 4968	1657_6	1656
Escherichia coli 94.0618 (1005405.3)	4836, 4921, 5309	4205_2	4836, 5309	5310_6	5311
Escherichia coli 95.0183 (1005406.3)	235, 4966, 5050	4299_2	235, 4966	236_6	237
Escherichia coli 95.0941 (869674.3)	1186, 714, 796	165_2, 3599_2	1186, 714	1187_6	1188
Escherichia coli 95.0943 (1005408.3)	130, 4988, 5074	4358_2	130, 4988	131_6	132
Escherichia coli 95.1288 (1005407.3)	4390, 4511, 4885	3778_2	4390, 4885	4886_6	4887
Escherichia coli 96.0107 (1005415.3)	221, 4874, 4959	4255_2	221, 4874	222_6	223
Escherichia coli 96.0109 (1005414.3)	4877, 4960, 5348	4264_2	4877, 5348	5349_6	5350
Escherichia coli 96.0427 (1005411.3)	4838, 4923, 5310	4224_2	4838, 5310	5311_6	5312
Escherichia coli 96.0428 (1005410.3)	221, 4870, 4959	4230_2	221, 4870	222_6	223
Escherichia coli 96.0497 (869677.4)	4245, 4325, 4704	2470_2, 3675_2	4245, 4704	4705_6	4706
Escherichia coli 96.0932 (1005413.3)	226, 4904, 4988	4278_2	226, 4904	227_6	228
Escherichia coli 96.0939 (1005412.3)	169, 4957, 5040	4327_2	169, 4957	170_6	171
Escherichia coli 96.154 (869683.4)	2651, 2732, 3180	1012_2, 2123_2	2651, 3180	3181_6	3182
Escherichia coli 97.0003 (1005416.3)	196, 4832, 4960	4215_2	196, 4832	197_6	198
Escherichia coli 97.0010 (1005419.3)	4769, 4852, 5240	4175_2	4769, 5240	5241_6	5242
Escherichia coli 97.0246 (869670.4)	1322, 4146, 4999	1672_2, 4827_2	1322, 4146	4147_6	4148
Escherichia coli 97.0259 (869672.4)	3908, 3965, 4584	1777_2, 3633_2	3965, 4584	4583_6	4582
Escherichia coli 97.0264 (869676.4)	4353, 4891, 4971	1912_2	4353, 4971	4352_6	4351
Escherichia coli 99.0670 (1005423.3)	262, 4909, 4990	4344_2	262, 4909	263_6	264
Escherichia coli 99.0672 (1005421.3)	4854, 4937, 5343	4191_2	4854, 5343	5344_6	5345
Escherichia coli 99.0678 (1005422.3)	323, 4883, 5009	4348_2	323, 4883	324_6	325
Escherichia coli 99.0713 (1005424.3)	129, 4783, 4863	4206_2	129, 4783	130_6	131
Escherichia coli 99.0741 (869678.4)	1374, 4208, 942	2828_2, 3409_2	1374, 942	941_6	940
Escherichia coli 99.0814 (1005434.3)	4849, 5237, 997	4153_2	5237, 997	5238_6	5239
Escherichia coli 99.0815 (1005433.3)	4525, 4654, 54	3970_2	4525, 54	55_6	56
Escherichia coli 99.0816 (1005430.3)	3940, 4752, 5138	4043_2	3940, 5138	5139_6	5140
Escherichia coli 99.0839 (1005432.3)	4702, 4752, 5200	4131_2	4702, 5200	5201_6	5202
Escherichia coli 99.0848 (1005431.3)	186, 4890, 5229	4241_2	186, 5229	5230_6	5231
Escherichia coli 99.1753 (1005440.3)	116, 4732, 58	4061_2	116, 58	117_6	118
Escherichia coli 99.1762 (1005435.3)	252, 4992, 5275	4334_2	252, 5275	253_6	254
Escherichia coli 99.1775 (1005438.3)	4410, 4496, 4882	3802_2	4410, 4882	4883_6	4884
Escherichia coli 99.1781 (1005439.3)	180, 4885, 4972	4351_2	180, 4885	181_6	182
Escherichia coli 99.1805 (1005436.3)	4547, 4630, 79	3929_2	4547, 79	80_6	81
Escherichia coli AA86 (1004153.3)	124, 4276, 4362	2512_2, 3662_2	124, 4276	125_6	126
Escherichia coli ABU 83972 (655817.3)	1, 4641, 4738	2771_2, 4027_2	1, 4641	2_6	3
Escherichia coli AD30 (1169664.3)	1436, 3409, 3876	2749_2	1436, 3876	1435_6	1434
Escherichia coli AI27 (1089445.3)	2071, 2435, 3295	2267_2, 856_2	2071, 2435	2436_6	2437
Escherichia coli APEC O1 (405955.13)	1, 4408, 4499	3859_2	1, 4408	2_6	3
Escherichia coli APEC O78 (1274814.3)	188, 709, 95	3157_2, 4291_2	709, 95	710_6	711
Escherichia coli ARS4.2123 (1005563.3)	39, 4319, 4408	2604_2, 3767_2	39, 4319	40_6	41
Escherichia coli ATCC 25922 (1322345.3)	3052, 3766, 521	1767_2, 357_2	3052, 521	522_6	523
Escherichia coli B088 (550672.3)	4023, 4101, 4273	2034_2, 3479_2	4023, 4273	4274_6	4275
Escherichia coli B093 (550674.3)	1105, 1835, 3400	2188_2, 2379_2	1105, 3400	1104_6	1103
Escherichia coli B185 (550676.3)	4202, 4288, 4664	3567_2	4202, 4664	4665_6	4666
Escherichia coli B354 (550677.3)	20, 383, 4523	1867_2, 3985_2	383, 4523	384_6	385
Escherichia coli B41 (869694.4)	4279, 4355, 4786	3344_2	4279, 4786	4787_6	4788
Escherichia coli B799 (550682.3)	2833, 2913, 4351	2270_2, 862_2	2833, 4351	4352_6	4353
Escherichia coli B str. REL606 (413997.3)	1, 4021, 4099	3440_2	1, 4021	2_6	3
Escherichia coli BCE001_MS16 (1116037.3)	4316, 4363, 4738	2377_2, 3745_2	4316, 4738	4739_6	4740
Escherichia coli BCE002_MS12 (1116112.3)	4327, 4403, 4869	2507_2, 3723_2	4327, 4869	4870_6	4871
Escherichia coli BCE006_MS-23 (1125637.3)	4350, 4427, 7	3781_2	4350, 7	8_6	9
Escherichia coli BCE007_MS-11 (1116113.3)	4500, 4581, 52	4013_2	4500, 52	53_6	54
Escherichia coli BCE008_MS-13 (1116471.3)	188, 4856, 4939	2799_2, 4223_2	188, 4856	189_6	190
Escherichia coli BCE011_MS-01 (1116114.3)	4074, 4151, 4584	3576_2	4074, 4584	4585_6	4586
Escherichia coli BCE019_MS-13 (1116115.3)	4393, 4466, 8	3756_2	4393, 8	9_6	10
Escherichia coli BCE030_MS-09 (1116116.3)	4349, 4423, 8	3749_2	4349, 8	9_6	10
Escherichia coli BCE032_MS-12 (1116117.3)	4331, 4420, 8	3748_2	4331, 8	9_6	10
Escherichia coli BCE034_MS-14 (1116118.3)	4803, 4884, 5366	2881_2, 4192_2	4803, 5366	5367_6	5368
Escherichia coli BL21 (511693.5)	1, 4039, 4119	3456_2	1, 4039	2_6	3
Escherichia coli BL21(DE3) (469008.4)	3744, 4168, 4247	325_2	3744, 4247	3743_6	3742
Escherichia coli C-34666 (1116002.3)	4985, 5078, 597	3220_2, 4418_2	4985, 597	598_6	599
Escherichia coli C639_08 (1126911.3)	221, 2800, 830	1419_2, 2573_2	221, 2800	222_6	223
Escherichia coli C844_97 (1126932.3)	1740, 3544, 4318	3225_2, 73_2	1740, 4318	1739_6	1738
Escherichia coli ATCC 8739 (481805.6)	3907, 4291, 4366	305_2	3907, 4366	3906_6	3905
Escherichia coli CB7326 (1005559.3)	4831, 4915, 5312	4209_2	4831, 5312	5313_6	5314
Escherichia coli CFT073 (199310.4)	3, 4594, 4686	2700_2, 3969_2	3, 4594	4_6	5
Escherichia coli CUMT8 (752790.3)	3183, 3557, 962	1629_2, 2862_2	3557, 962	3558_6	3559
Escherichia coli DEC10A (868180.3)	127, 4643, 5135	3190_2, 4444_2	127, 4643	128_6	129
Escherichia coli DEC10B (868181.3)	278, 4923, 5494	3602_2, 4866_2	278, 4923	279_6	280
Escherichia coli DEC10C (868182.3)	185, 5008, 5494	3584_2, 4875_2	185, 5008	186_6	187
Escherichia coli DEC10D (868183.3)	4453, 5003, 5516	3116_2, 4823_2	4453, 5516	5517_6	5518
Escherichia coli DEC10E (868184.3)	24, 4573, 4659	2707_2, 3933_2	24, 4573	25_6	26
Escherichia coli DEC10F (868185.3)	270, 5399, 5484	3531_2, 4844_2	270, 5399	271_6	272
Escherichia coli DEC11A (868186.3)	4563, 4643, 5056	2682_2, 4023_2	4563, 5056	5057_6	5058
Escherichia coli DEC11B (868187.3)	4582, 4663, 5074	2702_2, 4001_2	4582, 5074	5075_6	5076
Escherichia coli DEC11C (868188.3)	41, 4758, 4839	2842_2, 4198_2	41, 4758	42_6	43
Escherichia coli DEC11D (868189.3)	381, 4822, 4900	3000_2, 4243_2	381, 4822	382_6	383
Escherichia coli DEC11E (868190.3)	43, 4440, 4519	2650_2, 3918_2	43, 4440	44_6	45
Escherichia coli DEC12A (868191.3)	119, 4613, 4695	2803_2, 4053_2	119, 4613	120_6	121
Escherichia coli DEC12B (868192.3)	203, 5138, 5218	3222_2, 4571_2	203, 5138	204_6	205
Escherichia coli DEC12C (868193.3)	300, 5206, 5684	3317_2, 4639_2	5206, 5684	5685_6	5686
Escherichia coli DEC12D (868194.3)	4848, 4934, 5574	3034_2, 4280_2	4848, 5574	5575_6	5576
Escherichia coli DEC12E (868195.3)	113, 4554, 4634	2810_2, 3994_2	113, 4554	114_6	115
Escherichia coli DEC13A (868196.3)	229, 4287, 4377	2528_2, 3701_2	229, 4287	230_6	231
Escherichia coli DEC13B (868197.3)	4045, 4124, 4519	2252_2, 3463_2	4045, 4519	4520_6	4521
Escherichia coli DEC13C (868198.3)	4759, 4843, 5279	2949_2, 4168_2	4759, 5279	5280_6	5281
Escherichia coli DEC13D (868199.3)	4365, 4445, 70	2666_2, 3777_2	4365, 70	71_6	72
Escherichia coli DEC13E (868200.3)	4388, 4468, 4864	2682_2, 3837_2	4388, 4864	4865_6	4866
Escherichia coli DEC14A (868201.3)	3989, 4328, 4795	2507_2, 3684_2	3989, 4795	4796_6	4797
Escherichia coli DEC14B (868202.3)	4733, 4815, 5280	2896_2, 4113_2	4733, 5280	5281_6	5282
Escherichia coli DEC14C (868203.3)	4660, 4743, 5189	2766_2, 3993_2	4660, 5189	5190_6	5191
Escherichia coli DEC14D (868204.3)	4582, 4675, 5095	2740_2, 3964_2	4582, 5095	5096_6	5097
Escherichia coli DEC15A (868206.3)	4777, 4862, 5236	2953_2, 4104_2	4777, 5236	5237_6	5238
Escherichia coli DEC15B (868207.3)	4604, 4693, 5115	2689_2, 3906_2	4604, 5115	5116_6	5117
Escherichia coli DEC15C (868208.3)	4492, 4581, 4999	2653_2, 3816_2	4492, 4999	5000_6	5001
Escherichia coli DEC15D (868209.3)	4429, 4517, 4937	2560_2, 3763_2	4429, 4937	4938_6	4939
Escherichia coli DEC15E (868210.3)	102, 4778, 4869	2945_2, 4099_2	102, 4778	103_6	104
Escherichia coli DEC1A (868133.3)	4484, 4579, 5126	2715_2, 3877_2	4484, 5126	5127_6	5128
Escherichia coli DEC1B (868134.3)	41, 4564, 4658	2693_2, 3947_2	41, 4564	42_6	43
Escherichia coli DEC1C (868135.3)	4801, 4897, 5306	2951_2, 4189_2	4801, 5306	5307_6	5308
Escherichia coli DEC1D (868136.3)	4830, 4926, 547	3237_2	4830, 547	548_6	549
Escherichia coli DEC1E (868137.3)	153, 4669, 4763	2876_2, 4053_2	153, 4669	154_6	155
Escherichia coli DEC2A (868138.3)	252, 4626, 4721	2871_2, 4020_2	252, 4626	253_6	254
Escherichia coli DEC2B (868139.3)	4614, 4708, 97	2825_2, 3998_2	4614, 97	98_6	99
Escherichia coli DEC2C (868140.3)	4566, 4680, 5178	2727_2, 3950_2	4566, 5178	5179_6	5180
Escherichia coli DEC2D (868141.3)	2309, 276, 4683	2893_2, 4076_2	276, 4683	277_6	278
Escherichia coli DEC2E (868142.3)	41, 4166, 4266	2280_2, 3537_2	41, 4166	42_6	43
Escherichia coli DEC3A (868143.3)	4859, 4911, 5297	4305_2	4859, 5297	5298_6	5299
Escherichia coli DEC3B (868144.3)	5034, 5086, 5476	4397_2	5034, 5476	5477_6	5478
Escherichia coli DEC3C (868145.3)	207, 5321, 5402	4593_2	207, 5321	208_6	209
Escherichia coli DEC3D (868146.3)	4894, 4948, 5345	4349_2	4894, 5345	5346_6	5347
Escherichia coli DEC3E (868147.3)	117, 1400, 5662	4545_2	117, 5662	118_6	119
Escherichia coli DEC3F (868148.3)	1993, 316, 5063	4528_2	316, 5063	317_6	318
Escherichia coli DEC4A (868149.3)	1940, 4397, 4841	 	4397, 4841	4842_6	4843
Escherichia coli DEC4B (868150.3)	5029, 5110, 5524	4282_2	5029, 5524	5525_6	5526
Escherichia coli DEC4E (868153.3)	1217, 4924, 5356	4373_2	4924, 5356	5357_6	5358
Escherichia coli DEC4F (868154.3)	4669, 4768, 5161	4105_2	4669, 5161	5162_6	5163
Escherichia coli DEC5A (868155.3)	4634, 4718, 5141	4087_2	4634, 5141	5142_6	5143
Escherichia coli DEC5B (868156.3)	113, 4934, 5069	4370_2	113, 4934	114_6	115
Escherichia coli DEC5C (868157.3)	4838, 4921, 5313	4182_2	4838, 5313	5314_6	5315
Escherichia coli DEC5D (868158.3)	271, 4711, 5005	4171_2	271, 4711	272_6	273
Escherichia coli DEC5E (868159.3)	4761, 4848, 5352	4092_2	4761, 5352	5353_6	5354
Escherichia coli DEC6A (868160.3)	4609, 4686, 5081	4085_2	4609, 5081	5082_6	5083
Escherichia coli DEC6B (868161.3)	4880, 4957, 69	4314_2	4880, 69	70_6	71
Escherichia coli DEC6C (868162.3)	4737, 4816, 5269	4193_2	4737, 5269	5270_6	5271
Escherichia coli DEC6D (868163.3)	175, 4630, 4712	4084_2	175, 4630	176_6	177
Escherichia coli DEC6E (868164.3)	4509, 4585, 5007	3921_2	4509, 5007	5008_6	5009
Escherichia coli DEC7A (868165.3)	373, 4739, 4830	2864_2, 4118_2	373, 4739	374_6	375
Escherichia coli DEC7B (868166.3)	4169, 4253, 4649	2532_2, 3630_2	4169, 4649	4650_6	4651
Escherichia coli DEC7C (868167.3)	113, 4528, 4616	2718_2, 3901_2	113, 4528	114_6	115
Escherichia coli DEC7D (868168.3)	178, 4720, 4809	2754_2, 4096_2	178, 4720	179_6	180
Escherichia coli DEC7E (868169.3)	4391, 4482, 4881	2571_2, 3775_2	4391, 4881	4882_6	4883
Escherichia coli DEC8A (868170.3)	36, 4633, 4727	2842_2, 4049_2	36, 4633	37_6	38
Escherichia coli DEC8B (868171.3)	4483, 4955, 5396	3069_2, 4299_2	4483, 5396	5397_6	5398
Escherichia coli DEC8C (868172.3)	129, 5493, 5589	3578_2, 4918_2	129, 5493	130_6	131
Escherichia coli DEC8D (868173.3)	109, 4903, 5038	3057_2, 4463_2	109, 4903	110_6	111
Escherichia coli DEC8E (868174.3)	4970, 5024, 5488	3281_2, 4505_2	4970, 5488	5489_6	5490
Escherichia coli DEC9A (868175.3)	33, 4453, 4937	2894_2, 4345_2	33, 4453	34_6	35
Escherichia coli DEC9C (868177.3)	1369, 4279, 5111	2753_2, 4075_2	4279, 5111	5110_6	5109
Escherichia coli DEC9D (868178.3)	4896, 4983, 5500	2887_2, 4294_2	4896, 5500	5499_6	5498
Escherichia coli DEC9E (868179.3)	1501, 4539, 5576	3046_2, 4457_2	4539, 5576	5577_6	5578
Escherichia coli DH1 (536056.3)	3804, 4223, 4300	296_2	3804, 4300	3803_6	3802
Escherichia coli E101 (550685.3)	14, 3260, 395	1558_2	14, 3260	13_6	12
Escherichia coli E1167 (656372.3)	1307, 1669, 4659	2174_2, 3739_2	1669, 4659	1670_6	1671
Escherichia coli E128010 (670894.3)	2410, 591	1081_2, 2187_2	591	592_6	593
Escherichia coli E1520 (656374.3)	3291, 3664, 4452	4198_2	3664, 4452	3665_6	3666
Escherichia coli E2348/69 (216593.1)	3579, 4005, 4775	2413_2, 4160_2	3579, 4775	3578_6	3577
Escherichia coli E24377A (331111.12)	331, 4699, 4780	2897_2, 4153_2	331, 4699	332_6	333
Escherichia coli E482 (550687.3)	3265, 3796, 4577	4180_2	3796, 4577	3795_6	3794
Escherichia coli EC1734 (1005536.3)	125, 5145, 5229	4419_2	125, 5145	126_6	127
Escherichia coli EC1735 (1005537.3)	4878, 4962, 86	4234_2	4878, 86	87_6	88
Escherichia coli EC1736 (1005538.3)	4848, 4932, 5333	4201_2	4848, 5333	5334_6	5335
Escherichia coli EC1737 (1005539.3)	4755, 4839, 5274	4116_2	4755, 5274	5275_6	5276
Escherichia coli EC1738 (1005535.3)	233, 5071, 6	4494_2	233, 6	234_6	235
Escherichia coli EC1845 (1005540.3)	4678, 4759, 5152	4072_2	4678, 5152	5153_6	5154
Escherichia coli EC1846 (1005541.3)	4794, 4876, 5233	4187_2	4794, 5233	5234_6	5235
Escherichia coli EC1847 (1005542.3)	4809, 4891, 5237	4199_2	4809, 5237	5238_6	5239
Escherichia coli EC1848 (1005543.3)	202, 5073, 5155	4446_2	202, 5073	203_6	204
Escherichia coli EC1849 (1005544.3)	4824, 4906, 5310	4168_2	4824, 5310	5311_6	5312
Escherichia coli EC1850 (1005545.3)	143, 4987, 5069	4368_2	143, 4987	144_6	145
Escherichia coli EC1856 (1005546.3)	4848, 4930, 5335	4217_2	4848, 5335	5336_6	5337
Escherichia coli EC1862 (1005547.3)	4707, 4789, 5184	4106_2	4707, 5184	5185_6	5186
Escherichia coli EC1863 (1005548.3)	4557, 4640, 5034	3919_2	4557, 5034	5035_6	5036
Escherichia coli EC1864 (1005549.3)	152, 4995, 5079	4346_2	152, 4995	153_6	154
Escherichia coli EC1865 (1005550.3)	4985, 5099, 5540	3171_2, 4429_2	4985, 5540	5541_6	5542
Escherichia coli EC1866 (1005551.3)	4707, 4791, 5152	4055_2	4707, 5152	5153_6	5154
Escherichia coli EC1869 (1005553.3)	128, 5002, 5086	4352_2	128, 5002	129_6	130
Escherichia coli EC1870 (1005554.3)	4780, 4863, 5260	4123_2	4780, 5260	5261_6	5262
Escherichia coli EC302/04 (1230480.3)	2040, 271, 837	1375_2, 3438_2	2040, 837	836_6	835
Escherichia coli EC4013 (1005529.3)	287, 5020, 5101	4375_2	287, 5020	288_6	289
Escherichia coli EC4196 (1005524.3)	4703, 4784, 5176	4098_2	4703, 5176	5177_6	5178
Escherichia coli EC4203 (1005523.3)	4718, 4799, 5194	4114_2	4718, 5194	5195_6	5196
Escherichia coli EC4402 (1005530.3)	4731, 4812, 5199	4137_2	4731, 5199	5200_6	5201
Escherichia coli EC4421 (1005527.3)	4659, 4741, 5125	4051_2	4659, 5125	5126_6	5127
Escherichia coli EC4422 (1005528.3)	212, 4907, 4989	4297_2	212, 4907	213_6	214
Escherichia coli EC4436 (1005532.3)	4757, 4840, 5231	4138_2	4757, 5231	5232_6	5233
Escherichia coli EC4437 (1005533.3)	214, 4980, 5062	4354_2	214, 4980	215_6	216
Escherichia coli EC4439 (1005531.3)	4671, 4752, 5142	4069_2	4671, 5142	5143_6	5144
Escherichia coli EC4448 (1005534.3)	4853, 4935, 5324	4249_2	4853, 5324	5325_6	5326
Escherichia coli ED1a (585397.9)	1, 4633, 4722	2787_2, 4094_2	1, 4633	2_6	3
Escherichia coli EPEC C342-62 (766166.3)	196, 4863, 4944	2861_2, 4319_2	196, 4863	197_6	198
Escherichia coli EPECa12 (670896.3)	4549, 4642, 5080	2662_2, 3946_2	4549, 5080	5081_6	5082, 5083
Escherichia coli EPECa14 (670893.4)	2430, 372, 3931	1618_2, 3801_2	372, 3931	371_6	370
Escherichia coli ETEC H10407 (316401.4)	1, 4775, 4859	4173_2	1, 4775	2_6	3
Escherichia coli Envira 10/1 (1115998.3)	2249, 461, 5133	3180_2, 4474_2	2249, 461	462_6	463
Escherichia coli Envira 8/11 (1115997.3)	480, 5115, 5195	3133_2, 4543_2	480, 5115	481_6	482
Escherichia coli FDA504 (1005470.3)	210, 4997, 5081	4379_2	210, 4997	211_6	212
Escherichia coli FDA505 (1005471.3)	4732, 4814, 5190	4094_2	4732, 5190	5191_6	5192
Escherichia coli FDA506 (1005474.3)	511, 5290, 82	4658_2	511, 5290	512_6	513
Escherichia coli FDA507 (1005472.3)	4965, 5048, 5438	4333_2	4965, 5438	5439_6	5440
Escherichia coli FDA517 (1005473.3)	170, 5018, 5099	4408_2	170, 5018	171_6	172
Escherichia coli FRIK1985 (1005476.3)	4934, 5016, 5406	4338_2	4934, 5406	5407_6	5408
Escherichia coli FRIK1990 (1005478.3)	4684, 4766, 5164	4091_2	4684, 5164	5165_6	5166
Escherichia coli FRIK1996 (1005475.3)	230, 4885, 4968	4270_2	230, 4885	231_6	232
Escherichia coli FRIK1997 (1005480.3)	128, 5037, 5121	4383_2	128, 5037	129_6	130
Escherichia coli FRIK1999 (1005477.3)	125, 5033, 5116	4403_2	125, 5033	126_6	127
Escherichia coli FRIK2001 (1005479.3)	470, 5371, 5454	4744_2	470, 5371	471_6	472
Escherichia coli FRIK523 (1005482.3)	4940, 5123, 5510	4413_2	4940, 5510	5511_6	5512
Escherichia coli FRIK920 (1005483.3)	273, 5304, 5389	4825_2	273, 5304	274_6	275
Escherichia coli FVEC1302 (656379.3)	23, 235, 5189	2860_2, 4713_2	235, 5189	236_6	237
Escherichia coli FVEC1412 (656380.3)	174, 390, 5081	2418_2, 4503_2	174, 5081	175_6	176
Escherichia coli G58-1 (754078.3)	124, 4318, 4398	3744_2	124, 4318	125_6	126
Escherichia coli H120 (656383.3)	2286, 2725, 4893	3699_2, 4135_2	2725, 4893	2726_6	2727
Escherichia coli H252 (656388.3)	2978, 3510, 4429	3695_2	2978, 4429	2977_6	2976
Escherichia coli H263 (656390.3)	3565, 4467, 4524	4151_2	3565, 4524	3566_6	3567
Escherichia coli H299 (656393.3)	5136, 5227, 614	3353_2, 4495_2	5136, 614	615_6	616
Escherichia coli H30 (869673.3)	2573, 2987, 3071	3725_2	2573, 3071	2572_6	2571
Escherichia coli H397 (656398.3)	2765, 3315, 4665	4258_2	2765, 4665	2764_6	2763
Escherichia coli H489 (656404.3)	3121, 3518, 4293	3964_2	3518, 4293	3519_6	3520
Escherichia coli H494 (656405.3)	1412, 1858, 4933	306_2, 3795_2	1412, 4933	1411_6	1410
Escherichia coli H591 (656408.3)	4426, 4512, 4949	2565_2, 3855_2	4426, 4949	4950_6	4951
Escherichia coli H730 (656413.3)	3043, 3121, 350	2463_2	3043, 350	351_6	352
Escherichia coli H736 (656414.3)	113, 4482, 4563	3921_2	113, 4482	114_6	115
Escherichia coli HM26 (1308540.3)	207, 2632, 4126	1284_2, 1908_2	207, 4126	208_6	209
Escherichia coli HM46 (1308982.3)	208, 2679, 3572	2794_2, 3615_2	208, 3572	207_6	206
Escherichia coli HM605 (752789.3)	1295, 1896, 1987	2538_2	1295, 1987	1294_6	1293
Escherichia coli HS (331112.6)	1, 4065, 4145	3539_2	1, 4065	2_6	3
Escherichia coli IAI1 (585034.5)	1, 4040, 4122	2360_2, 3496_2	1, 4040	2_6	3
Escherichia coli IAI39 (585057.6)	1, 3167, 4592	2571_2, 4054_2	1, 3167	2_6	3
