Organism	AroKL	AroA	AroC	AroH	PheA1	PheA2	TyrA2	AroJ	TyrA1	AroP	PheP	TyrP	TyrT
Escherichia coli KTE67 (1182674.3)	4568_1	1760_6	3352	1365_10, 3580_10_13, 3581_10_23	 	3580_10_13	3581_10_23	1780_21, 1874_21, 2991_20, 3618_21, 4014_21, 499_16	3581_10_23	 	1446_27	2804_28	 
Escherichia coli KTE68 (1182675.3)	3989_1	829_6	2764	3021_10_13, 3022_10_23	 	3021_10_13	3022_10_23	1339_21, 1653_21, 2394_20, 3093_21, 4817_16, 849_21	3022_10_23	5369_26	438_27	2181_28	 
Escherichia coli KTE69 (1182676.3)	4150_1, 668_3	2712	2967_9	3230_10_13, 3231_10_23	 	3230_10_13	3231_10_23	111_20, 2166_21, 2691_21, 3280_21, 4919_16	3231_10_23	1933_26	1458_27	 	 
Escherichia coli KTE7 (1169317.3)	4609_1, 989_3	1534_6	3341_9	1066_10, 3631_10_13, 3632_10_23	 	3631_10_13	3632_10_23	1554_21, 2981_20, 493_21, 62_16	3632_10_23	2773_26	1207_27	 	 
Escherichia coli KTE70 (1182677.3)	4267_1, 540_3	2808	3067_9	3331_10_13, 3332_10_23	 	3331_10_13	3332_10_23	1356_21, 2339_20, 2787_21, 3390_21, 5030_16	3332_10_23	2135_26	787_27	 	 
Escherichia coli KTE71 (1182678.3)	4371_1	1275_6	3163	3434_10_13, 3435_10_23, 840_10	 	3434_10_13	3435_10_23	1296_21, 14_16, 2776_20	3435_10_23	2640_26, 483_26	930_27	2640_26	 
Escherichia coli KTE72 (1182679.3)	3882_1	960_6	2630	3023_10_13, 3024_10_23, 558_10	 	3023_10_13	3024_10_23	1076_21, 2266_20, 385_21, 4651_16, 5016_21, 980_21	3024_10_23	2060_26	640_27	 	 
Escherichia coli KTE73 (1182680.3)	3709_1	986_6	2557_9	2808_10_13, 2809_10_23, 513_10	 	2808_10_13	2809_10_23	1006_21, 2234_20, 4481_16, 4754_21	2809_10_23	2113_26, 4933_26	608_27	2113_26	 
Escherichia coli KTE74 (1182681.3)	3905_1, 542_3	2461	2711_9	3155_10_23, 3156_10_13	 	3156_10_13	3155_10_23	1210_21, 1731_21, 2364_20, 3089_21, 4672_16	3155_10_23	2248_26	796_27	 	 
Escherichia coli KTE75 (1182682.3)	4235_1	1256	2996	3350_10_13, 3351_10_23, 698_10	 	3350_10_13	3351_10_23	1277_21, 173_21, 1965_21, 2515_20, 5013_16	3351_10_23	2400_26	861_27	 	 
Escherichia coli KTE76 (1182683.3)	3743_1	947	2544_9	2800_10_13, 2801_10_23, 453_10	 	2800_10_13	2801_10_23	1574_21, 2191_20, 2843_21, 4492_16, 4915_21, 967_21	2801_10_23	5155_26	556_27	2047_28	 
Escherichia coli KTE77 (1182684.3)	3979_1	1371_6	2907	3155_10_13, 3156_10_23, 900_10	 	3155_10_13	3156_10_23	1391_21, 2553_20, 336_21, 55_16	3156_10_23	2397_26, 518_26	985_27	2397_26	 
Escherichia coli KTE78 (1182685.3)	3942_1	1383	2857_9	3109_10_13, 3110_10_23	 	3109_10_13	3110_10_23	1403_21, 1503_21, 1937_21, 2532_20, 312_21, 52_16	3110_10_23	566_26	1052_27	2408_28	 
Escherichia coli KTE79 (1182686.3)	830_1	2900	4380_9	6_10_13, 7_10_23	 	6_10_13	7_10_23	1569_16, 1828_21, 2920_21, 3020_21, 3458_21, 4051_20	7_10_23	2086_26	2572_27	3927_28	 
Escherichia coli KTE8 (1169328.3)	3775_1	973_6	2597	2830_10_13, 2831_10_23, 573_10	 	2830_10_13	2831_10_23	2282_20, 4503_16, 4852_21, 993_21	2831_10_23	2079_26	658_27	 	 
Escherichia coli KTE80 (1182687.3)	3743_1	929_6	2558	2812_10_13, 2813_10_23	 	2812_10_13	2813_10_23	1545_21, 2202_20, 2882_21, 4599_16, 949_21	2813_10_23	5136_26	589_27	2064_28	 
Escherichia coli KTE81 (1182688.3)	4052_1	1559_6	3002_9	1142_10, 3261_10_13, 3262_10_23	 	3261_10_13	3262_10_23	1579_21, 2689_20, 285_16, 613_21, 615_21	3262_10_23	2540_26, 783_26	1228_27	2540_26	 
Escherichia coli KTE82 (1169363.3)	3895_1	1146_6	2866	3114_10_13, 3115_10_23	 	3114_10_13	3115_10_23	1166_21, 1647_21, 2512_20, 3179_21, 4623_16	3115_10_23	174_26, 2224_26	745_27	2224_26	 
Escherichia coli KTE83 (1182689.3)	3916_1	1005_6	2767	3019_10_13, 3020_10_23	 	3019_10_13	3020_10_23	1025_21, 1675_21, 2412_20, 3084_21, 4658_16	3020_10_23	2202_26, 5196_26	611_27	2202_26	 
Escherichia coli KTE84 (1182690.3)	3891_1	1497	2872_9	1008_10, 3109_10_13, 3110_10_23	 	3109_10_13	3110_10_23	1517_21, 219_16, 2485_20, 507_21	3110_10_23	 	1088_27	2368_28	 
Escherichia coli KTE85 (1169364.3)	3621_1, 387_3	926	2525_9	2778_10_13, 2779_10_23, 466_10	 	2778_10_13	2779_10_23	2159_20, 2817_21, 4408_16, 946_21	2779_10_23	1990_26	598_27	 	 
Escherichia coli KTE86 (1182691.3)	3962_1	1112_6	2744	2980_10_13, 2981_10_23, 655_10	 	2980_10_13	2981_10_23	1132_21, 1229_21, 2432_20, 4678_16, 483_21, 89_21	2981_10_23	2226_26	791_27	 	 
Escherichia coli KTE87 (1182692.3)	4175_1	1436_6	3044	1038_10, 3277_10_13, 3278_10_23	 	3277_10_13	3278_10_23	1456_21, 2710_20, 311_21, 3316_21, 4951_16	3278_10_23	2459_26	1121_27	 	 
Escherichia coli KTE88 (1169366.3)	3343_1	767_6	2233	2465_10_13, 2466_10_23, 339_10	 	2465_10_13	2466_10_23	138_21, 1922_20, 4054_16, 4437_21, 787_16_21, 787_16_21, 882_21	2466_10_23	1744_26	448_27	 	 
Escherichia coli KTE89 (1182693.3)	3565_1	759_6	2359	2593_10_13, 2594_10_23, 296_10	 	2593_10_13	2594_10_23	124_21, 2046_20, 4282_16, 4647_21, 779_21, 875_21	2594_10_23	1844_26	438_27	 	 
Escherichia coli KTE9 (1169329.3)	4240_1	1612	3146_9	1124_10, 3448_10_13, 3449_10_23	 	3448_10_13	3449_10_23	1633_21, 2168_21, 2829_20, 296_16, 570_21	3449_10_23	759_26	1281_27	2703_28	 
Escherichia coli KTE90 (1169367.3)	3800_1	1217_6	2748	3011_10_13, 3012_10_23, 708_10	 	3011_10_13	3012_10_23	1237_21, 2396_20, 4511_16, 47_21	3012_10_23	2231_26, 231_26	847_27	2231_26	 
Escherichia coli KTE91 (1182694.3)	3630_1	945_6	2442	2743_10_13, 2744_10_23, 447_10	 	2743_10_13	2744_10_23	2099_20, 4344_16, 4628_21, 965_21	2744_10_23	1923_26, 4812_26	571_27	1923_26	 
Escherichia coli KTE93 (1182696.3)	3890_1	1332_6	2696	2981_10_13, 2982_10_23, 602_10	 	2981_10_13	2982_10_23	1352_21, 1448_21, 2383_20, 4605_16, 92_21	2982_10_23	2178_26	966_27	 	 
Escherichia coli KTE94 (1169368.3)	3776_1	1077_6	2578	2918_10_13, 2919_10_23, 609_10	 	2918_10_13	2919_10_23	1098_21, 1195_21, 2217_20, 2978_21, 4509_16, 51_21	2919_10_23	2078_26	727_27	 	 
Escherichia coli KTE96 (1182697.3)	2022_1, 2885_3	3387	428_9	638_10_13, 639_10_23	 	638_10_13	639_10_23	123_20, 2161_16, 3407_21, 4015_21, 674_21	639_10_23	 	3042_27	4310_28	 
Escherichia coli KTE97 (1169370.3)	3353_1	804_6	2307	2533_10_13, 2534_10_23, 384_10	 	2533_10_13	2534_10_23	2001_20, 2571_21, 4151_16, 824_16_21, 824_16_21, 916_21	2534_10_23	1864_26	489_27	 	 
Escherichia coli KTE98 (1182698.3)	1630_1, 4867_3	3053	2799_9	2541_10_23, 2542_10_13	 	2542_10_13	2541_10_23	2476_21, 3074_21, 3542_21, 4201_20, 80_16	2541_10_23	4077_26	4623_27	 	 
Escherichia coli KTE99 (1169371.3)	3622_1	978_6	2511	2741_10_13, 2742_10_23, 579_10	 	2741_10_13	2742_10_23	1093_21, 2153_20, 2779_21, 4399_16, 999_16_21, 999_16_21	2742_10_23	 	660_27	1945_28	 
Escherichia coli LCT-EC106 (1163386.3)	2756_1	3731_6	355	4594_10, 585_10_13, 586_10_23	 	585_10_13	586_10_23	1319_21, 2060_16, 24_20, 2412_21, 3751_16_21, 3751_16_21, 3846_21, 622_21	586_10_23	1810_26	3416_27	 	 
Escherichia coli LCT-EC52 (1258567.3)	1496_1	3218_6	361	2821_10, 595_10_13, 596_10_23	 	595_10_13	596_10_23	2245_16, 25_20, 3238_16_21, 3238_16_21, 3332_21, 4811_21, 633_21	596_10_23	3690_26	2902_27	 	 
Escherichia coli LCT-EC59 (1258580.3)	1531_1	4186_6	400	3141_10, 631_10_13, 632_10_23	 	631_10_13	632_10_23	2279_16, 2577_21, 4206_16_21, 4206_16_21, 4300_21, 66_20, 669_21	632_10_23	3738_26	3870_27	 	 
Escherichia coli LF82 (591946.4)	3437_1	848_6	2366	2595_10_13, 2596_10_23, 443_10	 	2595_10_13	2596_10_23	1412_21, 2058_20, 2675_21, 4147_16, 868_21	2596_10_23	1904_26	526_27	 	 
Escherichia coli LT-68 (670890.3)	1174_1	540_6	5107_9	2383_10_23, 2384_10_13, 4456_10	 	2384_10_13	2383_10_23	2657_20, 3980_16, 5138_21, 5139_21, 520_21	2383_10_23	4056_26	4594_27	724_28	 
Escherichia coli M605 (656417.3)	4225_1	1148_6	3009_9	3363_10_13, 3364_10_23, 602_10	 	3363_10_13	3364_10_23	1168_16_21, 1168_16_21, 1706_21, 2684_20, 5119_16, 5555_21	3364_10_23	2511_26	696_27	 	 
Escherichia coli M718 (656419.3)	4351_1	1205_6	3106	3394_10_13, 3395_10_23, 666_10	 	3394_10_13	3395_10_23	1226_16_21, 1226_16_21, 2011_21, 2770_20, 5285_16	3395_10_23	2642_26, 277_26	851_27	2642_26	 
Escherichia coli M863 (656420.3)	2581_1, 3570_3	1497	833_9	4893_10_13, 4894_10_23	 	4893_10_13	4894_10_23	1517_21, 3068_16, 3330_21, 482_20, 4866_21	4894_10_23	3893_26	1146_27	374_28	 
Escherichia coli MA6 (1005557.3)	4515_1	1469_6	3431	3693_10_13, 3694_10_23	 	3693_10_13	3694_10_23	1489_16_21, 1489_16_21, 3076_20, 5321_16	3694_10_23	2859_26	1055_27	2859_26	 
Escherichia coli MP020940.1 (1116140.3)	4034_1	1086_6	2819_9	3069_10_13, 3070_10_23, 653_10	 	3069_10_13	3070_10_23	1106_21, 2508_20, 4744_16, 79_21	3070_10_23	2370_26, 258_26	750_27	2370_26	 
Escherichia coli MP020980.1 (1125638.3)	4218_1	1427	2995_9	3314_10_13, 3315_10_23, 995_10	 	3314_10_13	3315_10_23	1449_21, 2681_20, 410_21, 5129_16	3315_10_23	2543_26, 597_26	1080_27	 	 
Escherichia coli MP020980.2 (1116139.3)	4233_1	1376_6	3090_9	3362_10_13, 3363_10_23, 939_10	 	3362_10_13	3363_10_23	1396_21, 19_16, 2755_20, 301_21	3363_10_23	2573_26, 485_26	1023_27	 	 
Escherichia coli MP021017.1 (1116057.3)	4030_1, 588_3	1080_6	2810_9	3168_10_13, 3169_10_23, 514_10	 	3168_10_13	3169_10_23	1100_21, 134_21, 135_21, 2491_20, 4810_16	3169_10_23	2349_26, 316_26	707_27	2349_26	 
Escherichia coli MP021017.10 (1116064.3)	4079_1, 631_3	1165	2833_9	3179_10_13, 3180_10_23, 706_10	 	3179_10_13	3180_10_23	1185_21, 223_21, 224_21, 2495_20, 4822_16	3180_10_23	2303_26, 408_26	799_27	2303_26	 
Escherichia coli MP021017.11 (1116065.3)	3866_1, 413_3	979	2612_9	2961_10_13, 2962_10_23, 487_10	 	2961_10_13	2962_10_23	2293_20, 28_21, 29_21, 4619_16, 999_21	2962_10_23	212_26, 2159_26	608_27	2159_26	 
Escherichia coli MP021017.12 (1116111.3)	309_3, 3426_1	835_6	2310_9	2581_10_13, 2582_10_23, 382_10	 	2581_10_13	2582_10_23	2010_20, 4129_16, 4398_21, 4399_21, 855_21	2582_10_23	4606_26, 93_26	459_27	4606_26	 
Escherichia coli MP021017.2 (1116058.3)	4042_1, 613_3	1163_6	2781_9	3138_10_13, 3139_10_23, 689_10	 	3138_10_13	3139_10_23	1183_21, 203_21, 204_21, 2461_20, 4792_16	3139_10_23	2323_26	782_27	2323_26	 
Escherichia coli MP021017.3 (1116059.3)	4011_1, 577_3	1124_6	2758_9	3099_10_13, 3100_10_23, 651_10	 	3099_10_13	3100_10_23	1144_21, 170_21, 171_21, 2437_20, 4772_16	3100_10_23	 	744_27	2299_28	 
Escherichia coli MP021017.4 (1116060.3)	3927_1, 514_3	1073_6	2721_9	3065_10_13, 3066_10_23, 589_10	 	3065_10_13	3066_10_23	1093_21, 2401_20, 4734_16, 5031_21, 5032_21	3066_10_23	2264_26, 296_26	681_27	2264_26	 
Escherichia coli MP021017.5 (1116061.3)	323_3, 3798_1	971_6	2634_9	2903_10_13, 2904_10_23, 397_10	 	2903_10_13	2904_10_23	2310_20, 4552_16, 4884_21, 4885_21, 991_21	2904_10_23	 	518_27	2172_28	 
Escherichia coli MP021017.6 (1116062.3)	3860_1, 432_3	1002	2669_9	2990_10_13, 2991_10_23, 506_10	 	2990_10_13	2991_10_23	1022_21, 2348_20, 28_21, 29_21, 4618_16	2991_10_23	2211_26	600_27	2211_26	 
Escherichia coli MP021017.9 (1116063.3)	3820_1, 444_3	939_6	2574_9	2919_10_13, 2920_10_23, 517_10	 	2919_10_13	2920_10_23	2251_20, 28_21, 29_21, 4563_16, 959_21	2920_10_23	2114_26	611_27	2114_26	 
Escherichia coli MP021552.11 (1116134.3)	4017_1	1353_6	2999_9	3250_10_13, 3251_10_23	 	3250_10_13	3251_10_23	1373_21, 2682_20, 299_16, 5018_21	3251_10_23	2571_26, 533_26	961_27	2571_26	 
Escherichia coli MP021552.12 (1116135.3)	3841_1, 496_3	1171_6	2744_9	2998_10_13, 2999_10_23	 	2998_10_13	2999_10_23	1191_21, 2378_20, 288_21, 4605_16	2999_10_23	 	664_27	2253_28	 
Escherichia coli MP021552.7 (1116132.3)	4419_1	1654_6	3287_9	3541_10_13, 3542_10_23	 	3541_10_13	3542_10_23	1674_21, 1920_16, 2944_20, 5514_21	3542_10_23	2822_26, 713_26	1194_27	2822_26	 
Escherichia coli MP021552.8 (1116133.3)	3857_1	1065_6	2729_9	4408_10_23, 4409_10_13	 	4409_10_13	4408_10_23	1085_21, 2338_20, 4667_16, 5171_21	4408_10_23	166_26, 2206_26	618_27	2206_26	 
Escherichia coli MP021561.2 (1116136.3)	4177_1	1487_6	3000	3258_10_13, 3259_10_23, 960_10	 	3258_10_13	3259_10_23	1507_21, 2690_20, 336_21, 52_16	3259_10_23	2475_26, 521_26	1053_27	2475_26	 
Escherichia coli MP021561.3 (1116137.3)	4168_1	1520_6	2985_9	3240_10_13, 3241_10_23	 	3240_10_13	3241_10_23	1540_21, 2691_20, 4972_16, 5356_21, 5357_21	3241_10_23	4242_26, 694_26	1169_27	4242_26	 
Escherichia coli MP021566.1 (1116138.3)	4273_1	1436_6	3149	3496_10_13, 3497_10_23, 918_10	 	3496_10_13	3497_10_23	1456_21, 2824_20, 50_16	3497_10_23	2639_26, 545_26	1033_27	2639_26	 
Escherichia coli MS 107-1 (679207.4)	430_1	1994_6	2458	3166_10, 4845_10_23, 4846_10_13	 	4846_10_13	4845_10_23	1337_21, 1658_20, 2939_16, 3411_21, 4105_21	4845_10_23	1156_26, 3617_26	2891_27	3617_26	 
Escherichia coli MS 115-1 (749537.3)	2925_1	4521_6	2170_9	1847_10, 4534_10_13, 4535_10_23	 	4534_10_13	4535_10_23	1073_16, 2415_17_20, 2415_17_20, 3736_20, 4499_21, 976_21	4535_10_23	1124_26, 3210_26	4059_27	1124_26	 
Escherichia coli MS 116-1 (749538.3)	472_1	2870_6	1938	1378_10, 2376_10_13, 2377_10_23	 	2376_10_13	2377_10_23	1043_21, 248_16, 2848_21, 894_20	2377_10_23	3021_26, 4531_26	2540_27	4531_26	 
Escherichia coli MS 119-7 (679206.4)	2590_1	3423_6	1979_9	4835_10_23, 4836_10_13	 	4836_10_13	4835_10_23	3368_16, 3445_21, 3565_21, 4484_20	4835_10_23	1654_26, 2092_26	4714_27	2092_26	 
Escherichia coli MS 124-1 (679205.4)	791_1, 87_3	1011_6	3349_9	4214_10_23, 4215_10_13	 	4215_10_13	4214_10_23	1250_16, 1956_21, 4915_20, 5211_21, 988_21, 989_21	4214_10_23	2299_26, 3722_26	579_27	3722_26	 
Escherichia coli MS 145-7 (679204.3)	1795_1	2247_6	364_9	1260_10_13, 1261_10_23, 1941_10	 	1260_10_13	1261_10_23	1311_21, 1312_21, 2224_21, 2742_21, 2988_16, 4360_20	1261_10_23	3106_26, 3233_26	5116_27	3106_26	 
Escherichia coli MS 146-1 (749540.3)	2328_1	97_6	3909_9	3778_10, 674_10_13, 675_10_23	 	674_10_13	675_10_23	119_21, 1609_16, 1927_21, 4763_20	675_10_23	2091_26	486_27	2091_26	 
Escherichia coli MS 182-1 (749545.3)	4726_1	3248_6	312_9	2236_10, 3498_10_13, 3499_10_23	 	3498_10_13	3499_10_23	2354_16, 3226_21, 4225_21, 4286_20	3499_10_23	1269_26, 2884_26	4928_27	2884_26	 
Escherichia coli MS 185-1 (749546.3)	4100_1	1774_6	2765	3570_10, 4178_10_13, 4179_10_23	 	4178_10_13	4179_10_23	1017_16, 1752_16_21, 1752_16_21, 3782_20, 4215_21, 815_21	4179_10_23	4665_26	3400_27	 	 
Escherichia coli MS 187-1 (749547.3)	3225_1	1858_6	836	2448_10, 2850_10_23, 2851_10_13	 	2851_10_13	2850_10_23	1448_20, 1880_21, 2049_16	2850_10_23	3825_26	3539_27	1243_28	 
Escherichia coli MS 196-1 (749548.3)	1642_1	2276_6	1874	2594_10, 2988_10_13, 3080_10_23	 	2988_10_13	3080_10_23	1433_21, 257_20, 363_16	3080_10_23	4283_26, 4840_26	3349_27	4840_26	 
Escherichia coli MS 198-1 (749549.3)	2739_1	5311_6	1241	4027_10_23, 4028_10_13	 	4028_10_13	4027_10_23	2603_20, 2639_21, 3673_16, 3883_21, 5291_21	4027_10_23	2936_26, 4706_26	4798_27	2936_26	 
Escherichia coli MS 200-1 (749550.3)	2984_1	2118_6	2872	3556_10_23, 3557_10_13, 4718_10	 	3557_10_13	3556_10_23	1457_16, 2095_16_21, 2095_16_21, 2288_21, 236_20, 299_21	3556_10_23	1963_26	4626_27	 	 
Escherichia coli MS 21-1 (749527.3)	1292_3, 2131_1	2359	1670_9	5374_10_13, 5375_10_23	 	5374_10_13	5375_10_23	1569_20, 2391_21, 2910_16, 3759_21, 5468_21	5375_10_23	847_26	4941_27	 	 
Escherichia coli MS 45-1 (749528.3)	819_1	1699_6	2677	3355_10_23, 3356_10_13, 3600_10	 	3356_10_13	3355_10_23	1187_21, 1677_16_21, 1677_16_21, 3318_21, 3387_20, 4312_21, 4435_16	3355_10_23	4937_26	4063_27	 	 
Escherichia coli MS 69-1 (749531.3)	1174_1	3108	3546_9	4619_10_13, 4620_10_23	 	4619_10_13	4620_10_23	1006_20, 1933_21, 2165_21, 2318_16, 3129_21, 422_21, 946_21	4620_10_23	 	3439_27	585_28	 
Escherichia coli MS 78-1 (749532.3)	3935_1	766_6	3104_9	1573_10_13, 1574_10_23, 4716_10	 	1573_10_13	1574_10_23	1514_21, 3825_20, 4643_16	1574_10_23	2478_26, 4407_26	3647_27	2478_26	 
Escherichia coli MS 84-1 (749533.3)	1416_3, 5201_1	1007_6	1770_9	2975_10_23, 2976_10_13	 	2976_10_13	2975_10_23	1918_20, 3206_21, 4281_16, 67_21, 985_21	2975_10_23	2532_26, 3137_26	5383_27	2532_26	 
Escherichia coli MS 85-1 (679202.3)	1709_3, 1974_1	308_6	2753_9	4641_10_13, 4642_10_23	 	4641_10_13	4642_10_23	2249_21, 3196_16, 328_21, 4330_21, 4449_20	4642_10_23	2925_26, 492_26	2898_27	492_26	 
Escherichia coli N1 (1005567.3)	3532_1	2211_6	2475_9	2736_10_13, 2737_10_23	 	2736_10_13	2737_10_23	2043_20, 2191_21, 4214_16, 4469_21	2737_10_23	205_26	587_27	1921_28	 
Escherichia coli NA114 (1033813.3)	3518_1	941_6	2437_9	2685_10_13, 2686_10_23, 440_10	 	2685_10_13	2686_10_23	1015_16_21, 1015_16_21, 1584_21, 4255_16, 4632_21, 886_20	2686_10_23	1983_26	510_27	 	 
Escherichia coli NC101 (753642.3)	4579_1	696_6	2753	1174_10, 525_10_23, 526_10_13	 	526_10_13	525_10_23	1724_21, 3072_20, 3714_21, 4109_16, 572_21, 676_16_21, 676_16_21	525_10_23	2438_26	1082_27	 	 
Escherichia coli NCCP15647 (1169663.3)	3345_1, 4629_3	1788_6	1443_9	4095_10_23, 4096_10_13, 4707_10	 	4096_10_13	4095_10_23	1547_16, 1808_21, 2251_21, 3007_21, 3624_20	4095_10_23	4124_26, 456_26	4031_27	 	 
Escherichia coli NCCP15657 (1169863.3)	1696_1	4272_6	2138	2398_10_13, 2399_10_23, 3800_10	 	2398_10_13	2399_10_23	142_21, 293_16, 3572_21, 4292_21, 789_20	2399_10_23	1195_26, 595_26	3893_27	 	 
Escherichia coli NCCP15658 (1169862.3)	4225_1	1022_6	3148	3416_10_13, 3417_10_23	 	3416_10_13	3417_10_23	1042_16_21, 1042_16_21, 2737_20, 5035_16	3417_10_23	2458_26	625_27	2458_26	 
Escherichia coli NE037 (1005484.3)	4492_1	1349_6	3407	3691_10_13, 3692_10_23	 	3691_10_13	3692_10_23	1369_16_21, 1369_16_21, 3029_20, 5300_16	3692_10_23	2838_26	929_27	2838_26	 
Escherichia coli NE098 (1005486.3)	4243_1	1178_6	3116	3442_10_13, 3443_10_23	 	3442_10_13	3443_10_23	1198_16_21, 1198_16_21, 2786_20, 5040_16	3443_10_23	2592_26	773_27	2592_26	 
Escherichia coli NE1487 (1005485.3)	4495_1	1374_6	3427	3694_10_13, 3695_10_23	 	3694_10_13	3695_10_23	1394_16_21, 1394_16_21, 3063_20, 5300_16	3695_10_23	2856_26	911_27	2856_26	 
Escherichia coli Nissle 1917 (316435.3)	622_1	3011_6	4625	1342_10_13, 1343_10_23, 3278_10	 	1342_10_13	1343_10_23	1380_21, 2418_16, 3031_21, 3123_21, 3664_21, 4309_20	1343_10_23	1221_26	3360_27	 	 
Escherichia coli O08 (1227814.3)	3369_1	868_6	2308_9	2564_10_13, 2565_10_23, 437_10	 	2564_10_13	2565_10_23	2001_20, 4065_16, 4383_21, 888_21	2565_10_23	107_26, 1890_26	544_27	 	 
Escherichia coli O103:H25 str. CVM9340 (1165940.3)	2010_1	2753_6	1497_9	3773_10_23, 3774_10_13	 	3774_10_13	3773_10_23	1041_16, 1184_21, 1642_20, 2773_21, 3988_21	3773_10_23	1867_26	4090_27	 	 
Escherichia coli O103:H25 str. NIPH-11060424 (1101440.4)	3756_1	951_6	2501_9	2869_10_13, 2870_10_23	 	2869_10_13	2870_10_23	1469_21, 2098_20, 4447_16, 4731_21, 971_21	2870_10_23	1955_26	591_27	1955_26	 
Escherichia coli O103:H2 str. 12009 (585395.4)	4292_1	1002_6	2926_9	3316_10_13, 3317_10_23, 459_10	 	3316_10_13	3317_10_23	1025_21, 2616_20, 5039_16	3317_10_23	112_26, 2271_26	610_27	2271_26	 
Escherichia coli O103:H2 str. CVM9450 (1165941.3)	3499_1	5380_6	2031_9	409_10, 4302_10_13, 4303_10_23	 	4302_10_13	4303_10_23	1566_20, 2619_21, 4044_21, 4045_21, 4956_21, 5128_16	4303_10_23	1076_26, 1966_26	4751_27	1966_26	 
Escherichia coli O104:H4 str. GOS1 (1038927.4)	4283_1	4951_6	1411_9	16_10_13, 17_10_23	 	16_10_13	17_10_23	2801_21, 2940_21, 4710_16, 693_20, 706_21	17_10_23	1110_26, 2140_26	1196_27	2140_26	 
Escherichia coli O104:H4 str. GOS2 (1038927.5)	1925_1	770_6	1324_9	1728_10_23, 1729_10_13, 2341_10	 	1729_10_13	1728_10_23	2178_20, 4030_21, 4351_21, 44_16, 4654_21	1728_10_23	2793_26, 595_26	3058_27	2793_26	 
Escherichia coli O104:H4 str. H112180282 (1038927.6)	3070_1	675_6	2282_9	2609_10, 3863_10_23, 3864_10_13	 	3864_10_13	3863_10_23	21_21, 4293_20, 4407_21, 4518_16, 744_21	3863_10_23	1962_26, 913_26	305_27	1962_26	 
Escherichia coli O104:H4 str. H112180283 (1038927.7)	564_1	853_6	5215_9	4103_10_23, 4104_10_13, 4570_10	 	4104_10_13	4103_10_23	1896_21, 2244_21, 2450_16, 4311_20, 5071_21	4103_10_23	1431_26, 2064_26	2665_27	1431_26	 
Escherichia coli O104:H4 str. 01-09591 (1042803.5)	3761_1	972_6	2565_9	2845_10_13, 2846_10_23, 475_10	 	2845_10_13	2846_10_23	1566_21, 2261_20, 4533_16, 4857_21, 995_21, 996_21	2846_10_23	115_26, 2050_26	571_27	2050_26	 
Escherichia coli O104:H4 str. 04-8351 (1048265.3)	2855_1	4953_6	1676_9	1981_10_13, 1982_10_23, 4467_10	 	1981_10_13	1982_10_23	1329_20, 3585_16, 3938_21, 4974_21, 586_21	1982_10_23	1180_26, 4110_26	4566_27	1180_26	 
Escherichia coli O104:H4 str. 09-7901 (1048266.3)	4273_1	1382_6	3090_9	3392_10_13, 3393_10_23, 897_10	 	3392_10_13	3393_10_23	1404_21, 2079_21, 2742_20, 346_21, 5002_16	3393_10_23	2594_26, 518_26	992_27	2594_26	 
Escherichia coli O104:H4 str. 11-02030 (1240768.3)	1812_1	4344_6	618_9	3770_10, 908_10_13, 909_10_23	 	908_10_13	909_10_23	2826_16, 317_20, 3207_21, 4365_21	909_10_23	163_26, 3381_26	3867_27	163_26	 
Escherichia coli O104:H4 str. 11-02033-1 (1240769.3)	1975_1	4295_6	349_9	3805_10, 641_10_13, 642_10_23	 	641_10_13	642_10_23	2789_16, 3244_21, 4318_21, 5279_20	642_10_23	3418_26, 5126_26	3901_27	5126_26	 
Escherichia coli O104:H4 str. 11-02092 (1240770.3)	5222_1	3052_6	4025_9	2558_10, 4317_10_13, 4318_10_23	 	4317_10_13	4318_10_23	1309_16, 1997_21, 3073_21, 3634_20	4318_10_23	2171_26, 3479_26	2655_27	3479_26	 
Escherichia coli O104:H4 str. 11-02093 (1240771.3)	752_1	3220_6	4758_9	2728_10, 5046_10_13, 5047_10_23	 	5046_10_13	5047_10_23	1540_16, 2165_21, 3241_21, 4455_20	5047_10_23	2340_26, 4301_26	2823_27	4301_26	 
Escherichia coli O104:H4 str. 11-02281 (1240772.3)	1412_1	4323_6	5457_9	3829_10, 504_10_13, 505_10_23	 	504_10_13	505_10_23	2863_16, 3268_21, 4344_21, 5155_20	505_10_23	3442_26, 4998_26	3926_27	4998_26	 
Escherichia coli O104:H4 str. 11-02318 (1240773.3)	2835_1	5080_6	1639_9	1927_10_13, 1928_10_23, 4584_10	 	1927_10_13	1928_10_23	1338_20, 3644_16, 4023_21, 5101_21	1928_10_23	1185_26, 4196_26	4681_27	1185_26	 
Escherichia coli O104:H4 str. 11-02913 (1240774.3)	1178_1	3444_6	5139_9	2948_10, 5430_10_13, 5431_10_23	 	5430_10_13	5431_10_23	1989_16, 2385_21, 3465_21, 4838_20	5431_10_23	2560_26, 4683_26	3046_27	4683_26	 
Escherichia coli O104:H4 str. 11-03439 (1240775.3)	556_1	3816_6	4791_9	2505_10, 5080_10_13, 5081_10_23	 	5080_10_13	5081_10_23	1568_16, 1942_21, 3837_21, 4421_20	5081_10_23	2118_26, 4268_26	2603_27	4268_26	 
