Organism	eALP	cALP	cAzNAD	cAzNADP	AzorDMT	eBGal	LacY	cBGal	cBRV	eBSH	cCda	eCda	CdaABC	cCgr	cCodA	eCodA	CodB	CodP	CodDMT	cDpdNAD	cDpdNADP	eDpdNADP	DpdP	cHpd	TdcA	TyrP	TyrNhaC	Dadh	cNAT	eNAT	NatABC	eNit	cNit	eUidA	cUidA	UidB	UidP
Escherichia coli KTE49 (1182656.3)	1091	 	 	 	 	 	1059_11	1060_12	 	 	 	3138	 	 	1057	1047	1056	 	 	 	3142_36	 	 	 	 	 	 	 	2332_48	 	 	 	 	 	2444_56	2442_57, 2443_57	 
Escherichia coli KTE5 (1169326.3)	158	 	 	 	 	 	130_11	131_12, 3481_12	 	 	 	2316	 	 	128	113	127	 	 	 	2320_36	 	 	 	 	 	 	 	1532_48	 	 	 	 	 	1647_56	1646_57	 
Escherichia coli KTE50 (1182657.3)	2041	 	 	 	 	 	2006_11	2007_12	 	 	 	4013	 	 	2000	1987	1999	 	 	 	4017_36	 	 	 	 	 	 	 	3274_48	 	 	2280	 	 	3465_56	3464_57	 
Escherichia coli KTE51 (1182658.3)	991	 	 	 	 	 	952_11	4173_12, 953_12	 	 	 	3099	 	 	946	933	945	 	 	 	3103_36	 	 	 	 	 	 	 	2381_48	 	 	1161	 	 	2505_56	2504_57	 
Escherichia coli KTE53 (1182660.3)	823	 	 	 	 	 	795_11	796_12	 	 	 	2881	 	 	793	781	792	 	 	 	2885_36	 	 	 	 	 	 	 	2085_48	 	 	 	 	 	2256_56	2255_57	 
Escherichia coli KTE54 (1182661.3)	1667	 	 	 	 	 	1632_11	1633_12	 	 	 	3389	 	 	1626	1608	1625	 	 	 	3393_36	 	 	 	 	 	 	 	2717_48	 	 	1879	 	 	2855_56	2854_57	 
Escherichia coli KTE55 (1182662.3)	1116	 	 	 	 	 	1089_11	1090_12, 4156_12	 	 	 	3052	 	 	1087	1071	1086	 	 	 	3056_36	 	 	 	 	 	 	 	2319_48	 	 	 	 	 	2446_56	2445_57	 
Escherichia coli KTE56 (1182663.3)	2877	 	 	 	 	 	2840_11	1066_12, 2841_12	 	 	 	147	 	 	2834	2820	2833	 	 	 	 	 	 	 	 	 	 	 	3978_48	 	 	3053	 	 	4216_56	4215_57	 
Escherichia coli KTE57 (1182664.3)	1795	 	 	 	 	 	1764_11	1765_12	 	 	 	3762	 	 	1762	1749	1761	 	 	 	3766_36	 	 	 	 	 	 	 	2947_48	 	 	 	 	 	3059_56	3058_57	 
Escherichia coli KTE58 (1182665.3)	1081	 	 	 	 	 	1054_11	1055_12, 4013_12	 	 	 	2952	 	 	1052	1035	1051	 	 	 	2956_36	 	 	 	 	 	 	 	2217_48	 	 	 	 	 	2334_56	2333_57	 
Escherichia coli KTE59 (1182666.3)	937	 	 	 	 	 	910_11	3936_12, 911_12	 	 	 	2873	 	 	908	892	907	 	 	 	2877_36	 	 	 	 	 	 	 	2137_48	 	 	 	 	 	2252_56	2251_57	 
Escherichia coli KTE6 (1169327.3)	2623	 	 	 	 	 	2591_11	2592_12	 	 	 	4680	 	 	2589	2579	2588	 	 	 	4684_36	 	 	 	 	 	 	 	3891_48	 	 	 	 	 	4001_56	4000_57	 
Escherichia coli KTE60 (1182667.3)	923	 	 	 	 	 	896_11	897_12	 	 	 	2884	 	 	894	882	893	 	 	 	2888_36	 	 	 	 	 	 	 	2080_48	 	 	 	 	 	2242_56	2241_57	 
Escherichia coli KTE61 (1182668.3)	521	 	 	 	 	 	483_11	3478_12, 484_12	 	 	 	2376	 	 	476	462	475	 	 	 	 	 	 	 	 	 	 	 	1645_48	 	 	688	 	 	1831_56	1830_57	 
Escherichia coli KTE62 (1182669.3)	1000	 	 	 	 	 	973_11	4229_12, 974_12	 	 	 	2971	 	 	971	956	970	 	 	 	2975_36	 	 	 	 	 	 	 	2291_48	 	 	 	 	 	2405_56	2404_57	 
Escherichia coli KTE63 (1182670.3)	1149	 	 	 	 	 	1120_11, 1121_11	1122_12	 	 	 	3031	 	 	1118	1106	1117	 	 	 	3035_36	 	 	 	 	 	 	 	2300_48	 	 	 	 	 	2412_56	2411_57	 
Escherichia coli KTE64 (1182671.3)	257	 	 	 	 	 	215_11, 38_11	216_12, 39_12	 	 	 	2274	 	 	209, 5085	194	208	 	 	 	2278_36	 	 	 	 	 	 	 	1448_48	 	 	426	 	 	1645_56	1644_57	 
Escherichia coli KTE65 (1182672.3)	160	 	 	 	 	 	133_11	134_12, 3349_12	 	 	 	2219	 	 	131	114	130	 	 	 	2223_36	 	 	 	 	 	 	 	1481_48	 	 	 	 	 	1597_56	1596_57	 
Escherichia coli KTE66 (1182673.3)	757	 	 	 	 	 	722_11	723_12	 	 	 	2609	 	 	716	698	715	 	 	 	2613_36	 	 	 	 	 	 	 	1907_48	 	 	996	 	 	2036_56	2035_57	 
Escherichia coli KTE67 (1182674.3)	1286	 	 	 	 	 	1258_11	1259_12	 	 	 	3113	 	 	1256	1244	1255	 	 	 	3117_36	 	 	 	 	 	 	 	2373_48	 	 	 	 	 	2504_56	2502_57	 
Escherichia coli KTE68 (1182675.3)	188	 	 	 	 	 	153_11	154_12	 	 	 	2513	 	 	147	128	146	 	 	 	2517_36	 	 	 	 	 	 	 	1679_48	 	 	440	 	 	1879_56	1878_57	 
Escherichia coli KTE69 (1182676.3)	663	 	 	 	 	 	625_11	626_12	 	 	 	2764	 	 	 	 	 	 	 	 	2768_36	 	 	 	 	 	 	 	2143_48	 	 	1456	 	 	1579_56, 1580_56	1578_57	 
Escherichia coli KTE7 (1169317.3)	984	 	 	 	 	 	955_11	4316_12, 956_12	 	 	 	3147	 	 	953	938	952	 	 	 	3151_36	 	 	 	 	 	 	 	2361_48	 	 	 	 	 	2477_56	2476_57	 
Escherichia coli KTE70 (1182677.3)	535	 	 	 	 	 	498_11	499_12	 	 	 	2862	 	 	 	 	 	 	 	 	2866_36	 	 	 	 	 	 	 	1380_48	 	 	789	 	 	1782_56, 1783_56	1781_57	 
Escherichia coli KTE71 (1182678.3)	727	 	 	 	 	 	764_11	763_12	 	 	 	2960	 	 	2	 	1, 716	 	 	 	 	 	 	 	 	 	 	 	2033_48	 	 	932	 	 	2327_56	2326_57	 
Escherichia coli KTE72 (1182679.3)	477	 	 	 	 	 	448_11	449_12	 	 	 	2386	 	 	446	435	445	 	 	 	2390_36	 	 	 	 	 	 	 	1613_48	 	 	642	 	 	1766_56	1765_57	 
Escherichia coli KTE73 (1182680.3)	433	 	 	 	 	 	397_11	260_12, 3391_12, 398_12	 	 	 	2358	 	 	390	375, 376	389	 	 	 	2362_36	 	 	 	 	 	 	 	1568_48	 	 	610	 	 	1796_56	1795_57	 
Escherichia coli KTE74 (1182681.3)	537	 	 	 	 	 	501_11	502_12	 	 	 	2511	 	 	 	 	 	 	 	 	2515_36	 	 	 	 	 	 	 	1754_48	 	 	798	 	 	1945_56, 1946_56	1944_57	 
Escherichia coli KTE75 (1182682.3)	618	 	 	 	 	 	581_11	582_12	 	 	 	2753	 	 	575	557	574	 	 	 	2757_36	 	 	 	 	 	 	 	1988_48	 	 	863	 	 	2111_56	2110_57	 
Escherichia coli KTE76 (1182683.3)	364	 	 	 	 	 	327_11, 328_11	329_12, 3459_12	 	 	 	2348	 	 	321	302	319, 320	 	 	 	2352_36	 	 	 	 	 	 	 	1603_48	 	 	558	 	 	1743_56	1742_57	 
Escherichia coli KTE77 (1182684.3)	823	 	 	 	 	 	787_11	3667_12, 788_12	 	 	 	2713	 	 	781	767	780	 	 	 	 	 	 	 	 	 	 	 	1895_48	 	 	987	 	 	2094_56	2093_57	 
Escherichia coli KTE78 (1182685.3)	864	 	 	 	 	 	830_11	831_12	 	 	 	2661	 	 	824	807	823	 	 	 	2665_36	 	 	 	 	 	 	 	1969_48	 	 	1054	 	 	2106_56	2105_57	 
Escherichia coli KTE79 (1182686.3)	2384	 	 	 	 	 	2350_11	2351_12	 	 	 	4183	 	 	2344	2327	2343	 	 	 	4187_36	 	 	 	 	 	 	 	3490_48	 	 	2574	 	 	3626_56	3625_57	 
Escherichia coli KTE8 (1169328.3)	492	 	 	 	 	 	464_11	3470_12, 465_12	 	 	 	2402	 	 	460	449	459	 	 	 	2406_36	 	 	 	 	 	 	 	1666_48	 	 	 	 	 	1776_56	1775_57	 
Escherichia coli KTE80 (1182687.3)	336	 	 	 	 	 	301_11	302_12	 	 	 	2359	 	 	295	277	294	 	 	 	2363_36	 	 	 	 	 	 	 	1571_48	 	 	591	 	 	1761_56	1760_57	 
Escherichia coli KTE81 (1182688.3)	1063	 	 	 	 	 	1026_11	1027_12	 	 	 	2800	 	 	1020	1005	1019	 	 	 	 	 	 	 	 	 	 	 	2081_48	 	 	1230	 	 	2238_56	2237_57	 
Escherichia coli KTE82 (1169363.3)	530	 	 	 	 	 	444_11	445_12	 	 	 	2669	 	 	438	419	437	 	 	 	2673_36	 	 	 	 	 	 	 	1670_48	 	 	747	 	 	1921_56	1920_57	 
Escherichia coli KTE83 (1182689.3)	359	 	 	 	 	 	322_11	323_12	 	 	 	2569	 	 	316	297	315	 	 	 	2573_36	 	 	 	 	 	 	 	1702_48	 	 	613	 	 	1899_56	1898_57	 
Escherichia coli KTE84 (1182690.3)	924	 	 	 	 	 	900_11	901_12	 	 	 	2677	 	 	898	887	897	 	 	 	2681_36	 	 	 	 	 	 	 	1975_48	 	 	1090	1318	 	2077_56	2076_57	 
Escherichia coli KTE85 (1169364.3)	382	 	 	 	 	 	275_11	276_12	 	 	 	2272	 	 	273	260	272	 	 	 	2276_36	 	 	 	 	 	 	 	1470_48	 	 	 	 	 	1649_56	1648_57	 
Escherichia coli KTE86 (1182691.3)	575	 	 	 	 	 	547_11	548_12	 	 	 	2551	 	 	545	534	544	 	 	 	2555_36	 	 	 	 	 	 	 	1782_48	 	 	793	 	 	1932_56	1931_57	 
Escherichia coli KTE87 (1182692.3)	955	 	 	 	 	 	927_11	928_12	 	 	 	2831	 	 	925	913	924	 	 	 	2835_36	 	 	 	 	 	 	 	1991_48	 	 	 	 	 	2158_56	2157_57	 
Escherichia coli KTE88 (1169366.3)	259	 	 	 	 	 	202_11	203_12	 	 	 	2040	 	 	200	189	 	 	 	 	2044_36	 	 	 	 	 	 	 	1286_48	 	 	450	 	 	1448_56	1447_57	 
Escherichia coli KTE89 (1182693.3)	216	 	 	 	 	 	188_11	189_12	 	 	 	2165	 	 	186	175	185	 	 	 	2169_36	 	 	 	 	 	 	 	1400_48	 	 	440	 	 	1550_56	1549_57	 
Escherichia coli KTE9 (1169329.3)	1036	 	 	 	 	 	1001_11	1002_12	 	 	 	2953	 	 	995	977	994	 	 	 	2957_36	 	 	 	 	 	 	 	2196_48	 	 	1283	 	 	2394_56	2393_57	 
Escherichia coli KTE90 (1169367.3)	626	 	 	 	 	 	589_11	590_12	 	 	 	2563	 	 	583	566	582	 	 	 	2567_36	 	 	 	 	 	 	 	1776_48	 	 	849	 	 	1920_56	1919_57	 
Escherichia coli KTE91 (1182694.3)	365	 	 	 	 	 	328_11	329_12	 	 	 	2258	 	 	322	305	321	 	 	 	2262_36	 	 	 	 	 	 	 	1464_48	 	 	573	 	 	1611_56	1610_57	 
Escherichia coli KTE93 (1182696.3)	523	 	 	 	 	 	494_11	495_12	 	 	 	2503	 	 	492	481	491	 	 	 	2507_36	 	 	 	 	 	 	 	1760_48	 	 	968	 	 	1884_56	1883_57	 
Escherichia coli KTE94 (1169368.3)	528	 	 	 	 	 	499_11	500_12	 	 	 	2385	 	 	497	485	496	 	 	 	2389_36	 	 	 	 	 	 	 	1661_48	 	 	 	 	 	1779_56	1778_57	 
Escherichia coli KTE95 (1169369.3)	406	 	 	 	 	 	371_11	372_12	 	 	 	2378	 	 	365	351	 	 	 	 	2382_36	 	 	 	 	 	 	 	1586_48	 	 	662	 	 	1794_56	1793_57	 
Escherichia coli KTE96 (1182697.3)	2880	 	 	 	 	 	2846_11	2847_12	 	 	 	233	 	 	2844	2828	2843	 	 	 	238_36	 	 	 	 	 	 	 	3988_48	 	 	3044	 	 	3893_56	3894_57	 
Escherichia coli KTE97 (1169370.3)	305	 	 	 	 	 	259_11	260_12	 	 	 	2118	 	 	257	247	256	 	 	 	2122_36	 	 	 	 	 	 	 	1348_48	 	 	 	 	 	1507_56	1506_57	 
Escherichia coli KTE98 (1182698.3)	4872	 	 	 	 	 	4908_11	4907_12, 4992_16	 	 	 	3002	 	 	4914	4931	4915	 	 	 	2998_36	 	 	 	 	 	 	 	3566_48	 	 	4621	 	 	3773_56	3772_57	 
Escherichia coli KTE99 (1169371.3)	500	 	 	 	 	 	456_11	457_12	 	 	 	2275	 	 	454	442	453	 	 	 	2279_36	 	 	 	 	 	 	 	1532_48	 	 	 	 	 	1647_56	1646_57	 
Escherichia coli LCT-EC106 (1163386.3)	4513	 	 	 	 	 	4485_11	4486_12	 	 	 	143	 	 	4483	4471	4482	 	 	 	147_36	 	 	 	 	 	 	 	1349_48	 	 	 	 	 	1508_56	1507_57	 
Escherichia coli LCT-EC52 (1258567.3)	2739	 	 	 	 	 	2712_11	2713_12	 	 	 	147	 	 	2710	2698	2709	 	 	 	151_36	 	 	 	 	 	 	 	4157_48	 	 	 	 	 	3993_56	3994_57	 
Escherichia coli LCT-EC59 (1258580.3)	3058	 	 	 	 	 	3030_11	3031_12	 	 	 	187	 	 	3028	3016	 	 	 	 	191_36	 	 	 	 	 	 	 	3274_48	 	 	 	 	 	3435_56	3434_57	 
Escherichia coli LF82 (591946.4)	364	 	 	 	 	 	336_11	337_12	 	 	 	2174	 	 	334	322	333	 	 	 	2178_36	 	 	 	 	 	 	 	1444_48	 	 	 	 	 	1615_56	1614_57	 
Escherichia coli LT-68 (670890.3)	4362	 	 	 	 	 	4327_11	1903_12, 4326_12	 	 	 	3298	 	 	4334	 	4335	 	 	 	3302_36	 	 	 	 	 	 	 	5173_48	 	 	4596	 	 	5375_56	5374_57	 
Escherichia coli M605 (656417.3)	512	 	 	 	 	 	480_11	481_12	 	 	 	2812	 	 	478	467	477	 	 	 	2816_36	 	 	 	 	 	 	 	1724_48	 	 	 	 	 	2110_56	2109_57	 
Escherichia coli M718 (656419.3)	579	 	 	 	 	 	537_11	538_12	 	 	 	 	 	 	531	511	530	 	 	 	2901_36	 	 	 	 	 	 	 	2133_48	 	 	853	 	 	2324_56	2322_57	 
Escherichia coli M863 (656420.3)	3565	 	 	 	 	 	3523_11	3524_12	 	 	 	611	 	 	3517	3500	3516	 	 	 	615_36	 	 	 	 	 	 	 	4625_48	 	 	1148	 	 	 	64_57	 
Escherichia coli MA6 (1005557.3)	858	 	 	 	 	 	818_11	4226_12, 819_12	 	 	 	3240	 	 	812	792	811	 	 	 	 	 	 	 	 	 	 	 	2330_48, 2331_48	 	 	1057	 	 	2513_56, 2514_56	2512_57	 
Escherichia coli MP020940.1 (1116140.3)	569	 	 	 	 	 	533_11	3744_12, 534_12	 	 	 	2631	 	 	528	509	527	 	 	 	2635_36	 	 	 	 	 	 	 	1888_48	 	 	752	 	 	2058_56	2057_57	 
Escherichia coli MP020980.1 (1125638.3)	3940	 	 	 	 	 	3902_11	3903_12	 	 	 	2805	 	 	3896	902	3895	 	 	 	 	 	 	 	 	 	 	 	2123_48	 	 	1082	 	 	2246_56	2245_57	 
Escherichia coli MP020980.2 (1116139.3)	860	 	 	 	 	 	822_11	3889_12, 823_12	 	 	 	2899	 	 	816	798	815	 	 	 	 	 	 	 	 	 	 	 	2093_48	 	 	1025	 	 	2275_56	2274_57	 
Escherichia coli MP021017.1 (1116057.3)	593	 	 	 	 	 	633_11	632_12	 	 	 	2614	 	 	641	654	642	 	 	 	2618_36	 	 	 	 	 	 	 	1726_48	 	 	709	 	 	1981_56	1980_57	 
Escherichia coli MP021017.10 (1116064.3)	626	 	 	 	 	 	587_11	588_12	 	 	 	1126	 	 	574	561	573	 	 	 	1122_36	 	 	 	 	 	 	 	2379_48	 	 	801	 	 	1928_56	1927_57	 
Escherichia coli MP021017.11 (1116065.3)	408	 	 	 	 	 	369_11	370_12	 	 	 	2413	 	 	355	342	354	 	 	 	2417_36	 	 	 	 	 	 	 	1595_48	 	 	610	 	 	1786_56	1785_57	 
Escherichia coli MP021017.12 (1116111.3)	304	 	 	 	 	 	265_11	266_12	 	 	 	2119	 	 	256	244	255	 	 	 	2123_36	 	 	 	 	 	 	 	1416_48	 	 	461	 	 	1611_56	1610_57	 
Escherichia coli MP021017.2 (1116058.3)	608	 	 	 	 	 	569_11	570_12	 	 	 	2583	 	 	560	546	559	 	 	 	2587_36	 	 	 	 	 	 	 	1783_48	 	 	784	 	 	112_56	113_57	 
Escherichia coli MP021017.3 (1116059.3)	572	 	 	 	 	 	532_11	533_12	 	 	 	2559	 	 	519	507	518	 	 	 	2563_36	 	 	 	 	 	 	 	1740_48	 	 	746	 	 	1928_56	1927_57	 
Escherichia coli MP021017.4 (1116060.3)	509	 	 	 	 	 	470_11	471_12	 	 	 	2523	 	 	461	448	460	 	 	 	2527_36	 	 	 	 	 	 	 	1685_48	 	 	683	 	 	1892_56	1891_57	 
Escherichia coli MP021017.5 (1116061.3)	318	 	 	 	 	 	281_11	282_12	 	 	 	2433	 	 	272	259	271	 	 	 	2437_36	 	 	 	 	 	 	 	1599_48	 	 	520	 	 	1800_56	1799_57	 
Escherichia coli MP021017.6 (1116062.3)	427	 	 	 	 	 	388_11	389_12	 	 	 	2470	 	 	378	365	377	 	 	 	2474_36	 	 	 	 	 	 	 	1605_48	 	 	602	 	 	1839_56	1838_57	 
Escherichia coli MP021017.9 (1116063.3)	439	 	 	 	 	 	400_11	401_12	 	 	 	2374	 	 	391, 4936	377	390	 	 	 	2378_36	 	 	 	 	 	 	 	1550_48	 	 	613	 	 	1742_56	1741_57	 
Escherichia coli MP021552.11 (1116134.3)	791	 	 	 	 	 	753_11	754_12	 	 	 	2802	 	 	747	735	746	 	 	 	2806_36	 	 	 	 	 	 	 	1984_48	 	 	963	 	 	2211_56	2210_57	 
Escherichia coli MP021552.12 (1116135.3)	491	 	 	 	 	 	410_11	411_12	 	 	 	2502	 	 	404	392	403	 	 	 	2506_36	 	 	 	 	 	 	 	1836_48	 	 	666	 	 	1942_56	1941_57	 
Escherichia coli MP021552.7 (1116132.3)	1027	 	 	 	 	 	945_11	946_12	 	 	 	3066	 	 	939	927	938	 	 	 	3070_36	 	 	 	 	 	 	 	2348_48	 	 	1196	 	 	2509_56	2508_57	 
Escherichia coli MP021552.8 (1116133.3)	442	 	 	 	 	 	403_11	404_12	 	 	 	2474	 	 	397	385	396	 	 	 	2478_36	 	 	 	 	 	 	 	1713_48	 	 	620	 	 	1895_56	1894_57	 
Escherichia coli MP021561.2 (1116136.3)	880	 	 	 	 	 	837_11	838_12	 	 	 	2806	 	 	830	815	829	 	 	 	 	 	 	 	 	 	 	 	2011_48	 	 	1055	 	 	2160_56	2159_57	 
Escherichia coli MP021561.3 (1116137.3)	987	 	 	 	 	 	935_11	936_12	 	 	 	2801	 	 	928	910	927	 	 	 	2805_36	 	 	 	 	 	 	 	2174_48	 	 	1171	 	 	2346_56	2345_57	 
Escherichia coli MP021566.1 (1116138.3)	837	 	 	 	 	 	801_11	802_12	 	 	 	2945	 	 	794	 	793	 	 	 	 	 	 	 	 	 	 	 	1997_48	 	 	1035	 	 	2328_56	2326_57, 2327_57	 
Escherichia coli MS 107-1 (679207.4)	3251	 	 	 	 	 	2130_11	2129_12, 3792_12	 	 	 	5065	 	 	2136	2155	2137	 	 	 	4101_36	 	 	 	 	 	 	 	4998_48	 	 	2888	 	 	4266_56	4267_57	 
Escherichia coli MS 115-1 (749537.3)	1929	 	 	 	 	 	27_11	28_12	 	 	 	2423	 	 	21	2519	20	 	 	 	2427_36	 	 	 	 	 	 	 	2514_48	 	 	4057	 	 	4706_56	4707_57	 
Escherichia coli MS 116-1 (749538.3)	1460	 	 	 	 	 	1484_11	1483_12, 2015_16, 3830_12	 	 	 	3296	 	 	1490	2725	1491	 	 	 	 	 	 	 	 	 	 	 	1580_48	 	 	2542	 	 	3623_56	3624_57, 3625_57	 
Escherichia coli MS 119-7 (679206.4)	173	 	 	 	 	 	210_11	1442_12, 209_12	 	 	 	1525	 	 	216	235	217	 	 	 	2367_36	 	 	 	 	 	 	 	4217_48	 	 	4712	 	 	1283_56	1284_57	 
Escherichia coli MS 124-1 (679205.4)	82	 	 	 	 	 	44_11	45_12	 	 	 	4949	 	 	38	25	37	 	 	 	4945_36	 	 	 	 	 	 	 	5539_48	 	 	581	 	 	1650_56	1649_57	 
Escherichia coli MS 145-7 (679204.3)	2026	 	 	 	 	 	2064_11	2063_12, 802_12	 	 	 	172	 	 	2069	3751	2070	 	 	 	176_36	 	 	 	 	 	 	 	3250_48	 	 	5114	 	 	535_56	534_57	 
Escherichia coli MS 146-1 (749540.3)	3696	 	 	 	 	 	2233_11	 	 	 	 	790	 	 	2227	2213	2226	 	 	 	 	 	 	 	 	 	 	 	702_48	 	 	488	 	 	4258_56	4256_57, 4257_57	 
Escherichia coli MS 182-1 (749545.3)	2153	 	 	 	 	 	2115_11	2116_12, 521_12	 	 	 	4047	 	 	3170	1876	3169	 	 	 	4051_36	 	 	 	 	 	 	 	3735_48	 	 	4927	 	 	5029_56	5028_57, 5136_57	 
Escherichia coli MS 185-1 (749546.3)	3487	 	 	 	 	 	3013_11	 	 	 	 	2921	 	 	3011	2997	3010	 	 	 	2925_36	 	 	 	 	 	 	 	781_48	 	 	 	 	 	4124_56	4153_57	 
Escherichia coli MS 187-1 (749547.3)	2532	 	 	 	 	 	4286_11	4285_12	 	 	 	2572	 	 	4293	29	4294	 	 	 	 	 	 	 	 	 	 	 	1794_48	 	 	3538	 	 	3562_56	3560_57, 3561_57	 
Escherichia coli MS 196-1 (749548.3)	2677	 	 	 	 	 	1008_11	2481_12	 	 	 	2231	 	 	1002	438	1001	 	 	 	2227_36	 	 	 	 	 	 	 	195_48	 	 	3351	 	 	4765_56	4763_57, 4764_57	 
Escherichia coli MS 198-1 (749549.3)	4246	 	 	 	 	 	4208_11	 	 	 	 	1891	 	 	4186	620	4185	 	 	 	1887_36	 	 	 	 	 	 	 	5169_48	 	 	4800	 	 	5263_56	5264_57	 
Escherichia coli MS 200-1 (749550.3)	4959	 	 	 	 	 	1822_11	1823_12, 994_12	 	 	 	1799	 	 	891	903	892	 	 	 	1795_36	 	 	 	 	 	 	 	677_48	 	 	 	 	 	3446_56	3444_57, 3445_57	 
Escherichia coli MS 21-1 (749527.3)	1287	 	 	 	 	 	591_11	590_12	 	 	 	132	 	 	2521	2541	2522	 	 	 	136_36	 	 	 	 	 	 	 	3737_48	 	 	379	 	 	1007_56	1008_57	 
Escherichia coli MS 45-1 (749528.3)	3684	 	 	 	 	 	1517_11	1518_12	 	 	 	2538	 	 	1515	1502	1514	 	 	 	2542_36	 	 	 	 	 	 	 	1213_48	 	 	 	 	 	3827_56	3828_57	 
Escherichia coli MS 69-1 (749531.3)	4193	 	 	 	 	 	1310_11	1309_12	 	 	 	2005	 	 	1317	1337	1318	 	 	 	2001_36	 	 	 	 	 	 	 	4242_48	 	 	3438	 	 	4857_56	4855_57, 4856_57	 
Escherichia coli MS 78-1 (749532.3)	4800	 	 	 	 	 	4838_11	4837_12, 591_12	 	 	 	3422	 	 	4844	149	4845	 	 	 	3426_36	 	 	 	 	 	 	 	208_48	 	 	3649	 	 	3803_56	3801_57, 3802_57	 
Escherichia coli MS 84-1 (749533.3)	1421	 	 	 	 	 	1458_11	1457_12	 	 	 	369	 	 	1464	1477	1465	 	 	 	365_36	 	 	 	 	 	 	 	5059_48	 	 	5385	 	 	4908_56	4909_57	 
Escherichia coli MS 85-1 (679202.3)	1704	 	 	 	 	 	1668_11	1669_12	 	 	 	2532	 	 	1662	1650	1661	 	 	 	2528_36	 	 	 	 	 	 	 	4358_48	 	 	2896	 	 	808_56	809_57	 
Escherichia coli N1 (1005567.3)	418	 	 	 	 	 	381_11	382_12	 	 	 	2285	 	 	375	358	374	 	 	 	2289_36	 	 	 	 	 	 	 	1480_48	 	 	589	 	 	1623_56	1622_57	 
Escherichia coli NA114 (1033813.3)	361	 	 	 	 	 	328_11	329_12	 	 	 	2249	 	 	326	316	325	 	 	 	2253_36	 	 	 	 	 	 	 	3670_48	 	 	 	 	 	1676_56	1674_57, 1675_57	 
Escherichia coli NC101 (753642.3)	1257	 	 	 	 	 	1286_11	1285_12	 	 	 	2950	 	 	1288	1300	1289	 	 	 	2946_36	 	 	 	 	 	 	 	1688_48	 	 	1080	 	 	1544_56	1545_57	 
Escherichia coli NCCP15647 (1169663.3)	4624	 	 	 	 	 	4589_11	4590_12	 	 	 	2757	 	 	4584	4566	4582, 4583	 	 	 	2753_36	 	 	 	 	 	 	 	3681_48	 	 	4029	 	 	984_56	985_57, 986_57	 
Escherichia coli NCCP15657 (1169863.3)	3717	 	 	 	 	 	3680_11	2885_12, 3681_12	 	 	 	1954	 	 	3675	3657	3674	 	 	 	 	 	 	 	 	 	 	 	6_48	 	 	3895	 	 	4861_56	4860_57	 
Escherichia coli NCCP15658 (1169862.3)	432	 	 	 	 	 	392_11	393_12, 3939_12	 	 	 	2953	 	 	386	369	385	 	 	 	 	 	 	 	 	 	 	 	1899_48	 	 	627	 	 	2145_56, 2146_56	2144_57	 
Escherichia coli NE037 (1005484.3)	736	 	 	 	 	 	696_11	4207_12, 697_12	 	 	 	3213	 	 	690	669	689	 	 	 	 	 	 	 	 	 	 	 	2325_48, 2326_48	 	 	931	 	 	2523_56, 2524_56	2522_57	 
Escherichia coli NE098 (1005486.3)	578	 	 	 	 	 	538_11	3957_12, 539_12	 	 	 	2922	 	 	532	511	531	 	 	 	 	 	 	 	 	 	 	 	2083_48, 2084_48	 	 	775	 	 	2278_56, 2279_56	2277_57	 
Escherichia coli NE1487 (1005485.3)	715	 	 	 	 	 	675_11	4208_12, 676_12	 	 	 	3235	 	 	669	648	668	 	 	 	 	 	 	 	 	 	 	 	2330_48, 2331_48	 	 	913	 	 	2543_56, 2544_56	2542_57	 
Escherichia coli Nissle 1917 (316435.3)	3197	 	 	 	 	 	2577_11	2578_12	 	 	 	4413	 	 	2575	2563	 	 	 	 	4417_36	 	 	 	 	 	 	 	407_48	 	 	 	 	 	868_56	867_57	 
Escherichia coli O08 (1227814.3)	356	 	 	 	 	 	318_11	3079_12, 319_12	 	 	 	2125	 	 	312	302	311	 	 	 	2129_36	 	 	 	 	 	 	 	1447_48	 	 	546	 	 	1565_56	1564_57	 
Escherichia coli O10:K5(L):H4 str. ATCC 23506 (1246623.3)	180	 	 	 	 	 	140_11	141_12	 	 	 	1582	 	 	133	4225	 	 	 	 	 	 	 	 	 	 	 	 	2858_48	 	 	1035	 	 	2606_56	2605_57	 
Escherichia coli O103:H2 str. 12009 (585395.4)	376	 	 	 	 	 	340_11	341_12	 	 	 	2738	 	 	334	313	333	 	 	 	 	 	 	 	 	 	 	 	1670_48	 	 	612	 	 	1840_56	1839_57	 
Escherichia coli O103:H2 str. CVM9450 (1165941.3)	492	 	 	 	 	 	634_11	635_12	 	 	 	2781	 	 	628	611	627	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4749	 	 	1671_56	1670_57	 
Escherichia coli O103:H25 str. CVM9340 (1165940.3)	465	 	 	 	 	 	427_11	428_12	 	 	 	687	 	 	874	988	873	 	 	 	683_36	 	 	 	 	 	 	 	 	 	 	4092	 	 	854_56	853_57	 
Escherichia coli O103:H25 str. NIPH-11060424 (1101440.4)	377	 	 	 	 	 	340_11	341_12	 	 	 	2267	 	 	338	320	337	 	 	 	2271_36	 	 	 	 	 	 	 	 	 	 	593	 	 	1623_56	1622_57	 
