Organism	gdhA	proB	proA	proC	ocd1	ocd2
Clostridium clostridioforme CM201 (999410.3)	1485_1, 1495, 1495	3262	3264	508_5	 	 
Clostridium difficile 6503 (691160.5)	 	 	 	3677_5, 98_5	 	2226
Clostridium difficile 2007855 (699033.6)	 	 	 	1446_5, 1447_5, 3354_5	 	 
Clostridium difficile 630 (272563.8)	 	 	 	1567_5, 3434_5	 	570
Clostridium difficile ATCC 43255 (499175.4)	 	 	 	1095_5, 2940_5	 	174, 3621
Clostridium difficile BI1 (699034.5)	 	 	 	1441_5, 3310_5	 	 
Clostridium difficile CD196 (645462.3)	 	 	 	1419_5, 3250_5	 	 
Clostridium difficile CIP 107932 (499176.4)	 	 	 	1009_5, 2920_5	 	 
Clostridium difficile M120 (699035.5)	 	 	 	1494_5, 3328_5	 	262, 606
Clostridium difficile M68 (699037.5)	 	 	 	1548_5, 3493_5	 	612
Clostridium difficile NAP07 (525258.3)	 	 	 	2884_5, 890_5	 	230, 36
Clostridium difficile NAP08 (525259.3)	 	 	 	1508_5, 2882_5	 	2201, 3311
Clostridium difficile QCD-23m63 (499174.4)	 	 	 	2665_5, 882_5	 	3234, 3463
Clostridium difficile QCD-37x79 (479834.4)	 	 	 	2827_5, 887_5	 	 
Clostridium difficile QCD-63q42 (479831.4)	 	 	 	2566_5, 656_5	 	3262, 3498
Clostridium difficile QCD-66c26 (455631.3)	 	 	 	1410_5, 3277_5	 	 
Clostridium difficile QCD-76w55 (479832.7)	 	 	 	1037_5, 2911_5	 	 
Clostridium difficile QCD-97b34 (479833.4)	 	 	 	1035_5, 2898_5	 	 
Clostridium difficile R20291 (645463.3)	 	 	 	1423_5, 3335_5	 	 
Clostridium hiranonis DSM 13275 (500633.7)	41_2	 	 	1319_5, 1730_5	 	1631
Clostridium hylemonae DSM 15053 (553973.6)	2686_1, 852, 852	34	35	1638_5, 3186_5, 558_5, 781_5	 	1629, 258, 3467
Clostridium leptum DSM 753 (428125.8)	730_1	2496, 844	843	2425_5	 	 
Clostridium methylpentosum DSM 5476 (537013.3)	295_1	1057, 1597	1058	1978_5	 	 
Clostridium nexile DSM 1787 (500632.7)	369_1	426	425	2516_5, 3145_5, 3779_5	 	400
Clostridium perfringens ATCC 13124 (195103.10)	 	2785	 	2839_5	 	 
Clostridium perfringens F262 (883064.3)	1839_1	2925	2924	2980_5	 	 
Clostridium perfringens SM101 (289380.15)	1472_1	2504	2503	2559_5	 	 
Clostridium perfringens WAL-14572 (742739.3)	1176_1	2635	2634	2690_5	 	 
Clostridium perfringens str. 13 (195102.6)	1587_1	2651	2650	2704_5	 	 
Clostridium saccharoperbutylacetonicum N1-4(HMT) (931276.5)	 	30	31	5858_5	 	4954
Clostridium sartagoforme AAU1 (1202534.3)	2939_1	1561	1560	2590_5	 	 
Clostridium scindens ATCC 35704 (411468.9)	1048, 1048, 381_1	2103	2102	1690_5, 1934_5	 	368, 369
Clostridium sp. 7_2_43FAA (457396.3)	1958_1	3039	3040	3359_5	 	 
Clostridium sp. L2-50 (411489.7)	132_1, 314, 314	760	1339	2473_5	 	 
Clostridium sp. M62/1 (411486.3)	3452_1	79	76	1263_5	 	 
Clostridium sp. SS2/1 (411484.7)	1889_1	466	464	608_5	 	 
Clostridium sp. SY8519 (1042156.4)	1198_1	2406	283	549_5	 	2570
Clostridium sporogenes ATCC 15579 (471871.7)	 	 	 	385_5	 	3534
Clostridium sporogenes PA 3679 (1075091.3)	 	 	 	171_5	 	1810, 1814, 3150
Clostridium sporosphaeroides DSM 1294 (1121334.3)	170_1, 882_1	391	392	2087_5, 2819_5	 	 
Clostridium sticklandii DSM 519 (499177.3)	 	 	 	1961_5	 	 
Clostridium symbiosum WAL-14163 (742740.3)	3991_1, 4038_1, 694_1	4448	4445	1456_5, 3625_5	 	2757, 4165, 4921, 593
Clostridium symbiosum WAL-14673 (742741.3)	3734_1, 3780_1, 709_1	1055	1052	1825_5, 2520_5	 	3026, 3415
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 (1121342.4)	2169_1	1309, 1789	1310	1308_5	 	2421
Clostridium tyrobutyricum UC7086 (1212547.3)	2534_1	2173, 2234	2235	2233_5	 	1580, 1582, 1891
Anaerococcus prevotii ACS-065-V-Col13 (879305.3)	900_2	 	 	 	 	18
Anaerococcus prevotii DSM 20548 (525919.6)	 	 	 	 	 	 
Anaerococcus vaginalis ATCC 51170 (655811.4)	 	624	 	622_5	 	 
Finegoldia magna ACS-171-V-Col3 (768713.4)	999_2	 	 	 	 	 
Finegoldia magna ATCC 29328 (334413.6)	 	 	 	 	 	 
Finegoldia magna ATCC 53516 (525282.5)	1182_2	 	 	1417_5	 	 
Finegoldia magna BVS033A4 (866773.4)	348_2	 	 	 	 	 
Finegoldia magna SY403409CC001050417 (866779.4)	1273_2	 	 	 	 	 
Parvimonas micra ATCC 33270 (411465.10)	1178, 1178	 	 	 	 	 
Peptoniphilus harei ACS-146-V-Sch2b (908338.3)	662_2	1038	1037	1120_5	 	1221
Peptoniphilus indolicus ATCC 29427 (997350.3)	12_2	2081	1236	380_5	 	776
Peptoniphilus lacrimalis 315-B (596330.3)	1113_2	51	52	1539_5	 	1089
Peptoniphilus lacrimalis DSM 7455 (1122949.3)	223_2	1466	1465	1569_5	 	187
Peptoniphilus timonensis JC401 (1095770.3)	958_2	1253	1252	1540_5	 	1831
Anaerofustis stercorihominis DSM 17244 (445971.6)	 	1144	 	2192_5	 	 
Eubacterium cellulosolvens 6 (633697.3)	2239_1	1237	1168	2402_5	 	1328
Eubacterium eligens ATCC 27750 (515620.4)	 	913	 	1046_5	 	 
Eubacterium hallii DSM 3353 (411469.3)	751_1	1196	1197	730_5	 	 
Eubacterium limosum KIST612 (903814.3)	 	1892	 	946_5	 	 
Eubacterium rectale ATCC 33656 (515619.6)	 	1397	 	1000_5	 	 
Eubacterium rectale DSM 17629 (657318.4)	374_1	1008	1011	2054_5	 	 
Eubacterium rectale M104/1 (657317.3)	1969_1	3389	3386	2568_5	 	 
Eubacterium saphenum ATCC 49989 (592031.3)	 	187	 	188_5	 	 
Eubacterium siraeum 70/3 (657319.3)	906_1	1475	1476	2221_5	 	 
Eubacterium siraeum DSM 15702 (428128.7)	 	1531	1532	1436_5	 	 
Eubacterium siraeum V10Sc8a (717961.3)	 	368	 	799_5	 	 
Eubacterium ventriosum ATCC 27560 (411463.4)	2379_1	100	99	1889_5	 	 
Pseudoramibacter alactolyticus ATCC 23263 (887929.3)	271_1	310	2397	78_5	 	 
Anaerostipes caccae DSM 14662 (411490.6)	 	1669	 	384_5	 	 
Anaerostipes hadrus DSM 3319 (649757.3)	1896_1	2122	2120	368_5	 	 
Anaerostipes sp. 3_2_56FAA (665937.3)	1931_1	1450	1448	2383_5	 	 
Blautia producta ATCC 27340 (1121114.4)	4992_1, 5052, 5052	2572	1188	424_5	 	2471
Bryantella formatexigens DSM 14469 (478749.5)	 	1123	 	200_5	 	 
Butyrivibrio crossotus DSM 2876 (511680.4)	 	1546	 	99_5	 	 
Butyrivibrio fibrisolvens 16/4 (657324.3)	1254_1	1621	1624, 1625	2125_5	 	 
Coprococcus catus GD/7 (717962.3)	1824_1	1622	1625	1751_5	 	 
Coprococcus comes ATCC 27758 (470146.3)	 	2795	 	 	 	 
Coprococcus eutactus ATCC 27759 (411474.6)	1290_1	1148	663	1648_5	 	1377, 437
Dorea formicigenerans ATCC 27755 (411461.4)	 	1674	 	2963_5	 	 
Dorea longicatena DSM 13814 (411462.6)	1788_1	 	 	2564_5, 332_5	 	2636
Oribacterium sinus F0268 (585501.3)	1553_1	 	 	1736_5	 	 
Roseburia hominis A2-183 (585394.18)	2817_1	1679	1676	2399_5	 	 
Roseburia intestinalis L1-82 (536231.5)	141_1	710	713	511_5	 	 
Roseburia intestinalis XB6B4 (718255.3)	 	2528	 	3293_5	 	 
Roseburia inulinivorans DSM 16841 (622312.4)	727_1	463	466	477_5	 	 
Lachnospiraceae bacterium 5_1_63FAA (658089.3)	1953_1	644	642	1787_5, 2644_5	 	 
Lachnospiraceae bacterium 8_1_57FAA (665951.3)	61_1	496	534	959_5	 	 
Filifactor alocis ATCC 35896 (546269.5)	 	191	 	542_5	 	 
Peptostreptococcus anaerobius 653-L (596329.3)	1088_2	 	 	626_5	 	581
Peptostreptococcus anaerobius DSM 2949 (1122950.3)	582_2	 	 	483_5	 	912
Peptostreptococcus stomatis DSM 17678 (596315.3)	556_2	 	 	288_5	 	 
Clostridium difficile 002-P50-2011 (997827.4)	 	 	 	1118_5, 1374_5	 	33
Clostridium difficile 050-P50-2011 (997828.4)	 	 	 	1426_5, 1781_5	 	2085
Clostridium difficile 70-100-2010 (1002369.4)	 	 	 	221_5, 919_5	 	1181, 2575
Clostridium difficile ATCC 9689 (1121308.3)	 	 	 	1512_5, 1944_5	 	1230, 525
Clostridium difficile CD37 (1125976.4)	 	 	 	222_5, 2859_5	 	440
Clostridium glycolicum ATCC 14880 (1121315.3)	2582_2, 2583_2, 512_1	 	 	3743_5, 939_5	 	1621, 2215
Anaerotruncus colihominis DSM 17241 (445972.6)	 	3498	 	2288_5	 	 
Faecalibacterium cf. prausnitzii KLE1255 (748224.3)	1094_1	2440	2439	2441_5	 	 
Faecalibacterium prausnitzii A2-165 (411483.3)	 	1540	 	1541_5	 	 
Faecalibacterium prausnitzii L2-6 (718252.3)	100_1	250	251	249_5	 	 
Faecalibacterium prausnitzii M21/2 (411485.10)	1419_1	2181	2182	2180_5	 	 
Faecalibacterium prausnitzii SL3/3 (657322.3)	2065_1	2821	2820	2822_5	 	 
Ruminococcus albus 7 (697329.10)	1742_1, 3229_1	3731	3727	3258_5	 	 
Ruminococcus albus 8 (246199.4)	1281_1, 1381_1	1973	1972	1238_5	 	 
Ruminococcus bromii L2-63 (657321.5)	 	1775	 	282_5	 	 
Ruminococcus flavefaciens FD-1 (641112.4)	1130_1	222	224	967_5	 	 
Ruminococcus gnavus ATCC 29149 (411470.6)	231_1	2079	2078	2387_5	 	 
Ruminococcus lactaris ATCC 29176 (471875.6)	992_1	2002	1074	1824_5	 	 
Ruminococcus obeum A2-162 (657314.3)	 	2651	 	3170_5	 	 
Ruminococcus sp. 18P13 (213810.4)	2199_1	123	122	1570_5	 	 
Ruminococcus sp. 5_1_39BFAA (457412.4)	272_1	42	39	1997_5	 	 
Ruminococcus sp. SR1/5 (657323.3)	2156_1	291	293	3573_5	 	 
Ruminococcus torques ATCC 27756 (411460.6)	44_1	583	620	2152_5	 	 
Ruminococcus torques L2-14 (657313.3)	 	2360	 	242_5	 	 
Ruminococcaceae bacterium D16 (552398.3)	1413_1, 1509_1	2459	2460	2458_5	 	 
Acidaminococcus fermentans DSM 20731 (591001.3)	 	243	 	998_5	 	 
Acidaminococcus sp. D21 (563191.3)	1887, 1887	1644	1645	314_5	 	 
Dialister invisus DSM 15470 (592028.3)	 	177	 	1757_5	 	 
Mitsuokella multacida DSM 20544 (500635.8)	 	1985	 	1935_5	 	 
Veillonella atypica ACS-049-V-Sch6 (866776.4)	914_2	1745	1744	225_5	 	 
Veillonella atypica ACS-134-V-Col7a (866778.4)	1633_2	1475	1476	863_5	 	 
Veillonella dispar ATCC 17748 (546273.3)	854_2	289	288	976_5	 	 
Veillonella parvula ATCC 17745 (686660.3)	1076_2	182	183	1176_5	 	 
Veillonella parvula DSM 2008 (479436.6)	 	792	 	1393_5	 	 
Veillonella sp. 3_1_44 (457416.3)	1099_2	204	205	1218_5	 	 
Veillonella sp. 6_1_27 (450749.3)	1184_2	200	201	1301_5	 	 
Blautia hansenii DSM 20583 (537007.6)	2581_1	340	823	1746_5	 	 
Blautia hydrogenotrophica DSM 10507 (476272.5)	3100_1	170, 1862	173	949_5	 	860
Flavonifractor plautii ATCC 29863 (411475.3)	 	3251	3250	2973_5	 	 
Clostridiales bacterium 1_7_47FAA (457421.5)	3969_1	5075	5077	962_5	 	1619
Bulleidia extructa W1219 (679192.3)	 	 	 	 	 	 
Catenibacterium mitsuokai DSM 15897 (451640.5)	547_1	577	578	1917_5	 	 
Coprobacillus sp. 29_1 (469596.3)	 	1768	 	3364_5	 	 
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	1251_1	624	625	475_5	 	 
Holdemania filiformis DSM 12042 (545696.5)	 	 	 	1015_5	 	 
Solobacterium moorei F0204 (706433.3)	 	 	 	 	 	 
Clostridium ramosum DSM 1402 (445974.6)	1699_1	1866	1867	1213_5	 	 
Clostridium spiroforme DSM 1552 (428126.7)	167_1	1049	1050	1796_5	 	 
Eubacterium biforme DSM 3989 (518637.5)	79_1	 	 	165_5	 	 
Eubacterium cylindroides T2-87 (717960.3)	 	1456	 	 	 	 
Eubacterium dolichum DSM 3991 (428127.7)	1664_1	1544, 1545	1543	1463_5	 	 
Clostridium innocuum 2959 (999413.4)	3162_1, 3426_1	4144	4143	1966_5, 4153_5	 	 
Acidaminococcus intestini RyC-MR95 (568816.4)	568, 568	254	255	828_5	 	 
Phascolarctobacterium sp. YIT 12067 (626939.3)	1077, 1077	868	867	62_5	 	 
Dialister succinatiphilus YIT 11850 (742743.3)	2093, 2093	609	2002	1847_5	 	 
Megamonas funiformis YIT 11815 (742816.3)	144_1	61	60	557_5	 	 
Megamonas hypermegale ART12/1 (657316.3)	2319_1	2205	2207	804_5	 	 
Megasphaera elsdenii (907.4)	 	311	 	462_5	 	 
Veillonella parvula ACS-068-V-Sch12 (768727.3)	708_2	302	303	75_5	 	 
Veillonella ratti ACS-216-V-Col6b (883156.3)	689_2	1912	1911	1363_5	 	 
Fusobacterium gonidiaformans ATCC 25563 (469615.3)	271_2	 	 	 	 	 
Fusobacterium mortiferum ATCC 9817 (469616.3)	791_1	656	655	576_5	 	 
Fusobacterium nucleatum subsp. nucleatum ATCC 23726 (525283.3)	1517_2	 	 	 	 	 
Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (190304.8)	1058_2	 	 	 	 	 
Fusobacterium nucleatum subsp. polymorphum ATCC 10953 (393480.8)	1365_2	 	 	 	 	 
Fusobacterium periodonticum ATCC 33693 (546275.3)	1218_2	 	 	 	 	 
Fusobacterium sp. 3_1_33 (469603.3)	873_2	 	 	 	 	 
Fusobacterium sp. 7_1 (457405.3)	890_2	 	 	 	 	 
Fusobacterium sp. D11 (556264.3)	316_2	 	 	 	 	 
Fusobacterium ulcerans ATCC 49185 (469617.3)	1803_1	232	233	569_5	 	 
Fusobacterium varium ATCC 27725 (469618.3)	 	2080	 	1898_5	 	 
Leptotrichia buccalis C-1013-b (523794.5)	 	2071	 	1592_5	 	 
Fusobacterium gonidiaformans 3-1-5R (469605.7)	772_2	 	 	 	 	 
Fusobacterium necrophorum subsp. funduliforme ATCC 51357 (1095747.3)	1943_2	 	 	 	 	 
Fusobacterium necrophorum subsp. funduliforme Fnf 1007 (1161424.3)	1353_2	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 11_3_2 (457403.8)	44_2	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 21_1A (469601.8)	550_2	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 4_8 (469607.3)	1516_2	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 7_1 (457405.10)	1402_2	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis OT 420 (999414.3)	2213_2	 	 	 	 	 
Fusobacterium nucleatum subsp. polymorphum F0401 (693991.3)	1730_2	 	 	 	 	 
Fusobacterium nucleatum subsp. vincentii 3_1_36A2 (469604.7)	42_2	 	 	 	 	 
Fusobacterium nucleatum subsp. vincentii 4_1_13 (469606.8)	94_2	 	 	 	 	 
Fusobacterium periodonticum 1_1_41FAA (469621.8)	1284_2	 	 	 	 	 
Fusobacterium periodonticum 2_1_31 (469599.8)	5_2	 	 	 	 	 
Fusobacterium russii ATCC 25533 (1278306.3)	1263_2	759	814	815_5	 	 
Fusobacterium ulcerans 12-1B (457404.5)	2026_1	677	678	85_5	 	 
Schlesneria paludicola DSM 18645 (1123242.3)	6242, 6242	18	1765	7447_5	 	4320
Brevundimonas diminuta 470-4 (1035191.3)	379_1	2238	2239	867_5	 	 
Bartonella quintana RM-11 (1225179.3)	 	181	182	1172_5	 	 
Bartonella quintana str. Toulouse (283165.4)	 	168	169	1050_5	 	 
Afipia birgiae 34632 (1197906.5)	3420_1, 4681, 4681, 991, 991	4345	4344	521_5	 	3439
Bradyrhizobium elkanii USDA 76 (398525.3)	 	1783	1782	2867_5	 	6549, 9030
Bradyrhizobium japonicum USDA 110 (224911.5)	 	436	 	7672_5	 	 
Bradyrhizobium japonicum USDA 124 (1038862.3)	 	5915	5918	4058_5	 	3525, 6007, 6008
Bradyrhizobium japonicum USDA 6 (1037409.3)	 	390	391	1857_5	 	6623
Bradyrhizobium japonicum WSM2793 (1038866.3)	 	2953	2955	3423_5	 	 
Ochrobactrum anthropi ATCC 49188 (439375.7)	 	1103	 	4136_5	 	1542
Ochrobactrum anthropi CTS-325 (1151114.3)	622_1	4202	4201	1725_5	 	1230, 2129
Methylobacterium mesophilicum SR1.6/6 (908290.3)	 	1694	1695	2504_5	 	4685, 4942
Methylobacterium populi BJ001 (441620.7)	 	3040	3041	4058_5	 	2978
Methylobacterium radiotolerans JCM 2831 (426355.14)	 	129	 	5016_5	 	 
Mesorhizobium loti MAFF303099 (266835.9)	 	3184, 5004	 	5159_5	 	5392
Mesorhizobium loti NZP2037 (935546.3)	 	5205	5204	1687_5, 3777_5	 	263, 2767, 2858, 3198, 3563, 4592
Agrobacterium tumefaciens str. Cherry 2E-2-2 (1281779.3)	 	899	900	2650_5, 3482_5	 	2239, 2683, 292, 4309
Agrobacterium tumefaciens CCNWGS0286 (1082932.3)	4953, 4953	2098	2097	1295_5, 1691_5, 3874_5	 	3925
Agrobacterium tumefaciens str. C58 (176299.10)	 	2790	2789	2219_5, 3802_5	 	3826, 3828, 5223
Achromobacter xylosoxidans AXX-A (1003200.3)	1740_1, 5299, 5299	1640	539	4802_5	 	1221, 1634, 2354, 4956, 5901
Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	3043, 3043, 91_1	1487	1972	509_5	 	1738, 3232, 877
Burkholderia cenocepacia AU 1054 (331271.8)	189_1	101	177	254_5	 	5999
Burkholderia cenocepacia H111 (1055524.3)	5107_1	3895	3821	5041_5	 	1063, 2221, 2233, 3757, 5596
Burkholderia cenocepacia HI2424 (331272.8)	665_1	577	653	730_5	 	3643, 3652, 6317
Burkholderia cenocepacia J2315 (216591.5)	3483_1	3571	3497	3415_5	 	4285, 4297, 6706, 813
Burkholderia cenocepacia MC0-3 (406425.4)	655_1	566	640	720_5	 	3982, 5246, 5255
Burkholderia cepacia R18194 (269483.3)	 	5211	 	4502_5	 	2701, 3031
Burkholderia cepacia GG4 (1009846.3)	2977_1	3069	2992	2917_5, 4852_5, 4889_5	 	2799, 4131, 4439, 4856, 5373, 5382
Cupriavidus metallidurans CH34 (266264.4)	 	3494	 	3330_5	 	991
Lautropia mirabilis ATCC 51599 (887898.3)	 	594	 	99_5	 	2133
Ralstonia sp. 5_7_47FAA (658664.3)	1410, 1410	4536	2720	2753_5	 	 
Comamonas testosteroni CNB-2 (688245.4)	1244_1, 222, 222	897	4803	4684_5	 	4405
Comamonas testosteroni NBRC 100989 (1111078.3)	 	1761	 	2029_5	 	606
Comamonas testosteroni S44 (563045.3)	1652_1, 4258, 4258	613	290	3688_5	 	3547
Delftia acidovorans CCUG 15835 (883100.3)	2319, 2319, 650_1	265	5426	2070_5	 	2935, 5993
Delftia acidovorans CCUG 274B (883101.3)	2937_1, 5762, 5762	727	2394	4593_5	 	4422, 6071
Delftia acidovorans SPH-1 (398578.5)	 	5540	 	1045_5	 	698
Oxalobacter formigenes HOxBLS (556268.6)	1789_1	1906	 	209_5	 	 
Oxalobacter formigenes OXCC13 (556269.4)	545_1	658	1125	2341_5	 	 
Parasutterella excrementihominis YIT 11859 (762966.3)	 	1471	1624	722_5	 	 
Sutterella wadsworthensis 2_1_59BFAA (742823.3)	 	1684	1520	859_5	 	 
Sutterella wadsworthensis 3_1_45B (742821.3)	 	1438	 	1522_5	 	 
Sutterella wadsworthensis HGA0223 (1203554.3)	 	80	453	441_5	 	 
Burkholderiales bacterium 1_1_47 (469610.4)	 	2140	1797	1949_5	 	 
Eikenella corrodens ATCC 23834 (546274.4)	 	 	 	1080_5	 	 
Kingella oralis ATCC 51147 (629741.3)	 	1243	 	743_5	 	 
Laribacter hongkongensis HLHK9 (557598.3)	 	57	 	35_5	 	 
Neisseria cinerea ATCC 14685 (546262.4)	141_2, 1628_1	 	 	1914_5	 	 
Neisseria elongata subsp. glycolytica ATCC 29315 (546263.3)	425_1	763	167	2744_5	 	 
Neisseria flavescens NRL30031/H210 (546264.5)	1366_1, 1367_1, 2008_2	 	1730	1596_5	 	 
Neisseria flavescens SK114 (596320.3)	1607_2, 590_1	139	138	12_5	 	 
Neisseria macacae ATCC 33926 (997348.4)	519_1, 906_2	2467	1302	2075_5	 	 
Neisseria mucosa ATCC 25996 (546266.6)	2308_1, 90_2	851	31	2333_5	 	 
Neisseria mucosa C102 (435832.3)	188_2, 199_1	313	314	1176_5	 	 
Neisseria subflava NJ9703 (546268.4)	619_2, 628_1	734	736	454_5	 	 
Methyloversatilis universalis EHg5 (999628.3)	1472_1	993	532	3420_5	 	2818
Methyloversatilis universalis FAM5 (1000565.3)	637_1	162	2002	2801_5	 	2297
Aeromonas caviae Ae398 (878320.4)	2005_1	3319	3318	836_5	 	 
Aeromonas hydrophila 113 (1268075.3)	 	3694	3695	2825_5	 	 
Aeromonas hydrophila 14 (1268074.3)	 	3458	3457	3517_5	 	 
Aeromonas hydrophila 173 (1268076.3)	1435_1	4313	4314	3403_5	 	 
Aeromonas hydrophila 187 (1268077.3)	 	583	584	3156_5	 	 
Aeromonas hydrophila 259 (1268079.3)	 	651	650	28_5	 	 
Aeromonas hydrophila 277 (1268080.3)	 	3748	3749	2340_5	 	 
Aeromonas hydrophila ML09-119 (1288394.3)	1804_1	3695	3694	3913_5	 	 
Aeromonas hydrophila SNUFPC-A8 (1232673.3)	2621_1	1817	1816	4421_5	 	 
Aeromonas hydrophila SSU (1073377.4)	 	58	59	2913_5	 	 
Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.7)	 	3422	 	3639_5	 	 
Aeromonas media WS (1208104.3)	3757_1	993	994	3551_5	 	 
Aeromonas veronii AER39 (1073382.3)	 	2993	2992	3693_5	 	 
Aeromonas veronii AER397 (1073384.3)	 	446	447	209_5	 	 
Aeromonas veronii AMC34 (1073383.3)	3503_1	63	62	295_5	 	 
Aeromonas veronii AMC35 (1073385.3)	 	1206	1207	972_5	 	 
Aeromonas veronii B565 (998088.4)	 	3321	3320	3551_5	 	 
Succinatimonas hippei YIT 12066 (762983.3)	1780_1	235	236	43_5	 	 
Cedecea davisae DSM 4568 (566551.4)	 	639	 	732_5	 	 
Citrobacter freundii GTC 09629 (1297584.3)	3176_1, 714, 714	3411	3410	838_5	 	 
Citrobacter freundii 4_7_47CFAA (742730.3)	3385_1, 3967, 3967	2386	2387	2505_5	 	 
Citrobacter freundii GTC 09479 (1288347.3)	3352_1, 692, 692	433	432	4280_5	 	 
Citrobacter freundii str. ballerup 7851/39 (670484.3)	1014_1, 1612, 1612	69	70	133_5	 	 
Citrobacter koseri ATCC BAA-895 (290338.8)	 	2479	 	2331_5	 	 
Citrobacter sp. 30_2 (469595.3)	1896_1, 196, 196	36	37	1027_5	 	 
Citrobacter youngae ATCC 29220 (500640.5)	1278_1, 1875, 1875	2597	2598	2912_5	 	 
Cronobacter sakazakii 2151 (1159489.3)	 	1281	1282	1377_5	 	2336
Cronobacter sakazakii ES15 (1138308.5)	 	3096	3095	2998_5	 	2044
Cronobacter sakazakii ES35 (1159614.3)	 	1168	1169	1298_5	 	2216
Cronobacter sakazakii ES713 (1045857.3)	 	2561	2562	2748_5	 	3738, 3739
Cronobacter sakazakii SP291 (956149.6)	 	2851	2850	2752_5	 	1781, 1782
Edwardsiella tarda 080813 (667120.5)	1958_1	2163	2164	1913_5	 	 
Edwardsiella tarda ATCC 23685 (500638.3)	3177_1	786	787	2900_5	 	 
Edwardsiella tarda EIB202 (498217.4)	 	750	 	3145_5	 	 
Edwardsiella tarda FL6-60 (718251.5)	 	753	 	3214_5	 	 
Enterobacter aerogenes EA1509E (935296.3)	940_1	2855	2854	2799_5	 	 
Enterobacter aerogenes FGI35 (685445.4)	 	4017	4018	3971_5	 	 
Enterobacter aerogenes KCTC 2190 (1028307.3)	 	2424	 	2469_5	 	 
Enterobacter cancerogenus ATCC 35316 (500639.8)	996_1	2814	2815	2846_5	 	 
Enterobacter asburiae LF7a (640513.3)	1871_1	997	998	1047_5	 	 
Enterobacter cloacae EcWSU1 (1045856.3)	1716_1	826	827	875_5	 	 
Enterobacter cloacae SCF1 (701347.4)	2318, 2318, 2645_1	3543	3542	3493_5	 	 
Enterobacter cloacae subsp. cloacae 08XA1 (1203195.3)	4058_1	1387	1388	1422_5	 	 
Enterobacter cloacae subsp. cloacae ATCC 13047 (716541.4)	2639_1	1329	1330	1397_5	 	 
Enterobacter cloacae subsp. cloacae ENHKU01 (1211025.3)	1800_1	936	937	985_5	 	 
Enterobacter cloacae subsp. cloacae GS1 (1177927.3)	1056_1, 1057_1	4433	4432	1995_5	 	 
Enterobacter cloacae subsp. dissolvens SDM (1104326.3)	144_1	3789	3788	2724_5	 	 
Enterobacter cloacae subsp. dissolvens SP1 (1235834.3)	846_1	3222	3223	3265_5	 	 
Enterobacter hormaechei YT2 (1259823.3)	2949_1	2041	2040	1997_5	 	 
Enterobacter hormaechei YT3 (1260282.3)	2749_1	353	352	309_5	 	 
Enterobacter hormaechei ATCC 49162 (888063.3)	601_1	1518	1517	1448_5	 	 
Escherichia albertii TW07627 (502347.3)	2619_1	3026	3027	2965_5	 	 
Escherichia albertii TW11588 (754333.3)	1858_1	2025, 2026	2024	495_5	 	 
Escherichia coli 1125A (562.373)	 	2740	 	3368_5	 	 
Escherichia coli 1212A (562.372)	 	2829	 	1359_5	 	 
Escherichia coli 536A (562.374)	 	1371	 	5619_5	 	 
Escherichia coli IMT2125 (562.1188)	1842_1	251	252	399_5	 	 
Escherichia coli EC4100B (945434.3)	4968_1	1595	1594	864_5	 	 
Escherichia coli 0.1288 (1005442.3)	1786_1	279	280	384_5	 	 
Escherichia coli 0.1304 (1005441.3)	 	398	 	570_5	 	 
Escherichia coli 042 (216592.3)	2002_1	319	320	440_5	 	 
Escherichia coli 07798 (1005566.3)	 	386	387	493_5	 	 
Escherichia coli 09BKT078844 (1081887.3)	 	438	 	597_5	 	 
Escherichia coli 1.2264 (869675.4)	3089_1	960	959	804_5	 	 
Escherichia coli 1.2741 (869669.4)	2691_1	1368	1369	1542_5	 	 
Escherichia coli 10.0821 (1005469.3)	 	499	 	687_5	 	 
Escherichia coli 10.0833 (1005466.3)	 	478	 	650_5	 	 
Escherichia coli 10.0869 (1005467.3)	 	234	 	369_5	 	 
Escherichia coli 1180 (670904.3)	503_1	2905	2904	2793_5	 	 
Escherichia coli 1357 (670905.3)	357_1	5003	5004	1870_5	 	 
Escherichia coli 174750 (1125634.3)	2256_1	774	 	887_5	 	 
Escherichia coli 174900 (1116003.3)	2129_1	516	517	666_5	 	 
Escherichia coli 178900 (1116108.3)	2211_1	665	666	783_5	 	 
Escherichia coli 179100 (1125652.3)	1989_1	252	253	362_5	 	 
Escherichia coli 179550 (1116109.3)	2214_1	640	641	748_5	 	 
Escherichia coli 180050 (1116103.3)	 	351	 	502_5	 	 
Escherichia coli 180200 (1116104.3)	2135_1	571	572	678_5	 	 
Escherichia coli 180600 (1116105.3)	2169_1	603	604	717_5	 	 
Escherichia coli 1827-70 (670888.3)	 	854	855	963_5	 	 
