Organism	PANF	KPHMT	KPRED	ASPDC	PBAL	PANK	PPCS	PPCDC	DPCK	PPAT	PanT
Streptococcus pneumoniae GA47281 (760831.3)	 	 	 	 	 	849_7	1211	1212	978_12	1916_15	 
Streptococcus pneumoniae GA47283 (760832.3)	 	 	 	 	 	855_7	1224	1225	986_12	1908_15	1226
Streptococcus pneumoniae GA47360 (760833.3)	 	 	 	 	 	820_7	1206	1207, 160	954_12	1919_15	 
Streptococcus pneumoniae GA47388 (760837.3)	 	 	 	 	 	899_7	1300	1301	1035_12	1911_15	 
Streptococcus pneumoniae GA47439 (760860.3)	 	 	 	 	 	757_7	1128	1129	888_12	1802_15	 
Streptococcus pneumoniae GA47461 (760838.3)	 	 	 	 	 	783_7	1122	1123	911_12	1767_15, 1768_15	 
Streptococcus pneumoniae GA47502 (760839.3)	 	 	 	 	 	842_7	1264	1265	977_12	2065_15	 
Streptococcus pneumoniae GA47522 (760840.3)	 	 	 	 	 	564_7	933	934	698_12	1878_15	 
Streptococcus pneumoniae GA47562 (760841.3)	 	 	 	 	 	1020_7	813	812	1156_12	1851_15	811
Streptococcus pneumoniae GA47597 (760842.3)	 	 	 	 	 	728_7	1174	1175	859_12	1850_15	 
Streptococcus pneumoniae GA47628 (760843.3)	 	 	 	 	 	814_7	1173	1174	940_12	1867_15, 1868_15	 
Streptococcus pneumoniae GA47688 (760844.3)	 	 	 	 	 	1446_7	640	641	1214_12	1858_15	 
Streptococcus pneumoniae GA47751 (760845.3)	 	 	 	 	 	733_7	1257	1258	998_12	1977_15	 
Streptococcus pneumoniae GA47760 (760846.3)	 	 	 	 	 	722_7	1086	1087	859_12	1770_15	1088
Streptococcus pneumoniae GA47794 (760848.3)	 	 	 	 	 	740_7	1092	1093	869_12	1827_15, 1828_15, 1829_15	 
Streptococcus pneumoniae GA47901 (760861.3)	 	 	 	 	 	831_7	1221	1222	966_12	1922_15	 
Streptococcus pneumoniae GA47976 (760850.3)	 	 	 	 	 	811_7	1080	1079	952_12	1921_15	 
Streptococcus pneumoniae GA49138 (760851.3)	 	 	 	 	 	797_7	1164	1165	926_12	1902_15, 1903_15	 
Streptococcus pneumoniae GA49194 (760852.3)	 	 	 	 	 	803_7	1176	1177	934_12	1870_15, 1871_15, 1872_15	1178
Streptococcus pneumoniae GA49447 (760854.3)	 	 	 	 	 	865_7	1256	1257	993_12	1988_15, 1989_15	 
Streptococcus pneumoniae GA49542 (760855.3)	 	 	 	 	 	781_7	1177	1178	917_12	1926_15	 
Streptococcus pneumoniae GA52306 (760856.3)	 	 	 	 	 	802_7	1162	1163	937_12	1885_15	 
Streptococcus pneumoniae GA52612 (760858.3)	 	 	 	 	 	757_7	969	970	891_12	1695_15, 1696_15	 
Streptococcus pneumoniae GA54354 (1105115.3)	 	 	 	 	 	839_7	1205	1206	970_12	1912_15, 1913_15	1207
Streptococcus pneumoniae GA54644 (760859.3)	 	 	 	 	 	801_7	1211	1212	940_12	1945_15	 
Streptococcus pneumoniae GA56113 (1105116.3)	 	 	 	 	 	835_7	1238	1239	977_12	1974_15	 
Streptococcus pneumoniae GA58581 (1105118.3)	 	 	 	 	 	2178_7	619	620	747_12	1522_15	 
Streptococcus pneumoniae GA58771 (1105121.3)	 	 	 	 	 	1058_7	957	956	1187_12	1900_15	 
Streptococcus pneumoniae GA58981 (1131628.3)	 	 	 	 	 	899_7	1403	1404, 194	1037_12	2054_15	 
Streptococcus pneumoniae GA60132 (1131627.3)	 	 	 	 	 	807_7	1330	1331, 165	1033_12	1968_15, 1969_15	 
Streptococcus pneumoniae GA60190 (1105120.3)	 	 	 	 	 	795_7	1160	1161	932_12	1879_15, 1880_15	 
Streptococcus pneumoniae GA62331 (1131630.3)	 	 	 	 	 	880_7	1247	1248	1012_12	2025_15, 2026_15	1249
Streptococcus pneumoniae GA62681 (1131629.3)	 	 	 	 	 	788_7	1162	1163	928_12	1894_15	 
Streptococcus pneumoniae Hungary19A-6 (487214.5)	 	 	 	 	 	949_7	1351	1352	1081_12	2112_15, 2113_15	 
Streptococcus pneumoniae INV104 (869269.3)	 	 	 	 	 	895_7	1336	1337, 190	1070_12	2112_15, 2113_15	 
Streptococcus pneumoniae INV200 (869216.3)	 	 	 	 	 	841_7	1150	1149	1018_12	2016_15	 
Streptococcus pneumoniae JJA (488222.3)	 	 	 	 	 	823_7	1201	1202	963_12	2018_15	 
Streptococcus pneumoniae MLV-016 (453366.3)	 	 	 	 	 	563_7	2246	2247	706_12	1659_15	2248
Streptococcus pneumoniae MNZ11b (1315307.3)	 	 	 	 	 	1599_7	684	683	12_12	225_15, 226_15	 
Streptococcus pneumoniae MNZ14 (1315308.3)	 	 	 	 	 	2068_7	107	108	1765_12	38_15	 
Streptococcus pneumoniae MNZ37 (1315309.3)	 	 	 	 	 	1642_7	13	14	1532_12	99_15	 
Streptococcus pneumoniae MNZ41 (1315310.3)	 	 	 	 	 	797_7	142	143	494_12	854_15, 855_15	 
Streptococcus pneumoniae NP070 (760884.3)	 	 	 	 	 	817_7	1205	1206	954_12	1905_15	 
Streptococcus pneumoniae NP112 (760882.3)	 	 	 	 	 	782_7	1136	1137	916_12	1842_15	 
Streptococcus pneumoniae NP127 (760886.3)	 	 	 	 	 	851_7	1245	1246	991_12	1969_15	 
Streptococcus pneumoniae NP141 (760883.3)	 	 	 	 	 	1125_7	451	452	1254_12	1872_15, 1873_15	453
Streptococcus pneumoniae NorthCarolina6A-23 (760887.3)	 	 	 	 	 	871_7	1253	1254	1009_12	1959_15	 
Streptococcus pneumoniae OXC141 (869215.3)	 	 	 	 	 	865_7	1277	1278	1012_12	2011_15	 
Streptococcus pneumoniae P1031 (488223.4)	 	 	 	 	 	879_7	1313	1314	1016_12	2048_15	 
Streptococcus pneumoniae PCS125219 (1159084.3)	 	 	 	 	 	1982_7	1254	1255	1725_12	882_15	1256
Streptococcus pneumoniae PCS70012 (1159085.3)	 	 	 	 	 	1017_7	642	641	877_12	1904_15	640
Streptococcus pneumoniae PCS8106 (1159081.3)	 	 	 	 	 	1417_7	452	2108, 451	538_12	1555_15, 1556_15	 
Streptococcus pneumoniae PNI0002 (1159087.3)	 	 	 	 	 	312_7	1139	1138	1785_12	1688_15	1137
Streptococcus pneumoniae PNI0006 (1159088.3)	 	 	 	 	 	827_7	1203	1204	966_12	2153_15	1205
Streptococcus pneumoniae PNI0010 (1159092.3)	 	 	 	 	 	571_7	666	667	1930_12	126_15	668
Streptococcus pneumoniae PNI0153 (1159094.3)	 	 	 	 	 	166_7	1414	1413	34_12	910_15	 
Streptococcus pneumoniae R6 (171101.6)	 	 	 	 	 	821_7	1206	1207	961_12	1924_15, 1925_15	 
Streptococcus pneumoniae R6M2-PG (1089300.3)	 	 	 	 	 	206_7	982	981	1026_12	1439_15, 1440_15	 
Streptococcus pneumoniae SP11-BS70 (406559.5)	 	 	 	 	 	590_7	1898	1899	1833_12	1740_15, 1741_15	1900
Streptococcus pneumoniae SP14-BS292 (497962.4)	 	 	 	 	 	709_7	751	752	1520_12	1715_15, 1716_15	 
Streptococcus pneumoniae SP18-BS74 (406561.5)	 	 	 	 	 	1537_7	1433	1432	730_12	1735_15	 
Streptococcus pneumoniae SP19-BS75 (406562.5)	 	 	 	 	 	182_7	1599	1600, 2373	34_12	1718_15, 1719_15	 
Streptococcus pneumoniae SP195 (453363.4)	 	 	 	 	 	1735_7	1006	1007	2174_12	1939_15	 
Streptococcus pneumoniae SP23-BS72 (406563.4)	 	 	 	 	 	1426_7	345	346	623_12	1581_15, 1582_15	 
Streptococcus pneumoniae SP3-BS71 (406556.6)	 	 	 	 	 	2187_7	1496	1497	1126_12	1849_15	1499
Streptococcus pneumoniae SP6-BS73 (406557.5)	 	 	 	 	 	2256_7, 2257_7	1386	1387	648_12	1976_15, 1977_15	 
Streptococcus pneumoniae SP9-BS68 (406558.6)	 	 	 	 	 	482_7	1486	1487	786_12	1004_15	 
Streptococcus pneumoniae SPAR27 (1159209.3)	 	 	 	 	 	789_7	1178	1179	925_12	1901_15, 1902_15	 
Streptococcus pneumoniae SPAR55 (1159211.3)	 	 	 	 	 	780_7	1099	1100	923_12	1941_15	 
Streptococcus pneumoniae SPAR95 (1159212.3)	 	 	 	 	 	797_7	1283	1284, 1285	939_12	1946_15, 1947_15, 1948_15	 
Streptococcus pneumoniae SPN021198 (869308.3)	 	 	 	 	 	1193_7	805	804	1052_12	112_15	 
Streptococcus pneumoniae SPN032672 (869311.3)	 	 	 	 	 	2190_7	211	1485, 212	2363_12	1246_15, 1247_15	 
Streptococcus pneumoniae SPN033038 (869312.3)	 	 	 	 	 	2202_7	215	1492, 216	2378_12	995_15, 996_15	 
Streptococcus pneumoniae SPN034156 (869303.3)	 	 	 	 	 	2085_7	217	218	2230_12	942_15, 943_15	 
Streptococcus pneumoniae SPN034183 (869304.3)	 	 	 	 	 	875_7	1289	1290	1024_12	2026_15	 
Streptococcus pneumoniae SPN061370 (869801.3)	 	 	 	 	 	1313_7	2022	2023, 71	876_12	752_15, 753_15	 
Streptococcus pneumoniae SPN072838 (869305.3)	 	 	 	 	 	1871_7	1488	1487	1736_12	167_15	 
Streptococcus pneumoniae SPN1041 (869310.3)	 	 	 	 	 	210_7	764	763	1602_12	933_15	 
Streptococcus pneumoniae SPN7465 (869313.3)	 	 	 	 	 	305_7	688	689	440_12	1784_15	 
Streptococcus pneumoniae SPNA45 (869309.3)	 	 	 	 	 	2143_7	189	190	2279_12	964_15, 965_15	191
Streptococcus pneumoniae ST556 (1130804.3)	 	 	 	 	 	1384_7	1032	1031	1260_12	1927_15, 1928_15	 
Streptococcus pneumoniae SV35 (497738.3)	 	 	 	 	 	957_7	1323	1324	1091_12	2006_15	 
Streptococcus pneumoniae SV36 (497739.3)	 	 	 	 	 	656_7	1025	1026	792_12	1844_15	 
Streptococcus pneumoniae TCH8431/19A (525381.4)	 	 	 	 	 	1640_7	1269	1268	1507_12	2215_15	 
Streptococcus pneumoniae TIGR4 (170187.11)	 	 	 	 	 	875_7	1272	1273, 176	1018_12	2047_15, 2048_15	 
Streptococcus pneumoniae Taiwan19F-14 (487213.3)	 	 	 	 	 	1405_7	1032	1031	1270_12	1978_15, 1979_15	 
Streptococcus pneumoniae gamPNI0373 (697283.3)	 	 	 	 	 	844_7	1223	1224	981_12	1917_15	1225
Streptococcus pseudopneumoniae IS7493 (1054460.4)	 	 	 	 	 	845_7	1185	1186	1422_12	1990_15	1187
Streptococcus salivarius 57.I (1046629.4)	 	 	 	 	 	822_7	817	816	1357_12	348_15	814, 815
Streptococcus salivarius JIM8777 (347253.5)	 	 	 	 	 	1129_7	1134	1135	556_12	1594_15	1136, 1137
Streptococcus salivarius K12 (1200793.3)	 	 	 	 	 	1159_7	1164	1165	593_12	1649_15	1166
Streptococcus salivarius M18 (1074494.5)	 	 	 	 	 	750_7	744, 745	743	1300_12	1597_15	742
Streptococcus salivarius PS4 (1157946.4)	 	 	 	 	 	1847_7	1852	1853	1412_12	593_15	1854, 1855
Streptococcus salivarius SK126 (596322.3)	 	 	 	 	 	1101_7	1096	1095	1742_12	739_15	1093, 1094
Streptococcus sanguinis ATCC 29667 (997356.4)	 	 	 	 	 	795_7	635	634	207_12	1195_15	633
Streptococcus sanguinis ATCC 49296 (888049.3)	 	 	 	 	 	337_7	237	238	1871_12	772_15	239
Streptococcus sanguinis SK1 (888807.3)	 	 	 	 	 	728_8	576	575	192_12	1119_15	574
Streptococcus sanguinis SK1056 (888820.3)	 	 	 	 	 	796_8	596	595	211_12	1193_15	594
Streptococcus sanguinis SK1057 (888821.3)	 	 	 	 	 	1423_8	1261	1260	831_12	1820_15	1259
Streptococcus sanguinis SK1058 (888822.3)	 	 	 	 	 	1305_7	1157	1156	749_12	1689_15	1155
Streptococcus sanguinis SK1059 (888823.3)	 	 	 	 	 	811_8	647	646	212_12	1217_15	645
Streptococcus sanguinis SK1087 (888824.3)	 	 	 	 	 	770_8	623	622	228_12	1156_15	621
Streptococcus sanguinis SK115 (888810.3)	 	 	 	 	 	771_8	620	619	200_12	1162_15	618
Streptococcus sanguinis SK150 (888811.3)	 	 	 	 	 	1410_8	1251	1250	890_12	1808_15	1249
Streptococcus sanguinis SK160 (888812.3)	 	 	 	 	 	1496_8	1655	1656	2033_12	1100_15	1657
Streptococcus sanguinis SK330 (888813.3)	 	 	 	 	 	772_8	612	611	221_12	1160_15	610
Streptococcus sanguinis SK340 (888814.4)	 	 	 	 	 	1344_7	1183	1182	772_12	1744_15	1181
Streptococcus sanguinis SK353 (888815.3)	 	 	 	 	 	814_8	661	660	298_12	1184_15	659
Streptococcus sanguinis SK355 (888816.3)	 	 	 	 	 	1548_8	1702	1703	2064_12	1134_15	1704
Streptococcus sanguinis SK36 (388919.9)	 	 	 	 	 	980_7	1142	1143	1525_12	602_15	 
Streptococcus sanguinis SK405 (888817.3)	 	 	 	 	 	739_8	577	576	190_12	1122_15	575
Streptococcus sanguinis SK408 (888818.3)	 	 	 	 	 	817_8	600	599	194_12	1201_15	598
Streptococcus sanguinis SK49 (888808.3)	 	 	 	 	 	1392_8	1238	1237	1622_12	666_15	1236
Streptococcus sanguinis SK678 (888819.3)	 	 	 	 	 	1128_8	1277	1278	1658_12	739_15	1279
Streptococcus sanguinis SK72 (888809.3)	 	 	 	 	 	851_8	998	999	1414_12	474_15	1000
Streptococcus sanguinis VMC66 (888825.3)	 	 	 	 	 	649_7	497	496	139_12	1031_15	 
Streptococcus sp. 2_1_36FAA (469609.3)	 	 	 	 	 	731_7	1184	1185	1088_12	1152_15	1186
Streptococcus thermophilus CNRZ1066 (299768.6)	 	 	94	 	 	815_7	806	805	630_12	1635_15	804
Streptococcus thermophilus JIM 8232 (1051074.3)	 	 	92	 	 	855_7	837	581, 836	683_12	1661_15	835
Streptococcus thermophilus LMD-9 (322159.8)	 	 	98	 	 	840_7	820	819	650_12	1656_15	818
Streptococcus thermophilus LMG 18311 (264199.4)	 	 	95	 	 	795_7	786	785	630_12	1624_15	784
Streptococcus thermophilus MN-ZLW-002 (1187956.3)	 	 	93	 	 	1112_7	1129	1130	628_12	1627_15	1131
Streptococcus thermophilus ND03 (767463.3)	 	 	104	 	 	839_7	829	828	665_12	1679_15	827
Streptococcus thoraltensis DSM 12221 (1123318.3)	 	 	 	 	 	63_7	35	36	968_12	942_15	37
Streptococcus uberis 0140J (218495.5)	 	 	715	 	 	923_7	911	912	489_12	1284_15	913
Streptococcus vestibularis ATCC 49124 (889206.3)	 	 	 	 	 	984_7	989	990	1141_12	92_15	991
Streptococcus vestibularis F0396 (904306.3)	 	 	 	 	 	1347_7	1342	1341	1456_12	824_15	1340
Butyricicoccus pullicaecorum 1.2 (1203606.4)	2712	 	1553	 	 	1938_9, 1945_9	426	426	2787_12	2529_15	1937
Clostridium acetobutylicum ATCC 824 (272562.8)	 	3098	1674, 1804, 3121	3100	3099	3379_9	1922	1922	1307_12	1940_15, 676_16	 
Clostridium acetobutylicum DSM 1731 (991791.3)	 	2945	1511, 1641, 2968	2947	2946	3229_9	1758	1758	1134_12	1776_15, 500_16	 
Clostridium acetobutylicum EA 2018 (863638.3)	 	2950	1514, 1644, 2973	2952	2951	3235_9	1761	1761	1136_12	1779_15, 501_16	 
Clostridium asparagiforme DSM 15981 (518636.5)	258	 	3890, 3903	 	 	2421_9	2420	2420	5619_12	3534_15	366
Clostridium bartlettii DSM 16795 (445973.7)	1425	 	1349	 	2533, 2534	209_9	1340	1340	1406_12	2165_15	 
Clostridium beijerinckii G117 (1200349.3)	2385_1	281	4147, 490	278	280	3267_9	581	581	2311_12	564_15	3609
Clostridium beijerinckii NCIMB 8052 (290402.41)	 	2704	1264, 2019	2702	2703	105_9	1172	1172	824_12	1190_15	 
Clostridium bolteae 90B8 (997897.5)	442	 	1756, 2082	 	 	4783_9	4782	4782	4110_12	5132_15	3966
Clostridium bolteae ATCC BAA-613 (411902.9)	4138	 	2704, 4879, 5252	 	 	709_9	708	708	2620_12	3468_15	5323
Clostridium botulinum A str. ATCC 19397 (441770.6)	 	405	1132	403	404	3456_9	2300	2300	2942_12	2281_15	 
Clostridium botulinum A str. ATCC 3502 (413999.7)	 	429	1158	427	428	3500_9	2490	2490	2989_12	2471_15	 
Clostridium botulinum A str. Hall (441771.6)	 	421	1140	419	420	3345_9	2291	2291	2830_12	2272_15	 
Clostridium botulinum A2 str. Kyoto (536232.3)	 	438	1219	311, 436	437	3779_9	2663	2663	3240_12	2644_15	 
Clostridium botulinum A3 str. Loch Maree (498214.7)	 	746	1528	744	745	3853_9	2806	2806	3315_12	2787_15	 
Clostridium botulinum B str. Eklund 17B (508765.6)	3055	 	1070	 	 	155_9	1144	1144	2557_12	1161_15	690
Clostridium botulinum B1 str. Okra (498213.7)	 	608	1313	606	607	3641_9	2543	2543	3126_12	2524_15	 
Clostridium botulinum Ba4 str. 657 (515621.3)	 	741	1437	739	740	3983_9	2935	2935	3459_12	2916_15	 
Clostridium botulinum BKT015925 (929506.3)	 	505	 	507	506	488_9	1825	1825	1185_12	1808_15, 2344_16	2086, 515
Clostridium botulinum CB11/1-1 (1289590.3)	3270	526	1802	524	525	2930_9	2146	2146	1063_12	2129_15	141
Clostridium botulinum CDC66177 (1221327.3)	2594	 	1543	 	 	2251_9	1412	1412	2063_12	1429_15	901
Clostridium botulinum D str. 1873 (592027.3)	 	 	 	 	 	583_9	1045	1045	1573_12	1062_15, 541_16	2081, 848
Clostridium botulinum E1 str. 'BoNT E Beluga' (536233.3)	355	1827	2626	1829	1828	3482_9	2527	2527	1008_12	2510_15	2969
Clostridium botulinum E3 str. Alaska E43 (508767.5)	2808	1605	1000	1607	1606	148_9	1093	1093	2314_12	1110_15	650
Clostridium botulinum F str. 230613 (758678.3)	 	462, 463	1231	460	461	3819_9	2644	2644	3187_12	2623_15	 
Clostridium botulinum F str. Langeland (441772.13)	 	434	1171	432	433	3582_9	2486	2486	2983_12	2467_15	 
Clostridium botulinum H04402 065 (941968.4)	 	433	1224	431	432	3612_9	2537	2537	3093_12	2518_15	 
Clostridium butyricum 60E.3 (997898.4)	1520	1100	2514	1098	1099	4008_9	557	557	365_12	574_15	3099
Clostridium butyricum DKU-01 (1306409.3)	1066	1434	3522	1436	1435	3002_9	1957	1957	2152_12	1940_15	2514
Clostridium butyricum DSM 10702 (1316931.3)	2219	4047	3601	4049	4048	3354_9	1244	1244	471_12	1226_15	711
Clostridium butyricum E4 str. BoNT E BL5262 (632245.3)	2118	2567	562	2569	2568	4088_9	3123	3123	3519_12	3105_15	1039
Clostridium celatum DSM 1785 (545697.3)	 	472	 	474	473	2502_9	1792	1792	2148_12	1775_15	2072
Clostridium citroniae WAL-17108 (742733.3)	2146	 	1757, 4287, 4340, 4386, 5235	 	 	3303_9	3304	3304	5877_12	3660_15	2718
Clostridium clariflavum DSM 19732 (720554.3)	 	2223	 	2221	2222	4215_8	2903	2903	2789_12	2355_15	 
Clostridium clostridioforme 2_1_49FAA (742735.4)	1628	 	2423, 2510	 	 	649_9	650	650	3790_12	1149_15	4901
Clostridium clostridioforme 90A1 (999403.4)	3113	 	2162, 6025	 	 	1477_9	1476	1476	544_12	868_15	5285
Clostridium clostridioforme 90A3 (999404.4)	932	 	109, 19	 	 	2240_9	2241	2241	2972_12	2662_15	1459
Clostridium clostridioforme 90A4 (999405.4)	1133	 	4308, 5245	 	 	741_9	742	742	3626_12	398_15	4501
Clostridium clostridioforme 90A6 (999406.3)	1723	 	3152, 3239	 	 	889_9	888	888	152_12	466_15	5865
Clostridium clostridioforme 90A8 (999408.3)	2749	 	4739, 5811	 	 	957_9	956	956	2212_12	1747_15	5493
Clostridium clostridioforme 90B1 (999409.3)	2666	 	1757, 1845	 	 	657_9	658	658	3829_12	1081_15	5645
Clostridium clostridioforme CM201 (999410.3)	997	 	109, 20	 	 	4346_9	4347	4347	5421_12	3337_15	1457
Clostridium difficile 6503 (691160.5)	 	1302	 	 	1301	579_9	2624	2624	1000_12, 1001_12	1913_15, 5_16	 
Clostridium difficile 2007855 (699033.6)	 	1465	208	 	1464	3662_9	2598	2598	1043_12	2567_15, 3493_16	 
Clostridium difficile 630 (272563.8)	 	1587	206	 	1586	3725_9	2711	2711	1186_12	2680_15, 3576_16	 
Clostridium difficile ATCC 43255 (499175.4)	 	1112	3543	 	1111	3174_9	2216	2216	669_12	2185_15, 3027_16	3175
Clostridium difficile BI1 (699034.5)	 	1459	209	 	1458	3576_9	2590	2590	1039_12	2559_15, 3408_16	 
Clostridium difficile CD196 (645462.3)	 	1437	203	 	1436	3513_9	2547	2547	1027_12	2516_15, 3347_16	 
Clostridium difficile CIP 107932 (499176.4)	 	1027	3469	 	1026	3173_9	2148	2148	611_12	2116_15, 3023_16	 
Clostridium difficile M120 (699035.5)	 	1520	199	 	1519	3566_9	2656	2656	1106_12	2625_15, 3425_16	3567
Clostridium difficile M68 (699037.5)	 	1566, 3891	255	 	1565	3763_9	2737	2737	1153_12	2706_15, 3614_16	3764
Clostridium difficile NAP07 (525258.3)	 	2859	96	 	2860	612_9	1454	1454	3254_12	1485_15, 982_16	613
Clostridium difficile NAP08 (525259.3)	 	2906	3250	 	2905	3174_9	742	742	2509_12	1113_16, 773_15	3173
Clostridium difficile QCD-23m63 (499174.4)	 	910	3171	 	909	2944_9	1982	1982	399_12	1950_15, 2798_16	2945
Clostridium difficile QCD-37x79 (479834.4)	 	906	3249	 	905	3131_9	2117	2117	487_12	2086_15, 2981_16	 
Clostridium difficile QCD-63q42 (479831.4)	 	675	3204	 	674	2938_9	1871	1871	281_12	1840_15, 2733_16	 
Clostridium difficile QCD-66c26 (455631.3)	 	3296	2059	 	3295	1709_9	706	706	2886_12	1562_16, 675_15	 
Clostridium difficile QCD-76w55 (479832.7)	 	1055	3232	 	1054	3297_9	2159, 2160	2159, 2160	645_12	2128_15, 3008_16	 
Clostridium difficile QCD-97b34 (479833.4)	 	1052	3399	 	1051	3149_9	2162	2162	648_12	2132_15, 2998_16	 
Clostridium difficile R20291 (645463.3)	 	1442	202	 	1441	3598_9	2633	2633	1032_12	2602_15, 3432_16	 
Clostridium hiranonis DSM 13275 (500633.7)	 	2158	 	 	2159	1531_9	847	847	1787_12	884_15	 
Clostridium hylemonae DSM 15053 (553973.6)	 	 	2176	 	 	1483_9	8	8	2356_12	2433_15	9
Clostridium leptum DSM 753 (428125.8)	1592	 	 	 	 	1990_9	 	 	3059_12	1698_15	1989
Clostridium methylpentosum DSM 5476 (537013.3)	1283	1086	 	1084	1085	2551_9, 946_9	1659	1659	2165_12	245_15	778
Clostridium nexile DSM 1787 (500632.7)	 	 	440	 	 	3309_9, 487_9	3311	3311	1565_12	2566_15	3310
Clostridium perfringens ATCC 13124 (195103.10)	 	 	760	 	 	2672_9	1944	1944	2188_12	1572_16, 1927_15	 
Clostridium perfringens F262 (883064.3)	 	 	790	 	 	2811_9	2068	2068	2310_12	1701_16, 2051_15	1744
Clostridium perfringens SM101 (289380.15)	 	 	744	 	 	2397_9	1696	1696	1936_12	1343_16, 1679_15	1384
Clostridium perfringens WAL-14572 (742739.3)	 	 	228	 	 	2522_9	1412	1412	1657_12	1038_16, 1395_15	 
Clostridium perfringens str. 13 (195102.6)	 	 	846	 	 	2537_9	1819	1819	2066_12	1446_16, 1802_15	1491
Clostridium saccharoperbutylacetonicum N1-4(HMT) (931276.5)	 	3235	3076, 3998, 5059	3237	3236	116_9	1240	1240	838_12	1257_15	5133
Clostridium sartagoforme AAU1 (1202534.3)	 	 	 	 	 	1430_9	978	978	1823_12	961_15	774
Clostridium scindens ATCC 35704 (411468.9)	 	 	 	 	 	1611_9	3080	3080	1327_12	1148_15	3081
Clostridium sp. 7_2_43FAA (457396.3)	 	 	 	 	 	3175_9	1733	1733	788_12	1716_15	2734
Clostridium sp. L2-50 (411489.7)	1313	2588	1683	1700	2587	1177_9	2586	2586	818_12	863_15	 
Clostridium sp. M62/1 (411486.3)	 	 	2554	 	 	2006_9	521	521	203_12	1969_15	 
Clostridium sp. SS2/1 (411484.7)	1596_1, 945	2699	1786	2701	2700	2451_9	2702	2702	2376_12	655_15	 
Clostridium sp. SY8519 (1042156.4)	1962_1, 284	2302	1091, 1146	2304	2303	778_9	2305	2305	2142_12	2377_15	 
Clostridium sporogenes ATCC 15579 (471871.7)	 	3043	2438	3041	3042	3021_9	1119	1119	626_12	1138_15, 3482_16	 
Clostridium sporogenes PA 3679 (1075091.3)	 	663	372	661	662	3426_9	2138	2138	3967_12	2157_15	 
Clostridium sporosphaeroides DSM 1294 (1121334.3)	 	 	1361	 	 	249_9, 2980_9, 3237_9	250, 251	250	667_12	1730_15	248, 2981
Clostridium sticklandii DSM 519 (499177.3)	 	 	 	 	 	946_9	1846	1846	1395_12	1828_15	 
Clostridium symbiosum WAL-14163 (742740.3)	 	708	 	 	 	4216_9	 	 	1543_12	2124_15	 
Clostridium symbiosum WAL-14673 (742741.3)	 	695	 	 	 	1207_9	 	 	4249_12	1566_15	 
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 (1121342.4)	 	601	2925	603	602	1911_9	1668, 727	1668, 727	2298_12	1810_16, 745_15	2459
Clostridium tyrobutyricum UC7086 (1212547.3)	 	1437	2952	1435	1436	2836_9	266, 482	266, 482	829_12	2193_16, 248_15	552
Anaerococcus prevotii ACS-065-V-Col13 (879305.3)	 	 	1428	 	 	1329_9, 622_9	433	433	886_12	496_15	1328
Anaerococcus prevotii DSM 20548 (525919.6)	 	 	211	225	224	695_9, 740_9	1072	1072	1440_12	1149_15	 
Anaerococcus vaginalis ATCC 51170 (655811.4)	 	 	 	1033	1032	1400_9	141	141	1549_12	226_15	 
Finegoldia magna ACS-171-V-Col3 (768713.4)	 	 	1607	 	 	794_9	1289	1289	1727_12	1270_15	 
Finegoldia magna ATCC 29328 (334413.6)	 	 	1800	 	 	1195_9	864	864	548_12	882_15	 
Finegoldia magna ATCC 53516 (525282.5)	 	 	627	 	 	1103_9	911	911	391_12	893_15	192
Finegoldia magna BVS033A4 (866773.4)	 	 	1171	 	 	1451_9	442	442	1777_12	423_15	1117
Finegoldia magna SY403409CC001050417 (866779.4)	 	 	356	 	 	1600_9	1158	1158	756_12	1140_15	 
Parvimonas micra ATCC 33270 (411465.10)	 	 	 	 	 	1182_9	938	938	1479_12	1380_15	370
Peptoniphilus harei ACS-146-V-Sch2b (908338.3)	 	 	 	 	1043	1586_9, 703_9	940	940	361_12, 362_12	367_15	702
Peptoniphilus indolicus ATCC 29427 (997350.3)	 	54	 	 	907	1380_9, 384_9	1172	1172	1778_12	1901_15	383
Peptoniphilus lacrimalis 315-B (596330.3)	 	 	 	 	 	645_9, 756_9	312	312	214_12	295_15	644
Peptoniphilus lacrimalis DSM 7455 (1122949.3)	 	 	 	 	 	1281_9, 1443_9	1081	1081	1178_12	1098_15	1442
Peptoniphilus timonensis JC401 (1095770.3)	 	 	 	 	1258	167_9, 993_9	408, 409	408, 409	844_12	258_15	992
Anaerofustis stercorihominis DSM 17244 (445971.6)	1076	1810	693	1812	1811	1720_9	1813	1813	541_12	1897_15	 
Eubacterium cellulosolvens 6 (633697.3)	27	 	2733, 764	 	922	1088_9, 590_9, 777_9	591	591	2171_12	162_15	 
Eubacterium eligens ATCC 27750 (515620.4)	1075	 	1386	 	 	1087_9	1086	1086	1002_12	964_15	 
Eubacterium hallii DSM 3353 (411469.3)	2780, 2781, 34_1	2048	2598, 574	2050	2049	1072_9	2051	2051	1162_12	1218_15	 
Eubacterium limosum KIST612 (903814.3)	1392	3414	2110	 	 	3509_9	2082	2082, 3656	878_12	3061_15	 
Eubacterium rectale ATCC 33656 (515619.6)	2087	2171	 	2169	2170	52_9	706	706	1320_12	1427_15	 
