Organism	MqnA	MqnE	MqnBX	MqnC	MqnDZ	MqnLP	MenF	MenD	MenHY	MenC	MenE	MenB	MenIJ	MenA	MenG	tDHNA	tDHNACOA	tSBZCOA	tSUCBZ	t2SHCHC	tICHOR
Lactobacillus rhamnosus HN001 (486408.6)													92	555, 1659, 1660			][				
Lactobacillus rhamnosus Lc 705 (568704.3)													607	2022			][				
Lactobacillus rhamnosus LMS2-1 (525361.3)													2187	2818			][				
Lactobacillus rhamnosus LRHMDP2 (1203258.5)																					
Lactobacillus rhamnosus LRHMDP3 (1203259.4)																					
Lactobacillus rhamnosus R0011 (880592.5)													1995	2681			][				
Lactobacillus ruminis ATCC 25644 (525362.3)																					
Lactobacillus ruminis ATCC 27782 (1069534.5)																					
Lactobacillus ruminis SPM0211 (1040964.3)																					
Lactobacillus sakei subsp. sakei 23K (314315.12)																					
Lactobacillus salivarius ATCC 11741 (525364.3)											1303	1302	1301	978					][		
Lactobacillus salivarius GJ-24 (1041521.3)											72	73	74	968					][		
Lactobacillus salivarius NIAS840 (1029822.3)											116	117	118	1350					][		
Lactobacillus salivarius UCC118 (362948.14)											252	251	250	1100					][		
Lactobacillus ultunensis DSM 16047 (525365.3)														1178		][					
Lactobacillus vaginalis ATCC 49540 (525366.3)										1312	1690	1691	1692	1051	1052					][	
Lactococcus garvieae 21881 (998087.5)							699	700	701	704	703	702	705	1816	373						
Lactococcus garvieae 8831 (913847.4)							416	417	418	421	420	419	422	181	1818						
Lactococcus garvieae ATCC 49156 (420889.6)							616	615	614	610, 611	612	613	609	97	1463						
Lactococcus garvieae DCC43 (1231377.3)							1136	1137	1138	1141	1140	1139	1142	841	2050						
Lactococcus garvieae I113 (1229517.3)							2039	2040	2041	2044	2043	2042	2045	282, 857	93						
Lactococcus garvieae IPLA 31405 (1181234.4)							825	824	823	820	821	822	819	514	51						
Lactococcus garvieae Lg2 (420890.5)							635	634	633	629, 630	631	632	628	97	1489						
Lactococcus garvieae LG9 (1091039.4)							1053	1052		1049	1050	1051	1048	206, 1148	1836						
Lactococcus garvieae Tac2 (1229518.3)							721	720	719	716	717	718	715	364, 1995	423						
Lactococcus garvieae TB25 (1091040.5)							507	506	505	502	503	504	501	1842	873						
Lactococcus garvieae UNIUD074 (1017266.3)							1384	1385	1386	1389	1388	1387	1390	1295, 1873	1488						
Lactococcus lactis subsp. cremoris CNCM I-1631 (1042402.4)								2275	2274	2270	2271	2272		281, 810							
Lactococcus lactis subsp. cremoris MG1363 (416870.9)							1872	1873	1874	1878	1877	1875	1879	197, 780, 1623							
Lactococcus lactis subsp. cremoris NZ9000 (746361.3)							1896	1897	1898	1902	1901	1899	1903	196, 786, 1640							
Lactococcus lactis subsp. cremoris UC509.9 (1111678.3)							777	776	775	771, 2085	772	774	769								
Lactococcus lactis subsp. lactis CV56 (929102.3)							716	715	714	710	711	712	709	170, 1634							
Lactococcus lactis subsp. lactis Il1403 (272623.7)							786	785	784	780	781	782	779	204, 1784							
Lactococcus lactis subsp. lactis IO-1 (1046624.4)								692	691	687	688	689									
Lactococcus lactis subsp. lactis KF147 (684738.3)							761	760	759	755	756	757	754	179, 1832							
Lactococcus lactis subsp. lactis YF11 (1149132.3)								662	661	657	658	659									
Lactococcus raffinolactis 4877 (1215915.3)																					
Laribacter hongkongensis HLHK9 (557598.3)															566						
Lautropia mirabilis ATCC 51599 (887898.3)														1866	1659	][					
Leptotrichia buccalis C-1013-b (523794.5)																					
Leuconostoc argentinum KCTC 3773 (886872.3)							875	874	873	872	1247	207	206	224	1246						
Leuconostoc gelidum JB7 (1229756.3)							905	906	907	908	1787	1802	1803	425	1786						
Leuconostoc gelidum KCTC 3527 (927691.3)							1036	1037	1038	1039	384	181	182	808	385						
Leuconostoc mesenteroides subsp. cremoris ATCC 19254 (586220.3)							947	946	945	944	1117	1575	1576	1341	1118						
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 (203120.7)							746	747	748	749	1977	66	65	1733	1976						
Leuconostoc mesenteroides subsp. mesenteroides J18 (1107880.3)							689	690	691	692	1766	16	15	1517	1765						
Listeria grayi DSM 20601 (525367.9)							626	625	624	2200	622	623	2365	627, 1835	1713						
Listeria monocytogenes 07PF0776 (1126011.4)							1706	1705	1704	2496	1702	1703	2362	1707, 2611	1962						
Listeria monocytogenes 08-5578 (653938.3)							1837	1836	1835	2739	1833	1834	2605	1838	2147						
Listeria monocytogenes 08-5923 (637381.3)							1791	1790	1789	2690	1787	1788	2558	1792	2100						
Listeria monocytogenes 10403S (393133.8)							2404	2403	2402	1375	2400	2401	1510	2405	1789						
Listeria monocytogenes ATCC 19117 (882095.3)							1697	1696	1695	2534	1693	1694	2398	1698	1954						
Listeria monocytogenes Aureli 1997 (401650.3)							1362, 1363	1361	1360	2575	1357, 1358	1359	2437	1364, 2711	1640						
Listeria monocytogenes Clip80459 (634178.4)							1702	1701	1700	2515	1698	1699	2375	1703, 2634	1962						
Listeria monocytogenes EGD-e (169963.11)							1719	1718	1717	2581	1715	1716	2443	1720	1977						
Listeria monocytogenes F6900 (393128.7)							1226	1225	1224	2358	1222	1223	2947	1227, 1818	1366						
Listeria monocytogenes Finland 1988 (393127.4)							1207, 1208	1206	1205	1880	1203	1204	2659	1209	512						
Listeria monocytogenes FSL J1-194 (393117.11)							770	771	772	1876	774	773	2880	769, 1519	2094						
Listeria monocytogenes FSL N1-017 (393123.7)							1564	1563	1562	952	1560	1561	2530	47, 1565	335						
Listeria monocytogenes FSL N3-165 (393124.10)							2813	2812	2811	1292	2809	2810	2765	2814	380						
Listeria monocytogenes FSL R2-503 (393125.10)							597	596	595	2377	593	594	2913	598, 2601	1173						
Listeria monocytogenes FSL R2-561 (393126.4)							2836	2837	2838	2411, 2412	2840	2839	2902	2835	384						
Listeria monocytogenes HCC23 (552536.6)							879	880	881	76	883	882	209	878, 2874	619						
Listeria monocytogenes HPB2262 (401650.12)							2837	2836	2835	1458	836	2834	2649	312, 2838	1119						
Listeria monocytogenes J0161 (393130.8)							7	8	9	2202	11	10	3025	6, 1767	1228						
Listeria monocytogenes J2818 (393131.7)							1225	1224	1223	2302	1221	1222	2957	1226, 1764	1365						
Listeria monocytogenes L312 (882094.3)							1686	1685	1684	2485	1682	1683	2350	1687, 2602	1943						
Listeria monocytogenes L99 (563174.3)							1783	1782	1781	2597	1779	1780	2460	1784, 2788	2045						
Listeria monocytogenes M7 (1030009.3)							1754	1753	1752	2552	1750	1751	2418	1755, 2736	2013						
Listeria monocytogenes serotype 1/2a str. NCCP No. 15743 (1293288.3)							1653	1652	1651	2442	1649	1650	2306	1654	1909						
Listeria monocytogenes serotype 1/2b str. SLCC2755 (1639.165)							1750	1749	1748	2601	1746	1747	2464	1751	2057						
Listeria monocytogenes serotype 1/2c str. SLCC2372 (932920.3)							1807	1806	1805	2655	1803	1804	2519	1808	2064						
Listeria monocytogenes serotype 4b str. LL195 (1230340.3)							1688	1687	1686	2478	1684	1685	2345	1689, 2594	1944						
Listeria monocytogenes serotype 7 str. SLCC2482 (1639.166)							1796	1795	1794	2583	1792	1793	2445	1797	2049						
Listeria monocytogenes SLCC2376 (882097.3)							1631	1630	1629	2411	1627	1628	2281	1632	1892						
Listeria monocytogenes SLCC2378 (879088.3)							1700	1699	1698	2529	1696	1697	2395	1701, 2645	1956						
Listeria monocytogenes SLCC2479 (882020.3)							1752	1751	1750	2596	1748	1749	2459	1753	2006						
Listeria monocytogenes SLCC2540 (879089.3)							1759	1758	1757	2557	1755	1756	2421	1760	2012						
Listeria monocytogenes SLCC5850 (882096.3)							1750	1749	1748	2543	1746	1747	2408	1751	2006						
Listeria monocytogenes SLCC7179 (879090.3)							1655	1654	1653	2440	1651	1652	2307	1656	1910						
Listeria monocytogenes str. 4b F2365 (265669.9)							1705	1704	1703	2510	1701	1702	2374	1706, 2628	1966						
Listeria monocytogenes str. Scott A (1027396.3)							1806	1805	1804	2654	1802	1803	2518	1807, 2769	2062						
Lysinibacillus fusiformis ZB2 (1231627.3)							4523	4524	4525	894, 2514	4527	4526		4522	1216						
Lysinibacillus fusiformis ZC1 (714961.3)							947	948	949	668, 3788	951, 952	950		946	4109						
Lysinibacillus sphaericus OT4b.31 (1285586.5)							3511	3510	3509	3604	3507	3508		3512	1876						
Megamonas funiformis YIT 11815 (742816.3)	1555	658, 659		660	661	1283, 1284															
Megamonas hypermegale ART12/1 (657316.3)	2041	2640, 2641		2639	2638	1681, 1682															
Megasphaera elsdenii (907.4)														1011		][					
Mesorhizobium loti MAFF303099 (266835.9)															2521						
Mesorhizobium loti NZP2037 (935546.3)															4549						
Methanobrevibacter smithii ATCC 35061 (420247.6)																					
Methanosphaera stadtmanae DSM 3091 (339860.6)																					
Methylobacterium mesophilicum SR1.6/6 (908290.3)															1545						
Methylobacterium populi BJ001 (441620.7)															4417						
Methylobacterium radiotolerans JCM 2831 (426355.14)															2179, 2735						
Methyloversatilis universalis EHg5 (999628.3)															3521						
Methyloversatilis universalis FAM5 (1000565.3)															3159						
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)							1429	1418		1403, 2036	1414	1413		1415	1430						
Micrococcus luteus NCTC 2665 (465515.4)							2059	1712		1715	1729	1727	1053	1730	2137						
Micrococcus luteus SK58 (596312.3)							1526	1, 96		94	1246	1248		1245	791						
Micromonospora aurantiaca ATCC 27029 (644283.3)	4437	4417	2858, 3307	4448	2855	4400, 4401									4450						
Mitsuokella multacida DSM 20544 (500635.8)	638	2104, 2105		2106	2107	1448, 1449															
Mobiluncus curtisii ATCC 43063 (548479.6)							958	951		947	943	945		929	954						
Mobiluncus curtisii ATCC 51333 (887326.3)							1087	1082		1078	1074	1076		1061	1086						
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)							1494	1502		1507	1511	1509		1525	1499						
Moraxella catarrhalis 101P30B1 (857572.3)															263						
Moraxella catarrhalis 103P14B1 (857579.3)															24						
Moraxella catarrhalis 12P80B1 (857577.3)															1255						
Moraxella catarrhalis 46P47B1 (857578.3)															123						
Moraxella catarrhalis 7169 (857581.3)															940						
Moraxella catarrhalis BC1 (857576.3)															1327						
Moraxella catarrhalis BC7 (857575.3)															441						
Moraxella catarrhalis BC8 (857574.3)															1463						
Moraxella catarrhalis CO72 (857573.3)															1041						
Moraxella catarrhalis O35E (857571.5)															632						
Moraxella catarrhalis RH4 (749219.3)															634						
Morganella morganii SC01 (1239989.3)							1876	1877	1878	1880	1881	1879	1097	2808	421						
Morganella morganii subsp. morganii KT (1124991.3)							465	466	467	469	470	468	598	1640	3076						
Mycobacterium abscessus (36809.5)							3604	4006	200, 4007	4008	4025, 4699	4018		4031	4003						
Mycobacterium abscessus 3A-0119-R (1001721.3)							3671	4189	60, 4190	4191	4209, 4898	4201		4215	4186						
Mycobacterium abscessus 3A-0122-R (1001715.3)							3698	4225	223, 4226	4227	4245, 4930	4237		4251	4222						
Mycobacterium abscessus 3A-0122-S (1001716.3)							3247	4004	4005, 5216	4006	4024, 4709	4016		4030	4001						
Mycobacterium abscessus 3A-0731 (1001718.3)							3781	4269	59, 4270	4271	4289, 4978	4281		4295	4266						
Mycobacterium abscessus 3A-0810-R (1001717.3)							3707	4194	59, 4195	4196	4214, 4899	4206		4220	4191						
Mycobacterium abscessus 3A-0930-R (1001720.3)							3675	4139	60, 4140	4141	4159, 4845	4151		4165	4136						
Mycobacterium abscessus 3A-0930-S (1001719.3)							3607	4067	60, 4068	4069	4087, 4772	4079		4093	4064						
Mycobacterium abscessus 47J26 (1087483.3)							339	2839	2840, 3371	2841	2928, 3960	2850		2934	2836						
Mycobacterium abscessus 4S-0116-R (1001725.3)							3334	3713	44, 3714	3715	3733, 4450	3725		3739	3710						
Mycobacterium abscessus 4S-0116-S (1001724.3)							2426	2805	2806, 4004	2807	2825, 3541	2817		2831	2802						
Mycobacterium abscessus 4S-0206 (1001723.3)							3336	3713	1737, 3714	3715	3733, 4451	3725		3739							
Mycobacterium abscessus 4S-0303 (1001722.3)							3328	3706	328, 3707	3708	3726, 4442	3718		3732	3703						
Mycobacterium abscessus 4S-0726-RA (1001726.3)							3262	3640	59, 3641	3642	3660, 4376	3652		3666	3637						
Mycobacterium abscessus 4S-0726-RB (1001727.3)							2874	3253	3254, 4453	3255	3273, 3987	3265		3279	3250						
Mycobacterium abscessus 5S-0304 (1001728.3)							2808	3195	3196, 4378	3197	3292, 3935	3206		3298	3192						
Mycobacterium abscessus 5S-0421 (1001729.3)							3060	3447	3448, 4613	3449	3543, 4188	3458		3549	3444						
Mycobacterium abscessus 5S-0422 (1001731.3)							3931	4317	213, 4318	4319	4413, 5057	4328		4419	4314						
Mycobacterium abscessus 5S-0708 (1001730.3)							2784	3172	3173, 4356	3174	3268, 3913	3183		3274	3169						
Mycobacterium abscessus 5S-0817 (1001735.3)							2412	2797	2798, 3983	2799	2893, 3535	2808		2899	2794						
Mycobacterium abscessus 5S-0921 (1001732.3)							3710	4097	56, 4098	4099	4193, 4840	4108		4199	4094						
Mycobacterium abscessus 5S-1212 (1001733.3)							2541	2927	2928, 4117	2929	3022, 3667	2938		3028	2924						
Mycobacterium abscessus 5S-1215 (1001734.3)							2886	3271	3272, 4385	3273	3290, 3935	3282		3296	3268						
Mycobacterium abscessus 6G-0125-R (1001740.3)							2619	3023	3024, 4236	3025	3043, 3727	3035		3049	3020						
Mycobacterium abscessus 6G-0212 (1001739.3)							3608	4012	124, 4013	4014	4032, 4716	4024		4038	4009						
Mycobacterium abscessus 9808 (1246644.3)							3801	4226	940, 4227	4228	473, 4314	4238			4223						
Mycobacterium abscessus M115 (1162287.3)							4421	725	724, 4051	723	27, 706	714		700	728						
Mycobacterium abscessus M139 (1175632.3)							333	714	715, 3899	716	732, 3461	725		738	711						
Mycobacterium abscessus M152 (1176125.3)							1497	1904	1905, 4491	1906	3966, 4783	1916		4789	1901						
Mycobacterium abscessus M154 (1162288.3)							2363	1039	1038, 1462	1037	1020, 3939	1028		1014	1042						
Mycobacterium abscessus M156 (1185414.3)							379	1051	1050, 4899	1049	1032, 2610	1040		1026	1054						
Mycobacterium abscessus M159 (1162285.3)							3263	567	568, 3587	569	586, 3787	578		592	564						
Mycobacterium abscessus M172 (1162286.3)							1763	1367	1366, 4260	1365	1348, 4867	1356		1342	1370						
Mycobacterium abscessus M24 (1162284.3)								4276	4277	4278	1427, 5540	5533		2038	4273						
Mycobacterium abscessus M93 (1149134.5)								913	912, 3413	911	320, 893	901		887	916						
Mycobacterium abscessus M94 (1158135.4)							2523	2974	2973	2972	2955, 3653	2962		2949	2977						
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)							3651	4035	4036	4037	4054, 4758	4046			4032						
Mycobacterium abscessus subsp. bolletii BD (1091046.3)							3415	3819	128, 3820	3821	3873, 4682	3865		3880	3816						
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)							2728	1689	1690		1702	1696, 3513, 4736, 4737		1713, 1714	1504						
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)							3522	4314	4313	4312	4300	2919, 4306		4291	4317, 4477						
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)							485, 486	4303	4302	4301	4289	1102, 4295		4280	4306, 4463						
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)							2458, 2459	1526	1527	1528	1540	1067, 1534, 3143		1549	1368, 1523						
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)							3745	4529	4528	4527	4515	3111, 4521		4507	4532, 4694						
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)							3315, 3316	4052	4051	4050	4038	2748, 4044		4029	4055, 4205						
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)							2992	2112	116, 2113	2116, 5964	5461	2127		1723	2105						
Mycoplasma hominis ATCC 23114 (347256.5)																					
Mycoplasma hominis ATCC 27545 (1267000.3)																					
Mycoplasma hyopneumoniae 168 (907287.3)																					
Mycoplasma hyopneumoniae 168-L (1116211.4)																					
Mycoplasma hyopneumoniae 232 (295358.5)																					
Mycoplasma hyopneumoniae 7448 (262722.5)																					
Mycoplasma hyopneumoniae J (262719.5)																					
Mycoplasma pneumoniae 19294 (1213463.3)																					
Mycoplasma pneumoniae 309 (1112856.4)																					
Mycoplasma pneumoniae FH (722438.3)																					
Mycoplasma pneumoniae M129 (272634.6)																					
Mycoplasma pneumoniae M129-B7 (1238993.3)																					
Mycoplasma pneumoniae PI 1428 (1236904.3)																					
Mycoplasma pneumoniae PO1 (1233262.3)																					
Neisseria cinerea ATCC 14685 (546262.4)															1468						
Neisseria elongata subsp. glycolytica ATCC 29315 (546263.3)															1019						
Neisseria flavescens NRL30031/H210 (546264.5)															609						
Neisseria flavescens SK114 (596320.3)															1412						
Neisseria macacae ATCC 33926 (997348.4)															1156						
Neisseria mucosa ATCC 25996 (546266.6)															1679						
Neisseria mucosa C102 (435832.3)															511						
Neisseria subflava NJ9703 (546268.4)															1155						
Ochrobactrum anthropi ATCC 49188 (439375.7)															1377						
Ochrobactrum anthropi CTS-325 (1151114.3)															1962						
Odoribacter laneus YIT 12061 (742817.3)														1370	1371	][					
Odoribacter splanchnicus DSM 20712 (709991.3)							378	379		381	382	380		145	144						
Olsenella uli DSM 7084 (633147.4)																					
Oribacterium sinus F0268 (585501.3)																					
Oxalobacter formigenes HOxBLS (556268.6)															2439						
Oxalobacter formigenes OXCC13 (556269.4)															1103, 2323, 2324						
Paenibacillus alvei DSM 29 (1206781.3)	2834	5686	221	3718	222	1695, 2832, 5700									2831						
Paenibacillus barengoltzii G22 (1235795.3)	1217	319	1720	2448	1721	310, 1215, 3184									1214						
Paenibacillus daejeonensis DSM 15491 (1122917.3)	4713	6329	3070	6295	3069	552, 4715									4716						
Paenibacillus lactis 154 (743719.3)	2675	4905	3751	113	3752	2673, 4896									2672						
Parabacteroides distasonis ATCC 8503 (435591.13)							1119	1120	1117, 1118	1122	1123	1121		1540	1974						
Parabacteroides distasonis CL03T12C09 (999416.3)							1533	1532, 2580, 4208	1534, 1535	1530	1529	1531		1029	430						
Parabacteroides distasonis CL09T03C24 (999417.3)							125	124	126, 127	122	121	123		3872	1696						
Parabacteroides goldsteinii CL02T12C30 (999418.3)							3607	3606	3608, 3685	3603		3605		4983	2027						
Parabacteroides goldsteinii dnLKV18 (1235789.3)							1097	1098	1095, 1096	1101		1099		2108	5427						
Parabacteroides johnsonii CL02T12C29 (999419.3)							3255	3279	3254	3281	3282	3280		1328	655						
Parabacteroides johnsonii DSM 18315 (537006.5)							1443	1418	1444	1416	1415	1417		1125, 1126	1620						
Parabacteroides merdae ATCC 43184 (411477.4)							2424	2238	2425	2240	2241	2239		2834	1176						
Parabacteroides merdae CL03T12C32 (999420.3)							430	1262	431	1264	1265	1263		50	2839						
Parabacteroides sp. D13 (563193.3)							1870	1871	1868, 1869	1873	1874	1872		2694	3186						
Paraprevotella clara YIT 11840 (762968.3)							1142	1141	1143, 3231	1124	1123	1140		2417	2253						
Paraprevotella xylaniphila YIT 11841 (762982.3)								1942	1944, 2539	1932	1931	1941		3142	434						
Parasutterella excrementihominis YIT 11859 (762966.3)												2488	2408	2534	2496			][			
Parvimonas micra ATCC 33270 (411465.10)																					
Pediococcus acidilactici 7_4 (563194.3)																					
Pediococcus acidilactici DSM 20284 (862514.3)																					
Pediococcus acidilactici MA18/5M (1080365.4)																					
Pediococcus pentosaceus ATCC 25745 (278197.12)																					
Pediococcus pentosaceus IE-3 (1133596.3)																					
Peptoniphilus harei ACS-146-V-Sch2b (908338.3)																					
Peptoniphilus indolicus ATCC 29427 (997350.3)																					
Peptoniphilus lacrimalis 315-B (596330.3)																					
Peptoniphilus lacrimalis DSM 7455 (1122949.3)																					
Peptoniphilus timonensis JC401 (1095770.3)																					
Peptostreptococcus anaerobius 653-L (596329.3)																					
Peptostreptococcus anaerobius DSM 2949 (1122950.3)																					
Peptostreptococcus stomatis DSM 17678 (596315.3)																					
Phascolarctobacterium sp. YIT 12067 (626939.3)																					
Plesiomonas shigelloides 302-73 (1315976.3)							2313	2312	2311	2309	2308	2310		3138	1400						
Porphyromonas asaccharolytica DSM 20707 (879243.3)								900	1280	898	897	899		956	171						
Porphyromonas asaccharolytica PR426713P-I (910312.3)								129	309	131	132	130		563	192						
Porphyromonas endodontalis ATCC 35406 (553175.3)								1000						1771	348	][					
Porphyromonas gingivalis ATCC 33277 (431947.7)									462					94, 1264	966	][					
Porphyromonas gingivalis TDC60 (1030843.3)							750	751	624	753	754	752		44	865						
Porphyromonas gingivalis W83 (242619.8)							1416	1415	1531	1413	1412	1414		2040	905						
Porphyromonas somerae DSM 23386 (1122975.3)														1384	882	][					
Porphyromonas uenonis 60-3 (596327.3)								746	962	748	749	747		975	112						
Prevotella bivia DSM 20514 (868129.3)							1554	1555	1450	1557	1558	1556	1553	2081	2144						
Prevotella bryantii B14 (752555.5)							1259	1260	1308	1262	1263	1261	1258	2259	1480						
Prevotella buccae ATCC 33574 (873513.3)							1737	1736		1733	1732	1735	1738	2231	1389						
Prevotella buccae D17 (575611.3)							2151	2152		2155	2156	2153	2150	2178	1288						
Prevotella conceptionensis 9403948 (1197728.3)							1058	1057		1055	1054	1056			2915						
Prevotella denticola CRIS 18C-A (944557.3)							484	485	179	488	489	486	483	1124	127						
Prevotella denticola F0289 (767031.3)							1716	1717	54	1720	1721	1718	1715	220	106						
Prevotella disiens FB035-09AN (866771.4)							1613	1612		1610	1609	1611	1614	1866	1930						
Prevotella intermedia 17 (246198.10)							1549	1548		1546	1545	1547		1933	2084						
Prevotella melaninogenica ATCC 25845 (553174.6)							1036	1037	377	1040	1041	1038	1035	2099	1701						
Prevotella melaninogenica D18 (575612.3)							2139	2140	1364	2143	2145	2141	2138	2263	922						
Prevotella nanceiensis DSM 19126 (1122988.3)							1498	1497		1495	1494	1496		412	150						
Prevotella nigrescens ATCC 33563 (997352.4)							958	957		955	954	956		616	354						
Prevotella nigrescens F0103 (702439.3)							2216	2217		2219	2220	2218		2131	1243						
Prevotella oralis ATCC 33269 (873533.3)							573	572		570	569	571	574	2154	2213						
Prevotella oralis HGA0225 (1203550.3)							799	798		796	795	797	800	24	84						
Prevotella pallens ATCC 700821 (997353.4)							1606	1607		1610	1611	1608		1288	1051						
Prevotella ruminicola 23 (264731.4)							1640	1639		1637	1636	1638	1641	1310	694						
Prevotella salivae DSM 15606 (888832.3)							2015	2014	2706	2012	2011	2013	2016	532	1983						
Prevotella stercorea DSM 18206 (1002367.3)							827	826		964	626	2401		1131							
Prevotella timonensis CRIS 5C-B1 (679189.3)							1953	1954		1957	1958	1955	1952	99	47						
Prevotella veroralis DSM 19559 (1122993.3)							1237	1236	1706	1233	1232	1235	1238	1494	2179						
Prevotella veroralis F0319 (649761.3)							401	400	2485	397	395	399	402	2277	1279						
Propionibacterium acidipropionici ATCC 4875 (1171373.8)							1383	1382		1381	1384	1385		2609	2605						
Propionibacterium acnes 266 (909952.3)							940	939		938	943	944	819	2009	2002						
Propionibacterium acnes 6609 (1031709.3)							959	958		957	962, 1817	963	828	2043	2041						
Propionibacterium acnes ATCC 11828 (1091045.3)							2079	2080		2081	296, 2077	2076	2170	524	517						
Propionibacterium acnes C1 (1234380.3)							983	982		981	985	986	860	2067	2059						
Propionibacterium acnes FZ1/2/0 (1276649.3)							943	942		941	946	947	820	2007	2000						
Propionibacterium acnes HL001PA1 (765105.8)							1309	1310		1311	261, 1307	1306	1400	487	480						
Propionibacterium acnes HL002PA1 (765115.3)							1392	1391		1390	1395	1396	1269	40	48						
Propionibacterium acnes HL002PA2 (765116.3)							2057	2058		2059	2055	2054	2178	39	47						
Propionibacterium acnes HL002PA3 (765117.3)							1959	1960		1961	1956	1955	2079	2370	2362						
Propionibacterium acnes HL005PA1 (765096.3)							2118	2119		2120	2115	2114	2240	827	835						
Propionibacterium acnes HL005PA2 (765097.3)							680	681		682	677	676	800	1993	1986						
Propionibacterium acnes HL005PA4 (765099.3)							1440	1441		1442	1437	1436	1559	141	149						
Propionibacterium acnes HL007PA1 (765118.3)							1747	1746		1745	1749	1750	1626	1305	1379						
Propionibacterium acnes HL013PA1 (765069.3)							1326	1327		1328	1323	1322	1445	2176	2184						
Propionibacterium acnes HL013PA2 (765070.3)							2233	2234		2235	2231	2230	2353	596	588						
Propionibacterium acnes HL020PA1 (765065.3)							1831	1832		1833	1829	1828	1951	1261	1269						
Propionibacterium acnes HL025PA1 (765089.3)							1800	1801		1802	1798	1797	1922	957	965						
Propionibacterium acnes HL027PA1 (765111.3)							983	982		981	986	987	862	752	760						
Propionibacterium acnes HL027PA2 (765112.3)							671	672		673	669	668	789	1063	1055						
Propionibacterium acnes HL030PA1 (765103.3)							2425	2426		2427	1708, 2422	2421	903	36	34						
Propionibacterium acnes HL036PA1 (765106.3)							1684	1683		1682	1687	1688	1566	988	995						
Propionibacterium acnes HL036PA2 (765107.3)							1965	1966		1967	1963	1962	2085	2358	2350						
Propionibacterium acnes HL037PA1 (765122.3)							1869	1868		1867	1871	1872	1744	166	158						
Propionibacterium acnes HL037PA2 (765123.3)							607	612		613	606	605	727	1608	1612						
Propionibacterium acnes HL038PA1 (765085.3)							1549	1548		1547	1551	1552	1429	103	111						
Propionibacterium acnes HL043PA1 (765072.3)							745	744		743	748	749	624	1578	1677						
Propionibacterium acnes HL043PA2 (765073.3)							1673	1674		1675	1670	1669	1794	2441	2449						
Propionibacterium acnes HL044PA1 (765109.3)							1882	1878		1877	1883	1884	622	2223	2226						
Propionibacterium acnes HL045PA1 (765068.3)							1762	1761		1760	1765	1766	1638	1108	1116						
Propionibacterium acnes HL046PA1 (765094.3)							1616	1617		1618	1613	1612	1741	142	150						
Propionibacterium acnes HL046PA2 (765095.3)							1013	1012		1011	1016	1017	893	280	288						
Propionibacterium acnes HL050PA1 (765100.3)							1011	1010		1009	1014	1015	891	312	305						
Propionibacterium acnes HL050PA2 (765101.3)							1972	1973		1974	1429, 1970	1969	2066	1206	1215						
Propionibacterium acnes HL050PA3 (765102.3)							1642	1641		1640	1645	1646	1523	697	689						
Propionibacterium acnes HL053PA1 (765066.3)							1816	1815		1814	1819	1820	1696	1414	1422						
Propionibacterium acnes HL053PA2 (765067.3)							1890	1891		1892	1887	1886	2013	40	47						
Propionibacterium acnes HL056PA1 (765119.3)							1063	1062		1061	1065	1066	942	1762	1754						
Propionibacterium acnes HL059PA1 (765091.3)							1204	1205		1206	1201	1200	1328	2074	2067						
Propionibacterium acnes HL059PA2 (765092.3)							1554	1553		1552	1557	1558	1433	2127	2119						
Propionibacterium acnes HL063PA1 (765113.3)							1713	1712		1711	1716	1717	1594	1087	1094						
Propionibacterium acnes HL063PA2 (765114.3)							1909	1908		1907	1912	1913	1789	460	452						
Propionibacterium acnes HL067PA1 (765110.3)							606	605		604	609	610	488	2089	2096						
Propionibacterium acnes HL072PA1 (765074.3)							1287	1286		1285	1290	1291	1169	569	562						
Propionibacterium acnes HL072PA2 (765075.3)							2190	2191		2192	2187	2186	2312	1217	1224						
Propionibacterium acnes HL074PA1 (765076.3)							1199	1198		1197	1201	1202	1076	279	287						
Propionibacterium acnes HL078PA1 (765071.3)							1919	1920		1921	1916	1915	2042	1378	1385						
Propionibacterium acnes HL082PA1 (765120.3)							2099	2100		2101	2096	2095	2223	1532	1525						
Propionibacterium acnes HL082PA2 (765121.3)							791	792		793	789, 2299	788	888	255	2286						
Propionibacterium acnes HL083PA1 (765087.3)							1922	1921		1920	1925	1926	1802	1305	1297						
Propionibacterium acnes HL083PA2 (765088.3)							1544	1543		1542	1547	1548	1423	2201	2209						
Propionibacterium acnes HL086PA1 (765093.3)							1622	1621		1620	1625	1626	1500	2189	2197						
Propionibacterium acnes HL087PA2 (765082.3)							1137	1136		1135	1140	1141	1018	2368	2376						
