Organism	AspA	Asd	HSDH	HSST	HSAT	CTGS	AHSH	CTBL	CTGL	CTBS	MetH	MetE	BhmT	MmuM	MetABC	MetT
Streptococcus pneumoniae GA44452 (760825.3)	421_1	885	1362	1565	 	1512	1222, 1223	1511_10, 667_10	 	 	 	589_18	 	 	1322_23, 157_25, 159_23, 160_24, 1868_23, 499_26, 501_27, 502_28	 
Streptococcus pneumoniae GA44500 (760826.3)	491_1	1088	1408, 1409	1685	 	1580	1279	728_10	 	 	 	640_18	 	 	2011_23, 2079_23, 243_25, 245_23, 246_24, 544_26, 546_27, 547_28, 740_23, 842_23	 
Streptococcus pneumoniae GA44511 (760827.3)	389_1	980	1307	1573	 	1467	 	1466_10, 641_10	 	 	 	558_18	 	 	150_25, 153_24, 1854_23, 1921_23, 466_26, 468_27, 469_28, 654_23	 
Streptococcus pneumoniae GA47033 (760828.3)	1949_1	505	807	1023	 	969	674	165_10	 	 	 	2113_18	 	 	1330_23, 1398_23, 1728_25, 1730_23, 1731_24, 194_23, 2014_26, 2016_27, 2017_28, 775_23	 
Streptococcus pneumoniae GA47179 (760829.3)	363_1	915	1275	1473	 	1421	1084, 1085	1420_10, 601_10	 	 	 	515_18	 	 	1240_23, 1255_23, 134_25, 136_23, 137_24, 1848_23, 418_26, 420_27, 421_28, 613_23	 
Streptococcus pneumoniae GA47210 (760830.3)	388_1	1140	1333	1531	 	1478	1188, 1189	636_10	 	 	 	559_18	 	 	1291_23, 139_25, 142_24, 461_26, 463_27, 464_28, 648_23	 
Streptococcus pneumoniae GA47281 (760831.3)	444_1	1029	1295	1510	 	1455	1195, 1196	692_10	 	 	 	610_18	 	 	183_25, 186_24, 1904_23, 516_26, 518_27, 519_28	 
Streptococcus pneumoniae GA47283 (760832.3)	402_1	1039	1334	1512	 	1457	1206, 1207	1456_10, 647_10	 	 	 	554_18	 	 	140_25, 143_24, 1896_23, 1926_23, 461_26, 463_27, 464_28, 661_23	 
Streptococcus pneumoniae GA47360 (760833.3)	396_1	997	1317	1535	 	1484	1190, 1191	654_10	 	 	 	564_18	 	 	145_25, 147_23, 148_24, 464_26, 466_27, 467_28, 666_23	 
Streptococcus pneumoniae GA47388 (760837.3)	383_1	1078	771	1547	 	1446	 	1445_10, 628_10	 	 	 	545_18	 	 	144_25, 147_24, 1828_23, 1900_23, 454_26, 456_27, 457_28, 642_23	 
Streptococcus pneumoniae GA47439 (760860.3)	378_1	938	1243	1444	 	1393	1114, 1115	612_10	 	 	 	528_18	 	 	1211_23, 141_25, 144_24, 1715_23, 1792_23, 1820_23, 433_26, 435_27, 436_28	 
Streptococcus pneumoniae GA47461 (760838.3)	356_1	1066	1205	1389	 	1334	1108, 1109	600_10	 	 	 	516_18	 	 	131_25, 134_24, 423_26, 425_27, 426_28	 
Streptococcus pneumoniae GA47502 (760839.3)	427_1	1019	1442	1691	 	1603	1248, 1249, 1250	1602_10, 695_10	 	 	 	608_18	 	 	1987_23, 204_25, 2054_23, 207_24, 498_26, 500_27, 501_28, 708_23	 
Streptococcus pneumoniae GA47522 (760840.3)	388_1	741	1278	1495	 	1441	916	1165_10	 	 	 	1079_18	 	 	1177_23, 1234_23, 154_25, 156_23, 157_24, 1802_23, 1866_23, 439_26, 441_27, 442_28, 512_23	 
Streptococcus pneumoniae GA47562 (760841.3)	374_1	1204	681	1485	 	1435	827, 828	873_10	 	 	 	529_18	 	 	148_25, 151_24, 1772_23, 1840_23, 433_26, 435_27, 436_28, 726_23, 887_23	 
Streptococcus pneumoniae GA47597 (760842.3)	355_1	904	1276	1493	 	1440	1158, 1159	586_10	 	 	 	502_18	 	 	130_25, 133_24, 1840_23, 1868_23, 410_26, 412_27, 413_28	 
Streptococcus pneumoniae GA47628 (760843.3)	419_1	1015	1256	1471	 	1416	1158, 1159	661_10	 	 	 	579_18	 	 	162_25, 164_23, 165_24, 1857_23, 488_26, 490_27, 491_28	 
Streptococcus pneumoniae GA47688 (760844.3)	401_1	1263	722	1421	 	1367	625, 626	938_10	 	 	 	1021_18	 	 	159_25, 162_24, 1846_23, 461_26, 463_27, 464_28	 
Streptococcus pneumoniae GA47751 (760845.3)	346_1	1049	1380	1583	 	1527	1242, 1243	1526_10, 574_10	 	 	 	495_18	 	 	1340_23, 1888_23, 403_26, 405_27, 406_28, 78_25, 80_23, 81_24	 
Streptococcus pneumoniae GA47760 (760846.3)	350_1	898	1204	1413	 	1362	1071, 1072	578_10	 	 	 	494_18	 	 	1171_23, 131_25, 134_24, 1692_23, 1760_23, 403_26, 405_27, 406_28, 591_23	 
Streptococcus pneumoniae GA47794 (760848.3)	356_1	1032	1266	1463	 	1410	1077, 1078	1409_10, 593_10	 	 	 	508_18	 	 	1233_23, 1247_23, 130_25, 132_23, 133_24, 1817_23, 412_26, 414_27, 415_28, 606_23	 
Streptococcus pneumoniae GA47901 (760861.3)	417_1	1016	1336	1553	 	1501	1206, 1207	676_10	 	 	 	589_18	 	 	143_25, 145_23, 146_24, 1840_23, 1912_23, 480_26, 482_27, 483_28, 688_23	 
Streptococcus pneumoniae GA47976 (760850.3)	382_1	999	1301	1523	 	1471	1094, 1095	622_10	 	 	 	540_18	 	 	147_24, 1909_23, 436_26, 438_27, 439_28	 
Streptococcus pneumoniae GA49138 (760851.3)	400_1	1090	1277	1494	 	1439	1146, 1147	644_10	 	 	 	564_18	 	 	136_25, 138_23, 139_24, 1891_23, 470_26, 472_27, 473_28, 656_23	 
Streptococcus pneumoniae GA49194 (760852.3)	422_1	976	1302	1509	 	1457	1160, 1161	656_10	 	 	 	570_18	 	 	181_25, 183_23, 1860_23, 479_26, 481_27, 482_28, 668_23	 
Streptococcus pneumoniae GA49447 (760854.3)	453_1	1046	1381	1581	 	1528	1241, 1242	1527_10, 695_10	 	 	 	616_18	 	 	1340_23, 1893_23, 193_25, 195_23, 196_24, 530_26, 532_27, 533_28	 
Streptococcus pneumoniae GA49542 (760855.3)	375_1	960	1280	1544	 	1441	1162	1440_10, 628_10	 	 	 	547_18	 	 	148_25, 151_24, 1843_23, 1915_23, 443_26, 445_27, 446_28, 641_23	 
Streptococcus pneumoniae GA52306 (760856.3)	402_1	978	1280	1494	 	1441	1147	656_10	 	 	 	559_18	 	 	1247_23, 179_25, 1796_23, 181_23, 182_24, 1875_23, 466_26, 468_27, 469_28, 669_23	 
Streptococcus pneumoniae GA52612 (760858.3)	365_1	1812	1130	1326	 	1274	954, 955	1273_10, 609_10	 	 	 	522_18	 	 	1111_23, 139_25, 141_23, 142_24, 1685_23, 425_26, 427_27, 428_28, 622_23	 
Streptococcus pneumoniae GA54354 (1105115.3)	433_1	1011	1330	1527	 	1473	1190, 1191	670_10	 	 	 	587_18	 	 	1289_23, 159_25, 162_24, 1902_23, 490_26, 492_27, 493_28	 
Streptococcus pneumoniae GA54644 (760859.3)	395_1	985	1316	1582	 	1477	 	1476_10, 645_10	 	 	 	561_18	 	 	154_25, 157_24, 1861_23, 1933_23, 467_26, 469_27, 470_28, 658_23	 
Streptococcus pneumoniae GA56113 (1105116.3)	401_1	1019	1342	1615	 	1502	1223	1501_10, 681_10	 	 	 	599_18	 	 	159_25, 162_24, 1899_23, 1963_23, 474_26, 476_27, 477_28, 694_23	 
Streptococcus pneumoniae GA58581 (1105118.3)	386_1	701	913	1134	 	1083	604, 605	1082_10, 2024_10	 	 	 	1937_18	 	 	144_25, 146_23, 147_24, 1832_26, 1834_27, 1835_28, 2036_23, 827_23, 828_23	 
Streptococcus pneumoniae GA58771 (1105121.3)	408_1	1755	873	1355	 	1301	972, 973	659_10	 	 	 	573_18	 	 	164_25, 167_24, 1889_23, 482_26, 484_27, 485_28	 
Streptococcus pneumoniae GA58981 (1131628.3)	494_1	1149	1516	1732	 	1681	1388, 1389	743_10	 	 	 	653_18	 	 	179_25, 181_23, 182_24, 2025_23, 444_23, 552_26, 554_27, 555_28	 
Streptococcus pneumoniae GA60132 (1131627.3)	402_1	1075	868	1574	 	1524	1314, 1315	642_10	 	 	 	561_18	 	 	149_25, 151_23, 152_23, 153_24, 1884_23, 1958_23, 463_26, 465_27, 466_28, 672_23	 
Streptococcus pneumoniae GA60190 (1105120.3)	371_1	974	1278	1493	 	1440	1145	629_10	 	 	 	542_18	 	 	1246_23, 150_25, 152_23, 153_24, 1793_23, 1869_23, 440_26, 442_27, 443_28, 660_23	 
Streptococcus pneumoniae GA62331 (1131630.3)	470_1	1054	1370	1641	 	1516	1232, 1233	709_10	 	 	 	625_18	 	 	1330_23, 196_25, 199_24, 2015_23, 527_26, 529_27, 530_28	 
Streptococcus pneumoniae GA62681 (1131629.3)	383_1	971	1288	1505	 	1451	1146	628_10	 	 	 	542_18	 	 	1243_23, 152_25, 154_23, 155_24, 1818_23, 1883_23, 437_26, 439_27, 440_28, 640_23, 737_23	 
Streptococcus pneumoniae Hungary19A-6 (487214.5)	526_1	1128	1492	1693	 	1640	1335, 1336	1639_12, 776_10	 	 	 	687_18	 	 	1454_23, 1455_23, 253_25, 255_23, 256_24, 596_26, 598_27, 599_28, 789_23	 
Streptococcus pneumoniae INV104 (869269.3)	454_1	1125	1456	1688	 	1631	1320, 1321	725_10	 	 	 	631_18	 	 	172_25, 174_23, 175_24, 2026_23, 2102_23, 519_26, 521_27, 522_28, 737_23, 983_23, 984_23, 985_23	 
Streptococcus pneumoniae INV200 (869216.3)	429_1	1069	1376	1604	 	1552	1165, 1166	680_10	 	 	 	594_18	 	 	177_25, 179_23, 180_24, 488_26, 490_27, 491_28, 934_23, 935_23, 936_23	 
Streptococcus pneumoniae JJA (488222.3)	425_1	1010	1325	1552	 	1498	1186, 1187	663_10	 	 	 	571_18	 	 	1877_23, 188_25, 190_23, 191_24, 2007_23, 477_26, 479_27, 480_28, 675_23, 767_23	 
Streptococcus pneumoniae MLV-016 (453366.3)	1878_1	1303	870	321	 	374	2164, 2165	411_10	 	 	 	1547_18	 	 	1446_24, 1449_25, 1670_23, 1815_28, 1816_27, 1819_26, 19_23, 424_23, 823_23, 824_23	 
Streptococcus pneumoniae MNZ11b (1315307.3)	1202_1	269	610	995	 	945	698, 699	1571_10	 	 	 	1677_18	 	 	1246_23, 1260_26, 1262_27, 1263_28, 1455_23, 236_23, 748_25, 751_24	 
Streptococcus pneumoniae MNZ14 (1315308.3)	1462_1	1497	1703	1277	 	887	92, 93	1815_10	 	 	 	1598_18	 	 	300_26, 302_27, 303_28, 576_23, 578_25	 
Streptococcus pneumoniae MNZ37 (1315309.3)	940_1	1802	219	1732	 	1782	448, 449	1512_10	 	 	 	419_18	 	 	109_23, 1139_24, 1142_25, 1349_23, 520_28, 521_27, 523_26, 810_23	 
Streptococcus pneumoniae MNZ41 (1315310.3)	1027_1	1376	233	1272	 	1841	127	299_10	 	 	 	1325_18	 	 	1091_24, 1094_25, 923_28, 924_27, 926_26	 
Streptococcus pneumoniae NP070 (760884.3)	407_1	1143	1293	1534	 	1444	1190, 1191	641_10	 	 	 	558_18	 	 	144_25, 146_23, 147_24, 1895_23, 462_26, 464_27, 465_28, 671_23	 
Streptococcus pneumoniae NP112 (760882.3)	386_1	961	1263	1477	 	1424	 	1423_10, 627_10	 	 	 	545_18	 	 	128_25, 130_23, 131_24, 1832_23, 458_26, 460_27, 461_28, 639_23	 
Streptococcus pneumoniae NP127 (760886.3)	442_1	1036	1369	1574	 	1514	1229, 1230	1513_10, 687_10	 	 	 	606_18	 	 	1329_23, 1881_23, 189_25, 191_23, 192_24, 517_26, 519_27, 520_28, 699_23	 
Streptococcus pneumoniae NP141 (760883.3)	1042_1	1300	553	1501	 	1444	437, 438	1443_10, 804_10	 	 	 	894_18	 	 	146_25, 149_24, 1861_23, 1890_23, 790_23, 983_28, 984_27, 986_26	 
Streptococcus pneumoniae NorthCarolina6A-23 (760887.3)	461_1	1051	1378	1583	 	1527	1238, 1239	1526_10, 708_10	 	 	 	627_18	 	 	1337_23, 1868_23, 211_25, 213_23, 214_24, 539_26, 541_27, 542_28, 721_23	 
Streptococcus pneumoniae OXC141 (869215.3)	467_1	1059	1385	1609	 	1553	1261, 1262	1552_10, 714_10	 	 	 	624_18	 	 	2000_23, 229_25, 231_23, 232_24, 522_26, 524_27, 525_28	 
Streptococcus pneumoniae P1031 (488223.4)	464_1	1062	1431	1652	 	1598	1298, 1299	721_10	 	 	 	626_18	 	 	1968_23, 2037_23, 226_23, 227_24, 526_26, 528_27, 529_28, 733_23	 
Streptococcus pneumoniae PCS125219 (1159084.3)	574_1	1600	371	1141	 	1194	1239, 1240	1413_10	 	 	 	1343_18	 	 	100_24, 1106_23, 510_28, 511_27, 513_26, 893_23	 
Streptococcus pneumoniae PCS70012 (1159085.3)	1414_1	837	532	321	 	374	656, 657	1168_10	 	 	 	1258_18	 	 	1349_28, 1350_27, 1352_26, 1649_24, 1893_23, 21_23	 
Streptococcus pneumoniae PCS8106 (1159081.3)	1094_1	2054	338	937	 	996	466, 467	156_10	 	 	 	894_18	 	 	144_23, 1545_23, 1590_24, 1591_23, 1593_25, 1820_23, 619_23, 620_23, 791_26, 793_27, 794_28	 
Streptococcus pneumoniae PNI0002 (1159087.3)	1289_1	1389	450	581	 	634	1153, 1154	161_10	 	 	 	69_18	 	 	1351_26, 1353_27, 1354_28, 1677_23, 665_23, 891_24	 
Streptococcus pneumoniae PNI0006 (1159088.3)	430_1	1008	1317	1528	 	1475	1188, 1189	675_10	 	 	 	585_18	 	 	1826_23, 194_24, 2142_23, 492_26, 494_27, 495_28	 
Streptococcus pneumoniae PNI0010 (1159092.3)	1741_1	1971	778	993	 	940	651, 652	2074_10	 	 	 	1586_18	 	 	1291_23, 138_23, 1677_28, 1678_27, 1680_26, 382_24	 
Streptococcus pneumoniae PNI0153 (1159094.3)	2071_1	1474	523	1024	 	682	1428, 1429	318_10	 	 	 	409_18	 	 	1315_23, 1861_24, 2132_26, 2134_27, 2135_28, 306_23, 921_23	 
Streptococcus pneumoniae R6 (171101.6)	415_1	1005	1324	1549	 	1492	 	 	 	 	 	566_18	 	 	471_26, 474_28	 
Streptococcus pneumoniae R6M2-PG (1089300.3)	1256_1	1669	1981	392	 	1996	 	 	 	 	 	1782_18	 	 	1385_26, 1388_28	 
Streptococcus pneumoniae SP11-BS70 (406559.5)	393_1	2073	1024	800	 	856	1883, 1884	744_10	 	 	 	1540_18, 1541_18	 	 	163_25, 166_24, 1729_23, 1992_23, 2226_23, 2227_23, 453_26, 456_27, 457_28, 731_23	 
Streptococcus pneumoniae SP14-BS292 (497962.4)	1578_1	2044	843	1820	 	1766	735, 736	1765_10, 547_10	 	 	 	459_18	 	 	1434_23, 1435_23, 1436_23, 163_25, 1637_26, 1639_27, 1640_28, 165_23, 166_24, 559_23	 
Streptococcus pneumoniae SP18-BS74 (406561.5)	2185_1	679	1312	1790, 2092	 	1848	 	1849_10, 215_10	 	 	 	124_18	 	 	1724_23, 228_23, 30_26, 318_25, 32_27, 320_23, 321_24, 33_28	 
Streptococcus pneumoniae SP19-BS75 (406562.5)	1519_1	2056	1048, 2216	1894	 	1207	1583, 1584	1206_10, 347_10	 	 	 	436_18	 	 	1700_23, 1729_23, 1868_28, 1869_27, 1871_26, 2302_23, 603_25, 606_24	 
Streptococcus pneumoniae SP195 (453363.4)	42_1	786	1461	657	 	761	991	304_10, 762_10	 	 	 	219_18	 	 	113_26, 115_27, 116_28, 1300_24, 1303_25, 1798_23, 2032_23, 317_23	 
Streptococcus pneumoniae SP23-BS72 (406563.4)	1829_1	669	433	1672	 	1490	330, 331	908_10	 	 	 	1300_18	 	 	1571_23, 1599_23, 2027_23, 2043_26, 2044_27, 2045_28, 78_25, 80_23, 81_24, 937_23	 
Streptococcus pneumoniae SP3-BS71 (406556.6)	295_1	1346	1955	1317	 	1261	1480, 1481	1260_10, 1606_10	 	 	 	451_18	 	 	1838_23, 1868_23, 1869_23, 347_26, 349_27, 350_28, 57_25, 59_23, 60_24	 
Streptococcus pneumoniae SP6-BS73 (406557.5)	421_1	699	1585	834	 	778	1369, 1370, 1371	1209_10	 	 	 	1111_18	 	 	153_25, 156_24, 2130_23, 481_26, 483_27, 484_28	 
Streptococcus pneumoniae SP9-BS68 (406558.6)	1567_1	1779	946	1175	 	535	1471	227_10, 536_10	 	 	 	313_18	 	 	1015_23, 1263_28, 1264_27, 1266_26, 1882_23, 2006_23, 656_25, 659_24	 
Streptococcus pneumoniae SPAR27 (1159209.3)	390_1	967	1292	1515	 	1459	 	 	 	 	 	542_18	 	 	449_26, 452_28	 
Streptococcus pneumoniae SPAR55 (1159211.3)	365_1	976	1223	1427	 	1373	1084, 1085	1372_10, 615_10	 	 	 	531_18	 	 	105_25, 107_23, 108_24, 1184_23, 1848_23, 443_26, 445_27, 446_28	 
Streptococcus pneumoniae SPAR95 (1159212.3)	397_1	1364	1065	1505	 	1452	1266, 1267	648_10	 	 	 	565_18	 	 	156_25, 158_23, 159_24, 459_26, 461_27, 463_27, 464_28	 
Streptococcus pneumoniae SPN021198 (869308.3)	1578_1	1007	702	490	 	543	819, 820	1340_10, 544_10	 	 	 	1428_18	 	 	123_23, 1520_28, 1521_27, 1523_26, 1805_24, 1806_23, 1808_25	 
Streptococcus pneumoniae SPN032672 (869311.3)	1745_1	1	328	559	 	502	194, 195	2017_10	 	 	 	1923_18	 	 	1258_23, 1468_25, 1470_23, 1471_24, 1808_26, 1810_27, 1811_28, 2029_23, 2277_23, 2278_23, 905_23	 
Streptococcus pneumoniae SPN033038 (869312.3)	1753_1	1	335	562	 	505	199, 200	2028_10	 	 	 	1934_18	 	 	1474_25, 1476_23, 1477_24, 1818_26, 1820_27, 1821_28, 2040_23, 2291_23, 2292_23, 909_23, 985_23	 
Streptococcus pneumoniae SPN034156 (869303.3)	1690_1	1	326	551	 	496	201, 202	1933_10, 495_10	 	 	 	1842_18	 	 	1450_25, 1453_24, 1749_26, 1751_27, 1752_28, 932_23, 961_23	 
Streptococcus pneumoniae SPN034183 (869304.3)	471_1	1071	1397	1621	 	1565	1273, 1274	1564_10, 721_10	 	 	 	631_18	 	 	2014_23, 233_25, 235_23, 236_24, 528_26, 530_27, 531_28, 532_28	 
Streptococcus pneumoniae SPN061370 (869801.3)	1652_1	264	2136	400	 	1115	2007, 2008	942_10	 	 	 	666_18	 	 	1394_23, 1395_23, 1712_26, 1714_27, 1715_28, 501_25, 503_23, 504_24, 602_23, 763_23, 954_23	 
Streptococcus pneumoniae SPN072838 (869305.3)	883_1	1691	1372	1158	 	1211	1502, 1503	1212_10, 2016_10	 	 	 	2103_18	 	 	148_23, 178_23, 257_24, 260_25, 821_28, 822_27, 824_26	 
Streptococcus pneumoniae SPN1041 (869310.3)	1020_1	1202	548	1294	 	2152	778, 779	364_10	 	 	 	1391_18	 	 	1651_23, 1700_26, 1702_27, 1703_28, 352_23, 38_24, 922_23	 
Streptococcus pneumoniae SPN7465 (869313.3)	1034_1	480	802	1739	 	1686	673, 674	158_10	 	 	 	70_18	 	 	1252_24, 1557_23, 170_23, 1795_23, 968_28, 969_27, 971_26	 
Streptococcus pneumoniae SPNA45 (869309.3)	1748_1	1	319	533	 	479	173, 174	1983_10	 	 	 	1885_18	 	 	1474_25, 1476_23, 1477_24, 1803_26, 1805_27, 1806_28, 1996_23, 838_23, 839_23, 954_23, 984_23	 
Streptococcus pneumoniae ST556 (1130804.3)	497_1	1098	949	1536	 	1482	1046, 1047	737_10	 	 	 	654_18	 	 	1917_23, 239_25, 241_23, 242_24, 565_26, 567_27, 568_28	 
Streptococcus pneumoniae SV35 (497738.3)	577_1	1134	1531	1745	 	1693	1308, 1309	803_10	 	 	 	718_18	 	 	171_23, 1994_23, 337_25, 340_24, 634_26, 636_27, 637_28, 815_23, 903_23	 
Streptococcus pneumoniae SV36 (497739.3)	331_1	836	1233	1444	 	1391	1010, 1011	502_10	 	 	 	416_18	 	 	110_25, 113_24, 1756_23, 1833_23, 385_26, 387_27, 388_28, 513_23, 602_23	 
Streptococcus pneumoniae TCH8431/19A (525381.4)	700_1	1454	1182	1798	 	1745	1284, 1285	961_10	 	 	 	871_18	 	 	2204_23, 445_25, 448_24, 773_26, 775_27, 776_28	 
Streptococcus pneumoniae TIGR4 (170187.11)	432_1	1063	1405	1631	 	1580	1256, 1257	702_10	 	 	 	610_18	 	 	162_25, 164_23, 165_24, 504_26, 506_27, 507_28, 714_23	 
Streptococcus pneumoniae Taiwan19F-14 (487213.3)	464_1	1103	945, 946	1564	 	1511	1047, 1048	721_10	 	 	 	634_18	 	 	1969_23, 198_25, 200_23, 201_24, 536_26, 538_27, 539_28	 
Streptococcus pneumoniae gamPNI0373 (697283.3)	447_1	1162	1334	1544	 	1491	1208, 1209	694_10	 	 	 	605_18	 	 	1840_23, 1906_23, 212_24, 510_26, 512_27, 513_28	 
Streptococcus pseudopneumoniae IS7493 (1054460.4)	514_1	1013	1334	1537	 	1484	1170	1483_12, 699_10	 	 	 	613_18	 	 	2007_23, 259_25, 261_23, 262_24, 285_24, 494_23, 558_26, 559_27, 560_28, 711_23, 796_23	 
Streptococcus salivarius 57.I (1046629.4)	1607_1	766	1502	1135	 	1632	946	1142_10	 	 	 	811_18	 	1391	1669_28, 1670_27, 1671_26, 1674_24, 1675_23, 1677_25, 1755_23, 406_23, 922_23	 
Streptococcus salivarius JIM8777 (347253.5)	301_1	1185	385	778	 	276	1005	277_12, 771_10	 	 	 	1140_18	 	522	1033_23, 153_23, 232_25, 234_23, 235_24, 237_28	 
Streptococcus salivarius K12 (1200793.3)	337_1	1214	428	835	 	312	1025	828_10	 	 	 	1096_18, 1169_18, 1946_18	 	534	187_23, 2198_23, 266_25, 268_23, 269_24, 273_26, 274_27, 275_28	 
Streptococcus salivarius M18 (1074494.5)	305_1	691	408	1061	 	278	887	1067_10	 	 	 	1896_18, 739_18, 812_18	 	1333	1530_23, 156_23, 1977_23, 233_25, 235_23, 236_24, 239_26, 240_27, 241_28, 859_23	 
Streptococcus salivarius PS4 (1157946.4)	1198_1	394	525	1232	 	1516	534	1324_10	 	 	 	349_18	 	1445	1555_28, 1556_27, 1557_26, 1560_24, 1561_23, 1563_25, 49_25, 782_23, 870_23, 960_23	 
Streptococcus salivarius SK126 (596322.3)	1417_1	1274	1891	399	 	188	995	407_10	 	 	 	1090_18	 	1777	121_23, 232_28, 233_27, 234_26, 237_24, 238_23, 240_25	 
Streptococcus sanguinis ATCC 29667 (997356.4)	1363_1	641	784	425	 	90	963	406_10, 91_12	 	 	 	2034_18	 	733	1215_28, 1216_27, 1225_26, 1987_25, 1988_23, 1989_24	 
Streptococcus sanguinis ATCC 49296 (888049.3)	1466_1	123	382	1620	 	480	300	451_10	 	 	 	1557_18	 	 	1166_25, 1168_23, 1169_24, 1660_23, 983_23	 
Streptococcus sanguinis SK1 (888807.3)	1298_1	582	718	377	 	83	897	356_10	 	 	 	1805_18	 	666	1140_28, 1141_27, 1150_26, 1853_23, 1854_23, 1855_25, 1930_23	 
Streptococcus sanguinis SK1056 (888820.3)	1369_1	603	786	398	 	87	969	378_10	 	 	 	2201_18	 	732	1216_28, 1217_27, 1229_26, 2161_25, 2162_23	 
Streptococcus sanguinis SK1057 (888821.3)	532_1	1269	1413	1060	 	726	1583	1051_10	 	 	 	2024_18	 	1360	1842_28, 1843_27, 1856_26, 2070_24, 2071_23, 2072_25, 2143_23	 
Streptococcus sanguinis SK1058 (888822.3)	1863_1	1163	1295	960	 	640	1468	937_10	 	 	 	123_18	 	1242	159_24, 160_23, 161_25, 1711_28, 1712_27, 1721_26, 237_23	 
Streptococcus sanguinis SK1059 (888823.3)	1387_1	654	800	434	 	92	984	415_10, 93_12	 	 	 	1919_18	 	749	1237_28, 1238_27, 1247_26, 1963_24, 1964_23, 1965_23, 1966_25	 
Streptococcus sanguinis SK1087 (888824.3)	1886_1	633	759	421	 	100	930	407_10	 	 	 	1361_18	 	708	1177_28, 1178_27, 1190_26, 1398_23, 1399_25, 1478_23	 
Streptococcus sanguinis SK115 (888810.3)	2147_1	627	761	439	 	89	928	430_10	 	 	 	1357_18	 	706	1182_28, 1183_27, 1191_26, 1401_23, 1402_23, 1403_25	 
Streptococcus sanguinis SK150 (888811.3)	583_1	1257	1400	1068	 	775	1575	1057_10	 	 	 	2019_18	 	1350	1829_28, 1830_27, 1840_26, 2058_24, 2059_23, 2060_25	 
Streptococcus sanguinis SK160 (888812.3)	933_1	1648	1506	1838	 	2161	1325	1857_10	 	 	 	420_18	 	1560	1070_26, 1079_27, 1080_28, 298_23, 372_25, 373_23, 374_24	 
Streptococcus sanguinis SK330 (888813.3)	2228_1	618	762	403	 	101	932	395_10	 	 	 	1365_18	 	709	1183_28, 1184_27, 1195_26, 1403_23	 
Streptococcus sanguinis SK340 (888814.4)	1912_1	1189	1333	972	 	655	1509	656_12, 953_10	 	 	 	434_18	 	1282	1764_28, 1765_27, 1774_26, 388_25, 389_23, 390_24	 
Streptococcus sanguinis SK353 (888815.3)	1_1	667	803	476	 	187	965	467_10	 	 	 	1394_18	 	752	1206_28, 1207_27, 1215_26, 1432_23	 
Streptococcus sanguinis SK355 (888816.3)	101_1	1695	1558	1897	 	2177	1377	1906_10	 	 	 	928_18	 	1609	1101_26, 1112_27, 1113_28, 808_23, 881_25, 882_23, 883_23	 
Streptococcus sanguinis SK36 (388919.9)	1842_1	1136	990	1347	 	1645	 	1357_10, 1644_12	 	 	 	402_18	 	1043	572_26, 581_28	 
Streptococcus sanguinis SK405 (888817.3)	1303_1	584	729	390	 	83	906	370_10	 	 	 	1819_18	 	676	1143_28, 1144_27, 1158_26, 1856_23, 1857_25, 1928_23	 
Streptococcus sanguinis SK408 (888818.3)	1386_1	606	806	384	 	87	982	362_10	 	 	 	1508_18	 	754	1222_28, 1223_27, 1232_26, 1547_24, 1548_23, 1549_25, 1627_23, 738_23	 
Streptococcus sanguinis SK49 (888808.3)	1811_1	1247	1381	1061	 	1712	900	1052_10	 	 	 	371_18	 	1328	1977_23, 323_25, 324_23, 536_26, 550_27, 551_28	 
Streptococcus sanguinis SK678 (888819.3)	561_1	1271	1138	1461	 	1772	965	1481_10	 	 	 	1981_18	 	1190	2019_24, 2020_23, 2021_25, 708_26, 717_27, 718_28	 
Streptococcus sanguinis SK72 (888809.3)	1728_1	992	861	1191	 	1533	689	1199_10	 	 	 	273_18, 753_18	 	914	160_23, 232_25, 233_23, 438_26, 451_27, 452_28	 
Streptococcus sanguinis VMC66 (888825.3)	1548_1	502	639	310	 	2187	813	302_10	 	 	 	1239_18	 	588	1053_28, 1054_27, 1065_26, 1275_24, 1276_23	 
Streptococcus sp. 2_1_36FAA (469609.3)	1649_1	610	1000	813	 	1588	1296	1587_12, 821_10	 	 	 	328_18	 	 	1800_23, 466_25, 468_23, 478_26, 494_27, 495_28	 
Streptococcus thermophilus CNRZ1066 (299768.6)	379_1	1286	470	1210	 	352	997	353_12	861	860	 	801_18	 	591	1619_25, 308_26, 309_27, 310_28	 
Streptococcus thermophilus JIM 8232 (1051074.3)	392_1	1327	477	1240	 	366	1028	1245_10, 367_12	898	897	 	832_18	 	647	1645_25, 219_23, 322_26, 323_27, 324_28	 
Streptococcus thermophilus LMD-9 (322159.8)	391_1	1305	477	1215	 	365	1004	1220_10, 366_12	882	881	 	2006_18, 815_18	 	609	1639_25, 214_23, 317_26, 318_27, 319_28	 
Streptococcus thermophilus LMG 18311 (264199.4)	385_1	1282	472	1204	 	359	979	360_12	842	841	 	781_18	 	591	1607_25, 209_23, 307_23, 312_26, 313_26, 314_27, 315_27, 316_28, 317_28, 318_28	 
Streptococcus thermophilus MN-ZLW-002 (1187956.3)	375_1	1280	469	1192	 	349	949	1197_10, 350_12	1067	1068	 	1019_18, 1020_18, 1966_18, 786_18	 	591	1611_25, 199_23, 303_26, 304_27, 305_28	 
