Organism	LysC	Asd	DapA	DapB	DapD	DapC	DapE	Lys_NE	DapL	DapH	PatA	DapeL	DapF	Ddh	LysA	LysP	LysXYZ
Ruminococcus gnavus ATCC 29149 (411470.6)	1693, 3106, 3407	2915_2	1066, 1626, 3116, 793	3115	 	 	 	823_12	 	 	 	675_17, 959_17	2259	450	 	 	 
Ruminococcus lactaris ATCC 29176 (471875.6)	932	500_2	1070, 2512	1348	 	 	 	1780_12	 	 	 	530_17	1956	482	 	 	 
Ruminococcus obeum A2-162 (657314.3)	1388, 743	2234_2	1342	1343	 	3219_8	 	3009_12	 	 	 	1374_17, 1572_17	1661	2318, 2990	 	 	2967_26
Ruminococcus sp. 18P13 (213810.4)	340	1930_2	1928	1927	 	 	 	1738_12	 	 	 	1737_17	 	432, 484	 	 	 
Ruminococcus sp. 5_1_39BFAA (457412.4)	1833, 2183	2980_2	2169	2170	 	 	 	1277_12	 	 	 	2179_17, 2307_17, 2308_17	1877	1178	 	 	113_26
Ruminococcus sp. SR1/5 (657323.3)	1537, 2031	1371_2	2048	2047	 	 	 	1411_12	 	 	1314	1905_17	1690	 	 	 	2737_26
Ruminococcus torques ATCC 27756 (411460.6)	177	1782_2	1040	1410	 	 	 	409_12	 	 	 	1591_17	1068	1329	 	 	285_26
Ruminococcus torques L2-14 (657313.3)	1820, 1939	56_2	539	2438	 	 	 	258_12	 	 	 	2836_17	2482	1584, 18	 	 	1415_26
Ruminococcaceae bacterium D16 (552398.3)	1703	1006_2	1007	1008	 	 	 	1968_12	 	 	2276, 985	 	 	1806	1011_22	 	1715_26
Acidaminococcus fermentans DSM 20731 (591001.3)	1167	1168_2	1166	1169	 	 	 	352_12	 	 	281	351_17	1008	1618	 	 	 
Acidaminococcus sp. D21 (563191.3)	803	804_2	802, 899	805	 	 	 	698_12	 	 	1925, 2096, 981	699_17	1244	2074	 	 	 
Dialister invisus DSM 15470 (592028.3)	63	210_2	209	211	 	 	 	31_12	 	 	 	207_17	748	459	 	 	 
Mitsuokella multacida DSM 20544 (500635.8)	247	909_2	975	908	 	 	 	869_12	 	 	 	1134_17	684	809	 	 	 
Veillonella atypica ACS-049-V-Sch6 (866776.4)	444	1630_2	1629	1631	 	 	 	940_12	 	 	 	937_17	938	1615	312_21, 704_22	 	 
Veillonella atypica ACS-134-V-Col7a (866778.4)	102	474_2	475	473	 	 	 	380_12	 	 	 	1434_17	378	640	1574_22, 841_21	 	 
Veillonella dispar ATCC 17748 (546273.3)	1309	175_2	174	176	 	 	 	1744_12	 	 	 	822_17	1743	38	1649_22, 525_21	 	 
Veillonella parvula ATCC 17745 (686660.3)	1652	1456_2	1457	1455	 	 	 	465_12	 	 	 	1054_17	467	1555	41_21, 562_22	 	 
Veillonella parvula DSM 2008 (479436.6)	1103	907_2	908	906	 	 	 	323_12	 	 	 	1536_17	321	1008	223_22, 8_21	 	 
Veillonella sp. 3_1_44 (457416.3)	514	319_2	320	318	 	 	 	1557_12	 	 	 	1076_17	1555	417	1449_22, 800_21	 	 
Veillonella sp. 6_1_27 (450749.3)	505	315_2	1118, 316	314	 	 	 	1471_12	 	 	 	1163_17	1473	411	1573_22, 838_21	 	 
Blautia hansenii DSM 20583 (537007.6)	1405, 1512	1453_2	642	641	 	 	 	701_12	 	 	 	116_17, 2442_17	2675	2554	 	 	1754_26
Blautia hydrogenotrophica DSM 10507 (476272.5)	2121	363_2	1327, 1451, 20, 334, 737, 872	1452	 	 	 	693_12	 	 	 	2692_17	2163	746	 	 	812_26
Flavonifractor plautii ATCC 29863 (411475.3)	765	915_2	1833, 610, 916	917	 	 	 	 	 	 	238	1828_17	1851	1826	3655_22	 	 
Clostridiales bacterium 1_7_47FAA (457421.5)	1187, 4971	610_2	1551, 2720, 3660, 4142, 5044, 5364	5045	 	 	 	336_12	 	 	3962	337_17, 340_17	3267	963	 	360_25, 361_23_24, 361_23_24, 362_23_24, 362_23_24, 545_25, 546_24, 547_23	 
Bulleidia extructa W1219 (679192.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Catenibacterium mitsuokai DSM 15897 (451640.5)	2040, 345	2167_2	2106, 346	347	 	 	 	 	1112	 	1111	1113_17	 	348	 	467_25, 470_25, 471_23, 472_23	 
Coprobacillus sp. 29_1 (469596.3)	1452, 1928, 258	257_2	1927, 2573	1926	 	 	 	 	869	 	 	868_17	1296	1925	 	 	 
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	738, 82	1275_2	1325, 83	84	 	 	 	 	 	 	 	 	1441	85	 	 	 
Holdemania filiformis DSM 12042 (545696.5)	2873, 3432	2011_2, 2874_2	3082, 319	2091	 	 	 	 	2009	 	1770, 3266	2010_17	 	 	 	 	 
Solobacterium moorei F0204 (706433.3)	1889	1890_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Clostridium ramosum DSM 1402 (445974.6)	1575, 2445, 725, 999	1574_2	2444, 726	727	 	 	 	 	1095	 	1096, 2741	1094_17	1902	728	 	 	 
Clostridium spiroforme DSM 1552 (428126.7)	1011, 2228, 757	756_2	2229	2230	 	 	 	 	1685	 	1686	1684_17	 	2231	 	1247_23_24, 1247_23_24	 
Eubacterium biforme DSM 3989 (518637.5)	8, 906	7_2	1402	 	 	 	 	 	 	 	 	 	 	 	 	1868_25, 1869_23, 1870_23	 
Eubacterium cylindroides T2-87 (717960.3)	1426	1424_2, 1425_2	 	 	 	 	 	 	 	 	 	 	 	 	 	1263_23, 1264_23	 
Eubacterium dolichum DSM 3991 (428127.7)	2061, 476	2060_2	1005, 1879, 352	1880	 	 	 	 	 	 	 	 	710	1878	 	 	 
Clostridium innocuum 2959 (999413.4)	1436, 2158, 2502	2159_2	115, 1217, 1434, 2201, 3541, 783	1433	 	 	 	 	1432	 	1438	1435_17	 	1437	 	4333_23	 
Acidaminococcus intestini RyC-MR95 (568816.4)	1087	1086_2	1088, 2215	1085	 	 	 	17_12	 	 	2128, 2137, 317, 49, 696	16_17	911	1625	 	 	 
Phascolarctobacterium sp. YIT 12067 (626939.3)	579	580_2	578	581	 	 	 	1242_12	 	 	 	1241_17	 	914	 	1243_23, 1244_23	1425_26
Dialister succinatiphilus YIT 11850 (742743.3)	651	525_2	526	524	 	 	 	701_12	 	 	129	533_17	1761	831	 	 	 
Megamonas funiformis YIT 11815 (742816.3)	563	1221_2	2360, 578	1222	 	 	 	1116_12	 	 	 	551_17	 	2257	1888_22	 	 
Megamonas hypermegale ART12/1 (657316.3)	794	1607_2	773	1608, 1609	 	 	 	1397_12	 	 	 	813_17	 	486	147_22	 	 
Megasphaera elsdenii (907.4)	337	1374_2	1375	1373	 	 	 	43_12	 	 	1338, 629	850_17	 	1603	1946_21, 2009_22	 	 
Veillonella parvula ACS-068-V-Sch12 (768727.3)	612	418_2	419	417	 	 	 	1087_12	 	 	 	730_17	1085	517	1181_21, 878_22	 	 
Veillonella ratti ACS-216-V-Col6b (883156.3)	106	1835_2	1836	1834	 	 	 	488_12	 	 	 	1091_17	310	1849	346_21	 	 
Fusobacterium gonidiaformans ATCC 25563 (469615.3)	 	 	 	 	 	 	 	 	 	 	356, 410	153_17	 	 	 	 	 
Fusobacterium mortiferum ATCC 9817 (469616.3)	194	193_2	192, 735	191	 	 	 	 	190	 	195, 2234, 2424, 672	1098_17	 	1097	 	2506_23_24, 2506_23_24, 2507_23_24, 2507_23_24, 2508_25	 
Fusobacterium nucleatum subsp. nucleatum ATCC 23726 (525283.3)	 	 	 	 	 	 	 	 	 	 	969	 	 	 	998_22	 	 
Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (190304.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	337_22	 	 
Fusobacterium nucleatum subsp. polymorphum ATCC 10953 (393480.8)	1031	1027_2	 	 	 	 	 	 	 	 	1427, 376	 	 	 	610_22	 	 
Fusobacterium periodonticum ATCC 33693 (546275.3)	1335	1331_2	 	 	 	 	 	 	 	 	1348	 	 	 	1042_22	 	 
Fusobacterium sp. 3_1_33 (469603.3)	 	 	 	 	 	 	 	 	 	 	713	 	 	 	1211_22	 	 
Fusobacterium sp. 7_1 (457405.3)	 	 	 	 	 	 	 	 	 	 	720	 	 	 	2120_22	 	 
Fusobacterium sp. D11 (556264.3)	 	 	 	 	 	 	 	 	 	 	2012, 212, 379	 	 	 	530_22	 	 
Fusobacterium ulcerans ATCC 49185 (469617.3)	2180, 575	2179_2, 576_2	1336, 2871, 578, 701	579	 	 	 	 	580	 	1430, 1738, 2123, 2809, 3045, 412, 573, 768	414_17	 	411	2950_22	 	 
Fusobacterium varium ATCC 27725 (469618.3)	2575	2576_2, 2647_2	2648, 697	2649	 	 	 	 	2650	 	1103, 235, 2495, 2957	1101_17	 	1104	 	 	 
Leptotrichia buccalis C-1013-b (523794.5)	1381, 860	714_2	1379	663	 	 	 	 	2007	 	1587	1380_17	 	1382	 	 	 
Fusobacterium gonidiaformans 3-1-5R (469605.7)	 	 	 	 	 	 	 	 	 	 	644, 697	891_17	 	 	 	 	 
Fusobacterium necrophorum subsp. funduliforme ATCC 51357 (1095747.3)	1762, 1763	1761_2	 	 	 	 	 	 	 	 	1075	862_17	 	 	 	 	 
Fusobacterium necrophorum subsp. funduliforme Fnf 1007 (1161424.3)	1993	1994_2	 	 	 	 	 	 	 	 	1804	1273_17	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 11_3_2 (457403.8)	 	 	 	 	 	 	 	 	 	 	157, 232	 	 	 	2114_22	 	 
Fusobacterium nucleatum subsp. animalis 21_1A (469601.8)	 	 	 	 	 	 	 	 	 	 	776	 	 	 	1728_22	 	 
Fusobacterium nucleatum subsp. animalis 4_8 (469607.3)	 	 	 	 	 	 	 	 	 	 	1364	 	 	 	344_22	 	 
Fusobacterium nucleatum subsp. animalis 7_1 (457405.10)	 	 	 	 	 	 	 	 	 	 	1245	 	 	 	179_22	 	 
Fusobacterium nucleatum subsp. animalis OT 420 (999414.3)	 	 	 	 	 	 	 	 	 	 	137	 	 	 	1220_22	 	 
Fusobacterium nucleatum subsp. polymorphum F0401 (693991.3)	1463	1470_2	 	 	 	 	 	 	 	 	1627, 1654, 46	 	 	 	802_22	 	 
Fusobacterium nucleatum subsp. vincentii 3_1_36A2 (469604.7)	 	 	 	 	 	 	 	 	 	 	529	 	 	 	1618_22	 	 
Fusobacterium nucleatum subsp. vincentii 4_1_13 (469606.8)	 	 	 	 	 	 	 	 	 	 	569	 	 	 	1748_22	 	 
Fusobacterium periodonticum 1_1_41FAA (469621.8)	1181	1185_2	 	 	 	 	 	 	 	 	1171	 	 	 	80_22	 	 
Fusobacterium periodonticum 2_1_31 (469599.8)	101	97_2	 	 	 	 	 	 	 	 	115, 665	 	 	 	1064_22	 	 
Fusobacterium russii ATCC 25533 (1278306.3)	799	798_2	792	 	 	 	 	 	 	 	1287	 	 	 	 	 	 
Fusobacterium ulcerans 12-1B (457404.5)	1358, 91	1359_2, 92_2	208, 2785, 3435, 94	95	 	 	 	 	96	 	1415, 1654, 1967, 258, 259, 2876, 3147, 3180, 860, 89	862_17	 	1260, 859	3355_22	 	 
Schlesneria paludicola DSM 18645 (1123242.3)	2018	3458_2	3529, 3573, 4969, 6302, 7040	1716	 	 	 	942_12	 	 	2313	6627_17	 	3460, 3835	 	 	 
Brevundimonas diminuta 470-4 (1035191.3)	2715, 333	1958_2	1224, 262, 412	2293	2517	 	288	 	 	 	676, 807	1938_17	 	2343	 	 	 
Bartonella quintana RM-11 (1225179.3)	383	1227_2	540	1184	83	 	60	 	 	 	 	1685_17	 	1621	 	 	 
Bartonella quintana str. Toulouse (283165.4)	347	1098_2	481	1064	73	 	53	 	 	 	 	1483_17	 	1428	 	 	 
Afipia birgiae 34632 (1197906.5)	4525	4070_2	1523, 1658, 3442	4248	4653	4176_9	4652	 	 	 	2839	4048_17	 	4949	 	 	 
Bradyrhizobium elkanii USDA 76 (398525.3)	1156, 6558	1704_2, 5439_2	2884, 5320, 6031, 6228, 7724, 8014, 9029	1487	2065, 7404	1558_9	2063	 	 	 	4176	1732_17	 	445	2631_22	 	 
Bradyrhizobium japonicum USDA 110 (224911.5)	210	4757_2, 512_2	3301, 3891, 5152, 6953, 7591	706	8339	632_9	8341	 	 	 	2672	487_17	 	1438	 	 	 
Bradyrhizobium japonicum USDA 124 (1038862.3)	5576, 7323	1392_2, 6002_2	1712, 2329, 3203, 3387, 386, 5769, 5857, 6312	6751	4529, 7786	7351_9	7788	 	 	 	3725, 6910	5969_17	 	2693	4243_22	 	 
Bradyrhizobium japonicum USDA 6 (1037409.3)	215, 3209, 7182	473_2, 5074_2	1946, 2120, 2655, 4488, 4672, 5388, 5618, 6000, 7146	666	1234	590_9	1231	 	 	 	4068, 4631, 6797, 7140	446_17	 	1504	1657_22	 	 
Bradyrhizobium japonicum WSM2793 (1038866.3)	1664	3033_2, 3673_2	2050, 3098, 3344, 4568, 6552, 6869	5353	1315	5427_9	1317	 	 	 	1005, 1296, 6097, 8070	3008_17	 	1843, 7643	7543_22	 	 
Ochrobactrum anthropi ATCC 49188 (439375.7)	1084	3445_2	2312, 2783	1393	1420	 	1415	 	 	 	 	972_17	 	1045	3450_22, 540_22	 	 
Ochrobactrum anthropi CTS-325 (1151114.3)	8	1048_2	1051, 2778, 3218, 4316, 740	1977	2006	 	2002	 	 	 	1073, 2901, 3042, 3788	125_17	 	47	1052_22, 115_22, 887_22	 	 
Methylobacterium mesophilicum SR1.6/6 (908290.3)	1665	1677_2	3653, 3694, 4706	1684	3404	 	490	 	 	 	1858, 2213	926_17	 	2973	 	 	 
Methylobacterium populi BJ001 (441620.7)	932	2870_2	3444	2489	1701	 	1635	 	 	 	2859	2888_17	 	1758, 3685	 	 	 
Methylobacterium radiotolerans JCM 2831 (426355.14)	160	147_2	1949	139	4195	 	3219	 	 	 	4897	5389_17	 	4134	 	 	 
Mesorhizobium loti MAFF303099 (266835.9)	2735	3465_2	3159, 5001, 5057, 6201, 813	3670, 6357	3826	 	3831	 	 	 	6353	3408_17	 	2794	 	 	 
Mesorhizobium loti NZP2037 (935546.3)	4732	5466_2	207, 5178, 782, 91	5661, 951	5819	 	5823	 	 	 	1335, 6768, 946	5408_17	 	4791	 	 	 
Agrobacterium tumefaciens str. Cherry 2E-2-2 (1281779.3)	3146	3239_2	2291, 255, 2886, 340, 4507, 4563, 89	4740	629	 	630	 	287	 	947	1130_17	 	3904, 5212	4067_22	 	 
Agrobacterium tumefaciens CCNWGS0286 (1082932.3)	4089	1123_2	1110, 1699, 2451, 2645, 4370, 4719	3327	962	 	963	 	2613	 	1861, 2050, 3106	2011_17	 	4698, 597	1587_22, 1944_22	 	 
Agrobacterium tumefaciens str. C58 (176299.10)	3986	2502_2	1037, 3777, 4757, 5066, 5129, 898	174	362	 	361	 	 	 	 	2705_17	 	1691, 3447	2636_22, 4075_22	 	 
Achromobacter xylosoxidans AXX-A (1003200.3)	289	4017_2	1060, 1223, 1896, 3208, 3242, 355, 5663	3182	2499, 5865	5864_9	5866	 	1845	 	2198	1810_17	 	1922, 5950	4269_22, 4588_21, 4753_21	 	 
Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	1897	264_2	1944, 2296, 3478	2239	1222	 	1223	 	 	 	535	2738_17	1688	3257	1415_22, 1689_22	 	 
Burkholderia cenocepacia AU 1054 (331271.8)	6204	4601_2	1603, 1632, 5119, 5436, 5952, 6182	171, 3700	6250	6251_9	6248	 	 	 	6658	2594_17, 5451_17	 	3616, 5831	2263_22, 3219_22, 3229_21, 4610_21, 4846_21, 4913_22, 5856_22, 830_22	 	 
Burkholderia cenocepacia H111 (1055524.3)	6553	2554_2	1864, 201, 5675, 6438, 6530	2937, 3827	6603	6604_9	6601	 	 	 	6008	2010_17, 218_17	 	5807, 7027	1396_22, 1407_21, 1753_22, 2127_22, 2334_22, 2565_21, 2740_21, 5221_22, 5780_22, 7086_22	 	 
Burkholderia cenocepacia HI2424 (331272.8)	2111	4043_2	2133, 3316, 5749, 6270, 6415, 6443	4937, 647	2066	2065_9	2068	 	 	 	6848	3172_17, 5734_17	 	5020, 6150	1300_22, 2844_22, 3529_22, 3731_22, 3797_21, 4034_21, 5406_21, 5416_22, 6175_22	 	 
Burkholderia cenocepacia J2315 (216591.5)	2233	4709_2	2256, 6602, 674, 6786	3503, 5764	2184	2183_9	2186	 	3240	 	7105	528_17, 6579_17	 	3935, 5845, 6904	1308_22, 4179_22, 4388_22, 4455_21, 4699_21, 487_22, 6278_21, 6288_22, 6879_22, 860_22	 	 
Burkholderia cenocepacia MC0-3 (406425.4)	2165	4854_2	2188, 3938, 4077, 4283, 5922	634, 6781	2120	2119_9	2122	 	 	 	3579	3225_17, 5936_17	 	3828, 5581, 6697	1300_22, 2899_22, 3267_22, 3853_22, 4863_21, 5100_21, 5168_22, 5370_22, 6287_22, 6299_21	 	 
Burkholderia cepacia R18194 (269483.3)	6757	2135_2	1291, 4360, 6799	5378, 826	6682	6681_10	6684	 	 	 	5594	1034_17, 7252_17	 	3929, 662	2146_21, 2373_22, 2412_22, 2460_21, 381_21, 3975_22, 7219_22, 7594_22	 	 
Burkholderia cepacia GG4 (1009846.3)	1422	5001_2	1397	2998, 3806	1474	1475_9, 2439	1472	 	 	 	 	369_17	 	3736	2256_22, 3326_22, 3336_21, 406_22, 5008_21, 5268_21, 5324_22, 5447_22, 693_22	 	 
Cupriavidus metallidurans CH34 (266264.4)	1494	2867_2	1473, 5580	3366, 3601	1825	1826_10	1822	 	 	 	426	558_17	 	3667	2254_21, 5309_21	 	 
Lautropia mirabilis ATCC 51599 (887898.3)	846	2123_2	2088	386	1993	1991_10	 	 	 	 	 	1429_17	 	708	1634_21	 	 
Ralstonia sp. 5_7_47FAA (658664.3)	2704	4953_2	2149, 2209, 2679, 2904	2716	3619	1727, 3618_9	1171, 3622	 	 	 	2895, 3072	1740_17	 	4358	1495_22, 1863_22, 3452_21, 3453_21, 3933_22, 525_22	 	 
Comamonas testosteroni CNB-2 (688245.4)	1352	1142_2	1302	4888	2524	2523_9	2526, 3935	 	 	 	274, 4527	4357_17	3532	4103	1088_21, 2572_21	 	 
Comamonas testosteroni NBRC 100989 (1111078.3)	3717	3912_2	3765	4880	4411	4410_10	4413	 	 	 	 	650_17	3998	4678	3968_21, 865_21	 	 
Comamonas testosteroni S44 (563045.3)	4704	1552_2	1709	217	1889	1890_9	1318, 1887	 	 	 	1290, 3155, 3849, 4668	3980_17	1409	2689	1834_21, 3316_21	 	 
Delftia acidovorans CCUG 15835 (883100.3)	4895	552_2	578, 706	5418	4229	4228_9	2978, 4231	 	 	 	4932, 6225	3671_17	4929	5297	1182_21	 	 
Delftia acidovorans CCUG 274B (883101.3)	6094	3034_2	2881, 3007	2402	1033	1034_9	1031, 5279	 	 	 	3353, 6029	3326_17	6032	4480	1444_21	 	 
Delftia acidovorans SPH-1 (398578.5)	2551	5289_2	3379, 5138, 5263	6080	3651	3652_9	2130, 3649	 	 	 	2515	1484_17	2518	1837	4342_21	 	 
Oxalobacter formigenes HOxBLS (556268.6)	54	1690_2	1730	2469	1502	1501_10	1503	 	 	 	 	2643_17	2348	2526	 	 	 
Oxalobacter formigenes OXCC13 (556269.4)	1284	452_2	484	1129	276	275_9	277	 	 	 	 	72_17	1025	1188	 	 	 
Parasutterella excrementihominis YIT 11859 (762966.3)	871	2035_2	86	844	1811	1810_9	1812	 	1389	 	2210	296_17	 	375	 	 	 
Sutterella wadsworthensis 2_1_59BFAA (742823.3)	1906	1907_2	2005	2004	 	 	 	 	2003	 	1165, 1299, 2007, 2048	593_17	 	776	871_21	 	 
Sutterella wadsworthensis 3_1_45B (742821.3)	122	124_2	149	148	 	 	 	 	147	 	146	354_17	 	1890	 	 	 
Sutterella wadsworthensis HGA0223 (1203554.3)	1303	1301_2	1266	1267	 	838_8	 	 	1268	 	1269, 1804, 759	2332_17	 	2530, 280	283_21	 	 
Burkholderiales bacterium 1_1_47 (469610.4)	474	625_2	1743	1284	1968	1969_9	1967	 	 	 	1795, 1925, 2231	171_17	 	995	2365_22	 	 
Eikenella corrodens ATCC 23834 (546274.4)	437	44_2	769	1541	1546	325_10	1627	 	 	 	 	671_17	 	 	1267_21, 1967_22, 1970_21	 	 
Kingella oralis ATCC 51147 (629741.3)	430	140_2	1583	425	2313	1596_10	1985	 	 	 	 	2118_17	 	1630	2080_22, 2741_22	 	 
Laribacter hongkongensis HLHK9 (557598.3)	764	1163_2	665	1318	646	645_10	1768	 	 	 	 	1702_17	 	21	2648_22, 411_21	 	2053_26
Neisseria cinerea ATCC 14685 (546262.4)	159	1324_2	274	727	1013	263_9	191	 	 	 	 	1486_17	 	1285	 	 	 
Neisseria elongata subsp. glycolytica ATCC 29315 (546263.3)	2034	1945_2	2105	305	1999	2018_9	331	 	554	 	 	799_17	 	2732	 	 	 
Neisseria flavescens NRL30031/H210 (546264.5)	84	2039_2	201	2202	2206	596_9	332	 	 	 	 	117_17	 	1652	 	 	 
Neisseria flavescens SK114 (596320.3)	1698	1940_2	259	616	612	1192_9	735	 	 	 	 	1731_17	 	991	 	 	 
Neisseria macacae ATCC 33926 (997348.4)	970	439_2	1190	2688	437, 438	1646_9	676	 	 	 	 	2010_17	 	2136	 	 	 
Neisseria mucosa ATCC 25996 (546266.6)	2169	373_2	15	1327	1925	2083_9	2059	 	 	 	 	741_17	 	2656	 	 	 
Neisseria mucosa C102 (435832.3)	79	1215_2	839	1961	1957	1024_9	1742	 	 	 	 	35_17	 	1489	 	 	 
Neisseria subflava NJ9703 (546268.4)	514	419_2	978	2159	2100	1286_9	835	 	 	 	 	473_17	 	144	 	 	 
Methyloversatilis universalis EHg5 (999628.3)	1514	2621_2	2594, 910	1201	1965	1964_9	1967	 	 	 	 	3390_17	 	3283, 3535	 	 	 
Methyloversatilis universalis FAM5 (1000565.3)	685	2494_2	2519	326	1241	1240_9	1243	 	 	 	 	2772_17	 	1799, 3146	 	 	 
Aeromonas caviae Ae398 (878320.4)	1395, 2170, 3586, 600	2319_2, 2987_2	3639, 962	3030	1199	1637_8	1856	 	 	 	1769	471_17	 	470	 	 	2826_26
Aeromonas hydrophila 113 (1268075.3)	2001, 2136, 2733, 622	2333_2, 509_2	2228, 27	4233	424	1652_8	3355	 	 	 	 	1110_17	 	1111	 	 	2948_26
Aeromonas hydrophila 14 (1268074.3)	1613, 1748, 3557, 359	3674_2, 506_2	3650, 3974	3387	1420	1954_8	3876	 	 	 	 	3780_17	 	3779	 	 	2382_26
Aeromonas hydrophila 173 (1268076.3)	14, 3325, 3326, 4131, 893	2586_2, 777_2	111, 1262	3866	2420	1028_8	2004	 	 	 	 	2318_17	 	2319	 	 	2683_26
Aeromonas hydrophila 187 (1268077.3)	1469, 2401, 2957, 3989	2575_2, 3108_2	1681, 2307	3223	1277	819_8	3730	 	 	 	 	4169_17	 	4168	 	 	876_26
Aeromonas hydrophila 259 (1268079.3)	1507, 1794, 3162, 527	1970_2, 3037_2	2166, 955	3917	408	2282_8	4146	 	 	 	 	4066_17	 	4065	 	 	2952_26
Aeromonas hydrophila 277 (1268080.3)	1050, 2110, 324, 3340	1642_2, 902_2	2498, 3433	33	2738	3024_8	603	 	 	 	 	1991_17	 	1990	 	 	1816_26
Aeromonas hydrophila ML09-119 (1288394.3)	2761, 3286, 4005, 614	2112_2, 2878_2	3015, 4098, 924	2929	1258	3446_8	1654	 	 	 	1877	494_17	 	493	 	 	2007_26
Aeromonas hydrophila SNUFPC-A8 (1232673.3)	1261, 191, 3841, 4480	2177_2, 22_2	1999, 3166	4022	816	1579_8	2798	 	 	 	 	1141_17	 	1140	 	 	4258_26
Aeromonas hydrophila SSU (1073377.4)	1730, 2214, 2959, 4151	1074_2, 1879_2	2698, 3050	1928	2404	292_8	574	 	 	 	 	4031_17	 	4030	 	 	941_26
Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.7)	2568, 3021, 3686, 586	1961_2, 2688_2	3776, 897	2733	1177	3174_8	1487	 	 	 	 	467_17	 	466	 	 	1837_26
Aeromonas media WS (1208104.3)	1537, 1705, 3624	2438_2, 761_2	153, 1687	1916	3002	2769_8	903	 	 	 	937	3047_17	 	3048	 	 	3640_26
Aeromonas veronii AER39 (1073382.3)	1511, 2544, 329, 3632	112_2, 345_2	3050, 3626	2296	2793	929_8	2444	 	 	 	3074	1676_17	 	1677	 	 	2059_26
Aeromonas veronii AER397 (1073384.3)	121, 152, 2102, 898	1582_2, 2118_2	148, 391	2269	650	2706_8	1004	 	 	 	366	3416_17	 	3417	 	 	1382_26
Aeromonas veronii AMC34 (1073383.3)	1317, 1348, 2614, 3661	2558_2, 2736_2	122, 1344	3528	1830	3910_8	2205	 	 	 	145	1192_17	 	1191	 	 	3244_26
Aeromonas veronii AMC35 (1073385.3)	1663, 2921, 882, 914	2380_2, 2937_2	1152, 910	3088	1409	3504_8	1771	 	 	 	1127, 3285	164_17	 	165	 	 	2139_26
Aeromonas veronii B565 (998088.4)	1597, 2840, 3607, 3639	1581_2, 2115_2	3376, 3611	1433	3089	996_8	2734	 	 	 	3401	286_17	 	285	 	 	2312_26
Succinatimonas hippei YIT 12066 (762983.3)	1839, 516	1387_2, 1650_2	1623, 1855, 773, 833	1788	797	 	1654	 	 	 	 	334_17	 	478	 	 	 
Cedecea davisae DSM 4568 (566551.4)	40, 431, 4376	4010_2	3036	453	568	3948_8	3029	 	 	 	 	4433_17	 	3477	2788_21	 	 
Citrobacter freundii GTC 09629 (1297584.3)	2636, 265, 3514, 692	1311_2, 2473_2	2599, 4795	240	109	1374_8	4802	 	 	 	 	37_17	 	3857	2315_21, 27_22	 	 
Citrobacter freundii 4_7_47CFAA (742730.3)	1901, 26, 3950, 659	1165_2, 4637_2	4762, 63	1877	1737	1223_8	4755	 	 	 	 	1614_17	 	235	1603_22, 4482_21	 	 
Citrobacter freundii GTC 09479 (1288347.3)	1447, 2467, 4429, 673	1933_2, 4615_2	3853, 4462	2499	2632	4550_8	3860	 	 	 	 	1377_17	 	3209	1387_22, 2092_21	 	 
Citrobacter freundii str. ballerup 7851/39 (670484.3)	1605, 3409, 3451, 4345	2234_2, 2235_2, 3904_2	2375, 3488	4373	4501	3962_8	2368	 	 	 	 	4583_17	 	2825	2070_21, 4571_22	 	 
Citrobacter koseri ATCC BAA-895 (290338.8)	2556, 2841, 3264	4052_2	2586, 263	2813	2679	3990_8	270	 	 	 	 	127_17	 	3519	537_21	 	 
Citrobacter sp. 30_2 (469595.3)	177, 3313, 4385, 4575	3654_2, 746_2	4540, 857	3339	3483	3589_8	850	 	 	 	 	4638_17	 	2680	4649_22, 600_21	 	 
Citrobacter youngae ATCC 29220 (500640.5)	1861, 4392, 4606, 805	2463_2, 347_2	1404, 1548, 2616, 2731, 4645	832	966	403_8	2723	 	 	 	4156	4538_17	 	4244	2301_21, 4549_22	 	 
Cronobacter sakazakii 2151 (1159489.3)	1064, 638, 76	226_2, 3162_2	3279, 3913	1097	1219	161_8	3272	 	 	 	 	697_17	 	3580	1352_21, 3043_21, 710_22	 	 
Cronobacter sakazakii ES15 (1138308.5)	3311, 3736, 388	239_2	1041	3278	3160	303_8	1048	 	 	 	 	3678_17	 	740	1318_21, 3023_21	 	 
Cronobacter sakazakii ES35 (1159614.3)	3841, 4056, 844	3093_2, 431_2	3214	811	689	494_8	3207	 	 	 	 	609_17	 	3479	1272_21, 2912_21, 594_22, 595_22	 	 
Cronobacter sakazakii ES713 (1045857.3)	1457, 2220, 2221, 687	1128_2, 442_2	315, 63	2184	2052	1063_8	322	 	 	 	 	925_17	 	 	2723_21, 562_21, 938_22	 	 
