Organism	PurF	PurD	PurNT	PurLQS	PurM	PurEK	PurC	PurB	PurH1	PurH2	PurA	GuaB	GuaA	GuaC	XanQ	Xpt
Escherichia coli 2875000 (1116035.3)	2616	4584	2126_4, 2841_3	2903_5_6, 2903_5_6	2840_8	719_9	2814_10	1425_11	4585_12	4585_12	4785	2851_17	2850_19	287	4237, 709	 
Escherichia coli 2875150 (1116036.3)	3068	4828	2545_4, 3232_3	3275_5_6, 3275_5_6	3231_8	957_9	3207_10	1723_11	4829_12	4829_12	5026	3023_17	3024_19	515	4440	 
Escherichia coli 3.2303 (869691.4)	2544	4301	2376_3	3062_5_6, 3062_5_6	2377_8	344_9	2401_10	3538_11	4300_12	4300_12	3901	3115_17	3116_19	2788	2009, 4215	 
Escherichia coli 3.2608 (869679.4)	1900	3834	1312_4, 2077_3	2141_5_6, 2141_5_6	2076_8	4845_9	2049_10	514_11	3835_12	3835_12	4100	2087_17	2086_19	4434	3483	 
Escherichia coli 3.3884 (869689.4)	3569	4778	3752_3, 723_4	3813_5_6, 3813_5_6	3751_8	2085_9	3724_10	1365_11	4777_12	4777_12	4600, 4601	3761_17	3760_19	4282	3270	 
Escherichia coli 3.4870 (1005450.3)	3188	5012	3365_3	3431_5_6, 3431_5_6	3364_8	745_15	3340_10	1690_11	5013_12	5013_12	5197	3374_17	3373_19	245	3741, 4569	 
Escherichia coli 3003 (869692.4)	2261	481	2089_3	1986_5_6, 1986_5_6	2090_8	4231_22, 4232_9	2102_10	3814_11	480_12	480_12	222	2037_17	2038_19	4646	1697, 897	 
Escherichia coli 3006 (1005565.3)	2698	4549	2129_4, 2989_3	3052_5_6, 3052_5_6	2988_8	573_9	2963_10	1393_11	4550_12	4550_12	4718	2998_17	2997_19	135	3368, 4193	 
Escherichia coli 3431 (670892.3)	4259	2274	4421_3	4497_5_6, 4497_5_6	4420_8	3160_9	4396_10	3964_11	2275_12	2275_12	2497	4445_17	4444_19	3611	1230, 4977, 4982	 
Escherichia coli 4.0522 (869681.4)	1933	5479	150_3, 3129_4	86_5_6, 86_5_6, 87_5_6, 87_5_6	151_8	2861_9	176_10	4981_11	5478_12	5478_12	612	141_17	142_19	1146	4832, 5842	 
Escherichia coli 4.0967 (869687.5)	4843, 4844	519	2583_3, 3481_4	2647_5_6, 2647_5_6	2582_8	4481_9	2555_10	1918_11	518_12	518_12	3607	2593_17	2592_19	4061	 	 
Escherichia coli 4_1_47FAA (1127356.4)	3830	5386	3150_3, 4885_4	3224_5_6, 3224_5_6	3149_8	325_9	3123_10	5393_11	5387_12	5387_12	824, 825	3162_17	3161_19	2896	1460, 4415	 
Escherichia coli 5.0588 (869671.4)	1720	3491	1217_4, 1954_3	2017_5_6, 2017_5_6	1953_8	4459_9	1929_10	4756_11	3492_12	3492_12	3727	1963_17	1962_19	4046	3138	 
Escherichia coli 5.0959 (869684.5)	3914	471	3657_3, 4458_4	3595_5_6, 3595_5_6	3658_8	2521_9	3684_10	5307_11	470_12	470_12	3431	3647_17	3648_19	2105	1714, 825	 
Escherichia coli 5.2239 (1005452.3)	3206	5029	3386_3	3452_5_6, 3452_5_6	3385_8	902_15	3361_10	1831_11	5030_12	5030_12	5231	3395_17	3394_19	358	3795, 4621	 
Escherichia coli 536 (362663.9)	2382	4265	2537_3	2596_5_6, 2596_5_6	2536_8	585_9, 586_22	2523_10	1147_11	4266_12	4266_12	4468	2546_17	2545_19	111	2914, 3803	 
Escherichia coli 53638 (344610.7)	4008	2141	3830_3	3764_5_6, 3764_5_6	3831_8	1152_9	3858_10	4815_11	2140_12	2140_12	1948	3821_17	3822_19	1634	2550, 3389	 
Escherichia coli 541-1 (752786.3)	4346	30	3883_4, 4513_3	4575_5_6, 4575_5_6	4512_8	2336_9	4486_10	1834_11	31_12	31_12	3218	4522_17	4521_19	2836	2553	 
Escherichia coli 541-15 (752785.3)	1698	1949	1544_3, 2193_4	271_5_6, 271_5_6	1545_8	2869_9, 2870_22	1572_10	3933_11	1950_12	1950_12	447	322_17	323_19	594	2693, 3292	 
Escherichia coli 5412 (1005561.3)	3040	4869	3218_3	3284_5_6, 3284_5_6	3217_8	644_9	3193_10	1514_11	4870_12	4870_12	5086	3229_17	3228_19	168	3631, 4459	 
Escherichia coli 55989 (585055.8)	2598	4520	2059_4, 2823_3	2883_5_6, 2883_5_6	2822_8	549_9	2795_10	1275_11	4521_12	4521_12	4756	2832_17	2831_19	106	3210, 4155	 
Escherichia coli 5905 (1005558.3)	3453	5327	3654_3	3718_5_6, 3718_5_6	3653_8	980_9	3629_10	1845_11	5328_12	5328_12	5517	3663_17	3662_19	412	4949	 
Escherichia coli 6.0172 (1005455.3)	3171	5087	3440_3	3506_5_6, 3506_5_6	3439_8	730_15	3415_10	1725_11	5088_12	5088_12	3288	3449_17	3448_19	233	3851, 4678	 
Escherichia coli 75 (752788.3)	1372	2350	1539_3	1600_5_6, 1600_5_6	1538_8	3621_15	1515_10	3017_11	2351_12	2351_12	776	1548_17	1547_19	327	2051, 2417	 
Escherichia coli 8.0416 (1005463.3)	2997	4767	3199_3	3267_5_6, 3267_5_6	3198_8	585_15	3174_10	1389_11	4768_12	4768_12	4985	3209_17	3208_19	80	3609, 4342	 
Escherichia coli 8.0566 (1005462.3)	2361	4213	2584_3	2666_5_6, 2666_5_6	2583_8	579_9	2559_10	1166_11	4214_12	4214_12	4396	2613_17	2612_19	146	3861, 570	 
Escherichia coli 8.0569 (1005464.3)	2315	4184	2578_3	2660_5_6, 2660_5_6	2577_8	539_9	2553_10	1087_11	4185_12	4185_12	4367	2607_17	2606_19	98	3841, 530	 
Escherichia coli 8.0586 (1005461.3)	3278	5145	3507_3	3574_5_6, 3574_5_6	3506_8	848_15	3482_10	1723_11	5146_12	5146_12	5369	3517_17	3516_19	346	3913, 4736	 
Escherichia coli 8.2524 (1005460.3)	2986	4876	3208_3	3274_5_6, 3274_5_6	3207_8	615_15	3183_10	1537_11	4877_12	4877_12	5077	3217_17	3216_19	113	3615, 4465, 606	 
Escherichia coli 83972 (525281.3)	4120	4718	4273_3	4331_5_6, 4331_5_6	4272_8	2386_22, 2387_9	4259_10	344_11	4717_12	4717_12	1693	4282_17	4281_19	1164	3129, 4620, 4625	 
Escherichia coli 88.0221 (1005397.3)	3016	4890	3265_3	3333_5_6, 3333_5_6	3264_8	852_15	3240_10	1597_11	4891_12	4891_12	5089	3275_17	3274_19	356	3664, 4490, 843	 
Escherichia coli 88.1042 (1005398.3)	3064	4924	3288_3	3354_5_6, 3354_5_6	3287_8	731_15	3263_10	1641_11	4925_12	4925_12	3186	3297_17	3296_19	243	3693, 4516	 
Escherichia coli 88.1467 (1005396.3)	3134	4984	3349_3	3416_5_6, 3416_5_6	3348_8	819_15	3324_10	1692_11	4985_12	4985_12	5184	3358_17	3357_19	316	3757, 4580	 
Escherichia coli 89.0511 (1005399.3)	2984	4779	3215_3	3284_5_6, 3284_5_6	3214_8	674_15	3190_10	1578_11	4780_12	4780_12	5065	3225_17	3224_19	188	3619, 4443	 
Escherichia coli 9.0111 (869686.4)	1128	30	5879_4, 953_3	890_5_6, 890_5_6	954_8	5264_22, 5265_9	978_10	112_11	31_12	31_12	3929	943_17	944_19	5648	352	 
Escherichia coli 9.1649 (869685.3)	3449	297	2873_4, 3601_3	3660_5_6, 3660_5_6	3600_8	1419_9, 1420_22	3589_10	2163_11	298_12	298_12	509	3610_17	3609_19	968	3986, 4821	 
Escherichia coli 90.0039 (1005401.3)	2935	4780	3127_3	3196_5_6, 3196_5_6	3126_8	589_15	3102_10	1510_11	4781_12	4781_12	4981	3137_17	3136_19	4	3556, 4382	 
Escherichia coli 90.0091 (1005400.3)	3308	5177	3545_3	3612_5_6, 3612_5_6	3544_8	852_15	3520_10	1830_11	5178_12	5178_12	5384	3555_17	3554_19	372	3950, 4776	 
Escherichia coli 90.2281 (1005402.3)	3160	4967	3338_3	3404_5_6, 3404_5_6	3337_8	842_15	3313_10	1707_11	4968_12	4968_12	5155	3347_17	3346_19	348	3741, 4561	 
Escherichia coli 900105 (10e) (869695.4)	5679	1562	3936_4, 5424_3	5316_5_6, 5316_5_6	5425_8	5179_9	5452_10	3230_11	1561_12	1561_12	3641	5370_17	5371_19	1180	1739, 2796	 
Escherichia coli 93-001 (1005481.3)	3175	4982	3376_3	3442_5_6, 3442_5_6	3375_8	820_15	3351_10	1748_11	4983_12	4983_12	5166	3385_17	3384_19	337	3777, 4589	 
Escherichia coli 93.0055 (1005403.3)	2967	4788	3147_3	3213_5_6, 3213_5_6	3146_8	593_15	3123_10	1476_11	4789_12	4789_12	4978	3156_17	3155_19	92	3555, 4379	 
Escherichia coli 93.0056 (1005404.3)	3120	4955	3306_3	3372_5_6, 3372_5_6	3305_8	790_15	3281_10	1727_11	4956_12	4956_12	5142	3315_17	3314_19	290	3718, 4543	 
Escherichia coli 93.0624 (869680.4)	1836	4907	3383_3, 5178_4	3321_5_6, 3321_5_6	3384_8	83_9	3411_10	692_11	4906_12	4906_12	3081	3374_17	3375_19	1554	3806	 
Escherichia coli 94.0618 (1005405.3)	3028	4899	3250_3	3318_5_6, 3318_5_6	3249_8	697_15	3225_10	1613_11	4900_12	4900_12	5088	3260_17	3259_19	194	3660, 4487	 
Escherichia coli 95.0183 (1005406.3)	3143	5028	3358_3	3425_5_6, 3425_5_6	3357_8	840_15	3334_10	1791_11	5029_12	5029_12	5284	3367_17	3366_19	337	3754, 4630	 
Escherichia coli 95.0941 (869674.3)	3592	777	3129_4, 3762_3	3822_5_6, 3822_5_6	3761_8	1761_9	3734_10	2405_11	778_12	778_12	955	3771_17	3770_19	1283	406, 4146	 
Escherichia coli 95.0943 (1005408.3)	3170	5049	3386_3	3453_5_6, 3453_5_6	3385_8	736_15	3361_10	1686_11	5050_12	5050_12	3285	3396_17	3395_19	234	3814, 4638	 
Escherichia coli 95.1288 (1005407.3)	2725	4489	2898_3	2964_5_6, 2964_5_6	2897_8	561_15	2873_10	1348_11	4490_12	4490_12	4676	2907_17	2906_19	81	3275, 4056	 
Escherichia coli 96.0107 (1005415.3)	3120	4937	3300_3	3366_5_6, 3366_5_6	3299_8	778_15	3275_10	1648_11	4938_12	4938_12	5125	3309_17	3308_19	324	3706, 4532	 
Escherichia coli 96.0109 (1005414.3)	3097	4938	3309_3	3375_5_6, 3375_5_6	3308_8	734_15	3283_10	1694_11	4939_12	4939_12	5126	3318_17	3317_19	238	3720, 4542	 
Escherichia coli 96.0427 (1005411.3)	3040	4901	3274_3	3340_5_6, 3340_5_6	3273_8	669_15	3249_10	1550_11	4902_12	4902_12	5089	3283_17	3282_19	179	3681, 4501	 
Escherichia coli 96.0428 (1005410.3)	3105	4933	3284_3	3349_5_6, 3349_5_6	3283_8	821_15	3259_10	1638_11	4934_12	4934_12	5123	3293_17	3292_19	325	3688, 4526	 
Escherichia coli 96.0497 (869677.4)	2463	4307	1958_4, 2637_3	2697_5_6, 2697_5_6	2636_8	359_9	2609_10	1176_11	4308_12	4308_12	4484	2646_17	2645_19	4803	3916	 
Escherichia coli 96.0932 (1005413.3)	3144	4965	3321_3	3386_5_6, 3386_5_6	3320_8	870_15	3296_10	1642_11	4966_12	4966_12	5167	3330_17	3329_19	330	3734	 
Escherichia coli 96.0939 (1005412.3)	3137	5018	3317_3	3433_5_6, 3433_5_6	3316_8	792_15	3293_10	1609_11	5019_12	5019_12	5218	3376_17	3375_19	273	3774, 4604	 
Escherichia coli 96.154 (869683.4)	1005	2713	1186_3, 546_4	1246_5_6, 1246_5_6	1185_8	3691_9	1159_10	4392_11	2714_12	2714_12	2962	1195_17	1194_19	3281	2363	 
Escherichia coli 97.0003 (1005416.3)	3095	4937	3317_3	3384_5_6, 3384_5_6	3316_8	807_15	3292_10	1711_11	4938_12	4938_12	5125	3326_17	3325_19	300	3715, 4489	 
Escherichia coli 97.0010 (1005419.3)	2958	4830	3192_3	3258_5_6, 3258_5_6	3191_8	639_15	3167_10	1542_11	4831_12	4831_12	5018	3201_17	3200_19	158	3579, 4447	 
Escherichia coli 97.0246 (869670.4)	1665	5376	1837_3	1900_5_6, 1900_5_6	1836_8	682_9	1809_10	3792_11	5377_12	5377_12	5235	1846_17	1845_19	4251	4584	 
Escherichia coli 97.0259 (869672.4)	1784	3930	1108_4, 3283_3	3220_5_6, 3220_5_6	3284_8	2207_9	3308_10	436_11	3929_12	3929_12	2631	3274_17	3275_19	4478	 	 
Escherichia coli 97.0264 (869676.4)	2599	4910	2365_3, 3081_4	2304_5_6, 2304_5_6	2366_8	3825_9	2393_10	3750_11	4909_12	4909_12	4665	2355_17	2356_19	4248	2154	 
Escherichia coli 99.0670 (1005423.3)	3220	4968	3455_3	3523_5_6, 3523_5_6	3454_8	866_15	3430_10	1853_11	4969_12	4969_12	5155	3466_17	3465_19	366	3862, 4609	 
Escherichia coli 99.0672 (1005421.3)	3050	4915	3232_3	3299_5_6, 3299_5_6	3231_8	611_15	3208_10	1560_11	4916_12	4916_12	5117	3241_17	3240_19	92	3640, 4466	 
Escherichia coli 99.0678 (1005422.3)	3207	4940	3432_3	3499_5_6, 3499_5_6	3431_8	930_15	3407_10	1786_11	4941_12	4941_12	5188	3442_17	3441_19	428	3826, 4543, 921	 
Escherichia coli 99.0713 (1005424.3)	3038	4841	3262_3	3328_5_6, 3328_5_6	3261_8	827_15	3238_10	1739_11	4842_12	4842_12	5027	3272_17	3271_19	233	3697, 4397	 
Escherichia coli 99.0741 (869678.4)	2835	1313	2657_3, 4442_4	2595_5_6, 2595_5_6	2658_8	2576_22, 2577_9	2684_10	148_11	1312_12	1312_12	1241	2648_17	2649_19	839	3162	 
Escherichia coli 99.0814 (1005434.3)	3074	4825	3253_3	3319_5_6, 3319_5_6	3252_8	835_15	3228_10	1732_11	4826_12	4826_12	5026	3262_17	3261_19	307	3653, 4415, 826	 
Escherichia coli 99.0815 (1005433.3)	2869	4631	3090_3	3156_5_6, 3156_5_6	3089_8	633_15	3065_10	1407_11	4632_12	4632_12	4827	3099_17	3098_19	156	3468, 4255, 624	 
Escherichia coli 99.0816 (1005430.3)	2949	4728	3177_3	3243_5_6, 3243_5_6	3176_8	624_15	3152_10	1489_11	4729_12	4729_12	1193	3186_17	3185_19	138	3569, 4314, 615	 
Escherichia coli 99.0839 (1005432.3)	3055	4005	3219_3	3286_5_6, 3286_5_6	3218_8	716_15	3194_10	1600_11	4004_12	4004_12	4979	3228_17	3227_19	207	3616, 4361, 707	 
Escherichia coli 99.0848 (1005431.3)	3078	4867	3268_3	3334_5_6, 3334_5_6	3267_8	829_15	3244_10	1738_11	4868_12	4868_12	5019	3277_17	3276_19	316	3658, 4512, 820	 
Escherichia coli 99.1753 (1005440.3)	2971	4709	3192_3	3258_5_6, 3258_5_6	3191_8	709_15	3167_10	1611_11	4710_12	4710_12	4890	3201_17	3200_19	218	3566, 4308	 
Escherichia coli 99.1762 (1005435.3)	3168	4969	3418_3	3484_5_6, 3484_5_6	3417_8	860_15	3393_10	1762_11	4970_12	4970_12	5174	3427_17	3426_19	356	3827, 4547, 851	 
Escherichia coli 99.1775 (1005438.3)	2690	4465	2897_3	2959_5_6, 2959_5_6	2896_8	599_15	2872_10	1464_11	4466_12	4466_12	4660	2907_17	2906_19	90	3308, 4077	 
Escherichia coli 99.1781 (1005439.3)	3122	4949	3363_3	3430_5_6, 3430_5_6	3362_8	773_15	3338_10	1604_11	4950_12	4950_12	5137	3373_17	3372_19	284	3818, 4540	 
Escherichia coli 99.1805 (1005436.3)	2773	4608	3013_3	3081_5_6, 3081_5_6	3012_8	647_15	2988_10	1461_11	4609_12	4609_12	4803	3023_17	3022_19	182	3387, 4223	 
Escherichia coli AA86 (1004153.3)	2505	4337	2007_4, 2658_3	2714_5_6, 2714_5_6	2657_8	604_9	2645_10	1260_11	4338_12	4338_12	4550	2667_17	2666_19	229	3074, 3910	 
Escherichia coli ABU 83972 (655817.3)	2764	4712	2921_3	2980_5_6, 2980_5_6	2920_8	642_9, 643_22	2907_10	1419_11	4713_12	4713_12	4927	2930_17	2929_19	122	3284, 3290, 4299	 
Escherichia coli AD30 (1169664.3)	633	4493	338_4, 798_3	862_5_6, 862_5_6	797_8	4028_22, 4029_9	772_10	2616_11	4492_12	4492_12	2436	807_17	806_19	1333	1688, 3715	 
Escherichia coli AI27 (1089445.3)	849	4050	2801_4, 353_3	3171_5_6, 3171_5_6	354_8	1167_9	378_10	1105_11	4051_12	4051_12	21	344_17	345_19	2996	2238	 
Escherichia coli APEC O1 (405955.13)	2536	4475	2735_3	2837_5_6, 2837_5_6	2734_8	527_15, 528_22	2722_10	1135_11	4476_12	4476_12	4755	2790_17	2789_19	112	3203, 3208, 4103	 
Escherichia coli APEC O78 (1274814.3)	3150	159	2673_4, 3325_3	3385_5_6, 3385_5_6	3324_8	1250_9	3298_10	1977_11	160_12	160_12	369	3334_17	3333_19	809	1240, 3704, 4532	 
Escherichia coli ARS4.2123 (1005563.3)	2597	4385	2825_3	2926_5_6, 2926_5_6	2824_8	556_9, 557_22	2812_10	1355_11	4386_12	4386_12	4578	2877_17	2876_19	140	3206, 4002	 
Escherichia coli ATCC 25922 (1322345.3)	1760	1390	1916_3	1975_5_6, 1975_5_6, 1976_5_6, 1976_5_6	1915_8	993_9, 994_22	1903_10	1014_11	1391_12	1391_12	3657	1925_17	1924_19	840	200, 4655	 
Escherichia coli B088 (550672.3)	2027	4082	1579_4, 2227_3	2290_5_6, 2290_5_6	2226_8	55_9	2198_10	1410_11	4083_12	4083_12	4528	2235_17	2234_19	4376	3723	 
Escherichia coli B093 (550674.3)	2386	4523	1576_4, 2742_3	2805_5_6, 2805_5_6	2741_8	387_9	3655_10	1334_11	4524_12	4524_12	1999	2752_17	2751_19	4069	950	 
Escherichia coli B185 (550676.3)	1533	4264	1696_3, 2169_4	1764_5_6, 1764_5_6	1695_8	1331_9	1670_10	628_11	4265_12	4265_12	4449	1707_17	1706_19	4772	2821, 2826	 
Escherichia coli B354 (550677.3)	1860	4582	1338_4, 2364_3	2441_5_6, 2441_5_6	2363_8	968_9	2339_10	2576_11	4583_12	4583_12	175	2387_17	2386_19	493	3422, 3427, 4229	 
Escherichia coli B41 (869694.4)	2079	4338	2245_3	2359_5_6, 2359_5_6	2244_8	12_15	2221_10	708_11	4339_12	4339_12	4525	2303_17	2302_19	4889	2661, 3991	 
Escherichia coli B799 (550682.3)	855	2894	1081_3, 319_4	1188_5_6, 1188_5_6	1080_8	4926_9	1054_10	3759_11	2895_12	2895_12	4129	1137_17	1136_19	4455	1567, 2538	 
Escherichia coli B str. REL606 (413997.3)	2337	4081	1905_4, 2506_3	2568_5_6, 2568_5_6	2505_8	504_9	2478_10	1190_11	4082_12	4082_12	4266	2515_17	2514_19	110	2851, 3690	 
Escherichia coli BCE001_MS16 (1116037.3)	2370	3565	1899_4, 2589_3	2649_5_6, 2649_5_6	2588_8	377_9	2563_10	1162_11	3564_12	3564_12	4525	2598_17	2597_19	4840	368, 4016	 
Escherichia coli BCE002_MS12 (1116112.3)	2500	4383	2790_3, 4690_4	2851_5_6, 2851_5_6	2789_8	747_9	2764_10	1416_11	4384_12	4384_12	1070	2799_17	2798_19	291	4033, 738	 
Escherichia coli BCE006_MS-23 (1125637.3)	2522	4410	2035_4, 2691_3	2756_5_6, 2756_5_6	2690_8	554_9, 555_22	2664_10	1258_11	4411_12	4411_12	4600	2701_17	2700_19	111	4066	 
Escherichia coli BCE007_MS-11 (1116113.3)	2642	4562	2126_4, 2811_3	2877_5_6, 2877_5_6	2810_8	649_9, 650_22	2784_10	1443_11	4563_12	4563_12	4768, 5003	2823_17	2822_19	159	4209	 
Escherichia coli BCE008_MS-13 (1116471.3)	2792	4920	2265_4, 2983_3	3064_5_6, 3064_5_6	2982_8	655_9	2954_10	1368_11	4921_12	4921_12	5102	3012_17	3011_19	288	4488	 
Escherichia coli BCE011_MS-01 (1116114.3)	2379	4129	1886_4, 2551_3	2615_5_6, 2615_5_6	2550_8	551_9	2526_10	1163_11	4130_12	4130_12	4316	2560_17	2559_19	89	3790	 
Escherichia coli BCE019_MS-13 (1116115.3)	2485	4450	1967_4, 2654_3	2719_5_6, 2719_5_6	2653_8	544_9, 545_22	2627_10	1237_11	4451_12	4451_12	4634	2666_17	2665_19	114	4113	 
Escherichia coli BCE030_MS-09 (1116116.3)	2506	4406, 5110	1995_4, 2674_3	2739_5_6, 2739_5_6	2673_8	550_9, 551_22	2647_10	1266_11	4407_12	4407_12	4594	2686_17	2685_19	113	4067	 
Escherichia coli BCE032_MS-12 (1116117.3)	2498	4396	1971_4, 2668_3	2734_5_6, 2734_5_6	2667_8	552_9, 553_22	2641_10	1233_11	4397_12	4397_12	4589	2680_17	2679_19	114	4046	 
Escherichia coli BCE034_MS-14 (1116118.3)	2874	4861	2440_4, 3053_3	3179_5_6, 3179_5_6	3052_8	782_9	3026_10	1570_11	4862_12	4862_12	5069	3075_17	3074_19	322	4468, 773	 
Escherichia coli BL21 (511693.5)	2349	4101	1935_4, 2518_3	2582_5_6, 2582_5_6, 2583_5_6, 2583_5_6	2517_8	510_9	2490_10	1220_11	4102_12	4102_12	4287	2527_17	2526_19	111	3707	 
Escherichia coli BL21(DE3) (469008.4)	1386	4186	1218_3, 1845_4	1154_5_6, 1154_5_6	1219_8	3241_9	1246_10	2545_11	4185_12	4185_12	4004	1209_17	1210_19	3634	74, 869	 
Escherichia coli C-34666 (1116002.3)	3213	5049	2727_4, 3409_3	3471_5_6, 3471_5_6	3408_8	1095_9	3382_10	1921_11	5050_12	5050_12	5242	3419_17	3418_19	702	3821, 4693	 
Escherichia coli C639_08 (1126911.3)	1426	1187	4053_3	148_5_6, 148_5_6	4052_8	3494_9, 3495_22	4040_10	1863_11	1188_12	1188_12	2870	99_17	98_19	323	2243, 714	 
Escherichia coli C844_97 (1126932.3)	66	3460	2215_3	296_5_6, 296_5_6	2216_8	2161_9, 2162_22	2228_10	1127_11	3461_12	3461_12	3713	248_17	247_19	1980	2912, 472	 
Escherichia coli ATCC 8739 (481805.6)	1432	4307	1257_3, 1916_4	1196_5_6, 1196_5_6	1258_8	3308_9	1285_10	2643_11	4306_12	4306_12	4106	1248_17	1249_19	3797	61, 872, 878	 
Escherichia coli CB7326 (1005559.3)	3081	4893	3256_3	3323_5_6, 3323_5_6	3255_8	594_15	3231_10	1529_11	4894_12	4894_12	5093	3265_17	3264_19	84	3661, 4489	 
Escherichia coli CFT073 (199310.4)	2693	4662	2118_4, 2119_4, 2848_3	2905_5_6, 2905_5_6	2847_8	602_9, 603_22	2834_10	1411_11	4663_12	4663_12	4931	2857_17	2856_19	118	3257, 3262, 4204	 
Escherichia coli CUMT8 (752790.3)	2855	927	2380_4, 3068_3	3128_5_6, 3128_5_6	3067_8	1151_9	3042_10	4030_11	926_12	926_12	3341	3077_17	3076_19	3656	 	 
Escherichia coli DEC10A (868180.3)	3183	5565	2524_4, 3382_3	3447_5_6, 3447_5_6, 3448_5_6, 3448_5_6	3381_8	638_9	3354_10	1726_11	5564_12	5564_12	5363	3392_17	3391_19	228	3836, 4961	 
Escherichia coli DEC10B (868181.3)	3595	33	2943_4, 3827_3	3938_5_6, 3938_5_6	3826_8	876_9	3799_10	2054_11	34_12	34_12	5724	3884_17	3883_19	383	4324, 5267	 
Escherichia coli DEC10C (868182.3)	3577	32	2892_4, 3832_3	3896_5_6, 3896_5_6	3831_8	827_9	3804_10	1991_11	33_12	33_12	5725, 5726	3842_17	3841_19	290	4298, 5320	 
Escherichia coli DEC10D (868183.3)	3109	4254	2449_4, 3343_3	3409_5_6, 3409_5_6	3342_8	564_9	3316_10	1578_11	4253_12	4253_12	5234	3353_17	3352_19	4	3801, 4694	 
Escherichia coli DEC10E (868184.3)	2700	4641	2121_4, 2901_3	2973_5_6, 2973_5_6	2900_8	569_9	2873_10	1327_11	4642_12	4642_12	4860	2921_17	2920_19	124	 	 
Escherichia coli DEC10F (868185.3)	3524	5456	2807_4, 3713_3	3776_5_6, 3776_5_6	3712_8	1009_9	3687_10	 	5457_12	5457_12	50	3722_17	3721_19	376	4097, 5268	 
Escherichia coli DEC11A (868186.3)	2675	4624	2178_4, 2848_3	2933_5_6, 2933_5_6	2847_8	442_9	2819_10	1360_11	4625_12	4625_12	4811	2857_17	2856_19	5157	4276	 
Escherichia coli DEC11B (868187.3)	2695	4644	2191_4, 2882_3	2991_5_6, 2991_5_6	2881_8	475_9	2853_10	1326_11	4645_12	4645_12	4857	2937_17	2936_19	5177	4253	 
Escherichia coli DEC11C (868188.3)	2835	4820	2197_4, 3010_3	3079_5_6, 3079_5_6	3009_8	610_9	2981_10	1416_11	4821_12	4821_12	5009, 5010	3020_17	3019_19	143	 	 
Escherichia coli DEC11D (868189.3)	2993	4880	2338_4, 3167_3	3229_5_6, 3229_5_6	3166_8	912_9	3140_10	1643_11	4881_12	4881_12	5083	3176_17	3175_19	480	4491	 
Escherichia coli DEC11E (868190.3)	2643	4500	1997_4, 2818_3	2882_5_6, 2882_5_6	2817_8	607_9	2789_10	1294_11	4501_12	4501_12	4698	2827_17	2826_19	144	4170	 
Escherichia coli DEC12A (868191.3)	2796	4676	2156_4, 2992_3	3058_5_6, 3058_5_6, 3059_5_6, 3059_5_6	2991_8	665_9	2965_10	1384_11	4677_12	4677_12	4973	3003_17	3002_19	224	4327	 
Escherichia coli DEC12B (868192.3)	3215	5199	2566_4, 3393_3	3457_5_6, 3457_5_6	3392_8	750_9	3366_10	1658_11	5200_12	5200_12	5517	3403_17	3402_19	306	4937	 
Escherichia coli DEC12C (868193.3)	3310	5263	2624_4, 3492_3	3570_5_6, 3570_5_6	3491_8	1072_9	3464_10	1846_11	5264_12	5264_12	5474	3514_17	3513_19	576	4914	 
Escherichia coli DEC12D (868194.3)	3027	4915	2395_4, 3278_3	3341_5_6, 3341_5_6	3277_8	654_9	3250_10	1655_11	4916_12	4916_12	5283	3288_17	3287_19	167	4662	 
Escherichia coli DEC12E (868195.3)	2803	4615	2180_4, 2978_3	3041_5_6, 3041_5_6, 3042_5_6, 3042_5_6	2977_8	372_9	2950_10	1172_11	4616_12	4616_12	4865, 4866	2988_17	2987_19	217	4260	 
Escherichia coli DEC13A (868196.3)	2521	4348	2017_4, 2684_3	2744_5_6, 2744_5_6	2683_8	733_9	2657_10	1326_11	4349_12	4349_12	4561	2693_17	2692_19	334	3954	 
Escherichia coli DEC13B (868197.3)	2245	4105	1758_4, 2450_3	2511_5_6, 2511_5_6	2449_8	499_9	2423_10	1089_11	4106_12	4106_12	4305, 4306	2459_17	2458_19	94	3712	 
Escherichia coli DEC13C (868198.3)	2942	4823	2376_4, 3109_3	3171_5_6, 3171_5_6	3108_8	672_9	3081_10	1488_11	4824_12	4824_12	5062	3118_17	3117_19	255	4419	 
Escherichia coli DEC13D (868199.3)	2659	4426	2017_4, 2828_3	2889_5_6, 2889_5_6	2827_8	585_9	2801_10	1308_11	4427_12	4427_12	4674	2837_17	2836_19	172	4025	 
Escherichia coli DEC13E (868200.3)	2675	4450	2072_4, 2842_3	2903_5_6, 2903_5_6	2841_8	531_9	2813_10	1342_11	4451_12	4451_12	4647	2851_17	2850_19	123	4091	 
Escherichia coli DEC14A (868201.3)	2500	4309	1946_4, 2672_3	2733_5_6, 2733_5_6	2671_8	518_9	2643_10	1165_11	4310_12	4310_12	4485	2681_17	2680_19	97	3932	 
Escherichia coli DEC14B (868202.3)	2889	4795	2370_4, 3064_3	3128_5_6, 3128_5_6	3063_8	711_9	3038_10	1664_11	4796_12	4796_12	5055, 5056	3075_17	3074_19	265	 	 
Escherichia coli DEC14C (868203.3)	2759	4723	2229_4, 2941_3	3004_5_6, 3004_5_6	2940_8	660_9	2913_10	1421_11	4724_12	4724_12	4962, 4963	2950_17	2949_19	212	 	 
