Organism	Nar	NarKU	Nap	NarB	Nas	NrtABC	NirK	NirS	NirA	NirBD	NirC	Nrf	Nor	NorZ	Hmp	Nos
Escherichia coli MS 145-7 (679204.3)	1464_1, 1465_2, 1466_4, 1467_3, 3252_3, 3253_4, 3254_2, 3255_1	1463_11, 3256_10	239_24, 240_20, 241_23, 242_25, 243_21, 244_22, 245_26	 	 	 	 	 	 	 	1773	3008_56, 3009_64, 3010_66, 3011_68, 3012_69, 3013_73, 3014_74	 	 	1537_88	 
Escherichia coli MS 146-1 (749540.3)	3365_3, 3366_4, 3367_2, 3368_1, 704_3, 705_4, 706_2, 707_1	3369_9, 708_10	3441_24, 3442_20, 3443_23, 3444_25, 3445_21, 3446_22, 3447_26	 	 	 	 	 	 	 	2304	1632_64, 1633_66, 1634_68, 1635_70, 1637_76	 	 	4593_88	 
Escherichia coli MS 182-1 (749545.3)	3737_3, 3738_4, 3739_2, 3740_1, 4375_1, 4376_2, 4377_4, 4378_3	3741_10, 4374_9	4113_24, 4114_20, 4115_23, 4116_25, 4117_21, 4118_22, 4119_26	 	 	 	 	 	 	 	4543	2374_56, 2375_62, 2376_65, 2377_67, 2378_69, 2379_73, 2380_74	 	 	4804_88	 
Escherichia coli MS 185-1 (749546.3)	776_1, 777_2, 778_4, 779_3, 900_1, 901_2, 902_4, 903_3	775_10, 899_9	2986_24, 2987_20, 2988_23, 2989_25, 2990_21, 2991_22, 2992_26	 	 	 	 	 	 	 	4117	5029_74, 5031_69, 5032_68, 5033_66, 5034_64, 5035_56	 	 	1171_88	 
Escherichia coli MS 187-1 (749547.3)	103_1, 104_2, 105_4, 106_3, 1797_3, 1798_4, 1799_2, 1800_1	102_9, 1801_10	2642_24, 2643_20, 2644_23, 2645_25, 2646_21, 2647_22, 2648_26	 	 	 	 	 	 	 	3249	2681_64, 2682_66, 2683_68, 2684_69, 2685_73, 2686_74	 	 	2414_88	 
Escherichia coli MS 196-1 (749548.3)	197_3, 198_4, 199_2, 200_1, 3845_3, 3846_4, 3847_2, 3848_1	201_10, 3849_9	2158_26, 2159_22, 2160_21, 2161_25, 2162_23, 2163_20, 2164_24	 	 	 	 	 	 	 	1665	386_64, 387_66, 388_67, 389_70, 391_76	 	 	1306_88	 
Escherichia coli MS 198-1 (749549.3)	3610_1, 3611_2, 3612_4, 3613_3, 891_3, 892_4, 893_2, 894_1	3609_9, 895_10	1819_26, 1820_22, 1821_21, 1822_25, 1823_23, 1824_20, 1825_24	 	 	 	 	 	 	817_50	819	1603_56, 1604_62, 1605_66, 1606_67, 1607_69, 1608_73, 1609_74	 	 	2357_88	 
Escherichia coli MS 200-1 (749550.3)	4508_3, 4509_4, 4510_2, 4511_1, 672_1, 673_2, 674_4, 675_3	4512_9, 671_10	1725_26, 1726_22, 1727_21, 1728_25, 1729_23, 1730_20, 1731_24	 	 	 	 	 	 	 	2966	1418_74, 1419_73, 1420_69, 1421_68, 1422_66, 1423_64, 1424_56	 	 	412_88	 
Escherichia coli MS 21-1 (749527.3)	3732_1, 3733_2, 3734_4, 3735_3, 4099_3, 4100_4, 4101_2, 4102_1	3731_10, 4103_9	1715_24, 1716_20, 1717_23, 1718_25, 1719_21, 1720_22, 1721_26	 	 	 	 	 	 	 	2148	2930_56, 2931_62, 2932_65, 2933_67, 2934_69, 2935_73, 2936_76	 	 	662_88	 
Escherichia coli MS 45-1 (749528.3)	1215_3, 1216_4, 1217_2, 1218_1, 216_3, 217_4, 218_2, 219_1	1219_10, 220_9	2749_24, 2750_20, 2751_23, 2752_25, 2753_21, 2754_22, 2755_26	 	 	 	 	 	 	838_50	836	632_56, 633_62, 634_66, 635_68, 636_69, 638_74	 	 	2434_88	 
Escherichia coli MS 69-1 (749531.3)	4137_1, 4138_2, 4139_4, 4140_3, 4237_1, 4238_2, 4239_4, 4240_3	4136_9, 4236_10	2746_26, 2747_22, 2748_21, 2749_25, 2750_23, 2751_20, 2752_24	 	 	 	 	 	 	1193_50	1191	2335_56, 2336_62, 2337_66, 2338_67, 2339_69, 2340_73, 2341_76	 	 	3841_88	 
Escherichia coli MS 78-1 (749532.3)	1872_3, 1873_4, 1874_2, 1875_1, 203_1, 204_2, 205_4, 206_3	1876_9, 202_10	3487_24, 3488_20, 3489_23, 3490_25, 3491_21, 3492_22, 3493_26	 	 	 	 	 	 	 	3917	4617_74, 4618_73, 4619_69, 4620_67, 4621_65, 4622_62, 4623_56	 	 	4444_88	 
Escherichia coli MS 84-1 (749533.3)	4563_3, 4564_4, 4565_2, 4566_1, 5054_1, 5055_2, 5056_4, 5057_3	4567_9, 5053_10	298_26, 299_22, 300_21, 301_25, 302_23, 303_20, 304_24	 	 	 	 	 	 	 	4967	4306_56, 4307_64, 4308_66, 4309_67, 4310_69, 4311_73, 4312_74	 	 	2227_88	 
Escherichia coli MS 85-1 (679202.3)	3059_3, 3060_4, 3061_2, 3062_1, 4360_3, 4361_4, 4362_2, 4363_1	3063_9, 4364_10	4809_24, 4810_20, 4811_23, 4812_25, 4813_21, 4814_22, 4815_26	 	 	 	 	 	 	 	1952	3220_56, 3221_64, 3222_66, 3223_67, 3224_69, 3225_73, 3226_74	 	 	1593_88	 
Escherichia coli N1 (1005567.3)	1299_1, 1300_2, 1301_4, 1302_3, 1482_3, 1483_4, 1484_2, 1485_1	1298_9, 1486_10	2350_24, 2351_20, 2352_23, 2353_25, 2354_21, 2355_22, 2356_26	 	 	 	 	 	 	 	3510	4236_62, 4237_66, 4238_67, 4239_69, 4240_73, 4241_74	 	 	2693_88	 
Escherichia coli NA114 (1033813.3)	1398_1, 1399_2, 1400_4, 1401_3, 3672_3, 3673_4, 3674_2, 3675_1	1397_9, 3676_10	2311_24, 2312_20, 2313_23, 2314_25, 2315_21, 2316_22, 2317_26	 	 	 	 	 	 	 	3500	4286_56, 4287_62, 4288_65, 4289_67, 4290_69, 4291_73, 4292_74	 	 	2643_88	 
Escherichia coli NC101 (753642.3)	1683_1, 1684_2, 1685_4, 1686_3, 1892_3, 1893_4, 1894_2, 1895_1	1682_10, 1896_9	2879_26, 2880_22, 2881_21, 2882_25, 2883_23, 2884_20, 2885_24	 	 	 	 	 	 	4598_50	4596	4069_74, 4070_73, 4071_69, 4072_68, 4073_66, 4074_64, 4075_56	 	 	2560_88	 
Escherichia coli NCCP15647 (1169663.3)	1664_1, 1665_2, 1666_4, 1667_3, 3676_1, 3677_2, 3678_4, 3679_3	1663_9, 3675_10	1322_24, 1323_20, 1324_23, 1325_25, 1326_21, 1327_22, 1328_26	 	 	 	 	 	 	 	3362	1567_56, 1568_64, 1569_66, 1570_67, 1571_69, 1572_73, 1573_74	 	 	243_88	 
Escherichia coli NCCP15657 (1169863.3)	10_2, 11_1, 3392_1, 3393_2, 3394_4, 3395_3, 8_3, 9_4	12_10, 3391_9	2018_24, 2019_20, 2020_23, 2021_25, 2022_21, 2023_22, 2024_26	 	 	 	 	 	 	 	1674	313_62, 314_65, 315_68, 316_69, 317_73, 318_74	 	 	2356_88	 
Escherichia coli NCCP15658 (1169862.3)	1617_1, 1618_2, 1619_4, 1620_3, 1902_3, 1903_4, 1904_2, 1905_1	1616_9, 1906_10	3016_24, 3017_20, 3018_23, 3019_25, 3021_22, 3022_26	 	 	 	 	 	 	 	4210	5055_64, 5056_66, 5057_68, 5058_69, 5060_76	 	 	3374_88	 
Escherichia coli NE037 (1005484.3)	2016_1, 2017_2, 2018_4, 2019_3, 2328_3, 2329_4, 2330_2, 2331_1	2015_9, 2332_10	3277_24, 3278_20, 3279_23, 3280_25, 3282_22, 3283_26	 	 	 	 	 	 	 	4475	5321_64, 5322_66, 5323_68, 5324_69, 5326_76	 	 	3648_88	 
Escherichia coli NE098 (1005486.3)	1779_1, 1780_2, 1781_4, 1782_3, 2086_3, 2087_4, 2088_2, 2089_1	1778_11, 2090_10	2986_24, 2987_20, 2988_23, 2989_25, 2991_22, 2992_26	 	 	 	 	 	 	 	4227	5061_64, 5062_66, 5063_68, 5064_69, 5066_76	 	 	3400_88	 
Escherichia coli NE1487 (1005485.3)	2012_1, 2013_2, 2014_4, 2015_3, 2333_3, 2334_4, 2335_2, 2336_1	2011_9, 2337_10	3298_24, 3299_20, 3300_23, 3301_25, 3303_22, 3304_26	 	 	 	 	 	 	 	4479	5320_64, 5321_66, 5322_68, 5323_69, 5325_76	 	 	3650_88	 
Escherichia coli Nissle 1917 (316435.3)	409_3, 410_4, 411_2, 412_1, 4158_1, 4159_2, 4160_4, 4161_3	413_10, 4157_9	4497_24, 4498_20, 4499_23, 4500_25, 4501_21, 4502_22, 4503_26	 	 	 	 	 	 	 	605	2380_74, 2382_69, 2383_68, 2384_66, 2385_64, 2386_56	 	 	4812_88	 
Escherichia coli O08 (1227814.3)	1197_1, 1198_2, 1199_4, 1200_3, 1449_3, 1450_4, 1451_2, 1452_1	1196_9, 1453_10	2187_24, 2188_20, 2189_23, 2190_25, 2191_21, 2192_22, 2193_26	 	 	 	 	 	 	 	3351	4138_56, 4139_62, 4140_65, 4141_67, 4142_69, 4143_73, 4144_74	 	 	2521_88	 
Escherichia coli O103:H25 str. CVM9340 (1165940.3)	3087_3, 3088_4, 3089_2, 3090_1, 5081_3, 5082_4, 5083_2, 5084_1	3091_10, 5085_11	620_26, 621_22, 622_21, 623_25, 624_23, 625_20, 626_24	 	 	 	 	 	 	 	1988	1061_56, 1062_62, 1063_65, 1064_67, 1065_69, 1066_73, 1067_74	 	 	2856_88	 
Escherichia coli O103:H25 str. NIPH-11060424 (1101440.4)	1256_1, 1257_2, 1258_4, 1259_3, 1493_3, 1494_4, 1495_2, 1496_1	1255_11, 1497_10	2331_24, 2332_20, 2333_23, 2334_25, 2335_21, 2336_22, 2337_26	 	 	 	 	 	 	 	3733	4467_56, 4468_62, 4469_65, 4470_67, 4471_69, 4472_73, 4473_74	 	 	2827_88	 
Escherichia coli O103:H2 str. 12009 (585395.4)	1398_1, 1399_2, 1400_4, 1401_3, 1672_3, 1673_4, 1674_2, 1675_1	1397_9, 1676_10	2803_24, 2804_20, 2805_23, 2806_25, 2807_21, 2808_22, 2809_26	 	 	 	 	 	 	4268_50	4270	5061_56, 5062_62, 5063_65, 5064_67, 5065_69, 5066_73, 5067_74	 	 	3219_88	 
Escherichia coli O103:H2 str. CVM9450 (1165941.3)	3051_3, 3052_4, 3053_2, 3054_1, 3380_3, 3381_4, 3382_2, 3383_1	3055_9, 3384_10	2845_24, 2846_20, 2847_23, 2848_25, 2849_21, 2850_22, 2851_26	 	 	 	 	 	 	3475_50	3477	5149_56, 5150_62, 5151_65, 5152_67, 5153_69, 5154_73, 5155_74	 	 	2397_88	 
Escherichia coli O104:H4 str. GOS1 (1038927.4)	1159_3, 1160_4, 1161_2, 1162_1, 3375_1, 3376_2, 3377_4, 3378_3	1163_10, 3374_9	1577_24, 1578_20, 1579_23, 1580_25, 1581_21, 1582_22, 1583_26	 	 	 	 	 	 	4306_51	4305	4730_64, 4731_66, 4732_67, 4733_69, 4734_73, 4735_74	 	 	483_88	 
Escherichia coli O104:H4 str. GOS2 (1038927.5)	1570_3, 1571_4, 1572_2, 1573_1, 3690_3, 3691_4, 3692_2, 3693_1	1574_10, 3694_9	1174_26, 1175_22, 1176_21, 1177_25, 1178_23, 1179_20, 1180_24	 	 	 	 	 	 	1902_51	1903	19_74, 20_73, 21_69, 22_67, 23_66, 24_64	 	 	3379_88	 
Escherichia coli O104:H4 str. H112180282 (1038927.6)	4599_1, 4600_2, 4601_4, 4602_3, 4970_3, 4971_4, 4972_2, 4973_1	4598_10, 4974_9	4112_26, 4113_22, 4114_21, 4115_25, 4116_23, 4117_20, 4118_24	 	 	 	 	 	 	3093_51	3092	4493_74, 4494_73, 4495_69, 4496_67, 4497_66, 4498_64	 	 	5019_88	 
Escherichia coli O104:H4 str. H112180283 (1038927.7)	2176_1, 2536_2, 2537_4, 2538_3, 3254_1, 3255_2, 3256_4, 3257_3	2177_10, 3253_9	4135_26, 4136_22, 4137_21, 4138_25, 4139_23, 4140_20, 4141_24	 	 	 	 	 	 	541_51	542	2470_64, 2471_66, 2472_67, 2473_69, 2474_73, 2475_74	 	 	3968_88	 
Escherichia coli O104:H4 str. 01-09591 (1042803.5)	1333_1, 1334_2, 1335_4, 1336_3, 1593_3, 1594_4, 1595_2, 1596_1	1332_9, 1597_10	2440_24, 2441_20, 2442_23, 2443_25, 2444_21, 2445_22, 2446_26	 	 	 	 	 	 	3737_51	3738	4555_64, 4556_66, 4557_67, 4558_69, 4560_74	 	 	2801_88	 
Escherichia coli O104:H4 str. 04-8351 (1048265.3)	331_1, 332_2, 333_4, 334_3, 612_3, 613_4, 614_2, 615_1	330_9, 616_10	1505_24, 1506_20, 1507_23, 1508_25, 1509_21, 1510_22, 1511_26	 	 	 	 	 	 	2832_51	2833	3605_64, 3606_66, 3607_67, 3608_69, 3610_74	 	 	1938_88	 
Escherichia coli O104:H4 str. 09-7901 (1048266.3)	1825_1, 1826_2, 1827_4, 1828_3, 2103_3, 2104_4, 2105_2, 2106_1	1824_9, 2107_10	2918_24, 2919_20, 2920_23, 2921_25, 2922_21, 2923_22, 2924_26	 	 	 	 	 	 	4250_51	4251	5022_64, 5023_66, 5024_67, 5025_69, 5027_74	 	 	3349_88	 
Escherichia coli O104:H4 str. 11-02030 (1240768.3)	4006_1, 4007_2, 4008_4, 4009_3, 4967_3, 4968_4, 4969_2, 4970_1	4005_9, 4971_10	494_24, 495_20, 496_23, 497_25, 498_21, 499_22, 500_26	 	 	 	 	 	 	1789_51	1790	2846_64, 2847_66, 2848_67, 2849_69, 2850_73, 2851_74	 	 	864_88	 
Escherichia coli O104:H4 str. 11-02033-1 (1240769.3)	1307_1, 1308_2, 1309_4, 1310_3, 1582_3, 1583_4, 1584_2, 1585_1	1306_9, 1586_10	5457_24, 5458_20, 5459_23, 5460_25, 5461_21, 5462_22, 5463_26	 	 	 	 	 	 	1952_51	1953	2809_64, 2810_66, 2811_67, 2812_69, 2813_73, 2814_74	 	 	597_88	 
Escherichia coli O104:H4 str. 11-02092 (1240770.3)	271_1, 272_2, 273_4, 274_3, 546_3, 547_4, 548_2, 549_1	270_9, 550_10	3901_24, 3902_20, 3903_23, 3904_25, 3905_21, 3906_22, 3907_26	 	 	 	 	 	 	5199_51	5200	1329_64, 1330_66, 1331_67, 1332_69, 1333_73, 1334_74	 	 	4273_88	 
Escherichia coli O104:H4 str. 11-02093 (1240771.3)	1652_1, 1653_2, 1654_4, 1655_3, 3485_3, 3486_4, 3487_2, 3488_1	1651_9, 3489_10	4634_24, 4635_20, 4636_23, 4637_25, 4638_21, 4639_22, 4640_26	 	 	 	 	 	 	729_51	730	1560_64, 1561_66, 1562_67, 1563_69, 1564_73, 1565_74	 	 	5002_88	 
Escherichia coli O104:H4 str. 11-02281 (1240772.3)	1929_1, 1930_2, 1931_4, 1932_3, 2205_3, 2206_4, 2207_2, 2208_1	1928_9, 2209_10	5333_24, 5334_20, 5335_23, 5336_25, 5337_21, 5338_22, 5339_26	 	 	 	 	 	 	1389_51	1390	2883_64, 2884_66, 2885_67, 2886_69, 2887_73, 2888_74	 	 	460_88	 
Escherichia coli O104:H4 str. 11-02318 (1240773.3)	273_1, 274_2, 275_4, 276_3, 548_3, 549_4, 550_2, 551_1	272_9, 552_10	1515_24, 1516_20, 1517_23, 1518_25, 1519_21, 1520_22, 1521_26	 	 	 	 	 	 	2812_51	2813	3664_64, 3665_66, 3666_67, 3667_69, 3668_73, 3669_74	 	 	1883_88	 
Escherichia coli O104:H4 str. 11-02913 (1240774.3)	271_1, 272_2, 273_4, 274_3, 3960_3, 3961_4, 3962_2, 3963_1	270_9, 3964_10	5015_24, 5016_20, 5017_23, 5018_25, 5019_21, 5020_22, 5021_26	 	 	 	 	 	 	1155_51	1156	2009_64, 2010_66, 2011_67, 2012_69, 2013_73, 2014_74	 	 	5386_88	 
Escherichia coli O104:H4 str. 11-03439 (1240775.3)	2864_1, 2865_2, 2866_4, 2867_3, 3138_3, 3139_4, 3140_2, 3141_1	2863_9, 3142_10	4667_24, 4668_20, 4669_23, 4670_25, 4671_21, 4672_22, 4673_26	 	 	 	 	 	 	533_51	534	1588_64, 1589_66, 1590_67, 1591_69, 1592_73, 1593_74	 	 	5036_88	 
Escherichia coli O104:H4 str. 11-03943 (1240777.3)	1860_1, 1861_2, 1862_4, 1863_3, 2836_3, 2837_4, 2838_2, 2839_1	1859_9, 2840_10	4991_24, 4992_20, 4993_23, 4994_25, 4995_21, 4996_22, 4997_26	 	 	 	 	 	 	1071_51	1072	2172_64, 2173_66, 2174_67, 2175_69, 2176_73, 2177_74	 	 	5359_88	 
Escherichia coli O104:H4 str. 11-04080 (1240776.3)	1699_1, 1700_2, 1701_4, 1702_3, 3400_3, 3401_4, 3402_2, 3403_1	1698_9, 3404_10	5004_24, 5005_20, 5006_23, 5007_25, 5008_21, 5009_22, 5010_26	 	 	 	 	 	 	1070_51	1071	2176_64, 2177_66, 2178_67, 2179_69, 2180_73, 2181_74	 	 	5374_88	 
Escherichia coli O104:H4 str. 11-3677 (1048334.3)	1782_1, 1783_2, 1784_4, 1785_3, 2051_3, 2052_4, 2053_2, 2054_1	1781_9, 2055_10	2999_24, 3000_20, 3001_23, 3002_25, 3003_21, 3004_22, 3005_26	 	 	 	 	 	 	4268_51	4269	5098_64, 5099_66, 5100_67, 5101_69, 5103_74	 	 	3367_88	 
Escherichia coli O104:H4 str. 11-4404 (1068614.3)	4757_1, 4758_2, 4759_4, 4760_3, 5029_3, 5030_4, 5031_2, 5032_1	4756_9, 5033_10	814_24, 815_20, 816_23, 817_25, 818_21, 819_22, 820_26	 	 	 	 	 	 	2080_51	2081	2910_64, 2911_66, 2912_67, 2913_69, 2915_74	 	 	1178_88	 
Escherichia coli O104:H4 str. 11-4522 (1068615.3)	4762_1, 4763_2, 4764_4, 4765_3, 5035_3, 5036_4, 5037_2, 5038_1	4761_9, 5039_10	837_24, 838_20, 839_23, 840_25, 841_21, 842_22, 843_26	 	 	 	 	 	 	2100_51	2101	2918_64, 2919_66, 2920_67, 2921_69, 2923_74	 	 	1202_88	 
Escherichia coli O104:H4 str. 11-4623 (1068616.3)	341_1, 342_2, 343_4, 344_3, 612_3, 613_4, 614_2, 615_1	340_9, 616_10	1565_24, 1566_20, 1567_23, 1568_25, 1569_21, 1570_22, 1571_26	 	 	 	 	 	 	2835_51	2836	3661_64, 3662_66, 3663_67, 3664_69, 3666_74	 	 	1930_88	 
Escherichia coli O104:H4 str. 11-4632 C1 (1068617.3)	3138_1, 3139_2, 3140_4, 3141_3, 3412_3, 3413_4, 3414_2, 3415_1	3137_9, 3416_10	4351_24, 4352_20, 4353_23, 4354_25, 4355_21, 4356_22, 4357_26	 	 	 	 	 	 	461_51	462	1294_64, 1295_66, 1296_67, 1297_69, 1299_74	 	 	4716_88	 
Escherichia coli O104:H4 str. 11-4632 C2 (1068618.3)	3140_1, 3141_2, 3142_4, 3143_3, 3411_3, 3412_4, 3413_2, 3414_1	3139_9, 3415_10	4354_24, 4355_20, 4356_23, 4357_25, 4358_21, 4359_22, 4360_26	 	 	 	 	 	 	457_51	458	1286_64, 1287_66, 1288_67, 1289_69, 1291_74	 	 	4718_88	 
Escherichia coli O104:H4 str. 11-4632 C3 (1068619.3)	4758_1, 4759_2, 4760_4, 4761_3, 5029_3, 5030_4, 5031_2, 5032_1	4757_9, 5033_10	803_24, 804_20, 805_23, 806_25, 807_21, 808_22, 809_26	 	 	 	 	 	 	2080_51	2081	2910_64, 2911_66, 2912_67, 2913_69, 2915_74	 	 	1169_88	 
Escherichia coli O104:H4 str. 11-4632 C4 (1068620.3)	1247_1, 1248_2, 1249_4, 1250_3, 1518_3, 1519_4, 1520_2, 1521_1	1246_9, 1522_10	2461_24, 2462_20, 2463_23, 2464_25, 2465_21, 2466_22, 2467_26	 	 	 	 	 	 	3741_51	3742	4569_64, 4570_66, 4571_67, 4572_69, 4574_74	 	 	2828_88	 
Escherichia coli O104:H4 str. 11-4632 C5 (1068621.3)	3156_1, 3157_2, 3158_4, 3159_3, 3425_3, 3426_4, 3427_2, 3428_1	3155_9, 3429_10	4377_24, 4378_20, 4379_23, 4380_25, 4381_21, 4382_22, 4383_26	 	 	 	 	 	 	460_51	461	1296_64, 1297_66, 1298_67, 1299_69, 1301_74	 	 	4741_88	 
Escherichia coli O104:H4 str. 2009EL-2050 (1134782.3)	2718_1, 2719_2, 2720_4, 2721_3, 2991_3, 2992_4, 2993_2, 2994_1	2717_10, 2995_9	1747_26, 1748_22, 1749_21, 1750_25, 1751_23, 1752_20, 1753_24	 	 	 	 	 	 	476_51	475	4885_74, 4886_73, 4887_69, 4888_67, 4889_66, 4890_64	 	 	1404_88	 
Escherichia coli O104:H4 str. 2009EL-2071 (1133853.3)	2718_1, 2719_2, 2720_4, 2721_3, 2995_3, 2996_4, 2997_2, 2998_1	2717_10, 2999_9	1748_26, 1749_22, 1750_21, 1751_25, 1752_23, 1753_20, 1754_24	 	 	 	 	 	 	463_51	462	4959_74, 4960_73, 4961_69, 4962_67, 4963_66, 4964_64	 	 	1386_88	 
Escherichia coli O104:H4 str. 2011C-3493 (1133852.3)	2729_1, 2730_2, 2731_4, 2732_3, 3004_3, 3005_4, 3006_2, 3007_1	2728_10, 3008_9	1762_26, 1763_22, 1764_21, 1765_25, 1766_23, 1767_20, 1768_24	 	 	 	 	 	 	465_51	464	4909_74, 4910_73, 4911_69, 4912_67, 4913_66, 4914_64	 	 	1400_88	 
Escherichia coli O104:H4 str. C227-11 (1048254.3)	200_3, 201_4, 202_2, 203_1, 5078_1, 5079_2, 5080_4, 5081_3	204_10, 5077_9	1134_24, 1135_20, 1136_23, 1137_25, 1138_21, 1139_22, 1140_26	 	 	 	 	 	 	2400_51	2401	3225_64, 3226_66, 3227_67, 3228_69, 3230_74	 	 	1499_88	 
Escherichia coli O104:H4 str. C236-11 (1048256.3)	1792_1, 1793_2, 1794_4, 1795_3, 2066_3, 2067_4, 2068_2, 2069_1	1791_9, 2070_10	3014_24, 3015_20, 3016_23, 3017_25, 3018_21, 3019_22, 3020_26	 	 	 	 	 	 	4279_51	4280	5105_64, 5106_66, 5107_67, 5108_69, 5110_74	 	 	3377_88	 
Escherichia coli O104:H4 str. Ec11-4984 (1240761.3)	191_3, 192_4, 193_2, 194_1, 5151_1, 5152_2, 5153_4, 5154_3	195_10, 5150_9	1134_24, 1135_20, 1136_23, 1137_25, 1138_21, 1139_22, 1140_26	 	 	 	 	 	 	2417_51	2418	3266_64, 3267_66, 3268_67, 3269_69, 3270_73, 3271_74	 	 	1501_88	 
Escherichia coli O104:H4 str. Ec11-4986 (1240762.3)	1031_3, 1032_4, 1033_2, 1034_1, 757_1, 758_2, 759_4, 760_3	1035_10, 756_9	1990_24, 1991_20, 1992_23, 1993_25, 1994_21, 1995_22, 1996_26	 	 	 	 	 	 	3272_51	3273	4122_64, 4123_66, 4124_67, 4125_69, 4126_73, 4127_74	 	 	2357_88	 
Escherichia coli O104:H4 str. Ec11-4987 (1240763.3)	4838_1, 4839_2, 4840_4, 4841_3, 5113_3, 5114_4, 5115_2, 5116_1	4837_9, 5117_10	822_24, 823_20, 824_23, 825_25, 826_21, 827_22, 828_26	 	 	 	 	 	 	2109_51	2110	2954_64, 2955_66, 2956_67, 2957_69, 2958_73, 2959_74	 	 	1190_88	 
Escherichia coli O104:H4 str. Ec11-4988 (1240764.3)	1228_1, 1229_2, 1230_4, 1231_3, 1506_3, 1507_4, 1508_2, 1509_1	1227_9, 1510_10	2434_24, 2435_20, 2436_23, 2437_25, 2438_21, 2439_22, 2440_26	 	 	 	 	 	 	3720_51	3721	4578_64, 4579_66, 4580_67, 4581_69, 4582_73, 4583_74	 	 	2803_88	 
Escherichia coli O104:H4 str. Ec11-5536 (1068623.3)	1775_1, 1776_2, 1777_4, 1778_3, 2045_3, 2046_4, 2047_2, 2048_1	1774_9, 2049_10	2978_24, 2979_20, 2980_23, 2981_25, 2982_21, 2983_22, 2984_26	 	 	 	 	 	 	4248_51	4249	5076_64, 5077_66, 5078_67, 5079_69, 5081_74	 	 	3344_88	 
Escherichia coli O104:H4 str. Ec11-5537 (1068624.3)	1778_1, 1779_2, 1780_4, 1781_3, 2042_3, 2043_4, 2044_2, 2045_1	1777_9, 2046_10	2984_24, 2985_20, 2986_23, 2987_25, 2988_21, 2989_22, 2990_26	 	 	 	 	 	 	4249_51	4250	5079_64, 5080_66, 5081_67, 5082_69, 5084_74	 	 	3348_88	 
Escherichia coli O104:H4 str. Ec11-5538 (1068622.3)	194_3, 195_4, 196_2, 197_1, 5088_1, 5089_2, 5090_4, 5091_3	198_10, 5087_9	1142_24, 1143_20, 1144_23, 1145_25, 1146_21, 1147_22, 1148_26	 	 	 	 	 	 	2410_51	2411	3238_64, 3239_66, 3240_67, 3241_69, 3243_74	 	 	1506_88	 
Escherichia coli O104:H4 str. Ec11-5603 (1240765.3)	1808_1, 1809_2, 1810_4, 1811_3, 2081_3, 2082_4, 2083_2, 2084_1	1807_9, 2085_10	3040_24, 3041_20, 3042_23, 3043_25, 3044_21, 3045_22, 3046_26	 	 	 	 	 	 	4331_51	4332	5185_64, 5186_66, 5187_67, 5188_69, 5189_73, 5190_74	 	 	3408_88	 
Escherichia coli O104:H4 str. Ec11-5604 (1240766.3)	209_3, 210_4, 211_2, 212_1, 5153_1, 5154_2, 5155_4, 5156_3	213_10, 5152_9	1140_24, 1141_20, 1142_23, 1143_25, 1144_21, 1145_22, 1146_26	 	 	 	 	 	 	2437_51	2438	3291_64, 3292_66, 3293_67, 3294_69, 3295_73, 3296_74	 	 	1507_88	 
Escherichia coli O104:H4 str. Ec11-6006 (1240767.3)	4447_1, 4448_2, 4449_4, 4450_3, 4716_3, 4717_4, 4718_2, 4719_1	4446_9, 4720_10	431_24, 432_20, 433_23, 434_25, 435_21, 436_22, 437_26	 	 	 	 	 	 	1721_51	1722	2562_64, 2563_66, 2564_67, 2565_69, 2566_73, 2567_74	 	 	800_88	 
Escherichia coli O104:H4 str. Ec11-9450 (1240758.3)	205_3, 206_4, 207_2, 208_1, 5142_1, 5143_2, 5144_4, 5145_3	209_10, 5141_9	1153_24, 1154_20, 1155_23, 1156_25, 1157_21, 1158_22, 1159_26	 	 	 	 	 	 	2417_51	2418	3269_64, 3270_66, 3271_67, 3272_69, 3273_73, 3274_74	 	 	1503_88	 
Escherichia coli O104:H4 str. Ec11-9941 (1240759.3)	4472_1, 4473_2, 4474_4, 4475_3, 4748_3, 4749_4, 4750_2, 4751_1	4471_9, 4752_10	422_24, 423_20, 424_23, 425_25, 426_21, 427_22, 428_26	 	 	 	 	 	 	1711_51	1712	2520_64, 2521_66, 2522_67, 2523_69, 2524_73, 2525_74	 	 	791_88	 
Escherichia coli O104:H4 str. Ec11-9990 (1240760.3)	200_1, 201_2, 202_4, 203_3, 465_3, 466_4, 467_2, 468_1	199_9, 469_10	1429_24, 1430_20, 1431_23, 1432_25, 1433_21, 1434_22, 1435_26	 	 	 	 	 	 	2715_51	2716	3529_64, 3530_66, 3531_67, 3532_69, 3533_73, 3534_74	 	 	1794_88	 
Escherichia coli O104:H4 str. Ec12-0465 (1240778.3)	1793_1, 1794_2, 1795_4, 1796_3, 2061_3, 2062_4, 2063_2, 2064_1	1792_9, 2065_10	3024_24, 3025_20, 3026_23, 3027_25, 3028_21, 3029_22, 3030_26	 	 	 	 	 	 	4271_51	4272	5123_64, 5124_66, 5125_67, 5126_69, 5127_73, 5128_74	 	 	3352_88	 
