Organism	FolE	FolQ	FolB	FolK	FolP	DHFS	DHFR	FPGS	pabAab	pabAc	FolT
Streptococcus agalactiae GB00013 (1154894.3)	796_1	 	794_7	793	795	797_11_19	1467_12	797_11_19	1669_22, 243_21	1669_22	920_27
Streptococcus agalactiae GB00018 (1154895.3)	1952_1	 	1950_7	1949	1951	1953_11_19	32_12	1953_11_19	1043_22, 337_21	1043_22	151_27
Streptococcus agalactiae GB00020 (1154896.3)	1949_1	 	1947_7	1946	1948	1950_11_19	726_12	1950_11_19	1047_22, 1710_21	1047_22	500_27
Streptococcus agalactiae GB00082 (1154897.3)	1743_1	 	1745_7	1746	1744	1742_11_19	466_12	1742_11_19	669_22, 869_21	669_22	786_27
Streptococcus agalactiae GB00083 (1154898.3)	1633_1	 	1635_7	1636	1634	1632_11_19	192_12	1632_11_19	687_21, 975_22	975_22	874_27
Streptococcus agalactiae GB00084 (1154899.3)	668_1	 	670_7	671	669	667_11_19	2012_12	667_11_19	1807_22, 889_21	1807_22	525_27
Streptococcus agalactiae GB00092 (1154900.3)	773_1	 	771_7	770	772	774_11_19	874_12	774_11_19	196_22, 97_21	196_22	 
Streptococcus agalactiae GB00097 (1154901.3)	357_1	 	359_7	360	358	356_11_19	1741_12	356_11_19	1132_21, 1595_22	1595_22	943_27
Streptococcus agalactiae GB00111 (1154902.3)	1029_1	 	1031_7	1032	1030	1028_11_19	1813_12	1028_11_19	114_22, 1546_21	114_22	434_27
Streptococcus agalactiae GB00112 (1178526.3)	1031_1	 	1033_7	1034	1032	1030_11_19	1929_12	1030_11_19	1350_21, 233_22	233_22	1533_27
Streptococcus agalactiae GB00115 (1154903.3)	1348_1	 	1346_7	1345	1347	1349_11_19	1856_12	1349_11_19	696_22, 769_21	696_22	471_27
Streptococcus agalactiae GB00174 (1154904.3)	82_1	 	80_7	79	81	83_11_19	1466_12	83_11_19	1182_22, 887_21	1182_22	349_26
Streptococcus agalactiae GB00190 (1154905.3)	604_1	 	602_7	601	603	605_11_19	104_12	605_11_19	1691_22, 905_21	1691_22	764_27
Streptococcus agalactiae GB00202 (1154906.3)	906_1	 	904_7	903	905	907_11_19	339_12	907_11_19	1065_21, 7_22	7_22	 
Streptococcus agalactiae GB00206 (1154907.3)	341_1	 	339_7	338	340	342_11_19	2037_12	342_11_19	1135_22, 670_21	1135_22	 
Streptococcus agalactiae GB00219 (1154908.3)	2010_1	 	2008_7	2007	2009	2011_11_19	1715_12	2011_11_19	237_22, 525_21	237_22	1125_27
Streptococcus agalactiae GB00226 (1154909.3)	782_1	 	784_7	785	783	781_11_19	434_12	781_11_19	1777_21, 1838_22	1838_22	 
Streptococcus agalactiae GB00241 (1154910.3)	478_1	 	476_7	475	477	479_11_19	965_12	479_11_19	1168_22, 784_21	1168_22	600_27
Streptococcus agalactiae GB00245 (1154911.3)	1896_1	 	1894_7	1893	1895	1897_11_19	70_12	1897_11_19	1341_22, 702_21	1341_22	 
Streptococcus agalactiae GB00247 (1154912.3)	1241_1	 	1243_7	1244	1242	1240_11_19	299_12	1240_11_19	137_21, 867_22	867_22	419_27
Streptococcus agalactiae GB00264 (1154913.3)	882_1	 	884_7	885	883	881_11_19	1662_12	881_11_19	1983_21, 42_22	42_22	 
Streptococcus agalactiae GB00279 (1154914.3)	832_1	 	830_7	829	831	833_11_19	1493_12	833_11_19	1672_21, 308_22	308_22	981_27, 982_27
Streptococcus agalactiae GB00300 (1154915.3)	1168_1	 	1166_7	1165	1167	1169_11_19	2040_12	1169_11_19	1722_21, 539_22	539_22	 
Streptococcus agalactiae GB00535 (1154916.3)	1881_1	 	1883_7	1884	1882	1880_11_19	1668_12	1880_11_19	1105_22, 660_21	1105_22	1153_27, 1154_26
Streptococcus agalactiae GB00543 (1154917.3)	413_1	 	411_7	410	412	414_11_19	1214_12	414_11_19	1553_21, 1657_22	1657_22	 
Streptococcus agalactiae GB00548 (1154918.3)	1939_1	 	1937_7	1936	1938	1940_11_19	222_12	1940_11_19	1074_22, 410_21	1074_22	 
Streptococcus agalactiae GB00555 (1154919.3)	1176_1	 	1178_7	1179	1177	1175_11_19	799_12	1175_11_19	125_22, 684_21	125_22	1336_27
Streptococcus agalactiae GB00557 (1154920.3)	196_1	 	194_7	193	195	197_11_19	1292_12	197_11_19	1748_21, 460_22	460_22	895_27
Streptococcus agalactiae GB00561 (1154921.3)	959_1	 	957_7	956	958	960_11_19	2161_12	960_11_19	1328_21, 1660_22	1660_22	 
Streptococcus agalactiae GB00588 (1154922.3)	1107_1	 	1105_7	1104	1106	1108_11_19	1588_12	1108_11_19	112_21, 421_22	421_22	850_27
Streptococcus agalactiae GB00601 (1154923.3)	1260_1	 	1262_7	1263	1261	1259_11_19	270_12	1259_11_19	1678_22, 830_21	1678_22	1076_27
Streptococcus agalactiae GB00614 (1154924.3)	1966_1	 	1968_7	1969	1967	1965_11_19	923_12	1965_11_19	1373_22, 253_21	1373_22	66_27
Streptococcus agalactiae GB00640 (1154925.3)	1568_1	 	1566_7	1565	1567	1569_11_19	119_12	1569_11_19	1057_21, 367_22	367_22	 
Streptococcus agalactiae GB00651 (1154926.3)	1781_1	 	1783_7	1784	1782	1780_11_19	1852_12	1780_11_19	1566_21, 1706_22	1706_22	 
Streptococcus agalactiae GB00653 (1154927.3)	2046_1	 	2048_7	2049	2047	2045_11_19	42_12	2045_11_19	1306_21, 590_22	590_22	 
Streptococcus agalactiae GB00654 (1154928.3)	978_1	 	976_7	975	977	979_11_19	1620_12	979_11_19	1777_21, 567_22	567_22	1225_27
Streptococcus agalactiae GB00663 (1154929.3)	494_1	 	496_7	497	495	493_11_19	2112_12	493_11_19	1390_21, 470_22	470_22	 
Streptococcus agalactiae GB00679 (1154930.3)	1194_1	 	1196_7	1197	1195	1193_11_19	781_12	1193_11_19	1357_21, 1832_22	1832_22	1625_27
Streptococcus agalactiae GB00864 (1154931.3)	1956_1	 	1954_7	1953	1955	1957_11_19	30_12	1957_11_19	438_21, 900_22	900_22	 
Streptococcus agalactiae GB00867 (1154933.3)	1647_1	 	1645_7	1644	1646	1648_11_19	28_12	1648_11_19	563_22, 835_21	563_22	1002_27
Streptococcus agalactiae GB00874 (1154934.3)	990_1	 	988_7	987	989	991_11_19	70_12	991_11_19	1920_21, 274_22	274_22	666_27
Streptococcus agalactiae GB00884 (1154935.3)	647_1	 	649_7	650	648	646_11_19	135_12	646_11_19	1093_22, 1864_21	1093_22	1009_27
Streptococcus agalactiae GB00887 (1154936.3)	1004_1	 	1006_7	1007	1005	1003_11_19	37_12	1003_11_19	1428_22, 1647_21	1428_22	 
Streptococcus agalactiae GB00888 (1154937.3)	1960_1	 	1958_7	1957	1959	1961_11_19	30_12	1961_11_19	1754_21, 625_22	625_22	 
Streptococcus agalactiae GB00891 (1154938.3)	1750_1	 	1748_7	1747	1749	1751_11_19	1133_12	1751_11_19	501_21, 693_22	693_22	650_27
Streptococcus agalactiae GB00893 (1154939.3)	1983_1	 	1981_7	1980	1982	1984_11_19	556_12	1984_11_19	116_22, 1431_21	116_22	1135_27
Streptococcus agalactiae GB00900 (1154943.3)	1130_1	 	1128_7	1127	1129	1131_11_19	446_12	1131_11_19	1603_21, 784_22	784_22	 
Streptococcus agalactiae GB00901 (1154944.3)	1827_1	 	1829_7	1830	1828	1826_11_19	1464_12	1826_11_19	1256_22, 1901_21	1256_22	654_27
Streptococcus agalactiae GB00904 (1154945.3)	1058_1	 	1056_7	1055	1057	1059_11_19	1834_12	1059_11_19	1139_22, 519_21	1139_22	 
Streptococcus agalactiae GB00909 (1154946.3)	1881_1	 	1883_7	1884	1882	1880_11_19	105_12	1880_11_19	1211_22, 782_21	1211_22	 
Streptococcus agalactiae GB00911 (1154947.3)	979_1	 	981_7	982	980	978_11_19	44_12	978_11_19	1961_21, 573_22	573_22	 
Streptococcus agalactiae GB00914 (1154948.3)	433_1	 	435_7	436	434	432_11_19	1999_12	432_11_19	605_21, 70_22	70_22	 
Streptococcus agalactiae GB00919 (1154949.3)	2285_1	 	2283_7	2282	2284	2286_11_19	1539_12	2286_11_19	1247_21, 17_22	17_22	 
Streptococcus agalactiae GB00922 (1154950.3)	1291_1	 	1289_7	1288	1290	1292_11_19	1821_12	1292_11_19	1619_22, 731_21	1619_22	 
Streptococcus agalactiae GB00923 (1154951.3)	563_1	 	561_7	560	562	564_11_19	1132_12	564_11_19	122_22, 2103_21	122_22	 
Streptococcus agalactiae GB00924 (1154952.3)	1975_1	 	1973_7	1972	1974	1976_11_19	635_12	1976_11_19	123_21, 1758_22	1758_22	256_27
Streptococcus agalactiae GB00929 (1154953.3)	326_1	 	324_7	323	325	327_11_19	1310_12	327_11_19	1886_21, 202_22	202_22	 
Streptococcus agalactiae GB00932 (1154954.3)	1578_1	 	1576_7	1575	1577	1579_11_19	29_12	1579_11_19	1673_22, 91_21	1673_22	685_27
Streptococcus agalactiae GB00933 (1154955.3)	706_1	 	708_7	709	707	705_11_19	1120_12	705_11_19	1766_21, 363_22	363_22	 
Streptococcus agalactiae GB00954 (1154959.3)	919_1	 	921_7	922	920	918_11_19	291_12	918_11_19	1114_21, 725_22	725_22	1542_26
Streptococcus agalactiae GB00955 (1154960.3)	1676_1	 	1678_7	1679	1677	1675_11_19	337_12	1675_11_19	2007_21, 584_22	584_22	994_27
Streptococcus agalactiae GB00963 (1154963.3)	194_1	 	192_7	191	193	195_11_19	1377_12	195_11_19	1192_22, 1741_21	1192_22	721_27
Streptococcus agalactiae GB00965 (1154964.3)	878_1	 	876_7	875	877	879_11_19	572_12	879_11_19	1726_22, 2002_21	1726_22	 
Streptococcus agalactiae GB00975 (1154965.3)	924_1	 	926_7	927	925	923_11_19	128_12	923_11_19	1075_22, 1773_21	1075_22	239_26
Streptococcus agalactiae GB00984 (1154966.3)	299_1	 	297_7	296	298	300_11_19	1812_12	300_11_19	1102_22, 1381_21	1102_22	 
Streptococcus agalactiae GB00986 (1154967.3)	344_1	 	342_7	341	343	345_11_19	158_12	345_11_19	1047_22, 98_21	1047_22	1632_27
Streptococcus agalactiae GB00999 (1154969.3)	530_1	 	532_7	533	531	529_11_19	1082_12	529_11_19	1329_22, 193_21	1329_22	750_27
Streptococcus agalactiae GD201008-001 (1203670.3)	1079_1	 	1077_7	1076	1078	1080_11_19	1220_12	1080_11_19	1426_22, 484_21	1426_22	 
Streptococcus agalactiae ILRI005 (1309807.3)	1143_1	 	1141_7	1140	1142	1144_11_19	1341_12	1144_11_19	1551_22, 477_21	1551_22	2129_26, 2130_27
Streptococcus agalactiae ILRI112 (1318615.3)	1137_1	 	1135_7	1134	1136	1138_11_19	1264_12	1138_11_19	1489_22, 489_21	1489_22	2045_26, 2046_27
Streptococcus agalactiae LADL-90-503 (1266066.3)	179_1	 	177_7	176	178	180_11_19	536_12	180_11_19	1244_22, 324_21	1244_22	1850_26, 1851_27, 1852_27
Streptococcus agalactiae LMG 15081 (1105272.3)	1301_1	 	1303_7	1304	1302	1300_11_19	1417_12	1300_11_19	1619_22, 97_21	1619_22	 
Streptococcus agalactiae LMG 15083 (1105273.3)	1252_1	 	1254_7	1255	1253	1251_11_19	33_12	1251_11_19	365_22, 407_21	365_22	 
Streptococcus agalactiae LMG 15084 (1105274.3)	238_1	 	236_7	235	237	239_11_19	770_12	239_11_19	1330_21, 1625_22	1625_22	898_27
Streptococcus agalactiae LMG 15085 (1154819.3)	1887_1	 	1885_7	1884	1886	1888_11_19	866_12	1888_11_19	568_21, 934_22	934_22	640_27
Streptococcus agalactiae LMG 15090 (1105276.3)	2013_1	 	2011_7	2010	2012	2014_11_19	1719_12	2014_11_19	1333_22, 192_21	1333_22	1221_27
Streptococcus agalactiae LMG 15091 (1154820.3)	2030_1	 	2028_7	2027	2029	2031_11_19	632_12	2031_11_19	222_21, 314_22	314_22	493_27
Streptococcus agalactiae LMG 15092 (1154821.3)	1888_1	 	1886_7	1885	1887	1889_11_19	1617_12	1889_11_19	564_22, 922_21	564_22	76_27
Streptococcus agalactiae LMG 15094 (1154823.3)	1033_1	 	1031_7	1030	1032	1034_11_19	1894_12	1034_11_19	1479_21, 543_22	543_22	84_27
Streptococcus agalactiae LMG 15095 (1154824.3)	518_1	 	520_7	521	519	517_11_19	1939_12	517_11_19	1593_21, 856_22	856_22	1063_27
Streptococcus agalactiae MRI Z1-012 (1154863.3)	889_1	 	891_7	892	890	888_11_19	141_12	888_11_19	1578_21, 1887_22	1887_22	934_27
Streptococcus agalactiae MRI Z1-022 (1154864.3)	1309_1	 	1311_7	1312	1310	1308_11_19	743_12	1308_11_19	2077_21, 894_22	894_22	 
Streptococcus agalactiae MRI Z1-023 (1154865.3)	1388_1	 	1390_7	1391	1389	1387_11_19	312_12	1387_11_19	2038_21, 516_22	516_22	115_27
Streptococcus agalactiae MRI Z1-025 (1154867.3)	2039_1	 	2037_7	2036	2038	2040_11_19	420_12	2040_11_19	623_22, 89_21	623_22	155_27
Streptococcus agalactiae MRI Z1-198 (1154835.3)	616_1	 	618_7	619	617	615_11_19	1996_12	615_11_19	297_22, 89_21	297_22	 
Streptococcus agalactiae MRI Z1-199 (1154836.3)	1224_1	 	1226_7	1227	1225	1223_11_19	509_12	1223_11_19	1186_21, 341_22	341_22	 
Streptococcus agalactiae MRI Z1-200 (1154837.3)	369_1	 	367_7	366	368	370_11_19	75_12	370_11_19	1047_21, 1892_22	1892_22	195_27
Streptococcus agalactiae MRI Z1-201 (1154838.3)	570_1	 	568_7	567	569	571_11_19	1271_12	571_11_19	875_21, 988_22	988_22	1428_27
Streptococcus agalactiae MRI Z1-202 (1154839.3)	836_1	 	834_7	833	835	837_11_19	16_12	837_11_19	1873_22, 238_21	1873_22	 
Streptococcus agalactiae MRI Z1-203 (1154840.3)	36_1	 	38_7	39	37	35_11_19	1284_12	35_11_19	1538_22, 453_21	1538_22	186_27
Streptococcus agalactiae MRI Z1-204 (1154841.3)	647_1	 	649_7	650	648	646_11_19	163_12	646_11_19	1255_21, 1797_22	1797_22	1416_27
Streptococcus agalactiae MRI Z1-205 (1154842.3)	1847_1	 	1849_7	1850	1848	1846_11_19	1395_12	1846_11_19	1597_22, 329_21	1597_22	665_27
Streptococcus agalactiae MRI Z1-206 (1154843.3)	1886_1	 	1888_7	1889	1887	1885_11_19	1473_12	1885_11_19	365_22, 516_21	365_22	1221_27
Streptococcus agalactiae MRI Z1-211 (1154874.3)	1104_1	 	1106_7	1107	1105	1103_11_19	2027_12	1103_11_19	1822_22, 506_21	1822_22	68_27
Streptococcus agalactiae MRI Z1-212 (1154875.3)	1110_1	 	1108_7	1107	1109	1111_11_19	1350_12	1111_11_19	1557_22, 1908_21	1557_22	452_27
Streptococcus agalactiae MRI Z1-213 (1154876.3)	1698_1	 	1700_7	1701	1699	1697_11_19	805_12	1697_11_19	1172_21, 1362_22	1362_22	707_27, 709_26
Streptococcus agalactiae MRI Z1-214 (1154877.3)	1839_1	 	1837_7	1836	1838	1840_11_19	216_12	1840_11_19	1511_22, 2188_21	1511_22	788_26, 790_27
Streptococcus agalactiae MRI Z1-215 (1154878.3)	506_1	 	504_7	503	505	507_11_19	1387_12	507_11_19	1182_22, 1498_21	1182_22	70_27
Streptococcus agalactiae MRI Z1-216 (1154879.3)	731_1	 	733_7	734	732	730_11_19	333_12	730_11_19	1639_22, 2273_21	1639_22	1203_27, 1205_26
Streptococcus agalactiae MRI Z1-217 (1154880.3)	103_1	 	101_7	100	102	104_11_19	51_12	104_11_19	757_22, 981_21	757_22	2140_27, 2142_26
Streptococcus agalactiae MRI Z1-218 (1154881.3)	1861_1	 	1863_7	1864	1862	1860_11_19	1212_12	1860_11_19	1556_21, 60_22	60_22	 
Streptococcus agalactiae MRI Z1-219 (1154882.3)	833_1	 	831_7	830	832	834_11_19	1905_12	834_11_19	1072_21, 54_22	54_22	 
Streptococcus agalactiae PR06 (1279012.3)	1905_1	 	1907_7	1908	1906	1904_11_19	1544_12	1904_11_19	1280_21, 1594_22	1594_22	1087_27
Streptococcus agalactiae SA20-06 (1231389.3)	992_1	 	990_7	989	991	993_11_19	1115_12	993_11_19	1320_22, 478_21	1320_22	1827_26, 1828_27, 1829_27
Streptococcus agalactiae SS1014 (1266070.3)	1075_1	 	1073_7	1072	1074	1076_11_19	1220_12	1076_11_19	1425_22, 478_21	1425_22	 
Streptococcus agalactiae SS1218 (1266068.3)	1000_1	 	998_7	997	999	1001_11_19	1120_12	1001_11_19	1331_22, 470_21	1331_22	1830_26, 1831_27, 1832_27
Streptococcus agalactiae SS1219 (1265684.3)	1054_1	 	1052_7	1051	1053	1055_11_19	827_12	1055_11_19	1170_22, 81_21	1170_22	734_26, 735_27, 736_27
Streptococcus agalactiae STIR-CD-01 (1154844.3)	1611_1	 	1613_7	1614	1612	1610_11_19	1781_12	1610_11_19	177_21, 200_22	200_22	 
Streptococcus agalactiae STIR-CD-09 (1154846.3)	703_1	 	701_7	700	702	704_11_19	1673_12	704_11_19	417_22, 906_21	417_22	798_27, 799_27, 800_26
Streptococcus agalactiae STIR-CD-14 (1154848.3)	179_1	 	177_7	176	178	180_11_19	1297_12	180_11_19	1364_21, 1838_22	1838_22	 
Streptococcus agalactiae STIR-CD-17 (1097670.3)	825_1	 	827_7	828	826	824_11_19	550_12	824_11_19	1385_22, 187_21	1385_22	1476_27, 1477_27, 1478_26
Streptococcus agalactiae STIR-CD-21 (1154849.3)	15_1	 	17_7	18	16	14_11_19	1643_12	14_11_19	145_22, 814_21	145_22	 
Streptococcus agalactiae STIR-CD-22 (1154850.3)	1052_1	 	1050_7	1049	1051	1053_11_19	2000_12	1053_11_19	1088_21, 1401_22	1401_22	 
Streptococcus agalactiae STIR-CD-23 (1154851.3)	8_1	 	10_7	11	9	7_11_19	1297_12	7_11_19	534_21, 607_22	607_22	 
Streptococcus agalactiae STIR-CD-24 (1154852.3)	55_1	 	57_7	58	56	54_11_19	1373_12	54_11_19	187_21, 27_22	27_22	 
Streptococcus agalactiae STIR-CD-26 (1154854.3)	1806_1	 	1804_7	1803	1805	1807_11_19	1964_12	1807_11_19	251_22, 432_21	251_22	 
Streptococcus agalactiae STIR-CD-27 (1154855.3)	2032_1	 	2030_7	2029	2031	2033_11_19	1566_12	2033_11_19	179_21, 575_22	575_22	 
Streptococcus agalactiae STIR-CD-28 (1154856.3)	1864_1	 	1866_7	1867	1865	1863_11_19	1397_12	1863_11_19	1101_21, 993_22	993_22	274_27
Streptococcus agalactiae STIR-CD-29 (1154857.3)	661_1	 	663_7	664	662	660_11_19	1547_12	660_11_19	1406_22, 879_21	1406_22	1144_26, 1145_27, 1146_27
Streptococcus agalactiae ZQ0910 (1156939.3)	927_1	 	929_7	930	928	926_11_19	793_12	926_11_19	1514_21, 589_22	589_22	 
Streptococcus agalactiae NEM316 (211110.3)	1213_1	 	1211_7	1210	1212	1214_11_19	1415_12	1214_11_19	1622_22, 524_21	1622_22	 
Streptococcus agalactiae A909 (205921.4)	1144_1	 	1142_7	1141	1143	1145_11_19	1296_12	1145_11_19	1508_22, 487_21	1508_22	 
Streptococcus agalactiae 2603V/R (208435.3)	1124_1	 	1122_7	1121	1123	1125_11_19	1322_12	1125_11_19	1537_22, 460_21	1537_22	 
Streptococcus agalactiae str. Gottschalk 1002A (1105236.3)	1002_1	 	1004_7	1005	1003	1001_11_19	1657_12	1001_11_19	1599_21, 1985_22	1985_22	 
Streptococcus agalactiae str. Gottschalk 1003A (1154888.3)	567_1	 	565_7	564	566	568_11_19	1346_12	568_11_19	57_21, 887_22	887_22	 
Streptococcus agalactiae str. Gottschalk 13227 (1105238.3)	359_1	 	361_7	362	360	358_11_19	1561_12	358_11_19	1015_21, 2039_22	2039_22	97_27
Streptococcus agalactiae str. Gottschalk 2864 (1105239.3)	944_1	 	946_7	947	945	943_11_19	711_12	943_11_19	507_22, 769_21	507_22	377_27
Streptococcus agalactiae str. Gottschalk 31825 (1105240.3)	263_1	 	261_7	260	262	264_11_19	297_12	264_11_19	1278_21, 548_22	548_22	 
Streptococcus agalactiae str. Gottschalk 992B (1154890.3)	1925_1	 	1927_7	1928	1926	1924_11_19	1019_12	1924_11_19	797_22, 918_21	797_22	533_27
Streptococcus agalactiae str. Gottschalk 998A (1105241.3)	243_1	 	245_7	246	244	242_11_19	1065_12	242_11_19	1553_21, 865_22	865_22	 
Streptococcus agalactiae str. Gottschalk 999B (1105242.3)	726_1	 	724_7	723	725	727_11_19	279_12	727_11_19	1159_22, 84_21	1159_22	778_27
Streptococcus anginosus 1_2_62CV (742820.3)	 	294_4	 	 	 	1479_11_19, 1640_11_19	640_12	1479_11_19, 1640_11_19	 	 	1563_26, 1564_27, 1565_27, 1639_25
Streptococcus anginosus CCUG 39159 (1095729.3)	 	22_4	 	 	 	2059_11_19, 835_11_19	653_12	2059_11_19, 835_11_19	 	 	2003_26, 2004_27, 2005_27, 836_25
Streptococcus anginosus F0211 (706437.3)	 	1355_4	 	 	 	251_11_19, 816_11_19	434_12	251_11_19, 816_11_19	 	 	350_26, 351_27, 352_27, 817_25
Streptococcus anginosus SK1138 (1161422.3)	 	1352_4	 	 	 	39_11_19, 671_11_19	1693_12	39_11_19, 671_11_19	 	 	38_25, 746_26, 747_27, 748_27
Streptococcus anginosus SK52 (1000570.3)	 	1513_4	 	 	 	264_11_19, 577_11_19	1275_12	264_11_19, 577_11_19	 	 	265_25, 794_27, 795_27, 796_26
Streptococcus constellatus subsp. constellatus SK53 (1095730.3)	 	1621_4	 	 	 	1570_11_19, 917_11_19	124_12	1570_11_19, 917_11_19	 	 	1356_27, 1357_27, 1358_26, 916_25
Streptococcus intermedius ATCC 27335 (1316583.3)	 	1014_3	 	 	 	1397_11_19, 1723_11_19	493_12	1397_11_19, 1723_11_19	 	 	1398_25
Streptococcus intermedius BA1 (1248420.3)	 	 	 	 	 	1611_11_19, 1757_11_19	779_12	1611_11_19, 1757_11_19	 	 	1610_25, 1842_26, 1843_27, 1844_27
Streptococcus intermedius F0395 (857292.4)	 	 	 	 	 	1432_11_19, 1806_11_19	430_12	1432_11_19, 1806_11_19	 	 	1431_25, 1898_26, 1899_27, 1900_27
Streptococcus intermedius F0413 (883167.4)	 	230_4	 	 	 	1166_11_19, 1796_11_19	602_12	1166_11_19, 1796_11_19	 	 	1167_25, 1898_26, 1899_27, 1900_27
Streptococcus intermedius JTH08 (591365.3)	 	1173_3	 	 	 	1626_11_19, 1750_11_19	785_12	1626_11_19, 1750_11_19	 	 	1625_25
Streptococcus intermedius SK54 (1095731.3)	 	667_3	 	 	 	301_11_19, 941_11_19	1367_12	301_11_19, 941_11_19	 	 	300_25
Streptococcus australis ATCC 700641 (888833.3)	1380_1	 	1379_7	1379_7	1382	1381_11_19, 1681_11_19	692_12	1381_11_19, 1681_11_19	1932_22, 370_21	1932_22	1619_27, 1620_27, 1621_26
Streptococcus cristatus ATCC 51100 (889201.3)	423_1	 	422_7	422_7	425	424_11_19, 676_11_19	1226_12, 290_12	424_11_19, 676_11_19	1885_21, 377_22	377_22	 
Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957 (663952.3)	886_1	 	888_7	889	887	767_11_19, 768_11_19, 884_11_19, 885_11_19	839_12, 937_12	767_11_19, 768_11_19, 884_11_19, 885_11_19	215_21, 216_22	216_22	2202_26, 2203_27, 2204_27
Streptococcus dysgalactiae subsp. equisimilis AC-2713 (759913.3)	821_1	 	823_7	824	822	745_11_19, 820_11_19	806_12, 871_12	745_11_19, 820_11_19	177_21, 178_22	178_22	2153_26, 2154_27, 2155_27
Streptococcus dysgalactiae subsp. equisimilis ATCC 12394 (663954.3)	963_1	 	965_7	966	964	832_11_19, 962_11_19	1015_12, 898_12	832_11_19, 962_11_19	181_21, 182_22	182_22	2176_26, 2177_27, 2178_27
Streptococcus dysgalactiae subsp. equisimilis GGS_124 (486410.3)	837_1	 	839_7	840	838	751_11_19, 836_11_19	823_12, 886_12	751_11_19, 836_11_19	176_21, 177_22	177_22	2136_26, 2137_27, 2138_27
Streptococcus dysgalactiae subsp. equisimilis RE378 (617121.3)	883_1	 	885_7	886	884	783_11_19, 882_11_19	851_12, 933_12	783_11_19, 882_11_19	178_21, 179_22	179_22	2127_26, 2128_27, 2129_27
Streptococcus dysgalactiae subsp. equisimilis SK1250 (1005706.3)	1129_1	 	1131_7	1132	1130	1034_11_19, 1128_11_19	1097_12, 1184_12	1034_11_19, 1128_11_19	467_21, 468_22	468_22	260_26, 261_27, 262_27
Streptococcus equi subsp. equi (148942.4)	1012_1	 	1014_7	1015	1013	1011_11_19	1000_12	1011_11_19	1851_22, 1852_21	 	2003_26, 2004_27, 2005_27
Streptococcus equi subsp. equi 4047 (553482.3)	1143_1	 	1145_7	1146	1144	1142_11_19	1129_12	1142_11_19	2085_22, 2086_21	 	2275_26, 2276_27, 2277_27
Streptococcus equi subsp. zooepidemicus (40041.11)	959_1	 	961_7	962	960	958_11_19	945_12	958_11_19	1935_22, 1936_21	1935_22	2059_26, 2060_27, 2061_27
Streptococcus equi subsp. zooepidemicus ATCC 35246 (1051072.7)	1158_1	 	1156_7	1155	1157	1159_11_19	1176_12	1159_11_19	1991_22, 1992_21	1991_22	2118_26, 2119_27, 2120_27
Streptococcus equi subsp. zooepidemicus BHS5 (681573.3)	828_1	 	826_7	825	827	829_11_19	843_12	829_11_19	2020_22, 2021_21	2020_22	12_26, 13_27, 14_27
Streptococcus equi subsp. zooepidemicus MGCS10565 (552526.8)	1091_1	 	1089_7	1088	1090	1092_11_19, 1093_11_19	1106_12	1092_11_19, 1093_11_19	1834_22, 1835_21	1834_22	1982_27
Streptococcus bovis ATCC 700338 (864569.5)	629_1	 	627_7	626	628	630_11_19, 780_11_19	692_12	630_11_19, 780_11_19	631_22, 633_22	631_22, 633_22	1631_26, 1632_27, 1633_27, 2014_25
Streptococcus equinus ATCC 9812 (525379.3)	203_1	 	201_7	200	202	204_11_19, 327_11_19	219_12	204_11_19, 327_11_19	245_22, 246_21	 	1051_25, 981_26, 982_27, 983_27
Streptococcus gallolyticus UCN34 (637909.5)	1228_1	 	1226_7	1225	1227	1229_11_19, 1343_11_19	1252_12	1229_11_19, 1343_11_19	1234_22, 573_21	1234_22	2231_26, 2232_27, 2233_27, 641_25
Streptococcus gallolyticus subsp. gallolyticus ATCC 43143 (981539.3)	1227_1	 	1225_7	1224	1226	1228_11_19, 1345_11_19	1252_12	1228_11_19, 1345_11_19	1233_22, 549_21	1233_22	2289_26, 2290_27, 2291_27, 626_25
Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069 (990317.3)	1215_1	 	1213_7	1212	1214	1216_11_19, 1331_11_19	1239_12	1216_11_19, 1331_11_19	1221_22, 514_21	1221_22	2277_26, 2278_27, 2279_27, 591_25
Streptococcus gallolyticus subsp. gallolyticus TX20005 (545774.3)	792_1	 	790_7	789	791	793_11_19, 911_11_19	817_12	793_11_19, 911_11_19	798_22, 98_21	798_22	1882_26, 1883_27, 1884_27, 194_25
Streptococcus gordonii str. Challis substr. CH1 (467705.9)	1847_1	1314_4	1878_7	1878_7	1880	1879_11_19, 1988_11_19	1126_12	1879_11_19, 1988_11_19	308_22, 647_21	308_22	 
Streptococcus infantarius subsp. infantarius ATCC BAA-102 (471872.6)	103_1	 	105_7	 	104	102_11_19, 1383_11_19	310_12	102_11_19, 1383_11_19	101_22, 579_21	101_22	481_26, 482_27, 483_27, 513_25
Streptococcus infantarius subsp. infantarius CJ18 (1069533.5)	1108_1	 	1106_7	1105	1107	1109_11_19, 1210_11_19	1128_12	1109_11_19, 1210_11_19	1110_22, 477_21	1110_22	2002_26, 2003_27, 2004_27, 547_25
Streptococcus infantis ATCC 700779 (889204.3)	879_1	 	880_7	880_7	877	482_11_19, 878_11_19	1065_12	482_11_19, 878_11_19	1115_22, 235_21	1115_22	353_26, 354_27, 355_27
