Organism	dxs	gapA	PdxB	PdxF	PdxA	PdxJ	PdxH	PdxK	PdxTS	PdxP	PdxU
Escherichia coli DEC11A (868186.3)	339	1738	2684_3	938	5106_6	2940	1962	1960_11, 2767_11	 	2890_16	 
Escherichia coli DEC11B (868187.3)	370	1671	2704_3	931	5126_6	2998	1931	1929_11, 2785_11	 	706_16	 
Escherichia coli DEC11C (868188.3)	504	1717	2844_3	1040	92_6	3140	1982	1980_11, 2928_11	 	879_16	 
Escherichia coli DEC11D (868189.3)	806	1882	3002_3	1353	431_6	3290	2124	2122_11, 3087_11	 	1160_16	 
Escherichia coli DEC11E (868190.3)	463	1600	2652_3	1019	93_6	2944	1781	1779_11, 2737_11	 	 	 
Escherichia coli DEC12A (868191.3)	561	1647, 2019, 2020	2805_3	1082	168_6	3066	1864	1862_11, 2910_11	 	 	 
Escherichia coli DEC12B (868192.3)	625	1900, 2368, 2369	3224_3	1307	254_6	3502	2232	2230_11, 3312_11	 	 	 
Escherichia coli DEC12C (868193.3)	966	2128	3319_3	1540	524_6	3650	2382	2380_11, 3410_11	 	1348_16	 
Escherichia coli DEC12D (868194.3)	525	1900	3036_3	1210	115_6	3371	2102	2100_11, 3195_11	 	 	 
Escherichia coli DEC12E (868195.3)	1731	1424	2812_3	831	165_6	3049	1968	1966_11, 2897_11	 	632_16	 
Escherichia coli DEC13A (868196.3)	629	 	2529_3	1096	283_6	2751	1746	1744_11, 2606_11	 	949_16	 
Escherichia coli DEC13B (868197.3)	396	 	2253_3	859	44_6	2518	1488	1486_11, 2372_11	 	713_16	 
Escherichia coli DEC13C (868198.3)	558	1820	2951_3	1194	203_6	3178	2056	2054_11, 3029_11	 	893_16	 
Escherichia coli DEC13D (868199.3)	480	1939	2668_3	1077	121_6	2896	1798	1796_11, 2748_11	 	 	 
Escherichia coli DEC13E (868200.3)	424	1623, 1991, 1992	2684_3	978	72_6	2910	1845	1843_11, 2761_11	 	746_16	 
Escherichia coli DEC14A (868201.3)	412	1408	2509_3, 2966_4	926	46_6	2740	1723	1721_11, 2591_11	 	732_16	 
Escherichia coli DEC14B (868202.3)	602	1906	2898_3	1352	210_6	3135	2149	2147_11, 2983_11	 	 	 
Escherichia coli DEC14C (868203.3)	549	1663	2768_3	1182	161_6	3011	1943	1941_11, 2861_11	 	 	 
Escherichia coli DEC14D (868204.3)	457	 	2742_3	1178	5147_6	3027	1948	1946_11, 2879_11	 	803_16	 
Escherichia coli DEC15A (868206.3)	423	1778	2955_3	947	59_6	3218	2098	2096_11, 3073_11	 	 	 
Escherichia coli DEC15B (868207.3)	270	1514	2691_3	791	5168_6	2916	1800	1798_11, 2768_11	 	597_16	 
Escherichia coli DEC15C (868208.3)	240	1505	2655_3	765	5053_6	2879	1821	1819_11, 2733_11	 	 	 
Escherichia coli DEC15D (868209.3)	220	1483	2562_3	770	4989_6	2785	1756	1754_11, 2640_11	 	546_16	 
Escherichia coli DEC15E (868210.3)	505	1788, 2229, 2230	2947_3	1032	156_6	3175	2089	2087_11, 3027_11	 	 	 
Escherichia coli DEC1A (868133.3)	573	1630	2717_3, 3228_4, 3314_4	1096	189_6, 803_7	2950	1840	1838_11, 2799_11	 	 	 
Escherichia coli DEC1B (868134.3)	454	 	2695_3, 3210_4, 3311_4	1039	703_7, 94_6	2938	1873	1871_11, 2781_11	 	781_16	 
Escherichia coli DEC1C (868135.3)	542	1699	2953_3, 3334_4, 3417_4	1096	201_6, 777_7	3189	1956	1954_11, 3037_11	 	861_16	 
Escherichia coli DEC1D (868136.3)	976	2205	3239_3, 3725_4, 3812_4	1508	1209_7, 602_6	3462	2473	2471_11, 3325_11	 	1286_16	 
Escherichia coli DEC1E (868137.3)	547	1667	2878_3, 3382_4, 3469_4	1160	206_6, 777_7	3116	1874	1872_11, 2959_11	 	857_16	 
Escherichia coli DEC2A (868138.3)	731	1818, 2217, 2218	2873_3, 3273_4, 3358_4	1255	304_6, 963_7	3111	2074	2072_11, 2957_11	 	1039_16	 
Escherichia coli DEC2B (868139.3)	498	1671	2827_3, 3315_4, 3398_4	1086	149_6, 729_7	3063	1895	1893_11, 2910_11	 	806_16	 
Escherichia coli DEC2C (868140.3)	401	1556	2729_3, 3239_4, 3325_4	976	45_6, 633_7	2963	1796	1794_11, 2812_11	 	709_16	 
Escherichia coli DEC2D (868141.3)	666	1714	2895_3, 3390_4, 3474_4	1205	330_6, 894_7	3127	1937	1935_11, 2978_11	 	971_16	 
Escherichia coli DEC2E (868142.3)	452	1213	2282_3, 2797_4, 2882_4	 	94_6	2519	1362	1360_11, 2365_11	 	 	 
Escherichia coli DEC3A (868143.3)	406	 	3173_3	1043	5350_6	3415	2211	2209_11, 3266_11	 	811_16	 
Escherichia coli DEC3B (868144.3)	328	2538, 2539	3261_3	863	5530_6	3504	2388	2386_11, 3356_11	 	676_16	 
Escherichia coli DEC3C (868145.3)	623	2782, 2783	3530_3	1182	262_6	3778	2631	2629_11, 3627_11	 	973_16	 
Escherichia coli DEC3D (868146.3)	448	2399, 2400	3225_3	987	49_6	3466	2246	2244_11, 3319_11	 	804_16	 
Escherichia coli DEC3E (868147.3)	606	 	3396_3	1268	172_6	3638	2424	2422_11, 3489_11	 	965_16	 
Escherichia coli DEC3F (868148.3)	742	 	3461_3	1343	369_6	3705	2520	2518_11, 3553_11	 	1059_16	 
Escherichia coli DEC4A (868149.3)	299	 	2947_3	883	4892_6	3188	2151	2149_11, 3040_11	 	679_16	 
Escherichia coli DEC4B (868150.3)	301	 	3104_3	870	5577_6	3415	2137	2135_11, 3264_11	 	660_16	 
Escherichia coli DEC4E (868153.3)	454	 	3243_3	1099	5410_6	3487	2297	2295_11, 3339_11	 	903_16	 
Escherichia coli DEC4F (868154.3)	306	 	3054_3	989	5213_6	3298	2205	2203_11, 3150_11	 	652_16	 
Escherichia coli DEC5A (868155.3)	427	 	2793_3	980	22_6	3085	1901	1899_11, 2939_11	 	5242_16	 
Escherichia coli DEC5B (868156.3)	640	 	3008_3	1233	169_6	3290	2141	2139_11, 3098_11	 	1024_16	 
Escherichia coli DEC5C (868157.3)	618	 	2948_3	1331	139_6	3187	2114	2112_11, 3042_11	 	1089_16	 
Escherichia coli DEC5D (868158.3)	776	 	3005_3	1402	323_6	3243	2232	2230_11, 3096_11	 	1195_16	 
Escherichia coli DEC5E (868159.3)	300	1963, 1964	2801_3	902	5405_6	3127	1811	1809_11, 2895_11	 	 	 
Escherichia coli DEC6A (868160.3)	558	2069, 2070	2847_3	1037	30_6	3100	1859	1857_11, 2932_11	 	887_16	 
Escherichia coli DEC6B (868161.3)	553	 	3193_3	1071	121_6	3396	2186	2184_11, 3227_11	 	1967_16	 
Escherichia coli DEC6C (868162.3)	585	2178, 2179	3007_3	1148	235_6	3256	2031	2029_11, 3096_11	 	970_16	 
Escherichia coli DEC6D (868163.3)	670	2160, 2161	2872_3	1145	226_6	3120	2010	2008_11, 2966_11	 	985_16	 
Escherichia coli DEC6E (868164.3)	382	 	2759_3	902	3_6	2998	1974	1972_11, 2849_11	 	691_16	 
Escherichia coli DEC7A (868165.3)	812	1816	2866_3	1288	424_6	3105	2066	2064_11, 2950_11	 	1142_16	 
Escherichia coli DEC7B (868166.3)	478	1503, 1916, 1917	2534_3	1026	35_6	2762	1767	1765_11, 2614_11	 	804_16	 
Escherichia coli DEC7C (868167.3)	504	1549	2720_3	973	167_6	2950	1917	1915_11, 2800_11	 	827_16	 
Escherichia coli DEC7D (868168.3)	653	1655	2756_3	1123	229_6	2989	1951	1949_11, 2835_11	 	976_16	 
Escherichia coli DEC7E (868169.3)	451	1464	2573_3	867	41_6	2815	1768	1766_11, 2654_11	 	975_16	 
Escherichia coli DEC8A (868170.3)	572	1747, 2180, 2181	2844_3, 3359_4	1083	87_6	3084	1992	1990_11, 2934_11	 	926_16	 
Escherichia coli DEC8B (868171.3)	404	1725	3071_3, 3648_4	955	34_6	3431	2041	2039_11, 3280_11	 	755_16	 
Escherichia coli DEC8C (868172.3)	598	2245, 2723, 2724	3580_3, 4190_4	1225	185_6	3842	2580	2578_11, 3691_11	 	986_16	 
Escherichia coli DEC8D (868173.3)	586	1996	3059_3, 3724_4	1317	161_6	3360	2203	2201_11, 3161_11	 	1084_16	 
Escherichia coli DEC8E (868174.3)	700	1980	3283_3, 3768_4	1217	288_6	3528	2308	2306_11, 3377_11	 	1036_16	 
Escherichia coli DEC9A (868175.3)	535	1736, 2186	2896_3, 3543_4	1077	83_6	3234	2005	2003_11, 3066_11	 	864_16	 
Escherichia coli DEC9C (868177.3)	452	1609, 2109	2755_3, 3358_4	1059	45_6	3062	1923	1921_11, 2899_11	 	826_16	 
Escherichia coli DEC9D (868178.3)	679	1782, 2214	2889_3, 3536_4	1233	5559_6	3259	2027	2025_11, 3042_11	 	 	 
Escherichia coli DEC9E (868179.3)	462	1873, 2370	3048_3, 3659_4	1112	50_6	3343	2173	2171_11, 3195_11	 	 	 
Escherichia coli DH1 (536056.3)	3371	 	1404_3	2889	3751_6	1161	2116	1308_11, 2118_11	 	 	 
Escherichia coli E101 (550685.3)	2915	4412	2262_3, 515_4	805	2087_6	3314	584	4146_11, 586_11	 	3509_16	 
Escherichia coli E1167 (656372.3)	3236	2512	2172_3	3044	1718_6	1894	849	2039_11, 847_11	 	3944_16	 
Escherichia coli E128010 (670894.3)	3232	225	2189_3	4080	3608_6	4489	366	368_11, 4260_11	 	 	 
Escherichia coli E1520 (656374.3)	212	1298, 1661, 1662	2289_3	757	3713_6	2576	1515	1513_11, 2428_11	 	 	 
Escherichia coli E2348/69 (216593.1)	3183	2011	1283_4, 2411_3, 5295_4	1553	2943_7, 3523_6	149	410	2308_11, 408_11	 	2864_16	 
Escherichia coli E24377A (331111.12)	759	1882	2899_3	1293	385_6	3128	2133	2131_11, 2975_11	 	1082_16	 
Escherichia coli E482 (550687.3)	201	 	2481_3	713	3743_6	2166	3173	2337_11, 3175_11	 	523_16	 
Escherichia coli EC1734 (1005536.3)	602	 	3204_3	1119	178_6	3530	2280	2278_11, 3383_11	 	807_16	 
Escherichia coli EC1735 (1005537.3)	569	 	3080_3	1114	139_6	3355	2230	2228_11, 3207_11	 	916_16	 
Escherichia coli EC1736 (1005538.3)	454	 	3000_3	996	32_6	3317	2120	2118_11, 3170_11	 	800_16	 
Escherichia coli EC1737 (1005539.3)	461	 	2967_3	999	69_6	3246	2105	2103_11, 3100_11	 	805_16	 
Escherichia coli EC1738 (1005535.3)	753	 	3340_3	1170	286_6	3579	2423	2421_11, 3432_11	 	959_16	 
Escherichia coli EC1845 (1005540.3)	447	 	2912_3	980	32_6	3214	2020	2018_11, 3067_11	 	790_16	 
Escherichia coli EC1846 (1005541.3)	456	 	2971_3	998	43_6	3318	2064	2062_11, 3171_11	 	802_16	 
Escherichia coli EC1847 (1005542.3)	449	 	2974_3	986	33_6	3328	2065	2063_11, 3180_11	 	795_16	 
Escherichia coli EC1848 (1005543.3)	695	 	3253_3	1237	256_6	3563	2320	2318_11, 3415_11	 	1044_16	 
Escherichia coli EC1849 (1005544.3)	463	 	2977_3	1013	40_6	3286	2064	2062_11, 3138_11	 	814_16	 
Escherichia coli EC1850 (1005545.3)	624	 	3177_3	1168	197_6	3485	2257	2255_11, 3337_11	 	973_16	 
Escherichia coli EC1856 (1005546.3)	488	 	3024_3	1034	51_6	3334	2121	2119_11, 3188_11	 	840_16	 
Escherichia coli EC1862 (1005547.3)	446	 	2946_3	980	39_6	3251	2037	2035_11, 3104_11	 	791_16	 
Escherichia coli EC1863 (1005548.3)	274	 	2746_3	813	5087_6	3042	1834	1832_11, 2895_11	 	614_16	 
Escherichia coli EC1864 (1005549.3)	642	 	3160_3	1189	205_6	3461	2268	2266_11, 3315_11	 	993_16	 
Escherichia coli EC1865 (1005550.3)	707	2025	3173_3, 3744_4	1215	309_6	3495	2300	2298_11, 3297_11	 	1052_16	 
Escherichia coli EC1866 (1005551.3)	283	 	2827_3	832	5205_6	3173	1911	1909_11, 3025_11	 	632_16	 
Escherichia coli EC1869 (1005553.3)	615	 	3164_3	1162	181_6	3464	2250	2248_11, 3316_11	 	966_16	 
Escherichia coli EC1870 (1005554.3)	387	 	2933_3	931	5313_6	3234	2012	2010_11, 3085_11	 	734_16	 
Escherichia coli EC302/04 (1230480.3)	3813	2133	1373_3, 2864_4	4432	782_6	4392	1725	1723_11, 3653_11	 	1182_16	 
Escherichia coli EC4013 (1005529.3)	755	 	3240_3	1289	340_6	3539	2376	2374_11, 3392_11	 	1098_16	 
Escherichia coli EC4196 (1005524.3)	447	 	2923_3	2698	50_6	3225	1980	1978_11, 3079_11	 	786_16	 
Escherichia coli EC4203 (1005523.3)	446	 	2940_3	975	33_6	3247	2058	2056_11, 3099_11	 	785_16	 
Escherichia coli EC4402 (1005530.3)	559	 	2991_3	1094	153_6	3290	2129	2127_11, 3141_11	 	896_16	 
Escherichia coli EC4421 (1005527.3)	446	 	2939_3	986	33_6	3182	2086	2084_11, 3033_11	 	791_16	 
Escherichia coli EC4422 (1005528.3)	687	 	3183_3	1223	265_6	3426	2329	2327_11, 3278_11	 	1029_16	 
Escherichia coli EC4436 (1005532.3)	476	 	2936_3	1009	70_6	3258	2081	2079_11, 3110_11	 	812_16	 
Escherichia coli EC4437 (1005533.3)	684	 	3156_3	1220	267_6	3473	2303	2301_11, 3326_11	 	1023_16	 
Escherichia coli EC4439 (1005531.3)	453	 	2903_3	982	33_6	3205	2034	2032_11, 3058_11	 	790_16	 
Escherichia coli EC4448 (1005534.3)	603	 	3073_3	1146	189_6	3379	2213	2211_11, 3232_11	 	945_16	 
Escherichia coli ED1a (585397.9)	444	1578	2789_3, 3272_4	943	56_6	3000	1851	1849_11, 2868_11	 	735_16	 
Escherichia coli EPEC C342-62 (766166.3)	617	1931	2863_3	1226	249_6	3180	2142	2140_11, 2973_11	 	1016_16	 
Escherichia coli EPECa12 (670896.3)	403	1621	2664_3	879	39_6	2897	1910	1908_11, 2744_11	 	733_16	 
Escherichia coli EPECa14 (670893.4)	5657	752	1619_3, 3151_4	946	317_6	1919	4986	1727_11, 4988_11	 	2910_16	 
Escherichia coli ETEC H10407 (316401.4)	545	1708	2809_3	1123	58_6	3157	1921	1919_11, 2892_11	 	895_16	 
Escherichia coli Envira 10/1 (1115998.3)	1036	2018	3182_3	1396	514_6	3459	2470	2468_11, 3315_11	 	1186_16	 
Escherichia coli Envira 8/11 (1115997.3)	950	2126	3135_3	1506	533_6	3414	2423	2421_11, 3269_11	 	 	 
Escherichia coli FDA504 (1005470.3)	702	 	3250_3	1248	263_6	3494	2361	2359_11, 3346_11	 	1049_16	 
Escherichia coli FDA505 (1005471.3)	524	 	2957_3	1061	114_6	3240	2148	2146_11, 3092_11	 	864_16	 
Escherichia coli FDA506 (1005474.3)	1003	 	3527_3	1551	564_6	3769	2693	2691_11, 3622_11	 	1354_16	 
Escherichia coli FDA507 (1005472.3)	550	 	3201_3	1103	114_6	3447	2330	2328_11, 3298_11	 	903_16	 
Escherichia coli FDA517 (1005473.3)	704	 	3242_3	1253	223_6	3542	2356	2354_11, 3344_11	 	1040_16	 
Escherichia coli FRIK1985 (1005476.3)	656	 	3232_3	1201	229_6	3485	2308	2306_11, 3338_11	 	992_16	 
Escherichia coli FRIK1990 (1005478.3)	455	 	2941_3	1030	33_6	3230	2090	2088_11, 3081_11	 	795_16	 
Escherichia coli FRIK1996 (1005475.3)	713	 	3161_3	1275	283_6	3402	2273	2271_11, 3253_11	 	1051_16	 
Escherichia coli FRIK1997 (1005480.3)	615	 	3254_3	1168	181_6	3496	2316	2314_11, 3349_11	 	961_16	 
Escherichia coli FRIK1999 (1005477.3)	702	 	3273_3	1251	178_6	3516	2369	2367_11, 3366_11	 	1054_16	 
Escherichia coli FRIK2001 (1005479.3)	990	 	3614_3	1581	523_6	3858	2748	2746_11, 3709_11	 	1340_16	 
Escherichia coli FRIK523 (1005482.3)	712	 	3232_3	1260	283_6	3525	2403	2401_11, 3378_11	 	1064_16	 
Escherichia coli FRIK920 (1005483.3)	780	 	3532_3	1339	325_6	3936	2528	2526_11, 3625_11	 	1134_16	 
Escherichia coli FVEC1302 (656379.3)	901	3454	2862_3	1756	292_6	3199	2107	2105_11, 2997_11	 	1547_16	 
Escherichia coli FVEC1412 (656380.3)	1051	2808	2420_3	1586	229_6	2648	3073	2498_11, 3071_11	 	1372_16	 
Escherichia coli G58-1 (754078.3)	590	 	2640_3	1135	177_6	2869	1920	1918_11, 2720_11	 	969_16	 
Escherichia coli H120 (656383.3)	3202, 3203	738	3700_3	1290	 	3929	468	3780_11, 470_11	 	1442_16	 
Escherichia coli H252 (656388.3)	773	 	1913_3, 2490_4, 3726_4	278	2925_6	4643	1148	1146_11, 4288_11	 	472_16	 
Escherichia coli H263 (656390.3)	199	 	1560_4, 2943_3, 4122_4	668	3619_6	3149	2151	2149_11, 3021_11	 	502_16	 
Escherichia coli H299 (656393.3)	1069	2149	3355_3, 3837_4	1671	666_6	3579	2429	2427_11, 3440_11	 	1446_16	 
Escherichia coli H30 (869673.3)	2079	 	4860_3	1527	2517_6	4619	365	363_11, 4766_11	 	1728_16	 
Escherichia coli H397 (656398.3)	1647	 	293_3, 3615_4, 4289_4	2122	2712_6	29	1127	1129_11, 155_11	 	1953_16	 
Escherichia coli H489 (656404.3)	178	1204	2160_3	670	3568_6	2413	1411	1409_11, 2248_11	 	521_16	 
Escherichia coli H494 (656405.3)	3375	1917	304_3	2436	1362_6	24	1016	1018_11, 173_11	 	2626_16	 
Escherichia coli H591 (656408.3)	354	1547	2567_3	969	5004_6	2859	1783	1781_11, 2706_11	 	708_16	 
Escherichia coli H730 (656413.3)	788	 	3873_3	1361	402_6	3625	4481	3793_11, 4483_11	 	1111_16	 
Escherichia coli H736 (656414.3)	610	1696	2708_3	1122	170_6	2938	1949	1947_11, 2789_11	 	947_16	 
Escherichia coli HM26 (1308540.3)	4403	4552	1286_3	1207	262_6	1512	543	1369_11, 541_11	 	 	 
Escherichia coli HM46 (1308982.3)	1364	1923	3613_3	4078	153_6	4173	2075	2077_11, 2430_11	 	3932_16	 
Escherichia coli HM605 (752789.3)	881	4787	2508_4, 3255_4, 3823_3	427	1242_6, 1530_6	3551	4598	3679_11, 4600_11	 	580_16	 
Escherichia coli HS (331112.6)	479	1466	2423_3	980	57_6	2664	1681	1679_11, 2497_11	 	 	 
Escherichia coli IAI1 (585034.5)	413	1397	2362_3	933	54_6	2634	1667	1665_11, 2439_11	 	730_16	 
Escherichia coli IAI39 (585057.6)	278	 	1415_4, 2573_3	2334	59_6	2877	1484	1486_11, 2670_11	 	 	 
Escherichia coli IHE3034 (714962.3)	410	 	2604_3, 3251_4, 3923_4	983	58_6	2954	1789	1787_11, 2779_11	 	771_16	 
Escherichia coli J53 (1144303.3)	3458	 	1460_3	2918	3665_6	1219	2173	1365_11, 2175_11	 	 	 
Escherichia coli JB1-95 (869682.4)	5181	269	1785_3, 3265_4	2282	4711_6	1505	3766	1356_11, 3768_11	 	5416_16	 
Escherichia coli Jurua 18/11 (1115999.3)	526	1560	2543_3	1090	4956_6	2773	1732	1730_11, 2625_11	 	843_16	 
Escherichia coli Jurua 20/10 (1116000.3)	365	1519	2503_3	943	4939_6	2786	1770	1768_11, 2640_11	 	 	 
Escherichia coli BW2952 (595496.3)	339	 	2298_3	836	54_6	2548	1598	1596_11, 2393_11	 	687_16	 
Escherichia coli str. K-12 substr. DH10B (316385.7)	379	 	2508_3	988	54_6	2760	1795	1793_11, 2603_11	 	 	 
Escherichia coli str. K-12 substr. MDS42 (1110693.3)	319	 	1880_3	758	44_6	2100	1304	1302_11, 1953_11	 	 	 
Escherichia coli str. K-12 substr. MG1655 (511145.12)	436	 	2416_3	938	53_6	2666	1709	1707_11, 2512_11	 	 	 
Escherichia coli str. K-12 substr. MG1655star (879462.4)	414, 415	 	2352_3	902	46_6	2601	1657	1655_11, 2449_11	 	758_16	 
Escherichia coli str. K-12 substr. W3110 (316407.9)	416	 	2362_3	903	48_6	2602	1656	1654_11, 2458_11	 	 	 
Escherichia coli W3110 (316407.3)	406	 	2256_3	873	52_6	2486	1596	1594_11, 2348_11	 	 	 
Escherichia coli KD2 (752784.3)	576	377	3572_4, 4021_3	1649	2611_6, 901_7	3797	4459	3944_11, 4457_11	 	1456_16	 
Escherichia coli KO11 (595495.5)	3475	2433	1472_3	2958	3918_6	1198	2172	1342_11, 2174_11	 	 	 
Escherichia coli KTE1 (1169315.3)	1130	2351	3350_3	1735	715_6	3579	2610	2608_11, 3430_11	 	1529_16	 
Escherichia coli KTE10 (1169330.3)	2400	3492	4586_3	2974	2034_6	4822	3768	3766_11, 4674_11	 	 	 
Escherichia coli KTE100 (1182699.3)	1191	2300	3367_3	1724	722_6	3604	2549	2547_11, 3446_11	 	1507_16	 
Escherichia coli KTE101 (1182700.3)	3786	201	1145_3	4296	3439_6	1416	431	1270_11, 429_11	 	4143_16	 
Escherichia coli KTE102 (1182701.3)	1807	2875	3875_3	2326	1501_6	4100	3068	3066_11, 3953_11	 	2175_16	 
Escherichia coli KTE103 (1182702.3)	1108	2286	3283_3, 3953_4	1650	764_6	3644	2488	2486_11, 3431_11	 	1502_16	 
Escherichia coli KTE104 (1169372.3)	426	1462	2459_3, 2965_4, 3049_4, 3684_4	966	53_6	2721	1645	1643_11, 2589_11	 	 	 
Escherichia coli KTE105 (1169373.3)	449	1433	2476_3	965	92_6	2703	1677	1675_11, 2556_11	 	811_16	 
Escherichia coli KTE106 (1169374.3)	338	1430	2418_3, 2888_4, 2971_4, 3583_4	929	4698_6	2631	1606	1604_11, 2499_11	 	734_16	 
Escherichia coli KTE107 (1182703.3)	933	2023	1558_4, 2954_3	1428	435_6	3262	2263	2261_11, 3092_11	 	1221_16	 
Escherichia coli KTE108 (1182704.3)	2193	3245	4324_3	2674	1757_6	4621	3523	3521_11, 4468_11	 	2494_16	 
Escherichia coli KTE109 (1169375.3)	568	1483	2462_3, 2911_4, 3930_4	1051	158_6, 790_6	2667	1657	1655_11, 2540_11	 	864_16	 
Escherichia coli KTE11 (1169331.3)	219	1348	2062_3, 2546_4, 3108_4	693	4106_6	2252	1179	1181_11, 2127_11	 	532_16	 
Escherichia coli KTE111 (1182706.3)	1104	 	3077_3, 4802_4	1584	750_6	3306	2348	2346_11, 3155_11	 	1436_16	 
Escherichia coli KTE112 (1169376.3)	489	1645	2020_4, 2758_3	1013	91_6	3004	1952	1950_11, 2853_11	 	861_16	 
Escherichia coli KTE113 (1169377.3)	719	1774, 1775, 4835	2749_3, 3254_4	1321	331_6, 997_7	3005	1966	1964_11, 2829_11	 	1069_16	 
Escherichia coli KTE114 (1169321.3)	2344	3411	325_4, 4158_3, 418_4	2793	1996_6	4349	3245	3247_11, 4222_11	 	2643_16	 
Escherichia coli KTE115 (1182707.3)	343	1513	1092_4, 2568_3	976	4825_6	2790	1782	1780_11, 2649_11	 	 	 
Escherichia coli KTE116 (1182708.3)	1255	2436	3438_3	1858	839_6	3717	2697	2695_11, 3518_11	 	1651_16	 
Escherichia coli KTE117 (1169378.3)	455	1545	2471_3	977	87_6	2701	1790	1788_11, 2556_11	 	828_16	 
Escherichia coli KTE118 (1182709.3)	1391	 	1952_4, 3386_3, 3958_4, 4701_4	1845	1037_6	3652	2592	2590_11, 3525_11	 	1694_16	 
Escherichia coli KTE119 (1182710.3)	904	1943	1530_4, 2043_4, 2973_3	1404	428_6	3245	2267	2265_11, 3099_11	 	1219_16	 
Escherichia coli KTE12 (1169332.3)	370	1469	2404_3	889	4694_6	2700	1685	1683_11, 2552_11	 	740_16	 
Escherichia coli KTE120 (1169379.3)	499	 	2668_3	1040	80_6	2952	1876	1874_11, 2750_11	 	889_16	 
Escherichia coli KTE121 (1182711.3)	4908	894	1984_3, 438_4	321	4524_6	2260	1119	1117_11, 2069_11	 	 	 
Escherichia coli KTE122 (1169380.3)	577	1645	2778_3	1144	118_6	3058	1981	1979_11, 2859_11	 	940_16	 
Escherichia coli KTE123 (1182712.3)	2648	 	1066_4, 3314_4, 386_4, 4673_3	3204	2295_6	4934	3891	3889_11, 4808_11	 	3036_16	 
Escherichia coli KTE124 (1169381.3)	552	1577	2667_3, 3130_4	1007	165_6	2883	1845	1843_11, 2752_11	 	864_16	 
Escherichia coli KTE125 (1169382.3)	492	1553	2675_3	1017	99_6	2902	1889	1887_11, 2755_11	 	866_16	 
Escherichia coli KTE126 (1182713.3)	1586	 	1140_4, 2251_4, 3640_3	2080	1815_6, 477_6	3849	2814	2812_11, 3722_11	 	1887_16	 
Escherichia coli KTE127 (1182714.3)	1234	2355	3460_3	1775	817_6	3687	2561	2559_11, 3540_11	 	1619_16	 
Escherichia coli KTE128 (1169383.3)	562	1640	2556_3	1090	97_6	2781	1837	1835_11, 2635_11	 	938_16	 
Escherichia coli KTE129 (1169384.3)	463	1516	2519_3, 3046_4	964	4957_6, 745_6	2793	1749	1747_11, 2649_11	 	819_16	 
Escherichia coli KTE13 (1169318.3)	331	1466	2388_3	883	4676_6	2686	1677	1675_11, 2538_11	 	734_16	 
Escherichia coli KTE130 (1182715.3)	1013	 	3215_3	1557	537_6	3493	2338	2336_11, 3296_11	 	1334_16	 
Escherichia coli KTE131 (1169385.3)	509	1476	2446_3, 2936_4, 3019_4	973	757_7, 91_6	2687	1655	1653_11, 2560_11	 	830_16	 
Escherichia coli KTE132 (1182716.3)	959	 	3236_3	1506	576_6	3521	2376	2374_11, 3316_11	 	1282_16	 
Escherichia coli KTE133 (1169386.3)	513	1513	2486_3, 2935_4	1005	736_7, 92_6	2693	1704	1702_11, 2564_11	 	809_16	 
Escherichia coli KTE134 (1182717.3)	3081	4195	2333_3	3684	2676_6	2101	4948	2252_11, 4950_11	 	3475_16	 
Escherichia coli KTE135 (1182718.3)	2258	3199	4196_3	2716	1866_6	4479	3448	3446_11, 4335_11	 	2568_16	 
Escherichia coli KTE136 (1182719.3)	850	1835	2736_3	1367	516_6	2963	2036	2034_11, 2816_11	 	1164_16	 
Escherichia coli KTE137 (1169387.3)	483	1459	2500_3, 2988_4	976	155_6	2757	1663	1661_11, 2583_11	 	832_16	 
Escherichia coli KTE138 (1169388.3)	398	1487	2363_3	887	47_6	2603	1687	1685_11, 2442_11	 	744_16	 
Escherichia coli KTE139 (1169389.3)	501	1534	2448_3, 2870_4	1018	134_6, 794_7	2644	1703	1701_11, 2518_11	 	876_16	 
Escherichia coli KTE14 (1169333.3)	218	 	2806_3	850	5139_6	3096	1947	1945_11, 2943_11	 	601_16	 
Escherichia coli KTE140 (1182720.3)	955	2098	3073_3	1568	319_6, 590_6	3404	2295	2293_11, 3209_11	 	1313_16	 
Escherichia coli KTE141 (1182721.3)	880	1920	1529_4, 2953_3, 3398_4	1312	1098_7, 472_6	3160	2158	2156_11, 3033_11	 	1170_16	 
Escherichia coli KTE142 (1182722.3)	4363	970	1660_3	466	3962_6	1929	1179	1177_11, 1781_11	 	 	 
Escherichia coli KTE143 (1182723.3)	614	1733	1292_4, 2060_4, 2741_3, 3232_4	2496	228_6	2984	1991	1989_11, 2829_11	 	 	 
Escherichia coli KTE144 (1182724.3)	195	1284	2208_3, 855_4	728	4445_6	2487	1490	1488_11, 2293_11	 	580_16	 
Escherichia coli KTE145 (1169390.3)	531	1515	2485_3, 3015_4	1001	147_6, 777_7	2722	1703	1701_11, 2595_11	 	850_16	 
Escherichia coli KTE146 (1182725.3)	1008	2116	1711_4, 3033_3	1557	595_6	3314	2320	2318_11, 3161_11	 	1341_16	 
Escherichia coli KTE147 (1182726.3)	3752	245	1136_3, 4326_4	4211	3377_6	1365	457	1219_11, 455_11	 	4065_16	 
Escherichia coli KTE148 (1169391.3)	444	1517	2546_3, 2997_4	921	104_6, 688_7	2761	1737	1735_11, 2634_11	 	770_16	 
