Organism	PyrAB	PyrB	PyrC	PyrDq	PyrDfum	PyrDnad	PyrE	PyrF	PyrH	Ndk	Adk	PyrG	ThiA
Eubacterium saphenum ATCC 49989 (592031.3)	 	 	 	 	 	 	 	 	 	 	866_17	 	754_20
Eubacterium siraeum 70/3 (657319.3)	1969_1, 2298_1, 2299_4	1474_5	2301_6	 	 	2295_11, 2296_10	1908_13	2300_14	1032_15	 	571_17	2565_19	41_20
Eubacterium siraeum DSM 15702 (428128.7)	271_1, 732_4, 733_1	1530_5	730_6	 	 	735_10, 736_11	314_13	731_14	 	 	773_17	1081_19	1947_20
Eubacterium siraeum V10Sc8a (717961.3)	1564_1, 1887_1, 1888_4	369_5	1890_6	 	 	1884_11, 1885_10	1677_13	1889_14	 	 	60_17	322_19	913_20
Eubacterium ventriosum ATCC 27560 (411463.4)	2516_4, 2517_1	381_5	603_6	 	 	605_10, 606_11	607_13	604_14	2484_15	 	1580_17	207_19	2512_20
Pseudoramibacter alactolyticus ATCC 23263 (887929.3)	1825_4, 1826_1	1802_5	1804_6	 	1806_8, 1807_9	 	585_13	1805_14	121_15	 	971_17	1509_19	 
Anaerostipes caccae DSM 14662 (411490.6)	123_1, 124_4	1340_5	2563_6	 	 	2594_11, 2595_10	2592_13	2596_14	 	 	2967_17	914_19	155_20
Anaerostipes hadrus DSM 3319 (649757.3)	2339_4, 2340_1, 2689_1	923_5	1278_6	 	2260_8, 475_9, 476_8	 	473_13	477_14	 	 	1389_17	2614_19	1759_20
Anaerostipes sp. 3_2_56FAA (665937.3)	2835_4, 2836_1	1113_5	2453_6	 	2487_8	2464_10, 2465_11	2467_13	2463_14	 	 	1787_17	3044_19	2692_20
Blautia producta ATCC 27340 (1121114.4)	3184_1, 3185_4, 4343_1	3823_5	445_6	 	447_8, 448_9	 	449_13	446_14	 	 	3742_17	1751_19	800_20
Bryantella formatexigens DSM 14469 (478749.5)	1450_1, 3734_4, 3735_1	3902_5	280_6	 	 	281_10, 282_11	2667_13	2658_14	 	 	2635_17	789_19	1806_20
Butyrivibrio crossotus DSM 2876 (511680.4)	957_1, 958_4	1610_5	1010_6	 	 	1007_11, 1008_10	888_13	1009_14	 	 	1173_17	1336_19	988_20
Butyrivibrio fibrisolvens 16/4 (657324.3)	2081_1, 2082_4	681_5, 682_5	1259_6	 	 	1256_11, 1257_10	3122_13	1258_14	 	 	137_17	2860_19, 2861_19	3250_20
Coprococcus catus GD/7 (717962.3)	3106_4, 3107_1, 449_1	2841_5	2343_6	 	 	2781_10, 2782_11	2807_13	2780_14	 	 	1223_17	1867_19	2393_20
Coprococcus comes ATCC 27758 (470146.3)	3098_4, 3099_1	2948_5	1596_6	 	 	2016_10, 2017_10, 2018_11	2019_13	2015_14	 	 	1840_17	2683_19	532_20
Coprococcus eutactus ATCC 27759 (411474.6)	2049_1, 2050_4, 2090_1	1840_5	2495_6	 	 	2508_10, 2509_11	2510_13	2507_14	2118_15	 	737_17	2375_19	2044_20
Dorea formicigenerans ATCC 27755 (411461.4)	600_1, 601_4	521_5	2811_6	 	 	2277_11, 2278_10	2275_13	2279_14	 	 	1204_17	641_19	749_20
Dorea longicatena DSM 13814 (411462.6)	689_1, 690_4	626_5	319_6	 	 	1817_11, 1818_10	1814_13	1819_14	754_15	 	1257_17	203_19	949_20
Oribacterium sinus F0268 (585501.3)	 	854_5	859_6	 	857_9, 858_8	 	855_13	856_14	351_15	 	1592_17	 	 
Roseburia hominis A2-183 (585394.18)	551_4, 552_1	2026_5	3209_6, 811_6	 	812_8, 813_9	 	844_13	2959_14	 	 	2911_17	494_19	894_20
Roseburia intestinalis L1-82 (536231.5)	41_1, 42_4	3582_5	259_6, 672_6	 	 	670_11, 671_10	698_13	2440_14	 	 	2408_17	3923_19, 3924_19	 
Roseburia intestinalis XB6B4 (718255.3)	2839_4, 2840_1	1278_5	3345_6, 492_6	 	 	3346_10, 3347_11	3313_13	159_14	 	 	3990_17	3645_19	 
Roseburia inulinivorans DSM 16841 (622312.4)	1447_4, 1448_1	3140_5	2020_6, 3917_6	 	 	2021_10, 2022_11	2023_13	1818_14	907_15	 	1854_17	3081_19	2605_20
Lachnospiraceae bacterium 5_1_63FAA (658089.3)	1290_1, 169_1, 170_4	1444_5	2444_6	 	275_8	929_11, 930_10	927_13	931_14	2264_15	 	395_17	2140_19	2116_20
Lachnospiraceae bacterium 8_1_57FAA (665951.3)	1707_4, 1708_1, 2580_1	1657_5, 283_5	2059_6	 	 	2181_10, 2182_11	1783_13	2180_14	2347_15	 	2020_17	1705_19	2285_20
Filifactor alocis ATCC 35896 (546269.5)	 	1282_5	1281_6	 	 	1278_11, 1279_10	1277_13	1280_14	 	 	1321_17	79_19	1646_20
Peptostreptococcus anaerobius 653-L (596329.3)	1380_1, 1381_4	1083_5	1538_6	 	 	1081_11, 1082_10	1080_13	1382_14	1257_15	 	1403_17	 	929_20
Peptostreptococcus anaerobius DSM 2949 (1122950.3)	54_4, 55_1	587_5	401_6	 	589_9	588_10	590_13	53_14	209_15	 	1235_17	 	1377_20
Peptostreptococcus stomatis DSM 17678 (596315.3)	70_4, 71_4, 72_1	1511_5	1092_6	 	 	1512_10, 1513_11	1514_13	69_14	249_15	 	1803_17	 	474_20
Clostridium difficile 002-P50-2011 (997827.4)	2412_4, 2905_4	175_5	2798_6	2325_7, 2657	 	173_11, 174_10	172_13	2413_14	 	 	1241_17	 	 
Clostridium difficile 050-P50-2011 (997828.4)	1918_4, 2030_4, 2031_1, 3018_1	1549_5	3512_6	1686, 2396_7	 	1550_10, 1551_11	1552_13	1919_14	 	 	744_17	 	 
Clostridium difficile 70-100-2010 (1002369.4)	1081_4, 2617_4	437_5	1532_6	256, 351_7	 	438_10, 439_11	440_13	1080_14	 	 	988_17	 	 
Clostridium difficile ATCC 9689 (1121308.3)	14_4, 15_1, 460_1, 925_4	1675_5	2332_6	3478_7	 	1673_11, 1674_10	1672_13	926_14	 	 	290_17	 	 
Clostridium difficile CD37 (1125976.4)	2210_4, 3054_4	2433_5	335_6	292_7	 	2434_10, 2435_11	2436_13	2211_14	 	 	412_17	 	 
Clostridium glycolicum ATCC 14880 (1121315.3)	458_4, 459_1	513_5	2518_6	 	3802_9, 514_8, 515_9	 	516_13	457_14	 	 	157_17	372_19, 373_19, 374_19	 
Anaerotruncus colihominis DSM 17241 (445972.6)	 	 	 	 	 	 	 	 	 	 	248_17	602_19	 
Faecalibacterium cf. prausnitzii KLE1255 (748224.3)	1884_4, 1885_1	1042_5, 2379_5	1879_6	 	 	1881_10, 1882_11	1883_13	1880_14	2453_15	 	273_17	108_19	 
Faecalibacterium prausnitzii A2-165 (411483.3)	284_1, 285_4	1828_5	290_6	 	 	287_11, 288_10	286_13	289_14	 	 	2227_17	1575_19	 
Faecalibacterium prausnitzii L2-6 (718252.3)	2909_4, 2910_1	1749_5	2903_6	 	 	2906_10, 2907_11	2908_13	2905_14	1764_15	 	2852_17	2299_19	 
Faecalibacterium prausnitzii M21/2 (411485.10)	146_1, 147_4	2138_5, 272_5	152_6	 	1560_8	149_11, 150_10	148_13	151_14	1548_15	 	691_17	2232_19	 
Faecalibacterium prausnitzii SL3/3 (657322.3)	1577_4, 1578_1	1469_5, 2865_5	1572_6	 	2305_8	1574_10, 1575_11	1576_13	1573_14	2292_15	 	1052_17	2768_19	 
Ruminococcus albus 7 (697329.10)	1809_1, 3148_1, 3149_4	2612_5	3650_6	 	2766_8	3658_10, 3659_11	2377_13	3654_14	2892_15	 	774_17	2233_19	 
Ruminococcus albus 8 (246199.4)	1893_4, 1894_1, 705_1	 	757_6	 	 	747_11, 748_10	2268_13	753_14	2900_15	 	3234_17	2265_19	 
Ruminococcus bromii L2-63 (657321.5)	123_4, 124_1	382_5	1389_6	 	 	15_10, 16_11	291_13	1387_14	 	 	1747_17	125_19	 
Ruminococcus flavefaciens FD-1 (641112.4)	2546_1, 926_4, 927_1	1427_5	924_6	 	 	646_11, 647_10	1457_13	925_14	2518_15	 	1666_17	3108_19	 
Ruminococcus gnavus ATCC 29149 (411470.6)	3141_1, 3142_4	2484_5	2247_6	 	 	2244_11, 2245_10	2238_13	2246_14	3153_15	 	2325_17	2931_19	2947_20
Ruminococcus lactaris ATCC 29176 (471875.6)	1975_4, 1976_1	1874_5	2439_6	 	 	868_10, 869_11	870_13	867_14	1967_15	 	2464_17	1858_19	2322_20
Ruminococcus obeum A2-162 (657314.3)	3304_4, 3305_1	2870_5	373_6	 	 	770_10, 771_11, 775_11	777_13	769_14	 	 	1938_17	3028_19	1431_20
Ruminococcus sp. 18P13 (213810.4)	1770_4, 1771_1	375_5	1768_6	 	1322_8	1773_10, 1774_11	637_13	1769_14	1858_15	 	1385_17	1332_19	 
Ruminococcus sp. 5_1_39BFAA (457412.4)	2050_1, 2051_4	3052_5	1810_6	 	 	1807_11, 1808_10	1806_13	1809_14	2952_15	 	2821_17	1293_19	1709_20
Ruminococcus sp. SR1/5 (657323.3)	3607_1, 3608_4	1453_5	1609_6	 	 	1611_10, 1612_11	1613_13	1610_14	 	 	3010_17	1400_19	32_20
Ruminococcus torques ATCC 27756 (411460.6)	407_4, 408_1, 993_1	1134_5, 391_5	1663_6	 	 	264_10, 265_11	1579_13	263_14	1221_15	 	1939_17	405_19	1095_20
Ruminococcus torques L2-14 (657313.3)	2502_4, 2503_1	2623_5	2115_6	 	 	272_11, 273_10	271_13	274_14	 	 	638_17	2372_19	2293_20
Ruminococcaceae bacterium D16 (552398.3)	1973_4, 1974_1	164_5	333_6	 	 	328_11, 329_10	1862_13	332_14	 	 	2806_17	474_19	126_20
Acidaminococcus fermentans DSM 20731 (591001.3)	1291_1, 1292_4	1294_5	1293_6, 829_6	 	 	1289_11, 1290_10	1287_13	1288_14	1356_15	 	1904_17	1608_19	 
Acidaminococcus sp. D21 (563191.3)	1296_1, 1297_4	1299_5	1270_6, 1298_6	 	 	1294_11, 1295_10	1292_13	1293_14	1354_15	 	928_17	1680_19	 
Dialister invisus DSM 15470 (592028.3)	17_4, 18_1	15_5	16_6	 	 	19_10, 20_11	710_13	711_14	 	87_16	885_17	1488_19	1429_20
Mitsuokella multacida DSM 20544 (500635.8)	1031_4, 1032_1	1029_5	1030_6	 	 	1033_10, 1034_11	1036_13	1035_14	 	237_16	1750_17	1471_19	 
Veillonella atypica ACS-049-V-Sch6 (866776.4)	1254_1, 1255_1, 1256_4	1258_5	1257_6	 	 	1252_11, 1253_10	198_13	199_14	1701_15	1658_16	835_17	165_19	1481_20
Veillonella atypica ACS-134-V-Col7a (866778.4)	1778_1, 1779_4	1781_5	1780_6	 	 	1776_11, 1777_10	792_13	793_14	204_15	446_16	1709_17	417_19	145_20
Veillonella dispar ATCC 17748 (546273.3)	1459_4, 1460_1	1457_5	1458_6	 	 	1461_10, 1462_11	1810_13	1811_14	244_15	202_16	932_17	809_19	1008_20
Veillonella parvula ATCC 17745 (686660.3)	1317_4, 1318_1	1315_5	1316_6	 	 	1319_10, 1320_11	394_13	393_14	1386_15	1429_16	1134_17	1046_19	1211_20
Veillonella parvula DSM 2008 (479436.6)	551_4, 552_1	549_5	550_6	 	 	553_10, 554_11	394_13	395_14	 	880_16	1436_17	1545_19	1354_20
Veillonella sp. 3_1_44 (457416.3)	1774_1, 1775_4	1777_5	1776_6	 	 	1772_11, 1773_10	1669_13	1670_14	 	292_16	1175_17	1067_19	1252_20
Veillonella sp. 6_1_27 (450749.3)	1791_1, 1792_4	1794_5	1793_6	 	 	1789_11, 1790_10	1409_13	1408_14	245_15	288_16	1260_17	1155_19	1335_20
Blautia hansenii DSM 20583 (537007.6)	1465_1, 2845_1, 2846_4	1509_5	1725_6	 	 	1722_11, 1723_10	1715_13	1724_14	1470_15	 	1835_17	703_19	2803_20
Blautia hydrogenotrophica DSM 10507 (476272.5)	2705_4, 2706_1, 650_1	703_5	1955_6, 2049_6	 	 	2051_10, 2052_11	2054_13	2050_14	2518_15	 	2264_17	513_19, 692_19	663_20
Flavonifractor plautii ATCC 29863 (411475.3)	1630_4, 1631_1	3726_5	283_6	 	1203_8, 285_8, 286_9	 	1796_13	284_14	 	 	3176_17	801_19	3686_20
Clostridiales bacterium 1_7_47FAA (457421.5)	293_1, 294_4	1594_5	4310_6, 4497_6	 	2532_9, 2533_8, 4643_9	 	2530_13	2534_14	650_15	 	5640_17	357_19	3726_20
Bulleidia extructa W1219 (679192.3)	 	 	 	 	 	 	 	 	 	 	244_17	 	 
Catenibacterium mitsuokai DSM 15897 (451640.5)	498_1, 499_4	1085_5	1758_6	 	1756_9, 1757_8, 209_8	 	886_13	885_14	81_15	 	1228_17	508_19	564_20
Coprobacillus sp. 29_1 (469596.3)	2170_1, 2180_4, 2181_1	2724_5	2723_6	 	 	2721_11, 2722_10	289_13	288_14	 	2775_16	3760_17	2136_19	1739_20
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	126_4, 127_1	1237_5	742_6	 	1375_8, 855_9, 856_8	 	389_13	388_14	 	1349_16	570_17	113_19	605_20
Holdemania filiformis DSM 12042 (545696.5)	1229_4, 1230_1	1227_5	1228_6	 	 	1231_10, 1232_11	1234_13	1233_14	 	 	1169_17	237_19	 
Solobacterium moorei F0204 (706433.3)	 	452_5	455_6	 	 	453_11, 454_10	1611_13	1612_14	 	 	164_17	 	 
Clostridium ramosum DSM 1402 (445974.6)	1533_1, 1534_4, 1535_1	1981_5	1982_6	 	1462_8, 1983_8, 1984_9	 	2198_13	2197_14	2337_15	 	1401_17	1509_19	2083_20
Clostridium spiroforme DSM 1552 (428126.7)	1314_1, 1315_4, 716_1	1566_5	1567_6	 	1488_8, 1568_8, 1569_9	 	183_13	184_14	1087_15	 	1443_17	1317_19	1628_20
Eubacterium biforme DSM 3989 (518637.5)	2180_1, 2181_4, 2185_1, 2186_4	2188_5	2187_6	 	2183_9, 2184_8	 	1375_13	2182_14	1932_15	 	810_17	1011_19	63_20
Eubacterium cylindroides T2-87 (717960.3)	742_1, 743_1, 750_4	740_5	741_6	 	 	1574_11, 1575_10	1401_13	1573_14	 	 	163_17	752_19	722_20, 723_20
Eubacterium dolichum DSM 3991 (428127.7)	301_4, 302_1	299_5	300_6	 	303_8, 304_9	 	306_13	305_14	1094_15	1814_16	536_17	 	 
Clostridium innocuum 2959 (999413.4)	4588_4, 4589_1, 4594_4, 4595_1	4586_5	4587_6	 	4590_8, 4591_9	 	4593_13	4592_14	 	2032_16	1839_17	3626_19	 
Acidaminococcus intestini RyC-MR95 (568816.4)	983_4, 984_1	981_5	1009_6, 982_6	 	 	985_10, 986_11	988_13	987_14	1565_15	 	2247_17	755_19	 
Phascolarctobacterium sp. YIT 12067 (626939.3)	295_1, 296_4	298_5	297_6	 	 	293_11, 294_10	291_13	292_14	1747_15	1399_16	949_17	1516_19	 
Dialister succinatiphilus YIT 11850 (742743.3)	171_4, 172_1	169_5	170_6	 	173_8, 174_9	 	321_13	320_14	 	497_16	1347_17	1096_19	2055_20
Megamonas funiformis YIT 11815 (742816.3)	2248_4, 2249_1	2246_5	1123_6, 2247_6	 	1120_9, 1121_8	 	2251_13	2250_14	 	1149_16	1446_17	1307_19	 
Megamonas hypermegale ART12/1 (657316.3)	495_1, 496_4, 497_4	499_5	1405_6, 498_6	 	 	1401_11, 1402_11, 1403_10	492_13	493_14, 494_14	 	1441_16	1916_17	1707_19	 
Megasphaera elsdenii (907.4)	1206_4, 1207_1	1204_5	1205_6	 	 	130_11, 131_10	1201_13	1200_14	 	 	1160_17	519_19	1756_20
Veillonella parvula ACS-068-V-Sch12 (768727.3)	1650_1, 1651_4	1653_5	1652_6	 	 	1648_11, 1649_10	1518_13	1519_14	347_15	391_16	1244_17	1487_19	31_20
Veillonella ratti ACS-216-V-Col6b (883156.3)	168_1, 169_4	171_5	170_6	 	166_9, 167_8	 	1312_13	1313_14	 	1808_16	760_17	456_19	957_20
Fusobacterium gonidiaformans ATCC 25563 (469615.3)	1168_4, 1169_1, 1506_4, 1507_1	702_5	706_6	 	 	703_10, 704_11	707_13	705_14	1377_15	 	1340_17	 	1093_20
Fusobacterium mortiferum ATCC 9817 (469616.3)	1521_4, 1522_1	1612_5	1616_6	 	 	1613_10, 1614_11	1617_13	1615_14	2407_15	 	2386_17	1767_19	631_20
Fusobacterium nucleatum subsp. nucleatum ATCC 23726 (525283.3)	820_1, 821_4	823_5	822_6	 	 	818_11, 819_10	815_13	816_14	 	 	636_17	 	391_20
Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (190304.8)	998_4, 999_1	996_5	997_6	 	 	1000_10, 1001_11	1004_13	1003_14	 	 	1863_17	 	821_20
Fusobacterium nucleatum subsp. polymorphum ATCC 10953 (393480.8)	1565_1, 1567_4	1570_5	1568_6	 	 	1563_11, 1564_10	1560_13	1561_14	677_15	 	127_17	 	2250_20
Fusobacterium periodonticum ATCC 33693 (546275.3)	1645_4, 1646_1	1643_5	1644_6	 	 	2099_10, 2100_11	2104_13	2103_14	264_15	 	2055_17	 	1283_20, 1814_20
Fusobacterium sp. 3_1_33 (469603.3)	2068_1, 2069_4	2071_5	2070_6	 	 	2066_11, 2067_10	2062_13	2064_14	1029_15	 	291_17	 	1743_20
Fusobacterium sp. 7_1 (457405.3)	1823_4, 1824_1	1821_5	1822_6	 	 	1825_10, 1826_11	1829_13	1828_14	2041_15	 	1283_17	 	1169_20
Fusobacterium sp. D11 (556264.3)	1033_1, 1034_4	1036_5	1035_6	 	 	1031_11, 1032_10	1027_13	1029_14	2052_15	 	1292_17	 	1831_20
Fusobacterium ulcerans ATCC 49185 (469617.3)	333_4, 334_1, 341_4, 342_1	1911_5	1907_6	 	1458_9	1909_11, 1910_10	1906_13	1908_14	3132_15	 	3118_17	1331_19	1030_20
Fusobacterium varium ATCC 27725 (469618.3)	1014_1, 1015_4	2226_5	2222_6	 	 	2224_11, 2225_10	2221_13	2223_14	 	 	30_17	692_19	1584_20
Leptotrichia buccalis C-1013-b (523794.5)	1639_4, 1640_1	779_5	783_6	 	2259_9	 	784_13	782_14	 	 	2145_17	2221_19	692_20
Fusobacterium gonidiaformans 3-1-5R (469605.7)	1885_1, 236_4, 237_1, 442_4	1205_5	1209_6	 	 	1206_10, 1207_11	1210_13	1208_14	1772_15	 	1804_17	 	19_20
Fusobacterium necrophorum subsp. funduliforme ATCC 51357 (1095747.3)	1469_1, 1470_4	313_5	309_6	 	311_9	312_10	308_13	310_14	628_15	 	589_17	 	1500_20
Fusobacterium necrophorum subsp. funduliforme Fnf 1007 (1161424.3)	1701_1, 1702_4	2091_5	2087_6	 	 	2089_11, 2090_10	2086_13	2088_14	823_15	 	860_17	 	1732_20
Fusobacterium nucleatum subsp. animalis 11_3_2 (457403.8)	1289_1, 1290_4	1292_5	1291_6	 	 	1287_11, 1288_10	1284_13	1285_14	2225_15	 	981_17	 	1866_20
Fusobacterium nucleatum subsp. animalis 21_1A (469601.8)	341_4, 342_1	338_5, 339_5	340_6	 	 	343_10, 344_11	347_13	346_14	1659_15	 	1392_17	 	421_20
Fusobacterium nucleatum subsp. animalis 4_8 (469607.3)	1748_1, 1749_4	1751_5	1750_6	 	 	1746_11, 1747_10	1742_13	1744_14	278_15	 	733_17	 	1683_20
Fusobacterium nucleatum subsp. animalis 7_1 (457405.10)	1751_1, 1752_4	1754_5	1753_6	 	 	1749_11, 1750_10	1746_13	1747_14	100_15	 	495_17	 	1684_20
Fusobacterium nucleatum subsp. animalis OT 420 (999414.3)	1965_4, 1966_1	1963_5	1964_6	 	1968_9	1967_10	1972_13	1970_14	1293_15	 	822_17	 	2031_20
Fusobacterium nucleatum subsp. polymorphum F0401 (693991.3)	2129_1, 2130_4	2132_5	2131_6	 	 	2127_11, 2128_10	2124_13	2125_14	869_15	 	382_17	 	616_20
Fusobacterium nucleatum subsp. vincentii 3_1_36A2 (469604.7)	1977_1, 1978_4	1980_5	1979_6	 	 	1975_11, 1976_10	1973_13	1974_14	1724_15	 	767_17	 	1455_20
Fusobacterium nucleatum subsp. vincentii 4_1_13 (469606.8)	2070_1, 2071_4	2073_5	2072_6	 	 	2068_11, 2069_10	2066_13	2067_14	1825_15	 	872_17	 	1594_20
Fusobacterium periodonticum 1_1_41FAA (469621.8)	1022_1, 1023_4	1025_5	1024_6	 	 	1020_11, 1021_10	1014_13	1016_14	1935_15	 	360_17	 	1228_20
Fusobacterium periodonticum 2_1_31 (469599.8)	273_4, 274_1	271_5	272_6	 	 	276_10, 277_11	282_13	280_14	1270_15	 	878_17	 	55_20
Fusobacterium russii ATCC 25533 (1278306.3)	1096_4, 1097_1	1094_5	1095_6	 	1098_8, 1099_9, 263_9	 	1101_13	1100_14	 	 	553_17	 	943_20
Fusobacterium ulcerans 12-1B (457404.5)	780_4, 781_1, 788_4, 789_1	2126_5	2130_6	 	1766_9	2127_10, 2128_11	2131_13	2129_14	3068_15	 	3054_17	2780_19	2381_20
Schlesneria paludicola DSM 18645 (1123242.3)	1787_4, 252_1	6618_5	4082_6, 5045_6	 	7212_9, 907_8	 	124_13, 6416_13	7641_14	 	1788_16	4393_17, 7383_17	8143_19	 
Brevundimonas diminuta 470-4 (1035191.3)	678_1, 683_4	1256_5	1255_6, 1726_6	2806_7	 	 	2106_13	2015_14	1118_15	1323_16	639_17	1139_19	1393_20
Bartonella quintana RM-11 (1225179.3)	1111_4, 1113_1	778_5	557_6, 558_6, 779_6	363_7	 	 	545_13	1195_14, 1317_14	858_15	595_16	976_17	615_19	1040_20
Bartonella quintana str. Toulouse (283165.4)	996_4, 998_1	708_5	497_6, 709_6	330_12	 	 	486_13	1071_14, 1180_14	 	531_16	877_17	553_19	940_20
Afipia birgiae 34632 (1197906.5)	413_1, 417_4	1633_5	1632_6, 3531_6	17_7	 	 	4626_13	4245_14	 	2295_16	1464_17	1831_19	3303_20
Bradyrhizobium elkanii USDA 76 (398525.3)	2890_1, 2904_4	6068_5	6069_6, 7622_6	782_7	 	 	2273_13	1489_14	 	5100_16	37_17, 6285_17	5788_19	7470_20
Bradyrhizobium japonicum USDA 110 (224911.5)	7578_4, 7586_1	5178_5	2517_6, 5179_6	1180_12	 	 	8370_13	704_14	4940_15	4130_16	5466_17	4883_19	6661_20
Bradyrhizobium japonicum USDA 124 (1038862.3)	5845_4, 5852_1	6286_5, 7339_5	4443_6, 6285_6	6672_7	 	 	8289_13	6749_14, 7770_14	 	7135_16	3157_17	1512_19	103_20
Bradyrhizobium japonicum USDA 6 (1037409.3)	1951_1, 1957_4	4652_5	122_6, 4651_6, 7322_6	1186_7	 	 	1198_13	659_14	 	5725_16	4440_17	4938_19	2949_20
Bradyrhizobium japonicum WSM2793 (1038866.3)	3331_4, 3338_1	987_5	5692_6, 988_6	1368_7	 	 	1347_13	5355_14	 	4084_16	6508_17	7150_19	2198_20
Ochrobactrum anthropi ATCC 49188 (439375.7)	1770_1, 1775_4	3829_5	2763_6, 3830_6	430_12	 	 	2777_13	829_14	 	2734_16	2079_17	2160_19	1893_20
Ochrobactrum anthropi CTS-325 (1151114.3)	2261_1, 2266_4	1432_5	1433_6, 4336_6	783_7	 	 	4322_13	255_14	 	4363_16	2553_17	2634_19	2371_20
Methylobacterium mesophilicum SR1.6/6 (908290.3)	143_4, 145_1	3704_5	242_6, 2726_6	164_7	 	 	2725_13	4474_14	 	224_16	4442_17	449_19	3120_20
Methylobacterium populi BJ001 (441620.7)	1061_1, 620_4	3570_5	3571_6, 4848_6	2109_7	 	 	3447_13	1553_14	2084_15	2019_16	2196_17	5227_19	2825_20
Methylobacterium radiotolerans JCM 2831 (426355.14)	594_1, 598_4	1051_5	497_6, 5375_6, 5911_6	574_12	 	 	5374_13	1801_14	 	513_16	2258_17	3175_19	4609_20
Mesorhizobium loti MAFF303099 (266835.9)	2003_4, 2024_1	550_5	3515_6, 551_6, 6235_6	4515_12	 	 	6210_13	3751_14	 	6337_16	250_17	486_19	1185_20
Mesorhizobium loti NZP2037 (935546.3)	3922_4, 3941_1	1864_5	1865_6, 192_6, 5510_6, 815_6	6529_7	 	 	791_13	5721_14	 	924_16	1605_17	1799_19	2569_20
Agrobacterium tumefaciens str. Cherry 2E-2-2 (1281779.3)	3443_4, 3451_1	2100_5	2101_6, 602_6	533_7	 	 	601_13	703_14	 	1423_16	1655_17	5020_19	2979_20
Agrobacterium tumefaciens CCNWGS0286 (1082932.3)	1326_1, 1335_4	262_5	261_6, 925_6	879_7	 	 	923_13	1037_14	340_15	89_16	3548_17	543_19	3422_20
Agrobacterium tumefaciens str. C58 (176299.10)	2180_4, 2189_1	1323_5	1322_6, 390_6	485_7	 	 	391_13	289_14	1399_15	1139_16	1937_17	1637_19, 5146_19	2058_20
Achromobacter xylosoxidans AXX-A (1003200.3)	624_1, 625_4	3720_5, 6119_5	2908_6, 300_6, 6120_6	3167_7	 	 	1738_13	1250_14	 	3967_16	5944_17	3507_19	1324_20
Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	2268_1, 2269_4	214_5	1156_6, 2123_6	2149_7	 	 	1513_13	1717_14	 	113_16	1268_17	928_19	2567_20
Burkholderia cenocepacia AU 1054 (331271.8)	829_4, 831_1	3693_5, 398_5	196_6, 3168_6, 399_6	1100_7	 	 	2921_13	143_14	6265_15	6480_16	2018_17	6168_19	619_20
Burkholderia cenocepacia H111 (1055524.3)	5220_1, 5222_4	2930_5, 3738_5	112_6, 3737_6, 5100_6	1648_7	 	 	4911_13	3852_14	2033_15	3314_16	3401_17	6516_19	3509_20
Burkholderia cenocepacia HI2424 (331272.8)	1299_4, 1301_1	4944_5, 869_5	5468_6, 672_6, 870_6	1565_7	 	 	310_13	619_14	2051_15	1837_16	2600_17	2147_19	1088_20
Burkholderia cenocepacia J2315 (216591.5)	1307_4, 1309_1	3256_5, 5771_5	3255_6, 3476_6, 6332_6	1666_7	 	 	213_13	3528_14	2171_15	1960_16	2859_17	2270_19	3019_20
Burkholderia cenocepacia MC0-3 (406425.4)	1299_4, 1301_1	6774_5, 862_5	6237_6, 663_6, 863_6	1583_7	 	 	303_13	608_14	2106_15	1894_16	2672_17	2202_19	1075_20
Burkholderia cepacia R18194 (269483.3)	5665_4, 5667_1	4785_5, 818_5	322_6, 4402_6, 4786_6	6238_12	 	 	4604_13	5319_14	 	6191_16	7357_17	6812_19	5396_20
Burkholderia cepacia GG4 (1009846.3)	2255_1, 2257_4	2770_5, 3797_5	2769_6, 2971_6	1959_7	 	 	236_13	3026_14	1487_15	1685_16	932_17	1383_19	2541_20
Cupriavidus metallidurans CH34 (266264.4)	2591_1, 2593_4	3132_5	1508_6, 3131_6, 811_6	1618_12	 	 	555_13	3441_14	 	2508_16	937_17	1457_19	2964_20
Lautropia mirabilis ATCC 51599 (887898.3)	2338_1, 2339_4	48_5	49_6, 665_6	2265_12	 	 	1383_13	184_14	 	1896_16	2242_17	2103_19	2185_20
Ralstonia sp. 5_7_47FAA (658664.3)	3932_4, 3934_1	2222_5	1402_6, 2223_6	4079_7	 	 	1738_13	4583_14	 	3799_16	2862_17	2661_19	2512_20
Comamonas testosteroni CNB-2 (688245.4)	3421_1, 3422_4	4204_5	4203_6, 4403_6	2415_7	 	 	2206_13, 372_13	5017_14	 	3504_16	3015_17	1272_19	3465_20
Comamonas testosteroni NBRC 100989 (1111078.3)	5104_1, 5105_4	1584_5	1583_6, 607_6	2181_12	 	 	390_13, 4736_13	1348_14	 	1817_16	1207_17	3791_19	2243_20
Comamonas testosteroni S44 (563045.3)	3129_1, 3130_4	4854_5	3549_6, 4855_6	3038_7	 	 	4437_13, 4551_13	1753_14	 	1381_16	948_17	1679_19	1344_20
Delftia acidovorans CCUG 15835 (883100.3)	875_4, 876_1	3804_5	1681_6, 3129_6, 3806_6	1557_7	 	 	4507_13	5497_14	861_15	774_16	4276_17	689_19	833_20
