Organism	CysE	CysK	CysD	CysC	CysH	CysIJ	MetC	CysABC
Clostridium beijerinckii NCIMB 8052 (290402.41)	1849_3, 253_1, 3570_4, 3862_4, 3989_4, 4057_4, 4916_4, 594_1	4522_5, 593_5, 647_8	4346_9, 4347_10	 	 	 	 	 
Clostridium bolteae 90B8 (997897.5)	1567_4, 1728_4, 437_1	5755_5, 6124_5	 	 	 	 	4973_18	 
Clostridium bolteae ATCC BAA-613 (411902.9)	4143_1, 4314_4, 5894_4	1668_5	 	 	 	 	3623_18	 
Clostridium botulinum A str. ATCC 19397 (441770.6)	201_1, 2022_4, 3090_3	1141_5, 200_5, 705_8	 	 	 	 	1352_18	 
Clostridium botulinum A str. ATCC 3502 (413999.7)	204_1, 2128_4, 3134_3	1167_5, 203_5, 722_8	 	 	 	 	1380_18	 
Clostridium botulinum A str. Hall (441771.6)	202_1, 2034_4, 2979_3	1149_5, 201_5, 708_8	 	 	 	 	1362_18	 
Clostridium botulinum A2 str. Kyoto (536232.3)	198_1, 2239_4, 3390_3	1228_5, 197_5, 782_8	 	 	 	 	1461_18	 
Clostridium botulinum A3 str. Loch Maree (498214.7)	3464_3, 515_1	1071_8, 1537_5, 514_5	 	 	 	 	1762_18	 
Clostridium botulinum B str. Eklund 17B (508765.6)	1917_4, 2079_4, 2411_3, 2899_4, 2988_1, 3276_3	1503_5, 2989_5, 3223_8	 	 	 	 	 	 
Clostridium botulinum B1 str. Okra (498213.7)	2204_4, 3273_3, 367_1	1322_5, 366_5, 897_8	 	 	 	 	1563_18	 
Clostridium botulinum Ba4 str. 657 (515621.3)	2573_4, 3607_3, 507_1	1029_8, 1446_5, 506_5	 	 	 	 	1744_18	 
Clostridium botulinum BKT015925 (929506.3)	1243_3, 874_1	2616_5	 	 	 	 	 	 
Clostridium botulinum CB11/1-1 (1289590.3)	1411_4, 2699_1, 3102_3, 3142_4, 576_3	2700_5, 3534_5	 	 	 	 	 	 
Clostridium botulinum CDC66177 (1221327.3)	1223_4, 1311_1, 142_3, 1721_4, 2767_4, 474_3	1312_5, 2570_5, 3018_8	 	 	 	 	 	 
Clostridium botulinum D str. 1873 (592027.3)	1518_3, 1808_1	325_5	 	 	 	 	 	 
Clostridium botulinum E1 str. 'BoNT E Beluga' (536233.3)	1170_3, 131_3, 1573_4, 1639_4, 424_1, 584_4	2145_5, 423_5	 	 	 	 	 	 
Clostridium botulinum E3 str. Alaska E43 (508767.5)	1744_4, 1899_4, 2185_3, 2740_1, 3027_3	1414_5, 2741_5	 	 	 	 	 	 
Clostridium botulinum F str. 230613 (758678.3)	210_1, 2254_4, 3340_3, 985_4	1241_5, 209_5, 777_8	 	 	 	 	1492_18	 
Clostridium botulinum F str. Langeland (441772.13)	198_1, 2118_4, 3128_3, 938_4	1180_5, 197_5, 741_8	 	 	 	 	1413_18	 
Clostridium botulinum H04402 065 (941968.4)	197_1, 2162_4, 3219_3	1233_5, 196_5, 775_8	 	 	 	 	1460_18	 
Clostridium butyricum 60E.3 (997898.4)	2088_4, 3145_1, 3398_1, 3558_3, 628_4, 724_3	1351_8, 3146_5	868_10, 869_9	 	 	 	 	 
Clostridium butyricum DKU-01 (1306409.3)	1790_3, 1886_4, 191_1, 2559_1, 33_3, 536_4	1195_8, 2560_5	1660_9, 1661_10	 	 	 	 	 
Clostridium butyricum DSM 10702 (1316931.3)	1172_4, 3062_1, 331_4, 3559_3, 4173_3, 665_1	2672_8, 664_5	1760_9, 1761_10	 	 	 	3462_18	 
Clostridium butyricum E4 str. BoNT E BL5262 (632245.3)	1084_1, 1631_4, 2953_3, 3050_4, 687_3	1085_5, 2328_8	2814_9, 2815_10	 	 	 	 	 
Clostridium celatum DSM 1785 (545697.3)	2693_3, 756_4, 999_1	1000_5, 324_5	 	 	 	 	 	 
Clostridium citroniae WAL-17108 (742733.3)	2139_1, 2737_4	5766_5	 	 	 	 	 	 
Clostridium clariflavum DSM 19732 (720554.3)	408_4, 4160_1	2313_5, 2420_5	3584_9, 3585_10	3584_9	3586_12	 	 	 
Clostridium clostridioforme 2_1_49FAA (742735.4)	1633_1, 2153_4, 5130_4	4621_5	 	 	 	 	4838_18	 
Clostridium clostridioforme 90A1 (999403.4)	2563_4, 3108_1, 5190_4, 5676_4	4626_5, 5472_5	 	 	 	 	5348_18	 
Clostridium clostridioforme 90A3 (999404.4)	3187_4, 385_4, 927_1	1312_5, 3367_5	 	 	 	 	1522_18	 
Clostridium clostridioforme 90A4 (999405.4)	1138_1, 1364_4, 4053_4, 4217_4	2399_5, 3707_5	 	 	 	 	4437_18	 
Clostridium clostridioforme 90A6 (999406.3)	1728_1, 2277_4, 5144_4	4246_5, 5242_5	 	 	 	 	5928_18	 
Clostridium clostridioforme 90A8 (999408.3)	2754_1, 349_4, 4178_4	4798_5	 	 	 	 	5554_18	 
Clostridium clostridioforme 90B1 (999409.3)	1317_4, 2117_4, 2661_1, 3242_4	5173_5, 5461_5	 	 	 	 	5581_18	 
Clostridium clostridioforme CM201 (999410.3)	2542_4, 449_4, 5633_4, 992_1	1307_5, 5227_5	 	 	 	 	1517_18	 
Clostridium difficile 6503 (691160.5)	177_4, 3603_1, 883_3	175_5, 3602_5	 	 	 	 	2423_18	 
Clostridium difficile 2007855 (699033.6)	1623_1, 1700_4, 3296_3	1622_5	 	 	 	 	 	 
Clostridium difficile 630 (272563.8)	1671_1, 1744_4, 3380_3	1670_5	 	 	 	 	2821, 2860_18	 
Clostridium difficile ATCC 43255 (499175.4)	1236_1, 1303_4, 2856_3	1235_5	 	 	 	 	1546_18, 2333, 2372_18	 
Clostridium difficile BI1 (699034.5)	1621_1, 1697_4, 3253_3	1620_5	 	 	 	 	 	 
Clostridium difficile CD196 (645462.3)	1592_1, 1665_4, 3194_3	1591_5	 	 	 	 	 	 
Clostridium difficile CIP 107932 (499176.4)	1182_1, 2861_3	1181_5	 	 	 	 	 	 
Clostridium difficile M120 (699035.5)	1606_1, 3272_3	1605_5, 1676_5	 	 	 	 	2774_18, 2814_18	 
Clostridium difficile M68 (699037.5)	1740_1, 3434_3	1739_5, 1806_5	 	 	 	 	2850_18, 2889_18	 
Clostridium difficile NAP07 (525258.3)	2241_1, 835_3	2240_5, 2306_5	 	 	 	 	1329_18, 3455_18	 
Clostridium difficile NAP08 (525259.3)	1560_3, 2997_1	2443_5, 2996_5	 	 	 	 	1446_18, 4_18	 
Clostridium difficile QCD-23m63 (499174.4)	2605_3, 995_1	1062_5, 993_5, 994_5	 	 	 	 	2101_18, 2140_18	 
Clostridium difficile QCD-37x79 (479834.4)	1062_1, 1133_4, 2768_3	1061_5, 1131_5	 	 	 	 	 	 
Clostridium difficile QCD-63q42 (479831.4)	2491_3, 845_1, 917_4	844_5, 915_5	 	 	 	 	1985, 2025_18	 
Clostridium difficile QCD-66c26 (455631.3)	1354_3, 3448_1	3447_5	 	 	 	 	 	 
Clostridium difficile QCD-76w55 (479832.7)	1208_1, 1279_4, 2855_3	1207_5	 	 	 	 	 	 
Clostridium difficile QCD-97b34 (479833.4)	1206_1, 1279_4, 2843_3	1205_5	 	 	 	 	 	 
Clostridium difficile R20291 (645463.3)	1596_1, 1668_4, 3279_3	1595_5	 	 	 	 	 	 
Clostridium hiranonis DSM 13275 (500633.7)	1402_3, 1569_1, 84_4	1570_5	 	 	 	 	1123_18	 
Clostridium hylemonae DSM 15053 (553973.6)	2678_1	144_5, 2895_5	 	 	 	 	 	 
Clostridium leptum DSM 753 (428125.8)	1541_1	1166_5, 1426_5	 	 	 	 	 	 
Clostridium methylpentosum DSM 5476 (537013.3)	1234_1, 797_1, 859_1	1801_5, 512_5	 	 	 	 	 	 
Clostridium nexile DSM 1787 (500632.7)	227_1, 2485_4, 3038_4, 454_4, 79_3	147_5	 	 	 	 	3332_18	 
Clostridium perfringens ATCC 13124 (195103.10)	1478_1, 2105_3, 234_4	1479_5, 157_8	 	 	 	 	 	 
Clostridium perfringens F262 (883064.3)	1596_1, 2227_3, 488_2	1597_5, 173_8	 	 	 	 	 	 
Clostridium perfringens SM101 (289380.15)	1296_1, 1852_3, 439_1	1297_5, 151_8	 	 	 	 	 	 
Clostridium perfringens WAL-14572 (742739.3)	1573_3, 2867_4, 985_1	2751_8, 986_5	 	 	 	 	 	 
Clostridium perfringens str. 13 (195102.6)	1391_1, 1982_3, 532_2	1392_5, 234_8	 	 	 	 	 	 
Clostridium saccharoperbutylacetonicum N1-4(HMT) (931276.5)	2327_4, 3540_3, 5181_1, 5596_3, 777_4	1343_5, 1391_8, 1742_8, 4675_5, 5182_5	2991_10, 2992_9	 	 	 	272_18	1355_19, 1356_20, 1360_19
Clostridium sartagoforme AAU1 (1202534.3)	1359_3, 266_4, 2984_4, 3515_1	1350_5, 3516_5	1667_9	1667_9	 	 	2309_18	 
Clostridium scindens ATCC 35704 (411468.9)	3329_4, 390_1	1063_5, 1887_5	 	 	 	 	 	 
Clostridium sp. 7_2_43FAA (457396.3)	1007_3, 1460_4, 2004_4, 403_1	402_5, 997_5	 	 	 	 	2348_18	 
Clostridium sp. L2-50 (411489.7)	2161_1, 44_4	2218_5, 258_5	 	 	 	 	2219_18	 
Clostridium sp. M62/1 (411486.3)	2975_4, 3225_1	1725_5	 	 	 	 	2014_18	 
Clostridium sp. SS2/1 (411484.7)	1057_4, 2463_2, 2908_1, 788_1	1171_5, 2374_5	488_9, 489_10	 	 	 	362_18	 
Clostridium sp. SY8519 (1042156.4)	2540_1, 2668_4	48_5	1575_10, 1576_9, 1830_10, 199_9	 	 	 	872_18	 
Clostridium sporogenes ATCC 15579 (471871.7)	1416_4, 2729_1, 411_3	2429_5, 2730_5, 3362_8	 	 	 	 	 	 
Clostridium sporogenes PA 3679 (1075091.3)	1553_1, 1771_4, 196_3, 2463_4, 3047_1	1552_5, 1953_8, 381_5	 	 	 	 	 	 
Clostridium sporosphaeroides DSM 1294 (1121334.3)	2394_1, 853_3	3022_5, 3110_5, 3121_8	 	 	 	 	 	 
Clostridium sticklandii DSM 519 (499177.3)	1817_3, 2226_1	2227_5	 	 	 	 	 	 
Clostridium symbiosum WAL-14163 (742740.3)	3601_3, 404_1, 4633_4	4029_5, 4181_5	 	 	 	 	4164_18	 
Clostridium symbiosum WAL-14673 (742741.3)	115_1, 4096_4	1240_5, 3742_5	 	 	 	 	 	 
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 (1121342.4)	2350_3, 890_1	2151_8, 889_5	1528_10, 1529_9	1521, 1529_9	 	 	 	 
Clostridium tyrobutyricum UC7086 (1212547.3)	2536_4, 2758_1, 776_3	2757_5, 947_8	663_10, 664_9	657, 664_9	 	 	 	 
Anaerococcus prevotii ACS-065-V-Col13 (879305.3)	440_1	439_5	 	 	 	 	 	 
Anaerococcus prevotii DSM 20548 (525919.6)	1066_1, 1628_4, 181_4	1067_5	 	 	 	 	 	 
Anaerococcus vaginalis ATCC 51170 (655811.4)	135_1	136_5	 	 	 	 	 	 
Finegoldia magna ACS-171-V-Col3 (768713.4)	405_1	406_5	 	 	 	 	 	 
Finegoldia magna ATCC 29328 (334413.6)	 	 	 	 	 	 	 	 
Finegoldia magna ATCC 53516 (525282.5)	1489_1, 990_3	1488_5	 	 	 	 	 	 
Finegoldia magna BVS033A4 (866773.4)	 	 	 	 	 	 	 	 
Finegoldia magna SY403409CC001050417 (866779.4)	53_1	 	 	 	 	 	 	 
Parvimonas micra ATCC 33270 (411465.10)	 	 	 	 	 	 	1240_18	 
Peptoniphilus harei ACS-146-V-Sch2b (908338.3)	645_1	644_5	 	 	 	 	 	 
Peptoniphilus indolicus ATCC 29427 (997350.3)	1475_1	1476_5	 	 	 	 	 	 
Peptoniphilus lacrimalis 315-B (596330.3)	1195_1	1194_5	 	 	 	 	 	 
Peptoniphilus lacrimalis DSM 7455 (1122949.3)	400_1	401_5	 	 	 	 	 	 
Peptoniphilus timonensis JC401 (1095770.3)	951_1	950_5	 	 	 	 	 	 
Anaerofustis stercorihominis DSM 17244 (445971.6)	1354_1, 1696_2, 827_1, 946_3	52_5	 	 	 	 	 	 
Eubacterium cellulosolvens 6 (633697.3)	559_1	1588_5, 1700_5	2009_10, 2010_9	 	 	 	1580_18	 
Eubacterium eligens ATCC 27750 (515620.4)	12_4, 448_1	40_5, 694_5	1778_9, 1779_10	 	 	 	 	 
Eubacterium hallii DSM 3353 (411469.3)	1010_1, 1013_1, 2284_4, 2826_1	2507_5, 2815_5	2810_9, 2811_10, 723_10, 724_9	 	 	 	 	 
Eubacterium limosum KIST612 (903814.3)	2383_1, 3005_3	120_5, 3367_5, 658_5	 	 	 	 	 	 
Eubacterium rectale ATCC 33656 (515619.6)	1335_1, 2390_3, 2393_3, 2924_4	2155_5, 282_5	2147_9, 2148_10	 	 	 	 	 
Eubacterium rectale DSM 17629 (657318.4)	1683_1, 1692_1, 1714_1, 182_4, 2360_4	2499_5, 3021_5	2507_10, 2508_9	 	 	 	 	 
Eubacterium rectale M104/1 (657317.3)	1207_1, 1769_1, 2166_4	1147_5, 1415_5	1407_9, 1408_10	 	 	 	 	 
Eubacterium saphenum ATCC 49989 (592031.3)	751_1	720_5	 	 	 	 	 	 
Eubacterium siraeum 70/3 (657319.3)	1692_1, 2333_3, 2590_4, 546_3, 547_3, 791_3	470_5	 	 	 	 	 	 
Eubacterium siraeum DSM 15702 (428128.7)	1551_1, 226_4, 796_3, 797_3, 876_3, 877_3	1619_5	 	 	 	 	 	 
Eubacterium siraeum V10Sc8a (717961.3)	1278_3, 350_1, 83_3	161_5	 	 	 	 	 	 
Eubacterium ventriosum ATCC 27560 (411463.4)	937_1	2332_5	 	 	 	 	263_18	 
Pseudoramibacter alactolyticus ATCC 23263 (887929.3)	1903_3, 1908_1, 2371_1	669_5	 	 	 	 	 	 
Anaerostipes caccae DSM 14662 (411490.6)	1195_2, 2993_4, 492_1	1809_5	 	 	 	 	 	 
Anaerostipes hadrus DSM 3319 (649757.3)	1939_1	2495_5, 2674_5	571_9, 572_10	 	 	 	 	 
Anaerostipes sp. 3_2_56FAA (665937.3)	1759_4, 2275_1, 2924_3	1620_5	 	 	 	 	 	 
Blautia producta ATCC 27340 (1121114.4)	2294_4, 2840_4, 3566_4, 4315_4, 4789_4, 4986_1	1516_5, 4897_5	 	 	 	 	 	 
Bryantella formatexigens DSM 14469 (478749.5)	2642_4, 3391_1, 49_4, 50_4	1790_5, 1857_5	 	 	 	 	1_18	 
Butyrivibrio crossotus DSM 2876 (511680.4)	813_4, 939_1	1110_5, 2241_5	 	 	 	 	 	 
Butyrivibrio fibrisolvens 16/4 (657324.3)	178_1, 811_4	1009_5	 	 	 	 	 	 
Coprococcus catus GD/7 (717962.3)	2540_4, 2864_1	2430_5	 	 	 	 	 	 
Coprococcus comes ATCC 27758 (470146.3)	2838_1, 2877_4, 798_4	2816_5	 	 	 	 	 	701_19
Coprococcus eutactus ATCC 27759 (411474.6)	2291_4, 657_1, 68_4, 840_4	1318_5, 1490_5, 822_5	1482_9, 1483_10	 	 	 	 	 
Dorea formicigenerans ATCC 27755 (411461.4)	687_1	2142_5	 	 	 	 	 	2236_20
Dorea longicatena DSM 13814 (411462.6)	1780_1	2167_5	 	 	 	 	2172_18	2162_19
Oribacterium sinus F0268 (585501.3)	 	1980_5	 	 	 	 	1397_18	 
Roseburia hominis A2-183 (585394.18)	2259_1	2976_5	 	 	 	 	2979_18	 
Roseburia intestinalis L1-82 (536231.5)	3078_1	1839_5	1047_10, 1048_9	 	 	 	2308_18, 3100_18	 
Roseburia intestinalis XB6B4 (718255.3)	3408_1	1646_5	1082_10, 1083_9	 	 	 	 	 
Roseburia inulinivorans DSM 16841 (622312.4)	2688_1	203_5	 	 	 	 	201_18, 202_18	3835_19
Lachnospiraceae bacterium 5_1_63FAA (658089.3)	947_1	1314_5, 2671_5	713_9, 714_10	 	 	 	 	 
Lachnospiraceae bacterium 8_1_57FAA (665951.3)	1061_4, 710_1	625_5	 	 	 	 	 	 
Filifactor alocis ATCC 35896 (546269.5)	1218_1	1219_5	 	 	 	 	 	 
Peptostreptococcus anaerobius 653-L (596329.3)	1378_1, 323_3	1376_5, 1377_5	 	 	 	 	 	 
Peptostreptococcus anaerobius DSM 2949 (1122950.3)	1322_3, 459_1	460_5	 	 	 	 	 	 
Peptostreptococcus stomatis DSM 17678 (596315.3)	359_3, 74_1	75_5	 	 	 	 	1785_18	 
Clostridium difficile 002-P50-2011 (997827.4)	1462_3, 2996_1	2995_5, 3062_5	 	 	 	 	635_18, 953_18	 
Clostridium difficile 050-P50-2011 (997828.4)	294_3, 3849_1	3784_5, 3850_5	 	 	 	 	656_18	 
Clostridium difficile 70-100-2010 (1002369.4)	1455_1, 2487_3	1456_5	 	 	 	 	1341_18, 3608	 
Clostridium difficile ATCC 9689 (1121308.3)	2190_4, 2264_1, 327_3	2192_5, 2265_5	 	 	 	 	702_18	 
Clostridium difficile CD37 (1125976.4)	1343_3, 1411_1	1410_5	 	 	 	 	1532_18	 
Clostridium glycolicum ATCC 14880 (1121315.3)	1543_3, 259_4, 953_1	952_5	 	 	 	 	2838_18	 
Anaerotruncus colihominis DSM 17241 (445972.6)	3022_4, 3271_1, 763_1	2841_5, 782_5	 	 	 	 	 	 
Faecalibacterium cf. prausnitzii KLE1255 (748224.3)	1878_1	1447_5, 2002_5	 	 	 	 	 	 
Faecalibacterium prausnitzii A2-165 (411483.3)	291_1	2256_5, 2728_5	 	 	 	 	 	 
Faecalibacterium prausnitzii L2-6 (718252.3)	2901_1	1607_5, 475_5, 851_5	 	 	 	 	 	 
Faecalibacterium prausnitzii M21/2 (411485.10)	153_1	110_5, 1190_5, 497_5	 	 	 	 	 	 
Faecalibacterium prausnitzii SL3/3 (657322.3)	1571_1, 1636_1	1099_5, 290_5, 390_5	 	 	 	 	 	 
Ruminococcus albus 7 (697329.10)	2972_1, 3310_1, 787_4	2643_5, 2705_5, 3207_8, 796_5	 	 	 	 	 	 
Ruminococcus albus 8 (246199.4)	1174_4, 1535_1, 1793_2, 2942_1	191_5, 1955_8, 3299_5	 	 	 	 	 	 
Ruminococcus bromii L2-63 (657321.5)	1002_4, 140_1, 1658_1, 1888_1	188_5	2092_10, 2093_9	 	 	 	 	 
Ruminococcus flavefaciens FD-1 (641112.4)	1349_4, 3742_1, 794_2	1074_5, 1848_5, 97_8	 	 	 	 	 	 
Ruminococcus gnavus ATCC 29149 (411470.6)	560_1	295_5	 	 	 	 	 	 
Ruminococcus lactaris ATCC 29176 (471875.6)	1663_4, 670_1	628_5	 	 	 	 	 	 
Ruminococcus obeum A2-162 (657314.3)	2702_1, 995_1	2270_5	2301_9	 	 	 	 	 
Ruminococcus sp. 18P13 (213810.4)	278_1	2009_5, 746_5	 	 	 	 	 	 
Ruminococcus sp. 5_1_39BFAA (457412.4)	1735_1, 291_4	2299_5	1551_9, 1552_10	 	 	 	 	 
Ruminococcus sp. SR1/5 (657323.3)	21_1, 2429_4, 2856_4	2095_5	2609_10, 2610_9	 	 	 	 	 
Ruminococcus torques ATCC 27756 (411460.6)	2063_4, 845_1	772_5	 	 	 	 	 	 
Ruminococcus torques L2-14 (657313.3)	1019_1, 1638_1, 3117_4, 415_1	3056_5	 	 	 	 	 	 
Ruminococcaceae bacterium D16 (552398.3)	1954_1, 1969_4, 386_1, 926_4	292_5, 3003_5	 	 	 	 	 	 
Acidaminococcus fermentans DSM 20731 (591001.3)	1786_1, 606_1	1788_5	 	 	 	 	 	 
Acidaminococcus sp. D21 (563191.3)	 	 	 	 	 	 	115_18	 
Dialister invisus DSM 15470 (592028.3)	 	 	 	 	 	 	 	 
Mitsuokella multacida DSM 20544 (500635.8)	1037_4, 1563_1	610_5	829_9, 830_10	 	 	 	 	 
Veillonella atypica ACS-049-V-Sch6 (866776.4)	107_1	161_5	 	 	 	 	78_18	 
Veillonella atypica ACS-134-V-Col7a (866778.4)	660_1	421_5	 	 	 	 	1656_18	 
Veillonella dispar ATCC 17748 (546273.3)	1574_1	1573_5, 815_5	 	 	 	 	1684_18	 
Veillonella parvula ATCC 17745 (686660.3)	639_1	1049_5, 640_5	 	 	 	 	526_18	 
Veillonella parvula DSM 2008 (479436.6)	138_1	137_5, 1541_5	 	 	 	 	 	 
Veillonella sp. 3_1_44 (457416.3)	1360_1	1071_5, 1359_5	 	 	 	 	1490_18, 935_18	 
Veillonella sp. 6_1_27 (450749.3)	1663_1	1158_5, 1664_5	 	 	 	 	1538_18, 984_18	 
Blautia hansenii DSM 20583 (537007.6)	1814_4, 2579_1	2480_5	 	 	 	 	 	 
Blautia hydrogenotrophica DSM 10507 (476272.5)	1777_1, 3025_4, 3317_4	1529_5, 160_5, 1776_5	 	 	 	 	 	 
Flavonifractor plautii ATCC 29863 (411475.3)	2185_4, 2842_1	1415_5, 1671_5, 246_5	 	 	 	 	 	 
Clostridiales bacterium 1_7_47FAA (457421.5)	4573_1, 4894_4	5740_5	 	 	 	 	 	 
Bulleidia extructa W1219 (679192.3)	 	 	 	 	 	 	 	 
Catenibacterium mitsuokai DSM 15897 (451640.5)	1086_4, 1112_3, 228_1	2171_5	 	 	 	 	 	 
Coprobacillus sp. 29_1 (469596.3)	134_4, 1590_4, 1675_1, 869_3	529_5, 990_5	 	 	 	 	 	 
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	1034_4, 1692_1	1180_5	 	 	 	 	 	 
Holdemania filiformis DSM 12042 (545696.5)	2009_3	 	 	 	 	 	2173_18	 
Solobacterium moorei F0204 (706433.3)	1232_1	1233_5	 	 	 	 	 	 
Clostridium ramosum DSM 1402 (445974.6)	1095_3, 131_4, 2001_4, 253_1, 53_4	1961_5, 1962_5	 	 	 	 	2605_18, 2734_18, 306_18	 
Clostridium spiroforme DSM 1552 (428126.7)	1685_3, 398_1	1551_5	 	 	 	 	406_18	 
Eubacterium biforme DSM 3989 (518637.5)	267_1	663_5	 	 	 	 	 	 
Eubacterium cylindroides T2-87 (717960.3)	601_1	1178_5	 	 	 	 	 	 
Eubacterium dolichum DSM 3991 (428127.7)	1558_1, 809_4	1557_5	 	 	 	 	1286_18	 
Clostridium innocuum 2959 (999413.4)	1432_3, 2599_4, 4184_1, 4461_1, 4508_1	2080_5, 4507_5	 	 	 	 	2694_18	 
Acidaminococcus intestini RyC-MR95 (568816.4)	 	 	 	 	 	 	1988_18	 
Phascolarctobacterium sp. YIT 12067 (626939.3)	405_1	1312_5	 	 	 	 	987_18, 988_18	 
Dialister succinatiphilus YIT 11850 (742743.3)	 	 	 	 	 	 	1877_18	 
Megamonas funiformis YIT 11815 (742816.3)	1522_4, 1540_4, 1669_4, 170_1	1294_5	 	 	 	 	1842_18	 
Megamonas hypermegale ART12/1 (657316.3)	1998_4, 2384_1, 413_4	1695_5	 	 	 	 	179_18	 
Megasphaera elsdenii (907.4)	1007_1	1006_5, 2057_5	2049_9, 2050_10	 	 	 	 	 
Veillonella parvula ACS-068-V-Sch12 (768727.3)	972_1	1491_5, 973_5	 	 	 	 	835_18	 
Veillonella ratti ACS-216-V-Col6b (883156.3)	416_1	415_5	972_9	 	 	 	326_18	 
Fusobacterium gonidiaformans ATCC 25563 (469615.3)	 	 	 	 	 	 	1465_18	 
Fusobacterium mortiferum ATCC 9817 (469616.3)	190_3, 646_4	82_5	 	 	 	 	1594_18, 2400_18, 341_18	 
Fusobacterium nucleatum subsp. nucleatum ATCC 23726 (525283.3)	 	189_5, 530_5	 	 	 	 	2013_18	 
Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (190304.8)	 	1620_5, 1783_5	 	 	 	 	235_18	 
Fusobacterium nucleatum subsp. polymorphum ATCC 10953 (393480.8)	1187_1	1188_5, 212_5, 382_5	 	776	 	 	2290_18	 
Fusobacterium periodonticum ATCC 33693 (546275.3)	1063_1	1064_5, 2210_5, 2310_5	 	 	 	 	2207_18, 731_18	 
Fusobacterium sp. 3_1_33 (469603.3)	 	211_5, 722_7	 	 	 	 	572_18	 
Fusobacterium sp. 7_1 (457405.3)	 	1362_5, 728_5, 730_5	 	 	 	 	 	 
Fusobacterium sp. D11 (556264.3)	 	1519_5, 219_7	 	 	 	 	39_18	 
Fusobacterium ulcerans ATCC 49185 (469617.3)	1195_4, 1304_4, 580_3	 	 	 	 	 	1969_18, 3047_18	 
Fusobacterium varium ATCC 27725 (469618.3)	2650_3	 	 	 	 	 	 	 
Leptotrichia buccalis C-1013-b (523794.5)	126_1, 2007_3, 865_4	125_5	386_10, 387_9	 	 	 	 	 
Fusobacterium gonidiaformans 3-1-5R (469605.7)	819_4	 	 	 	 	 	487_18	 
Fusobacterium necrophorum subsp. funduliforme ATCC 51357 (1095747.3)	 	1737_5, 1738_5	 	 	 	 	 	 
Fusobacterium necrophorum subsp. funduliforme Fnf 1007 (1161424.3)	 	2017_5	 	 	 	 	1136_18, 1603_18	 
Fusobacterium nucleatum subsp. animalis 11_3_2 (457403.8)	2267_1	221_5, 893_5	 	 	 	 	1575_18	 
Fusobacterium nucleatum subsp. animalis 21_1A (469601.8)	 	1311_5, 764_5, 767_5	 	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 4_8 (469607.3)	 	1371_5, 1374_5, 818_5	 	 	 	 	1229_18	 
Fusobacterium nucleatum subsp. animalis 7_1 (457405.10)	 	1254_5, 1257_5, 574_5	 	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis OT 420 (999414.3)	 	125_5, 738_5	 	 	 	 	 	 
Fusobacterium nucleatum subsp. polymorphum F0401 (693991.3)	2074_1	2073_5, 300_5, 40_5	 	 	 	 	571_18	 
Fusobacterium nucleatum subsp. vincentii 3_1_36A2 (469604.7)	 	521_5, 685_5	 	 	 	 	231, 654	 
Fusobacterium nucleatum subsp. vincentii 4_1_13 (469606.8)	 	562_5, 795_5	 	 	 	 	290, 764	 
Fusobacterium periodonticum 1_1_41FAA (469621.8)	1685_2, 2119_1	2120_5, 898_5	 	 	 	 	1626_18, 901_18	 
Fusobacterium periodonticum 2_1_31 (469599.8)	2136_1	2135_5, 405_5	 	 	 	 	1538_18, 402	 
Fusobacterium russii ATCC 25533 (1278306.3)	1294_2	25_5, 627_5	 	 	 	 	1539	 
Fusobacterium ulcerans 12-1B (457404.5)	2570_4, 2757_4, 96_3	 	 	 	 	 	 	 
Schlesneria paludicola DSM 18645 (1123242.3)	1401_1, 3051_1	4620_5, 7033_5	2921_9, 2922_10	1655	7684_12	 	 	 
Brevundimonas diminuta 470-4 (1035191.3)	1490_1	1502_8, 2796_5, 2994_7	 	 	 	 	2201_18	 
Bartonella quintana RM-11 (1225179.3)	 	 	 	 	 	 	 	 
Bartonella quintana str. Toulouse (283165.4)	 	 	 	 	 	 	 	 
Afipia birgiae 34632 (1197906.5)	1269_1	1938_5, 2059_7	4885_9, 4886_10	4885_9	4891_12	4889_14	2064_18	 
Bradyrhizobium elkanii USDA 76 (398525.3)	2591_1, 6581_1, 8417_1, 8418_1	5445_5, 5659_7	2434_9, 2435_10, 3514_10, 3515_9, 3516_9	2434_9, 3515_9, 3516_9	2441_12, 3281_12	2439_14	5665_18	 
Bradyrhizobium japonicum USDA 110 (224911.5)	5692_1, 7344_1	4505_8, 4750_5	1536_9, 1537_10	1536_9	1542_12	1540_14	 	 
Bradyrhizobium japonicum USDA 124 (1038862.3)	2925_1, 6113_1, 847_1	1108_7, 1385_5, 5595_5	2796_9, 2797_10, 5018_10, 5019_9	2796_9, 5019_9	2802_12	2800_14	1099_18	 
Bradyrhizobium japonicum USDA 6 (1037409.3)	2270_1, 4196_1, 7534_1	243_5, 5080_5, 5360_7, 6143_5	8315_10, 8316_9	8316_9	8310_12	8312_14	5366_18	 
