Organism	Cyo	Cta	Qox	Cco	Cyd	Cyf
Peptostreptococcus anaerobius DSM 2949 (1122950.3)	 	 	 	 	 	 
Peptostreptococcus stomatis DSM 17678 (596315.3)	 	 	 	 	 	 
Clostridium difficile 002-P50-2011 (997827.4)	 	 	 	 	 	 
Clostridium difficile 050-P50-2011 (997828.4)	 	 	 	 	 	 
Clostridium difficile 70-100-2010 (1002369.4)	 	 	 	 	 	 
Clostridium difficile ATCC 9689 (1121308.3)	 	 	 	 	 	 
Clostridium difficile CD37 (1125976.4)	 	 	 	 	 	 
Clostridium glycolicum ATCC 14880 (1121315.3)	 	 	 	 	 	 
Anaerotruncus colihominis DSM 17241 (445972.6)	 	 	 	 	 	 
Faecalibacterium cf. prausnitzii KLE1255 (748224.3)	 	 	 	 	 	698_22, 699_21, 880_24, 881_23
Faecalibacterium prausnitzii A2-165 (411483.3)	 	 	 	 	 	1196_21, 2312
Faecalibacterium prausnitzii L2-6 (718252.3)	 	 	 	 	 	2989_23, 2990_24, 557_21, 558_22
Faecalibacterium prausnitzii M21/2 (411485.10)	 	 	 	 	 	778_21, 779_22, 808_24, 809_23
Faecalibacterium prausnitzii SL3/3 (657322.3)	 	 	 	 	 	1900_23, 1901_24, 1930_22, 1931_21
Ruminococcus albus 7 (697329.10)	 	 	 	 	 	 
Ruminococcus albus 8 (246199.4)	 	 	 	 	 	 
Ruminococcus bromii L2-63 (657321.5)	 	 	 	 	 	316_21
Ruminococcus flavefaciens FD-1 (641112.4)	 	 	 	 	 	 
Ruminococcus gnavus ATCC 29149 (411470.6)	 	 	 	 	 	387_22, 388_21
Ruminococcus lactaris ATCC 29176 (471875.6)	 	 	 	 	 	2130_22, 2131_21
Ruminococcus obeum A2-162 (657314.3)	 	 	 	 	 	570_21
Ruminococcus sp. 18P13 (213810.4)	 	 	 	 	 	 
Ruminococcus sp. 5_1_39BFAA (457412.4)	 	 	 	 	 	 
Ruminococcus sp. SR1/5 (657323.3)	 	 	 	 	 	 
Ruminococcus torques ATCC 27756 (411460.6)	 	 	 	 	 	 
Ruminococcus torques L2-14 (657313.3)	 	 	 	 	 	 
Ruminococcaceae bacterium D16 (552398.3)	 	 	 	 	 	 
Acidaminococcus fermentans DSM 20731 (591001.3)	 	 	 	 	 	 
Acidaminococcus sp. D21 (563191.3)	 	 	 	 	 	 
Dialister invisus DSM 15470 (592028.3)	 	 	 	 	 	 
Mitsuokella multacida DSM 20544 (500635.8)	 	 	 	 	1831, 1832	 
Veillonella atypica ACS-049-V-Sch6 (866776.4)	 	 	 	 	18_17, 19_19	 
Veillonella atypica ACS-134-V-Col7a (866778.4)	 	 	 	 	484_17, 485_19	 
Veillonella dispar ATCC 17748 (546273.3)	 	 	 	 	1370_17, 1371_19	 
Veillonella parvula ATCC 17745 (686660.3)	 	 	 	 	1231_17, 1232_19	 
Veillonella parvula DSM 2008 (479436.6)	 	 	 	 	465, 466	 
Veillonella sp. 3_1_44 (457416.3)	 	 	 	 	1861_19, 1862_17	 
Veillonella sp. 6_1_27 (450749.3)	 	 	 	 	1876_19, 1877_17	 
Blautia hansenii DSM 20583 (537007.6)	 	 	 	 	 	 
Blautia hydrogenotrophica DSM 10507 (476272.5)	 	 	 	 	 	 
Flavonifractor plautii ATCC 29863 (411475.3)	 	 	 	 	 	 
Clostridiales bacterium 1_7_47FAA (457421.5)	 	 	 	 	 	 
Bulleidia extructa W1219 (679192.3)	 	 	 	 	 	 
Catenibacterium mitsuokai DSM 15897 (451640.5)	 	 	 	 	 	 
Coprobacillus sp. 29_1 (469596.3)	 	 	 	 	 	 
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	 	 	 	 	 	 
Holdemania filiformis DSM 12042 (545696.5)	 	 	 	 	 	 
Solobacterium moorei F0204 (706433.3)	 	 	 	 	 	 
Clostridium ramosum DSM 1402 (445974.6)	 	 	 	 	 	 
Clostridium spiroforme DSM 1552 (428126.7)	 	 	 	 	 	 
Eubacterium biforme DSM 3989 (518637.5)	 	 	 	 	 	 
Eubacterium cylindroides T2-87 (717960.3)	 	 	 	 	 	 
Eubacterium dolichum DSM 3991 (428127.7)	 	 	 	 	 	 
Clostridium innocuum 2959 (999413.4)	 	 	 	 	 	 
Acidaminococcus intestini RyC-MR95 (568816.4)	 	 	 	 	 	 
Phascolarctobacterium sp. YIT 12067 (626939.3)	 	 	 	 	 	 
Dialister succinatiphilus YIT 11850 (742743.3)	 	 	 	 	 	 
Megamonas funiformis YIT 11815 (742816.3)	 	 	 	 	2287_19, 2288_17	 
Megamonas hypermegale ART12/1 (657316.3)	 	 	 	 	2700_19, 2701_19, 2702_17	 
Megasphaera elsdenii (907.4)	 	 	 	 	 	 
Veillonella parvula ACS-068-V-Sch12 (768727.3)	 	 	 	 	1735_19, 1736_17	 
Veillonella ratti ACS-216-V-Col6b (883156.3)	 	 	 	 	289_19, 290_17	 
Fusobacterium gonidiaformans ATCC 25563 (469615.3)	 	 	 	 	 	 
Fusobacterium mortiferum ATCC 9817 (469616.3)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. nucleatum ATCC 23726 (525283.3)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (190304.8)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. polymorphum ATCC 10953 (393480.8)	 	 	 	 	 	 
Fusobacterium periodonticum ATCC 33693 (546275.3)	 	 	 	 	 	 
Fusobacterium sp. 3_1_33 (469603.3)	 	 	 	 	 	 
Fusobacterium sp. 7_1 (457405.3)	 	 	 	 	 	 
Fusobacterium sp. D11 (556264.3)	 	 	 	 	 	 
Fusobacterium ulcerans ATCC 49185 (469617.3)	 	 	 	 	 	 
Fusobacterium varium ATCC 27725 (469618.3)	 	 	 	 	 	 
Leptotrichia buccalis C-1013-b (523794.5)	 	 	 	 	 	 
Fusobacterium gonidiaformans 3-1-5R (469605.7)	 	 	 	 	 	 
Fusobacterium necrophorum subsp. funduliforme ATCC 51357 (1095747.3)	 	 	 	 	 	 
Fusobacterium necrophorum subsp. funduliforme Fnf 1007 (1161424.3)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 11_3_2 (457403.8)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 21_1A (469601.8)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 4_8 (469607.3)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis 7_1 (457405.10)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. animalis OT 420 (999414.3)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. polymorphum F0401 (693991.3)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. vincentii 3_1_36A2 (469604.7)	 	 	 	 	 	 
Fusobacterium nucleatum subsp. vincentii 4_1_13 (469606.8)	 	 	 	 	 	 
Fusobacterium periodonticum 1_1_41FAA (469621.8)	 	 	 	 	 	 
Fusobacterium periodonticum 2_1_31 (469599.8)	 	 	 	 	 	 
Fusobacterium russii ATCC 25533 (1278306.3)	 	 	 	 	 	 
Fusobacterium ulcerans 12-1B (457404.5)	 	 	 	 	 	 
Schlesneria paludicola DSM 18645 (1123242.3)	 	691_8, 692_7, 693_6, 694_5, 7257_5, 7258_6, 7259_7, 7260_8, 8304_7, 8307_6, 8308_5	 	2681_13, 2682_14	464_19, 465_17	 
Brevundimonas diminuta 470-4 (1035191.3)	3173_4, 3174_3, 3175_2, 3176_1	2210_5, 2211_6_7, 2211_6_7, 2816_7, 2820_6, 2821_5	 	 	2375_17, 2376_19	 
Bartonella quintana RM-11 (1225179.3)	139_1, 140_2, 141_3, 142_4	 	 	 	 	 
Bartonella quintana str. Toulouse (283165.4)	 	 	 	 	 	 
Afipia birgiae 34632 (1197906.5)	 	49_5, 50_6, 54_7	 	3500_16, 3501_14, 3502_13, 3719_16, 3720_15, 3721_14, 3722_13	4491_19, 4492_17	 
Bradyrhizobium elkanii USDA 76 (398525.3)	1072_1, 1073_2, 1074_3, 1075_4	734_7, 738_6, 740_5	 	152_16, 153_15, 154_14, 155_13, 3501_13, 3502_14, 3503_15, 3504_16, 8849_16, 8850_15, 8851_14, 8852_13	2039_19, 2040_17	 
Bradyrhizobium japonicum USDA 110 (224911.5)	142_1, 143, 144_3, 145_4, 2691_1, 2693_3, 2694_4	1210_5, 1211_6, 1215_7	 	2745_13, 2746_14, 2747_15, 2748_16	277, 278, 3712, 3713	 
Bradyrhizobium japonicum USDA 124 (1038862.3)	6258_1, 6259_2, 6260_3, 6261_4, 7486_1, 7487_2, 7488_3, 7489_4	6707_5, 6709_6, 6713_7	 	7858_13, 7859_14, 7860_15, 7861_16	640_19, 641_17	 
Bradyrhizobium japonicum USDA 6 (1037409.3)	152_1, 153_2, 154_3, 155_4, 7113_4, 7114_3, 7115_2, 7116_1	8640_7, 8644_6, 8645_5	 	7062_16, 7063_15, 7064_14, 7065_13	6330_19, 6331_17	 
Bradyrhizobium japonicum WSM2793 (1038866.3)	6120_1, 6121_2, 6122_3, 6123_4, 7872_1, 7873_2, 7874_3, 7875_4	344_5, 345_6, 346_7, 7739_7, 7743_6, 7744_5	 	6171_13, 6172_14, 6173_15, 6174_16	 	 
Ochrobactrum anthropi ATCC 49188 (439375.7)	49, 50, 51_3, 52_4	621_5, 622_6, 626_7	 	496_16, 497_15, 499_14, 500_13	3698, 3699	 
Ochrobactrum anthropi CTS-325 (1151114.3)	3024_4, 3025_3, 3026_2, 3027_1, 391_1, 392_2, 393_3, 394_4	962_5, 963_6, 968_7	 	848_16, 849_15, 850_14, 851_13	1301_17, 1302	 
Methylobacterium mesophilicum SR1.6/6 (908290.3)	1513_1, 1514_2, 1515_3, 1516_4, 4233_1, 4234_2, 4235_3, 4236_4	21_7, 2110_7, 2111_6, 2112_5, 25_6, 26_5, 3807_5, 3808_6, 3809_7, 3810_8	 	 	3029_17, 3030_19, 328_17, 329_19, 4027_17, 4028_19	 
Methylobacterium populi BJ001 (441620.7)	4879_4, 4880_3, 4881_2, 4882_1	3511_7, 3515_6, 3516_5, 49_5, 50_6, 51_7, 52_8	 	 	1347_17, 1348_19, 5164_19, 5165_17	 
Methylobacterium radiotolerans JCM 2831 (426355.14)	 	1078_7, 1079_6, 1080_5, 51_7, 55_6, 56_5, 6306_5, 6307_6, 6308_7, 6309_8	 	 	219, 220, 4930, 4931, 4999, 5000	 
Mesorhizobium loti MAFF303099 (266835.9)	5447, 5448, 5449_3, 5450_4	5984_5, 5985_6, 5989_7, 7258_6, 7259_5, 7260_7	 	5088_13, 5089_14, 5090_15, 5091_16, 5262_16, 5263_15, 5264_14, 5265_13	3572, 3573	 
Mesorhizobium loti NZP2037 (935546.3)	3527_4, 3528_3, 3529_2, 3530_1	2396_5, 2397_6, 2398_7, 574_5, 575_6, 579_7	 	116_13, 117_14, 118_15, 119_16, 3610_13, 3611_14, 3612_15, 3613_16, 7169_16, 7170_15, 7171_14, 7172_13	5566_17, 5567_19	 
Agrobacterium tumefaciens str. Cherry 2E-2-2 (1281779.3)	4696_4, 4697_3, 4698_2, 4699_1	1744_5, 1745_6, 1750_7	 	5137_13, 5138_14, 5139_15, 5140_16	3060_17, 3061_19	 
Agrobacterium tumefaciens CCNWGS0286 (1082932.3)	3285_4, 3286_3, 3287_2, 3288_1	4285_7, 4289_6, 4290_5	 	468_16, 469_15, 470_14, 471_13	4006_17, 4007_19	 
Agrobacterium tumefaciens str. C58 (176299.10)	130_4, 131_3, 132, 133_1	765_5, 766_6, 771_7	 	1560_16, 1561_15, 1562_14, 1563_13	3908_17, 3909	 
Achromobacter xylosoxidans AXX-A (1003200.3)	1009_1, 1010_2, 1011_3, 1012_4, 929_1, 930_2, 931_3, 932_4	2314_5, 2316_6, 2319_7	 	456_16, 457_15, 458_14, 459_13, 6133_13, 6134_14, 6135_15, 6136_16	1699_19, 1700_17, 3120_17, 3121_19	 
Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	 	3183_5, 3184_6, 3187_7	 	1380_14, 1381_13, 2564_14, 2565_13, 69_13, 70_14, 71_15, 72_16	1588_19, 1589_17, 2378_19, 2379_17	 
Burkholderia cenocepacia AU 1054 (331271.8)	6207_1, 6208_2, 6209_3, 6210_4	1331_5, 1332_6, 1332_6, 1333_6, 1333_6, 2327_7, 2331_6, 2332_5	 	 	1469_19, 1470_17, 2298_17, 2299_19, 5565_19, 5566_17	 
Burkholderia cenocepacia H111 (1055524.3)	6558_1, 6559_2, 6560_3, 6561_4	6135_5, 6136_6_7, 6136_6_7, 6137_6_7, 6137_6_7, 7151_7, 7155_6, 7156_5	 	 	287_19, 288_17, 7123_17, 7124_19	 
Burkholderia cenocepacia HI2424 (331272.8)	2105_4, 2106_3, 2107_2, 2108_1	2906_7, 2910_6, 2911_5, 6711_6, 6711_6, 6712_6, 6712_6, 6713_5	 	 	2879_17, 2880_19, 5618_17, 5619_19, 6574_17, 6575_19	 
Burkholderia cenocepacia J2315 (216591.5)	2227_4, 2228_3, 2229_2, 2230_1	7201_5, 7202_6, 7202_6, 7203_6, 7203_6, 784_5, 785_6, 789_7	 	 	6495_17, 6496_19, 824_19, 825_17	 
Burkholderia cenocepacia MC0-3 (406425.4)	2159_4, 2160_3, 2161_2, 2162_1	2962_7, 2966_6, 2967_5, 3448_6, 3448_6, 3449_5	 	 	2935_17, 2936_19	 
Burkholderia cepacia R18194 (269483.3)	6728_4, 6729_3, 6730, 6731	7653_7, 7656_6, 7657_5	 	 	12, 13, 3337, 3338, 3760, 3761, 7628, 7629	 
Burkholderia cepacia GG4 (1009846.3)	1426_1, 1427_2, 1428_3, 1429_4, 763_1, 764_2, 765_3, 766_4	626_5, 627_6, 631_7	 	 	5164_17, 5165_19, 5984_19, 5985_17, 656_19, 657_17	 
Cupriavidus metallidurans CH34 (266264.4)	1353, 1355_3, 1356_4, 5986, 5987, 5988_3, 5989_4	666_5, 667_6, 670_7	 	 	5336, 5337, 5610, 5611	 
Lautropia mirabilis ATCC 51599 (887898.3)	 	 	 	 	89, 90	 
Ralstonia sp. 5_7_47FAA (658664.3)	3393_1, 3394_2, 3395_3, 3396_4, 4420, 4421_2, 4422_3, 4423_4	1547_7, 1551_6, 1552_5	 	3744_16, 3745_15, 3746_14, 3747_13	975_17, 976_19	 
Comamonas testosteroni CNB-2 (688245.4)	2322_4, 2323_3, 2324_2, 2325_1	2473_5, 4159_7, 4162_6, 4164_5	 	1980_13, 1981_14, 1982_15, 1983_16	3649_19, 3650_17	 
Comamonas testosteroni NBRC 100989 (1111078.3)	3624_4, 3625_3, 3626, 3627_1	444_5, 4935_7, 4938_6, 4939_5	 	 	4119_19, 4120_17	 
Comamonas testosteroni S44 (563045.3)	2893_4, 2894_3, 2895_2, 2896_1	4748_5, 4894_5, 4896_6, 4899_7	 	1064_16, 1065_15, 1066_14, 1067_13	2226_19, 2227_17	 
Delftia acidovorans CCUG 15835 (883100.3)	1480_4, 1481_3, 1482_2, 1483_1	4708_5, 4709_6, 4713_7	 	3588_16, 3589_15, 3590_14, 3591_13	5010_19, 5011_17	 
Delftia acidovorans CCUG 274B (883101.3)	2370_1, 2371_2, 2372_3, 2373_4	5654_5, 5655_6, 5659_7	 	237_13, 238_14, 239_15, 240_16	5698_17, 5699_19	 
Delftia acidovorans SPH-1 (398578.5)	4078_1, 4079_2, 4080_3, 4081_4	1712_5, 1713_6, 1717_7	 	2809_13, 2810_14, 2811_15, 2812_16	2430, 2431	 
Oxalobacter formigenes HOxBLS (556268.6)	 	 	 	 	 	 
Oxalobacter formigenes OXCC13 (556269.4)	 	 	 	 	 	 
Parasutterella excrementihominis YIT 11859 (762966.3)	 	 	 	 	2479_17, 2480_19	 
Sutterella wadsworthensis 2_1_59BFAA (742823.3)	 	 	 	 	712_19, 713_17	 
Sutterella wadsworthensis 3_1_45B (742821.3)	 	 	 	 	1816, 1817	 
Sutterella wadsworthensis HGA0223 (1203554.3)	 	 	 	 	2455_19, 2456	 
Burkholderiales bacterium 1_1_47 (469610.4)	 	 	 	 	795_19, 796_17	 
Eikenella corrodens ATCC 23834 (546274.4)	 	 	 	 	 	 
Kingella oralis ATCC 51147 (629741.3)	 	 	 	 	 	 
Laribacter hongkongensis HLHK9 (557598.3)	 	167_5, 168_6, 171_7	 	 	2058, 2059	 
Neisseria cinerea ATCC 14685 (546262.4)	 	 	 	1646_16, 1647_15, 1648_14, 1649_13	 	 
Neisseria elongata subsp. glycolytica ATCC 29315 (546263.3)	 	 	 	1650_16, 1651_16, 1653_15, 1654_14, 1655_13	 	 
Neisseria flavescens NRL30031/H210 (546264.5)	 	 	 	1386_16, 1387_15, 1388_14, 1389_13	 	 
Neisseria flavescens SK114 (596320.3)	 	 	 	769_16, 770_15, 771_14, 772_13	 	 
Neisseria macacae ATCC 33926 (997348.4)	 	 	 	725_13, 726_14, 727_15, 728_16	 	 
Neisseria mucosa ATCC 25996 (546266.6)	 	 	 	653_16, 654_15, 655_14, 656_13	 	 
Neisseria mucosa C102 (435832.3)	 	 	 	1777_16, 1778_15, 1779_14, 1780_13	 	 
Neisseria subflava NJ9703 (546268.4)	 	 	 	800_13, 801_14, 802_15, 803_16	 	 
Methyloversatilis universalis EHg5 (999628.3)	 	474_5, 475_6, 478_7	 	2737_16, 2738_15, 2739_14, 2740_13	1516_19, 1517_17	 
Methyloversatilis universalis FAM5 (1000565.3)	 	1948_5, 1949_6, 1952_7	 	2377_13, 2378_14, 2379_15, 2380_16	687_19, 688_17	 
Aeromonas caviae Ae398 (878320.4)	1491_1, 1492_2, 1493_3, 1494_4	3659_7, 3661_6, 3662_5	 	2601_13, 2602_14, 2603_15, 2604_16	2017_17, 2018_19, 651_17, 652_19	 
Aeromonas hydrophila 113 (1268075.3)	2653_4, 2654_3, 2655_2, 2656_1	 	 	976_13, 977_14, 978_15, 979_16	2842_17, 2843_19, 3151_19, 3152_17	 
Aeromonas hydrophila 14 (1268074.3)	1533_4, 1534_3, 1535_2, 1536_1	 	 	2559_16, 2560_15, 2561_14, 2562_13	147_17, 148_19, 3534_17, 3535_19	 
Aeromonas hydrophila 173 (1268076.3)	3939_4, 3940_3, 3941_2, 3942_1	 	 	2862_13, 2863_14, 2864_15, 2865_16	1745_19, 1746_17, 3422_17, 3423_19	 
Aeromonas hydrophila 187 (1268077.3)	3421_1, 3422_2, 3423_3, 3424_4	 	 	2853_13, 2854_14, 2855_15, 2856_16	1063_19, 1064_17, 3138_19, 3139_17	 
Aeromonas hydrophila 259 (1268079.3)	1875_1, 1876_2, 1877_3, 1878_4	 	 	2743_16, 2744_15, 2745_14, 2746_13	10_19, 11_17, 1171_17, 1172_19	 
Aeromonas hydrophila 277 (1268080.3)	240_4, 241_3, 242_2, 243_1	 	 	3181_16, 3182_15, 3183_14, 3184_13	2358_17, 2359_19, 782_17, 783_19	 
Aeromonas hydrophila ML09-119 (1288394.3)	3206_4, 3207_3, 3208_2, 3209_1	 	 	2308_16, 2309_15, 2310_14, 2311_13	1817_17, 1818_19, 3895, 3896_17	 
Aeromonas hydrophila SNUFPC-A8 (1232673.3)	3761_4, 3762_3, 3763_2, 3764_1	 	 	2856_13, 2857_14, 2858_15, 2859_16	2635_17, 2636_19, 4438_17, 4439	 
Aeromonas hydrophila SSU (1073377.4)	2133_4, 2134_3, 2135_2, 2136_1	 	 	1255_16, 1256_15, 1257_14, 1258_13	2895_19, 2896_17, 751_17, 752_19	 
Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.7)	2940_4, 2941_3, 2942_2, 2943_1	 	 	2296_13, 2297_14, 2298_15, 2299_16	1652_17, 1653, 3621, 3622_17	 
Aeromonas media WS (1208104.3)	1543_1, 1544_2, 1545_3, 1546_4	2856_7, 2858_6, 2859_5	 	2513_13, 2514_14, 2515_15, 2516_16	1755_19, 1756_17, 3286_17, 3287_19	 
Aeromonas veronii AER39 (1073382.3)	 	 	 	1772_13, 1773_14, 1774_15, 1775_16	1340_19, 1341_17, 2265_19, 2266_17	 
Aeromonas veronii AER397 (1073384.3)	 	 	 	1727_13, 1728_14, 1729_15, 1730_16	1193_17, 1194_19, 3093_19, 3094_17	 
Aeromonas veronii AMC34 (1073383.3)	3582_4, 3583_3, 3584_2, 3585_1	 	 	2836_16, 2837_15, 2838_14, 2839_13	1489_17, 1490_19, 3492_19, 3493_17	 
Aeromonas veronii AMC35 (1073385.3)	 	 	 	2514_13, 2515_14, 2516_15, 2517_16	1961_17, 1962_19, 3895_19, 3896_17	 
Aeromonas veronii B565 (998088.4)	 	 	 	1967_16, 1968_15, 1969_14, 1970_13	2541_19, 2542_17, 608_17, 609_19	 
Succinatimonas hippei YIT 12066 (762983.3)	 	 	 	 	1528_19, 1529_17	 
Cedecea davisae DSM 4568 (566551.4)	775_4, 776_3, 777_2, 778	 	 	 	1896, 1897, 998, 999	 
Citrobacter freundii GTC 09629 (1297584.3)	1944_3, 2928_1, 3689_2, 889_4, 890_3, 891_2, 892_1	 	 	 	1189_17, 1190_19, 502_17, 503_19	 
Citrobacter freundii 4_7_47CFAA (742730.3)	2554_4, 2555_3, 2556_2, 2557_1	 	 	 	2418_19, 2419_17, 2871_17, 2872_19	 
Citrobacter freundii GTC 09479 (1288347.3)	4228_1, 4229_2, 4230_3, 4231_4	 	 	 	362_17, 363_19, 3927_19, 3928_17, 4362_17, 4363_19	 
Citrobacter freundii str. ballerup 7851/39 (670484.3)	187_4, 188_3, 189_2, 190_1	 	 	 	1390_17, 1391_19, 496_17, 497_19	 
Citrobacter koseri ATCC BAA-895 (290338.8)	2281, 2282, 2283_3, 2284_4	 	 	 	1038, 1039, 2009, 2010	 
Citrobacter sp. 30_2 (469595.3)	1081_4, 1082_3, 1083_2, 1084_1	 	 	 	1390_17, 1391_19, 2267_17, 2268_19, 82_19, 83_17	 
Citrobacter youngae ATCC 29220 (500640.5)	2960_4, 2961_3, 2962_2, 2963_1	 	 	 	1475_19, 1476_17, 1653_17, 1654_19, 2645_19, 2646_17, 3239_17, 3240_19	 
Cronobacter sakazakii 2151 (1159489.3)	1422_4, 1423_3, 1424, 1425_1	 	 	 	1659, 1660_19, 2300_19, 2301_17	 
Cronobacter sakazakii ES15 (1138308.5)	2950, 2951, 2952_3, 2953_4	 	 	 	2078_17, 2079_19, 2686_19, 2687	 
Cronobacter sakazakii ES35 (1159614.3)	1344_4, 1345_3, 1346, 1347_1	 	 	 	1598, 1599_19, 2179_19, 2180_17	 
Cronobacter sakazakii ES713 (1045857.3)	2796_4, 2797_3, 2798, 2799_1	 	 	 	3045, 3046_19, 3700_19, 3701_17	 
Cronobacter sakazakii SP291 (956149.6)	2704_1, 2705, 2706_3, 2707_4	 	 	 	1818_17, 1819_19, 2446_19, 2447	 
Edwardsiella tarda 080813 (667120.5)	 	 	 	 	1179_17, 1180_19, 835_17, 836_19	 
Edwardsiella tarda ATCC 23685 (500638.3)	 	 	 	 	1737_19, 1738_17, 508_19, 509_17	 
Edwardsiella tarda EIB202 (498217.4)	 	 	 	 	2372, 2373, 2767, 2768	 
Edwardsiella tarda FL6-60 (718251.5)	 	 	 	 	2406, 2407, 2825, 2826	 
Enterobacter aerogenes EA1509E (935296.3)	2729, 2730_2, 2731_2, 2732_3	 	 	 	1177_19, 1178_17, 1276_19, 1277, 2434, 2435	 
Enterobacter aerogenes FGI35 (685445.4)	3902, 3903, 3904_3, 3905_4	 	 	 	2339_19, 2340_17, 2437_19, 2438, 3605, 3606	 
Enterobacter aerogenes KCTC 2190 (1028307.3)	2537_4, 2538_3, 2539, 2540	 	 	 	2837, 2838, 3928, 3929, 4026, 4027	 
Enterobacter cancerogenus ATCC 35316 (500639.8)	2898_4, 2899_3, 2900_2, 2901_1	 	 	 	1286_19, 1287_17, 1451_17, 1452_19, 2251_17, 2252_19	 
Enterobacter asburiae LF7a (640513.3)	1092_4, 1093_3, 1094_2, 1095_1	 	 	 	1380_17, 1381_19, 2472_17, 2473_19	 
Enterobacter cloacae EcWSU1 (1045856.3)	920_4, 921_3, 922_2, 923_1	 	 	 	1241_17, 1242_19, 2061_19, 2062_17	 
Enterobacter cloacae SCF1 (701347.4)	3434_1, 3435_2, 3436_3, 3437_4	 	 	 	2431_17, 2432_19, 3140_19, 3141_17, 3142_17	 
Enterobacter cloacae subsp. cloacae 08XA1 (1203195.3)	1481_4, 1482_3, 1483_2, 1484_1	 	 	 	1048_17, 1049_19, 4504_19, 4505_17	 
Enterobacter cloacae subsp. cloacae ATCC 13047 (716541.4)	1438_4, 1439_3, 1440_2, 1441_1	 	 	 	2047_19, 2048_17, 2245_17, 2246_19, 3168_19, 3169_17	 
Enterobacter cloacae subsp. cloacae ENHKU01 (1211025.3)	1029_4, 1030_3, 1031_2, 1032_1	 	 	 	1336_17, 1337_19	 
Enterobacter cloacae subsp. cloacae GS1 (1177927.3)	1921_1, 1922_2, 1923_2, 1924_2, 1925_3, 1926_4	 	 	 	1566_19, 1567_17, 4256_17, 4257_19	 
Enterobacter cloacae subsp. dissolvens SDM (1104326.3)	1038_4, 1039_3, 1040_2, 4435_1	 	 	 	644_17, 645_19	 
Enterobacter cloacae subsp. dissolvens SP1 (1235834.3)	3319_4, 3320_3, 3321_2, 3322_1	 	 	 	264_17, 265_19	 
Enterobacter hormaechei YT2 (1259823.3)	1936_1, 1937_2, 1938_3, 1939_4	 	 	 	1465_19, 1466_17, 210_19, 211_17, 4239_19, 4240_17	 
Enterobacter hormaechei YT3 (1260282.3)	248_1, 249_2, 250_3, 251_4	 	 	 	2199_19, 2200_17, 3851_19, 3852_17, 4358_19, 4359_17	 
Enterobacter hormaechei ATCC 49162 (888063.3)	1391_1, 1392_2, 1393_3, 1394_4	 	 	 	1079_19, 1080_17, 3570_17, 3571_19	 
Escherichia albertii TW07627 (502347.3)	2913_1, 2914_2, 2915_3, 2916_4	 	 	 	1891_17, 1892_19, 203_19, 204_17	 
Escherichia albertii TW11588 (754333.3)	2015_4, 2016_3, 2017_2, 2018_1	 	 	 	1181_19, 1182_17, 148_19, 149_19, 150_17	 
Escherichia coli 1125A (562.373)	3313_1, 3314_2, 3315_3, 3316_4	 	 	 	2983_19, 2984_19, 2985_19, 2986_17, 777_19, 778_17, 779_17	 
Escherichia coli 1212A (562.372)	1411_4, 1412_3, 1413_2, 1414_1	 	 	 	1739_17, 1740_19, 4572_19, 4573_17, 4574_17	 
Escherichia coli 536A (562.374)	5562_1, 5563_2, 5564_3, 5565_4	 	 	 	1435_17, 1436_17, 1437_19, 5236_19, 5237_17	 
Escherichia coli IMT2125 (562.1188)	443_4, 444_3, 445_2, 446_1	 	 	 	1071_17, 1072_19, 737_17, 738_19	 
Escherichia coli EC4100B (945434.3)	910_4, 911_3, 912_2, 913_1, 914_1	 	 	 	2496_17, 2497_19, 4527_19, 4528_17	 
Escherichia coli 0.1288 (1005442.3)	432_4, 433_3, 434_2, 435_1	 	 	 	742_17, 743_19, 936_17, 937_19	 
Escherichia coli 0.1304 (1005441.3)	622_4, 623_3, 624_2, 625_1	 	 	 	1284_17, 1285_19, 931_17, 932_19	 
Escherichia coli 042 (216592.3)	490_4, 491_3, 492_2, 493_1	 	 	 	1097_17, 1098_19, 792_17, 793_19	 
Escherichia coli 07798 (1005566.3)	541_4, 542_3, 543_2, 544_1	 	 	 	1261_17, 1262_19, 828_17, 829_19	 
Escherichia coli 09BKT078844 (1081887.3)	648_4, 649_3, 650_2, 651_1	 	 	 	1314_17, 1315_19, 954_17, 955_19	 
Escherichia coli 1.2264 (869675.4)	753_1, 754_2, 755_3, 756_4	 	 	 	4333_19, 4334_17, 471_19, 472_17	 
Escherichia coli 1.2741 (869669.4)	1596_4, 1597_3, 1598_2, 1599_1	 	 	 	333_17, 334_19, 4912_17, 4913_19	 
