Organism	BioW	BioC	BioGH	BioF	BioA	BioD	BioB	BioI	BioYNM	YigM
Clostridium sp. SS2/1 (411484.7)	 	 	 	 	 	 	781	 	787_16	 
Clostridium sp. SY8519 (1042156.4)	 	 	 	 	337	 	369	 	904_16	 
Clostridium sporogenes ATCC 15579 (471871.7)	 	 	 	 	 	1307	1306	 	 	 
Clostridium sporogenes PA 3679 (1075091.3)	 	 	 	 	 	3798	3799	 	1802_16, 3800_16	 
Clostridium sporosphaeroides DSM 1294 (1121334.3)	 	 	 	 	2590	2591	1644	 	186_16, 2592_16, 351_16	 
Clostridium sticklandii DSM 519 (499177.3)	 	 	 	 	 	 	 	 	 	 
Clostridium symbiosum WAL-14163 (742740.3)	 	 	 	 	2750	2751	2811	 	1289_16, 2752_16, 2810_16	 
Clostridium symbiosum WAL-14673 (742741.3)	 	 	 	 	3407	3408	4562	 	2187_16, 3409_16, 4563_16	 
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 (1121342.4)	 	 	 	 	1448, 74	75	1279	 	1813_16, 76_16	 
Clostridium tyrobutyricum UC7086 (1212547.3)	 	 	 	 	1958, 626	1957	2205	 	1956_16, 2196_16	 
Anaerococcus prevotii ACS-065-V-Col13 (879305.3)	 	 	 	 	 	 	 	 	 	 
Anaerococcus prevotii DSM 20548 (525919.6)	 	 	 	 	 	 	 	 	 	 
Anaerococcus vaginalis ATCC 51170 (655811.4)	 	 	 	 	 	 	 	 	 	 
Finegoldia magna ACS-171-V-Col3 (768713.4)	 	 	 	 	 	 	 	 	217_16	 
Finegoldia magna ATCC 29328 (334413.6)	 	 	 	 	 	 	 	 	 	 
Finegoldia magna ATCC 53516 (525282.5)	 	 	 	 	 	 	 	 	1683_16	 
Finegoldia magna BVS033A4 (866773.4)	 	 	 	 	 	 	 	 	1045_16	 
Finegoldia magna SY403409CC001050417 (866779.4)	 	 	 	 	 	 	 	 	579_16	 
Parvimonas micra ATCC 33270 (411465.10)	 	 	 	 	 	 	 	 	809_16	 
Peptoniphilus harei ACS-146-V-Sch2b (908338.3)	 	 	 	 	26	27	1638	 	1587_16, 28_16	 
Peptoniphilus indolicus ATCC 29427 (997350.3)	996	 	 	997	613	612	1814	 	1379_16, 611_16	 
Peptoniphilus lacrimalis 315-B (596330.3)	 	 	 	 	706	707	1139	 	708_16, 755_16	 
Peptoniphilus lacrimalis DSM 7455 (1122949.3)	 	 	 	 	1330	1329	519	 	1282_16, 1328_16	 
Peptoniphilus timonensis JC401 (1095770.3)	 	 	 	 	 	 	1178	 	166_16	 
Anaerofustis stercorihominis DSM 17244 (445971.6)	 	 	 	 	 	1470	1471	 	 	 
Eubacterium cellulosolvens 6 (633697.3)	 	 	 	 	1518	 	1165	 	545_16	 
Eubacterium eligens ATCC 27750 (515620.4)	 	 	 	 	 	 	2326	 	 	 
Eubacterium hallii DSM 3353 (411469.3)	 	 	 	 	 	 	2503	 	1799_16	 
Eubacterium limosum KIST612 (903814.3)	 	 	 	 	 	2089	2090	 	 	 
Eubacterium rectale ATCC 33656 (515619.6)	 	 	 	 	 	 	770	 	 	 
Eubacterium rectale DSM 17629 (657318.4)	 	 	 	 	 	 	1779	 	 	 
Eubacterium rectale M104/1 (657317.3)	 	 	 	 	 	 	2837	 	2851_16	 
Eubacterium saphenum ATCC 49989 (592031.3)	 	 	 	 	 	 	12	 	 	 
Eubacterium siraeum 70/3 (657319.3)	 	 	 	 	388	 	 	 	657_16	 
Eubacterium siraeum DSM 15702 (428128.7)	 	 	 	 	1569	 	 	 	1044_16	 
Eubacterium siraeum V10Sc8a (717961.3)	 	 	 	 	214	 	 	 	 	 
Eubacterium ventriosum ATCC 27560 (411463.4)	 	 	 	 	 	 	 	 	2267_16	 
Pseudoramibacter alactolyticus ATCC 23263 (887929.3)	 	 	 	 	1363, 1364, 1365	1366	1367, 1437	 	1368_16, 1438_16	 
Anaerostipes caccae DSM 14662 (411490.6)	 	 	 	 	 	 	3379	 	 	 
Anaerostipes hadrus DSM 3319 (649757.3)	 	 	 	 	 	 	1082	 	1941_16	 
Anaerostipes sp. 3_2_56FAA (665937.3)	 	 	 	 	 	 	2271	 	2272_16	 
Blautia producta ATCC 27340 (1121114.4)	 	 	 	 	 	 	1250	 	2907_16	 
Bryantella formatexigens DSM 14469 (478749.5)	 	 	 	 	 	 	 	 	 	 
Butyrivibrio crossotus DSM 2876 (511680.4)	 	 	 	 	 	 	249	 	 	 
Butyrivibrio fibrisolvens 16/4 (657324.3)	 	 	 	 	 	 	3068	 	3069_16, 895_16, 996_16	 
Coprococcus catus GD/7 (717962.3)	 	 	 	 	 	 	 	 	3110_16	 
Coprococcus comes ATCC 27758 (470146.3)	 	 	 	 	 	 	1328	 	 	 
Coprococcus eutactus ATCC 27759 (411474.6)	 	 	 	 	 	 	803	 	1848_16	 
Dorea formicigenerans ATCC 27755 (411461.4)	 	 	 	 	 	 	2776	 	 	 
Dorea longicatena DSM 13814 (411462.6)	 	 	 	 	 	772	34	 	2579_16, 773_16	 
Oribacterium sinus F0268 (585501.3)	 	 	 	 	 	 	 	 	1636_16	 
Roseburia hominis A2-183 (585394.18)	 	 	 	 	 	 	 	 	1330_16	 
Roseburia intestinalis L1-82 (536231.5)	 	 	 	 	1799	1800	1801, 1802	 	1803_16, 745_16	 
Roseburia intestinalis XB6B4 (718255.3)	 	 	 	 	35	34	33	 	 	 
Roseburia inulinivorans DSM 16841 (622312.4)	 	 	 	 	 	 	3304	 	229_16	 
Lachnospiraceae bacterium 5_1_63FAA (658089.3)	 	 	 	 	707	 	566	 	949_16	 
Lachnospiraceae bacterium 8_1_57FAA (665951.3)	 	 	 	 	 	 	 	 	2296_16	 
Filifactor alocis ATCC 35896 (546269.5)	 	 	 	 	718	 	1354	 	 	 
Peptostreptococcus anaerobius 653-L (596329.3)	 	 	 	 	 	 	1100	 	263_16	 
Peptostreptococcus anaerobius DSM 2949 (1122950.3)	 	 	 	 	 	 	1061	 	567_16	 
Peptostreptococcus stomatis DSM 17678 (596315.3)	 	 	 	 	 	 	1627	 	1540_16	 
Clostridium difficile 002-P50-2011 (997827.4)	 	 	 	 	 	 	62	 	2363_16, 2954_16	 
Clostridium difficile 050-P50-2011 (997828.4)	 	 	 	 	 	 	1662	 	1478_16, 475_16	 
Clostridium difficile 70-100-2010 (1002369.4)	 	 	 	 	 	 	1123	 	 	 
Clostridium difficile ATCC 9689 (1121308.3)	 	 	 	 	 	 	1296	 	 	 
Clostridium difficile CD37 (1125976.4)	 	 	 	 	 	 	2193	 	 	 
Clostridium glycolicum ATCC 14880 (1121315.3)	 	 	 	 	 	2662	2661	 	1981_16, 2660_16	 
Anaerotruncus colihominis DSM 17241 (445972.6)	 	 	 	 	 	 	 	 	 	 
Faecalibacterium cf. prausnitzii KLE1255 (748224.3)	 	 	 	 	 	 	 	 	2208_16	 
Faecalibacterium prausnitzii A2-165 (411483.3)	 	 	 	 	 	 	 	 	 	 
Faecalibacterium prausnitzii L2-6 (718252.3)	 	 	 	 	 	 	 	 	289_16	 
Faecalibacterium prausnitzii M21/2 (411485.10)	 	 	 	 	 	 	 	 	189_16	 
Faecalibacterium prausnitzii SL3/3 (657322.3)	 	 	 	 	 	 	 	 	1537_16	 
Ruminococcus albus 7 (697329.10)	 	 	 	 	2439	2440	2441	 	2442_16, 378_16	 
Ruminococcus albus 8 (246199.4)	 	 	 	 	2089	2088	2087	 	130_16, 2086_16	 
Ruminococcus bromii L2-63 (657321.5)	 	 	 	 	 	 	 	 	 	 
Ruminococcus flavefaciens FD-1 (641112.4)	 	 	 	 	2819	2820	2821	 	2822_16, 667_16	 
Ruminococcus gnavus ATCC 29149 (411470.6)	 	 	 	 	 	 	585	 	1347_16	 
Ruminococcus lactaris ATCC 29176 (471875.6)	 	 	 	 	 	 	623	 	320_16	 
Ruminococcus obeum A2-162 (657314.3)	 	 	 	 	 	 	1818	 	 	 
Ruminococcus sp. 18P13 (213810.4)	 	 	 	 	154	 	 	 	426_16	 
Ruminococcus sp. 5_1_39BFAA (457412.4)	 	 	 	 	3401	3402	3403	 	2247_16, 3404_16	 
Ruminococcus sp. SR1/5 (657323.3)	 	 	 	 	 	 	3435	 	1286_16, 3436_16	 
Ruminococcus torques ATCC 27756 (411460.6)	 	 	 	 	 	 	 	 	1084_16	 
Ruminococcus torques L2-14 (657313.3)	140	 	 	 	139	138	2920	 	 	 
Ruminococcaceae bacterium D16 (552398.3)	1825	 	 	1826	1828	1827	476	 	1741_16	 
Acidaminococcus fermentans DSM 20731 (591001.3)	 	 	 	 	60	59	1520	 	 	 
Acidaminococcus sp. D21 (563191.3)	 	 	 	556	1332	1331	1833	 	1127_16	 
Dialister invisus DSM 15470 (592028.3)	1695	 	 	1696	1859	 	1008	 	 	 
Mitsuokella multacida DSM 20544 (500635.8)	 	 	 	 	 	 	1591	 	 	 
Veillonella atypica ACS-049-V-Sch6 (866776.4)	1146	 	 	1145	700	701	8	 	74_16, 781_16	 
Veillonella atypica ACS-134-V-Col7a (866778.4)	613	 	 	612	1570	1571	350	 	1171_16, 252_16	 
Veillonella dispar ATCC 17748 (546273.3)	65	 	 	66	1653	1652	1631	 	1688_16, 436_16	 
Veillonella parvula ATCC 17745 (686660.3)	1529	 	 	1528	558	559	580	 	 	 
Veillonella parvula DSM 2008 (479436.6)	982	 	 	981	227	226	205	 	 	 
Veillonella sp. 3_1_44 (457416.3)	391	 	 	390	1453	1452	1431	 	1494_16	 
Veillonella sp. 6_1_27 (450749.3)	385	 	 	384	1569	1570	1591	 	1534_16	 
Blautia hansenii DSM 20583 (537007.6)	 	 	 	 	 	 	 	 	1566_16	 
Blautia hydrogenotrophica DSM 10507 (476272.5)	 	 	 	 	 	 	 	 	2810_16	 
Flavonifractor plautii ATCC 29863 (411475.3)	 	 	 	 	 	 	 	 	2809_16	 
Clostridiales bacterium 1_7_47FAA (457421.5)	 	 	 	 	 	 	 	 	2031_16, 5675_16	 
Bulleidia extructa W1219 (679192.3)	 	 	 	 	 	 	 	 	 	 
Catenibacterium mitsuokai DSM 15897 (451640.5)	 	 	 	 	 	 	 	 	7_16	 
Coprobacillus sp. 29_1 (469596.3)	 	 	 	 	 	 	 	 	 	 
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	 	 	 	 	 	 	 	 	1161_16	 
Holdemania filiformis DSM 12042 (545696.5)	 	 	 	 	 	 	 	 	 	 
Solobacterium moorei F0204 (706433.3)	 	 	 	 	 	 	 	 	 	 
Clostridium ramosum DSM 1402 (445974.6)	 	 	 	 	 	2932	2931	 	2529_16, 2930_16	 
Clostridium spiroforme DSM 1552 (428126.7)	 	 	 	 	 	900	901	 	324_16, 912_16	 
Eubacterium biforme DSM 3989 (518637.5)	 	 	 	 	 	 	 	 	 	 
Eubacterium cylindroides T2-87 (717960.3)	 	 	 	 	 	 	 	 	 	 
Eubacterium dolichum DSM 3991 (428127.7)	 	 	 	 	 	 	 	 	 	 
Clostridium innocuum 2959 (999413.4)	 	 	 	 	 	 	 	 	2497_16	 
Acidaminococcus intestini RyC-MR95 (568816.4)	 	 	 	2355	143	142	1495	 	141_16, 429_16	 
Phascolarctobacterium sp. YIT 12067 (626939.3)	1336	 	 	 	1338	1339	1215, 148	 	1221_16, 1659_16	 
Dialister succinatiphilus YIT 11850 (742743.3)	1029	 	 	1030	1864	1863	1242, 1243, 1244	 	1862_16, 837_16, 930_16	 
Megamonas funiformis YIT 11815 (742816.3)	147	 	 	146	1106	1105	1426	 	1104_16, 391_16	 
Megamonas hypermegale ART12/1 (657316.3)	2355	2349_3, 2350_3	2352_8	2353	1380	1379	1890, 1891	 	1378_16, 1627_16, 2562_16	 
Megasphaera elsdenii (907.4)	 	 	 	 	946	 	164	 	 	 
Veillonella parvula ACS-068-V-Sch12 (768727.3)	490	 	 	489	872	873	897	 	 	 
Veillonella ratti ACS-216-V-Col6b (883156.3)	1269	 	 	1268	579	578	1275	 	1042_16, 98_16	 
Fusobacterium gonidiaformans ATCC 25563 (469615.3)	 	677_2	678_7	679	290	289	288	 	 	 
Fusobacterium mortiferum ATCC 9817 (469616.3)	 	1079_2	1078_7	1077	1076	1075	1074	 	 	 
Fusobacterium nucleatum subsp. nucleatum ATCC 23726 (525283.3)	 	1303_2	1304_7	1305	78	77	76	 	1247_16, 1250_17	 
Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (190304.8)	 	1412_2	1411_7	1410	1567	1566	1565	 	 	 
Fusobacterium nucleatum subsp. polymorphum ATCC 10953 (393480.8)	 	1155_2	1154_7	1153	465	466	467	 	1878_16, 1879_18, 1880_18	 
Fusobacterium periodonticum ATCC 33693 (546275.3)	 	2407_2	2408_7	2409	2012	2013	2014	 	738_16, 740_16, 741_18, 742_18, 743_17	 
Fusobacterium sp. 3_1_33 (469603.3)	 	957_2	958_8	959	13, 14	12	11	 	 	 
Fusobacterium sp. 7_1 (457405.3)	 	384_2	385_8	386	204	205	206	 	 	 
Fusobacterium sp. D11 (556264.3)	 	 	921_7	922	794	795	796	 	 	 
Fusobacterium ulcerans ATCC 49185 (469617.3)	 	178_2	179_7	180	1507	1506	1505	 	 	 
Fusobacterium varium ATCC 27725 (469618.3)	 	2016_2	2017_7	2018	1314	 	1312	 	 	 
Leptotrichia buccalis C-1013-b (523794.5)	 	 	 	 	 	 	1472	 	 	 
Fusobacterium gonidiaformans 3-1-5R (469605.7)	 	1181_2	1182_7	1183	753	754	755	 	 	 
Fusobacterium necrophorum subsp. funduliforme ATCC 51357 (1095747.3)	 	1969_2	1970_7	1971	1962	1961	1960	 	 	 
Fusobacterium necrophorum subsp. funduliforme Fnf 1007 (1161424.3)	 	1379_2	1380_7	1381	1372	1371	1370	 	 	 
Fusobacterium nucleatum subsp. animalis 11_3_2 (457403.8)	 	533_2	532_7	531	663	662	661	 	 	 
Fusobacterium nucleatum subsp. animalis 21_1A (469601.8)	 	1001_2	1000_7	999	1112	1111	1110	 	 	 
Fusobacterium nucleatum subsp. animalis 4_8 (469607.3)	 	1137_2	1138_7	1139	1012	1013	1014	 	 	 
Fusobacterium nucleatum subsp. animalis 7_1 (457405.10)	 	906_2	907_7	908	799	800	801	 	 	 
Fusobacterium nucleatum subsp. animalis OT 420 (999414.3)	 	429_2	428_7	427	538	537	536	 	 	 
Fusobacterium nucleatum subsp. polymorphum F0401 (693991.3)	 	1332_2	1333_7	1334	1184	1185	1186	 	2264_16, 2265_18, 2266_18	 
Fusobacterium nucleatum subsp. vincentii 3_1_36A2 (469604.7)	 	324_2	323_7	322	469	468	467	 	2114_16, 2115_18, 2116_18	 
Fusobacterium nucleatum subsp. vincentii 4_1_13 (469606.8)	 	371_2	370_7	369	511	510	509	 	1534_16, 1535_18, 1536_18	 
Fusobacterium periodonticum 1_1_41FAA (469621.8)	 	655_2	656_7	657	398	397	396	 	1633_16, 1634_18, 1635_18, 1636_17	 
Fusobacterium periodonticum 2_1_31 (469599.8)	 	652_2	651_7	650	835	836	837	 	1529_17, 1530_18, 1531_18, 1532_16	 
Fusobacterium russii ATCC 25533 (1278306.3)	 	199_3	200_8	201	1378	1377	1376	 	 	 
Fusobacterium ulcerans 12-1B (457404.5)	 	616_2	617_7	618	2204	2203	2202	 	 	 
Schlesneria paludicola DSM 18645 (1123242.3)	 	 	 	4493, 7200	4312	773	779	 	 	 
Brevundimonas diminuta 470-4 (1035191.3)	 	 	2265_6	 	 	 	1651	 	 	 
Bartonella quintana RM-11 (1225179.3)	 	 	 	 	 	 	 	 	343_18, 344_17, 345_16	 
Bartonella quintana str. Toulouse (283165.4)	 	 	 	 	 	 	 	 	312_18	 
Afipia birgiae 34632 (1197906.5)	 	 	 	739	741	740	76	2107_14, 708_14, 709_14	 	 
Bradyrhizobium elkanii USDA 76 (398525.3)	 	 	 	1274, 3476	1272, 3656	1273, 3233	1275	1301_14, 3125_14, 3196_14, 3867_14, 3991_14, 7482_14, 7953_14, 7954_14, 807_14	 	 
Bradyrhizobium japonicum USDA 110 (224911.5)	 	 	 	2031	1713, 2033, 4145	2032	2029	2066_14, 6689_14, 7435_14, 7436_14	4325_16	 
Bradyrhizobium japonicum USDA 124 (1038862.3)	 	 	 	7898	3840, 4652, 7151, 7897, 8518	 	7900	125_14, 2274_14, 2275_14, 3845_14, 3897_14, 5733_14, 5734_14, 711_14, 8095_14	7964_16	 
Bradyrhizobium japonicum USDA 6 (1037409.3)	 	 	 	7822	5702, 6912, 7820, 8113	7821	6645, 7824	2157_14, 2158_14, 2925_14, 6064_14, 6969_14, 7781_14	5538_16	 
Bradyrhizobium japonicum WSM2793 (1038866.3)	 	 	 	1235, 1236, 1895, 197	1238, 195, 4061, 571, 7953	1237, 196, 2588	1230, 1231, 157, 158, 198	1201_14, 2178_14, 2270_14, 3839_14, 4533_14, 4534_14, 7213_14, 7898_14, 7948_14	5817_16	 
Ochrobactrum anthropi ATCC 49188 (439375.7)	 	 	 	2964	2962	2963	2965	 	 	 
Ochrobactrum anthropi CTS-325 (1151114.3)	 	 	 	3415	3413, 3449	3414	3416	 	1006_16, 4069_16	 
Methylobacterium mesophilicum SR1.6/6 (908290.3)	 	 	 	4667, 5774	4668	4174	1934	1141_14, 4620_14, 5290_14	 	 
Methylobacterium populi BJ001 (441620.7)	 	 	 	1879, 816	810	2344	4505	4499_14, 5447_14	 	 
Methylobacterium radiotolerans JCM 2831 (426355.14)	 	 	 	902	901	 	5138	 	 	 
Mesorhizobium loti MAFF303099 (266835.9)	 	 	 	4637, 4780, 6924	1316, 4635, 4778, 6922, 83	6923	4638, 4781, 6925	5045_14	5932_16, 6032_16	 
Mesorhizobium loti NZP2037 (935546.3)	 	 	 	6631, 7102	1426, 3706, 6629, 7104	6630, 7103	6632, 7101	1281_14, 60_14, 6855_14, 7085_14	523_16, 612_16	 
Agrobacterium tumefaciens str. Cherry 2E-2-2 (1281779.3)	 	 	 	2677	2679, 4907	2678	2676	2150_14	1724_16, 1725_17, 1726_18	 
Agrobacterium tumefaciens CCNWGS0286 (1082932.3)	 	 	 	3892	3064, 3894	3893	3891	213_14	610_18, 611_17, 612_16	 
Agrobacterium tumefaciens str. C58 (176299.10)	 	 	2074_5	3817	3819	3818	3816	 	746_16	 
Achromobacter xylosoxidans AXX-A (1003200.3)	 	1661_3, 464_3	 	463	3941, 462	464_3	828	5017_14	3403_18, 3404_17, 3405_16	 
Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	 	1619_3	 	1939, 3177	1940, 2755	1941	2463	1938_14	 	 
Burkholderia cenocepacia AU 1054 (331271.8)	 	2334_2	 	2427, 313	2426, 3722, 5163, 6675, 6707	2428	2429	 	 	 
Burkholderia cenocepacia H111 (1055524.3)	 	7158_2	 	1840, 4986	1839, 4053, 5993, 6288	1841	1842	37_14	 	 
Burkholderia cenocepacia HI2424 (331272.8)	 	2913_2	 	3007, 786	3006, 3272, 4916, 6865, 6896	3008	3009	 	 	 
Burkholderia cenocepacia J2315 (216591.5)	 	782_2	 	3343, 697	5739, 698, 7090	696	695	6407_14	 	 
Burkholderia cenocepacia MC0-3 (406425.4)	 	2969_2	 	3060, 777	3059, 3596, 5601, 6802	3061	3062	4227_14	 	 
Burkholderia cepacia R18194 (269483.3)	 	7659_2	 	7095	7094, 855	7096	7097	 	 	 
Burkholderia cepacia GG4 (1009846.3)	 	624_2	 	2856, 531	3831, 532	529	528	 	 	 
Cupriavidus metallidurans CH34 (266264.4)	 	664_2	 	520	519	521	522	 	 	 
Lautropia mirabilis ATCC 51599 (887898.3)	 	1485_2	 	 	 	 	2325	 	 	 
Ralstonia sp. 5_7_47FAA (658664.3)	 	1555_3	 	3508	3509	3507	1657	 	 	 
Comamonas testosteroni CNB-2 (688245.4)	 	4165_2	 	293	291	292	290	4742_14	2225_16, 2226_17, 2227_18	 
Comamonas testosteroni NBRC 100989 (1111078.3)	 	 	 	3439, 85	3437	 	3436	 	 	 
Comamonas testosteroni S44 (563045.3)	 	4892_3, 4893_3	 	4648	2564, 4650	4649	4651	3627_14	4418_18, 4419_17, 4420_16	 
Delftia acidovorans CCUG 15835 (883100.3)	 	4706_2	 	5311	5313	5312	4141	5998_14	3942_18, 3943_17, 3944_16	 
Delftia acidovorans CCUG 274B (883101.3)	 	5652_2	 	4466	4464	4465	1169	6076_14	3584_18, 3585_17, 3586_16	 
Delftia acidovorans SPH-1 (398578.5)	 	1710_2	 	1851	1853	1852	3808	 	4623_18	 
Oxalobacter formigenes HOxBLS (556268.6)	 	230_2, 2561_2	229_4	228	2002	2003	2004	 	 	 
Oxalobacter formigenes OXCC13 (556269.4)	 	1222_2, 2359_2	2358_4	2357	751	752	753	 	 	 
Parasutterella excrementihominis YIT 11859 (762966.3)	 	 	 	 	 	 	 	 	1095_16	 
Sutterella wadsworthensis 2_1_59BFAA (742823.3)	 	 	 	 	 	 	1009	 	 	 
Sutterella wadsworthensis 3_1_45B (742821.3)	 	 	 	 	 	 	2436	 	 	 
Sutterella wadsworthensis HGA0223 (1203554.3)	 	 	 	 	 	 	1453	 	 	 
Burkholderiales bacterium 1_1_47 (469610.4)	 	 	 	 	 	 	 	 	899_16	 
Eikenella corrodens ATCC 23834 (546274.4)	 	888_2	889_4	 	1142	1141	1974	 	 	 
Kingella oralis ATCC 51147 (629741.3)	 	1051_2	 	 	 	 	2194	 	 	 
Laribacter hongkongensis HLHK9 (557598.3)	 	2845_2	2846_4	99	2773	 	100	 	 	 
Neisseria cinerea ATCC 14685 (546262.4)	 	1203_2	1204_4	 	469	1960, 468	433	 	 	 
Neisseria elongata subsp. glycolytica ATCC 29315 (546263.3)	 	2623_2, 534_3	1448_4	 	251	252	851	 	 	 
Neisseria flavescens NRL30031/H210 (546264.5)	 	2052_2, 2053_2, 676_2	2051_4, 675_7	674	1097, 672, 673	1096	1308	 	 	 
Neisseria flavescens SK114 (596320.3)	 	1926_2	1932_4	 	1162	1163, 1164	1351	 	 	 
Neisseria macacae ATCC 33926 (997348.4)	 	2257_3	2258_5	 	595	596	1763	 	 	 
Neisseria mucosa ATCC 25996 (546266.6)	 	798_2	799_4	 	586	585	1101	 	 	 
Neisseria mucosa C102 (435832.3)	 	1202_2	1203_4	 	1058	1057	575	 	 	 
Neisseria subflava NJ9703 (546268.4)	 	430_2	429_4	 	1254	1255	1090	 	 	 
Methyloversatilis universalis EHg5 (999628.3)	 	3365_2, 615_2	614_7	613	612	616	3366	2328_14	 	 
Methyloversatilis universalis FAM5 (1000565.3)	 	2747_2	2088_7	2087	2086	2090	2748	1545_14	 	 
Aeromonas caviae Ae398 (878320.4)	 	1872_2	307_4	1871	1868	1873	1870	 	 	88
Aeromonas hydrophila 113 (1268075.3)	 	3369_2	3478_4	3368	3366	3370	3367	 	 	3894
Aeromonas hydrophila 14 (1268074.3)	 	3890_2	2222_4	3889	3887	3891	3888	 	 	728
Aeromonas hydrophila 173 (1268076.3)	 	1990_2	464_4	1991	1993	1989	1992	 	 	3226
Aeromonas hydrophila 187 (1268077.3)	 	3744_2	3537_4	3743	3741	3745	3742	 	 	3882
Aeromonas hydrophila 259 (1268079.3)	 	4132_2	2842_4	4133	4135	4131	4134	 	 	2372
Aeromonas hydrophila 277 (1268080.3)	 	617_2	4252_4	616	614	618	615	 	 	2885
Aeromonas hydrophila ML09-119 (1288394.3)	 	1669_2	303_4	1668	1665	1670	1667	 	 	40
Aeromonas hydrophila SNUFPC-A8 (1232673.3)	 	2813_2	3609_4	2812	2809	2814	2811	 	 	3482
Aeromonas hydrophila SSU (1073377.4)	 	588_2	3860_4	587	585	589	586	 	 	3560
Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.7)	 	1502_2	287_4	1501	1498	1503	1500	 	 	40
Aeromonas media WS (1208104.3)	 	890_3	2070_6	891	894	889	892	 	 	1186
Aeromonas veronii AER39 (1073382.3)	 	2429_2	3866_4	2430	2432	2428	2431	 	 	3119
Aeromonas veronii AER397 (1073384.3)	 	1018_2	3529_4	1017	1015	1019	1016	 	 	3669
Aeromonas veronii AMC34 (1073383.3)	 	2220_2	1083_4	2219	2217	2221	2218	 	 	825
Aeromonas veronii AMC35 (1073385.3)	 	1786_2	274_4	1785	1783	1787	1784	 	 	417
Aeromonas veronii B565 (998088.4)	 	2718_2	174_4	2719	2721	2717	2720	 	 	34
Succinatimonas hippei YIT 12066 (762983.3)	 	325_3	1071_5	323	321	326	322	 	 	 
Cedecea davisae DSM 4568 (566551.4)	 	1032_2	3995_4	1031	1029	1033, 1826	1030	 	 	 
Citrobacter freundii GTC 09629 (1297584.3)	 	4114_2	1327_4	4113	4111	2668, 4115	4112	 	 	 
Citrobacter freundii 4_7_47CFAA (742730.3)	 	2915_2	1181_4	2914	2912	2916, 3626	2913	 	 	 
Citrobacter freundii GTC 09479 (1288347.3)	 	2263_2	4599_4	2262	2260	218, 2264	2261	 	 	 
Citrobacter freundii str. ballerup 7851/39 (670484.3)	 	551_2	3920_4	550	548	1262, 552	549	 	 	 
Citrobacter koseri ATCC BAA-895 (290338.8)	 	1962_2	4036_4	1963	1965	1343, 1961	1964	 	 	 
Citrobacter sp. 30_2 (469595.3)	 	1429_2, 579_2	3638_4	1428	1426	1430, 2122	1427	 	 	 
Citrobacter youngae ATCC 29220 (500640.5)	 	3282_2	363_4	3281	3279	1514, 3283	3280	 	 	 
Cronobacter sakazakii 2151 (1159489.3)	 	1694_2	208_4	1693	1691	1695, 2461	1692	 	 	 
Cronobacter sakazakii ES15 (1138308.5)	 	2652_2	258_4	2653	2655	1907, 2651	2654	 	 	 
Cronobacter sakazakii ES35 (1159614.3)	 	1633_2	449_4	1632	1630	1634, 2346	1631	 	 	 
Cronobacter sakazakii ES713 (1045857.3)	 	3082_2	1110_4	3081	3079	3083, 3864	3080	 	 	 
Cronobacter sakazakii SP291 (956149.6)	 	2412_2	3958_4	2413	2415	1656, 2411	2414	 	 	 
Edwardsiella tarda 080813 (667120.5)	 	3633_2	2028_4	3632	3630	1391, 3634	3631	 	 	3980
Edwardsiella tarda ATCC 23685 (500638.3)	 	1707_2	3120_4	1708, 1709	1711	1706, 770	1710	 	 	2873
Edwardsiella tarda EIB202 (498217.4)	 	2344_2	3038_4	2345, 2346	2348	1584	2347	 	 	 
Edwardsiella tarda FL6-60 (718251.5)	 	2378_2	3104_4	2379, 2380	2382	1603	2381	 	 	 
Enterobacter aerogenes EA1509E (935296.3)	 	2383_2	4210_4	2384	2386	2382	2385	 	 	3688
Enterobacter aerogenes FGI35 (685445.4)	 	3557_2	536_4	3558	3560	3556	3559	 	 	 
Enterobacter aerogenes KCTC 2190 (1028307.3)	 	2889	1062_4	2888	2886	2890	2887	 	 	 
Enterobacter cancerogenus ATCC 35316 (500639.8)	 	2290_3	3036_4	2289	2287	1177, 2291	2288	 	 	4183
Enterobacter asburiae LF7a (640513.3)	 	1419_3	4246_5	1418	1416	1420	1417	 	 	4391
Enterobacter cloacae EcWSU1 (1045856.3)	 	 	4085_4	1279	1277	1281	1278	 	 	 
Enterobacter cloacae SCF1 (701347.4)	 	1588_2, 3101_2	338_4	3102	3104	2375, 3100	3103	 	 	4287
Enterobacter cloacae subsp. cloacae 08XA1 (1203195.3)	 	4466_2	3199_4	4467	4469	4465	4468	 	 	 
Enterobacter cloacae subsp. cloacae ATCC 13047 (716541.4)	 	3129_2	4924_4	3130	3132	2408, 3128	3131	 	 	5103
Enterobacter cloacae subsp. cloacae ENHKU01 (1211025.3)	 	1375_2	4130_4	1374	1372	1376	1373	 	 	4233
Enterobacter cloacae subsp. cloacae GS1 (1177927.3)	 	1528_2	3456_4	1529	1531	1527	1530	 	 	2952
Enterobacter cloacae subsp. dissolvens SDM (1104326.3)	 	4308_2	1197_4	4309	4311	4307	4310	4324_14	 	4164
