Organism	ASPOX	QSYN	QAPRT	NaMNAT	NADS	PnuC	NiaP	NiaX	NiaY
Streptococcus pneumoniae 7879-04 (760870.3)	 	 	1961	1668_4	823	1764_8	 	963	 
Streptococcus pneumoniae 8190-05 (760867.3)	 	 	1922	1642_4	1313	1732_8	 	1174	 
Streptococcus pneumoniae AP200 (574093.3)	 	 	2142	1866_4	1530	1974_8	 	1324	 
Streptococcus pneumoniae ATCC 700669 (561276.4)	 	 	2143	1844_4	1466	1971_8	 	1199	 
Streptococcus pneumoniae BS397 (512767.4)	 	 	2076	586_4	1257	710_8	 	1104	 
Streptococcus pneumoniae BS455 (595501.4)	 	 	14	572_4	799	867_8	 	473	 
Streptococcus pneumoniae BS457 (512768.4)	 	 	1175	1244_4	421	217_8	 	731	 
Streptococcus pneumoniae BS458 (512769.4)	 	 	872	790_4	408	991_8	 	368	 
Streptococcus pneumoniae CDC0288-04 (453364.9)	 	 	2005	909_4	861	1381_8	 	683	 
Streptococcus pneumoniae CDC1873-00 (453362.4)	 	 	1511	714_4	1369	809_8	 	2274	 
Streptococcus pneumoniae CDC3059-06 (453365.4)	 	 	2057	1043_4	708	1625_8	 	542	 
Streptococcus pneumoniae CGSP14 (516950.5)	 	 	2128	1840_4	1501	1967_8	 	1144	 
Streptococcus pneumoniae D39 (373153.27)	 	 	1982	1725_4	1391	1815_8	 	1215	 
Streptococcus pneumoniae EU-NP01 (760877.3)	 	 	2043	1767_4	1389	1893_8	 	1223	 
Streptococcus pneumoniae EU-NP02 (760878.3)	 	 	1953	863_4	1732	771_8	 	1549	 
Streptococcus pneumoniae EU-NP03 (760879.3)	 	 	1943	1691_4	1363	1792_8	 	1183	 
Streptococcus pneumoniae EU-NP04 (760880.3)	 	 	1929	1757_4	1447	1876_8	 	1273	 
Streptococcus pneumoniae EU-NP05 (760881.3)	 	 	1950	1669_4	1347	1795_8	 	1164	 
Streptococcus pneumoniae England14-9 (1069625.3)	 	 	1908	1642_4	1322	1755_8	 	1050	 
Streptococcus pneumoniae G54 (512566.5)	 	 	1992	1732_4	1422	1833_8	 	1187	 
Streptococcus pneumoniae GA02254 (760742.3)	 	 	2017	1785_4	1468	1867_8	 	1067	 
Streptococcus pneumoniae GA02270 (760743.3)	 	 	2028	1744_4	1425	1844_8	 	1248	 
Streptococcus pneumoniae GA02506 (1069626.3)	 	 	1874	1616_4	1291	1705_8	 	1120	 
Streptococcus pneumoniae GA02714 (760744.3)	 	 	2061	1817_4	1488	1915_8	 	1291	 
Streptococcus pneumoniae GA04175 (760745.3)	 	 	2002	1729_4	1363	1854_8	 	1202	 
Streptococcus pneumoniae GA04216 (1069624.3)	 	 	1921, 1922	1658_4	1319	1749_8	 	1152	 
Streptococcus pneumoniae GA04375 (760746.3)	 	 	1910	1651_4	1320	1744_8	 	1180	 
Streptococcus pneumoniae GA04672 (1069627.3)	 	 	2005	1727_4	1345	1853_8	 	1180	 
Streptococcus pneumoniae GA05245 (760748.3)	 	 	1992	1705_4	1374	1829_8	 	1217	 
Streptococcus pneumoniae GA05248 (760749.3)	 	 	1994	1684_4	1290	1775_8	 	958	 
Streptococcus pneumoniae GA05578 (1069623.3)	 	 	1967	1708_4	1314	1798_8	 	1148	 
Streptococcus pneumoniae GA06083 (760750.3)	 	 	1902	1629_4	1312	1753_8	 	1150	 
Streptococcus pneumoniae GA07228 (760754.3)	 	 	1896	1645_4	1326	1747_8	 	1167	 
Streptococcus pneumoniae GA07643 (760755.3)	 	 	1960	1684_4	1360	1807_8	 	1180	 
Streptococcus pneumoniae GA07914 (760756.3)	 	 	1846	1586_4	1280	1693_8	 	1109	 
Streptococcus pneumoniae GA08780 (760758.3)	 	 	1968	1711_4	1350	1812_8	 	1192	 
Streptococcus pneumoniae GA08825 (1069628.3)	 	 	1919	1640_4	1308	1731_8	 	1168	 
Streptococcus pneumoniae GA11304 (760763.3)	 	 	2042	1784_4	788	1881_8	 	620	 
Streptococcus pneumoniae GA11426 (760764.3)	 	 	2062	881_4	1708	1842_8	 	1546	 
Streptococcus pneumoniae GA13224 (760767.3)	 	 	1939	1692_4	1300	1853_8	 	1633	 
Streptococcus pneumoniae GA13338 (760769.3)	 	 	2002	1706_4	1379	1824_8	 	1149	 
Streptococcus pneumoniae GA13430 (760770.3)	 	 	1956	1659_4	1339	1794_8	 	1131	 
Streptococcus pneumoniae GA13455 (760771.3)	 	 	1936	1655_4	1323	1747_8	 	1184	 
Streptococcus pneumoniae GA13494 (760772.3)	 	 	2346	2089_4	1538	2173_8	 	1250	 
Streptococcus pneumoniae GA13856 (760775.3)	 	 	1856	1604_4	1296	1707_8	 	1127	 
Streptococcus pneumoniae GA14373 (760776.3)	 	 	1996	1731_4	1412	1828_8	 	1235	 
Streptococcus pneumoniae GA14688 (760777.3)	 	 	1906	1651_4	1327	1756_8	 	1192	 
Streptococcus pneumoniae GA14798 (760778.3)	 	 	1925	1651_4	1227	1743_8	 	1087	 
Streptococcus pneumoniae GA16121 (760779.3)	 	 	2030	1737_4	1334	1832_8	 	1194	 
Streptococcus pneumoniae GA16242 (760780.3)	 	 	1935	1693_4	1355	1784_8	 	1176	 
Streptococcus pneumoniae GA16531 (760781.3)	 	 	2041	1754	1405	1876_8	 	1228	 
Streptococcus pneumoniae GA17301 (760785.3)	 	 	1991	1733_4	1368	1833_8	 	1211	 
Streptococcus pneumoniae GA17328 (760790.3)	 	 	2050	1792_4	1465	1892_8	 	1279	 
Streptococcus pneumoniae GA17371 (760786.3)	 	 	1986	1699_4	1328	1795_8	 	1189	 
Streptococcus pneumoniae GA17457 (760787.3)	 	 	2024	1732_4	1396	1866_8	 	1229	 
Streptococcus pneumoniae GA17484 (760788.3)	 	 	1847	917_4	1694	815_8	 	1558	 
Streptococcus pneumoniae GA17545 (886289.3)	 	 	1950	1702_4	1365	1793_8	 	1185	 
Streptococcus pneumoniae GA17570 (760791.3)	 	 	2011	1743_4	1374	1846_8	 	1218	 
Streptococcus pneumoniae GA17719 (760792.3)	 	 	1977	1081_4	1754	1172_8	 	1617	 
Streptococcus pneumoniae GA17971 (760793.3)	 	 	2046	1741_4	1413	 	 	1269	 
Streptococcus pneumoniae GA18068 (760794.3)	 	 	2002	1730_4	1410	1853_8	 	1232	 
Streptococcus pneumoniae GA18523 (760795.3)	 	 	1592	1258_4	2135	1352_8	 	1996	 
Streptococcus pneumoniae GA19077 (760797.3)	 	 	2186	1912_4	1501	2016_8	 	1321	 
Streptococcus pneumoniae GA19101 (760798.3)	 	 	1913	1668_4	1351	1750_8	 	1194	 
Streptococcus pneumoniae GA19690 (760800.3)	 	 	2003	1753_4	1433	1854_8	 	1275	 
Streptococcus pneumoniae GA19923 (760801.3)	 	 	1934	1637_4	813	1737_8	 	955	 
Streptococcus pneumoniae GA40028 (760803.3)	 	 	1838	1587_4	762	1689_8	 	919	 
Streptococcus pneumoniae GA40183 (760804.3)	 	 	1961	1347_4	1820	1458_8	 	1658	 
Streptococcus pneumoniae GA40410 (760805.3)	 	 	1948	1676_4	1350	1799_8	 	1186	 
Streptococcus pneumoniae GA40563 (760806.3)	 	 	1961	1716_4	1405	1815_8	 	1193	 
Streptococcus pneumoniae GA41277 (760808.3)	 	 	2038	1741_4	1369	1875_8	 	1202	 
Streptococcus pneumoniae GA41301 (760809.3)	 	 	2100	1798_4	1457	1922_8	 	1299	 
Streptococcus pneumoniae GA41317 (760810.3)	 	 	1993	1727_4	1409	1836_8	 	1226	 
Streptococcus pneumoniae GA41410 (760811.3)	 	 	2216	1767_4	1432	1887_8	 	1240	 
Streptococcus pneumoniae GA41538 (760813.3)	 	 	2084	1822_4	1484	1915_8	 	1298	 
Streptococcus pneumoniae GA41565 (760814.3)	 	 	2059	1712_4	1392	1893_8	 	1168	 
Streptococcus pneumoniae GA41688 (760815.3)	 	 	1972	1698_4	1370	1816_8	 	1223	 
Streptococcus pneumoniae GA43257 (760816.3)	 	 	1950	1709_4	1343	1799_8	 	1187	 
Streptococcus pneumoniae GA43264 (760817.3)	 	 	1999	1753_4	1437	1856_8	 	1261	 
Streptococcus pneumoniae GA43265 (760818.3)	 	 	1957	1684_4	1358	1804_8	 	1195	 
Streptococcus pneumoniae GA43380 (760819.3)	 	 	1933	1664_4	1363	1763_8	 	1221	 
Streptococcus pneumoniae GA44128 (760820.3)	 	 	1948	1694_4	1381	1797_8	 	1242	 
Streptococcus pneumoniae GA44194 (760821.3)	 	 	1934	1675_4	1377	1770_8	 	1144	 
Streptococcus pneumoniae GA44288 (760822.3)	 	 	1922	1643_4	807	1736_8	 	1220	 
Streptococcus pneumoniae GA44378 (760823.3)	 	 	2019	1728_4	1410	1854_8	 	1142	 
Streptococcus pneumoniae GA44386 (760824.3)	 	 	1995	1732_4	1419	1833_8	 	867	 
Streptococcus pneumoniae GA44452 (760825.3)	 	 	2007	1738_4	1419	1842_8	 	1240	 
Streptococcus pneumoniae GA44500 (760826.3)	 	 	2141	1849_4	1466	1983_8	 	1301	 
Streptococcus pneumoniae GA44511 (760827.3)	 	 	1980	1731_4	1364	1828_8	 	1205	 
Streptococcus pneumoniae GA47033 (760828.3)	 	 	1452	1177_4	866	1305_8	 	693	 
Streptococcus pneumoniae GA47179 (760829.3)	 	 	1907	1627_4	1333	1720_8	 	1102	 
Streptococcus pneumoniae GA47210 (760830.3)	 	 	1950	1699_4	1389	1792_8	 	1206	 
Streptococcus pneumoniae GA47281 (760831.3)	 	 	1967	1678_4	1354	1769_8	 	1214	 
Streptococcus pneumoniae GA47283 (760832.3)	 	 	1961	1695_4	1395	1799_8	 	1227	 
Streptococcus pneumoniae GA47360 (760833.3)	 	 	1965	1693_4	1375	1813_8	 	1209	 
Streptococcus pneumoniae GA47388 (760837.3)	 	 	1958	1702_4	715	1801_8	 	1303	 
Streptococcus pneumoniae GA47439 (760860.3)	 	 	1851	1599_4	1299	1689_8	 	1131	 
Streptococcus pneumoniae GA47461 (760838.3)	 	 	1815	1559_4	1262	1659_8	 	1125	 
Streptococcus pneumoniae GA47502 (760839.3)	 	 	2112	1849_4	1500	1961_8	 	1267	 
Streptococcus pneumoniae GA47522 (760840.3)	 	 	1925	1654_4	1334	1775_8	 	936	 
Streptococcus pneumoniae GA47562 (760841.3)	 	 	1901	1646_4	622	1747_8	 	810	 
Streptococcus pneumoniae GA47597 (760842.3)	 	 	1900	1658_4	1336	1741_8	 	1177	 
Streptococcus pneumoniae GA47628 (760843.3)	 	 	1917	1639_4	1314	1729_8	 	1176	 
Streptococcus pneumoniae GA47688 (760844.3)	 	 	1905	1627_4	781	1718_8	 	643	 
Streptococcus pneumoniae GA47751 (760845.3)	 	 	2026	1757_4	1437	1861_8	 	1260	 
Streptococcus pneumoniae GA47760 (760846.3)	 	 	1818	1567_4	1261	1667_8	 	1089	 
Streptococcus pneumoniae GA47794 (760848.3)	 	 	1877	1616_4	1323	1711_8	 	1095	 
Streptococcus pneumoniae GA47901 (760861.3)	 	 	1975	1709	1393	1813_8	 	1224	 
Streptococcus pneumoniae GA47976 (760850.3)	 	 	1972	1690_4	1359	1819_8	 	1077	 
Streptococcus pneumoniae GA49138 (760851.3)	 	 	1954	1670_4	1335	1761_8	 	1167	 
Streptococcus pneumoniae GA49194 (760852.3)	 	 	1919	1666_4	1359	1768_8	 	1179	 
Streptococcus pneumoniae GA49447 (760854.3)	 	 	2038	1764_4	1438	1865_8	 	1259	 
Streptococcus pneumoniae GA49542 (760855.3)	 	 	1973	1720_4	1337	1817_8	 	1180	 
Streptococcus pneumoniae GA52306 (760856.3)	 	 	1937	1648_4	1340	1771_8	 	1165	 
Streptococcus pneumoniae GA52612 (760858.3)	 	 	1794	1484_4	1187	1579_8	 	972	 
Streptococcus pneumoniae GA54354 (1105115.3)	 	 	1959	1698_4	1387	1802_8	 	1208	 
Streptococcus pneumoniae GA54644 (760859.3)	 	 	1995	1740_4	1373	1833_8	 	1214	 
Streptococcus pneumoniae GA56113 (1105116.3)	 	 	2021	1772_4	1399	1871_8	 	1241	 
Streptococcus pneumoniae GA58581 (1105118.3)	 	 	1574	1301_4	971	1417_8	 	622	 
Streptococcus pneumoniae GA58771 (1105121.3)	 	 	1942	1527_4	815	1618_8	 	954	 
Streptococcus pneumoniae GA58981 (1131628.3)	 	 	2101	1890_4	1574	1999_8	 	1406	 
Streptococcus pneumoniae GA60132 (1131627.3)	 	 	2018	1735_4	925	1856_8	 	1333	 
Streptococcus pneumoniae GA60190 (1105120.3)	 	 	1932	1647_4	1338	1767_8	 	1163	 
Streptococcus pneumoniae GA62331 (1131630.3)	 	 	2072	1813_4	1427	1915_8	 	1250	 
Streptococcus pneumoniae GA62681 (1131629.3)	 	 	1943	1668_4	1345	1790_8	 	1165	 
Streptococcus pneumoniae Hungary19A-6 (487214.5)	 	 	2162	1871_4	1553	1994_8	 	1354	 
Streptococcus pneumoniae INV104 (869269.3)	 	 	2166	1863_4	1517	1997_8	 	1339	 
Streptococcus pneumoniae INV200 (869216.3)	 	 	2069	1784_4	1437	1904_8	 	1147	 
Streptococcus pneumoniae JJA (488222.3)	 	 	2068	1721	1386	1846_8	 	1204	 
Streptococcus pneumoniae MLV-016 (453366.3)	 	 	1964	156	931	50_8	 	740	 
Streptococcus pneumoniae MNZ11b (1315307.3)	 	 	134	1328_4	554	1481_8	 	681	 
Streptococcus pneumoniae MNZ14 (1315308.3)	 	 	1990	834_4	1646	1119_8	 	110	 
Streptococcus pneumoniae MNZ37 (1315309.3)	 	 	1202	183_4	275	784_8	 	16	 
Streptococcus pneumoniae MNZ41 (1315310.3)	 	 	1026	510_4	370	1523_8	 	145	 
Streptococcus pneumoniae NP070 (760884.3)	 	 	1952	1696_4	1349	1802_8	 	1208	 
Streptococcus pneumoniae NP112 (760882.3)	 	 	1889	1652_4	1319	1741_8	 	1139	 
Streptococcus pneumoniae NP127 (760886.3)	 	 	2017	1756_4	1426	1853_8	 	1248	 
Streptococcus pneumoniae NP141 (760883.3)	 	 	329	1676_4	611	1772_8	 	454	 
Streptococcus pneumoniae NorthCarolina6A-23 (760887.3)	 	 	2010	1746_4	1437	1843_8	 	1256	 
Streptococcus pneumoniae OXC141 (869215.3)	 	 	2062	1789_4	1449	1899_8	 	1280	 
Streptococcus pneumoniae P1031 (488223.4)	 	 	2099	1834_4	1493	1938_8	 	1316	 
Streptococcus pneumoniae PCS125219 (1159084.3)	 	 	1649	956_4	314	1079_8	 	1257	 
Streptococcus pneumoniae PCS70012 (1159085.3)	 	 	1953	151_4	475	48_8	 	639	 
Streptococcus pneumoniae PCS8106 (1159081.3)	 	 	1880	748_4	281	1847_8	 	449	 
Streptococcus pneumoniae PNI0002 (1159087.3)	 	 	1939	794_4	393	692_8	 	1136	 
Streptococcus pneumoniae PNI0006 (1159088.3)	 	 	2042	1697_4	1374	1800_8	 	1206	 
Streptococcus pneumoniae PNI0010 (1159092.3)	 	 	1555	1163_4	836	1265_8	 	669	 
Streptococcus pneumoniae PNI0153 (1159094.3)	 	 	2161	1191_4	580	1287_8	 	1411	 
Streptococcus pneumoniae R6 (171101.6)	 	 	1975	1719_4	1385	1808_8	 	1209	 
Streptococcus pneumoniae R6M2-PG (1089300.3)	 	 	1	272_4	647	1219_8	 	979	 
Streptococcus pneumoniae SP11-BS70 (406559.5)	 	 	2021	1196_4	963	1960_8	 	1901	 
Streptococcus pneumoniae SP14-BS292 (497962.4)	 	 	2094	1060_4	905	1184_8	 	754	 
Streptococcus pneumoniae SP18-BS74 (406561.5)	 	 	2068	949	1620	853_8	 	1430	 
Streptococcus pneumoniae SP19-BS75 (406562.5)	 	 	1264	890	1113	791_8	 	1602	 
Streptococcus pneumoniae SP195 (453363.4)	 	2092	1874	492_4	1525	1827_8	 	1009	 
Streptococcus pneumoniae SP23-BS72 (406563.4)	 	 	1023, 1746	1073_4	494	2000_8	 	348	 
Streptococcus pneumoniae SP3-BS71 (406556.6)	 	 	2107	648	1678	754_8	 	1500	 
Streptococcus pneumoniae SP6-BS73 (406557.5)	 	 	1767	1525_4	1650, 2416	1727_8	 	1389	 
Streptococcus pneumoniae SP9-BS68 (406558.6)	 	 	210	2156_4	884	1118_8	 	1489	 
Streptococcus pneumoniae SPAR27 (1159209.3)	 	 	1949	1689_4	1351	1782_8	 	1181	 
Streptococcus pneumoniae SPAR55 (1159211.3)	 	 	1991	1706_4	1281	1819_8	 	1102	 
Streptococcus pneumoniae SPAR95 (1159212.3)	 	 	 	1675_4	1008	1808_8	 	1287	 
Streptococcus pneumoniae SPN021198 (869308.3)	 	 	17	322_4	644	218_8	 	802	 
Streptococcus pneumoniae SPN032672 (869311.3)	 	 	1194	741_4	390	875_8	 	214	 
Streptococcus pneumoniae SPN033038 (869312.3)	 	 	1305	744_4	396	879_8	 	218	 
Streptococcus pneumoniae SPN034156 (869303.3)	 	 	995	733_4	391	823_8	 	220	 
Streptococcus pneumoniae SPN034183 (869304.3)	 	 	2077	1802_4	1461	1913_8	 	1292	 
Streptococcus pneumoniae SPN061370 (869801.3)	 	 	358	1539_4	2193	629_8	 	2025	 
Streptococcus pneumoniae SPN072838 (869305.3)	 	 	76	705_4	1311	620_8	 	1485	 
Streptococcus pneumoniae SPN1041 (869310.3)	 	 	1532	671_4	491	572_8	 	761	 
Streptococcus pneumoniae SPN7465 (869313.3)	 	 	1816	1402	859	1531_8	 	691	 
Streptococcus pneumoniae SPNA45 (869309.3)	 	 	1017	696	375	1292_8, 1293_8, 812_8	 	192	 
Streptococcus pneumoniae ST556 (1130804.3)	 	 	1977	1703_4	891	1792_8	 	1029	 
Streptococcus pneumoniae SV35 (497738.3)	 	 	2054	1910_4	1588	145_8	 	1326	 
Streptococcus pneumoniae SV36 (497739.3)	 	 	1892	1607_4	1289	1729_8	 	1028	 
Streptococcus pneumoniae TCH8431/19A (525381.4)	 	 	12	1978_4	1121	2070_8	 	1266	 
Streptococcus pneumoniae TIGR4 (170187.11)	 	 	2097	1815_4	1467	1932_8	 	1275	 
Streptococcus pneumoniae Taiwan19F-14 (487213.3)	 	 	2031	1742_4	883	1835_8	 	1029	 
Streptococcus pneumoniae gamPNI0373 (697283.3)	 	 	1967	1713_4	1391	1814_8	 	1226	 
Streptococcus pseudopneumoniae IS7493 (1054460.4)	 	 	 	1853_4	1403	1882_8, 2200_8	 	1188	 
Streptococcus salivarius 57.I (1046629.4)	 	 	 	373	1732	 	 	875	 
Streptococcus salivarius JIM8777 (347253.5)	 	 	 	1563	178	 	 	1083	 
Streptococcus salivarius K12 (1200793.3)	 	 	 	1620_4	210	1076_8	 	1112	 
Streptococcus salivarius M18 (1074494.5)	 	 	 	1564	179	843_8	 	797	 
Streptococcus salivarius PS4 (1157946.4)	 	 	 	34	759	889_8, 898_8	 	927	 
Streptococcus salivarius SK126 (596322.3)	 	 	 	709	98	 	 	339	 
Streptococcus sanguinis ATCC 29667 (997356.4)	 	 	 	1241_4	2133	1597_8, 536_8	 	493	 
Streptococcus sanguinis ATCC 49296 (888049.3)	 	 	 	1518	466	1101_8, 688_8	 	241	 
Streptococcus sanguinis SK1 (888807.3)	 	 	 	1167	1707	1540_8, 476_8	 	437	 
Streptococcus sanguinis SK1056 (888820.3)	 	 	 	1247	2296	1656_8, 500_8	 	465	 
Streptococcus sanguinis SK1057 (888821.3)	 	 	 	1872	607	1147_8, 291_8	 	1125	 
Streptococcus sanguinis SK1058 (888822.3)	 	 	 	1738	30	1057_8, 2144_8	 	1017	 
Streptococcus sanguinis SK1059 (888823.3)	 	 	 	1264	1819	1626_8, 547_8	 	503	 
Streptococcus sanguinis SK1087 (888824.3)	 	 	 	1206	1811	2133_8, 504_8	 	482	 
Streptococcus sanguinis SK115 (888810.3)	 	 	 	1207	2220	1905_8, 521_8	 	495	 
Streptococcus sanguinis SK150 (888811.3)	 	 	 	1856_4	659	1155_8, 304_8	 	1132	 
Streptococcus sanguinis SK160 (888812.3)	 	 	 	1054	510	1759_8, 681_8	 	1782	 
Streptococcus sanguinis SK330 (888813.3)	 	 	 	1212	2151	1816_8, 488_8	 	464	 
Streptococcus sanguinis SK340 (888814.4)	 	 	 	1790_4	533	1083_8, 2146_8	 	1040	 
Streptococcus sanguinis SK353 (888815.3)	 	 	 	1228_4	72	2028_8, 555_8	 	533	 
Streptococcus sanguinis SK355 (888816.3)	 	 	 	1086	30	1809_8	 	1840	 
Streptococcus sanguinis SK36 (388919.9)	 	 	 	558_4	1768	1253_8, 2079_8	 	1282	 
Streptococcus sanguinis SK405 (888817.3)	 	 	 	1174	1718	1555_8, 473_8	 	449	 
Streptococcus sanguinis SK408 (888818.3)	 	 	 	1250	1416	2040_8, 492_8	 	453	 
Streptococcus sanguinis SK49 (888808.3)	 	 	 	519	611	1133_8, 2219_8	 	1110	 
Streptococcus sanguinis SK678 (888819.3)	 	 	 	692	1884	1376_8, 302_8	 	1399	 
Streptococcus sanguinis SK72 (888809.3)	 	 	 	421	1655	1108_8, 1993_8	 	1131	 
Streptococcus sanguinis VMC66 (888825.3)	 	 	 	1079	30	1785_8, 391_8	 	369	 
Streptococcus sp. 2_1_36FAA (469609.3)	 	 	 	455	580	1968_8, 978_8	 	767	 
Streptococcus thermophilus CNRZ1066 (299768.6)	 	 	 	1605	237	 	 	905	 
Streptococcus thermophilus JIM 8232 (1051074.3)	 	 	 	1632	243	 	 	945	 
Streptococcus thermophilus LMD-9 (322159.8)	 	 	 	1625	239	 	 	915	 
Streptococcus thermophilus LMG 18311 (264199.4)	 	 	 	1593	233	 	 	885	 
Streptococcus thermophilus MN-ZLW-002 (1187956.3)	 	 	 	1597	225	 	 	1033	 
Streptococcus thermophilus ND03 (767463.3)	 	 	 	1648	246	 	 	917	 
Streptococcus thoraltensis DSM 12221 (1123318.3)	 	 	 	1467_4	1814	 	 	 	 
Streptococcus uberis 0140J (218495.5)	 	 	 	339_4	1375	1124_8	 	1231	 
Streptococcus vestibularis ATCC 49124 (889206.3)	 	 	 	129	1492	816_8	 	849	 
Streptococcus vestibularis F0396 (904306.3)	 	 	 	873	1660	 	 	625	 
Butyricicoccus pullicaecorum 1.2 (1203606.4)	 	 	 	2123_4	2689	 	 	1470	 
Clostridium acetobutylicum ATCC 824 (272562.8)	1232	1233, 944	1231	1462, 1987	1259, 1988	 	 	 	 
Clostridium acetobutylicum DSM 1731 (991791.3)	1056	1057, 766	1055	1295, 1823	1083, 1824	 	 	 	 
Clostridium acetobutylicum EA 2018 (863638.3)	1058	1059, 766	1057	1298, 1827	1085, 1828	 	 	 	 
Clostridium asparagiforme DSM 15981 (518636.5)	1028	 	 	3378_4	1881	3377_8	 	 	1670
Clostridium bartlettii DSM 16795 (445973.7)	492	491	493	1367	1089, 1112	 	 	 	2482
Clostridium beijerinckii G117 (1200349.3)	2302	2301	2303	4316_4	716	 	 	1829	 
Clostridium beijerinckii NCIMB 8052 (290402.41)	815	814	816	528	1070	 	 	1445	 
Clostridium bolteae 90B8 (997897.5)	5192	5193	5191	5216_4	3091	4065_9, 916_8	 	 	927
Clostridium bolteae ATCC BAA-613 (411902.9)	3406	3405	3407	3338	5067	2575_8, 4347_8	 	 	1039, 4337
Clostridium botulinum A str. ATCC 19397 (441770.6)	1401	1402	1400	2915	522	 	 	2472	 
Clostridium botulinum A str. ATCC 3502 (413999.7)	1428	1429, 256	1427	2962	539	 	 	2600	 
Clostridium botulinum A str. Hall (441771.6)	1411	1412	1410	2803	401	 	 	2414	 
Clostridium botulinum A2 str. Kyoto (536232.3)	1496	1497	1495	3212	570	 	 	2829	 
Clostridium botulinum A3 str. Loch Maree (498214.7)	1849	1850	1848	3288	866	 	 	2919	 
Clostridium botulinum B str. Eklund 17B (508765.6)	 	 	 	520	1021	 	 	2761	 
Clostridium botulinum B1 str. Okra (498213.7)	1600	1601	1599	3099	716	 	 	2713	 
Clostridium botulinum Ba4 str. 657 (515621.3)	1779	1780	1778	3432	858	 	 	3042	 
Clostridium botulinum BKT015925 (929506.3)	 	 	 	2171	2198	 	 	1155	 
Clostridium botulinum CB11/1-1 (1289590.3)	1958	1957	1959	1027_4	1009	 	 	387	 
Clostridium botulinum CDC66177 (1221327.3)	 	 	 	2389_4	556	 	 	750	 
Clostridium botulinum D str. 1873 (592027.3)	 	 	 	787	766	 	 	 	 
Clostridium botulinum E1 str. 'BoNT E Beluga' (536233.3)	556	555	557	3126	2667	 	 	755	 
Clostridium botulinum E3 str. Alaska E43 (508767.5)	2685	2686	2684	499	951	 	 	2496	 
Clostridium botulinum F str. 230613 (758678.3)	1530	1531	1529	3157, 3158	573	 	 	2761	 
Clostridium botulinum F str. Langeland (441772.13)	1450	1451	1449	2955	540	 	 	2596	 
Clostridium botulinum H04402 065 (941968.4)	1513	1514	1512	3064	554	 	 	2704	 
Clostridium butyricum 60E.3 (997898.4)	2176	2177	2175	3232_4	466	 	 	1869	 
Clostridium butyricum DKU-01 (1306409.3)	2328	2329	2327	2599_4	2051	 	 	765	 
Clostridium butyricum DSM 10702 (1316931.3)	3933	3932	3934	632_4	1335	 	 	4113	 
Clostridium butyricum E4 str. BoNT E BL5262 (632245.3)	1546	1545	1547	1130	3354	 	 	1801	 
Clostridium celatum DSM 1785 (545697.3)	160, 161	159	162	3225_4	2005	 	 	 	2299
Clostridium citroniae WAL-17108 (742733.3)	 	 	 	3714	5643	 	 	 	4857
Clostridium clariflavum DSM 19732 (720554.3)	4398	4399	4397	3222	1341	779_8	 	 	 
Clostridium clostridioforme 2_1_49FAA (742735.4)	1192	1193	1191	5207	3526	4757_8	 	 	4747
Clostridium clostridioforme 90A1 (999403.4)	825	824	826	47_4	317	5697_8	 	 	5687
Clostridium clostridioforme 90A3 (999404.4)	2705	2706	2704	5611_4	5341	3166_8	 	 	3176
Clostridium clostridioforme 90A4 (999405.4)	441	442	440	5418_4	2683	4238_8	 	 	4228
Clostridium clostridioforme 90A6 (999406.3)	423	422	424	6129_4	3840	5165_8	 	 	5155
Clostridium clostridioforme 90A8 (999408.3)	1703	1702	1704	5972_4	5046	1516_8	 	 	1505
Clostridium clostridioforme 90B1 (999409.3)	1124	1125	1123	5703_4	3563	1296_8	 	 	1306
Clostridium clostridioforme CM201 (999410.3)	3380	3381	3379	4494_4	2747	5611_8	 	 	5622
Clostridium difficile 6503 (691160.5)	1757	1756	1758	1951	917	 	 	 	3139
Clostridium difficile 2007855 (699033.6)	2372	2373	2371	2537	792	 	 	 	2265
Clostridium difficile 630 (272563.8)	2488	2489	2487	2647	831	 	 	 	2372
Clostridium difficile ATCC 43255 (499175.4)	1995	1996	1994	2153	436	 	 	 	1884
Clostridium difficile BI1 (699034.5)	2362	2363	2361	2528	789	 	 	 	2255
Clostridium difficile CD196 (645462.3)	2321	2322	2320	2485	779	 	 	 	2216
Clostridium difficile CIP 107932 (499176.4)	1918	1919	1917	2086	352	 	 	 	1815
Clostridium difficile M120 (699035.5)	2427	2428	2426	2592	858	 	 	 	2319
Clostridium difficile M68 (699037.5)	2500	2501	2499	2674	909	 	 	 	2380
Clostridium difficile NAP07 (525258.3)	1679	1678	1680	1514	2036	 	 	 	1811
Clostridium difficile NAP08 (525259.3)	968	967	969	802	1828	 	 	 	1071
Clostridium difficile QCD-23m63 (499174.4)	1756	1757	1755	1919	108	 	 	 	1649
Clostridium difficile QCD-37x79 (479834.4)	1791	1792	1790	2055	236	 	 	 	1688
Clostridium difficile QCD-63q42 (479831.4)	1642	1643	1641	1808	48	 	 	 	1528
Clostridium difficile QCD-66c26 (455631.3)	482	483	481	645	2636	 	 	 	379
Clostridium difficile QCD-76w55 (479832.7)	1935	1936	1934	2098	356	 	 	 	1831
Clostridium difficile QCD-97b34 (479833.4)	1939	1940	1938	2102	357	 	 	 	1840
Clostridium difficile R20291 (645463.3)	2408	2409	2407	2572	783	 	 	 	2305
