Organism	GndP	Gnd	Pgl	Rpe	Rpi	Tal	Tkt	Zwf
Escherichia coli KTE104 (1169372.3)	2165_18	 	778_32	3592_38, 4508_37, 4616_38	4396_40	2623_41, 4733_41	2624_42, 3077_42, 4080_42	 
Escherichia coli KTE105 (1169373.3)	2142_18	 	812_32	3570_38	4352_40	2592_41, 43_41	2593_42, 3106_42	 
Escherichia coli KTE106 (1169374.3)	2122_18	 	735_32	3492_38, 4536_38	4313_40	2534_41, 4651_41	2535_42, 2998_42, 4006_42	 
Escherichia coli KTE107 (1182703.3)	2668_18	 	1222_32	203_37, 4166_38	 	1303_41, 3143_41, 389_41	3144_42, 3711_42	 
Escherichia coli KTE108 (1182704.3)	3942_18	 	2495_32	1527_37, 3904_38, 526_38	1405_40, 3909_40	1715_41, 4506_41	4507_42, 5062_42	 
Escherichia coli KTE109 (1169375.3)	2173_18	 	865_32	2115_38, 3491_38, 4384_37	2120_40, 4292_40	112_41, 2575_41, 4122_41	2576_42, 3020_42, 3992_42	 
Escherichia coli KTE11 (1169331.3)	1736_18	 	533_32	3018_38	2547_39, 3790_40	2161_41, 3643_41, 4067_41, 592_41	2035_43, 2036_44, 2162_42, 2575_42	991_46
Escherichia coli KTE111 (1182706.3)	2774_18	 	1437_32	4163_38, 453_37	 	3195_41, 705_41	3196_42, 3690_42	2577_46
Escherichia coli KTE112 (1169376.3)	2414_18	 	862_32	3874_38, 4814_37	 	2889_41, 43_41, 922_41	2890_42, 3400_42	2183_46
Escherichia coli KTE113 (1169377.3)	2451_18	 	1070_32	2393_38, 3855_38	2398_40, 4652_40	283_41, 2864_41	2865_42, 3364_42, 4348_42	 
Escherichia coli KTE114 (1169321.3)	3848_18	 	2644_32	1676_38, 846_37	419_39	1096_41, 1955_41, 2702_41, 4257_41	4258_42, 447_42	3026_46
Escherichia coli KTE115 (1182707.3)	2252_18	 	716_32	3658_38, 4551_37	4445_40	2684_41, 4290_41, 4774_41, 832_41	2685_42, 3132_42	 
Escherichia coli KTE116 (1182708.3)	3141_18	 	1652_32	4689_38	415_40	3554_41, 790_41	3555_42, 4158_42	 
Escherichia coli KTE117 (1169378.3)	2182_18	 	829_32	3506_38, 4358_37	 	2594_41, 43_41, 890_41	2595_42, 3070_42	 
Escherichia coli KTE118 (1182709.3)	3073_18	 	1695_32	4610_38, 715_37, 878_38	 	3560_41, 988_41	217_42, 3561_42, 4068_42	 
Escherichia coli KTE119 (1182710.3)	2677_18	 	1220_32	177_37, 4092_38	 	2195_41, 3136_41, 381_41	3137_42, 3616_42	 
Escherichia coli KTE12 (1169332.3)	2130_18	 	741_32	3516_38	4339_40	2588_41, 4652_41	2589_42, 3065_42	 
Escherichia coli KTE120 (1169379.3)	2343_18	 	890_32	3826_38, 4700_37	 	2789_41, 35_41	2790_42, 3328_42	 
Escherichia coli KTE121 (1182711.3)	1690_18	 	5233_32	3206_38, 4191_37, 4340_38	4083_40	2105_41, 237_41, 3927_41, 4475_41	2106_42, 2658_42	 
Escherichia coli KTE122 (1169380.3)	2488_18	 	941_32	3869_38	4598_40	2895_41, 40_41	2896_42, 3459_42	 
Escherichia coli KTE123 (1182712.3)	4371_18	 	3037_32	1968_37, 2134_38, 975_38	 	2245_41, 4843_41	1471_42, 4844_42, 495_42	 
Escherichia coli KTE124 (1169381.3)	2374_18	 	865_32	3739_38, 4696_37	4585_40	117_41, 2789_41	2790_42, 3241_42, 4268_42	 
Escherichia coli KTE125 (1169382.3)	2382_18	 	867_32	3754_38	 	2792_41, 48_41	2793_42, 3271_42	 
Escherichia coli KTE126 (1182713.3)	3346_18	 	1888_32	3982_38	88_40	1949_41, 3756_41, 432_41	1029_42, 3757_42, 4606_42	 
Escherichia coli KTE127 (1182714.3)	3165_18	 	1620_32	4641_38	378_40	3576_41, 770_41	3577_42, 4085_42	 
Escherichia coli KTE128 (1169383.3)	2244_18	 	939_32	3628_38	4444_40	2671_41, 40_41	2672_42, 3175_42	 
Escherichia coli KTE129 (1169384.3)	2241_18	 	820_32	3673_38, 4643_37	 	2684_41, 4353_41, 4911_41	2685_42, 3155_42, 4168_42, 653_44, 654_43	 
Escherichia coli KTE13 (1169318.3)	2114_18	 	735_32	3499_38	4319_40	2574_41, 4634_41	2575_42, 3047_42	 
Escherichia coli KTE130 (1182715.3)	2857_18	 	1335_32	269_37, 4422_38	 	3336_41, 491_41	3337_42, 3855_42	 
Escherichia coli KTE131 (1169385.3)	2149_18	 	831_32	3540_38, 4455_37	3020_39, 4351_40	2594_41, 45_41	2595_42, 3046_42, 4043_42	 
Escherichia coli KTE132 (1182716.3)	2888_18	 	1283_32	304_37, 4457_38	 	3356_41, 530_41	3357_42, 3887_42	 
Escherichia coli KTE133 (1169386.3)	2193_18	 	810_32	3542_38	4319_40	2599_41, 46_41	2600_42, 3059_42, 4018_42	 
Escherichia coli KTE134 (1182717.3)	4491_18	 	3476_32	1152_38	368_40	2216_41, 2629_41	1692_42, 2215_42	 
Escherichia coli KTE135 (1182718.3)	3878_18	 	2569_32	787_38	1529_40	1824_41, 4371_41	339_42, 4372_42	 
Escherichia coli KTE136 (1182719.3)	2450_18	 	1165_32	3802_38	97_40	2852_41, 474_41	2853_42, 3327_42	 
Escherichia coli KTE137 (1169387.3)	2205_18	 	833_32	3567_38, 4555_37	4445_40	107_41, 2618_41	2619_42, 3100_42, 4130_42	 
Escherichia coli KTE138 (1169388.3)	2080_18	 	745_32	3443_38, 4296_37	4192_40	2493_41, 3_41	2494_42, 2997_42	1911_46
Escherichia coli KTE139 (1169389.3)	2157_18	 	877_32	3480_38, 4571_38	 	2553_41, 87_41	2554_42, 2984_42, 3970_42, 695_44, 696_43	 
Escherichia coli KTE14 (1169333.3)	2449_18	 	602_32	3984_38, 4824_37	 	2983_41, 5094_41	2984_42, 3451_42	 
Escherichia coli KTE140 (1182720.3)	2738_18	 	1314_32	4256_38	131_40	3245_41, 542_41	3246_42, 3791_42	 
Escherichia coli KTE141 (1182721.3)	2661_18	 	1171_32	230_37, 3988_38	126_40	3068_41, 426_41	3069_42, 3508_42, 4485_42	 
Escherichia coli KTE142 (1182722.3)	1371_18	 	289_32	2770_38	2283_39, 3577_40	1818_41, 381_41, 3916_41	1819_42, 2312_42	 
Escherichia coli KTE143 (1182723.3)	2406_18	 	972_32	3943_38	4771_40	1035_41, 174_41, 2872_41	2873_42, 3360_42	 
Escherichia coli KTE144 (1182724.3)	1882_18	 	581_32	3323_38	4079_40	2329_41, 4397_41, 646_41	2330_42, 2854_42	 
Escherichia coli KTE145 (1169390.3)	2193_18	 	851_32	3621_38, 4534_37, 4672_38	4416_40	101_41, 2631_41	2632_42, 3126_42, 4113_42	 
Escherichia coli KTE146 (1182725.3)	2726_18	 	1342_32	4406_38	 	1470_41, 3202_41, 544_41	3203_42, 3746_42	 
Escherichia coli KTE147 (1182726.3)	853_18	 	4066_32	2194_38	2943_40	1255_41, 2793_41, 3328_41	1256_42, 1718_42	 
Escherichia coli KTE148 (1169391.3)	2254_18	 	771_32	3601_38, 4717_38	 	2669_41, 56_41	2670_42, 3112_42, 4085_42, 590_44, 591_43	 
Escherichia coli KTE15 (1169334.3)	1991_18	 	549_32	3559_38, 4588_37, 4797_38	4339_40	2402_41, 4914_41	2403_42, 2902_42, 4033_42	 
Escherichia coli KTE150 (1169392.3)	2213_18	 	923_32	2155_38, 3575_38	2160_40	2623_41, 43_41, 983_41	2624_42, 3093_42, 4087_42	 
Escherichia coli KTE153 (1169393.3)	2209_18	 	863_32	3551_38, 4519_37	4407_40	122_41, 2620_41	2621_42, 3063_42, 4092_42	 
Escherichia coli KTE154 (1182728.3)	48_18	 	3400_32	1430_38	 	2620_41, 465_41	466_42, 962_42	 
Escherichia coli KTE155 (1182729.3)	2418_18	 	1658_32	205_37, 3831_38	 	2881_41, 436_41	2882_42, 3357_42	 
Escherichia coli KTE156 (1182730.3)	2751_18	 	1437_32	4172_38, 507_37	 	3212_41, 741_41	3213_42, 3695_42	 
Escherichia coli KTE157 (1169394.3)	2113_18	 	770_32	2056_38, 3516_38, 4467_37	2061_40	2517_41, 4179_41, 4729_41	2518_42, 2985_42, 3997_42, 604_44, 605_43	 
Escherichia coli KTE158 (1182731.3)	2844_18	 	1475_32	4265_38	251_40	3293_41, 628_41	3294_42, 3775_42	 
Escherichia coli KTE159 (1182732.3)	1980_18	 	718_32	3288_38	2821_39, 4060_40	2429_41, 4409_41, 777_41	2307_43, 2308_44, 2430_42, 2850_42	1179_46
Escherichia coli KTE16 (1169335.3)	2900_18	 	1436_32	4523_38	275_40	3306_41, 641_41	3307_42, 3928_42, 5054_42	 
Escherichia coli KTE160 (1169395.3)	2176_18	 	827_32	3553_38, 4519_37, 4676_38	4413_40	100_41, 2611_41	2612_42, 3054_42, 4098_42	 
Escherichia coli KTE161 (1182733.3)	4397_18	 	2991_32	1801_37, 894_38	 	2101_41, 4816_41	367_42, 4817_42	 
Escherichia coli KTE162 (1182734.3)	2445_18	 	1019_32	35_38, 3864_38	4650_40	149_41, 2853_41	2854_42, 3307_42, 4335_42, 835_44, 836_43	 
Escherichia coli KTE163 (1169396.3)	2384_18	 	886_32	3768_38, 4637_37	 	2792_41, 42_41	2793_42, 3288_42	 
Escherichia coli KTE165 (1182735.3)	3963_18	 	2698_32	3904_38, 805_38	1591_40, 3909_40	1906_41, 4413_41	1285_42, 2522_44, 2523_43, 324_42, 4414_42	 
Escherichia coli KTE166 (1169397.3)	4598_18	 	895_32	3635_38, 4488_37	 	143_41, 2649_41	2650_42, 3135_42	 
Escherichia coli KTE167 (1169398.3)	2026_18	 	665_32	3381_38, 4357_37, 4501_38	4251_40	2442_41, 4625_41	2443_42, 2886_42, 3938_42	 
Escherichia coli KTE168 (1169399.3)	2213_18	 	890_32	3624_38	4437_40	2627_41, 51_41	2628_42, 3125_42, 4135_42	 
Escherichia coli KTE169 (1182736.3)	2292_18	 	842_32	3792_38	4577_40	2703_41, 57_41	2704_42, 3202_42, 4272_42	 
Escherichia coli KTE17 (1169336.3)	2594_18	 	1331_32	2536_38, 3984_38	2541_40, 300_40	1391_41, 3054_41, 628_41	3055_42, 3507_42, 4464_42	 
Escherichia coli KTE170 (1182737.3)	2950_18	 	1460_32	4413_38	208_40	3408_41, 601_41	3409_42, 3925_42	 
Escherichia coli KTE171 (1182738.3)	2754_18	 	1200_32	4101_38	 	3180_41, 445_41	3181_42, 3650_42	 
Escherichia coli KTE172 (1279005.3)	1208_18	 	4690_32	2669_38	3449_40	1665_41, 3838_41	1666_42, 2183_42	 
Escherichia coli KTE173 (1181724.3)	2627_18	 	1343_32	4457_38, 458_38	172_40	3117_41, 570_41	1160_44, 1161_43, 3118_42, 3592_42, 4930_42	 
Escherichia coli KTE174 (1169400.3)	2305_18	 	854_32	3760_38, 4683_37, 4793_38	4577_40	2736_41, 99_41	2737_42, 3182_42, 4263_42	 
Escherichia coli KTE175 (1181725.3)	2973_18	 	1382_32	4537_38, 492_38	206_40	3469_41, 607_41	1199_44, 1200_43, 3470_42, 3944_42, 5019_42	 
Escherichia coli KTE176 (1169401.3)	2148_18	 	808_32	3570_38	 	2558_41, 4257_41, 70_41	2559_42, 3041_42, 4082_42	 
Escherichia coli KTE177 (1169402.3)	2179_18	 	844_32	3631_38	4407_40	2603_41, 34_41	2604_42, 3163_42	 
Escherichia coli KTE178 (1181726.3)	2903_18	 	1299_32	4377_38	149_40	1358_41, 3310_41, 544_41	1115_44, 1116_43, 3311_42, 3808_42, 4853_42	 
Escherichia coli KTE179 (1169403.3)	2123_18	 	785_32	3669_38, 4585_37	 	2635_41, 4874_41	2636_42, 3185_42, 4160_42	 
Escherichia coli KTE18 (1169337.3)	2603_18	 	1292_32	2544_38, 4002_38	119_40, 2549_40	1352_41, 3063_41, 451_41	3064_42, 3520_42, 4507_42	 
Escherichia coli KTE180 (1169404.3)	2248_18	 	832_32	3702_38, 4636_37	 	2709_41, 4908_41	2710_42, 3205_42, 4193_42	 
Escherichia coli KTE181 (1181727.3)	1982_18	 	351_32	3473_38	4248_40	2435_41, 4638_41	2436_42, 2947_42	 
Escherichia coli KTE182 (1181728.3)	2187_18	 	723_32	3839_38, 5005_37	4724_40	2712_41, 4523_41, 5262_41	2713_42, 3190_42, 4335_42, 556_44, 557_43	 
Escherichia coli KTE183 (1181729.3)	1143_18	 	4614_32	2662_38, 3546_37, 3696_38	3442_40	1555_41, 3814_41	1556_42, 2050_42, 3134_42	 
Escherichia coli KTE184 (1181730.3)	3492_18	 	2140_32	1111_37, 253_38	1005_40	1332_41, 2226_41, 3959_41	3960_42, 4450_42, 4552_43, 4553_44	3237_46
Escherichia coli KTE185 (1181731.3)	2509_18	 	1068_32	2447_38, 4102_38	2452_40, 4560_40	2921_41, 373_41	2922_42, 3504_42, 5035_42	 
Escherichia coli KTE186 (1181732.3)	4943_18	 	3401_32	1478_38	2243_40	2698_41, 392_41	1945_42, 393_42, 851_42	 
Escherichia coli KTE187 (1181733.3)	2662_18	 	1122_32	257_37, 3982_38	153_40	3064_41, 454_41	3065_42, 3503_42, 4474_42	 
Escherichia coli KTE188 (1181734.3)	2527_18	 	1072_32	4032_38, 60_37	4996_40	258_41, 2983_41	2984_42, 3427_42, 4678_42	 
Escherichia coli KTE189 (1181735.3)	2443_18	 	937_32	3853_38, 4843_37, 64_38	4738_40	180_41, 2862_41	2863_42, 3326_42, 4374_42	 
Escherichia coli KTE19 (1169338.3)	1682_18	 	61_32	3092_38, 3979_37	3874_40	2125_41, 4181_41	2126_42, 2627_42, 3566_42	 
Escherichia coli KTE190 (1181736.3)	2553_18	 	1244_32	4009_38	90_40	3002_41, 449_41	3003_42, 3511_42	 
Escherichia coli KTE191 (1181737.3)	2781_18	 	1268_32	391_38, 4192_38	5062_40	3195_41, 505_41	3196_42, 3663_42, 4751_42	 
Escherichia coli KTE192 (1181738.3)	2592_18	 	1279_32	240_37, 2534_38, 3919_38	148_40, 2538_40	2990_41, 4553_41, 524_41	2991_42, 3444_42, 4423_42	 
Escherichia coli KTE193 (1181739.3)	1130_18	 	4673_32	2642_38, 3604_37	 	1598_41, 3887_41, 4734_41	1599_42, 2127_42	843_46
Escherichia coli KTE194 (1181740.3)	2631_18	 	1110_32	2573_38, 4114_38	2578_40, 4926_40	3041_41, 418_41	3042_42, 3542_42, 4623_42	 
Escherichia coli KTE195 (1181741.3)	2391_18	 	922_32	37_38, 4084_38, 5111_37	4960_40	151_41, 2805_41	2806_42, 3282_42, 4649_42	 
Escherichia coli KTE196 (1181742.3)	2902_18	 	1476_32	4229_38, 456_37	 	1537_41, 3313_41, 734_41	3314_42, 3792_42	 
Escherichia coli KTE197 (1181743.3)	2758_18	 	1450_32	4137_38, 444_37	 	3192_41, 682_41	3193_42, 3655_42	 
Escherichia coli KTE198 (1181744.3)	2925_18	 	1253_32	249_37, 4484_38	 	3398_41, 483_41	3399_42, 3941_42	 
Escherichia coli KTE199 (1181745.3)	1726_18	 	5274_32	3247_38, 4232_37, 4380_38	4125_40	1117_41, 2146_41, 3969_41, 4516_41	2147_42, 2700_42	 
Escherichia coli KTE2 (1169324.3)	3045_18	 	1704_32	4497_38	278_40	3454_41, 663_41	3455_42, 3969_42	 
Escherichia coli KTE20 (1169339.3)	2888_18	 	1048_32	4436_38, 5505_37	5342_40	1113_41, 184_41, 3323_41	3324_42, 3838_42	 
Escherichia coli KTE200 (1181746.3)	2629_18	 	1161_32	3818_38	4598_40	3042_41, 325_41	3043_42, 3610_42	 
Escherichia coli KTE201 (1181747.3)	3069_18	 	1502_32	270_37, 4510_38	163_40	3485_41, 601_41	3486_42, 3929_42, 5014_42	 
Escherichia coli KTE202 (1181748.3)	2869_18	 	1402_32	4334_38	 	3283_41, 491_41	3284_42, 3759_42	 
Escherichia coli KTE203 (1181749.3)	3317_18	 	1977_32	181_38	921_40	1237_41, 2040_41, 3724_41	3725_42, 4203_42	3140_46
Escherichia coli KTE204 (1181750.3)	1963_18	 	660_32	3669_38	4487_40	2376_41, 4877_41	2377_42, 2881_42	 
Escherichia coli KTE205 (1181751.3)	2156_18	 	698_32	3780_38, 4817_37	4631_40	2664_41, 4461_41, 5070_41	2665_42, 3139_42, 4276_42, 532_44, 533_43	 
Escherichia coli KTE206 (1181752.3)	2405_18	 	1064_32	3795_38, 4689_37	3264_39, 4585_40	218_41, 2822_41	2823_42, 3290_42, 4275_42	 
Escherichia coli KTE207 (1181753.3)	2884_18	 	1477_32	4347_38	273_40	3294_41, 712_41	3295_42, 3759_42, 4820_42	 
Escherichia coli KTE208 (1181754.3)	2519_18	 	1034_32	4013_38	4794_40	189_41, 2952_41	2953_42, 3473_42	 
Escherichia coli KTE209 (1181755.3)	32_18	 	3447_32	1505_38, 2491_37	2320_40	2692_41, 447_41	2006_42, 448_42, 931_42	 
Escherichia coli KTE21 (1169340.3)	2920_18	 	1090_32	4406_38, 5477_37	5311_40	1156_41, 214_41, 3355_41	3356_42, 3816_42	 
Escherichia coli KTE210 (1181756.3)	2544_18	 	1280_32	3921_38	136_40	3003_41, 450_41	3004_42, 3474_42	 
Escherichia coli KTE211 (1181757.3)	2674_18	 	1392_32	400_38, 4107_38	120_40	3071_41, 515_41	1209_44, 1210_43, 3072_42, 3525_42, 4649_42	 
Escherichia coli KTE212 (1181758.3)	2345_18	 	936_32	3698_38, 4585_37	 	122_41, 2758_41	2759_42, 3229_42	 
Escherichia coli KTE213 (1181759.3)	1640_18	 	220_32	3158_38	3968_40	2151_41, 4379_41	2152_42, 2697_42	 
Escherichia coli KTE214 (1181760.3)	3406_18	 	1793_32	4852_38, 710_37	605_40	1018_41, 3821_41	234_42, 3822_42, 4268_42	 
Escherichia coli KTE215 (1181761.3)	2323_18	 	878_32	3827_38, 4712_37, 66_38	4608_40	185_41, 2734_41	2735_42, 3229_42, 4302_42	 
Escherichia coli KTE216 (1181762.3)	2739_18	 	1139_32	313_38, 4231_38	5026_40	3197_41, 427_41	3198_42, 3641_42, 4709_42, 956_44, 957_43	 
Escherichia coli KTE217 (1181763.3)	2919_18	 	1607_32	2862_38, 4362_38	2866_40, 384_40	1667_41, 3386_41, 707_41	3387_42, 3882_42, 74_42	 
Escherichia coli KTE218 (1181764.3)	2979_18	 	1649_32	4409_38, 640_37	437_40	3394_41, 877_41	3395_42, 3838_42, 4912_42	 
Escherichia coli KTE219 (1181765.3)	2062_18	 	691_32	2005_38, 3529_38, 4540_37	2010_40, 4356_40	2466_41, 4188_41, 4795_41	2467_42, 2938_42, 4006_42, 525_44, 526_43	 
Escherichia coli KTE22 (1169341.3)	1899_18	 	503_32	3433_38, 4425_37, 4590_38	 	2378_41, 4704_41	2379_42, 2893_42, 3935_42	 
Escherichia coli KTE220 (1181766.3)	1987_18	 	473_32	3443_38, 4362_37, 4507_38	4256_40	2418_41, 4625_41	2419_42, 2866_42, 3943_42	 
Escherichia coli KTE221 (1181767.3)	2545_18	 	1041_32	3991_38, 4868_37	 	141_41, 2954_41	2955_42, 3450_42	 
Escherichia coli KTE222 (1181768.3)	4156_18	 	2746_32	1695_37, 844_38	 	1983_41, 4554_41	371_42, 4555_42	 
Escherichia coli KTE223 (1181769.3)	2768_18	 	1294_32	263_37, 409_38, 4241_38	156_40	3200_41, 528_41	3201_42, 3651_42, 4745_42	 
Escherichia coli KTE224 (1181770.3)	2250_18	 	825_32	3755_38	4544_40	2661_41, 51_41	2662_42, 3160_42, 4236_42	 
Escherichia coli KTE225 (1181771.3)	3592_18	 	2108_32	95_38	869_40	1260_41, 4050_41	4051_42, 4561_42	 
Escherichia coli KTE226 (1181772.3)	2292_18	 	773_32	3762_38, 4768_37, 4876_38	4663_40	2725_41, 54_41	2726_42, 3170_42, 4261_42	 
Escherichia coli KTE227 (1181773.3)	3190_18	 	1863_32	4734_38	 	1143_41, 3600_41, 523_41	350_42, 3601_42, 4137_42	 
Escherichia coli KTE228 (1181774.3)	1100_18	 	4578_32	2600_38	3378_40	1509_41, 3755_41	1510_42, 2104_42	 
Escherichia coli KTE229 (1181775.3)	758_18	 	4349_32	2377_38, 3359_37	 	1276_41, 3624_41	1277_42, 1830_42, 2856_42	 
Escherichia coli KTE23 (1169342.3)	2537_18	 	1218_32	2479_38, 3922_38	121_40, 2484_40	1278_41, 2943_41, 454_41	2944_42, 3443_42, 4434_42	 
Escherichia coli KTE230 (1181776.3)	2406_18	 	983_32	3951_38, 60_37	4926_40	258_41, 2862_41	2863_42, 3305_42, 4602_42	 
Escherichia coli KTE231 (1169323.3)	2246_18	 	853_32	3665_38	4496_40	2657_41, 4880_41	2658_42, 3173_42	 
Escherichia coli KTE232 (1169365.3)	2213_18	 	860_32	3570_38, 4445_37	 	2631_41, 33_41	2632_42, 3104_42	 
Escherichia coli KTE233 (1181777.3)	17_18	 	3371_32	1483_38	2278_40	2074_41, 2591_41, 3431_41, 463_41	464_42, 969_42	 
Escherichia coli KTE234 (1181778.3)	2800_18	 	1390_32	4266_38	339_40	1517_41, 3270_41, 676_41	3271_42, 3805_42	 
Escherichia coli KTE235 (1181779.3)	1887_18	 	394_32	3434_38	4220_40	2300_41, 4597_41	2301_42, 2907_42	 
Escherichia coli KTE236 (1181780.3)	2291_18	 	718_32	3803_38, 4796_37, 4945_38	4689_40	2710_41, 4531_41, 5083_41, 817_41	2711_42, 3259_42	 
Escherichia coli KTE237 (1181781.3)	2672_18	 	966_32	4186_38, 5172_37, 59_38	5064_40	1200_41, 203_41, 3095_41, 4910_41	3096_42, 3648_42	 
Escherichia coli KTE24 (1169343.3)	1657_18	 	1959_32	4217_38	5118_40	1894_41, 292_41, 3181_41	3182_42, 3684_42	 
Escherichia coli KTE240 (1181782.3)	2307_18	 	1166_32	141_37, 3719_38	 	2732_41, 450_41	2733_42, 3187_42, 4197_42	 
Escherichia coli KTE25 (1169344.3)	2837_18	 	1573_32	2779_38, 4330_38	2784_40, 425_40	1633_41, 3353_41, 755_41	3354_42, 3849_42, 4812_42	 
Escherichia coli KTE26 (1169345.3)	2599_18	 	1129_32	4083_38	4860_40	276_41, 3010_41	3011_42, 3529_42	 
Escherichia coli KTE27 (1169346.3)	2911_18	 	824_32	1724_37, 4453_38	 	3380_41, 51_41	3381_42, 3912_42, 4935_42	 
Escherichia coli KTE28 (1169347.3)	2365_18	 	800_32	2309_38, 3773_38	2314_40, 4567_40	2838_41, 62_41	2839_42, 3293_42, 4248_42	2123_46
Escherichia coli KTE29 (1169348.3)	1924_18	 	609_32	3307_38	4044_40	2368_41, 4355_41	2369_42, 2866_42	1745_46
Escherichia coli KTE3 (1169316.3)	2822_18	 	1450_32	422_37, 4318_38	 	3268_41, 731_41	3269_42, 3731_42, 4799_42	 
Escherichia coli KTE31 (1169349.3)	2585_18	 	1346_32	341_38	3387_39	1407_41, 3017_41, 613_41	3018_42, 3424_42	1743_46
Escherichia coli KTE33 (1169351.3)	1081_18	 	1796_32	2802_38	3134_39	1509_41, 1734_41, 2531_41	1510_42, 3170_42	238_46
Escherichia coli KTE34 (1169352.3)	2330_18	 	3054_32	234_37, 4254_38	 	3229_41, 481_41	3230_42, 3686_42	2047_46
Escherichia coli KTE35 (1169320.3)	2333_18	 	3059_32	233_37, 4262_38	 	3236_41, 482_41	3237_42, 3701_42	2058_46
Escherichia coli KTE36 (1169353.3)	2836_18	 	1080_32	4202_38	5178_40	1147_41, 295_41, 3106_41	3107_42, 3671_42	 
Escherichia coli KTE37 (1169354.3)	2266_18	 	929_32	4361_38, 5358_37	5190_40	118_41, 3240_41, 994_41	3241_42, 3782_42	 
Escherichia coli KTE38 (1169355.3)	2184_18	 	942_32	4216_38, 5202_37	5031_40	1007_41, 123_41, 3142_41	3143_42, 3678_42	 
Escherichia coli KTE39 (1169356.3)	2824_18	 	1308_32	206_37, 4265_38	100_40	3236_41, 512_41	3237_42, 3680_42, 4788_42	 
Escherichia coli KTE4 (1169325.3)	2399_18	 	1039_32	3903_38, 4884_37	 	2845_41, 314_41	2846_42, 3311_42, 4385_42	 
Escherichia coli KTE40 (1169357.3)	2122_18	 	645_32	3467_38	4212_40	1082_41, 2548_41, 4068_41, 4526_41, 763_41	2549_42, 2992_42	 
Escherichia coli KTE41 (1169358.3)	2797_18	 	1400_32	4259_38	163_40	3213_41, 4865_41, 493_41	3214_42, 3682_42	 
Escherichia coli KTE42 (1169359.3)	2889_18	 	1559_32	4260_38, 523_37	1012_40	1011_41, 3304_41, 749_41	3305_42, 3787_42	 
Escherichia coli KTE43 (1169360.3)	2245_18	 	838_32	3590_38	4371_40	2652_41, 52_41	2653_42, 3104_42, 4064_42	 
Escherichia coli KTE44 (1169361.3)	2976_18	 	1226_32	256_37, 4557_38	 	3561_41, 490_41	3562_42, 4024_42	 
Escherichia coli KTE45 (1169362.3)	2692_18	 	1297_32	2636_38, 393_37, 4103_38	2640_40, 288_40, 3606_39	3100_41, 4717_41, 591_41	3101_42, 3628_42, 4582_42	 
Escherichia coli KTE46 (1182653.3)	2025_18	 	639_32	1968_38, 3435_38, 4323_37	1973_40, 2940_39, 4218_40	2430_41, 4048_41, 4521_41	2431_42, 2962_42, 3914_42	 
Escherichia coli KTE47 (1182654.3)	2587_18	 	1132_32	3976_38	90_40	1193_41, 2996_41, 433_41	2997_42, 3478_42, 4441_42	 
Escherichia coli KTE48 (1182655.3)	3073_18	 	1677_32	4459_38	544_40	3470_41, 392_41, 863_41	3471_42, 3966_42	 
Escherichia coli KTE49 (1182656.3)	3027_18	 	1452_32	4455_38, 588_38	303_40	1512_41, 3441_41, 707_41	1270_44, 1271_43, 3442_42, 3896_42, 4926_42	 
Escherichia coli KTE5 (1169326.3)	2156_18	 	552_32	3771_38, 4755_37	 	2671_41, 5050_41	2672_42, 3223_42, 4251_42	 
Escherichia coli KTE50 (1182657.3)	3909_18	 	2466_32	542_38	 	1658_41, 4317_41	4318_42, 4792_42	 
Escherichia coli KTE51 (1182658.3)	2959_18	 	1348_32	364_37, 4492_38	 	3412_41, 618_41	3413_42, 3877_42	 
Escherichia coli KTE53 (1182660.3)	2770_18	 	1155_32	229_37, 4346_38	122_40	3181_41, 462_41	3182_42, 3675_42, 4872_42	 
Escherichia coli KTE54 (1182661.3)	3285_18	 	2065_32	178_38	946_40	1259_41, 3688_41	3689_42, 4179_42	 
Escherichia coli KTE55 (1182662.3)	2934_18	 	1458_32	226_37, 4481_38	 	3404_41, 610_41	3405_42, 3968_42, 4960_42	 
Escherichia coli KTE56 (1182663.3)	36_18	 	3248_32	1379_38	 	2532_41, 456_41	457_42, 882_42	4461_46
Escherichia coli KTE57 (1182664.3)	3658_18	 	2147_32	216_37, 4288_38	112_40	4063_41, 418_41, 4953_41	1246_42, 1983_44, 1984_43, 4064_42, 4763_42	 
Escherichia coli KTE58 (1182665.3)	2837_18	 	1426_32	4303_38, 440_37, 602_38	 	3248_41, 717_41	3249_42, 3761_42, 4852_42	 
Escherichia coli KTE59 (1182666.3)	2757_18	 	1363_32	305_37, 4225_38, 468_38	 	3166_41, 578_41	3167_42, 3683_42, 4857_42	 
Escherichia coli KTE6 (1169327.3)	4571_18	 	2988_32	1058_38	1906_40	2238_41, 3047_41, 4984_41	1596_42, 2806_44, 2807_43, 479_42, 4985_42	 
Escherichia coli KTE60 (1182667.3)	2774_18	 	1254_32	223_37, 4108_38	118_40	3182_41, 421_41	3183_42, 3624_42, 4603_42	 
Escherichia coli KTE61 (1182668.3)	2268_18	 	870_32	3790_38, 4725_37	 	128_41, 2728_41	2729_42, 3262_42	 
Escherichia coli KTE62 (1182669.3)	2855_18	 	1400_32	303_37, 4519_38	 	3320_41, 629_41	3321_42, 3976_42, 4996_42	 
Escherichia coli KTE63 (1182670.3)	2922_18	 	1481_32	4358_38, 452_37, 600_38	281_40	3347_41, 720_41	3348_42, 3788_42, 4861_42	 
