Organism	GlyA	GlyB	Tdh	Kbl	GlyTrns
Escherichia coli 99.1805 (1005436.3)	3074	5037	4166	4167_4	5100_7
Escherichia coli AA86 (1004153.3)	2708	955	3876	3203_5, 3877_4	4587_7
Escherichia coli ABU 83972 (655817.3)	2973	959	4240	3534_5, 4241_4	4966_7
Escherichia coli AD30 (1169664.3)	855	3106	3750	1195_5, 3749_4	2399_7
Escherichia coli AI27 (1089445.3)	3178	4324	1751	1752_4, 258_5	58_7
Escherichia coli APEC O1 (405955.13)	2831	833	4067	3394_5, 4068_4	4793_7
Escherichia coli APEC O78 (1274814.3)	3379	1663	4493	3822_5, 4494_4	406_7
Escherichia coli ARS4.2123 (1005563.3)	2920	949	3969	3332_5, 3970_4	4615_7
Escherichia coli ATCC 25922 (1322345.3)	1968	4839	236	235_4, 3249_5	3619_7
Escherichia coli B088 (550672.3)	2284	1145	3687	3226_5, 3688_4	4561_7
Escherichia coli B093 (550674.3)	2799	3484	2534	2533_4, 306_5	1284_7
Escherichia coli B185 (550676.3)	1757	338	3813	3137_5, 3814_4	4485_7
Escherichia coli B354 (550677.3)	2435	2143	4193	3542_5, 4194_4	208_7
Escherichia coli B41 (869694.4)	2352	437	3953	2884_5, 3954_4	4565_7
Escherichia coli B799 (550682.3)	1181	3394	2482	1827_5, 2483_4	4167_7
Escherichia coli B str. REL606 (413997.3)	2562	916	3649	2990_5, 3650_4	4305_7
Escherichia coli BCE001_MS16 (1116037.3)	2643	837	3978	3095_5, 3979_4	4560_7
Escherichia coli BCE002_MS12 (1116112.3)	2843	1083	3995	3328_5, 3996_4	4567_7
Escherichia coli BCE006_MS-23 (1125637.3)	2750	919	4004	3310_5, 4005_4	4635_7
Escherichia coli BCE007_MS-11 (1116113.3)	2871	1122	4148	3543_5, 4149_4	4803_7, 4968_7
Escherichia coli BCE008_MS-13 (1116471.3)	3058	1024	4437	3749_5, 4438_4	5144_7
Escherichia coli BCE011_MS-01 (1116114.3)	2609	883	3760	3117_5, 3761_4	4355_7
Escherichia coli BCE019_MS-13 (1116115.3)	2713	892	4050	3274_5, 4051_4	4669_7
Escherichia coli BCE030_MS-09 (1116116.3)	2733	940	4003	3279_5, 4004_4	4630_7
Escherichia coli BCE032_MS-12 (1116117.3)	2727	909	3985	3280_5, 3986_4	4624_7
Escherichia coli BCE034_MS-14 (1116118.3)	3172	1194	4429	3784_5, 4430_4	5107_7
Escherichia coli BL21 (511693.5)	2576	941	3666	3000_5, 3667_4	4326_7
Escherichia coli BL21(DE3) (469008.4)	1160	2822	114	113_4	3965_7
Escherichia coli C-34666 (1116002.3)	3464	1483	4654	3937_5, 4655_4	5281_7
Escherichia coli C639_08 (1126911.3)	142	4504	751	3831_5, 750_4	2907_7
Escherichia coli C844_97 (1126932.3)	290	1006	509	508_4, 696_5	3750_7
Escherichia coli ATCC 8739 (481805.6)	1202	2920	98	755_5, 97_4	4065_7
Escherichia coli CB7326 (1005559.3)	3316	976	4451	4452_4	5124_7
Escherichia coli CFT073 (199310.4)	2899	956	4168	3493_5, 4169_4	4971_7
Escherichia coli CUMT8 (752790.3)	3122	4341	1943	1942_4, 510_5	3379_7
Escherichia coli DEC10A (868180.3)	3440	1094	5001	3973_5, 5000_4	5395_7
Escherichia coli DEC10B (868181.3)	3931	1351	5304	4452_5, 5303_4	5756_7
Escherichia coli DEC10C (868182.3)	3889	1296	5359	4428_5, 5358_4	5759_7
Escherichia coli DEC10D (868183.3)	3402	1059	4736	3931_5, 4735_4	5265_7
Escherichia coli DEC10E (868184.3)	2967	1046	4540	3482_5, 4539_4	4892_7
Escherichia coli DEC10F (868185.3)	3769	1461	5306	4371_5, 5305_4	82_7
Escherichia coli DEC11A (868186.3)	2926	856	4237	3549_5, 4238_4	4848_7
Escherichia coli DEC11B (868187.3)	2985	893	4214	3472_5, 4215_4	4894_7
Escherichia coli DEC11C (868188.3)	3072	1001	4467	3675_5, 4468_4	5047_7
Escherichia coli DEC11D (868189.3)	3223	1314	4452	3746_5, 4453_4	5120_7
Escherichia coli DEC11E (868190.3)	2875	980	4131	3456_5, 4132_4	4735_7
Escherichia coli DEC12A (868191.3)	3051	1044	4274	4275_4	5013_7
Escherichia coli DEC12B (868192.3)	3451	1267	5000	4999_4	5578_7
Escherichia coli DEC12C (868193.3)	3562	1499	4858	4859_4	5514_7
Escherichia coli DEC12D (868194.3)	3334	1171	4715	4714_4	5328_7
Escherichia coli DEC12E (868195.3)	3035	792	4208	4209_4	4910_7
Escherichia coli DEC13A (868196.3)	2738	1057	3916	3247_5, 3917_4	50_7
Escherichia coli DEC13B (868197.3)	2504	821	3674	3017_5, 3675_4	4340_7
Escherichia coli DEC13C (868198.3)	3164	1066	4382	3668_5, 3669_5, 4383_4	5094_7
Escherichia coli DEC13D (868199.3)	2882	1035	3986	3338_5, 3987_4	4707_7
Escherichia coli DEC13E (868200.3)	2896	938	4053	3395_5, 4054_4	4680_7
Escherichia coli DEC14A (868201.3)	2727	844	3893	3212_5, 3894_4	4524_7
Escherichia coli DEC14B (868202.3)	3122	1312	4324	3663_5, 4325_4	5090_7
Escherichia coli DEC14C (868203.3)	2997	1093	4209	3540_5, 4210_4	4997_7, 4998_7
Escherichia coli DEC14D (868204.3)	3012	1134	4175	3500_5, 4176_4	4899_7
Escherichia coli DEC15A (868206.3)	3205	909	4657	3658_5, 4656_4	5059_7
Escherichia coli DEC15B (868207.3)	2903	751	4123	3460_5, 4124_4	4893_7
Escherichia coli DEC15C (868208.3)	2866	725	4032	3372_5, 4033_4	4782_7
Escherichia coli DEC15D (868209.3)	2772	731	3975	3320_5, 3976_4	4716_7
Escherichia coli DEC15E (868210.3)	3162	990	4314	3650_5, 4315_4	5067_7
Escherichia coli DEC1A (868133.3)	2937	1061	4082	3439_5, 4083_4	4731_7
Escherichia coli DEC1B (868134.3)	2924	1002	4150	3509_5, 4151_4	4937_7
Escherichia coli DEC1C (868135.3)	3176	1060	4397	3752_5, 4398_4	5150_7
Escherichia coli DEC1D (868136.3)	3448	1471	4408	3938_5, 4409_4	388_7
Escherichia coli DEC1E (868137.3)	3102	1122	4258	3620_5, 4259_4	5019_7
Escherichia coli DEC2A (868138.3)	3097	1217	4225	3465_5, 4226_4	5001_7
Escherichia coli DEC2B (868139.3)	3050	1048	4207	3559_5, 4208_4	5005_7
Escherichia coli DEC2C (868140.3)	2949	938	4154	3512_5, 4155_4	4975_7
Escherichia coli DEC2D (868141.3)	3114	1168	4283	3638_5, 4284_4	5000_7
Escherichia coli DEC2E (868142.3)	2505	 	3749	3094_5, 3750_4	4551_7
Escherichia coli DEC3A (868143.3)	3401	1006	4543	4544_4	5107_7
Escherichia coli DEC3B (868144.3)	3490	824	4637	4638_4	5285_7
Escherichia coli DEC3C (868145.3)	3764	1143	4836	4837_4	4_7
Escherichia coli DEC3D (868146.3)	3452	948	4585	4586_4	5145_7
Escherichia coli DEC3E (868147.3)	3624	1231	4788	4789_4	5413_7
Escherichia coli DEC3F (868148.3)	3691	1263	4771	4772_4	130_7
Escherichia coli DEC4A (868149.3)	3174	846	3961	3962_4	4643_7
Escherichia coli DEC4B (868150.3)	3401	831	4520	4521_4	5328_7
Escherichia coli DEC4E (868153.3)	3472	1059	4608	4609_4	5161_7
Escherichia coli DEC4F (868154.3)	3284	818	4345	4346_4	4964_7
Escherichia coli DEC5A (868155.3)	3072	942	784	3657_5, 785_4	4915_7
Escherichia coli DEC5B (868156.3)	3228	1194	4612	3935_5, 4613_4	5266_7
Escherichia coli DEC5C (868157.3)	3173	1272	4442	3750_5, 4443_4	5120_7
Escherichia coli DEC5D (868158.3)	3230	1363	4426	3739_5, 4427_4	79_7
Escherichia coli DEC5E (868159.3)	3031	862	4330	3649_5, 4331_4	5077_7
Escherichia coli DEC6A (868160.3)	3087	995	4283	3616_5, 4284_4	4902_7
Escherichia coli DEC6B (868161.3)	3383	998	4518	3911_5, 4519_4	5177_7
Escherichia coli DEC6C (868162.3)	3242	1107	4404	4405_4	5049_7
Escherichia coli DEC6D (868163.3)	3107	1102	4282	4283_4	4925_7
Escherichia coli DEC6E (868164.3)	2985	825	4110	4111_4	4922_7
Escherichia coli DEC7A (868165.3)	3090	1249	4312	3647_5, 4313_4	5037_7
Escherichia coli DEC7B (868166.3)	2748	963	3837	3170_5, 3838_4	4458_7
Escherichia coli DEC7C (868167.3)	2936	932	4102	3432_5, 4103_4	4822_7
Escherichia coli DEC7D (868168.3)	2975	1084	4294	3630_5, 4295_4	5013_7
Escherichia coli DEC7E (868169.3)	2799	827	4214	3299_5, 4215_4	4686_7
Escherichia coli DEC8A (868170.3)	3069	1041	4259	3586_5, 4260_4	4958_7
Escherichia coli DEC8B (868171.3)	3416	915	4518	3972_5, 4519_4	5207_7
Escherichia coli DEC8C (868172.3)	3828	1185	5130	4454_5, 5131_4	5857_7
Escherichia coli DEC8D (868173.3)	3296	1277	4669	3940_5, 4670_4	5226_7
Escherichia coli DEC8E (868174.3)	3514	1176	4717	4051_5, 4718_4	5301_7
Escherichia coli DEC9A (868175.3)	3221	1038	4758	3847_5, 4757_4	5259_7
Escherichia coli DEC9C (868177.3)	3049	1019	4458	3644_5, 4457_4	4916_7
Escherichia coli DEC9D (868178.3)	3191	1194	4507	3797_5, 4508_4	5297_7
Escherichia coli DEC9E (868179.3)	3329	1068	4798	3983_5, 4797_4	5336_7
Escherichia coli DH1 (536056.3)	1174	2926	91	90_4	4021_7
Escherichia coli E101 (550685.3)	3328	767	3921	1383_5, 3922_4	212_7
Escherichia coli E1167 (656372.3)	1908	4052	4258	398_5, 4257_4	1497_7
Escherichia coli E128010 (670894.3)	4407	4042	2991	2990_4	1778_7
Escherichia coli E1520 (656374.3)	2563	719	4005	2894_5, 4004_4	3493_7
Escherichia coli E2348/69 (216593.1)	162	1516	4359	4360_4, 5180_5	3776_7
Escherichia coli E24377A (331111.12)	3115	1234	4361	3718_5, 4362_4	4978_7
Escherichia coli E482 (550687.3)	2180	675	3976	1752_5, 3975_4	3480_7
Escherichia coli EC1734 (1005536.3)	3516	1082	4732	4733_4	5443_7
Escherichia coli EC1735 (1005537.3)	3341	1077	4474	4475_4	5217_7
Escherichia coli EC1736 (1005538.3)	3303	959	4442	4443_4	5143_7
Escherichia coli EC1737 (1005539.3)	3232	962	4354	4355_4	3081_7
Escherichia coli EC1738 (1005535.3)	3565	1121	4026	4027_4	43_7
Escherichia coli EC1845 (1005540.3)	3201	943	4308	4309_4	4967_7
Escherichia coli EC1846 (1005541.3)	3305	961	4425	4426_4	5044_7
Escherichia coli EC1847 (1005542.3)	3314	949	4438	4439_4	3162_7
Escherichia coli EC1848 (1005543.3)	3549	1200	4689	4690_4	12_7
Escherichia coli EC1849 (1005544.3)	3271	976	4443	4444_4	5120_7
Escherichia coli EC1850 (1005545.3)	3471	1130	4606	4607_4	5277_7
Escherichia coli EC1856 (1005546.3)	3320	997	4459	4460_4	5142_7
Escherichia coli EC1862 (1005547.3)	3237	943	4340	4341_4	4994_7
Escherichia coli EC1863 (1005548.3)	3028	776	4156	4157_4	4850_7
Escherichia coli EC1864 (1005549.3)	3447	1152	4587	4588_4	5291_7
Escherichia coli EC1865 (1005550.3)	3481	1176	4633	3973_5, 4634_4	5353_7
Escherichia coli EC1866 (1005551.3)	3159	795	4296	4297_4	4962_7
Escherichia coli EC1869 (1005553.3)	3450	1125	4594	4595_4	5300_7
Escherichia coli EC1870 (1005554.3)	3220	894	4368	4369_4	5072_7
Escherichia coli EC302/04 (1230480.3)	4378	1018	962	2343_5, 963_4	81_7
Escherichia coli EC4013 (1005529.3)	3525	1252	4614	4615_4	100_7
Escherichia coli EC4196 (1005524.3)	3211	8	4333	4334_4	4988_7
Escherichia coli EC4203 (1005523.3)	3233	938	4350	4351_4	5007_7
Escherichia coli EC4402 (1005530.3)	3276	1050	4370	4371_4	5014_7
Escherichia coli EC4421 (1005527.3)	3168	949	4286	4287_4	4939_7
Escherichia coli EC4422 (1005528.3)	3412	1186	4532	4533_4	5187_7
Escherichia coli EC4436 (1005532.3)	3244	972	4375	4376_4	5047_7
Escherichia coli EC4437 (1005533.3)	3459	1183	4591	4592_4	5273_7
Escherichia coli EC4439 (1005531.3)	3191	945	4305	4306_4	4960_7
Escherichia coli EC4448 (1005534.3)	3365	1102	4485	4486_4	5141_7
Escherichia coli ED1a (585397.9)	2986	845	4295	3623_5, 4296_4	5035_7
Escherichia coli EPEC C342-62 (766166.3)	3112	1186	4535	4536_4	5172_7
Escherichia coli EPECa12 (670896.3)	2881	840	4148	3468_5, 3469_5, 4149_4	4851_7
Escherichia coli EPECa14 (670893.4)	1906	2227	2582	2583_4	1990_7
Escherichia coli ETEC H10407 (316401.4)	3084	1082	4388	3693_5, 4389_4	5176_7
Escherichia coli Envira 10/1 (1115998.3)	3445	1353, 1354	4708	4026_5, 4709_4	5330_7
Escherichia coli Envira 8/11 (1115997.3)	3400	1464, 1465	4748	4096_5, 4749_4	5391_7
Escherichia coli FDA504 (1005470.3)	3480	1211	4613	4614_4	5277_7
Escherichia coli FDA505 (1005471.3)	3226	1024	4364	4365_4	5007_7
Escherichia coli FDA506 (1005474.3)	3755	1514	4901	4902_4	280_7
Escherichia coli FDA507 (1005472.3)	3433	1066	4576	4577_4	5245_7
Escherichia coli FDA517 (1005473.3)	3528	1195	4644	4645_4	5309_7
Escherichia coli FRIK1985 (1005476.3)	3471	1144	4572	4573_4	5224_7
Escherichia coli FRIK1990 (1005478.3)	3216	950	4320	4321_4	4974_7
Escherichia coli FRIK1996 (1005475.3)	3388	1209	4506	4507_4	5177_7
Escherichia coli FRIK1997 (1005480.3)	3482	1123	4627	4628_4	5320_7
Escherichia coli FRIK1999 (1005477.3)	3502	1213	4646	4647_4	5329_7
Escherichia coli FRIK2001 (1005479.3)	3844	1501	4983	4984_4	273_7
Escherichia coli FRIK523 (1005482.3)	3511	1223	4653	4654_4	5321_7
Escherichia coli FRIK920 (1005483.3)	3922	1301	5066	5067_4	5702_7
Escherichia coli FVEC1302 (656379.3)	3186	1719	4954	3715_5, 4955_4	585_7
Escherichia coli FVEC1412 (656380.3)	2635	1546	4742	3636_5, 4743_4	576_7
Escherichia coli G58-1 (754078.3)	2856	1079	3976	3977_4	4609_7
Escherichia coli H120 (656383.3)	3916	1330	4303	1802_5, 4304_4	2486_7
Escherichia coli H252 (656388.3)	4630	322	3906	2241_5, 3907_4	3208_7
Escherichia coli H263 (656390.3)	3136	608	3941	1221_5, 3940_4	3320_7
Escherichia coli H299 (656393.3)	3565	1630	4712	4017_5, 4713_4	437_7
Escherichia coli H30 (869673.3)	4633	1565	3488	3487_4	2769_7
Escherichia coli H397 (656398.3)	43	2061	4464	3799_5, 4465_4	3015_7
Escherichia coli H489 (656404.3)	2398	631	3747	3748_4	3330_7
Escherichia coli H494 (656405.3)	38	2516	4330	4329_4	1595_7
Escherichia coli H591 (656408.3)	2844	927	4070	3377_5, 4071_4	4717_7
Escherichia coli H730 (656413.3)	3639	1323	2670	1998_5, 2671_4	122_7
Escherichia coli H736 (656414.3)	2924	1076	4137	3438_5, 4138_4	4777_7
Escherichia coli HM26 (1308540.3)	1498	2417	3742	1565_5, 3743_4	4_7
Escherichia coli HM46 (1308982.3)	4160	4042	3815	3816_4, 889_5	2491_7
Escherichia coli HM605 (752789.3)	3565	472	2326	2325_4, 2998_5	1591_7
Escherichia coli HS (331112.6)	2651	942	3740	3086_5, 3741_4	4344_7
Escherichia coli IAI1 (585034.5)	2574	895	3704	3066_5, 3705_4	4315_7
Escherichia coli IAI39 (585057.6)	2863	898	4288	3603_5, 4289_4	4826_7
Escherichia coli IHE3034 (714962.3)	2941	879	4101	3433_5, 4102_4	4757_7
Escherichia coli J53 (1144303.3)	1232	2956	145	144_4	4072_7
Escherichia coli JB1-95 (869682.4)	1490	2244	5513	3050_5, 5512_4	2051_7
Escherichia coli Jurua 18/11 (1115999.3)	2759	1008	4040	3268_5, 4041_4	4715_7
Escherichia coli Jurua 20/10 (1116000.3)	2773	898	4075	3399_5, 4076_4	4706_7
Escherichia coli BW2952 (595496.3)	2535	797	3618	3619_4	4283_7
Escherichia coli str. K-12 substr. DH10B (316385.7)	2747	950	3836	3837_4	4444_7
Escherichia coli str. K-12 substr. MDS42 (1110693.3)	2087	720	3051	3052_4	3648_7
Escherichia coli str. K-12 substr. MG1655 (511145.12)	2653	899	3736	3737_4	4340_7
Escherichia coli str. K-12 substr. MG1655star (879462.4)	2588	864	3664	3665_4	4250_7
Escherichia coli str. K-12 substr. W3110 (316407.9)	2589	865	3686	3685_4	4246_7
Escherichia coli W3110 (316407.3)	2473	837	3511	3510_4	4044_7
Escherichia coli KD2 (752784.3)	3811	1569	1148	1149_4, 3358_5	2866_7
Escherichia coli KO11 (595495.5)	1211	3004	105	104_4, 745_5	4170_7
Escherichia coli KTE1 (1169315.3)	3565	1700	4809	4810_4	400_7
Escherichia coli KTE10 (1169330.3)	4808	2936	1066	1067_4, 377_5	1790_7
Escherichia coli KTE100 (1182699.3)	3591	1684	4833	4109_5, 4834_4	512_7
Escherichia coli KTE101 (1182700.3)	1403	4254	2544	1886_5, 2545_4	3173_7
Escherichia coli KTE102 (1182701.3)	4087	2286	518	519_4	1274_7
Escherichia coli KTE103 (1182702.3)	3631	1611	4788	4789_4	463_7
Escherichia coli KTE104 (1169372.3)	2706	928	3865	3161_5, 3866_4	4525_7
Escherichia coli KTE105 (1169373.3)	2689	929	3874	3197_5, 3875_4	4474_7
Escherichia coli KTE106 (1169374.3)	2617	894	3764	3064_5, 3765_4	4440_7
Escherichia coli KTE107 (1182703.3)	3248	1391	4422	3762_5, 4423_4	220_7
Escherichia coli KTE108 (1182704.3)	4608	2636	813	814_4	1539_7
Escherichia coli KTE109 (1169375.3)	2653	1013	3758	3093_5, 3759_4	4401_7
Escherichia coli KTE11 (1169331.3)	2238	642	3516	2653_5, 3515_4	3903_7
Escherichia coli KTE111 (1182706.3)	3293	1545	4412	3748_5, 4413_4	471_7
Escherichia coli KTE112 (1169376.3)	2990	973	4172	3495_5, 4173_4	4825_7
Escherichia coli KTE113 (1169377.3)	2991	1276	4124	3446_5, 4125_4	69_7
Escherichia coli KTE114 (1169321.3)	4335	2750	1182	1183_4, 570_5	830_7
Escherichia coli KTE115 (1182707.3)	2777	925	3930	3281_5, 3931_4	4564_7
Escherichia coli KTE116 (1182708.3)	3703	1821	4988	4989_4	532_7
Escherichia coli KTE117 (1169378.3)	2688	938	3765	3134_5, 3766_4	4369_7
Escherichia coli KTE118 (1182709.3)	3639	1801	4869	4209_5, 4870_4	732_7
Escherichia coli KTE119 (1182710.3)	3232	1365	4352	3678_5, 4353_4	195_7
Escherichia coli KTE12 (1169332.3)	2687	851	3778	3126_5, 3779_4	4461_7
Escherichia coli KTE120 (1169379.3)	2938	1002	4090	3415_5, 4091_4	4718_7
Escherichia coli KTE121 (1182711.3)	2196	285	3479	2828_5, 3480_4	4203_7
Escherichia coli KTE122 (1169380.3)	3044	1108	1916	1917_4	4713_7
Escherichia coli KTE123 (1182712.3)	4920	3144	1234	1235_4, 572_5	1985_7
Escherichia coli KTE124 (1169381.3)	2868	970	4035	3307_5, 4036_4	4714_7
Escherichia coli KTE125 (1169382.3)	2888	981	4026	3364_5, 4027_4	4630_7
Escherichia coli KTE126 (1182713.3)	3836	2034	4238	4239_4, 954_5	214_7
Escherichia coli KTE127 (1182714.3)	3673	1737	4934	4265_5, 4935_4	496_7
Escherichia coli KTE128 (1169383.3)	2767	1055	3927	3251_5, 3928_4	4559_7
Escherichia coli KTE129 (1169384.3)	2779	927	3941	3251_5, 3942_4	4654_7
Escherichia coli KTE13 (1169318.3)	2672	845	3761	3111_5, 3762_4	4441_7
Escherichia coli KTE130 (1182715.3)	3480	1519	4685	3996_5, 4686_4	287_7
Escherichia coli KTE131 (1169385.3)	2673	937	3798	3123_5, 3799_4	4474_7
Escherichia coli KTE132 (1182716.3)	3508	1468	4729	4028_5, 4730_4	322_7
Escherichia coli KTE133 (1169386.3)	2679	963	3803	3133_5, 3804_4	4453_7
Escherichia coli KTE134 (1182717.3)	2116	3647	862	1530_5, 861_4	252_7
Escherichia coli KTE135 (1182718.3)	4465	2677	1047	1048_4, 404_5	1651_7
Escherichia coli KTE136 (1182719.3)	2950	1329	4056	4057_4	213_7
Escherichia coli KTE137 (1169387.3)	2744	939	3897	3164_5, 3898_4	4573_7
Escherichia coli KTE138 (1169388.3)	2590	849	3712	3059_5, 3713_4	4308_7
Escherichia coli KTE139 (1169389.3)	2630	983	3751	3074_5, 3752_4	4418_7
Escherichia coli KTE14 (1169333.3)	3083	760	4235	3575_5, 4236_4	4842_7
Escherichia coli KTE140 (1182720.3)	3390	1533	4524	3869_5, 4525_4	249_7
Escherichia coli KTE141 (1182721.3)	3147	1276	4255	3581_5, 4256_4	248_7
Escherichia coli KTE142 (1182722.3)	1916	426	3033	2373_5, 3034_4	3708_7
Escherichia coli KTE143 (1182723.3)	2970	1084	4342	4341_4	4955_7
Escherichia coli KTE144 (1182724.3)	2474	693	3596	2932_5, 3597_4	4205_7
Escherichia coli KTE145 (1169390.3)	2709	956	3896	3207_5, 3897_4	4551_7
Escherichia coli KTE146 (1182725.3)	3300	1520	4691	4025_5, 4692_4	353_7
Escherichia coli KTE147 (1182726.3)	1351	4176	2454	1793_5, 2455_4	3063_7
Escherichia coli KTE148 (1169391.3)	2747	877	3869	3193_5, 3870_4	4569_7
Escherichia coli KTE15 (1169334.3)	2482	655	3817	2978_5, 3818_4	4605_7
Escherichia coli KTE150 (1169392.3)	2719	1074	3839	3169_5, 3840_4	4519_7
Escherichia coli KTE153 (1169393.3)	2699	969	3858	3147_5, 3859_4	4537_7
Escherichia coli KTE154 (1182728.3)	570	3505	1707	1026_5, 1708_4	2361_7
Escherichia coli KTE155 (1182729.3)	2975	1764	4082	3423_5, 4083_4	223_7
Escherichia coli KTE156 (1182730.3)	3306	1544	4424	3762_5, 4425_4	525_7
Escherichia coli KTE157 (1169394.3)	2594	877	3784	3062_5, 3785_4	4478_7
Escherichia coli KTE158 (1182731.3)	3390	1643	4549	3892_5, 4550_4	368_7
Escherichia coli KTE159 (1182732.3)	2508	827	3720	2924_5, 3721_4	4172_7
Escherichia coli KTE16 (1169335.3)	3385	1588	4838	4113_5, 4839_4	398_7
Escherichia coli KTE160 (1169395.3)	2692	933	3868	3122_5, 3869_4	4537_7
Escherichia coli KTE161 (1182733.3)	4911	3130	1141	1142_4, 585_5	1819_7
Escherichia coli KTE162 (1182734.3)	2931	1125	4124	3457_5, 4125_4	4783_7
Escherichia coli KTE163 (1169396.3)	2892	991	4019	3359_5, 4020_4	4648_7
Escherichia coli KTE165 (1182735.3)	4492	2810	1063	1064_4, 399_5	1722_7
Escherichia coli KTE166 (1169397.3)	2748	1008	3892	3194_5, 3893_4	4505_7
Escherichia coli KTE167 (1169398.3)	2522	770	3705	2954_5, 3706_4	4375_7
Escherichia coli KTE168 (1169399.3)	2753	1041	3919	3200_5, 3920_4	4573_7
Escherichia coli KTE169 (1182736.3)	2829	993	4055	3385_5, 4056_4	4797_7
Escherichia coli KTE17 (1169336.3)	3133	1437	4242	3582_5, 4243_4	434_7
Escherichia coli KTE170 (1182737.3)	3506	1577	4709	4710_4	323_7
Escherichia coli KTE171 (1182738.3)	3279	1337	4350	4351_4	255_7
Escherichia coli KTE172 (1279005.3)	1762	4808	2965	2966_4	3564_7
Escherichia coli KTE173 (1181724.3)	3197	1448	4719	4044_5, 4720_4	305_7
Escherichia coli KTE174 (1169400.3)	2818	959	4029	3357_5, 4030_4	4701_7
Escherichia coli KTE175 (1181725.3)	3550	1488	4804	4119_5, 4805_4	338_7
Escherichia coli KTE176 (1169401.3)	2639	914	3860	3118_5, 3861_4	4564_7
Escherichia coli KTE177 (1169402.3)	2723	959	3924	3252_5, 3925_4	4532_7
Escherichia coli KTE178 (1181726.3)	3435	1403	4635	3972_5, 4636_4	284_7
Escherichia coli KTE179 (1169403.3)	2711	937	3946	3266_5, 3947_4	4602_7
Escherichia coli KTE18 (1169337.3)	3142	1443	4260	3597_5, 4261_4	256_7
Escherichia coli KTE180 (1169404.3)	2813	981	3980	3280_5, 3981_4	4653_7
Escherichia coli KTE181 (1181727.3)	2534	518	3768	3769_4	4365_7
Escherichia coli KTE182 (1181728.3)	2806	831	4108	3418_5, 4109_4	5016_7
Escherichia coli KTE183 (1181729.3)	1633	4720	2919	2252_5, 2920_4	3563_7
Escherichia coli KTE184 (1181730.3)	4062	2296	513	4607_5, 514_4	1128_7
Escherichia coli KTE185 (1181731.3)	3054	1225	4369	3690_5, 4370_4	166_7
Escherichia coli KTE186 (1181732.3)	485	3551	1737	1076_5, 1738_4	2468_7
Escherichia coli KTE187 (1181733.3)	3143	1227	4246	3576_5, 4247_4	275_7
Escherichia coli KTE188 (1181734.3)	3064	1177	4297	3562_5, 4298_4	78_7
Escherichia coli KTE189 (1181735.3)	2943	1084	4117	3440_5, 4118_4	4864_7
Escherichia coli KTE19 (1169338.3)	2203	168	3355	2687_5, 3356_4	3996_7
Escherichia coli KTE190 (1181736.3)	3099	1361	4298	3632_5, 4299_4	206_7
Escherichia coli KTE191 (1181737.3)	3278	1430	4455	3780_5, 4456_4	206_7
Escherichia coli KTE192 (1181738.3)	3068	1431	4186	3518_5, 4187_4	257_7
Escherichia coli KTE193 (1181739.3)	1701	4786	2936	2263_5, 2937_4	3615_7
Escherichia coli KTE194 (1181740.3)	3167	1317	4372	3706_5, 4373_4	201_7
Escherichia coli KTE195 (1181741.3)	2890	1029	4351	3667_5, 4352_4	5128_7
Escherichia coli KTE196 (1181742.3)	3406	1586	4486	3856_5, 4487_4	467_7
Escherichia coli KTE197 (1181743.3)	3287	1580	4384	3731_5, 4385_4	462_7
Escherichia coli KTE198 (1181744.3)	3547	1414	4750	4068_5, 4751_4	267_7
Escherichia coli KTE199 (1181745.3)	2237	1069	3519	2868_5, 3520_4	4244_7
Escherichia coli KTE2 (1169324.3)	3552	1872	4793	4794_4	398_7
Escherichia coli KTE20 (1169339.3)	3420	1206	4717	4036_5, 4718_4	5517_7
Escherichia coli KTE200 (1181746.3)	3191	1327	4113	4114_4	4715_7
Escherichia coli KTE201 (1181747.3)	3563	1607	4780	4100_5, 4781_4	288_7
Escherichia coli KTE202 (1181748.3)	3381	1516	4598	3941_5, 4599_4	246_7
Escherichia coli KTE203 (1181749.3)	3820	2086	433	4257_5, 434_4	1045_7
Escherichia coli KTE204 (1181750.3)	2473	778	3962	3293_5, 3963_4	4604_7
Escherichia coli KTE205 (1181751.3)	2757	806	4047	3359_5, 4048_4	4828_7
Escherichia coli KTE206 (1181752.3)	2901	1169	4047	3379_5, 4048_4	4709_7
Escherichia coli KTE207 (1181753.3)	3375	1629	4604	3945_5, 4605_4	503_7
Escherichia coli KTE208 (1181754.3)	3052	1203	4306	3635_5, 4307_4	4909_7
Escherichia coli KTE209 (1181755.3)	572	3553	1773	1100_5, 1774_4	2509_7
Escherichia coli KTE21 (1169340.3)	3451	1249	4685	4007_5, 4686_4	5489_7
Escherichia coli KTE210 (1181756.3)	3099	1385	4185	3542_5, 4186_4	275_7
Escherichia coli KTE211 (1181757.3)	3150	1497	4370	3698_5, 4371_4	253_7
Escherichia coli KTE212 (1181758.3)	2854	1043	3959	3291_5, 3960_4	4604_7
Escherichia coli KTE213 (1181759.3)	2295	433	3421	2775_5, 3422_4	4086_7
Escherichia coli KTE214 (1181760.3)	3901	1899	5120	4442_5, 5121_4	728_7
Escherichia coli KTE215 (1181761.3)	2814	983	4086	3416_5, 4087_4	4729_7
Escherichia coli KTE216 (1181762.3)	3275	1244	4494	3820_5, 4495_4	161_7
Escherichia coli KTE217 (1181763.3)	3506	1758	4617	3958_5, 4618_4	515_7
