Organism	UbiC	UbiA	UbiXDZ	UbiI	UbiG	UbiH	UbiE	MenG	UbiF
Escherichia coli KTE223 (1181769.3)	73_1	74_4	4773_6	3618	2993_11, 2993_11, 416_11, 416_11	3619	4765_13	4765_13	1204_16
Escherichia coli KTE224 (1181770.3)	4471_1	4472_4	4264_6	3130	2456_11, 2456_11	3131	4256_13	4256_13	736_16
Escherichia coli KTE225 (1181771.3)	815_1	816_4	615_6	4524	1123_11, 1123_11, 3842_11, 3842_11	4525	607_13	607_13	2011_16
Escherichia coli KTE226 (1181772.3)	4579_1	4580_4	4289_6	3138	2519_11, 2519_11, 4883_11, 4883_11	3139	4281_13	4281_13	682_16
Escherichia coli KTE227 (1181773.3)	618_1	619_4	378_6	 	3398_11, 3398_11	4106	370_13	370_13	1772_16
Escherichia coli KTE228 (1181774.3)	3323_1	3324_4	3119_6	2064	1299_11, 1299_11, 2010_11, 2010_11, 3646_11, 3646_11	2065	3111_13	3111_13	4483_16
Escherichia coli KTE229 (1181775.3)	3089_1	3090_4	2884_6	 	1017_11, 1017_11, 3503_11, 3503_11	1800	2876_13	2876_13	4256_16
Escherichia coli KTE23 (1169342.3)	39_1	40_4	4462_6	3410	2737_11, 2737_11	3411	4454_13	4454_13	1130_16
Escherichia coli KTE230 (1181776.3)	4838_1	4839_4	4630_6	3273	2612_11, 2612_11	3274	4622_13	4622_13	894_16
Escherichia coli KTE231 (1169323.3)	4442_1	4443_4	4237_6	3133	2446_11, 2446_11, 4768_11, 4768_11	3134	4229_13	4229_13	756_16
Escherichia coli KTE232 (1169365.3)	4275_1	4276_4	4038_6	3076	2417_11, 2417_11	3077	4030_13	4030_13	766_16
Escherichia coli KTE233 (1181777.3)	2150_1	2151_4	1963_6	939	244_11, 244_11	940	1955_13	1955_13	3278_16
Escherichia coli KTE234 (1181778.3)	280_1	281_4	79_6	3774	3007_11, 3007_11	3775	71_13	71_13	1295_16
Escherichia coli KTE235 (1181779.3)	4166_1	4167_4	3962_6	2866	2088_11, 2088_11, 4462_11, 4462_11	2867	3954_13	3954_13	298_16
Escherichia coli KTE236 (1181780.3)	4635_1	4636_4	4408_6	3228	2495_11, 2495_11, 4952_11, 4952_11, 4953_11, 4953_11	3229	4400_13	4400_13	620_16
Escherichia coli KTE237 (1181781.3)	5011_1	5012_4	4785_6	3615	2878_11, 2878_11, 66_11, 66_11, 67_11, 67_11	3616	4777_13	4777_13	872_16
Escherichia coli KTE24 (1169343.3)	5059_1	5060_4	4786_6	3642	2961_11, 2961_11	3643	4778_13	4778_13	2052_16
Escherichia coli KTE240 (1181782.3)	4425_1	4426_4	4225_6	 	2521_11, 2521_11, 286_11, 286_11	3157	4217_13	4217_13	1075_16
Escherichia coli KTE25 (1169344.3)	345_1	346_4	4840_6	3816	3039_11, 3039_11	3817	4832_13	4832_13	1484_16
Escherichia coli KTE26 (1169345.3)	4806_1	4807_4	4607_6	3488	138_11, 138_11, 2797_11, 2797_11	3489	4599_13	4599_13	1032_16
Escherichia coli KTE27 (1169346.3)	1458_1	1459_4	4963_6	 	3160_11, 3160_11	3881	4955_13	4955_13	733_16
Escherichia coli KTE28 (1169347.3)	4486_1	4487_4	4277_6	3260	2569_11, 2569_11	3261	4269_13	4269_13	708_16
Escherichia coli KTE29 (1169348.3)	3989_1	3990_4	3786_6	2832	2167_11, 2167_11	2833	3778_13	3778_13	521_16
Escherichia coli KTE3 (1169316.3)	156_1	157_4	4827_6	 	3037_11, 3037_11, 566_11, 566_11	3701	4819_13	4819_13	1360_16
Escherichia coli KTE31 (1169349.3)	3945_1	3944_4	69_6	3379	2827_11, 2827_11	3380	61_13	61_13	1261_16
Escherichia coli KTE33 (1169351.3)	3532_1	3533_4	4134_6	3127	1317_11, 1317_11	3128	4126_13	4126_13	1881_16
Escherichia coli KTE34 (1169352.3)	37_1	38_4	4790_6	 	1224_11, 1224_11	3647	4782_13	4782_13	1071_16
Escherichia coli KTE35 (1169320.3)	35_1	36_4	4803_6	 	1231_11, 1231_11	3663	4795_13	4795_13	1080_16
Escherichia coli KTE36 (1169353.3)	5119_1	5120_4	4749_6	3631	1403_11, 1403_11	3632	4741_13	4741_13	991_16
Escherichia coli KTE37 (1169354.3)	5122_1	5123_4	4916_6	3740	2997_11, 2997_11	3741	4908_13	4908_13	837_16
Escherichia coli KTE38 (1169355.3)	4964_1	4965_4	4759_6	3634	2902_11, 2902_11	3635	4751_13	4751_13	849_16
Escherichia coli KTE39 (1169356.3)	5066_1	5067_4	4816_6	3646	3034_11, 3034_11	3647	4808_13	4808_13	1217_16
Escherichia coli KTE4 (1169325.3)	4617_1	4618_4	4413_6	 	148_11, 148_11, 2616_11, 2616_11	3280	4405_13	4405_13	948_16
Escherichia coli KTE40 (1169357.3)	4157_1	4158_4	3918_6	 	2333_11, 2333_11	2963	3910_13	3910_13	554_16
Escherichia coli KTE41 (1169358.3)	33_1	34_4	4714_6	 	2997_11, 2997_11	3653	4706_13	4706_13	1306_16
Escherichia coli KTE42 (1169359.3)	349_1	350_4	4730_6	 	3090_11, 3090_11	3756	4722_13	4722_13	1463_16
Escherichia coli KTE43 (1169360.3)	4296_1	4297_4	4092_6	3073	2449_11, 2449_11	3074	4084_13	4084_13	748_16
Escherichia coli KTE44 (1169361.3)	32_1	33_4	5021_6	3989	3303_11, 3303_11	3990	5013_13	5013_13	1131_16
Escherichia coli KTE45 (1169362.3)	214_1	215_4	4610_6	3599	2896_11, 2896_11	3600	4602_13	4602_13	1209_16
Escherichia coli KTE46 (1182653.3)	4145_1	4146_4	3942_6	2932	2228_11, 2228_11	2933	3934_13	3934_13	552_16
Escherichia coli KTE47 (1182654.3)	4835_1	4836_4	4469_6	3446	2793_11, 2793_11	3447	4461_13	4461_13	1043_16
Escherichia coli KTE48 (1182655.3)	488_1	489_4	231_6	3930	3268_11, 3268_11	3931	223_13	223_13	1587_16
Escherichia coli KTE49 (1182656.3)	222_1	223_4	4954_6	3861	3230_11, 3230_11, 595_11, 595_11	3862	1400_13, 4946_13	1400_13, 4946_13	1351_16
Escherichia coli KTE5 (1169326.3)	4484_1	4485_4	4279_6	 	2409_11, 2409_11, 4882_11, 4882_11	3193	4271_13	4271_13	459_16
Escherichia coli KTE50 (1182657.3)	1240_1	1241_4	1039_6	4755	4106_11, 4106_11	4756	1031_13	1031_13	2370_16
Escherichia coli KTE51 (1182658.3)	151_1	152_4	4980_6	 	3192_11, 3192_11, 500_11, 500_11	3912	4972_13	4972_13	1254_16
Escherichia coli KTE53 (1182660.3)	39_1	40_4	4900_6	3643	2975_11, 2975_11	3644	4892_13	4892_13	1067_16
Escherichia coli KTE54 (1182661.3)	893_1	894_4	684_6	4140	3480_11, 3480_11	4141	676_13	676_13	1969_16
Escherichia coli KTE55 (1182662.3)	39_1	40_4	4988_6	3937	3145_11, 3145_11	3938	4980_13	4980_13	1366_16
Escherichia coli KTE56 (1182663.3)	2097_1	2098_4	1890_6	854	2409_11, 2409_11, 241_11, 241_11	855	1882_13	1882_13	3153_16
Escherichia coli KTE57 (1182664.3)	39_1	40_4	4791_6	1280	3856_11, 3856_11	1279	4783_13	4783_13	2058_16
Escherichia coli KTE58 (1182665.3)	176_1	177_4	4880_6	 	3046_11, 3046_11, 609_11, 609_11	3731	4872_13	4872_13	1333_16
Escherichia coli KTE59 (1182666.3)	40_1	41_4	4885_6	 	2967_11, 2967_11, 475_11, 475_11	3652	4877_13	4877_13	1272_16
Escherichia coli KTE6 (1169327.3)	1825_1	1826_4	1624_6	447	4772_11, 4772_11	448	1616_13	1616_13	2889_16
Escherichia coli KTE60 (1182667.3)	38_1	39_4	4631_6	3593	2978_11, 2978_11	3594	4623_13	4623_13	1165_16
Escherichia coli KTE61 (1182668.3)	4553_1	4554_4	4259_6	 	2469_11, 2469_11	3234	4251_13	4251_13	781_16
Escherichia coli KTE62 (1182669.3)	41_1	42_4	5024_6	 	3063_11, 3063_11	3945	5016_13	5016_13	1308_16
Escherichia coli KTE63 (1182670.3)	200_1	201_4	4889_6	3756	3144_11, 3144_11, 607_11, 607_11	3757	4881_13	4881_13	1392_16
Escherichia coli KTE64 (1182671.3)	4409_1	4410_4	4166_6	3145	2425_11, 2425_11	3146	4158_13	4158_13	522_16
Escherichia coli KTE65 (1182672.3)	4361_1	4362_4	4160_6	 	2315_11, 2315_11, 4795_11, 4795_11	3062	4152_13	4152_13	486_16
Escherichia coli KTE66 (1182673.3)	4849_1	4850_4	4643_6	3496	2694_11, 2694_11	3497	4635_13	4635_13	1078_16
Escherichia coli KTE67 (1182674.3)	478_1	479_4	275_6	3866	3205_11, 3205_11	3867	267_13	267_13	1528_16
Escherichia coli KTE68 (1182675.3)	4802_1	4803_4	4503_6	3356	2660_11, 2660_11, 5125_11, 5125_11	3357	4495_13	4495_13	530_16
Escherichia coli KTE69 (1182676.3)	4904_1	4905_4	4696_6	3523	2865_11, 2865_11	3524	4688_13	4688_13	1371_16
Escherichia coli KTE7 (1169317.3)	42_1	43_4	5112_6	 	3241_11, 3241_11, 448_11, 448_11	4030	5104_13	5104_13	1291_16
Escherichia coli KTE70 (1182677.3)	5015_1	5016_4	4811_6	3639	2964_11, 2964_11	3640	4803_13	4803_13	873_16
Escherichia coli KTE71 (1182678.3)	5068_1	5069_4	4864_6	 	3057_11, 3057_11	3886	4856_13	4856_13	1028_16
Escherichia coli KTE72 (1182679.3)	4584_1	4585_4	4378_6	3359	2481_11, 2481_11, 4979_11, 4979_11, 4980_11, 4980_11	3360	4370_13	4370_13	722_16
Escherichia coli KTE73 (1182680.3)	4405_1	4406_4	4210_6	3137	2455_11, 2455_11	3138	4202_13	4202_13	705_16
Escherichia coli KTE74 (1182681.3)	4657_1	4658_4	4449_6	3287	2609_11, 2609_11	3288	4441_13	4441_13	886_16
Escherichia coli KTE75 (1182682.3)	4999_1	5000_4	4797_6	3672	2880_11, 2880_11	3673	4789_13	4789_13	955_16
Escherichia coli KTE76 (1182683.3)	4477_1	4478_4	4249_6	3106	2440_11, 2440_11, 4864_11, 4864_11, 4865_11, 4865_11	3107	4241_13	4241_13	639_16
Escherichia coli KTE77 (1182684.3)	38_1	39_4	4435_6	 	2806_11, 2806_11	3480	4427_13	4427_13	1081_16
Escherichia coli KTE78 (1182685.3)	37_1	38_4	4460_6	3404	2753_11, 2753_11	3405	4452_13	4452_13	1136_16
Escherichia coli KTE79 (1182686.3)	1554_1	1555_4	1348_6	298	4276_11, 4276_11	299	1340_13	1340_13	2655_16
Escherichia coli KTE8 (1169328.3)	4487_1	4488_4	4280_6	3132	2499_11, 2499_11	3133	4272_13	4272_13	740_16
Escherichia coli KTE80 (1182687.3)	4525_1	4526_4	4322_6	3142	2454_11, 2454_11, 4894_11, 4894_11	3143	4314_13	4314_13	682_16
Escherichia coli KTE81 (1182688.3)	270_1	271_4	73_6	 	2895_11, 2895_11, 570_11, 570_11	3558	65_13	65_13	1322_16
Escherichia coli KTE82 (1169363.3)	4608_1	4609_4	4410_6	3438	2763_11, 2763_11, 4903_11, 4903_11	3439	4402_13	4402_13	835_16
Escherichia coli KTE83 (1182689.3)	4643_1	4644_4	4440_6	3342	2661_11, 2661_11, 4952_11, 4952_11	3343	4432_13	4432_13	702_16
Escherichia coli KTE84 (1182690.3)	206_1	207_4	4448_6	3396	2770_11, 2770_11	3397	4440_13	4440_13	1172_16
Escherichia coli KTE85 (1169364.3)	4395_1	4396_4	4139_6	3073	2376_11, 2376_11, 4787_11, 4787_11	3074	4131_13	4131_13	691_16
Escherichia coli KTE86 (1182691.3)	4665_1	4666_4	4458_6	3315	2646_11, 2646_11, 53_11, 53_11, 54_11, 54_11	3316	4450_13	4450_13	873_16
Escherichia coli KTE87 (1182692.3)	4930_1	4931_4	4724_6	3564	267_11, 267_11, 2946_11, 2946_11	3565	4716_13	4716_13	1202_16
Escherichia coli KTE88 (1169366.3)	4041_1	4042_4	3841_6	2799	2135_11, 2135_11, 4398_11, 4398_11, 4399_11, 4399_11	2800	3833_13	3833_13	529_16
Escherichia coli KTE89 (1182693.3)	4269_1	4270_4	4063_6	2927	2260_11, 2260_11, 4610_11, 4610_11, 4611_11, 4611_11	2928	4055_13	4055_13	521_16
Escherichia coli KTE9 (1169329.3)	282_1	283_4	77_6	3742	3044_11, 3044_11	3743	69_13	69_13	1364_16
Escherichia coli KTE90 (1169367.3)	4496_1	4497_4	4295_6	3319	2651_11, 2651_11	3320	4287_13	4287_13	939_16
Escherichia coli KTE91 (1182694.3)	4329_1	4330_4	4123_6	3054	2344_11, 2344_11	3055	4115_13	4115_13	662_16
Escherichia coli KTE93 (1182696.3)	4592_1	4593_4	4385_6	3272	2597_11, 2597_11, 54_11, 54_11, 55_11, 55_11	3273	4377_13	4377_13	1049_16
Escherichia coli KTE94 (1169368.3)	4496_1	4497_4	4293_6	3233	2478_11, 2478_11	3234	4285_13	4285_13	809_16
Escherichia coli KTE96 (1182697.3)	2143_1	2144_4	1740_6	898	323_11, 323_11	899	1732_13	1732_13	3127_16
Escherichia coli KTE97 (1169370.3)	4130_1	4131_4	3886_6	2818	2210_11, 2210_11	2819	3878_13	3878_13	571_16
Escherichia coli KTE98 (1182698.3)	62_1	63_4	1086_6	2207	2905_11, 2905_11	2206	1094_13	1094_13	4536_16
Escherichia coli KTE99 (1169371.3)	4376_1	4377_4	4172_6	3028	2367_11, 2367_11	3029	4164_13	4164_13	741_16
Escherichia coli LCT-EC106 (1163386.3)	2039_1	2040_4	3275_6	870	2373_11, 2373_11, 257_11, 257_11	871	3267_13	3267_13	3497_16
Escherichia coli LCT-EC52 (1258567.3)	2224_1	2225_4	2022_6	883	2559_11, 2559_11, 261_11, 261_11	884	2014_13	2014_13	2983_16
Escherichia coli LCT-EC59 (1258580.3)	2258_1	2259_4	2057_6	921	300_11, 300_11, 4872_11, 4872_11	922	2049_13	2049_13	3952_16
Escherichia coli LF82 (591946.4)	4134_1	4135_4	3930_6	2925	2269_11, 2269_11	2926	3922_13	3922_13	610_16
Escherichia coli LT-68 (670890.3)	862_1	861_4	1692_6	2130	3417_11, 3417_11	2131	1684_13	1684_13	4688_16
Escherichia coli M605 (656417.3)	4963_1	4964_4	4748_6	3682	2909_11, 2909_11	3683	4740_13	4740_13	791_16
Escherichia coli M718 (656419.3)	5269_1	5270_4	4936_6	3757	2995_11, 2995_11, 34_11, 34_11	3758	4928_13	4928_13	950_16
Escherichia coli M863 (656420.3)	3053_1	3054_4	4808_6	2104	731_11, 731_11	2105	4800_13	4800_13	1239_16
Escherichia coli MA6 (1005557.3)	5291_1	5292_4	5076_6	 	3329_11, 3329_11	4041	5068_13	5068_13	1153_16
Escherichia coli MP020940.1 (1116140.3)	4727_1	4728_4	4519_6	3555	2722_11, 2722_11	3556	4511_13	4511_13	847_16
Escherichia coli MP020980.1 (1125638.3)	5112_1	5113_4	4878_6	3644	2897_11, 2897_11	3645	4870_13	4870_13	1173_16, 176_16
Escherichia coli MP020980.2 (1116139.3)	2_1	3_4	4713_6	3693	2996_11, 2996_11	3694	4705_13	4705_13	1116_16
Escherichia coli MP021017.1 (1116057.3)	4793_1	4794_4	4582_6	3521	2710_11, 2710_11	3522	4574_13	4574_13	796_16
Escherichia coli MP021017.10 (1116064.3)	4805_1	4806_4	4593_6	3521	2730_11, 2730_11	3522	4585_13	4585_13	889_16
Escherichia coli MP021017.11 (1116065.3)	4602_1	4603_4	4395_6	3291	2509_11, 2509_11	3292	4387_13	4387_13	697_16
Escherichia coli MP021017.12 (1116111.3)	4113_1	4114_4	3910_6	2869	2214_11, 2214_11	2870	3902_13	3902_13	545_16
Escherichia coli MP021017.2 (1116058.3)	4775_1	4776_4	4570_6	3470	2679_11, 2679_11	3471	4562_13	4562_13	872_16
Escherichia coli MP021017.3 (1116059.3)	4755_1	4756_4	4550_6	3481	2656_11, 2656_11	3482	4542_13	4542_13	834_16
Escherichia coli MP021017.4 (1116060.3)	4717_1	4718_4	4508_6	3398	2619_11, 2619_11	3399	4500_13	4500_13	120_16, 772_16
Escherichia coli MP021017.5 (1116061.3)	4535_1	4536_4	4328_6	3223	2531_11, 2531_11	3224	4320_13	4320_13	607_16
Escherichia coli MP021017.6 (1116062.3)	4601_1	4602_4	4397_6	3300	2567_11, 2567_11	3301	4389_13	4389_13	690_16
Escherichia coli MP021017.9 (1116063.3)	4546_1	4547_4	4334_6	3277	2471_11, 2471_11	3278	4326_13	4326_13	700_16
Escherichia coli MP021552.11 (1116134.3)	4657_1	4658_4	4442_6	3537	2893_11, 2893_11	3538	4433_13	4433_13	1058_16
Escherichia coli MP021552.12 (1116135.3)	4576_1	4577_4	4352_6	3316	2595_11, 2595_11	3317	4343_13	4343_13	763_16
Escherichia coli MP021552.7 (1116132.3)	5147_1	5148_4	4928_6	3849	3160_11, 3160_11	3850	4919_13	4919_13	1290_16
Escherichia coli MP021552.8 (1116133.3)	4634_1	4635_4	4376_6	3360	2567_11, 2567_11	3361	4367_13	4367_13	715_16
Escherichia coli MP021561.2 (1116136.3)	35_1	36_4	4676_6	3660	2901_11, 2901_11	3661	4668_13	4668_13	1148_16
Escherichia coli MP021561.3 (1116137.3)	4955_1	4956_4	4747_6	3602	2889_11, 2889_11	3603	4739_13	4739_13	1259_16
Escherichia coli MP021566.1 (1116138.3)	35_1	36_4	4832_6	3766	3042_11, 3042_11	3767	4824_13	4824_13	1128_16
Escherichia coli MS 107-1 (679207.4)	2924_1	2925_4	3634_6	655	3127_11, 3127_11	654	3642_13	3642_13	2790_16
Escherichia coli MS 115-1 (749537.3)	1090_1	1089_4	3364_6	4622	2271_11, 2271_11	4623	3372_13	3372_13	3991_16
Escherichia coli MS 116-1 (749538.3)	231_1	232_4	3564_6	 	2298_11, 2298_11	1164	3572_13	3572_13	4280_16
Escherichia coli MS 119-7 (679206.4)	3351_1	3352_4	3160_6	496	2454_11, 2454_11	497	3152_13	3152_13	2796_16
Escherichia coli MS 124-1 (679205.4)	1233_1	1234_4	2249_6	1588	1830_11, 1830_11	1589	2241_13	2241_13	676_16
Escherichia coli MS 145-7 (679204.3)	2973_1	2974_4	3335_6	1131	264_11, 264_11, 2695_11, 2695_11	1132	3343_13	3343_13	2599_16
Escherichia coli MS 146-1 (749540.3)	1592_1	1593_4	2577_6	 	3007_11, 3007_11, 4014_11, 4014_11	406	2585_13	2585_13	569_16
Escherichia coli MS 182-1 (749545.3)	2338_1	2339_4	1474_6	3086	4139_11, 4139_11	3085	1466_13	1466_13	4964_16
Escherichia coli MS 185-1 (749546.3)	996_1	997_4	1226_6	3326	2662_11, 2662_11	3325	1234_13	1234_13	3486_16
Escherichia coli MS 187-1 (749547.3)	2032_1	2033_4	2203_6	507	3511_11, 3511_11	506	2211_13	2211_13	3710_16
Escherichia coli MS 196-1 (749548.3)	346_1	347_4	4549_6	 	2132_11, 2132_11, 2133_11, 2133_11, 591_11, 591_11	3526	4542_13	4542_13	4462_16
Escherichia coli MS 198-1 (749549.3)	3689_1	3688_4	4386_6	514	1795_11, 1795_11, 4133_11, 4133_11	513	4413_13	4413_13	4814_16
Escherichia coli MS 200-1 (749550.3)	1473_1	1472_4	1278_6	4311	1701_11, 1701_11	4310	1270_13	1270_13	4787_16
Escherichia coli MS 21-1 (749527.3)	2894_1	2895_4	4450_6	976	1751_11, 1751_11	975	4458_13	4458_13	2625_16
Escherichia coli MS 45-1 (749528.3)	4414_1	4415_4	3181_6	1949	2781_11, 2781_11	1948	3189_13	3189_13	3975_16
Escherichia coli MS 69-1 (749531.3)	2302_1	2303_4	4313_6	5108	2721_11, 2721_11	5107	4321_13	4321_13	4042_16
Escherichia coli MS 78-1 (749532.3)	4659_1	4658_4	2987_6	2088	3512_11, 3512_11	2089	2995_13	2995_13	3607_16
Escherichia coli MS 84-1 (749533.3)	4264_1	4265_4	2087_6	4476	1669_11, 1669_11	4475	2079_13	2079_13	5479_16
Escherichia coli MS 85-1 (679202.3)	3179_1	3180_4	3734_6	1315	2656_11, 2656_11	1316	3726_13	3726_13	2806_16
Escherichia coli N1 (1005567.3)	4199_1	4200_4	3984_6	3050	2373_11, 2373_11	3051	3976_13	3976_13	684_16
Escherichia coli NA114 (1033813.3)	4235_1	4236_4	4191_6	2970	2341_11, 2341_11, 4382_11, 4382_11	2971	4183_13, 648_13	4183_13, 648_13	603_16
Escherichia coli NC101 (753642.3)	4122_1	4121_4	3315_6	215	2854_11, 2854_11	214	3323_13	3323_13	994_16
Escherichia coli NCCP15647 (1169663.3)	1530_1	1531_4	900_6	2622	1347_11, 1347_11	2623	908_13	908_13	3936_16
Escherichia coli NCCP15657 (1169863.3)	276_1	277_4	1591_6	2698	2043_11, 2043_11	2699	1583_13	1583_13	3987_16
Escherichia coli NCCP15658 (1169862.3)	5000_1	5001_4	4788_6	 	3042_11, 3042_11	3755	4780_13	4780_13	722_16
Escherichia coli NE037 (1005484.3)	5271_1	5272_4	5059_6	 	3304_11, 3304_11	4022	5051_13	5051_13	1026_16
Escherichia coli NE098 (1005486.3)	5025_1	5026_4	4812_6	 	3012_11, 3012_11	3773	4804_13	4804_13	871_16
Escherichia coli NE1487 (1005485.3)	5271_1	5272_4	5059_6	 	3324_11, 3324_11	4024	5051_13	5051_13	1008_16
Escherichia coli Nissle 1917 (316435.3)	2439_1	2438_4	123_6	1626	162_11, 162_11, 4527_11, 4527_11	1627	115_13	115_13	3442_16
Escherichia coli O08 (1227814.3)	4049_1	4050_4	3851_6	2878	2213_11, 2213_11	2879	3843_13	3843_13	634_16
Escherichia coli O103:H25 str. CVM9340 (1165940.3)	3220_1	3219_4	1365_6	6	597_11, 597_11	5	1357_13	1357_13	1474_16
Escherichia coli O103:H25 str. NIPH-11060424 (1101440.4)	4422_1	4423_4	3968_6	3165	2360_11, 2360_11	3166	3976_13	3976_13	686_16
Escherichia coli O103:H2 str. 12009 (585395.4)	5022_1	5023_4	4528_6	3636	2827_11, 2827_11	3637	4536_13	4536_13	705_16
Escherichia coli O103:H2 str. CVM9450 (1165941.3)	5111_1	5112_4	1496_6	298	2871_11, 2871_11	299	1488_13	1488_13	1222_16
Escherichia coli O104:H4 str. GOS1 (1038927.4)	4694_1	4695_4	82_6	1711	1602_11, 1602_11	1710	74_13	74_13	3913_16
Escherichia coli O104:H4 str. GOS2 (1038927.5)	60_1	59_4	102_6	4172	1155_11, 1155_11	4171	110_13	110_13	2670_16
Escherichia coli O104:H4 str. H112180282 (1038927.6)	4534_1	4533_4	4383_6	3392	4093_11, 4093_11	3393	4375_13	4375_13	4053_16
Escherichia coli O104:H4 str. H112180283 (1038927.7)	2433_1	2434_4	4716_6	1037	4116_11, 4116_11	1038	4708_13	4708_13	1590_16
Escherichia coli O104:H4 str. 01-09591 (1042803.5)	4516_1	4517_4	4303_6	3171	2466_11, 2466_11	3172	4295_13	4295_13	669_16
Escherichia coli O104:H4 str. 04-8351 (1048265.3)	3569_1	3570_4	3365_6	2290	1530_11, 1530_11	2291	3357_13	3357_13	4660_16
Escherichia coli O104:H4 str. 09-7901 (1048266.3)	4986_1	4987_4	4784_6	3701	2943_11, 2943_11	3702	4776_13	4776_13	1087_16
Escherichia coli O104:H4 str. 11-02030 (1240768.3)	2810_1	2811_4	2399_6	1231	519_11, 519_11	1232	2391_13	2391_13	3965_16
Escherichia coli O104:H4 str. 11-02033-1 (1240769.3)	2773_1	2774_4	2562_6	962	5482_11, 5482_11	963	2554_13	2554_13	3997_16
Escherichia coli O104:H4 str. 11-02092 (1240770.3)	1293_1	1294_4	1085_6	4640	3926_11, 3926_11	4641	1077_13	1077_13	2754_16
Escherichia coli O104:H4 str. 11-02093 (1240771.3)	1524_1	1525_4	1315_6	5369	4659_11, 4659_11	5370	1307_13	1307_13	2922_16
Escherichia coli O104:H4 str. 11-02281 (1240772.3)	2847_1	2848_4	2638_6	827	5358_11, 5358_11	828	2630_13	2630_13	4024_16
Escherichia coli O104:H4 str. 11-02318 (1240773.3)	3628_1	3629_4	3420_6	2250	1540_11, 1540_11	2251	3412_13	3412_13	4780_16
Escherichia coli O104:H4 str. 11-02913 (1240774.3)	1973_1	1974_4	1765_6	593	5040_11, 5040_11	594	1757_13	1757_13	3146_16
Escherichia coli O104:H4 str. 11-03439 (1240775.3)	1552_1	1553_4	1145_6	5404	4692_11, 4692_11	5405	1137_13	1137_13	2703_16
Escherichia coli O104:H4 str. 11-03943 (1240777.3)	2136_1	2137_4	1676_6	507	5016_11, 5016_11	508	1668_13	1668_13	3670_16
Escherichia coli O104:H4 str. 11-04080 (1240776.3)	2140_1	2141_4	1680_6	508	5029_11, 5029_11	509	1672_13	1672_13	3293_16
Escherichia coli O104:H4 str. 11-3677 (1048334.3)	5062_1	5063_4	4858_6	3725	3024_11, 3024_11	3726	4850_13	4850_13	1005_16
Escherichia coli O104:H4 str. 11-4404 (1068614.3)	2874_1	2875_4	2668_6	1537	839_11, 839_11	1538	2660_13	2660_13	3987_16
Escherichia coli O104:H4 str. 11-4522 (1068615.3)	2882_1	2883_4	2679_6	1561	862_11, 862_11	1562	2671_13	2671_13	3991_16
Escherichia coli O104:H4 str. 11-4623 (1068616.3)	3625_1	3626_4	3423_6	2292	1590_11, 1590_11	2293	3415_13	3415_13	4743_16
Escherichia coli O104:H4 str. 11-4632 C1 (1068617.3)	1258_1	1259_4	1018_6	5076	4376_11, 4376_11	5077	1010_13	1010_13	2364_16
Escherichia coli O104:H4 str. 11-4632 C2 (1068618.3)	1250_1	1251_4	1046_6	5077	4379_11, 4379_11	5078	1038_13	1038_13	2368_16
Escherichia coli O104:H4 str. 11-4632 C3 (1068619.3)	2874_1	2875_4	2669_6	1526	828_11, 828_11	1527	2661_13	2661_13	3987_16
Escherichia coli O104:H4 str. 11-4632 C4 (1068620.3)	4532_1	4533_4	4328_6	3188	2486_11, 2486_11	3189	4320_13	4320_13	469_16
Escherichia coli O104:H4 str. 11-4632 C5 (1068621.3)	1260_1	1261_4	1056_6	5102	4402_11, 4402_11	5103	1048_13	1048_13	2378_16
Escherichia coli O104:H4 str. 2009EL-2050 (1134782.3)	4926_1	4925_4	5135_6	1038	1728_11, 1728_11	1037	5143_13	5143_13	3788_16
Escherichia coli O104:H4 str. 2009EL-2071 (1133853.3)	5000_1	4999_4	5209_6	1024	1729_11, 1729_11	1023	5217_13	5217_13	3865_16
Escherichia coli O104:H4 str. 2011C-3493 (1133852.3)	4950_1	4949_4	5159_6	1034	1743_11, 1743_11	1033	5167_13	5167_13	3802_16
Escherichia coli O104:H4 str. C227-11 (1048254.3)	3189_1	3190_4	2986_6	1856	1159_11, 1159_11	1857	2978_13	2978_13	4305_16
Escherichia coli O104:H4 str. C236-11 (1048256.3)	5069_1	5070_4	4865_6	3735	3039_11, 3039_11	3736	4857_13	4857_13	1004_16
Escherichia coli O104:H4 str. Ec11-4984 (1240761.3)	3230_1	3231_4	3023_6	1870	1159_11, 1159_11	1871	3015_13	3015_13	4360_16
Escherichia coli O104:H4 str. Ec11-4986 (1240762.3)	4086_1	4087_4	3877_6	2722	2015_11, 2015_11	2723	3869_13	3869_13	5221_16
Escherichia coli O104:H4 str. Ec11-4987 (1240763.3)	2918_1	2919_4	2711_6	1556	847_11, 847_11	1557	2703_13	2703_13	4048_16
Escherichia coli O104:H4 str. Ec11-4988 (1240764.3)	4542_1	4543_4	4333_6	3168	2459_11, 2459_11	3169	4325_13	4325_13	443_16
Escherichia coli O104:H4 str. Ec11-5536 (1068623.3)	5040_1	5041_4	4837_6	3704	3003_11, 3003_11	3705	4829_13	4829_13	1006_16
Escherichia coli O104:H4 str. Ec11-5537 (1068624.3)	5043_1	5044_4	4838_6	3706	3009_11, 3009_11	3707	4830_13	4830_13	1007_16
