Organism	ArgA	ArgB	ArgC	ArgD	ArgE	ArgJ	ArgF	ArgG	ArgH	ArtMQP	ArcD
Escherichia coli 541-15 (752785.3)	2796_1	 	4492	4493_7	1157_14, 3356_14, 3568_10, 96_8	4494_17	364_21	1337_23	3933_25, 4491_26	 	3714
Escherichia coli 5412 (1005561.3)	3543_1	 	4828	4827_7	1836, 2266_10, 3377, 4104	4826	5166_21	3943_23	1514_25, 4829_26	 	2119
Escherichia coli 55989 (585055.8)	3138_1	 	4477	4476_7	1495_14, 1948_10, 2964_14, 3793_8	4475	4838_21	3629_23	1275_25, 4478_26	 	1804
Escherichia coli 5905 (1005558.3)	3983_1	 	5285	5284_7	2118, 2702_10, 3817, 4592	5283	176_21	4432_23	1845_25, 5286_26	 	2557
Escherichia coli 6.0172 (1005455.3)	3763_1	 	5046	5045_7	1991, 2471_10, 3595, 4324	5044	5315_21	4163_23	1725_25, 5047_26	 	2321
Escherichia coli 75 (752788.3)	2117_1	 	576_5	575_7	2280, 2588_8, 2860, 4112_10	574_17	858_21	1734_23	3017_25, 577_26	 	3966
Escherichia coli 8.0416 (1005463.3)	3520_1	 	4602	4601_7	1670, 2163_10, 3352, 3992	4600	5068_21	3918_23	1389_25, 4603_26	 	2011
Escherichia coli 8.0566 (1005462.3)	2956_1	 	4173	4172_7	1400, 1766_10, 2808, 3526	4171, 9_17	4479_21	3336_23	1166_25, 4174_26	 	1618, 721
Escherichia coli 8.0569 (1005464.3)	2952_1	 	4144	4143_7	1325, 1710_10, 2800, 3522	4142, 4624_17	4450_21	3332_23	1087_25, 4145_26	 	1562, 681
Escherichia coli 8.0586 (1005461.3)	3827_1	 	5104	5103_7	1989, 2447_10, 3661, 4381	5102	5448_21	4220_23	1723_25, 5105_26	 	2297
Escherichia coli 8.2524 (1005460.3)	3529_1	 	4834	4833_7	1794, 2224_10, 3361, 4085	4832	5157_21	3924_23	1537_25, 4835_26	 	2061
Escherichia coli 83972 (525281.3)	4575_1	 	3325_5	3326_7	2790_8, 4393_14, 754_10	3327_17	1610_21, 1615_21	3695_23	3324_26, 344_25	 	1616, 2252, 957
Escherichia coli 88.0221 (1005397.3)	3580_1	 	4849	4848_7	1837, 2279_10, 3414, 4135	4847	110_21	3974_23	1597_25, 4850_26	 	2129
Escherichia coli 88.1042 (1005398.3)	3606_1	 	4882	4881_7	1906, 2367_10, 3439, 4162	4880	5153_21	4001_23	1641_25, 4883_26	 	2217
Escherichia coli 88.1467 (1005396.3)	3669_1	 	4941	4940_7	1933, 2396_10, 3501, 4225	4939	5263_21	4063_23	1692_25, 4942_26	 	2235
Escherichia coli 89.0511 (1005399.3)	3534_1	 	4706	4705_7	1801, 2306_10, 3368, 4056	4704	5145_21	3926_23	1578_25, 4707_26	 	2155
Escherichia coli 9.0111 (869686.4)	674_1	 	3415	3414_7	1826_14, 1827_14, 2017_14, 2223_8, 2224_8, 5009_10	3413_17	4011_21	4467_23	112_25, 3416_26	 	2481, 5057
Escherichia coli 9.1649 (869685.3)	3929_1	 	254_5	253_7	2766_10, 3729_14, 4499_8	252_17	585_21, 590_21	4316_23	2163_25, 255_26	 	1556, 2616, 584
Escherichia coli 90.0039 (1005401.3)	3474_1	 	4738	4737_7	1713, 2174_10, 3308, 4028	4736	5061_21	3866_23	1510_25, 4739_26	 	2014
Escherichia coli 90.0091 (1005400.3)	3866_1	 	5136	5135_7	2096, 2569_10, 3701_14, 4419	5134	125_21	4256_23	1830_25, 5137_26	 	2419
Escherichia coli 90.2281 (1005402.3)	3654_1	 	4926	4925_7	1907, 2465_10, 3488, 4208	4924	5235_21	4048_23	1707_25, 4927_26	 	2315
Escherichia coli 900105 (10e) (869695.4)	2882_1	 	1603_5	1604_7	2283, 3061_14, 3443_14, 4362_10	1605	3556_21	2460_23	1602_26, 3230_25	 	148, 4560
Escherichia coli 93-001 (1005481.3)	3694_1	 	4942	4941_7	2034, 2482_10, 3527, 4242	4940	5247_21	4081_23	1748_25, 4943_26	 	2333
Escherichia coli 93.0055 (1005403.3)	3465_1	 	4746	4745_7	1728, 2282_10, 3296, 4024	4744	5057_21	3863_23	1476_25, 4747_26	 	2132
Escherichia coli 93.0056 (1005404.3)	3629_1	 	4913	4912_7	2006, 2431_10, 3461, 4187	4911	5222_21	4025_23	1727_25, 4914_26	 	2281
Escherichia coli 93.0624 (869680.4)	4359_1	 	4949	4950_7	1359_14, 2764_8, 4556_14, 5078_10	4951	2999_21	2929_23	4948_26, 692_25	 	3122, 358
Escherichia coli 94.0618 (1005405.3)	3571_1	 	4857	4856_7	1879, 2330_10, 3404, 4130	4855	5166_21	3969_23	1613_25, 4858_26	 	2180
Escherichia coli 95.0183 (1005406.3)	3676_1, 3677_1	 	4985	4984_7	2023, 2385_10, 3514, 4223	4983	5362_21	4061_23	1791_25, 4986_26	 	2225
Escherichia coli 95.0941 (869674.3)	4059_1	 	733	732_7	2556_14, 3028_10, 3904_14, 83_8	731	1036_21	4469_23	2405_25, 734_26	 	1908, 2878
Escherichia coli 95.0943 (1005408.3)	3730_1	 	5008	5007_7	1972, 2452_10, 3561, 4281	5006	5283_21	4121_23	1686_25, 5009_26	 	2302
Escherichia coli 95.1288 (1005407.3)	3212_1	 	4410	4409_7	1596, 2033_10, 3043, 3701	4408	4754_21	3578_23	1348_25, 4411_26	 	1886
Escherichia coli 96.0107 (1005415.3)	3617_1	 	4895	4894_7	1920, 2374_10, 3451, 4179	4893	5206_21	4018_23	1648_25, 4896_26	 	2225
Escherichia coli 96.0109 (1005414.3)	3636_1	 	4897	4896_7	1963, 2441_10, 3463, 4188	4895	5206_21	4027_23	1694_25, 4898_26	 	2292
Escherichia coli 96.0427 (1005411.3)	3595_1	 	4859	4858_7	1869, 2345_10, 3427, 4147	4857	5168_21	3986_23	1550_25, 4860_26	 	2195
Escherichia coli 96.0428 (1005410.3)	3602_1	 	4891	4890_7	1915, 2351_10, 3435, 4155	4889	5202_21	3994_23	1638_25, 4892_26	 	2201
Escherichia coli 96.0497 (869677.4)	2949_1	 	4264	4263_7	1450_14, 1847_10, 2766_14, 3593_8	4262_17	4561_21	3432_23	1176_25, 4265_26	 	1700, 562
Escherichia coli 96.0932 (1005413.3)	3645_1	 	4923	4922_7	1918, 2356_10, 3477, 4200	4921	85_21	4039_23	1642_25, 4924_26	 	2208
Escherichia coli 96.0939 (1005412.3)	3686_1	 	4976	4975_7	1874, 2316_10, 3517, 4250	4974	5298_21	4087_23	1609_25, 4977_26	 	2166
Escherichia coli 96.154 (869683.4)	1486_1	 	2670	2669_7	1329_14, 2041_8, 443_10, 52_14	2668	3045_21	1880_23	2671_26, 4392_25	 	296, 3891
Escherichia coli 97.0003 (1005416.3)	3626_1	 	4851	4850_7	1951_14, 2395_10, 3456, 4140	4849	5203_21	4023_23	1711_25, 4852_26	 	2245
Escherichia coli 97.0010 (1005419.3)	3505_1	 	4789	4788_7	1804, 2268_10, 3338, 4099	4787	5097_21	3938_23	1542_25, 4790_26	 	2120
Escherichia coli 97.0246 (869670.4)	2310_1	 	1300_5	1301_7	2129_14, 4013_14, 4910_8, 920_10	1302_17	5319_21	2775_23	1299_26, 3792_25	 	1084, 5547
Escherichia coli 97.0259 (869672.4)	2959_1	 	4758_5	4759_7	1223_10, 266_14, 3110_14, 3703_8	4760_17	2552_21	1647_23	436_25, 4757_26	 	1380
Escherichia coli 97.0264 (869676.4)	1168_1	 	4952	4953_7	1010_14, 1830_8, 3185_10, 3595_14	4954	4581_21	1669_23	3750_25, 4951_26	 	3333, 379
Escherichia coli 99.0670 (1005423.3)	3773_1	 	4929	4928_7	2087, 2555_10, 3604, 4268	4927	5236_21	4153_23	1853_25, 4930_26	 	2407
Escherichia coli 99.0672 (1005421.3)	3554_1	 	4873	4872_7	1810, 2236_10, 3386, 4115	4871	5195_21	3953_23	1560_25, 4874_26	 	2086
Escherichia coli 99.0678 (1005422.3)	3740_1	 	4902	4901_7	2038, 2441_10, 3575, 4272	4900	182_21	4156_23	1786_25, 4903_26	 	2291
Escherichia coli 99.0713 (1005424.3)	3608_1	 	4803	4802_7	1964, 2377_10, 3442, 4131	4801	5106_21	4004_23	1739_25, 4804_26	 	2227
Escherichia coli 99.0741 (869678.4)	3722_1	 	1355	1356_7	1898_8, 386_14, 3896_14, 4549_10	1357	1158_21	2062_23	1354_26, 148_25	 	4235, 4700
Escherichia coli 99.0814 (1005434.3)	3576_1	 	1016	1015_7	1946_14, 2354_10, 3408, 4076	1014	5104_21	3955_23	1017_26, 1732_25	 	2204
Escherichia coli 99.0815 (1005433.3)	3398_1	 	4544	4543_7	1632_14, 2050_10, 3229, 3894	4542	4896_21	3764_23	1407_25, 4545_26	 	1901
Escherichia coli 99.0816 (1005430.3)	3494_1	 	3921	3922_7	1715_14, 2137_10, 3327, 3967	3923	5004_21	3815_23	1489_25, 3920_26	 	1988
Escherichia coli 99.0839 (1005432.3)	3532_1	 	4721	4720_7	1846, 2254_10, 3363, 4053	4719	5060_21	3845_23	1600_25, 4722_26	 	2105
Escherichia coli 99.0848 (1005431.3)	3590_1	 	205	204_7	1942, 2369_10, 3421, 4166	203	5090_21	3984_23	1738_25, 206_26	 	2221
Escherichia coli 99.1753 (1005440.3)	3504_1	 	78	77_7	1838, 2289_10, 3335, 3984	76	4957_21	3857_23	1611_25, 79_26	 	2139
Escherichia coli 99.1762 (1005435.3)	3740_1	 	5295	5294_7	2002, 2420_10, 3571, 4256	5293	5255_21	4135_23	1762_25, 5296_26	 	2270
Escherichia coli 99.1775 (1005438.3)	3227_1	 	4430	4429_7	1681, 2102_10, 3060, 3726	4428	4740_21	3617_23	1464_25, 4431_26	 	1952
Escherichia coli 99.1781 (1005439.3)	3730_1	 	4905	4904_7	1946, 2388_10, 3562, 4277	4903	5219_21	4123_23	1604_25, 4906_26	 	2238
Escherichia coli 99.1805 (1005436.3)	3327_1	 	4566	4565_7	1691, 2087_10, 3160, 3854	4564	4872_21	3683_23	1461_25, 4567_26	 	1938
Escherichia coli AA86 (1004153.3)	3023_1	 	4296_5	4295_7	1902_10, 2834_14, 3585_8	4294_17	4627_21, 4632_21	3402_23	1260_25, 4297_26	 	1760, 4626, 743
Escherichia coli ABU 83972 (655817.3)	3239_1	 	4667_5	4666_7	2097_10, 3044_14, 3939_8	4665_17	5010_21, 5015_21	3749_23	1419_25, 4668_26	 	1889, 5009, 781
Escherichia coli AD30 (1169664.3)	1617_1	 	3856	3857_7	231_10, 2830, 2930_14, 3435	3858	2356_21	992_23	2616_25, 3855_26	 	4757, 80
Escherichia coli AI27 (1089445.3)	2355_1	 	2090	2089_7	2729_10, 2883_8, 4482_14, 695_14	2088_17	103_21	2110_23	1105_25, 2091_26	 	4590, 737
Escherichia coli APEC O1 (405955.13)	3158_1	 	4432	4431_7	1838_10, 2967, 3778	4430_17	4833_21, 4838_21	3590_23	1135_25, 4433_26	 	1688, 4701, 4703, 4831, 4832
Escherichia coli APEC O78 (1274814.3)	3627_1	 	115	114_7	2136_14, 2574_10, 3461_14, 4211_8	113_17	453_21	4034_23	116_26, 1977_25	 	1436, 2426
Escherichia coli ARS4.2123 (1005563.3)	3160_1	 	4342_5	4341_7	2003_10, 2996_14, 3691_8	4340_17	4652_21, 4657_21	3533_23	1355_25, 4343_26	 	1862, 4651, 682
Escherichia coli ATCC 25922 (1322345.3)	4610_1	 	3075_5	3074_7	2268_10, 272_8, 44_14	3073_17	3575_21, 3580_21	4343_23	1014_25, 3076_26	 	2121, 3408, 3581
Escherichia coli B088 (550672.3)	3036_1	 	4043	4042_7	2597_10, 2865_14, 3400_8, 787_14	4041	4602_21	2766_23	1410_25, 4044_26	 	2445
Escherichia coli B093 (550674.3)	905_1	 	4409_5	4410_7	1680_10, 3143_8, 3288_14, 739_14	4411_17	1235_21	105_23	1334_25, 2151_26, 4408_26	 	4042
Escherichia coli B185 (550676.3)	2747_1	 	4221_5	4220_7	2059_10, 2586_14, 3489_8, 864_14	4219_17	4530_21	3328_23	4222_26, 628_25	 	1909
Escherichia coli B354 (550677.3)	3348_1	 	4543_5	4542_7	1239_10, 2769_14, 3193_14, 3909_8	4541_17	255_21	3732_23	2576_25, 4544_26	 	2988
Escherichia coli B41 (869694.4)	2591_1	 	4298_5	4297_7	1497_10, 2430, 3264, 873	4296	4609_21	3084_23	4299_26, 708_25	 	112, 1349
Escherichia coli B799 (550682.3)	1490_1	 	2852	2851_7	1327_14, 213_10, 2188_8, 3988_14	2850	4214_21	2028_23	2853_26, 3759_25	 	3215, 65
Escherichia coli B str. REL606 (413997.3)	2797_1	 	4041	4040_7	1349, 1796_10, 2638_14, 3359	4039_17	4347_21	3181_23	1190_25, 4042_26	 	1649, 691
Escherichia coli BCE001_MS16 (1116037.3)	2895_1	 	4335	4334_7	1319_14, 1790_10, 2718_14, 3665_8	4333	4606_21	3300_23	1162_25, 4336_26	 	1642, 605
Escherichia coli BCE002_MS12 (1116112.3)	3118_1	 	4346_5	4345_7	1574_14, 2008_10, 2944_14, 3643_8	4344	4612_21	3526_23	1416_25, 4347_26	 	1860
Escherichia coli BCE006_MS-23 (1125637.3)	3049_1	 	4372	4371_7	1449, 1922_10, 2874_14, 3697_8	4370	4680_21	3524_23	1258_25, 4373_26	 	1688, 704
Escherichia coli BCE007_MS-11 (1116113.3)	3196_1	 	4521	4520_7	1639, 2010_10, 3030_14, 3936	4519	4851_21	3756_23	1443_25, 4522_26	 	1854, 932
Escherichia coli BCE008_MS-13 (1116471.3)	3556_1	 	4877	4876_7	1518, 2157_10, 3384_14, 4143	4875_17	5189_21	3958_23	1368_25, 4878_26	 	1957, 800
Escherichia coli BCE011_MS-01 (1116114.3)	2848_1	 	4093	4092_7	1323, 1765_10, 2695, 3497	4091	4397_21	3316_23	1163_25, 4094_26	 	1611
Escherichia coli BCE019_MS-13 (1116115.3)	3011_1	 	4413	4412_7	1417, 1854_10, 2839_14, 3678_8	4411	4715_21	3485_23	1237_25, 4414_26	 	1654
Escherichia coli BCE030_MS-09 (1116116.3)	3050_1	 	4370	4369_7	1447_14, 1880_10, 2878_14, 3671	4368	4677_21	3489_23	1266_25, 4371_26	 	1681, 719
Escherichia coli BCE032_MS-12 (1116117.3)	3040_1	 	4352	4351_7	1427, 1849_10, 2871_14, 3670	4350	4670_21	3499_23	1233_25, 4353_26	 	1687, 700
Escherichia coli BCE034_MS-14 (1116118.3)	3513_1	 	4822	4821_7	1730_14, 2330_10, 3323_14, 3324_14, 4106_8	4820_17	5153_21	3991_23	1570_25, 4823_26	 	192, 194, 2184, 930
Escherichia coli BL21 (511693.5)	2813_1	 	4060	4059_7	1383, 1824_10, 2654_14, 3371	4058_17	4369_21	3192_23	1220_25, 4061_26	 	1674, 688
Escherichia coli BL21(DE3) (469008.4)	927_1	 	4227	4228_7	1084_14, 1954_10, 2387, 406	4229_17	3922_21	584_23	2545_25, 4226_26	 	2100, 3068
Escherichia coli C-34666 (1116002.3)	3735_1	 	5005	5004_7	2143_14, 2627_10, 3572_14, 4335_8	5003_17	5344_21	4165_23	1921_25, 5006_26	 	1264, 2477
Escherichia coli C639_08 (1126911.3)	2289_1	 	2823_5	2822_7	2649_8, 3030_14, 4840_10	2821_17	2944_21, 2949_21	4586_23	1863_25, 2824_26	 	1143, 2943, 4355
Escherichia coli C844_97 (1126932.3)	2958_1	 	4295_5	4296_7	1513_10, 3300_8, 3905_14	4297_17	3787_21, 3792_21	1620_23	1127_25, 4294_26	 	2094, 2758, 3786
Escherichia coli ATCC 8739 (481805.6)	948_1	 	4346	4347_7	1115_14, 2027_10, 2481, 381_8	4348	4021_21	558_23	2643_25, 4345_26	 	2176, 3161
Escherichia coli CB7326 (1005559.3)	3575_1	 	4851	4850_7	1826, 2273_10, 3407, 4132	4849	5170_21	3971_23	1529_25, 4852_26	 	2123
Escherichia coli CFT073 (199310.4)	3212_1	 	4618_5	4617_7	2012_10, 3022_14, 3885_8	4616_17	5011_21, 5016_21	3699_23	1411_25, 4619_26	 	1864, 4227, 4229, 5010, 740
Escherichia coli CUMT8 (752790.3)	701_1	 	981	980_7	1546, 2282_10, 3877_14, 872_14	979	3427_21	305_23	4030_25, 982_26	 	1005, 2137
Escherichia coli DEC10A (868180.3)	3755_1	 	5099_5	5098_7	1887_14, 2385_10, 2386_10, 3577_14, 4363	5097	5450_21	4175_23	1726_25, 5100_26	 	2230, 831
Escherichia coli DEC10B (868181.3)	4239_1	 	843_5	842_7	2296_14, 2790_10, 4055_14, 4783	841	5809_21	4655_23	2054_25, 844_26	 	1082, 2637
Escherichia coli DEC10C (868182.3)	4211_1	 	5459_5	5458_7	2199_14, 2719_10, 4029_14, 4793	5457	3419_21	4632_23	1991_25, 5460_26	 	1042, 2563
Escherichia coli DEC10D (868183.3)	3692_1	 	4779_5, 4780_5	4778_7	1740_14, 2306_10, 3478_14, 4906	4777	5318_21	4144_23	1578_25, 4781_26	 	2148, 782
Escherichia coli DEC10E (868184.3)	3200_1	 	4592	4591_7	1488_14, 1965_10, 3036_14, 3851_8	4590_17	4936_21	3685_23	1327_25, 4593_26	 	1813, 788
Escherichia coli DEC10F (868185.3)	4025_1	 	5419_5	5418_7	2180_14, 2644_10, 3846_14, 4765	5417	132_21	4591_23	5420_26	 	1222, 2434
Escherichia coli DEC11A (868186.3)	3275_1	 	4582	4581_7	1583_14, 2077_10, 3088_14, 3944_8	4580	4895_21	3783_23	1360_25, 4583_26	 	1926, 603
Escherichia coli DEC11B (868187.3)	3252_1	 	4602	4601_7	1526_14, 2090_10, 3061_14, 3921_8	4600	4940_21	3758_23	1326_25, 4603_26	 	1898, 636
Escherichia coli DEC11C (868188.3)	3388_1	 	4777	4776_7	1627_14, 2100_10, 3195_14, 4118_8	4775_17	5095_21	3955_23	1416_25, 4778_26	 	1945, 807
Escherichia coli DEC11D (868189.3)	3546_1	 	4842	4841_7	1800_14, 2238_10, 3355_14, 4160_8	4840	5164_21	3969_23	1643_25, 4843_26	 	1090, 2091
Escherichia coli DEC11E (868190.3)	3200_1	 	4459	4458_7	1516_14, 1896_10, 3010_14, 3838_8	4457	4784_21	3653_23	1294_25, 4460_26	 	1745, 776
Escherichia coli DEC12A (868191.3)	3331_1	 	4633	4632_7	1545_14, 1995_10, 3140_14, 3972_8	4631	5058_21	3804_23	1384_25, 4634_26	 	1830, 832
Escherichia coli DEC12B (868192.3)	3865_1	 	5157	5156_7	1815_14, 2344_10, 3666_14, 4487_8	5155	5623_21	4325_23	1658_25, 5158_26	 	2197, 961
Escherichia coli DEC12C (868193.3)	3949_1	 	5225	5224_7	2008_14, 2498_10, 3751_14, 4555_8	5223	5560_21	4386_23	1846_25, 5226_26	 	1276, 2346
Escherichia coli DEC12D (868194.3)	3632_1	 	4867	4866_7	1815_14, 2215_10, 3436_14, 4195_8	4865	5374_21	4031_23	1655_25, 4868_26	 	2068, 862
Escherichia coli DEC12E (868195.3)	3307_1	 	4573	4572_7	1331_14, 2082_10, 3114_14, 3911_8	4571	4956_21	3750_23	1172_25, 4574_26	 	1933, 561
Escherichia coli DEC13A (868196.3)	3023_1	 	4306	4305_7	1559_14, 1912_10, 2858_14, 3620_8	4304_17	94_21	3452_23	1326_25, 4307_26	 	1711, 879
Escherichia coli DEC13B (868197.3)	2786_1	 	4064	4063_7	1313_14, 1650_10, 2625_14, 3382_8	4062_17	4385_21	3219_23	1089_25, 4065_26	 	1454, 646
Escherichia coli DEC13C (868198.3)	3427_1	 	4779	4778_7	1721_14, 2274_10, 3266_14, 4085_8	4777_17	5139_21	3922_23	1488_25, 4780_26	 	2022, 820
Escherichia coli DEC13D (868199.3)	3123_1	 	4385	4384_7	1541_14, 1915_10, 2964_14, 3693_8	4383_17	4753_21	3538_23	1308_25, 4386_26	 	1764, 733
Escherichia coli DEC13E (868200.3)	3160_1	 	4408_5	4407_7	1522_14, 1966_10, 3001_14, 3757_8	4406_17	4725_21	3594_23	1342_25, 4409_26	 	1811, 679
Escherichia coli DEC14A (868201.3)	2973_1	 	3970	3971_7	1323_14, 1840_10, 2801_14, 3601_8	3972	4571_21	3425_23	1165_25, 2114_26, 3969_26	 	1687, 664
Escherichia coli DEC14B (868202.3)	3415_1	 	4752	4751_7	1823_14, 2263_10, 3249_14, 4028_8	4750_17	5135_21	3864_23	1664_25, 4753_26	 	1046, 2113
Escherichia coli DEC14C (868203.3)	3266_1	 	4680	4679_7	1580_14, 2124_10, 3099_14, 3911_8	4678_17	5041_21	3746_23	1421_25, 4681_26	 	1830, 868
Escherichia coli DEC14D (868204.3)	3285_1	 	4601	4600_7	1624_14, 2064_10, 3119_14, 3883_8	4599_17	4943_21	3704_23	1419_25, 4602_26	 	1912
Escherichia coli DEC15A (868206.3)	3446_1	 	4798	4797_7	1694_14, 2214_10, 3279_14, 4022	4796_17	5108_21	3860_23	1289_25, 4799_26	 	2064, 675
Escherichia coli DEC15B (868207.3)	3144_1	 	4624	4623_7	1429_14, 1978_10, 2976_14, 3822	4622_17	4943_21	3661_23	1203_25, 4625_26	 	1762, 526
Escherichia coli DEC15C (868208.3)	3165_1	 	4512	4511_7	1420_14, 1935_10, 2999_14, 3735	4510_17	4832_21	3573_23	1194_25, 4513_26	 	1782, 496
Escherichia coli DEC15D (868209.3)	3114_1	 	4449	4448_7	1397_14, 1869_10, 2950_14, 3681	4447_17	4767_21	3520_23	1107_25, 4450_26	 	1720, 476
Escherichia coli DEC15E (868210.3)	3418_1	 	4798	4797_7	1702_14, 2205_10, 3237_14, 4018	4796_17	5120_21	3857_23	1473_25, 4799_26	 	2054, 759
Escherichia coli DEC1A (868133.3)	3236_1	 	4513_5	4512_7	1995_10, 3055_14, 3800_8	4511_17	4778_21	3642_23	1359_25, 4514_26	 	1799, 814
Escherichia coli DEC1B (868134.3)	3219_1	 	4592_5	4591_7	1983_10, 3028_14, 3869_8	4590_17	4983_21	3710_23	1350_25, 4593_26	 	1838
Escherichia coli DEC1C (868135.3)	3341_1	 	4830_5	4829_7	2207_10, 3545_14, 4112_8	4828_17	5197_21	3955_23	1399_25, 4831_26	 	1920, 788
Escherichia coli DEC1D (868136.3)	3734_1	 	4860_5	4859_7	2585_10, 3552_14	4858_17	433_21	4142_23	1937_25, 4861_26	 	1220, 2438
Escherichia coli DEC1E (868137.3)	3391_1	 	4696_5	4695_7	2046_10, 3202_14, 3977_8	4694_17	5066_21	3820_23	1436_25, 4697_26	 	1837, 788
Escherichia coli DEC2A (868138.3)	3282_1	 	4653_5	4652_7	2185_10, 3621_14, 3941_8	4651_17	5047_21	3779_23	1574_25, 4654_26	 	2036, 974
Escherichia coli DEC2B (868139.3)	3323_1	 	4641_5	4640_7	2050_10, 3139_14, 3922_8	4639_17	5053_21	3764_23	1413_25, 4642_26	 	1859, 740
Escherichia coli DEC2C (868140.3)	3248_1	 	4613_5	4612_7	2054_10, 3061_14, 3872_8	4611_17	5023_21	3713_23	1230_25, 4614_26	 	1760, 644
Escherichia coli DEC2D (868141.3)	3398_1	 	4711_5	4710_7	2049_10, 3211_14, 3999_8	4709_17	5047_21	3839_23	2413_25, 4712_26	 	1901, 905
Escherichia coli DEC2E (868142.3)	2805_1	 	4199_5	4198_7	1522_10, 2621_14, 3457_8	4197_17	4596_21	3297_23	4200_26, 932_25	 	1325, 1779, 1781
Escherichia coli DEC3A (868143.3)	3631_1	 	4879	4878_7	2049, 2325_10, 3459, 4227	4877	5155_21	4031_23	1519_25, 4880_26	 	2173
Escherichia coli DEC3B (868144.3)	3762_1	 	5054	5053_7	2189, 2502_10, 3594, 4322	5052	5333_21	4160_23	1561_25, 5055_26	 	2350
Escherichia coli DEC3C (868145.3)	3994_1	 	5341	5340_7	2459, 2747_10, 3826, 4514	5339	56_21	4398_23	1942_25, 5342_26	 	2594
Escherichia coli DEC3D (868146.3)	3708_1	 	4914	4913_7	2078, 2363_10, 3540, 4271	4912	5192_21	4107_23	1585_25, 4915_26	 	2208
Escherichia coli DEC3E (868147.3)	3929_1	 	5643	5644_7	2275_14, 2538_10, 3760, 4469	5645	5461_21	4330_23	1732_25, 5642_26	 	2385
Escherichia coli DEC3F (868148.3)	3936_1	 	5083	5082_7	2352, 2637_10, 3767, 4446	5081	177_21	4330_23	1093_25, 5084_26	 	2485
Escherichia coli DEC4A (868149.3)	3430_1	 	4416	4415_7	1827, 2264_10, 3259	4414	4691_21	3839_23	1403_25, 4417_26	 	2115
Escherichia coli DEC4B (868150.3)	3638_1	 	5048	5047_7	1936, 2251_10, 3465, 4203	5046	5379_21	4039_23	1418_25, 5049_26	 	2098
Escherichia coli DEC4E (868153.3)	3701_1	 	4943	4942_7	2125, 2410_10, 3535, 4295	4941	5211_21	4135_23	1701_25, 4944_26	 	2258
Escherichia coli DEC4F (868154.3)	3516_1	 	4689	4688_7	2013, 2319_10, 3346, 4030	4687	5012_21	3913_23	1494_25, 4690_26	 	2168
Escherichia coli DEC5A (868155.3)	3318_1	 	4653	4652_7	1495, 2014_10, 3163, 4010	4651	4962_21	3849_23	1261_25, 4654_26	 	1866
Escherichia coli DEC5B (868156.3)	3573_1	 	4953	4952_7	1791, 2304_10, 3411_14, 4291	4951	5314_21	4130_23	1516_25, 4954_26	 	2107
Escherichia coli DEC5C (868157.3)	3498_1	 	4857	4856_7	1844, 2228_10, 3333, 4106	4855	5168_21	3946_23	1608_25, 4858_26	 	2078
Escherichia coli DEC5D (868158.3)	3492_1	 	4731	4730_7	1883, 2345_10, 3326, 4097	4729	127_21	3934_23	1661_25, 4732_26	 	2198
Escherichia coli DEC5E (868159.3)	3377_1	 	4781	4780_7	1535, 1928_10, 3208, 4013	4779	5126_21	3846_23	1284_25, 4782_26	 	1777
Escherichia coli DEC6A (868160.3)	3320_1	 	4628	4627_7	1555, 2036_10, 3166, 4004	4626	4946_21	3817_23	1374_25, 4629_26	 	1826, 814
Escherichia coli DEC6B (868161.3)	3685_1	 	4899	4898_7	1782, 2350_10, 3530, 4231	4897	5129_21	4118_23	1528_25, 4900_26	 	2151, 803
Escherichia coli DEC6C (868162.3)	3513_1	 	4756	4755_7	1600, 2143_10, 3354, 4105	4754	5095_21	3920_23	1434_25, 4757_26	 	1993, 889
Escherichia coli DEC6D (868163.3)	3397_1	 	4649	4648_7	1626, 2128_10, 3225, 4001	4647	4970_21	3834_23	1417_25, 4650_26	 	1976, 909
Escherichia coli DEC6E (868164.3)	3217_1	 	4528	4527_7	1479, 2093_10, 3053, 3841	4526	4879_21	3659_23	1279_25, 4529_26	 	1939, 622
Escherichia coli DEC7A (868165.3)	3379_1	 	4758	4757_7	1735_14, 2181_10, 3211_14, 4036	4756_17	5081_21	3861_23	1524_25, 4759_26	 	1059, 2033
Escherichia coli DEC7B (868166.3)	2981_1	 	4189	4188_7	1422, 1884_10, 2825, 3551	4187	4502_21	3366_23	1256_25, 4190_26	 	1732, 731
Escherichia coli DEC7C (868167.3)	3227_1	 	4547	4546_7	1466_14, 2031_10, 3056_14, 3821	4545_17	4867_21	3645_23	1255_25, 4548_26	 	1883, 755
Escherichia coli DEC7D (868168.3)	3263_1	 	4739	4738_7	1573_14, 2067_10, 3095_14, 4016	4737_17	5060_21	3840_23	1359_25, 4740_26	 	1916, 905
Escherichia coli DEC7E (868169.3)	3098_1	 	4410	4409_7	1383_14, 1885_10, 2925_14, 3689	4408_17	4732_21	3511_23	1170_25, 4411_26	 	1733, 703
Escherichia coli DEC8A (868170.3)	3366_1	 	4653_5	4652_7	1601_14, 2156_10, 3181_14, 3965	4651	5008_21	3786_23	1385_25, 4654_26	 	1955
Escherichia coli DEC8B (868171.3)	3655_1	 	4865_5	4864_7	1637_14, 2216_10, 3474_14, 4218	4863	5256_21	3840_23	1430_25, 4866_26	 	2007, 683
